Date,Assets,Cash & Near Cash Items,Short-Term Investments,Accounts & Notes Receivable,Long-Term Investments,Loans & Mortgages,Real Estate Investments,Other Long-Term Investments,Net Fixed Assets,Other Assets,Total Assets,Liabilities & Shareholders' Equity,Customer Deposits,ST Borrowings & Repos,Long-Term Borrowings,Short and Long Term Debt,Other Short-Term Liabilities,Other Long-Term Liabilities,Total Liabilities,Total Preferred Equity,Minority Interest,Share Capital & APIC,Retained Earnings & Other Equity,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/1996,,651,132850,0,28463,28463,0,0,1895,34906,198765,,48457,98571,9842,108413,28817,2047,187734,694,0,1937,8400,11031,198765,
09/30/1996,,1088,146594,0,28889,28889,0,0,1832,33245,211648,,49908,105860,11916,117776,31791,1095,200570,694,0,1944,8440,11078,211648,
12/31/1996,,906,152678,0,27554,27554,0,0,1865,39023,222026,,52724,110418,12218,122636,33792,1442,210594,694,0,1948,8790,11432,222026,
03/31/1997,,1174,155494,0,28890,28890,0,0,1847,38977,226382,,53571,111682,16123,127805,32864,986,215226,694,0,1915,8547,11156,226382,
06/30/1997,,752,174547,0,28734,28734,0,0,1841,44616,250490,,56977,119500,20336,139836,38154,4175,239142,694,0,1904,8750,11348,250490,
09/30/1997,,813,184777,0,31449,31449,0,0,1815,50741,269595,,55526,130943,22542,153485,44855,4097,257963,694,0,1882,9056,11632,269595,
12/31/1997,,1758,174291,0,31032,31032,0,0,1838,53240,262159,,58879,121017,16508,137525,50222,4129,250755,694,0,1862,8848,11404,262159,
03/31/1998,,1113,177611,0,33292,33292,0,0,1840,57683,271539,,60375,123378,26305,149683,46691,3193,259942,694,0,1853,9050,11597,271539,
06/30/1998,,1522,186150,0,31029,31029,0,0,1855,60221,280777,,57026,135573,27130,162703,47109,2223,269061,694,0,1808,9214,11716,280777,
09/30/1998,,3405,197853,0,30291,30291,0,0,1888,65077,298514,,54352,137726,29049,166775,62833,3035,286995,694,0,1775,9050,11519,298514,
12/31/1998,,1203,168065,0,25025,25025,0,0,1881,64893,261067,,55028,118794,18443,137237,54542,2999,249806,694,0,1754,8813,11261,261067,
03/31/1999,,1450,172377,6220,25785,25785,0,0,1903,61335,269070,,56804,117132,29468,146600,50962,3074,257440,694,0,1751,9185,11630,269070,
06/30/1999,,2094,177606,6084,28753,28753,0,0,1893,52964,269394,,55335,121442,29280,150722,47418,4116,257591,694,0,1747,9362,11803,269394,
09/30/1999,,1609,163561,6826,25114,25114,0,0,1995,55714,254819,,48823,114241,26552,140793,49862,3333,242811,694,0,1743,9571,12008,254819,
12/31/1999,,2463,162985,10119,26568,26568,0,0,1997,56766,260898,,45319,124651,17995,142646,55597,5897,249459,694,0,1751,8994,11439,260898,
03/31/2000,,1901,184215,6979,26870,26870,0,0,2005,62592,284562,,47334,137175,26335,163510,56212,5883,272939,694,0,1749,9180,11623,284562,
06/30/2000,,2498,174425,6654,26898,26898,0,0,2038,53810,266323,,46511,126592,24163,150755,50923,6383,254572,694,0,1731,9326,11751,266323,
09/30/2000,,881,195231,6050,26729,26729,0,0,2086,50704,281681,,40184,153855,21477,175332,48252,5951,269719,694,0,1713,9555,11962,281681,
