Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
12/31/1999,146.186996,-21.969,124.217997,-92.362999,31.855,0.0,3.496,35.351,-9.971,25.379999,0.0,0.0,25.379999,0,,25.379999,,,25.38,0.145,0.145,0.145,175.600006,0.13,0.13,0.13,191.171997,
03/31/2000,180.419006,-28.316,152.103006,-114.510002,37.592999,0.0,4.935,42.527998,-13.564,24.832001,0.0,1.084,25.916,0,,25.916,9.223,,39.270998,0.195,0.145,0.145,179.393997,0.175,0.13,0.13,197.815994,
06/30/2000,170.296997,-24.664,145.632998,-122.778999,22.854,0.0,6.035,28.889,-11.517,17.372,0.0,1.989,19.361,0,0.0,19.361,9.519,0.0,28.88,0.145,0.105,0.105,182.968002,0.13,0.095,0.095,201.330002,
09/30/2000,187.501007,-28.875999,158.625008,-139.373993,19.250999,0.0,9.547,28.797999,-14.816,13.982,0.0,5.707,19.688999,0,,19.688999,14.911,0.0,34.599999,0.19,0.11,0.11,186.789001,0.17,0.1,0.1,205.858002,
12/31/2000,215.457001,-32.758999,182.698002,-154.026993,28.671,0.0,9.37,38.040999,-17.247,20.794001,0.0,5.739,26.533001,0,0.0,26.533001,13.71,0.0,40.243,0.21,0.14,0.14,189.169998,0.2,0.13,0.13,205.731995,
03/31/2001,241.679993,-35.744999,205.934994,-182.414001,23.521,0.0,-6.065,17.456,-12.783,4.673,0.0,1.888,6.561,0,,6.561,46.226002,-6.888,45.899002,0.23,0.03,0.03,195.335999,0.22,0.03,0.03,211.923004,
06/30/2001,175.792999,-28.584,147.209,-170.412003,-23.202999,0.0,-10.938,-34.140999,9.333,-24.808001,0.0,0.0,-24.808001,0,0.0,-24.808001,57.240002,-16.263,16.169003,0.08,-0.13,-0.13,196.871994,0.08,-0.13,-0.13,211.369003,
09/30/2001,163.733994,-30.65,133.083994,-164.968002,-31.884001,0.0,4.656,-27.228001,5.598,-21.629999,0.0,0.0,-21.629999,0,0.0,-21.629999,40.832001,-9.655,9.547,0.05,-0.11,-0.11,195.184006,0.05,-0.11,-0.11,204.339996,
12/31/2001,170.151001,-31.393999,138.757002,-163.895996,-25.139,0.0,3.235,-21.904,4.046,-17.858,0.0,0.0,-17.858,0,0.0,-17.858,40.841,-9.727,13.255999,0.07,-0.09,-0.09,189.906998,0.07,-0.09,-0.09,199.313004,
03/31/2002,180.119003,-31.665001,148.454002,-164.889999,-16.436001,0.0,3.382,-13.054001,1.402,-11.652,0.0,0.0,-11.652,0,0.0,-11.652,36.067001,-4.948,19.467,0.1,-0.06,-0.06,190.251999,0.1,-0.06,-0.06,201.695007,
06/30/2002,152.464005,-27.528999,124.935005,-140.459,-15.524,0.0,2.69,-12.834,6.35,-6.484,0.0,0.0,-6.484,0,0.0,-6.484,22.966999,-9.187,7.295999,0.04,-0.03,-0.03,190.057007,0.04,-0.03,-0.03,197.061005,
09/30/2002,154.518997,-28.490999,126.027998,-141.134995,-15.107,0.0,-16.107,-31.214001,11.851,-19.363001,0.0,0.0,-19.363001,0,0.0,-19.363001,26.414,,7.050999,0.04,-0.1,-0.1,190.085007,0.04,-0.1,-0.1,194.889999,
12/31/2002,161.923004,-30.445,131.478004,-141.072006,-9.594,0.0,0.57,-9.024,5.466,-3.558,0.0,0.0,-3.558,0,0.0,-3.558,24.493999,-9.798,11.137999,0.06,-0.02,-0.02,191.326004,0.06,-0.02,-0.02,196.860992,
