Date,Revenue,Sales & Services Revenue,Cost of Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2000,152.5,,,,,-79.6,,,,72.9,-0.4,,,,0.0,,0.4,72.5,-32.0,40.5,0.0,,,40.5,0.0,40.5,0.0,0.0,40.5,40.5,,324.4,0.125,0.125,0.125,327.8,0.125,0.125,0.125,
12/31/2000,161.1,,,,0.0,-84.1,,,,77.0,-4.6,,,,,,4.6,72.4,-32.0,40.4,,,,40.4,,40.4,0.0,0.0,40.4,40.4,,323.0,0.125,0.125,0.125,326.8,0.125,0.125,0.125,
03/31/2001,180.2,,,,,-90.4,,,,89.8,-3.5,,,,0.0,,3.5,86.3,-38.3,48.0,0.0,,,48.0,0.0,48.0,0.0,0.0,48.0,48.0,2.3,318.0,0.15,0.15,0.155,322.2,0.15,0.15,0.155,
06/30/2001,205.2,,,,,-101.2,,,,104.0,-4.1,,,,0.0,,4.1,99.9,-44.4,55.5,0.0,,,55.5,0.0,55.5,0.0,0.0,55.5,55.5,2.3,316.0,0.175,0.175,0.18,322.4,0.17,0.17,0.175,
09/30/2001,190.4,,,,,-96.7,,,,93.7,-3.9,,,,0.0,,3.9,89.8,-39.9,49.9,0.0,,,49.9,0.0,49.9,0.0,0.0,49.9,49.9,,316.4,0.16,0.16,0.165,323.0,0.155,0.155,0.16,
12/31/2001,220.9,,,,,-109.9,,,,111.0,-5.1,,,,0.0,,5.1,105.9,-47.1,58.8,0.0,,,58.8,0.0,58.8,0.0,0.0,58.8,58.8,,310.2,0.19,0.19,0.2,316.0,0.185,0.185,0.195,
06/30/2002,271.5,,,,0.0,-124.5,118.3,,6.2,147.0,-6.0,,,,0.0,,6.0,141.0,-62.3,78.7,0.0,,,78.7,0.0,78.7,0.0,0.0,78.7,78.7,,310.0,0.255,0.255,0.255,318.6,0.245,0.245,0.245,
09/30/2002,248.3,,,,,-120.9,,,,127.4,-5.9,,,,0.0,,5.9,121.5,-53.7,67.8,0.0,,,67.8,0.0,67.8,0.0,0.0,67.8,67.8,,310.4,0.22,0.22,0.22,318.8,0.215,0.215,0.215,
12/31/2002,271.9,,,,,142.4,,,,129.0,0.0,,,,0.0,,4.2,124.8,-55.0,69.8,0.0,,,69.8,0.0,69.8,0.0,0.0,69.8,69.8,,302.0,0.231126,0.231126,0.231126,306.4,0.227807,0.227807,0.222758,
03/31/2003,278.2,,,,,-129.1,,,,149.1,8.0,,,,0.0,,-8.0,157.1,-65.2,91.9,0.0,,,91.9,0.0,91.9,0.0,0.0,91.9,91.9,,296.2,0.31,0.31,0.285,303.0,0.305,0.305,0.28,
06/30/2003,312.7,,,,0.0,-136.0,128.1,,7.9,176.7,-7.3,,,,0.0,,7.3,169.4,-71.6,100.9,0.0,,,97.8,0.0,100.9,0.0,0.0,100.9,100.9,,297.6,0.34,0.34,0.345,304.8,0.33,0.33,0.335,
09/30/2003,305.0,,0.0,305.0,,-143.8,,,,161.2,-7.4,,0.0,,0.0,,7.4,153.8,-68.2,85.6,0.0,,,85.6,0.0,85.6,0.0,0.0,85.6,85.6,,298.8,0.285,0.285,0.285,305.8,0.28,0.28,0.28,
12/31/2003,350.7,,,,,-174.6,,,,176.1,-3.1,,,,0.0,,3.1,173.0,-87.5,85.5,0.0,,,85.5,0.0,85.5,0.0,0.0,85.5,85.5,,298.4,0.285,0.285,0.33,306.6,0.28,0.28,0.325,
03/31/2004,331.2,,,,,-148.3,,,,182.9,-5.0,-1.1,0.0,-1.1,0.0,,6.1,177.9,-74.4,103.5,0.0,,,103.5,0.0,103.5,0.0,0.0,103.5,103.5,,298.2,0.345,0.345,0.355,306.2,0.34,0.34,0.35,
06/30/2004,357.6,,,,,-150.9,,,,206.7,-13.6,-2.2,0.0,-2.2,0.0,,15.8,193.1,-89.6,103.5,0.0,,,103.5,0.0,103.5,0.0,0.0,103.5,103.5,,297.8,0.35,0.35,0.395,304.2,0.34,0.34,0.385,
09/30/2004,357.9,,0.0,357.9,,-160.1,,,,197.8,-3.5,,0.0,,0.0,,3.5,194.3,-98.8,95.5,0.0,,,95.5,0.0,95.5,0.0,0.0,95.5,95.5,,295.2,0.325,0.325,0.325,301.4,0.315,0.315,0.315,
12/31/2004,391.6,,,,,-176.7,,,,214.9,-8.9,,,-1.8,0.0,,10.7,206.0,-83.4,122.6,0.0,,,122.6,0.0,122.6,0.0,0.0,122.6,122.6,,297.0,0.415,0.415,0.435,305.4,0.4,0.4,0.425,
03/31/2005,390.5,,,,,-161.1,,,,229.4,-22.1,1.2,5.7,-4.5,0.0,,20.9,207.3,-88.6,118.7,0.0,,,118.7,0.0,118.7,0.0,0.0,118.7,118.7,,299.0,0.395,0.395,0.44,306.0,0.39,0.39,0.43,
06/30/2005,446.8,,,,,-194.0,,,,252.8,-3.9,-6.2,,-6.2,,,10.1,248.9,-103.5,145.4,,,,145.4,,145.4,,,145.4,145.4,,300.4,0.48,0.48,0.52,307.7,0.47,0.47,0.51,
09/30/2005,421.1,,,,,-189.2,,,,231.9,2.7,-8.6,,-8.6,0.0,,5.9,234.6,-88.0,146.6,0.0,,,146.6,0.0,146.6,0.0,0.0,146.6,146.6,,299.6,0.49,0.49,0.48,307.7,0.48,0.48,0.47,
12/31/2005,473.2,,,,,-230.8,,,,242.4,1.5,,,-6.7,0.0,,5.2,243.9,-93.8,150.1,0.0,,,150.1,0.0,150.1,0.0,0.0,150.1,150.1,,292.0,0.51,0.51,0.54,300.9,0.5,0.5,0.52,
03/31/2006,440.2,,,,,-201.9,,,,238.3,3.4,-2.5,3.8,-6.3,0.0,,-0.9,241.7,-95.5,146.2,0.0,,,146.2,0.0,146.2,0.0,0.0,146.2,146.2,,290.5,0.5,0.5,0.5,299.5,0.49,0.49,0.49,
06/30/2006,511.4,,,,,-222.3,,,,289.1,0.7,-0.9,3.8,-4.7,0.0,,0.2,289.8,-117.7,172.1,0.0,,,172.1,0.0,172.1,0.0,0.0,172.1,172.1,,286.4,0.6,0.6,0.6,293.7,0.59,0.59,0.59,
09/30/2006,495.5,,,,,-226.7,,,,268.8,-3.1,1.1,3.8,-2.7,0.0,,2.0,265.7,-108.7,157.0,0.0,,,157.0,0.0,157.0,0.0,0.0,157.0,157.0,,280.7,0.56,0.56,0.56,287.9,0.55,0.55,0.55,
12/31/2006,590.0,,,,,-287.3,,,,302.7,160.6,-8.5,3.8,-12.3,0.0,,-152.1,463.3,-184.7,278.6,0.0,,,278.6,0.0,278.6,0.0,0.0,278.6,278.6,,279.1,1.0,1.0,0.67,286.7,0.97,0.97,0.64,
03/31/2007,583.0,,,,,-278.3,,,,304.7,-3.3,2.1,7.5,-5.4,0.0,,1.2,301.4,-126.0,175.4,0.0,,,175.4,0.0,175.4,0.0,0.0,175.4,175.4,,277.7,0.63,0.63,0.63,284.9,0.62,0.62,0.62,
06/30/2007,646.1,,,,,-282.4,,,,363.7,17.8,4.6,7.8,-3.2,0.0,,-22.4,381.5,-119.6,261.9,0.0,,,261.9,0.0,261.9,0.0,0.0,261.9,261.9,,269.6,0.97,0.97,0.78,276.0,0.95,0.95,0.76,
09/30/2007,525.0,,,,,-274.5,,,,250.5,-9.0,11.7,16.9,-5.2,0.0,,-2.7,241.5,-104.6,136.9,0.0,,,136.9,0.0,136.9,0.0,0.0,136.9,136.9,,262.2,0.52,0.52,0.52,267.6,0.51,0.51,0.51,
12/31/2007,504.9,,,,,-242.8,,,,262.1,-3.0,3.0,8.5,-5.5,0.0,,66.8,192.3,-65.0,127.3,0.0,,,127.3,0.0,127.3,0.0,0.0,127.3,127.3,,256.1,0.497071,0.497071,0.497071,260.3,0.489051,0.489051,0.489051,
03/31/2008,430.7,,,,,-232.1,219.6,,12.5,198.6,-2.4,8.4,15.4,-7.0,0.0,,-6.0,196.2,-75.5,120.7,0.0,,,120.7,0.0,120.7,0.0,0.0,120.7,120.7,,247.4,0.49,0.49,0.49,251.0,0.48,0.48,0.48,
06/30/2008,487.6,,,,0.0,-254.1,237.3,,16.8,233.5,-12.1,12.4,12.4,0.0,,,-0.3,221.4,-86.2,135.2,0.0,,,135.2,,135.2,0.0,0.0,135.2,135.2,,244.6,0.55,0.55,0.55,248.1,0.54,0.54,0.54,
09/30/2008,433.4,,,,0.0,-245.4,230.8,,14.6,188.0,-4.1,7.5,12.6,-5.1,,,-3.4,183.9,-70.9,113.0,0.0,,,113.0,,113.0,0.0,0.0,113.0,113.0,,241.3,0.47,0.47,0.46,244.6,0.46,0.46,0.45,
12/31/2008,403.7,,,,0.0,-278.1,246.9,,31.2,125.6,-1.3,1.1,33.3,-32.2,,,0.2,124.3,-35.6,88.7,0.0,,,88.7,,88.7,0.0,0.0,88.7,88.7,,236.2,0.38,0.38,0.38,237.8,0.37,0.37,0.37,
03/31/2009,408.9,408.9,,,0.0,-260.0,110.2,15.6,134.2,148.9,-7.3,3.3,4.1,-0.8,-5.0,,9.0,141.6,-50.5,91.1,0.0,0.0,0.0,91.1,-0.9,90.2,0.0,0.0,90.2,97.5,7.3,235.4,0.38,0.38,0.414189,236.5,0.38,0.38,0.410867,
06/30/2009,450.7,450.7,,,0.0,-263.5,116.7,15.7,131.1,187.2,-12.6,6.1,13.2,-7.1,-3.0,,9.5,174.6,-63.6,111.0,0.0,0.0,0.0,111.0,-1.7,109.3,0.0,0.0,109.3,111.315,2.015,236.1,0.46,0.46,0.471474,238.1,0.46,0.46,0.468463,
09/30/2009,451.8,451.8,,,0.0,-279.3,124.3,16.2,138.8,172.5,-9.8,11.5,12.8,-1.3,,,-1.7,162.7,-61.0,101.7,0.0,0.0,0.0,101.7,-1.1,100.6,0.0,0.0,100.6,102.9,2.3,236.4,0.43,0.43,0.435279,238.2,0.42,0.42,0.429656,
12/31/2009,485.8,485.8,,,0.0,-306.9,144.5,16.6,145.8,178.9,-11.6,12.5,13.4,-0.9,,,-0.9,167.3,-64.0,103.3,0.0,0.0,0.0,103.3,-1.4,101.9,0.0,0.0,101.9,101.2,-0.7,236.6,0.43,0.43,0.427726,238.5,0.43,0.43,0.427065,
03/31/2010,476.6,476.6,,,0.0,-279.8,128.8,15.8,135.2,196.8,-14.3,13.3,13.9,-0.6,,,1.0,182.5,-67.8,114.7,0.0,0.0,0.0,114.7,-1.3,113.4,0.0,0.0,113.4,112.945,-0.455,236.9,0.48,0.48,0.476762,239.1,0.47,0.47,0.468097,
06/30/2010,477.8,477.8,,,0.0,-287.3,137.5,15.2,134.6,190.5,-12.6,9.0,12.0,-3.0,3.0,0.0,0.6,177.9,-55.3,122.6,0.0,0.0,0.0,122.6,-1.6,121.0,0.0,0.0,121.0,121.2,0.2,235.3,0.51,0.51,0.515087,236.5,0.51,0.51,0.510846,
09/30/2010,513.3,513.3,,,0.0,-324.4,152.2,18.1,154.1,188.9,-7.5,12.8,14.2,-1.4,6.0,,-11.3,181.4,-44.2,137.2,0.0,0.0,0.0,137.2,-1.2,136.0,0.0,0.0,136.0,119.901,-16.099,234.3,0.58,0.58,0.511741,235.7,0.58,0.58,0.511697,
12/31/2010,564.3,564.3,,,0.0,-367.7,169.5,17.2,181.0,196.6,-24.0,17.4,19.2,-1.8,,,6.6,172.6,-33.7,138.9,0.0,0.0,0.0,138.9,-1.5,137.4,0.0,0.0,137.4,137.465,0.065,233.4,0.59,0.59,0.588967,235.3,0.58,0.58,0.580276,
03/31/2011,577.1,577.1,,,0.0,-327.0,148.5,17.7,160.8,250.1,-14.9,18.2,19.2,-1.0,,,-3.3,235.2,-78.1,157.1,0.0,0.0,0.0,157.1,-1.6,155.5,0.0,0.0,155.5,155.5,0.0,228.9,0.68,0.68,0.68,231.4,0.67,0.67,0.67,
06/30/2011,605.2,605.2,,,0.0,-335.1,142.9,21.8,170.4,270.1,-5.9,14.1,19.1,-5.0,5.0,,-13.2,264.2,-73.5,190.7,0.0,0.0,0.0,190.7,-1.7,189.0,0.0,0.0,189.0,168.1,-20.9,228.2,0.83,0.83,0.736635,231.5,0.82,0.82,0.729719,
09/30/2011,531.3,531.3,,,0.0,-335.2,145.0,19.0,171.2,196.1,-11.3,12.9,15.3,-2.4,4.0,,-5.6,184.8,-52.7,132.1,0.0,0.0,0.0,132.1,-1.4,130.7,0.0,0.0,130.7,130.83,0.13,226.0,0.58,0.58,0.578894,229.0,0.57,0.57,0.570568,
12/31/2011,567.1,567.1,,,0.0,-395.0,193.2,20.7,181.1,172.1,-16.5,16.9,19.2,-2.3,,,-0.4,155.6,-57.5,98.1,0.0,0.0,0.0,98.1,-1.9,96.2,0.0,0.0,96.2,96.135,-0.065,222.2,0.43,0.43,0.432651,225.7,0.43,0.43,0.429712,
03/31/2012,646.8,646.8,,,0.0,-377.8,168.8,23.5,185.5,269.0,-10.4,10.3,11.6,-1.3,,,0.1,258.6,-83.1,175.5,0.0,0.0,0.0,175.5,-2.0,173.5,0.0,0.0,173.5,173.5,0.0,223.4,0.78,0.78,0.78,227.4,0.76,0.76,0.76,
06/30/2012,640.8,640.8,,,0.0,-362.3,159.6,22.1,180.6,278.5,-13.9,16.6,17.8,-1.2,-0.3,,-2.4,264.6,-88.9,175.7,0.0,0.0,0.0,175.7,-3.2,172.5,0.0,0.0,172.5,172.5,0.0,223.9,0.77,0.77,0.77,227.2,0.76,0.76,0.76,
09/30/2012,688.5,688.5,,,0.0,-418.8,187.4,24.1,207.3,269.7,-5.3,15.3,16.6,-1.3,4.8,,-14.8,264.4,-77.9,186.5,0.0,0.0,0.0,186.5,-2.6,183.9,0.0,0.0,183.9,183.9,0.0,222.5,0.83,0.83,0.83,226.1,0.81,0.81,0.81,
12/31/2012,754.2,754.2,,,0.0,-494.0,236.4,23.8,233.8,260.2,-23.8,21.6,,,,,2.2,236.4,-74.4,162.0,0.0,0.0,0.0,162.0,-1.9,160.1,0.0,0.0,160.1,172.3,12.2,223.0,0.72,0.72,0.772646,227.3,0.7,0.7,0.753674,
03/31/2013,731.8,731.8,,,0.0,-451.4,227.0,23.6,200.8,280.4,-13.2,22.0,23.2,-1.2,,,-8.8,267.2,-76.1,191.1,0.0,0.0,0.0,191.1,-2.7,188.4,0.0,0.0,188.4,220.208,31.808,223.3,0.84,0.84,0.986153,227.2,0.83,0.83,0.97,
06/30/2013,756.0,756.0,,,0.0,-405.2,185.0,23.1,197.1,350.8,-14.0,21.7,22.9,-1.2,-5.3,,-2.4,336.8,-108.4,228.4,0.0,0.0,0.0,228.4,-2.9,225.5,0.0,0.0,225.5,225.5,0.0,222.3,1.01,1.01,1.01,226.2,1.0,1.0,1.0,
09/30/2013,705.5,705.5,,,0.0,-414.0,187.1,23.4,203.5,291.5,-28.0,24.4,26.0,-1.6,5.8,-2.5,0.3,263.5,-76.7,186.8,0.0,0.0,0.0,186.8,-2.9,183.9,0.0,0.0,183.9,183.9,0.0,217.8,0.84,0.84,0.84,222.0,0.83,0.83,0.83,
12/31/2013,779.2,779.2,,,0.0,-467.3,223.0,23.3,221.0,311.9,-10.1,23.7,25.2,-1.5,6.9,,-20.5,301.8,-92.2,209.6,0.0,0.0,0.0,209.6,-2.9,206.7,0.0,0.0,206.7,206.7,0.0,214.3,0.96,0.96,0.96,219.0,0.94,0.94,0.94,
03/31/2014,767.2,767.2,,,0.0,-434.2,195.1,23.1,216.0,333.0,-21.4,23.8,25.4,-1.6,-1.0,,-1.4,311.6,-89.9,221.7,0.0,0.0,0.0,221.7,-3.7,218.0,0.0,0.0,218.0,218.0,0.0,214.0,1.02,1.02,1.02,218.5,1.0,1.0,1.0,
06/30/2014,873.5,873.5,,,0.0,-461.8,217.4,22.3,222.1,411.7,73.5,26.0,27.7,-1.7,7.1,,-106.6,485.2,-160.8,324.4,0.0,0.0,0.0,324.4,-5.2,319.2,0.0,0.0,319.2,240.7,-78.5,212.0,1.51,1.51,1.135377,215.7,1.48,1.48,1.116069,
09/30/2014,816.1,816.1,,,0.0,-466.4,206.5,23.2,236.7,349.7,-21.3,37.7,39.8,-2.1,-7.6,,-8.8,328.4,-109.9,218.5,0.0,0.0,0.0,218.5,-3.3,215.2,0.0,0.0,215.2,208.1,-7.1,210.4,1.02,1.02,0.989068,214.2,1.0,1.0,0.966853,
12/31/2014,877.5,877.5,,,0.0,-532.8,250.3,27.0,255.5,344.7,-8.9,29.3,30.9,-1.6,-18.8,,-1.6,335.8,-94.4,241.4,0.0,0.0,0.0,241.4,-5.1,236.3,0.0,0.0,236.3,236.3,0.0,206.5,1.14,1.14,1.14,210.5,1.12,1.12,1.12,
03/31/2015,865.6,865.6,,,0.0,-494.3,221.3,28.6,244.4,371.3,-26.8,29.3,31.2,-1.9,0.0,-1.9,-0.6,344.5,-113.2,231.3,0.0,0.0,0.0,231.3,-1.2,230.1,0.0,0.0,230.1,230.1,0.0,202.7,1.14,1.14,1.14,206.5,1.11,1.11,1.11,
06/30/2015,918.1,918.1,,,0.0,-498.8,227.0,27.9,243.9,419.3,-40.1,31.9,34.2,-2.3,12.2,-3.4,-0.6,379.2,-115.1,264.1,0.0,0.0,0.0,264.1,-2.4,261.7,0.0,0.0,261.7,261.7,0.0,201.3,1.3,1.3,1.3,204.4,1.28,1.28,1.28,
09/30/2015,834.9,834.9,,,0.0,-485.2,220.8,28.3,236.1,349.7,-6.1,25.8,28.6,-2.8,-9.7,-3.5,-6.5,343.6,-109.8,233.8,0.0,0.0,0.0,233.8,-2.2,231.6,0.0,0.0,231.6,224.5,-7.1,199.4,1.16,1.16,1.125878,202.5,1.14,1.14,1.104938,
12/31/2015,865.9,865.9,,,0.0,-532.8,252.2,28.7,251.9,333.1,-20.8,28.1,30.8,-2.7,-3.6,-3.0,-0.7,312.3,-91.9,220.4,0.0,0.0,0.0,220.4,-2.5,217.9,0.0,0.0,217.9,217.9,0.0,197.0,1.11,1.11,1.11,200.2,1.09,1.09,1.09,
03/31/2016,816.1,816.1,,,0.0,-512.0,232.9,29.9,249.2,304.1,-28.5,34.1,37.0,-2.9,-4.0,-1.9,0.3,275.6,-89.0,186.6,0.0,0.0,0.0,186.6,-2.2,184.4,0.0,0.0,184.4,184.4,0.0,195.0,0.95,0.95,0.95,197.9,0.93,0.93,0.93,
06/30/2016,928.9,928.9,,,0.0,-518.7,228.6,31.2,258.9,410.2,-31.3,34.3,37.1,-2.8,-0.8,-3.0,0.8,378.9,-120.8,258.1,0.0,0.0,0.0,258.1,-2.6,255.5,0.0,0.0,255.5,255.5,0.0,193.4,1.32,1.32,1.32,195.8,1.3,1.3,1.3,
09/30/2016,917.1,917.1,,,0.0,-519.6,225.3,32.7,261.6,397.5,-28.5,35.4,37.9,-2.5,-4.3,-2.3,-0.3,369.0,-112.4,256.6,0.0,0.0,0.0,256.6,-1.3,255.3,0.0,0.0,255.3,259.329,4.029,191.7,1.33,1.33,1.352786,194.3,1.31,1.31,1.330736,
12/31/2016,942.1,942.1,,,0.0,-1415.2,253.2,32.9,1129.1,-473.1,7.6,34.0,36.7,-2.7,-41.0,-4.2,3.6,-465.5,40.0,-425.5,0.0,0.0,0.0,-425.5,-3.1,-428.6,0.0,0.0,-428.6,272.1,700.7,190.8,-2.25,-2.25,1.426101,190.8,-2.25,-2.25,1.422432,
03/31/2017,975.2,975.2,,,0.0,-528.5,220.7,32.5,275.3,446.7,4.6,47.4,51.5,-4.1,9.6,-1.0,-60.6,451.3,-105.4,345.9,0.0,0.0,0.0,345.9,-0.3,345.6,0.0,0.0,345.6,285.9,-59.7,191.1,1.81,1.81,1.496075,194.3,1.78,1.78,1.472743,
06/30/2017,1000.5,1000.5,,,0.0,-540.4,216.1,32.9,291.4,460.1,1.9,49.7,54.3,-4.6,-3.8,-4.0,-43.8,462.0,-148.4,313.6,0.0,0.0,0.0,313.6,-1.4,312.2,0.0,0.0,312.2,293.5,-18.7,191.0,1.63,1.63,1.536649,193.8,1.61,1.61,1.513509,
09/30/2017,1062.9,1062.9,,,0.0,-614.4,245.7,43.0,325.7,448.5,17.3,53.1,57.4,-4.3,-6.7,-2.7,-61.0,465.8,-146.1,319.7,0.0,0.0,0.0,319.7,-2.4,317.3,0.0,0.0,317.3,281.4,-35.9,191.1,1.66,1.66,1.472527,194.1,1.63,1.63,1.445044,
12/31/2017,1165.5,1165.5,,,0.0,-700.0,303.4,49.9,346.7,465.5,-57.8,58.3,61.3,-3.0,4.3,-5.6,0.8,407.7,-379.2,28.5,0.0,0.0,0.0,28.5,-3.0,25.5,0.0,0.0,25.5,276.6,251.1,191.0,0.13,0.13,1.448168,194.4,0.13,0.13,1.421667,
03/31/2018,1126.7,1126.7,,,0.0,-635.9,271.1,49.1,315.7,490.8,-49.7,50.7,53.9,-3.2,5.9,-1.3,-5.6,441.1,-64.3,376.8,0.0,0.0,0.0,376.8,-3.9,372.9,0.0,0.0,372.9,373.5,0.6,191.4,1.95,1.95,1.951411,194.5,1.92,1.92,1.923085,
06/30/2018,1175.1,1175.1,,,0.0,-641.1,270.5,48.4,322.2,534.0,-38.5,53.4,56.8,-3.4,-6.2,-4.6,-4.1,495.5,-117.6,377.9,0.0,0.0,0.0,377.9,-1.7,376.2,0.0,0.0,376.2,377.8,1.6,191.9,1.96,1.96,1.968734,194.4,1.94,1.94,1.94823,
09/30/2018,1080.8,1080.8,,,0.0,-614.0,260.3,46.1,307.6,466.8,-54.0,56.4,60.5,-4.1,-3.9,-3.3,4.8,412.8,-100.8,312.0,0.0,0.0,0.0,312.0,-1.8,310.2,0.0,0.0,310.2,310.3,0.1,191.8,1.62,1.62,1.617831,194.5,1.59,1.59,1.590514,
12/31/2018,1060.0,1060.0,,,0.0,-684.0,278.0,48.0,358.0,376.0,-53.0,54.0,58.0,-4.0,7.0,-4.8,-3.2,323.0,-69.0,254.0,0.0,0.0,0.0,254.0,-3.0,251.0,0.0,0.0,251.0,297.0,46.0,191.4,1.31,1.31,1.551724,194.0,1.29,1.29,1.527113,
