Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2009,169.619,153.494,16.125,-80.494,25.659,54.835,89.125,0.0,-16.622,12.715,12.715,,,3.907,72.503,-30.917,,6.809,,,24.108,41.586,-21.824,3.865,17.959,19.762,0.0,0.0,0.0,19.762,0.0,19.762,0.0,0.0,19.762,28.70085,8.93885,85.061,0.23,0.23,0.337415,86.088,0.23,0.23,0.333834,
12/31/2009,175.401,170.575,4.826,-76.118,30.106,46.012,99.283,0.0,-14.554,13.871,13.871,,-1.035,1.718,84.729,-78.227,,10.913,,,67.314,6.502,9.364,,,15.866,-1.013,-1.013,0.0,16.879,0.0,16.879,0.0,0.0,16.879,55.494382,39.628382,85.247,0.2,0.19,0.650983,86.521,0.2,0.19,0.64802,
03/31/2010,188.333,199.173,-10.84,-83.83,33.671,50.159,104.503,0.0,-15.682,13.778,13.778,,0.539,1.365,88.821,15.275,11.065,11.065,0.0,,-26.34,104.096,-38.763,10.586,28.177,65.333,-2.207,-2.207,0.0,67.54,0.0,67.54,0.0,0.0,67.54,48.002131,-17.330869,88.831,0.76,0.74,0.540376,90.13,0.75,0.72,0.527713,
06/30/2010,200.856,199.315,1.541,-86.369,36.758,49.611,114.487,0.0,-22.205,17.761,17.761,,0.033,4.411,92.282,99.726,11.192,11.192,0.0,,-110.918,192.008,-72.22,0.88,71.34,119.788,-4.383,-4.383,0.0,124.171,0.0,124.171,0.0,0.0,124.171,52.437728,-67.350272,91.044,1.36,1.32,0.57596,92.297,1.35,1.31,0.57596,
09/30/2010,229.859,225.791,4.068,-99.735,42.111,57.624,130.124,0.0,-20.83,15.285,15.285,,0.006,5.539,109.294,-85.732,,12.036,,,73.696,23.562,-7.392,-0.353,7.745,16.17,-4.605,-4.605,0.0,20.775,0.0,20.775,0.0,0.0,20.775,64.816991,48.646991,91.182,0.23,0.18,0.710853,92.44,0.22,0.18,0.706255,
12/31/2010,307.395,315.988,-8.593,-139.599,55.351,84.248,167.796,0.0,-28.366,17.451,17.451,,0.292,10.623,139.43,-173.17,,25.794,,,147.376,-33.74,3.097,,,-30.643,-22.527,-22.527,0.0,-8.116,0.0,-8.116,0.0,0.0,-8.116,63.748462,94.391462,99.014,-0.08,-0.31,0.643833,99.014,-0.08,-0.31,0.643314,
03/31/2011,332.544,360.84,-28.296,-154.65,64.362,90.288,177.894,0.0,-22.118,21.392,21.392,,,0.726,155.776,-234.858,29.66,29.66,0.0,,205.198,-79.082,30.469,7.107,-37.576,-48.613,-91.188,-91.188,0.0,42.575,0.0,42.575,0.0,0.0,42.575,-9.862226,38.750774,102.242,0.42,-0.48,-0.09646,102.242,0.42,-0.48,-0.10099,
06/30/2011,398.481,446.232,-47.751,-169.173,70.292,98.881,229.308,0.0,-23.094,22.618,22.618,,,0.476,206.214,169.238,21.66,21.66,0.0,,-190.898,375.452,-143.27,3.727,139.543,232.182,0.0,0.0,0.0,232.182,0.0,232.182,0.0,0.0,232.182,114.11161,-118.07039,102.569,2.26,2.26,1.112535,103.638,2.24,2.24,1.100742,
09/30/2011,452.68,454.468,-1.788,-200.531,84.801,115.73,252.149,0.0,-26.371,22.873,22.873,,,3.498,225.778,351.626,32.881,32.881,0.0,,-384.507,577.404,-221.199,10.967,210.232,356.205,0.0,0.0,0.0,356.205,0.0,356.205,0.0,0.0,356.205,118.507837,-237.697163,102.733,3.47,3.47,1.153552,103.696,3.44,3.44,1.14775,
12/31/2011,437.323,444.342,-7.019,-198.066,82.817,115.249,239.257,0.0,-37.093,29.96,29.96,,,7.133,202.164,-346.836,,34.159,,,312.677,-144.672,54.559,,,-90.113,-7.288,-7.288,0.0,-82.825,0.0,-82.825,0.0,0.0,-82.825,103.687468,193.800468,102.771,-0.81,-0.88,1.008918,102.771,-0.81,-0.88,1.005751,
03/31/2012,441.873,473.784,-31.911,-209.681,82.418,127.263,232.192,0.0,-33.958,27.979,27.979,,,5.979,198.234,-163.287,35.837,35.837,0.0,,127.45,34.947,-13.615,1.608,12.007,21.332,-9.785,-9.785,0.0,31.117,0.0,31.117,0.0,0.0,31.117,98.88455,77.55255,102.854,0.3,0.21,0.961407,103.77,0.3,0.21,0.95735,
06/30/2012,411.448,403.161,8.287,-216.268,83.001,133.267,195.18,0.0,-46.921,32.523,32.523,,,14.398,148.259,352.329,41.899,41.899,0.0,,-394.228,500.588,-191.707,2.316,189.391,308.881,-10.416,-10.416,0.0,319.297,0.0,319.297,0.0,0.0,319.297,61.15745,-247.72355,103.114,3.1,3.0,0.593105,103.88,3.07,2.97,0.585291,
09/30/2012,481.482,465.343,16.139,-237.193,89.048,148.145,244.289,0.0,-42.45,35.492,35.492,,,6.958,201.839,-206.005,51.337,51.337,0.0,,154.668,-4.166,0.995,-2.704,1.709,-3.171,-9.159,-9.159,0.0,5.988,0.0,5.988,0.0,0.0,5.988,90.319968,93.490968,103.292,0.06,-0.03,0.874414,104.04,0.06,-0.03,0.868606,
12/31/2012,508.547,477.526,31.021,-259.916,93.463,166.453,248.631,0.0,-50.307,37.802,37.802,,,12.505,198.324,-70.422,53.632,53.632,0.0,,16.79,127.902,-46.714,,,81.188,5.901,5.901,0.0,75.287,0.0,75.287,0.0,0.0,75.287,89.575698,8.387698,103.494,0.73,0.78,0.865516,104.194,0.72,0.78,0.860501,
03/31/2013,478.143,472.127,6.016,-270.659,102.239,168.42,207.484,0.0,-61.7,43.293,43.293,,,18.407,145.784,-117.248,52.106,52.106,0.0,,65.142,28.536,-10.977,-0.523,11.5,17.559,-12.534,-12.534,0.0,30.093,0.0,30.093,0.0,0.0,30.093,57.55748,39.99848,103.631,0.29,0.17,0.555408,104.345,0.29,0.17,0.553329,
06/30/2013,564.361,562.786,1.575,-297.391,108.661,188.73,266.97,0.0,-114.764,40.991,40.991,,,73.773,152.206,-13.702,54.079,54.079,0.0,,-40.377,138.504,-53.351,14.505,38.846,85.153,0.453,0.453,0.0,84.7,0.0,84.7,0.0,0.0,84.7,101.589316,16.436316,103.734,0.81,0.81,0.979325,103.892,0.81,0.81,0.968206,
09/30/2013,607.645,652.92,-45.275,-322.43,121.805,200.625,285.215,0.0,-51.828,40.836,40.836,,,10.992,233.387,-181.271,55.995,55.995,0.0,,125.276,52.116,-21.695,-3.767,25.462,30.421,0.0,0.0,0.0,30.421,0.0,30.421,0.0,0.0,30.421,106.532622,76.111622,103.801,0.29,0.29,1.026316,103.958,0.29,0.29,1.022138,
12/31/2013,637.429,632.086,5.343,-343.611,128.778,214.833,293.818,0.0,-116.447,44.695,44.695,,,71.752,177.371,-39.368,56.401,56.401,0.0,,-17.033,138.003,-32.214,,,105.789,0.0,0.0,0.0,105.789,0.0,105.789,0.0,0.0,105.789,88.190323,-17.598677,103.81,1.01,1.01,0.849536,103.81,1.01,1.01,0.840472,
03/31/2014,646.122,660.959,-14.837,-349.987,128.595,221.392,296.135,0.0,-73.125,47.75,47.75,,,25.375,223.01,-76.372,56.135,56.135,0.0,,20.237,146.638,-55.331,,,91.307,0.0,0.0,0.0,91.307,0.0,91.307,0.0,0.0,91.307,104.160344,12.853344,103.949,0.87,0.87,1.002033,104.306,0.87,0.87,0.993227,
06/30/2014,678.648,704.702,-26.054,-374.111,136.666,237.445,304.537,0.0,-77.823,49.535,49.535,,,28.288,226.714,-207.886,55.388,55.388,0.0,,152.498,18.828,-7.059,,,11.769,0.0,0.0,0.0,11.769,0.0,11.769,0.0,0.0,11.769,106.938185,95.169185,107.733,0.11,0.11,0.992622,108.051,0.11,0.11,0.99078,
09/30/2014,714.98,700.263,14.717,-399.259,142.494,256.765,315.721,0.0,-85.221,52.763,52.763,,,32.458,230.5,261.066,52.601,52.601,0.0,,-313.667,491.566,-186.363,,,305.203,0.0,0.0,0.0,305.203,0.0,305.203,0.0,-3.547,301.656,116.752092,-184.903908,111.68,2.7,2.7,1.045416,111.999,2.69,2.69,1.039058,
12/31/2014,692.38,594.223,98.157,-401.829,137.691,264.138,290.551,0.0,-699.964,54.113,54.113,,,645.851,-409.413,608.341,52.537,52.537,0.0,,-660.878,198.928,-69.032,,,129.896,0.0,0.0,0.0,129.896,0.0,129.896,0.0,0.0,129.896,98.602008,-31.293992,112.953043,1.15,1.15,0.872947,112.953043,1.15,1.15,0.872947,
03/31/2015,580.678,413.522,167.156,-394.734,127.529,267.205,185.944,0.0,-64.595,58.801,58.801,,,5.794,121.349,-109.687,53.569,53.569,0.0,,56.118,11.662,-4.15,,,7.512,0.0,0.0,0.0,7.512,0.0,7.512,0.0,0.0,7.512,42.142026,34.630026,114.047,0.07,0.07,0.369514,114.483,0.06,0.06,0.362491,
06/30/2015,649.677,537.425,112.252,-449.114,144.312,304.802,200.563,0.0,-74.524,60.923,60.923,,,13.601,126.039,-317.23,53.482,53.482,0.0,,263.748,-191.191,70.708,,,-120.483,0.0,0.0,0.0,-120.483,0.0,-120.483,0.0,0.0,-120.483,45.540982,166.023982,117.637,-1.02,-1.02,0.387132,117.637,-1.02,-1.02,0.387132,
09/30/2015,627.507,463.474,164.033,-469.445,139.978,329.467,158.062,0.0,-82.399,60.052,60.052,,,22.347,75.663,195.869,53.752,53.752,0.0,,-249.621,271.532,-91.873,,,179.659,0.0,0.0,0.0,179.659,0.0,179.659,0.0,-1.845,177.814,37.435,-140.379,119.058,1.49,1.49,0.314427,119.415,1.49,1.49,0.314427,
12/31/2015,578.627,389.152,189.475,-458.919,137.14,321.779,119.708,0.0,-182.381,50.958,50.958,0.0,,131.423,-62.673,67.941,54.581,54.581,0.0,,-122.522,5.268,-6.056,,,-0.788,0.0,0.0,0.0,-0.788,0.0,-0.788,0.0,0.0,-0.788,-13.312,-12.524,78.8,-0.01,-0.01,-0.168934,78.8,-0.01,-0.01,-0.168934,
03/31/2016,541.494,283.564,257.93,-426.751,116.669,310.082,114.743,0.0,-1490.234,53.795,53.795,,,1436.439,-1375.491,-238.761,54.138,54.138,0.0,,184.623,-1614.252,593.772,,,-1020.48,0.0,0.0,0.0,-1020.48,0.0,-1020.48,0.0,0.0,-1020.48,-8.526,1011.954,128.396,-7.95,-7.95,-0.066404,128.396,-7.95,-7.95,-0.068493,
06/30/2016,565.048,396.299,168.749,-392.935,111.969,280.966,172.113,0.0,-75.768,53.357,53.357,,,22.411,96.345,-520.279,54.502,54.502,0.0,,465.777,-423.934,158.249,,,-265.685,0.0,0.0,0.0,-265.685,0.0,-265.685,0.0,0.0,-265.685,35.085,300.77,130.4,-2.04,-2.04,0.269057,130.4,-2.04,-2.04,0.266518,
09/30/2016,585.0,430.0,155.0,-405.0,106.0,299.0,180.0,0.0,-64.0,53.0,53.0,,,11.0,116.0,-197.0,53.0,53.0,0.0,,144.0,-81.0,30.0,,,-51.0,0.0,0.0,0.0,-51.0,0.0,-51.0,0.0,0.0,-51.0,44.0,95.0,135.454,-0.38,-0.38,0.324834,135.454,-0.38,-0.38,0.321345,
12/31/2016,568.0,525.0,43.0,-401.0,124.0,277.0,167.0,0.0,-80.0,66.0,66.0,,,14.0,87.0,-306.0,42.0,42.0,0.0,,264.0,-219.0,94.0,,,-125.0,0.0,0.0,0.0,-125.0,0.0,-125.0,0.0,0.0,-125.0,28.0,153.0,145.348837,-0.86,-0.86,0.19264,145.348837,-0.86,-0.86,0.19264,
03/31/2017,640.0,612.0,28.0,-420.0,137.0,283.0,220.0,0.0,583.0,56.0,56.0,,,-639.0,803.0,218.0,40.0,40.0,0.0,,-258.0,1021.0,-371.0,,,650.0,0.0,0.0,0.0,650.0,0.0,650.0,0.0,-5.0,645.0,78.384106,-566.615894,146.838,4.39,4.39,0.533813,147.551,4.37,4.37,0.529864,
06/30/2017,635.0,567.0,68.0,-427.0,146.0,281.0,208.0,0.0,-80.0,60.0,60.0,,,20.0,128.0,117.0,39.0,39.0,0.0,,-156.0,245.0,-93.0,,,152.0,0.0,0.0,0.0,152.0,0.0,152.0,0.0,-1.0,151.0,101.081967,-49.918033,147.304,1.02,1.02,0.686213,147.766,1.02,1.02,0.682182,
09/30/2017,657.0,627.0,30.0,-440.0,156.0,284.0,217.0,0.0,-58.0,64.0,64.0,,,-6.0,159.0,-338.0,39.0,39.0,0.0,,299.0,-179.0,66.0,,,-113.0,0.0,0.0,0.0,-113.0,0.0,-113.0,0.0,0.0,-113.0,80.118881,193.118881,147.557,-0.77,-0.77,0.542969,147.557,-0.77,-0.77,0.538775,
12/31/2017,733.0,780.0,-47.0,-474.0,176.0,298.0,259.0,0.0,-71.0,64.0,64.0,0.0,,7.0,188.0,-394.0,28.0,28.0,0.0,,366.0,-206.0,473.0,,,267.0,0.0,0.0,0.0,267.0,0.0,267.0,0.0,0.0,267.0,98.0,-169.0,147.579,1.8,1.8,0.664051,148.465,1.79,1.79,0.651685,
03/31/2018,835.0,947.0,-112.0,-530.0,213.0,317.0,305.0,0.0,640.0,65.0,65.0,,,-705.0,945.0,144.0,30.0,30.0,0.0,,-174.0,1089.0,-254.0,,,835.0,0.0,0.0,0.0,835.0,0.0,835.0,0.0,-6.0,829.0,113.173228,-715.826772,147.925,5.6,5.6,0.765072,148.462,5.58,5.58,0.758384,
06/30/2018,863.0,945.0,-82.0,-521.0,211.0,310.0,342.0,0.0,-88.0,72.0,72.0,,,16.0,254.0,-77.0,27.0,27.0,0.0,,50.0,177.0,-40.0,,,137.0,0.0,0.0,0.0,137.0,0.0,137.0,0.0,-1.0,136.0,183.21,47.21,147.938,0.92,0.92,1.238424,148.115,0.92,0.92,1.238424,
09/30/2018,1148.0,1192.0,-44.0,-670.0,264.0,406.0,478.0,0.0,-122.0,84.0,84.0,,,38.0,356.0,-624.0,46.0,46.0,0.0,,578.0,-268.0,69.0,,,-199.0,0.0,0.0,0.0,-199.0,0.0,-199.0,0.0,0.0,-199.0,269.0,468.0,188.953,-1.05,-1.05,1.423634,188.953,-1.05,-1.05,1.423634,
12/31/2018,1087.0,1067.0,20.0,-717.0,272.0,445.0,370.0,0.0,-38.0,90.0,90.0,,,-52.0,332.0,1559.0,46.0,46.0,0.0,,-1605.0,1891.0,-378.0,,,1513.0,0.0,0.0,0.0,1513.0,0.0,1513.0,0.0,0.0,1513.0,189.0,-1324.0,198.885,7.607411,7.607411,0.950298,199.154,7.597136,7.597136,0.949014,
03/31/2019,1104.0,1104.0,,-754.0,289.0,465.0,350.0,0.0,-137.0,91.0,91.0,,,46.0,213.0,-1102.0,47.0,47.0,0.0,,1055.0,-889.0,194.0,,,-695.0,0.0,0.0,0.0,-695.0,0.0,-695.0,0.0,0.0,-695.0,144.0,839.0,199.148,-3.49,-3.49,0.72308,199.148,-3.49,-3.49,0.722947,
06/30/2019,1077.0,1127.0,-50.0,-774.0,296.0,478.0,303.0,0.0,-975.0,88.0,88.0,,,887.0,-672.0,522.0,48.0,48.0,0.0,,-570.0,-150.0,53.0,,,-97.0,0.0,0.0,0.0,-97.0,0.0,-97.0,0.0,0.0,-97.0,139.79,236.79,199.185,-0.48,-0.48,0.70181,199.185,-0.48,-0.48,0.70181,
09/30/2019,1108.0,1115.0,-7.0,-791.0,303.0,488.0,317.0,0.0,101.0,75.0,75.0,,,-176.0,418.0,362.0,46.0,46.0,0.0,,-408.0,780.0,-222.0,,,558.0,0.0,0.0,0.0,558.0,0.0,558.0,0.0,4.0,562.0,126.0,-436.0,199.448,2.817777,2.817777,0.631744,199.454,2.78,2.78,0.594032,
12/31/2019,1205.0,1246.0,-41.0,-835.0,302.0,533.0,370.0,0.0,-519.0,72.0,72.0,,,447.0,-149.0,-451.0,44.0,44.0,0.0,,407.0,-600.0,129.0,,,-471.0,0.0,0.0,0.0,-471.0,0.0,-471.0,0.0,0.0,-471.0,206.0,677.0,198.121,-2.38,-2.38,1.039769,198.121,-2.38,-2.38,1.037104,
03/31/2020,1123.0,922.0,201.0,-814.0,290.0,524.0,309.0,0.0,-12484.0,69.0,69.0,,,12415.0,-12175.0,1331.0,42.0,42.0,0.0,,-1373.0,-10844.0,1567.0,,,-9277.0,0.0,0.0,0.0,-9277.0,0.0,-9277.0,0.0,0.0,-9277.0,142.58,9419.58,195.326,-47.49,-47.49,0.729959,195.326,-47.49,-47.49,0.729959,
06/30/2020,889.0,474.0,415.0,-494.0,223.0,271.0,395.0,0.0,-488.0,65.0,65.0,,,423.0,-93.0,-474.0,41.0,41.0,0.0,,433.0,-567.0,132.0,,,-435.0,0.0,0.0,0.0,-435.0,0.0,-435.0,0.0,0.0,-435.0,223.0,658.0,195.285,-2.23,-2.23,1.141921,195.285,-2.23,-2.23,1.139434,
09/30/2020,911.364,,,,,,202.6873536,,,,,,,,195.622,,,,,,,308.417,,,,237.077,,,,,,237.077,,,237.077,240.2,,,1.193,1.193,1.183,,1.193,1.193,1.183,
12/31/2020,916.727,,,,,,205.5301934,,,,,,,,205.633,,,,,,,245.077,,,,226.385,,,,,,226.385,,,226.385,230.2,,,0.895,0.895,1.156,,0.895,0.895,1.156,
