Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/2010,33324,1584,1584,0,3232,3232,,,7502,5100,0,2402,0,606,12.0,,232.0,12924,6162,11697,-5535,,14238,13569,9790,3779,,657,20400,,7751,871,517.0,1073.0,5290.0,935,857,,,,78.0,1303,,5.0,1953.0,950,9989,14296,14296,,,,3489,,1046.0,,,485,17785,27774,,1267,0.0,1267.0,-12789.0,16888,-1301,4065,1485.0,5550,33324,
09/30/2010,36879,3507,3507,0,3022,3022,,,8248,5770,0,2478,0,705,10.0,,267.0,15482,6587,12766,-6179,,14810,14063,10195,3868,,737,21397,,9679,1064,709.0,1173.0,6733.0,3852,2416,,,,1436.0,182,,9.0,1892.0,0,13713,13595,13595,,,,3449,,1060.0,,,488,17044,30757,,1236,,,-13723.0,17539,-520,4532,1590.0,6122,36879,
12/31/2010,35050,1703,1703,0,3009,3009,,,8317,5340,0,2977,0,727,,,296.0,13756,6499,12759,-6260,,14795,14034,10161,3873,,761,21294,,9431,835,601.0,1162.0,6833.0,3132,1747,,,,1385.0,241,,,2027.0,0,12804,13370,13370,,,,3755,0.0,1261.0,0.0,0.0,467,17125,29929,,1225,,,-14712.0,18133,-1140,3506,1615.0,5121,35050,
03/31/2011,35554,1322,1322,0,2991,2991,0.0,0.0,8271,5503,0,2768,0,809,22.0,,260.0,13393,6678,13383,-6705,0.0,15483,14514,10537,3977,,947,22161,,9149,964,477.0,1152.0,6556.0,4967,1730,,,,3237.0,227,,2.0,2051.0,0,14343,11885,11885,,,,3814,,1261.0,,,500,15699,30042,,1134,,,-15899.0,18903,-146,3992,1520.0,5512,35554,
06/30/2011,36794,2178,2178,0,3443,3443,,,7904,5596,0,2308,0,808,,,295.0,14333,6793,13912,-7119,,15668,14672,10652,4020,,996,22461,,10661,1027,850.0,1137.0,7647.0,3884,570,,,,3314.0,218,,,2067.0,0,14763,13037,13037,,,,3814,,1255.0,,,492,16851,31614,,1159,,,-17406.0,20178,-262,3669,1511.0,5180,36794,
09/30/2011,36220,3391,3391,0,3242,3242,,,7453,5075,0,2378,0,1004,13.0,,416.0,15090,6411,13213,-6802,,14719,13861,10087,3774,,845,21130,,10852,1121,1132.0,1351.0,7248.0,4889,2563,,,,2326.0,309,,4.0,1983.0,0,16050,12870,12870,,,,3646,,1184.0,,,475,16516,32566,,1200,,,-18853.0,21208,-1425,2130,1524.0,3654,36220,
12/31/2011,35488,2550,2550,0,3201,3201,,,8120,4648,0,3472,0,988,,,446.0,14859,6250,12913,-6663,,14379,13625,9928,3697,,754,20629,,10835,1031,897.0,1341.0,7566.0,3717,1511,,,,2206.0,242,,,1976.0,0,14794,14828,14828,,,,4103,,1665.0,0.0,0.0,462,18931,33725,,1235,,,-19900.0,21757,-2863,229,1534.0,1763,35488,
03/31/2012,36399,3576,3576,0,3472,3472,,0.0,7311,4569,0,2742,0,979,,,498.0,15338,6445,13467,-7022,,14616,13840,10087,3753,,776,21061,,8795,1044,915.0,1329.0,5507.0,5495,4085,,,,1410.0,993,,2.0,2007.0,816,15283,15346,15346,,,,4155,,1678.0,,,468,19501,34784,,1175,,,-21288.0,22592,-2367,112,1503.0,1615,36399,
06/30/2012,35798,3846,3846,0,3553,3553,,,7312,4685,0,2627,0,850,3.0,,294.0,15561,6161,12954,-6793,,14076,13351,9737,3614,,722,20237,,9829,1019,968.0,1314.0,6528.0,5978,2694,,,,3284.0,1023,,2.0,1964.0,833,16830,14824,14824,,,,3998,,1601.0,,,431,18822,35652,,1233,,,-22822.0,23599,-3376,-1366,1512.0,146,35798,
09/30/2012,38309,4817,4817,0,3562,3562,,,8243,5123,0,3120,0,978,15.0,,527.0,17600,6364,13482,-7118,,14345,13554,9903,3651,,776,20709,,10717,1127,1125.0,1436.0,7029.0,4916,2141,,,,2775.0,1093,,4.0,1902.0,904,16726,17520,17520,,,,3947,,1601.0,,,440,21467,38193,,1285,,,-24325.0,24394,-2835,-1481,1597.0,116,38309,
12/31/2012,37670,2983,2983,0,3589,3589,0.0,,8949,5158,0,3791,0,1069,0.0,,459.0,16590,6645,13879,-7234,0.0,14435,13519,9900,3619,24.0,892,21080,,10695,1103,1456.0,1418.0,6718.0,5200,2419,,,,2781.0,1121,0.0,0.0,1875.0,952,17016,17639,17639,,,,4868,0.0,2574.0,,,419,22507,39523,0.0,1334,,,-26282.0,25076,-3604,-3476,1623.0,-1853,37670,
03/31/2013,37418,3981,3981,0,3591,3591,,0.0,7976,5065,0,2911,0,1113,12.0,,472.0,16661,6473,13568,-7095,,14284,13362,9765,3597,,910,20757,,8679,967,783.0,1405.0,5524.0,4802,1539,,,,3263.0,1028,,2.0,1873.0,857,14509,20796,20796,,,,4845,,2483.0,,,487,25641,40150,,1266,,,-27660.0,25800,-3720,-4314,1582.0,-2732,37418,
06/30/2013,37140,3586,3586,0,3964,3964,,,8217,5691,0,2526,0,988,50.0,,354.0,16755,6396,13479,-7083,,13989,13001,9529,3472,,938,20385,,9632,1045,710.0,1391.0,6486.0,3940,2684,,,,1256.0,1134,,12.0,1842.0,956,14706,21559,21559,,,,4804,,2472.0,,,478,26363,41069,,1306,,,-29194.0,26537,-4115,-5466,1537.0,-3929,37140,
09/30/2013,36795,3382,3382,0,3659,3659,,,8026,5551,0,2475,0,949,21.0,,391.0,16016,6583,13898,-7315,,14196,12467,9177,3290,665.0,1043,20779,,9902,1125,925.0,1522.0,6330.0,4923,3668,,,,1255.0,1193,,32.0,1807.0,1031,16018,21877,21877,,,,4808,,2500.0,,,469,26685,42703,,679,,,-30647.0,27359,-4820,-7429,1521.0,-5908,36795,
12/31/2013,38168,2154,2154,0,3853,3853,,,9846,5305,0,4541,0,999,,,344.0,16852,6755,13957,-7202,,14561,12086,8893,3193,1536.0,939,21316,,11861,1274,1192.0,1507.0,7888.0,3655,2400,,,,1255.0,1550,,60.0,1477.0,1382,17066,24023,24023,,,,3353,,1313.0,,,503,27376,44442,,723,,,-32142.0,27843,-4190,-7766,1492.0,-6274,38168,
03/31/2014,36137,1823,1823,0,3408,3408,,0.0,8724,5283,0,3441,0,870,1.0,,347.0,14825,6670,13886,-7216,,14642,12243,9009,3234,1460.0,938,21312,,9036,1064,424.0,1494.0,6054.0,3690,3284,,,,406.0,1245,,45.0,1491.0,1093,13971,25989,25989,,,,3334,,1296.0,,,502,29323,43294,,608,,,-33236.0,28228,-4213,-8613,1456.0,-7157,36137,
06/30/2014,36325,1541,1541,0,4081,4081,0.0,,8271,5177,0,3094,0,817,13.0,,326.0,14710,6648,14071,-7423,0.0,14967,12294,9085,3209,1508.0,1152,21615,,9961,1109,536.0,1482.0,6834.0,2348,1941,,,,407.0,1271,,44.0,1520.0,1099,13580,27161,27161,,,,3431,,1312.0,,,555,30592,44172,0.0,649,,,-34228.0,28601,-4314,-9292,1445.0,-7847,36325,
09/30/2014,35401,2043,2043,0,3785,3785,,,7979,5065,0,2914,0,954,68.0,,386.0,14761,6273,13361,-7088,,14367,11841,8707,3134,1371.0,1087,20640,,10260,1255,744.0,1568.0,6693.0,3448,2091,,,,1357.0,1409,,20.0,1709.0,1175,15117,25395,25395,,,,3566,,1250.0,,,587,28961,44078,0.0,692,,,-34974.0,29192,-5022,-10112,1435.0,-8677,35401,
12/31/2014,35187,1682,1682,0,4004,4004,0.0,,8592,4831,0,3761,0,1206,124.0,,391.0,15484,6071,12759,-6688,0.0,13632,11373,8388,2985,1083.0,1052,19703,,10927,1242,1078.0,1559.0,7048.0,2526,1208,,,,1318.0,1659,0.0,25.0,1549.0,1375,15112,26929,26929,,,,4349,0.0,2202.0,,,573,31278,46390,0.0,710,,,-35762.0,29249,-6826,-12629,1426.0,-11203,35187,
03/31/2015,33255,1524,1524,0,3741,3741,,0.0,7552,4734,0,2818,0,1458,475.0,,804.0,14275,5697,12085,-6388,,13283,10775,7920,2855,1064.0,969,18980,,7973,1038,493.0,1559.0,4883.0,5013,3384,,,,1629.0,1994,,42.0,1975.0,1482,14980,25572,25572,,,,4949,,2097.0,,,835,30521,45501,0.0,613,,,-35628.0,29489,-8090,-13616,1370.0,-12246,33255,
06/30/2015,32713,1838,1838,0,3619,3619,0.0,,7207,4825,0,2382,0,1108,220.0,,341.0,13772,5815,12327,-6512,0.0,13126,10721,7914,2807,1020.0,1165,18941,,9074,1089,651.0,1558.0,5776.0,4636,1710,,,,2926.0,1676,,61.0,1799.0,1366,15386,24566,24566,,,,4559,,2124.0,,,575,29125,44511,0.0,757,,,-35623.0,29822,-8107,-13151,1353.0,-11798,32713,
09/30/2015,32011,2393,2393,0,3322,3322,0.0,,7207,4756,0,2451,0,1190,244.0,,477.0,14112,5600,11865,-6265,0.0,12299,10025,7404,2621,919.0,1111,17899,,9540,1237,1063.0,1589.0,5651.0,3107,1007,,,,2100.0,1455,,88.0,1614.0,1238,14102,25800,25800,,,,4335,,2061.0,,,572,30135,44237,0.0,783,,,-35616.0,30178,-8927,-13582,1356.0,-12226,32011,
12/31/2015,33956,3417,3417,0,2778,2778,0.0,,8473,4253,0,4220,0,1136,266.0,360.0,340.0,15804,5721,11767,-6046,0.0,12431,10038,7415,2623,890.0,877,18152,,10483,1289,970.0,1589.0,6635.0,3230,825,,,,2405.0,1673,0.0,143.0,1543.0,1438,15386,25250,25250,,,,4796,0.0,2566.0,,,544,30046,45432,0.0,1929,0.0,1929.0,-35613.0,29842,-9402,-13244,1768.0,-11476,33956,
03/31/2016,34621,2944,2944,0,2989,2989,0.0,,8699,4649,0,4050,0,1296,212.0,,512.0,15928,5865,12202,-6337,0.0,12828,10347,7683,2664,942.0,1327,18693,,9440,1496,576.0,1591.0,5777.0,3110,673,,,,2437.0,1541,,236.0,1378.0,1387,14091,26683,26683,,,,4741,,2602.0,,,525,31424,45515,0.0,1874,0.0,1874.0,-35498.0,29785,-8914,-12753,1859.0,-10894,34621,
06/30/2016,34802,3814,3814,0,3085,3085,0.0,,7989,4377,0,3612,0,1158,316.0,,606.0,16046,5931,12320,-6389,0.0,12825,10225,7622,2603,948.0,1336,18756,,9473,1547,665.0,1591.0,5670.0,1871,696,,,,1175.0,1328,,175.0,1463.0,1121,12672,28098,28098,,,,4831,,2552.0,,,641,32929,45601,0.0,1907,0.0,1907.0,-35493.0,29985,-8955,-12556,1757.0,-10799,34802,
09/30/2016,35577,4884,4884,0,3100,3100,0.0,,7486,4331,0,3155,0,1104,227.0,,612.0,16574,6133,12698,-6565,0.0,12870,10224,7646,2578,986.0,1433,19003,,9760,1573,875.0,1623.0,5689.0,3127,710,,,,2417.0,1371,,216.0,1376.0,1177,14258,26960,26960,,,,4676,,2556.0,,,528,31636,45894,0.0,1934,0.0,1934.0,-35492.0,30305,-8889,-12142,1825.0,-10317,35577,
12/31/2016,36851,4239,4239,0,3499,3499,0.0,,9017,4067,0,4950,0,853,445.0,859.0,485.0,17608,6064,12360,-6296,0.0,13179,9794,7324,2470,1011.0,1070,19243,,11637,1666,832.0,1621.0,7518.0,3216,643,,,,2573.0,1614,0.0,102.0,1897.0,1553,16467,25851,25851,,,,5433,0.0,2800.0,,,634,31284,47751,0.0,1964,0.0,1964.0,-35490.0,30397,-9559,-12688,1788.0,-10900,36851,
03/31/2017,36627,5076,5076,0,3090,3090,0.0,,8007,4214,0,3793,0,711,292.0,834.0,523.0,16884,6264,12862,-6598,0.0,13479,10002,7485,2517,1079.0,1272,19743,,9162,1746,330.0,1622.0,5464.0,2758,1004,,,,1754.0,1435,,101.0,1739.0,1329,13355,28588,28588,,,,5241,,2840.0,,,561,33829,47184,0.0,1892,0.0,1892.0,-35386.0,30367,-9265,-12392,1835.0,-10557,36627,
06/30/2017,38660,6197,6197,0,3648,3648,0.0,,7730,4219,0,3511,0,857,133.0,800.0,593.0,18432,6629,13556,-6927,0.0,13599,10141,7614,2527,1072.0,1453,20228,,10505,1909,421.0,1623.0,6552.0,5152,898,,,,4254.0,1586,,387.0,1362.0,1337,17243,26595,26595,,,,5099,,2908.0,,,442,31694,48937,0.0,1917,0.0,1917.0,-35383.0,30528,-9070,-12008,1731.0,-10277,38660,
09/30/2017,41951,7667,7667,0,3985,3985,0.0,,8283,4190,0,4093,0,924,79.0,1138.0,748.0,20859,6857,13972,-7115,0.0,14235,10182,7681,2501,1080.0,1756,21092,,10758,1973,463.0,1669.0,6653.0,5910,2905,,,,3005.0,1846,,724.0,1037.0,1503,18514,28065,28065,,,,5005,,2868.0,,,376,33070,51584,0.0,1942,0.0,1942.0,-35383.0,30831,-8797,-11407,1774.0,-9633,41951,
12/31/2017,42968,8447,8447,0,3194,3194,0.0,,8806,4169,0,4637,0,1147,34.0,1007.0,1041.0,21594,7271,14566,-7295,0.0,14103,10098,7666,2432,1074.0,1890,21374,,11560,2242,812.0,1669.0,6837.0,3005,499,,,,2506.0,1397,0.0,1077.0,799.0,1346,15962,31334,31334,,,,5902,0.0,2271.0,,,1755,37236,53198,0.0,1972,0.0,1972.0,-35382.0,29859,-8535,-12086,1856.0,-10230,42968,
03/31/2018,43070,7200,7200,0,3373,3373,0.0,,8592,4218,0,4374,0,1428,6.0,1150.0,1320.0,20593,7459,15056,-7597,0.0,15018,10122,7667,2455,1395.0,2345,22477,,10775,2156,508.0,1675.0,6436.0,5270,608,,,,4662.0,1643,,1670.0,822.0,1556,17688,29578,29578,,,,6286,,2272.0,,,1522,35864,53552,0.0,1868,0.0,1868.0,-35308.0,29985,-8883,-12338,1856.0,-10482,43070,
06/30/2018,40721,6587,6587,0,2936,2936,0.0,,8925,3922,0,5003,0,1580,69.0,909.0,1305.0,20028,7113,14382,-7269,0.0,13580,9648,7312,2336,1352.0,1602,20693,,12400,1953,543.0,1785.0,8119.0,3617,592,,,,3025.0,1424,,755.0,793.0,1319,17441,28048,28022,26.0,26.0,,5400,,2136.0,,,1716,33448,50889,0.0,1893,0.0,1893.0,-35306.0,30406,-8908,-11915,1747.0,-10168,40721,
09/30/2018,39380,5880,5880,0,2936,2936,0.0,,8440,3851,0,4589,0,1282,46.0,990.0,1144.0,18538,7138,14585,-7447,0.0,13704,9588,7271,2317,1361.0,1719,20842,,10546,1662,632.0,1783.0,6469.0,3587,545,,,,3042.0,1466,,850.0,809.0,1301,15599,28179,28179,,,,5544,,2110.0,,,1775,33723,49322,0.0,1906,0.0,1906.0,-35304.0,30877,-9199,-11720,1778.0,-9942,39380,
12/31/2018,39801,6593,6593,0,2950,2950,0.0,,8804,3723,0,5081,0,1095,99.0,977.0,974.0,19442,7201,14557,-7356,0.0,13158,9467,7189,2278,1269.0,1346,20359,,10982,2068,576.0,1783.0,6555.0,4784,730,,,,4054.0,1425,0.0,572.0,898.0,1366,17191,26975,26975,,,,6374,0.0,3083.0,,,1821,33349,50540,0.0,1939,0.0,1939.0,-35301.0,31014,-10111,-12459,1720.0,-10739,39801,
03/31/2019,38042,3081,3081,0,2958,2958,0.0,,8318,3842,0,4476,0,1384,42.0,951.0,1067.0,15741,7601,15006,-7405,0.0,14700,7904,5775,2129,4578.0,1225,22301,,9548,1812,370.0,1783.0,5583.0,7313,1551,180.0,,180.0,5582.0,1625,,502.0,921.0,1561,18486,23657,23095,562.0,36.0,526.0,6084,,2958.0,,,1703,29741,48227,0.0,1907,0.0,1907.0,-35226.0,30588,-9237,-11968,1783.0,-10185,38042,
06/30/2019,39923,4008,4008,0,3506,3506,0.0,,8255,3832,0,4423,0,1394,38.0,1042.0,1055.0,17163,7627,15244,-7617,0.0,15133,7958,5828,2130,4665.0,1430,22760,,11144,1708,594.0,1784.0,7058.0,5215,269,184.0,,184.0,4762.0,1687,,557.0,786.0,1581,18046,25382,24823,559.0,35.0,524.0,5904,,2952.0,,,1609,31286,49332,0.0,1948,0.0,1948.0,-35224.0,31128,-9051,-11199,1790.0,-9409,39923,
09/30/2019,41420,6507,6507,0,3073,3073,0.0,,8529,3595,0,4934,0,1466,59.0,968.0,1072.0,19575,7352,14880,-7528,0.0,14493,7808,5720,2088,4499.0,1159,21845,,10840,1704,723.0,1831.0,6582.0,5573,355,183.0,,183.0,5035.0,1632,,242.0,905.0,1594,18045,26955,26426,529.0,,529.0,5575,,2859.0,,,1569,32530,50575,0.0,1981,0.0,1981.0,-35222.0,31197,-8966,-11010,1855.0,-9155,41420,
12/31/2019,42875,6861,6861,0,3080,3080,0.0,,9235,3648,0,5587,0,1338,21.0,1153.0,969.0,20514,7397,15212,-7815,0.0,14964,7971,5858,2113,4635.0,1184,22361,,12376,2299,796.0,1831.0,7450.0,4583,338,194.0,,194.0,4051.0,1874,0.0,324.0,908.0,1779,18833,27281,26656,625.0,56.0,569.0,6416,0.0,3634.0,,,1550,33697,52530,0.0,2019,0.0,2019.0,-35220.0,30987,-9363,-11577,1978.0,-9599,42931,
03/31/2020,37494,3746,3746,0,2785,2785,0.0,,9045,4167,0,4878,0,1285,161.0,1113.0,954.0,16861,6107,13700,-7593,0.0,14526,7134,5284,1850,4390.0,1728,20633,,11067,2073,811.0,1832.0,6351.0,3371,1438,,,,1933.0,2146,,60.0,838.0,2011,16584,24999,24950,49.0,49.0,,6974,,3560.0,,,2516,31973,48557,0.0,1992,0.0,1992.0,-35146.0,30984,-10774,-12944,1881.0,-11063,37494,
06/30/2020,39162,4200,4200,0,3344,3344,0.0,,8968,4096,0,4872,0,1264,74.0,1159.0,1223.0,17776,6184,14076,-7892,0.0,15202,7601,5653,1948,4516.0,1852,21386,,11438,1991,788.0,1833.0,6826.0,2585,281,,,,2304.0,1769,,317.0,775.0,1656,15792,27043,27043,,,,6447,,3547.0,,,1808,33490,49282,0.0,2044,0.0,2044.0,-35135.0,31103,-10009,-11997,1877.0,-10120,39162,
