Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2007,1573.0,,-1254.0,,,319.0,,-151.0,,,,168.0,-37.0,54.0,63.0,-9.0,,0.0,,-17.0,131.0,-1.0,130.0,2.0,,,128.0,0.0,128.0,-2.0,0.0,126.0,126.0,,150.154309,0.84,0.85,1.06,167.410047,0.76,0.77,0.96,
12/31/2007,1760.0,,-1348.0,,,412.0,0.0,-183.0,145.0,,38.0,229.0,84.0,56.0,66.0,-10.0,,-2.0,-17.0,-121.0,313.0,-104.0,209.0,-6.0,,,215.0,-1.0,214.0,-3.0,0.0,211.0,211.0,,151.7,1.39,1.35,1.01,168.6,1.27,1.23,0.93,
03/31/2008,1846.0,,-1447.0,,,399.0,,-159.0,,,,240.0,-22.0,58.0,67.0,-9.0,,-7.0,,-29.0,218.0,-73.0,145.0,0.0,,,145.0,0.0,145.0,-3.0,0.0,142.0,142.0,,151.993753,0.93,0.93,1.01,167.306016,0.87,0.87,0.95,
06/30/2008,1868.0,,-1492.0,,,376.0,,-156.0,,,,220.0,27.0,53.0,63.0,-10.0,,3.0,,-83.0,247.0,-45.0,202.0,69.0,,,133.0,1.0,134.0,-2.0,0.0,132.0,132.0,,150.90577,0.87,1.33,1.43,167.814803,0.8,1.21,1.3,
09/30/2008,1823.0,,-1509.0,,,314.0,,-160.0,142.0,,18.0,154.0,-2.0,57.0,65.0,-8.0,,1.0,,-56.0,152.0,12.0,164.0,6.0,,,158.0,0.0,158.0,-3.0,0.0,155.0,155.0,,147.063241,1.05,1.09,0.86,162.911689,0.97,1.01,0.78,
12/31/2008,1286.0,,-1195.0,,,91.0,,-145.0,124.0,,21.0,-54.0,-129.0,62.0,66.0,-4.0,,7.0,-8.0,68.0,-183.0,43.0,-140.0,15.0,,,-155.0,,-155.0,-2.0,0.0,-157.0,-157.0,70.85,143.5,-1.09,-0.99,-0.5,143.5,-1.09,-0.99,-0.5,
03/31/2009,1146.0,1146.0,-963.0,946.0,,183.0,0.0,-156.0,114.0,20.0,22.0,27.0,-43.0,48.0,51.0,-3.0,,,2.0,-7.0,-16.0,-5.0,-21.0,-1.0,-1.0,0.0,-20.0,,-20.0,-3.0,0.0,-23.0,-0.6,23.4,143.506981,-0.16,-0.17,-0.004181,143.506981,-0.16,-0.17,-0.006942,
06/30/2009,1244.0,1244.0,-1017.0,996.0,,227.0,0.0,-138.0,114.0,18.0,6.0,89.0,38.0,52.0,54.0,-2.0,,,-35.0,-55.0,127.0,-17.0,110.0,1.0,1.0,0.0,109.0,,109.0,-2.0,0.0,107.0,105.4,-2.6,143.528126,0.74,0.75,0.734351,157.07797,0.69,0.7,0.683448,
09/30/2009,1304.0,1304.0,-1058.0,1038.0,,246.0,0.0,-181.0,110.0,18.0,53.0,65.0,-17.0,49.0,51.0,-2.0,,,-36.0,4.0,48.0,350.0,398.0,0.0,0.0,0.0,398.0,,398.0,-3.0,0.0,395.0,59.8,-335.2,143.591231,2.75,2.75,0.41646,157.562916,2.53,2.53,0.402596,
12/31/2009,1388.0,1388.0,-1118.0,1099.0,,270.0,0.0,-161.0,133.0,17.0,11.0,109.0,-22.0,50.0,51.0,-1.0,,,-22.0,-6.0,87.0,-85.0,2.0,-4.0,-4.0,0.0,6.0,,6.0,-2.0,0.0,4.0,9.1,9.1,144.1,0.03,0.0,0.063151,144.1,0.03,0.0,0.063151,
03/31/2010,1388.0,1388.0,-1185.0,1170.0,,203.0,0.0,-217.0,124.0,18.0,75.0,-14.0,7.0,48.0,49.0,-1.0,,,-49.0,-6.0,-7.0,20.0,13.0,-1.0,-1.0,0.0,14.0,0.0,14.0,-3.0,0.0,11.0,97.75,87.75,150.272227,0.07,0.06,0.650486,152.642371,0.07,0.06,0.634873,
06/30/2010,1517.0,1517.0,-1229.0,1214.0,,288.0,0.0,-132.0,124.0,17.0,-9.0,156.0,68.0,48.0,49.0,-1.0,,,-45.0,-71.0,224.0,-61.0,163.0,3.0,3.0,0.0,160.0,0.0,160.0,0.0,0.0,160.0,151.95,-11.05,156.326226,1.02,1.04,0.972006,158.405119,1.01,1.03,0.960242,
09/30/2010,1506.0,1506.0,-1175.0,1160.0,,331.0,0.0,-110.0,123.0,19.0,-32.0,221.0,-30.0,,48.0,,,,-37.0,19.0,191.0,-44.0,147.0,2.0,2.0,0.0,145.0,0.0,145.0,0.0,0.0,145.0,127.5,-19.5,155.859508,0.93,0.94,0.818044,157.883548,0.92,0.93,0.806491,
12/31/2010,1507.0,1507.0,-1210.0,1194.0,,297.0,0.0,-159.0,132.0,18.0,9.0,138.0,-10.0,53.0,58.0,-5.0,,,-37.0,-6.0,128.0,-27.0,101.0,45.0,45.0,0.0,56.0,0.0,56.0,0.0,0.0,56.0,106.85,5.85,155.7,0.36,0.65,0.686256,158.3,0.35,0.64,0.676955,
03/31/2011,1589.0,1589.0,-1254.0,1238.0,,335.0,0.0,-147.0,128.0,23.0,-4.0,188.0,-8.0,54.0,55.0,-1.0,,,-43.0,-3.0,180.0,-42.0,138.0,-4.0,-4.0,0.0,142.0,0.0,142.0,0.0,0.0,142.0,138.65,0.65,155.966259,0.91,0.88,0.888974,158.666687,0.9,0.87,0.874097,
06/30/2011,1753.0,1753.0,-1360.0,1343.0,,393.0,0.0,-184.0,140.0,25.0,19.0,209.0,71.0,,57.0,,-79.0,,-46.0,-3.0,280.0,-75.0,205.0,2.0,2.0,0.0,203.0,0.0,203.0,0.0,0.0,203.0,226.45,21.45,156.280721,1.3,1.31,1.448995,159.186077,1.28,1.29,1.424748,
09/30/2011,1807.0,1807.0,-1423.0,1406.0,,384.0,0.0,-188.0,140.0,24.0,24.0,196.0,5.0,53.0,54.0,-1.0,-1.0,,-57.0,0.0,201.0,-34.0,167.0,0.0,0.0,0.0,167.0,0.0,167.0,0.0,0.0,167.0,194.95,27.95,156.194459,1.07,1.07,1.248124,159.018839,1.05,1.05,1.225765,
12/31/2011,1614.0,1614.0,-1342.0,1342.0,,272.0,0.0,-175.0,128.0,24.0,23.0,97.0,-3.0,54.0,55.0,-1.0,,,-46.0,-5.0,94.0,2.0,96.0,1.0,1.0,0.0,95.0,0.0,95.0,0.0,0.0,95.0,109.0,13.0,156.4,0.61,0.62,0.696931,158.9,0.6,0.61,0.691812,
03/31/2012,1633.0,1633.0,-1372.0,1359.0,,261.0,0.0,-150.0,126.0,25.0,-1.0,111.0,9.0,44.0,45.0,-1.0,,,-51.0,-2.0,120.0,73.0,193.0,0.0,0.0,0.0,193.0,0.0,193.0,0.0,0.0,193.0,213.8,20.8,156.576896,1.23,1.23,1.365463,159.115232,1.21,1.21,1.340723,
06/30/2012,1675.0,1675.0,-1353.0,1340.0,,322.0,0.0,-144.0,115.0,25.0,4.0,178.0,100.0,,45.0,,-84.0,,-62.0,1.0,278.0,-57.0,221.0,0.0,0.0,0.0,221.0,0.0,221.0,0.0,0.0,221.0,233.35,12.35,158.163378,1.4,1.4,1.475373,159.778255,1.38,1.38,1.457295,
09/30/2012,1609.0,1609.0,-1293.0,1281.0,,316.0,0.0,-140.0,113.0,23.0,4.0,176.0,10.0,,44.0,,-1.0,,-50.0,-3.0,186.0,-57.0,129.0,2.0,2.0,0.0,127.0,0.0,127.0,0.0,0.0,127.0,132.9,3.9,159.15828,0.8,0.81,0.835018,160.129376,0.79,0.8,0.824355,
12/31/2012,1501.0,1501.0,-1257.0,1257.0,13.0,244.0,0.0,-534.0,476.0,31.0,14.0,-290.0,27.0,50.0,51.0,-1.0,,,-79.0,2.0,-263.0,96.0,-167.0,2.0,2.0,0.0,-169.0,0.0,-169.0,0.0,0.0,-169.0,91.7,258.7,159.5,-1.06,-1.05,0.574922,159.5,-1.06,-1.05,0.571944,
03/31/2013,1605.0,1605.0,-1283.0,1272.0,,322.0,0.0,-138.0,106.0,26.0,6.0,184.0,34.0,,43.0,,-24.0,,-54.0,1.0,218.0,-77.0,141.0,-1.0,-1.0,0.0,142.0,0.0,142.0,0.0,0.0,142.0,146.85,5.85,159.682386,0.89,0.88,0.919638,160.201636,0.89,0.88,0.916516,
06/30/2013,1653.0,1653.0,-1343.0,1334.0,,310.0,0.0,-141.0,113.0,23.0,5.0,169.0,39.0,43.0,44.0,-1.0,-23.0,,-55.0,-4.0,208.0,-75.0,133.0,0.0,0.0,0.0,133.0,0.0,133.0,0.0,0.0,133.0,141.45,8.45,159.676462,0.83,0.83,0.885854,160.142156,0.83,0.83,0.882766,
09/30/2013,1636.0,1636.0,-1296.0,1290.0,,340.0,0.0,-129.0,97.0,24.0,8.0,211.0,17.0,,43.0,,-22.0,,-41.0,3.0,228.0,-57.0,171.0,-1.0,-1.0,0.0,172.0,0.0,172.0,0.0,0.0,172.0,175.55,4.55,158.501075,1.09,1.08,1.107563,159.095531,1.08,1.07,1.098599,
12/31/2013,1616.0,1616.0,-1249.0,1249.0,,367.0,0.0,577.0,,7.0,-584.0,944.0,11.0,,42.0,,-24.0,,-30.0,1.0,955.0,-299.0,656.0,2.0,2.0,0.0,654.0,0.0,654.0,0.0,0.0,654.0,166.55,-489.45,157.4,4.16,4.17,1.058132,157.7,4.15,4.16,1.056322,
03/31/2014,1705.0,1705.0,-1333.0,1327.0,,372.0,0.0,-129.0,104.0,22.0,3.0,243.0,30.0,39.0,39.0,0.0,-29.0,,-40.0,0.0,273.0,-78.0,195.0,0.0,0.0,0.0,195.0,1.0,196.0,0.0,0.0,196.0,188.5,-6.5,156.501794,1.25,1.25,1.210849,156.812915,1.25,1.25,1.208549,
06/30/2014,1769.0,1769.0,-1366.0,1361.0,,403.0,0.0,-144.0,119.0,24.0,1.0,259.0,93.0,38.0,40.0,-2.0,-29.0,,-101.0,-1.0,352.0,-94.0,258.0,0.0,0.0,0.0,258.0,1.0,259.0,0.0,0.0,259.0,217.05,-40.95,155.751779,1.66,1.66,1.399984,156.054232,1.66,1.66,1.397591,
09/30/2014,1769.0,1769.0,-1333.0,1333.0,5.0,436.0,0.0,-126.0,118.0,22.0,-19.0,310.0,37.0,38.0,41.0,-3.0,-29.0,,-52.0,6.0,347.0,-90.0,257.0,5.0,5.0,0.0,252.0,1.0,253.0,0.0,0.0,253.0,221.9,-35.1,154.427554,1.64,1.67,1.443395,155.174528,1.63,1.66,1.433803,
12/31/2014,1559.0,1559.0,-1165.0,1165.0,,394.0,0.0,-448.0,417.0,18.0,13.0,-54.0,23.0,31.0,31.0,0.0,-29.0,,-53.0,28.0,-31.0,-52.0,-83.0,2.0,2.0,0.0,-85.0,1.0,-84.0,0.0,0.0,-84.0,85.7,167.7,153.4,-0.55,-0.54,0.55867,153.4,-0.55,-0.54,0.55322,
03/31/2015,1450.0,1450.0,-1069.0,1069.0,3.0,381.0,0.0,-124.0,98.0,20.0,3.0,257.0,49.0,27.0,27.0,0.0,-28.0,,-48.0,0.0,306.0,-72.0,234.0,0.0,0.0,0.0,234.0,2.0,236.0,0.0,0.0,236.0,246.4,10.4,153.21651,1.54,1.54,1.608182,153.901562,1.53,1.53,1.597576,
06/30/2015,1477.0,1477.0,-1102.0,1102.0,3.0,375.0,0.0,-187.0,106.0,59.0,19.0,188.0,39.0,29.0,30.0,-1.0,-26.0,,-40.0,-2.0,227.0,-24.0,203.0,2.0,2.0,0.0,201.0,4.0,205.0,0.0,0.0,205.0,245.9,42.9,153.480175,1.34,1.35,1.628223,153.990933,1.33,1.34,1.618588,
09/30/2015,1413.0,1413.0,-1110.0,1110.0,3.0,303.0,0.0,-117.0,93.0,19.0,2.0,186.0,39.0,29.0,29.0,0.0,-26.0,,-50.0,8.0,225.0,-74.0,151.0,0.0,0.0,0.0,151.0,10.0,161.0,0.0,0.0,161.0,188.3,27.3,149.800029,1.07,1.07,1.257009,151.004081,1.07,1.07,1.25079,
12/31/2015,1334.0,1334.0,-1075.0,1075.0,,259.0,0.0,-564.0,209.0,21.0,334.0,-305.0,35.0,33.0,33.0,0.0,-27.0,,-43.0,2.0,-270.0,-31.0,-301.0,0.0,0.0,0.0,-301.0,3.0,-298.0,0.0,0.0,-298.0,-60.75,237.25,146.9,-2.03,-2.03,-0.413547,146.9,-2.03,-2.03,-0.414956,
03/31/2016,1404.0,1404.0,-1014.0,1014.0,2.0,390.0,0.0,-103.0,80.0,19.0,2.0,287.0,31.0,32.0,33.0,-1.0,-27.0,,-38.0,2.0,318.0,-60.0,258.0,-1.0,-1.0,0.0,259.0,-2.0,257.0,0.0,0.0,257.0,271.0,15.0,147.413234,1.74,1.74,1.83837,148.131114,1.73,1.73,1.831262,
06/30/2016,1351.0,1351.0,-1013.0,1013.0,2.0,338.0,0.0,-95.0,71.0,19.0,3.0,243.0,32.0,30.0,30.0,0.0,-29.0,,-35.0,2.0,275.0,-52.0,223.0,0.0,0.0,0.0,223.0,-2.0,221.0,0.0,0.0,221.0,232.7,11.7,146.482612,1.51,1.51,1.588584,147.065688,1.5,1.5,1.579556,
09/30/2016,1323.0,1323.0,-968.0,968.0,3.0,355.0,0.0,-109.0,81.0,20.0,5.0,246.0,35.0,28.0,28.0,0.0,-26.0,,-41.0,4.0,281.0,-15.0,266.0,3.0,3.0,0.0,263.0,-1.0,262.0,0.0,0.0,262.0,248.5,-16.5,144.005098,1.82,1.84,1.725633,144.601465,1.81,1.83,1.715893,
12/31/2016,1311.0,1311.0,-989.0,989.0,,322.0,0.0,-205.0,184.0,20.0,1.0,117.0,39.0,28.0,29.0,-1.0,-26.0,,-41.0,0.0,156.0,5.0,161.0,0.0,0.0,0.0,161.0,-1.0,160.0,0.0,0.0,160.0,217.0,57.0,141.9,1.13,1.13,1.529246,142.6,1.12,1.12,1.519719,
03/31/2017,1471.0,1471.0,-1119.0,1119.0,,352.0,0.0,-160.0,83.0,17.0,60.0,192.0,48.0,29.0,29.0,0.0,-29.0,0.0,-47.0,-1.0,240.0,-56.0,184.0,0.0,0.0,0.0,184.0,-1.0,183.0,0.0,0.0,183.0,143.65,-39.35,140.64386,1.3,1.3,1.021374,140.997403,1.3,1.3,1.020917,
06/30/2017,1510.0,1510.0,-1145.0,1145.0,,365.0,0.0,-143.0,117.0,17.0,9.0,222.0,59.0,29.0,30.0,-1.0,-29.0,4.0,-38.0,-25.0,281.0,-40.0,241.0,8.0,8.0,0.0,233.0,-2.0,231.0,0.0,0.0,231.0,249.0,10.0,138.619721,1.67,1.73,1.796281,139.029425,1.66,1.72,1.791927,
09/30/2017,1566.0,1566.0,-1183.0,1183.0,,383.0,0.0,-158.0,133.0,19.0,6.0,225.0,64.0,31.0,32.0,-1.0,-24.0,-4.0,-50.0,-17.0,289.0,-57.0,232.0,4.0,4.0,0.0,228.0,-2.0,226.0,0.0,0.0,226.0,264.65,34.65,136.579077,1.65,1.68,1.937705,136.951923,1.65,1.68,1.933008,
12/31/2017,1593.0,1593.0,-1182.0,1182.0,,411.0,0.0,-193.0,165.0,19.0,9.0,218.0,47.0,31.0,31.0,0.0,-26.0,1.0,-48.0,-5.0,265.0,-60.0,205.0,1.0,1.0,0.0,204.0,-1.0,203.0,0.0,0.0,203.0,255.7,51.7,135.8,1.49,1.5,1.882916,136.3,1.49,1.5,1.87931,
03/31/2018,1851.0,1851.0,-1336.0,1336.0,,515.0,0.0,-171.0,147.0,18.0,6.0,344.0,88.0,31.0,33.0,-2.0,-32.0,1.0,-58.0,-30.0,432.0,-65.0,367.0,2.0,2.0,0.0,365.0,-2.0,363.0,0.0,0.0,363.0,381.0,16.0,135.916446,2.67,2.69,2.803193,136.383735,2.66,2.68,2.797316,
06/30/2018,1844.0,1844.0,-1323.0,1323.0,,521.0,0.0,-166.0,136.0,18.0,12.0,355.0,87.0,32.0,32.0,0.0,-34.0,-3.0,-56.0,-26.0,442.0,-97.0,345.0,0.0,0.0,0.0,345.0,-1.0,344.0,0.0,0.0,344.0,396.58,52.58,135.589717,2.54,2.54,2.924853,136.309158,2.52,2.52,2.905741,
09/30/2018,1771.0,1771.0,-1255.0,1255.0,,516.0,0.0,-142.0,129.0,18.0,-5.0,374.0,88.0,28.0,30.0,-2.0,-26.0,0.0,-66.0,-24.0,462.0,-54.0,408.0,6.0,6.0,0.0,402.0,-1.0,401.0,0.0,0.0,401.0,391.52,-15.48,134.519301,2.98,3.02,2.910512,135.49939,2.96,3.0,2.885756,
12/31/2018,1689.0,1689.0,-1269.0,1269.0,,420.0,0.0,-159.0,134.0,18.0,7.0,261.0,-87.0,28.0,30.0,-2.0,-25.0,2.0,-53.0,135.0,174.0,-76.0,98.0,-3.0,-3.0,0.0,101.0,-2.0,99.0,0.0,0.0,99.0,297.99,201.99,131.2,0.75,0.73,2.271265,132.1,0.75,0.73,2.259069,
03/31/2019,1687.0,1687.0,-1234.0,1234.0,,453.0,0.0,-138.0,120.0,16.0,2.0,315.0,70.0,30.0,31.0,-1.0,-32.0,-5.0,-50.0,-13.0,385.0,-46.0,339.0,1.0,1.0,0.0,338.0,-1.0,337.0,0.0,0.0,337.0,336.0,-2.0,127.542328,2.64,2.65,2.63442,128.2157,2.63,2.64,2.624401,
06/30/2019,1592.0,1592.0,-1169.0,1169.0,,423.0,0.0,-238.0,118.0,17.0,103.0,185.0,54.0,27.0,29.0,-2.0,-30.0,-1.0,-39.0,-11.0,239.0,-28.0,211.0,1.0,1.0,0.0,210.0,-1.0,209.0,0.0,0.0,209.0,296.0,86.0,125.289967,1.67,1.68,2.36252,125.847894,1.66,1.67,2.353365,
09/30/2019,1586.0,1586.0,-1172.0,1172.0,,414.0,0.0,-153.0,120.0,17.0,16.0,261.0,62.0,26.0,27.0,-1.0,-27.0,1.0,-45.0,-17.0,323.0,-53.0,270.0,5.0,5.0,0.0,265.0,-2.0,263.0,0.0,0.0,263.0,314.37,46.37,122.699859,2.14,2.18,2.562106,123.299664,2.13,2.17,2.546076,
12/31/2019,1432.0,1432.0,-1116.0,1116.0,,316.0,0.0,-250.0,125.0,17.0,108.0,66.0,-25.0,26.0,28.0,-2.0,-24.0,-2.0,-48.0,73.0,41.0,3.0,44.0,-1.0,-1.0,0.0,45.0,-2.0,43.0,0.0,0.0,43.0,241.0,199.0,120.3,0.36,0.35,2.003325,120.9,0.36,0.35,1.995988,
03/31/2020,1460.0,1460.0,-1112.0,1112.0,,348.0,0.0,-153.0,125.0,17.0,11.0,195.0,97.0,26.0,28.0,-2.0,-37.0,1.0,-57.0,-30.0,292.0,-65.0,227.0,7.0,7.0,0.0,220.0,-2.0,218.0,0.0,0.0,218.0,275.0,50.0,119.251689,1.83,1.89,2.306047,119.899844,1.82,1.88,2.297015,
06/30/2020,1193.0,1193.0,-951.0,951.0,,242.0,0.0,-160.0,114.0,18.0,28.0,82.0,65.0,26.0,27.0,-1.0,-32.0,-1.0,-31.0,-27.0,147.0,-35.0,112.0,3.0,3.0,0.0,109.0,-2.0,107.0,0.0,0.0,107.0,154.21,44.21,118.339872,0.9,0.93,1.303111,118.767633,0.9,0.93,1.302239,
09/30/2020,1337.333,,,,,311.21076243,,,,,,255.0,,,,,,,,,230.125,,189.5,,,,,,189.5,,,189.5,200.5,,,1.634,1.634,1.665,,1.634,1.634,1.665,
12/31/2020,1338.533,,,,,305.11859735,,,,,,233.167,,,,,,,,,222.125,,190.167,,,,,,190.167,,,190.167,190.2,,,1.564,1.564,1.663,,1.564,1.564,1.663,
