Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2011,503.744,344.278,159.466,-147.563,147.563,356.181,0.0,-160.364,137.71,,22.736,-0.082,195.817,-26.094,,9.157,,,-7.035,23.972,169.723,-33.183,136.54,6.552,6.552,0.0,129.988,-31.385,98.603,0.0,0.0,98.603,137.7743,32.6193,161.789,0.61,0.65,0.851568,162.276,0.61,0.65,0.851011,
12/31/2011,553.489,553.489,,-296.03,296.03,257.459,0.0,-24.275,,,23.609,0.666,233.184,16.637,,9.773,,,-20.094,-6.316,249.821,-71.586,178.235,0.0,0.0,0.0,178.235,-43.234,135.001,0.0,0.0,135.001,139.4339,4.4329,160.399,0.84,0.84,0.869294,160.399,0.84,0.84,0.867637,
03/31/2012,535.345,356.382,178.963,-137.781,137.781,397.564,0.0,-182.904,158.329,,24.516,0.059,214.66,8.887,,12.18,,-5.6,-13.913,-1.554,223.547,-66.596,156.951,0.0,0.0,0.0,156.951,-42.048,114.903,0.0,0.0,114.903,114.94135,0.03835,156.118,0.74,0.74,0.736247,157.068,0.73,0.73,0.730244,
06/30/2012,600.986,417.069,183.917,-150.903,150.903,450.083,0.0,-191.367,165.402,,25.938,0.027,258.716,11.735,,13.247,,-2.6,-21.114,-1.268,270.451,-79.028,191.423,0.0,0.0,0.0,191.423,-49.059,142.364,0.0,0.0,142.364,142.38155,0.01755,152.086,0.94,0.94,0.936191,153.438,0.93,0.93,0.930114,
09/30/2012,566.186,377.212,188.974,-156.297,156.297,409.889,0.0,-187.817,158.823,,28.978,0.016,222.072,0.389,,12.518,,-1.6,-11.24,-0.067,222.461,-65.653,156.808,0.0,0.0,0.0,156.808,-38.398,118.41,0.0,0.0,118.41,118.4204,0.0104,149.985,0.79,0.79,0.789548,151.201,0.78,0.78,0.780069,
12/31/2012,604.665,604.665,,-165.855,165.855,438.81,0.0,-219.885,172.919,,28.159,18.807,218.925,2.379,,12.869,,0.2,-14.597,-0.851,221.304,123.17,344.474,0.0,0.0,0.0,344.474,-38.673,305.801,0.0,0.0,305.801,122.9076,-182.8934,150.546,2.03,2.03,0.816412,151.711,2.02,2.02,0.814462,
03/31/2013,594.385,395.477,198.908,-163.751,163.751,430.634,0.0,-210.836,183.16,,26.7,0.976,219.798,5.076,,12.145,,3.6,-20.582,-0.239,224.874,-73.687,151.187,0.0,0.0,0.0,151.187,-43.368,107.819,0.0,0.0,107.819,108.4534,0.6344,148.813,0.72,0.72,0.72879,149.901,0.72,0.72,0.724232,
06/30/2013,665.128,461.774,203.354,-168.677,168.677,496.451,0.0,-206.823,176.77,,29.554,0.499,289.628,16.856,,12.197,,3.1,-25.41,-6.743,306.484,-96.141,210.343,0.0,0.0,0.0,210.343,-50.614,159.729,0.0,0.0,159.729,160.05335,0.32435,147.132,1.09,1.09,1.087821,148.259,1.08,1.08,1.082188,
09/30/2013,616.901,410.189,206.712,-178.221,178.221,438.68,0.0,-206.253,176.644,,29.514,0.095,232.427,2.217,,12.337,,-0.1,-15.18,0.726,234.644,-64.174,170.47,0.0,0.0,0.0,170.47,-41.467,129.003,0.0,0.0,129.003,129.06475,0.06175,146.578,0.88,0.88,0.880519,147.802,0.87,0.87,0.870418,
12/31/2013,654.395,654.395,,-188.645,188.645,465.75,0.0,-249.127,192.481,,31.812,24.834,216.623,8.026,,12.031,,1.9,-18.472,-3.485,224.649,-73.621,151.028,0.0,0.0,0.0,151.028,-42.509,108.519,0.0,0.0,108.519,133.31415,24.79515,146.813,0.74,0.74,0.908054,148.076,0.73,0.73,0.897449,
03/31/2014,643.749,643.749,,-181.138,181.138,462.611,0.0,-223.019,191.877,,31.294,-0.152,239.592,10.103,12.431,,,-0.1,-22.261,-0.173,249.695,-76.906,172.789,0.0,0.0,0.0,172.789,-44.493,128.296,0.0,0.0,128.296,128.1972,-0.0988,146.322,0.88,0.88,0.876131,147.44,0.87,0.87,0.86933,
06/30/2014,708.132,496.978,211.154,-190.181,190.181,517.951,0.0,-234.486,198.666,,34.173,1.647,283.465,14.563,,12.232,,-0.4,-27.263,0.868,298.028,-92.359,205.669,0.0,0.0,0.0,205.669,-51.875,153.794,0.0,0.0,153.794,154.86455,1.07055,142.342,1.08,1.08,1.087975,143.224,1.07,1.07,1.077475,
09/30/2014,644.423,432.149,212.274,-207.099,207.099,437.324,0.0,-198.53,167.361,,31.617,-0.448,238.794,7.417,12.235,12.235,0.0,-0.1,-17.586,-1.966,246.211,-75.91,170.301,0.0,0.0,0.0,170.301,-38.962,131.339,0.0,0.0,131.339,131.0478,-0.2912,140.738,0.93,0.93,0.931147,141.628,0.93,0.93,0.927944,
12/31/2014,669.152,453.51,215.642,-200.478,200.478,468.674,0.0,-238.216,206.895,,31.498,-0.177,230.458,3.459,15.789,15.789,0.0,-0.6,-18.521,-0.127,233.917,-55.868,178.049,0.0,0.0,0.0,178.049,-46.203,131.846,0.0,0.0,131.846,131.73095,-0.11505,136.876,0.96,0.96,0.962411,137.708,0.96,0.96,0.959165,
03/31/2015,658.25,435.268,222.982,-199.147,199.147,459.103,0.0,-233.293,202.187,,28.59,2.516,225.81,11.509,12.967,,,-3.9,-18.945,-1.631,237.319,-71.249,166.07,0.0,0.0,0.0,166.07,-42.227,123.843,0.0,0.0,123.843,135.05092,11.20792,131.259,0.94,0.94,1.028889,131.942,0.94,0.94,1.024946,
06/30/2015,732.102,502.891,229.211,-195.087,195.087,537.015,0.0,-204.98,178.498,,26.438,0.044,332.035,34.459,16.835,,,-35.9,-27.29,11.896,366.494,-120.326,246.168,0.0,0.0,0.0,246.168,-52.45,193.718,0.0,0.0,193.718,172.4216,-21.2964,129.225,1.5,1.5,1.334274,129.868,1.49,1.49,1.326015,
09/30/2015,776.122,527.855,248.267,-270.15,270.15,505.972,0.0,-234.976,193.645,,41.291,0.04,270.996,-32.553,50.439,,,17.0,-23.392,-11.494,238.443,-75.11,163.333,0.0,0.0,0.0,163.333,-38.774,124.559,0.0,0.0,124.559,138.8368,14.2778,129.177,0.96,0.96,1.07478,129.704,0.96,0.96,1.07008,
12/31/2015,851.753,596.516,255.237,-322.973,322.973,528.78,0.0,-253.689,210.849,,42.84,0.0,275.091,4.517,27.806,,,-12.9,-11.289,-8.134,279.608,-76.706,202.902,0.0,0.0,0.0,202.902,-38.194,164.708,0.0,0.0,164.708,175.324,10.616,129.211,1.27,1.27,1.356881,129.728,1.27,1.27,1.351833,
03/31/2016,816.878,571.855,245.023,-279.667,279.667,537.211,0.0,-247.18,198.821,,48.601,-0.242,290.031,208.962,33.745,33.745,0.0,-6.1,-25.678,-210.929,498.993,-159.047,339.946,0.0,0.0,0.0,339.946,-49.049,290.897,0.0,0.0,290.897,177.86696,-113.03004,129.295,2.25,2.25,1.375668,129.79,2.24,2.24,1.369131,
06/30/2016,892.771,646.648,246.123,-286.999,286.999,605.772,0.0,-232.876,191.133,,41.743,0.0,372.896,-41.241,33.175,,,15.1,-21.712,14.678,331.655,-98.303,233.352,0.0,0.0,0.0,233.352,-48.744,184.608,0.0,0.0,184.608,205.124,20.516,129.562,1.42,1.42,1.583211,130.141,1.42,1.42,1.577644,
09/30/2016,803.085,556.425,246.66,-298.207,298.207,504.878,0.0,-246.961,200.82,,46.012,0.129,257.917,-0.033,32.609,,,-19.3,-8.473,-4.803,257.884,-76.043,181.841,0.0,0.0,0.0,181.841,-35.844,145.997,0.0,0.0,145.997,164.00298,18.00598,129.586,1.13,1.13,1.265592,130.124,1.12,1.12,1.258376,
12/31/2016,888.701,641.475,247.226,-328.355,328.355,560.346,0.0,-332.595,215.959,,58.758,57.878,227.751,-38.505,29.912,,,37.1,-15.519,-12.988,189.246,-96.937,92.309,0.0,0.0,0.0,92.309,-40.216,52.093,0.0,0.0,52.093,124.405,72.312,129.661,0.4,0.4,0.959464,130.35,0.4,0.4,0.954753,
03/31/2017,855.12,596.715,258.405,-279.039,279.039,576.081,0.0,-246.527,207.37,,39.157,0.0,329.554,21.401,24.252,,,-27.4,-20.449,2.196,350.955,-101.14,249.815,0.0,0.0,0.0,249.815,-49.915,199.9,0.0,0.0,199.9,199.9,0.0,129.921,1.54,1.54,1.54,130.743,1.53,1.53,1.53,
06/30/2017,925.046,663.034,262.012,-299.851,299.851,625.195,0.0,-251.115,212.397,,38.718,0.0,374.08,26.696,24.203,,,35.0,-20.974,-64.925,400.776,-115.099,285.677,0.0,0.0,0.0,285.677,-51.602,234.075,0.0,0.0,234.075,233.19708,-0.87792,130.233,1.8,1.8,1.790614,130.884,1.79,1.79,1.783292,
09/30/2017,825.525,567.403,258.122,-318.292,318.292,507.233,0.0,-256.328,224.192,,32.136,0.0,250.905,-17.368,23.092,,,-1.1,-8.758,4.134,233.537,-70.454,163.083,0.0,0.0,0.0,163.083,-38.995,124.088,0.0,0.0,124.088,138.22604,14.13804,130.313,0.95,0.95,1.060723,131.262,0.95,0.95,1.057709,
12/31/2017,956.116,678.105,278.011,-356.812,356.812,599.304,0.0,-279.43,237.071,,41.854,0.505,319.874,6.068,21.612,,,,-9.577,-18.103,325.942,-210.166,115.776,0.0,0.0,0.0,115.776,-49.904,65.872,0.0,0.0,65.872,182.393,116.521,130.392,0.51,0.51,1.398805,131.353,0.5,0.5,1.387083,
03/31/2018,882.167,,,,,,,,,,,,306.0,,,,,,,,338.0,,199.333,,,,,,199.333,,,199.333,185.333,,,1.43,1.43,1.483,,1.43,1.43,1.483,
06/30/2018,961.167,,,,,,,,,,,,375.0,,,,,,,,388.333,,237.0,,,,,,237.0,,,237.0,217.333,,,1.72,1.72,1.741,,1.72,1.72,1.741,
