Date,Revenue,Sales & Services Revenue,Other Revenue,Other Operating Income,Operating Expenses,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2002,371.0,,,,-308.0,,,63.0,-15.0,-3.0,16.0,-19.0,0.0,,18.0,48.0,-20.0,28.0,0.0,,,28.0,3.0,31.0,0.0,0.0,31.0,31.0,,55.492647,0.55629,0.55629,0.7947,63.042667,0.50331,0.50331,0.74172,
12/31/2002,461.0,,,,-334.0,,,127.0,57.0,,15.0,-22.0,0.0,,-50.0,184.0,-58.0,126.0,0.0,,,126.0,-8.0,118.0,0.0,0.0,118.0,118.0,,55.492647,2.1192,2.1192,1.56291,63.420168,1.8543,1.8543,1.29801,
03/31/2003,540.0,,,,-361.0,,,179.0,2.0,,15.0,-15.0,0.0,,-2.0,181.0,-61.0,120.0,0.0,,,120.0,-3.0,117.0,0.0,0.0,117.0,117.0,,56.247649,2.09271,2.09271,2.19867,63.797669,1.82781,1.82781,1.93377,
06/30/2003,472.0,,,,-355.0,,,117.0,7.0,-7.0,13.0,-20.0,0.0,,0.0,124.0,-44.0,80.0,0.0,,,80.0,0.0,80.0,0.0,0.0,80.0,80.0,,57.380152,1.40397,1.40397,1.43046,63.797669,1.24503,1.24503,1.29801,
09/30/2003,434.0,,,,-352.0,,,82.0,15.0,-6.0,12.0,-18.0,0.0,,-9.0,97.0,3.0,100.0,0.0,,,100.0,-1.0,99.0,0.0,0.0,99.0,99.0,,57.757653,1.72185,1.72185,1.13907,63.420168,1.56291,1.56291,0.98013,
12/31/2003,558.0,,,,-386.0,,,172.0,7.0,,13.0,-19.0,0.0,,-1.0,179.0,-57.0,122.0,0.0,,,122.0,-4.0,118.0,0.0,0.0,118.0,118.0,,58.890156,2.01324,2.01324,2.03973,64.17517,1.82781,1.82781,1.8543,
03/31/2004,648.0,,,,-429.0,,,219.0,5.0,-12.0,5.0,-17.0,0.0,,7.0,224.0,-72.0,152.0,0.0,,,152.0,-4.0,148.0,0.0,0.0,148.0,148.0,,59.645158,2.49006,2.49006,2.72847,64.17517,2.30463,2.30463,2.49006,
06/30/2004,516.0,,,,-384.0,,,132.0,17.0,-12.0,4.0,-16.0,0.0,,-5.0,149.0,-52.0,97.0,0.0,,,97.0,-1.0,96.0,0.0,0.0,96.0,96.0,,59.645158,1.61589,1.61589,1.61589,63.797669,1.50993,1.50993,1.50993,
09/30/2004,472.0,,,,-381.0,,,91.0,15.0,-12.0,6.0,-18.0,0.0,,-3.0,106.0,-31.0,75.0,0.0,,,75.0,0.0,75.0,0.0,0.0,75.0,75.0,,59.267657,1.27152,1.27152,1.29801,63.042667,1.19205,1.19205,1.21854,
12/31/2004,569.0,,,,-424.0,,,145.0,18.0,,7.0,-19.0,0.0,,-6.0,163.0,-53.0,110.0,0.0,,,110.0,2.0,108.0,0.0,0.0,108.0,108.0,,59.267657,1.82781,1.82781,1.74834,62.665166,1.72185,1.72185,1.66887,
03/31/2005,651.0,,,0.0,-531.0,,,120.0,-25.0,6.0,6.0,,,,33.0,95.0,-24.0,71.0,0.0,,,71.0,-4.0,67.0,0.0,0.0,67.0,67.0,,61.532663,1.088853,1.088853,,62.287665,1.075655,1.075655,,
06/30/2005,530.0,,,0.0,-428.0,,,102.0,89.0,6.0,6.0,,,,-97.0,191.0,-75.0,116.0,0.0,,,116.0,-2.0,114.0,0.0,0.0,114.0,114.0,,61.532663,1.8543,1.8543,1.19205,61.910164,1.8543,1.8543,1.19205,
09/30/2005,469.0,,,,-421.0,,,48.0,14.0,9.0,9.0,,,,-23.0,62.0,-16.0,46.0,,,,46.0,-1.0,45.0,,0.0,45.0,45.0,,60.40016,0.74172,0.74172,0.74172,61.155162,0.74172,0.74172,0.74172,
12/31/2005,544.0,,,,-463.0,,,81.0,6.0,,9.0,,0.0,,-15.0,87.0,-28.0,59.0,0.0,,,59.0,-4.0,55.0,0.0,0.0,55.0,55.0,,59.267657,0.92715,0.92715,0.92715,60.022659,0.92715,0.92715,0.92715,
03/31/2006,671.0,,,0.0,-467.0,,,204.0,-9.0,,9.0,,,14.0,0.0,195.0,-62.0,147.0,0.0,,,147.0,-7.0,140.0,0.0,0.0,140.0,140.0,,59.267657,2.35761,2.35761,2.35761,60.022659,2.33112,2.33112,2.33112,
06/30/2006,572.0,,,,-474.0,,,98.0,12.0,,9.0,,0.0,,-21.0,110.0,-36.0,74.0,0.0,,,74.0,-2.0,72.0,0.0,0.0,72.0,72.0,,59.267657,1.21854,1.21854,1.21854,60.022659,1.19205,1.19205,1.19205,
09/30/2006,519.0,,,,-538.0,,,-19.0,113.0,9.0,9.0,,,,-122.0,94.0,-3.0,91.0,,,,91.0,-2.0,89.0,,,89.0,89.0,,59.267657,1.50993,1.50993,0.95364,60.022659,1.48344,1.48344,0.95364,
12/31/2006,598.0,,,,-495.0,,,103.0,14.0,,11.0,,0.0,,-25.0,117.0,38.0,155.0,0.0,,,155.0,-7.0,148.0,0.0,0.0,148.0,148.0,,58.512655,2.51655,2.51655,1.48344,59.267657,2.49006,2.49006,1.45695,
03/31/2007,739.0,,,0.0,-504.0,,,235.0,-9.0,,12.0,,,19.0,-3.0,226.0,-68.0,177.0,,,,177.0,-8.0,169.0,0.0,0.0,169.0,169.0,,57.380152,2.94039,2.94039,2.94039,58.135154,2.9139,2.9139,2.86092,
06/30/2007,626.0,,,,-491.0,,,135.0,-20.0,19.0,19.0,,0.0,,1.0,115.0,-36.0,79.0,0.0,,,79.0,-1.0,78.0,0.0,0.0,78.0,78.0,,53.605142,1.45695,1.45695,1.43046,54.737645,1.43046,1.43046,1.40397,
09/30/2007,574.0,,,,-484.0,,,90.0,-9.0,17.0,17.0,,0.0,,-8.0,81.0,-12.0,69.0,0.0,,,69.0,-2.0,67.0,0.0,0.0,67.0,67.0,,53.982643,1.24503,1.24503,1.24503,54.737645,1.21854,1.21854,1.21854,
12/31/2007,639.0,,,0.0,-495.0,,,144.0,-15.0,,18.0,,,,-7.0,129.0,-28.0,101.0,,,,101.0,-6.0,95.0,0.0,0.0,95.0,95.0,,53.982643,1.74834,1.74834,1.69536,54.737645,1.74834,1.74834,1.69536,
03/31/2008,795.0,,,0.0,-576.0,,,219.0,16.0,16.0,16.0,,0.0,,-6.0,235.0,-60.0,175.0,0.0,,,175.0,-9.0,166.0,0.0,0.0,166.0,166.0,-4.26,53.605142,3.096718,3.096718,3.09933,53.982643,3.075062,3.075062,3.07284,
06/30/2008,661.0,,,0.0,-586.0,,,75.0,-22.0,21.0,21.0,,0.0,,-2.0,53.0,-12.0,41.0,0.0,,,41.0,-2.0,39.0,0.0,0.0,39.0,39.0,-1.3,53.227641,0.74172,0.74172,0.74172,53.605142,0.71523,0.71523,0.690978,
09/30/2008,579.0,,,0.0,-510.0,,,69.0,-29.0,32.0,32.0,,0.0,,3.0,40.0,-2.0,38.0,0.0,,,38.0,-2.0,36.0,0.0,0.0,36.0,36.0,1.95,53.605142,0.66225,0.66225,0.698626,53.605142,0.66225,0.66225,0.698626,
12/31/2008,792.0,,,0.0,-659.0,,,133.0,-41.0,,36.0,,0.0,,-2.0,92.0,-23.0,69.0,-1.0,,,70.0,-8.0,62.0,0.0,0.0,62.0,62.0,0.0,62.665166,0.98013,0.98013,0.98013,63.042667,0.98013,0.98013,0.98013,
03/31/2009,930.0,915.0,15.0,0.0,-656.0,38.0,618.0,274.0,-38.0,,38.0,,,26.0,0.0,236.0,-62.0,200.0,-1.0,-1.0,0.0,201.0,-8.0,193.0,0.0,0.0,193.0,204.4,12.4,63.042667,3.07284,3.04635,3.242248,63.042667,3.07284,3.04635,3.242248,
06/30/2009,784.0,772.0,12.0,0.0,-619.0,37.0,582.0,165.0,-43.0,,43.0,,,,0.0,122.0,-31.0,91.0,0.0,0.0,0.0,91.0,-4.0,87.0,0.0,0.0,87.0,89.3,2.3,63.420168,1.37748,1.37748,1.40807,63.420168,1.37748,1.37748,1.40807,
09/30/2009,725.0,714.0,11.0,0.0,-643.0,44.0,599.0,82.0,-47.0,,47.0,,,16.0,0.0,35.0,29.0,80.0,-1.0,-1.0,0.0,81.0,-2.0,79.0,0.0,0.0,79.0,91.3,13.3,63.420168,1.21854,1.21854,1.439604,63.797669,1.21854,1.21854,1.427011,
12/31/2009,824.0,809.0,15.0,0.0,-651.0,41.0,610.0,173.0,-46.0,,46.0,,,-9.0,0.0,127.0,-32.0,86.0,0.0,0.0,0.0,86.0,-7.0,79.0,0.0,0.0,79.0,82.6,3.6,63.420168,1.24503,1.24503,1.302426,63.797669,1.24503,1.24503,1.301459,
03/31/2010,972.0,963.0,9.0,0.0,-671.0,36.0,635.0,301.0,-43.0,,43.0,,,20.0,0.0,258.0,-67.0,211.0,0.0,0.0,0.0,211.0,-7.0,204.0,0.0,0.0,204.0,221.2,17.2,63.797669,3.20529,3.20529,3.467212,64.17517,3.1788,3.1788,3.446815,
06/30/2010,799.0,789.0,10.0,0.0,-630.0,37.0,593.0,169.0,-41.0,,41.0,,,-2.0,0.0,128.0,-35.0,91.0,0.0,0.0,0.0,91.0,-2.0,89.0,0.0,0.0,89.0,93.95,4.95,64.17517,1.37748,1.37748,1.463962,64.17517,1.37748,1.37748,1.454613,
09/30/2010,733.0,723.0,10.0,0.0,-627.0,36.0,591.0,106.0,-40.0,,40.0,,,9.0,0.0,66.0,-10.0,65.0,0.0,0.0,0.0,65.0,-1.0,64.0,0.0,0.0,64.0,65.95,1.95,64.17517,1.00662,1.00662,1.027656,64.552671,0.98013,0.98013,1.010339,
12/31/2010,833.0,823.0,10.0,0.0,-656.0,36.0,620.0,177.0,-42.0,,42.0,,,-4.0,0.0,135.0,-28.0,103.0,0.0,0.0,0.0,103.0,-5.0,98.0,0.0,0.0,98.0,98.65,0.65,64.552671,1.50993,1.50993,1.528211,64.930172,1.50993,1.50993,1.51994,
03/31/2011,1007.0,999.0,8.0,0.0,-768.0,37.0,731.0,239.0,-211.0,,40.0,,,16.0,171.0,28.0,-1.0,43.0,1.0,1.0,0.0,42.0,-8.0,34.0,0.0,0.0,34.0,224.0,189.0,64.552671,0.5298,0.5298,3.470036,65.685174,0.5298,0.5298,3.407162,
06/30/2011,861.0,852.0,9.0,0.0,-705.0,36.0,669.0,156.0,-34.0,,34.0,,,-3.0,0.0,122.0,-31.0,88.0,-1.0,-1.0,0.0,89.0,-4.0,85.0,0.0,0.0,85.0,107.0,23.0,64.930172,1.29801,1.29801,1.647924,66.440176,1.27152,1.27152,1.617696,
09/30/2011,760.0,753.0,7.0,0.0,-670.0,35.0,635.0,90.0,-38.0,,38.0,,,10.0,0.0,52.0,-2.0,60.0,0.0,0.0,0.0,60.0,0.0,60.0,0.0,0.0,60.0,72.0,12.0,65.307673,0.92715,0.92715,1.102474,66.440176,0.90066,0.90066,1.081274,
12/31/2011,825.0,816.0,9.0,0.0,-719.0,34.0,685.0,106.0,-44.0,,44.0,,,-11.0,0.0,62.0,-8.0,43.0,-1.0,-1.0,0.0,44.0,-4.0,40.0,0.0,0.0,40.0,94.0,55.0,65.685174,0.60927,0.58278,1.431069,66.440176,0.60927,0.58278,1.410592,
03/31/2012,1013.0,1005.0,8.0,0.0,-696.0,34.0,662.0,317.0,-32.0,,32.0,,,15.0,0.0,285.0,-68.0,232.0,0.0,0.0,0.0,232.0,-7.0,225.0,0.0,0.0,225.0,233.0,8.0,65.685174,3.417209,3.417209,3.547222,66.440176,3.390719,3.390719,3.51113,
06/30/2012,842.0,837.0,5.0,0.0,-663.0,34.0,629.0,179.0,-33.0,,33.0,,,-1.0,0.0,146.0,-36.0,109.0,-1.0,-1.0,0.0,110.0,-2.0,108.0,0.0,0.0,108.0,105.3,-1.7,65.307673,1.64238,1.64238,1.612369,66.440176,1.61589,1.61589,1.590303,
09/30/2012,754.0,749.0,5.0,0.0,-684.0,35.0,649.0,70.0,-32.0,,32.0,,,-2.0,0.0,38.0,-10.0,26.0,0.0,0.0,0.0,26.0,0.0,26.0,0.0,0.0,26.0,38.0,12.0,65.307673,0.39735,0.39735,0.581861,66.062675,0.39735,0.39735,0.578994,
12/31/2012,871.0,867.0,4.0,0.0,-1646.0,35.0,1611.0,-775.0,-31.0,,31.0,,,-7.0,0.0,-806.0,13.0,-800.0,1.0,1.0,0.0,-801.0,-4.0,-805.0,0.0,0.0,-805.0,79.0,883.0,65.307673,-12.317848,-12.317848,1.209658,65.307673,-12.317848,-12.317848,1.202768,
03/31/2013,1051.0,1046.0,5.0,0.0,-770.0,40.0,730.0,281.0,-25.0,,31.0,,-6.0,15.0,0.0,256.0,-48.0,223.0,0.0,0.0,0.0,223.0,-4.0,219.0,0.0,0.0,219.0,257.0,38.0,65.307673,3.364229,3.364229,3.935219,66.440176,3.28476,3.28476,3.856702,
06/30/2013,890.0,885.0,5.0,0.0,-719.0,35.0,684.0,171.0,-32.0,,32.0,,,-3.0,0.0,139.0,-29.0,107.0,0.0,0.0,0.0,107.0,-2.0,105.0,0.0,0.0,105.0,110.85,5.85,66.062675,1.5894,1.5894,1.677953,67.195178,1.56291,1.56291,1.649969,
09/30/2013,795.0,791.0,4.0,0.0,-725.0,35.0,690.0,70.0,-85.0,,30.0,,-5.0,-1.0,60.0,-15.0,-11.0,-27.0,0.0,0.0,0.0,-27.0,0.0,-27.0,0.0,0.0,-27.0,34.0,61.0,66.817677,-0.39735,-0.39735,0.508846,66.817677,-0.39735,-0.39735,0.508846,
12/31/2013,919.0,911.0,8.0,0.0,-767.0,39.0,728.0,152.0,-33.0,,33.0,,,-11.0,0.0,119.0,-34.0,74.0,0.0,0.0,0.0,74.0,-6.0,68.0,0.0,0.0,68.0,76.0,8.0,67.195178,1.00662,1.00662,1.131033,68.705182,0.98013,0.98013,1.096569,
03/31/2014,1097.0,1090.0,7.0,0.0,-771.0,36.0,735.0,326.0,-32.0,,32.0,,-3.0,19.0,3.0,294.0,-63.0,250.0,0.0,0.0,0.0,250.0,-4.0,246.0,0.0,0.0,246.0,248.0,2.0,67.572679,3.629129,3.629129,3.670123,68.705182,3.576149,3.576149,3.605259,
06/30/2014,935.0,930.0,5.0,0.0,-787.0,36.0,751.0,148.0,-38.0,,35.0,,-9.0,-3.0,12.0,110.0,-59.0,48.0,0.0,0.0,0.0,48.0,-1.0,47.0,0.0,0.0,47.0,60.7,13.7,67.572679,0.68874,0.68874,0.898292,68.705182,0.68874,0.68874,0.888143,
09/30/2014,812.0,808.0,4.0,0.0,-778.0,36.0,742.0,34.0,-43.0,,34.0,,9.0,3.0,0.0,-9.0,-2.0,-8.0,0.0,0.0,0.0,-8.0,1.0,-7.0,0.0,0.0,-7.0,7.0,14.0,67.195178,-0.10596,-0.10596,0.104175,67.195178,-0.10596,-0.10596,0.102389,
12/31/2014,958.0,939.0,19.0,0.0,-819.0,38.0,781.0,139.0,-16.0,,34.0,,-5.0,-5.0,-13.0,123.0,-35.0,83.0,0.0,0.0,0.0,83.0,-7.0,76.0,0.0,0.0,76.0,88.0,12.0,67.0,1.13907,1.13907,1.313432,68.0,1.11258,1.11258,1.289051,
03/31/2015,1087.0,1081.0,6.0,0.0,-794.0,36.0,758.0,293.0,-39.0,,33.0,,10.0,16.0,-4.0,254.0,-56.0,214.0,0.0,0.0,0.0,214.0,-4.0,210.0,0.0,0.0,210.0,230.0,20.0,67.572679,3.09933,3.09933,3.403742,68.705182,3.04635,3.04635,3.337448,
06/30/2015,922.0,917.0,5.0,0.0,-817.0,39.0,778.0,105.0,-12.0,,35.0,,16.0,-2.0,-39.0,93.0,-19.0,72.0,0.0,0.0,0.0,72.0,-2.0,70.0,0.0,0.0,70.0,104.0,34.0,67.95018,1.03311,1.03311,1.530534,68.705182,1.00662,1.00662,1.501487,
09/30/2015,846.0,841.0,5.0,0.0,-819.0,48.0,771.0,27.0,-26.0,,35.0,,3.0,3.0,-12.0,1.0,112.0,116.0,0.0,0.0,0.0,116.0,1.0,117.0,0.0,0.0,117.0,25.0,-92.0,67.95018,1.72185,1.72185,0.367917,68.705182,1.69536,1.69536,0.356304,
12/31/2015,974.0,970.0,4.0,0.0,-972.0,48.0,924.0,2.0,-10.0,,39.0,,-22.0,-6.0,-7.0,-8.0,-4.0,-18.0,0.0,0.0,0.0,-18.0,-6.0,-24.0,0.0,0.0,-24.0,103.859155,127.859155,68.0,-0.349999,-0.349999,1.527342,69.0,-0.349999,-0.349999,1.503032,
03/31/2016,2234.0,2219.0,15.0,0.0,-1908.0,204.0,1704.0,326.0,-64.0,,46.0,,0.0,1.0,18.0,262.0,-18.0,245.0,0.0,0.0,0.0,245.0,-7.0,238.0,0.0,0.0,238.0,329.0,91.0,135.2272,1.76,1.76,2.432942,136.0,1.75,1.75,2.419118,
06/30/2016,1949.0,1894.0,55.0,0.0,-1813.0,169.0,1644.0,136.0,-41.0,,47.0,,0.0,0.0,-6.0,95.0,-19.0,76.0,0.0,0.0,0.0,76.0,-4.0,72.0,0.0,0.0,72.0,122.495455,50.495455,139.0,0.52,0.52,0.881262,140.0,0.51,0.51,0.870682,
09/30/2016,1777.0,1761.0,16.0,0.0,-1776.0,202.0,1574.0,1.0,-59.0,,45.0,,0.0,1.0,14.0,-58.0,26.0,-31.0,0.0,0.0,0.0,-31.0,-1.0,-32.0,0.0,0.0,-32.0,29.466942,61.466942,138.0,-0.23,-0.23,0.213529,138.0,-0.23,-0.23,0.213529,
12/31/2016,1927.0,1904.0,23.0,0.0,-1839.0,194.0,1645.0,88.0,-47.0,,46.0,,0.0,0.0,1.0,41.0,-1.0,40.0,0.0,0.0,0.0,40.0,-6.0,34.0,0.0,0.0,34.0,143.048951,109.048951,137.0,0.25,0.25,1.044153,138.0,0.25,0.25,1.04021,
03/31/2017,2319.0,2319.0,,0.0,-1918.0,197.0,1721.0,401.0,-3.0,,46.0,,0.0,,-43.0,398.0,-46.0,352.0,0.0,0.0,0.0,352.0,-8.0,344.0,0.0,0.0,344.0,408.793562,64.793562,137.0,2.51,2.51,2.983895,138.0,2.5,2.5,2.969519,
06/30/2017,1953.0,1953.0,,0.0,-1892.0,200.0,1692.0,61.0,-12.0,,46.0,,,,-34.0,49.0,-8.0,41.0,0.0,0.0,0.0,41.0,-8.0,33.0,0.0,0.0,33.0,95.987552,62.987552,136.0,0.24,0.24,0.705791,137.0,0.24,0.24,0.699763,
09/30/2017,1852.0,1852.0,,0.0,-1878.0,195.0,1683.0,-26.0,-9.0,,47.0,,,,-38.0,-35.0,-19.0,-54.0,0.0,0.0,0.0,-54.0,0.0,-54.0,0.0,0.0,-54.0,5.757755,59.757755,132.0,-0.4,-0.4,0.043619,132.0,-0.4,-0.4,0.043619,
12/31/2017,2078.0,2078.0,,0.0,-1998.0,192.0,1806.0,80.0,0.0,,49.0,,0.0,,-49.0,80.0,173.0,253.0,0.0,0.0,0.0,253.0,-8.0,245.0,0.0,0.0,245.0,180.874587,-64.125413,133.0,1.85,1.85,1.359959,133.0,1.84,1.84,1.357854,
03/31/2018,2292.0,2292.0,,0.0,-2033.0,190.0,1843.0,259.0,5.0,,51.0,,0.0,,-56.0,264.0,-43.0,221.0,0.0,0.0,0.0,221.0,-6.0,215.0,0.0,0.0,215.0,254.336804,39.336804,133.0,1.62,1.62,1.912307,133.0,1.61,1.61,1.905765,
06/30/2018,1990.0,1990.0,,0.0,-1927.0,191.0,1736.0,63.0,11.0,,52.0,,0.0,,-63.0,74.0,-9.0,65.0,0.0,0.0,0.0,65.0,-7.0,58.0,0.0,0.0,58.0,99.461538,41.461538,132.0,0.44,0.44,0.753497,133.0,0.44,0.44,0.751741,
09/30/2018,1859.0,1859.0,,0.0,-1842.0,180.0,1662.0,17.0,19.0,,51.0,,,,-70.0,36.0,10.0,46.0,0.0,0.0,0.0,46.0,-2.0,44.0,0.0,0.0,44.0,78.300578,34.300578,131.0,0.34,0.34,0.597714,132.0,0.33,0.33,0.589853,
12/31/2018,2372.0,2372.0,,0.0,-1902.0,181.0,1721.0,470.0,7.0,,54.0,,,,-61.0,477.0,-94.0,383.0,0.0,0.0,0.0,383.0,-5.0,378.0,0.0,0.0,378.0,428.159574,50.159574,130.0,2.91,2.91,3.293535,131.0,2.89,2.89,3.272898,
03/31/2019,2312.0,2312.0,,0.0,-1953.0,181.0,1772.0,359.0,1.0,,54.0,,,,-55.0,360.0,-67.0,293.0,0.0,0.0,0.0,293.0,-6.0,287.0,0.0,0.0,287.0,291.556391,4.556391,130.0,2.21,2.21,2.242741,130.0,2.2,2.2,2.235049,
06/30/2019,2048.0,2048.0,,0.0,-1872.0,182.0,1690.0,176.0,11.0,,56.0,,,,-67.0,187.0,-38.0,149.0,0.0,0.0,0.0,149.0,-11.0,138.0,0.0,0.0,138.0,138.0,0.0,130.0,1.06,1.06,1.06,130.0,1.06,1.06,1.06,
09/30/2019,1989.0,1989.0,,0.0,-1882.0,176.0,1706.0,107.0,-7.0,,62.0,,,,-55.0,100.0,-20.0,80.0,0.0,0.0,0.0,80.0,-5.0,75.0,0.0,0.0,75.0,79.596774,4.596774,130.0,0.58,0.58,0.612283,130.0,0.58,0.58,0.612283,
12/31/2019,2690.0,2690.0,,0.0,-2003.0,190.0,1813.0,687.0,-12.0,,62.0,,,,-50.0,675.0,-124.0,551.0,0.0,0.0,0.0,551.0,-7.0,544.0,0.0,0.0,544.0,546.25,2.25,129.0,4.2,4.2,4.234496,130.0,4.18,4.18,4.197308,
03/31/2020,2466.0,2466.0,,0.0,-2106.0,219.0,1887.0,360.0,31.0,,61.0,,,,-92.0,391.0,-78.0,313.0,0.0,0.0,0.0,313.0,-8.0,305.0,0.0,0.0,305.0,339.666667,34.666667,130.0,2.36,2.36,2.612821,130.0,2.34,2.34,2.606667,
06/30/2020,2113.0,2113.0,,0.0,-1950.0,186.0,1764.0,163.0,14.0,,62.0,,,,-76.0,177.0,-75.0,102.0,0.0,0.0,0.0,102.0,-8.0,94.0,0.0,0.0,94.0,108.444444,14.444444,129.0,0.73,0.73,0.840655,130.0,0.72,0.72,0.831111,
09/30/2020,1983.182,,,,,,,161.5,,,,,,,,213.0,,81.557,,,,,,81.557,,,81.557,164.833,,,0.646,0.646,1.261,,0.646,0.646,1.261,
12/31/2020,2700.182,,,,,,,776.5,,,,,,,,804.4,,564.571,,,,,,564.571,,,564.571,644.0,,,4.37,4.37,4.966,,4.37,4.37,4.966,
