Date,Revenue,Sales & Services Revenue,Other Revenue,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/2006,650.0,,,,-565.0,,32.0,,533.0,85.0,-24.0,,1.0,0.0,,0.0,,23.0,61.0,-16.0,45.0,0.0,,,45.0,0.0,45.0,0.0,0.0,45.0,45.0,,157.0,0.29,0.29,0.45,158.0,0.29,0.29,0.45,
03/31/2007,702.0,,,,-590.0,,,,,112.0,2.0,1.0,1.0,0.0,,0.0,,-3.0,114.0,-46.0,68.0,0.0,,,68.0,0.0,68.0,0.0,0.0,68.0,68.0,,157.0,0.43,0.43,0.47,158.0,0.43,0.43,0.47,
06/30/2007,1077.0,,,,-806.0,,,,,271.0,-26.0,44.0,44.0,0.0,,0.0,,-18.0,245.0,-78.0,167.0,0.0,,,167.0,-6.0,161.0,0.0,0.0,161.0,161.0,11.0,259.0,0.62,0.62,0.65,260.0,0.62,0.62,0.65,
09/30/2007,1126.0,,,,-813.0,,,,,313.0,0.0,46.0,46.0,0.0,,0.0,,-46.0,313.0,-50.0,263.0,-1.0,,,264.0,-6.0,258.0,0.0,0.0,258.0,258.0,-56.0,265.0,0.97,0.97,0.75,266.0,0.97,0.97,0.75,
12/31/2007,1098.0,,,,-848.0,,58.0,,790.0,250.0,-30.0,,38.0,0.0,,0.0,,-8.0,240.0,-69.0,151.0,-3.0,,,174.0,2.0,156.0,0.0,0.0,156.0,156.0,,265.0,0.59,0.58,0.65,266.0,0.59,0.58,0.65,
03/31/2008,1212.0,,,0.0,-875.0,,40.0,,835.0,337.0,-5.0,,33.0,,,,,-28.0,332.0,-98.0,234.0,0.0,,,234.0,-4.0,230.0,0.0,0.0,230.0,230.0,,265.0,0.87,0.86,0.91,266.0,0.87,0.86,0.9,
06/30/2008,1068.0,,,0.0,-750.0,,46.0,,704.0,318.0,-49.0,40.0,40.0,0.0,,0.0,,9.0,269.0,-74.0,195.0,-1.0,,,196.0,-1.0,195.0,0.0,0.0,195.0,195.0,,266.0,0.73,0.73,0.75,266.0,0.73,0.73,0.75,
09/30/2008,1205.0,,,1.0,-939.0,,48.0,,891.0,267.0,-26.0,42.0,42.0,0.0,,0.0,-1.0,-15.0,241.0,-70.0,171.0,0.0,0.0,0.0,174.0,,174.0,0.0,0.0,174.0,174.0,,266.0,0.66,0.65,0.72,266.0,0.66,0.65,0.72,
12/31/2008,1217.0,,,,-1007.0,,,,,210.0,-1699.0,33.0,33.0,0.0,,0.0,,1666.0,-1489.0,149.0,-1340.0,-2.0,,,-1338.0,0.0,-1338.0,0.0,0.0,-1338.0,-1338.0,1477.0,264.0,-5.06,-5.07,0.52,264.0,-5.06,-5.07,0.52,
03/31/2009,1142.0,1083.0,59.0,0.0,-982.0,74.0,,68.0,840.0,160.0,-22.0,26.0,,,,,,-4.0,138.0,-32.0,106.0,0.0,0.0,0.0,106.0,-2.0,104.0,0.0,0.0,104.0,118.95,14.95,260.0,0.4,0.4,0.4575,260.0,0.4,0.4,0.4575,
06/30/2009,1252.0,1194.0,58.0,0.0,-1479.0,74.0,,66.0,1339.0,-227.0,-24.0,,31.0,,-3.0,,,-4.0,-251.0,72.0,-179.0,0.0,0.0,0.0,-179.0,-3.0,-182.0,0.0,0.0,-182.0,132.6,314.6,260.0,-0.7,-0.7,0.51,260.0,-0.7,-0.7,0.51,
09/30/2009,1160.0,1109.0,51.0,0.0,-973.0,75.0,,66.0,832.0,187.0,-16.0,,29.0,,-1.0,0.0,,-12.0,171.0,-47.0,124.0,0.0,0.0,0.0,124.0,1.0,125.0,0.0,0.0,125.0,127.6,2.6,260.0,0.48,0.48,0.490769,261.0,0.48,0.48,0.489962,
12/31/2009,1130.0,1074.0,56.0,0.0,-964.0,90.0,,66.0,808.0,166.0,-19.0,,31.0,,-2.0,,-1.0,-9.0,147.0,14.0,161.0,0.0,0.0,0.0,161.0,11.0,172.0,0.0,0.0,172.0,199.3,27.3,260.0,0.66,0.66,0.766538,261.0,0.66,0.66,0.764598,
03/31/2010,1083.0,1037.0,46.0,0.0,-878.0,79.0,,66.0,733.0,205.0,-32.0,,27.0,,0.0,,2.0,3.0,173.0,-48.0,125.0,0.0,0.0,0.0,125.0,5.0,130.0,0.0,0.0,130.0,138.45,8.45,260.0,0.5,0.5,0.5325,261.0,0.5,0.5,0.532375,
06/30/2010,1247.0,1200.0,47.0,0.0,-1032.0,68.0,,66.0,898.0,215.0,30.0,,26.0,,-1.0,,1.0,-56.0,245.0,-66.0,179.0,0.0,0.0,0.0,179.0,5.0,184.0,0.0,0.0,184.0,169.7,-14.3,261.0,0.7,0.7,0.650192,261.0,0.7,0.7,0.645211,
09/30/2010,1050.0,1007.0,43.0,0.0,-895.0,75.0,,69.0,751.0,155.0,-27.0,,27.0,,-1.0,,1.0,0.0,128.0,-5.0,123.0,0.0,0.0,0.0,123.0,5.0,128.0,0.0,0.0,128.0,123.25,-4.75,261.0,0.49,0.49,0.472222,262.0,0.49,0.49,0.47187,
12/31/2010,1045.0,997.0,48.0,0.0,-875.0,74.0,,80.0,721.0,170.0,-30.0,,31.0,,2.0,,2.0,-5.0,140.0,-9.0,131.0,0.0,0.0,0.0,131.0,4.0,135.0,0.0,0.0,135.0,146.7,11.7,261.0,0.52,0.52,0.562069,262.0,0.51,0.51,0.554656,
03/31/2011,1148.0,1102.0,46.0,0.0,-905.0,63.0,,70.0,772.0,243.0,-30.0,,30.0,,-1.0,,1.0,0.0,213.0,-62.0,151.0,0.0,0.0,0.0,151.0,4.0,155.0,0.0,0.0,155.0,168.65,13.65,261.0,0.59,0.59,0.646169,262.0,0.59,0.59,0.642099,
06/30/2011,1092.0,1035.0,57.0,0.0,-868.0,73.0,,70.0,725.0,224.0,-31.0,,31.0,,-1.0,,2.0,-1.0,193.0,-43.0,150.0,0.0,0.0,0.0,150.0,4.0,154.0,0.0,0.0,154.0,165.7,11.7,262.0,0.59,0.59,0.632443,263.0,0.59,0.59,0.632443,
09/30/2011,1258.0,1202.0,56.0,0.0,-999.0,61.0,,72.0,866.0,259.0,-32.0,,31.0,,-2.0,,2.0,1.0,227.0,-21.0,206.0,0.0,0.0,0.0,206.0,-6.0,200.0,0.0,0.0,200.0,218.85,18.85,262.0,0.76,0.76,0.835305,263.0,0.76,0.76,0.831673,
12/31/2011,1054.0,998.0,56.0,0.0,-930.0,106.0,,68.0,756.0,124.0,-32.0,,31.0,,-2.0,,4.0,-1.0,92.0,4.0,96.0,0.0,0.0,0.0,96.0,14.0,110.0,0.0,0.0,110.0,167.2,57.2,260.0,0.43,0.43,0.643077,262.0,0.43,0.43,0.643077,
03/31/2012,952.0,896.0,56.0,0.0,-787.0,61.0,,66.0,660.0,165.0,-29.0,,29.0,,-1.0,,1.0,0.0,136.0,-45.0,91.0,0.0,0.0,0.0,91.0,-4.0,87.0,0.0,0.0,87.0,107.15,20.15,258.0,0.34,0.34,0.41531,259.0,0.34,0.34,0.41531,
06/30/2012,986.0,935.0,51.0,0.0,-792.0,65.0,,66.0,661.0,194.0,-29.0,,29.0,,-1.0,,2.0,-1.0,165.0,-34.0,131.0,0.0,0.0,0.0,131.0,-6.0,125.0,0.0,0.0,125.0,134.1,9.1,252.0,0.5,0.5,0.532143,253.0,0.49,0.49,0.525968,
09/30/2012,902.0,848.0,54.0,0.0,-749.0,59.0,,64.0,626.0,153.0,-29.0,,29.0,,-1.0,,2.0,-1.0,124.0,-12.0,112.0,0.0,0.0,0.0,112.0,-4.0,108.0,0.0,0.0,108.0,119.7,11.7,246.0,0.44,0.44,0.486585,247.0,0.44,0.44,0.486585,
12/31/2012,909.0,851.0,58.0,0.0,-812.0,60.0,,64.0,688.0,97.0,-52.0,,53.0,,0.0,,3.0,-4.0,45.0,-14.0,31.0,0.0,0.0,0.0,31.0,-3.0,28.0,0.0,0.0,28.0,91.05,63.05,243.0,0.12,0.12,0.374691,244.0,0.12,0.12,0.374691,
03/31/2013,963.0,907.0,56.0,0.0,-761.0,55.0,,62.0,644.0,202.0,-30.0,,28.0,,-1.0,,2.0,1.0,172.0,-41.0,131.0,0.0,0.0,0.0,131.0,-5.0,126.0,0.0,0.0,126.0,131.2,5.2,243.0,0.52,0.52,0.539918,244.0,0.52,0.52,0.539918,
06/30/2013,995.0,936.0,59.0,0.0,-788.0,57.0,,62.0,669.0,207.0,-12.0,,28.0,,-3.0,,3.0,-16.0,195.0,-17.0,178.0,0.0,0.0,0.0,178.0,-5.0,173.0,0.0,0.0,173.0,180.8,7.8,243.0,0.71,0.71,0.744033,244.0,0.71,0.71,0.741967,
09/30/2013,890.0,832.0,58.0,0.0,-712.0,55.0,,64.0,593.0,178.0,-20.0,,23.0,,0.0,,2.0,-5.0,158.0,24.0,182.0,0.0,0.0,0.0,182.0,-4.0,178.0,0.0,0.0,178.0,132.35,-45.65,243.0,0.73,0.73,0.54465,245.0,0.73,0.73,0.543673,
12/31/2013,728.778,,,,,,,,,214.0,,,,,,,,,189.0,,131.333,,,,,,131.333,,,131.333,140.125,,,0.555,0.555,0.569,,0.555,0.555,0.569,
03/31/2014,698.8,,,,,,,,,249.0,,,,,,,,,231.333,,155.0,,,,,,155.0,,,155.0,172.0,,,0.68,0.68,0.673,,0.68,0.68,0.673,
