Date,Assets,Total Investments,Fixed Income-Trading/AFS & ST Inv,Loans & Mortgages,Fixed Income Securities-HTM,Equity Securities,Real Estate Investments,Other Investments,Cash & Near Cash Items,Net Receivables,Deferred Policy Acquisition Costs,Other Assets,Total Assets,Liabilities & Shareholders' Equity,Reserve for Outstanding Claim & Loss,Premium Reserve (Unearned),Life Policy Benefits,Other Insurance Reserves,Total Insurance Reserves,Short-Term Borrowings,Other Short-Term Liabilities,Long-Term Borrowings,Other Long-Term Liabilities,Total Liabilities,Total Preferred Equity,Minority Interest,Policyholders' Equity,Share Capital & APIC,Retained Earnings & Other Equity,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2010,,68437,55183,8696,0.0,704,0.0,3854,3132,17924,7256,15646,112395,,6933,4541,57695,11666,80835,0.0,,8883,7706,97424,0.0,1110.0,0.0,12096,1765,14971,112395,
03/31/2011,,68046,54998,8565,0.0,731,0.0,3752,3742,17896,7334,15922,112940,,6959,4529,57271,11807,80566,0.0,,9267,7878,97711,0.0,1152.0,0.0,12102,1975,15229,112940,
06/30/2011,,68706,56221,8431,0.0,753,0.0,3301,2831,17692,7362,15756,112347,,7327,4563,57292,11452,80634,0.0,,8581,7574,96789,0.0,1126.0,0.0,12111,2321,15558,112347,
09/30/2011,,72430,57816,8257,0.0,731,0.0,5626,3648,17701,7359,12748,113886,,7379,4210,58225,9794,79608,0.0,,8402,8508,96518,0.0,1090.0,0.0,12118,4160,17368,113886,
12/31/2011,,71904,58295,8052,0.0,738,0.0,4819,4488,17689,5193,12913,112187,,7620,4223,58520,10122,80485,0.0,,8378,7146,96009,0.0,1110.0,0.0,12137,2931,16178,112187,
03/31/2012,,70328,58532,7977,0.0,818,0.0,3001,4187,17952,5060,13456,110983,,7663,4209,58584,10646,81102,0.0,,8080,5918,95100,0.0,1145.0,0.0,12151,2587,15883,110983,
06/30/2012,,73001,59791,7876,0.0,822,0.0,4512,3874,17829,5023,12809,112536,,7552,4156,58985,10033,80726,0.0,,7838,7006,95570,0.0,1149.0,0.0,12157,3660,16966,112536,
09/30/2012,,74893,62214,7846,0.0,917,0.0,3916,3741,17941,5020,12792,114387,,7545,4291,59670,10166,81672,0.0,,7558,7510,96740,0.0,1220.0,0.0,12163,4264,17647,114387,
12/31/2012,,74379,62161,7814,0.0,911,0.0,3493,3632,17945,5036,12320,113312,,7509,4333,59767,9937,81546,0.0,,7178,6807,95531,0.0,1288.0,0.0,12128,4365,17781,113312,
03/31/2013,,72749,61082,7796,0.0,889,0.0,2982,3797,17980,5050,12499,112075,,7343,4193,59487,10140,81163,0.0,,7157,6246,94566,0.0,1287.0,0.0,12132,4090,17509,112075,
06/30/2013,,68598,58008,7811,0.0,803,0.0,1976,3613,17875,5237,12253,107576,,7302,4022,58372,9806,79502,0.0,,7091,5081,91674,0.0,1213.0,0.0,12140,2549,15902,107576,
09/30/2013,,69499,59086,7816,,771,,1826,3554,17929,5256,11896,108134,,7271,4160,58878,9957,80266,,,7123,4900,92289,0.0,1241.0,,12150,2454,15845,108134,
12/31/2013,,68613,58629,7566,0.0,732,0.0,1686,4214,17897,5278,12043,108045,,7204,4107,59233,10138,80682,0.0,,7441,4302,92425,0.0,1227.0,0.0,12128,2265,15620,108045,
03/31/2014,,70425,60244,7559,0.0,747,0.0,1875,4360,17986,5177,11817,109765,,7156,4075,59957,9933,81121,0.0,,7419,4491,93031,0.0,1219.0,,12125,3390,16734,109765,
06/30/2014,,72764,62360,7717,0.0,724,0.0,1963,4138,17918,5085,11739,111644,,7223,4191,60331,9911,81656,0.0,,6948,4776,93380,0.0,2033.0,0.0,11987,4244,18264,111644,
09/30/2014,,73113,62317,7798,0.0,717,0.0,2281,3477,18093,5085,10746,110514,,7987,4085,60524,9420,82016,0.0,,6897,4480,93393,0.0,1956.0,0.0,11992,3173,17121,110514,
12/31/2014,,71773,61077,7802,0.0,686,0.0,2208,4645,17951,4852,12095,111316,,7881,3485,61947,9208,82521,0.0,,6812,5186,94519,0.0,1874.0,0.0,11998,2925,16797,111316,
03/31/2015,,74225,62942,7843,0.0,717,0.0,2723,5158,18074,4918,9956,112331,,8030,3731,62634,9064,83459,0.0,,6789,5002,95250,0.0,1757.0,0.0,11999,3325,17081,112331,
06/30/2015,,71408,60568,7940,0.0,709,0.0,2191,4100,17912,4896,10848,109164,,7990,3431,62285,8702,82408,0.0,,6773,4256,93437,0.0,2037.0,0.0,11941,1749,15727,109164,
09/30/2015,,72184,60851,7875,0.0,685,0.0,2773,3666,17961,4437,9974,108222,,8065,3340,62472,7893,81770,0.0,,6740,4296,92806,0.0,1837.0,0.0,11945,1634,15416,108222,
12/31/2015,,69128,58197,7899,0.0,723,0.0,2309,5965,17898,4398,9042,106431,,8095,3308,62684,7883,81970,0.0,,6669,3155,91794,0.0,1813.0,0.0,11950,874,14637,106431,
03/31/2016,,71965,60290,7899,0.0,853,0.0,2923,4043,18307,4235,8623,107173,,8177,3378,63130,7624,82309,0.0,,4715,4176,91200,0.0,1918.0,0.0,11953,2102,15973,107173,
06/30/2016,,74147,62828,8016,0.0,793,0.0,2510,3457,18165,4046,8391,108206,,8289,3412,63336,7484,82521,0.0,,4586,4090,91197,0.0,1876.0,0.0,11956,3177,17009,108206,
09/30/2016,,75260,63780,8080,0.0,724,0.0,2676,3078,18219,3982,8313,108852,,8869,3464,63272,7485,83090,0.0,,4582,4431,92103,0.0,1878.0,0.0,11960,2911,16749,108852,
12/31/2016,,71569,60572,7982,0.0,944,0.0,2071,2784,18414,3571,8320,104658,,9256,3378,62725,7299,82658,0.0,,4564,2969,90191,0.0,1823.0,0.0,11963,681,14467,104658,
03/31/2017,,71652,60597,7990,0.0,793,0.0,2272,3018,18398,3207,8411,104686,,9295,3370,62674,7327,82666,0.0,,4572,2732,89970,0.0,1904.0,0.0,11965,847,14716,104686,
06/30/2017,,73236,61944,8179,0.0,936,0.0,2177,2853,18208,2378,8341,105016,,9239,3400,62743,7269,82651,0.0,,4578,2791,90020,0.0,1978.0,0.0,11970,1048,14996,105016,
09/30/2017,,73104,62552,8197,0.0,765,0.0,1590,2836,18192,2342,8155,104629,,9384,3512,62553,7264,82713,0.0,,4593,2236,89542,0.0,2018.0,0.0,11974,1095,15087,104629,
12/31/2017,,73392,62525,8234,0.0,820,0.0,1813,2875,18213,2329,8488,105297,,9594,3967,62667,7230,83458,0.0,,4574,1937,89969,0.0,1910.0,0.0,11978,1440,15328,105297,
03/31/2018,,71777,61080,8224,0.0,799,0.0,1674,2843,18180,2699,8274,103773,,9651,3797,61697,6902,82047,0.0,,4996,1868,88911,0.0,1844.0,0.0,11980,1038,14862,103773,
06/30/2018,,70882,60032,8442,0.0,758,0.0,1650,2243,17987,3086,8279,102477,,9665,3669,61279,6750,81363,0.0,,4385,1988,87736,0.0,1831.0,0.0,11982,928,14741,102477,
09/30/2018,,70055,59404,8514,0.0,783,0.0,1354,2505,18008,3336,8217,102121,,9844,3668,61011,6745,81268,0.0,,4381,1851,87500,0.0,1823.0,0.0,11984,814,14621,102121,
12/31/2018,,65546,55589,8610,0.0,275,0.0,1072,1974,17923,3142,12338,100923,,10295,2013,60908,5859,79075,0.0,,4018,3641,86734,0.0,1739.0,0.0,11988,462,14189,100923,
03/31/2019,,72185,61360,8982,0.0,635,0.0,1208,2221,17983,2219,7580,102188,,10536,3482,61020,6210,81248,0.0,,4346,1712,87306,0.0,1808.0,0.0,11990,1084,14882,102188,
06/30/2019,,75048,63774,9095,0.0,644,0.0,1535,1938,17837,2105,7378,104306,,10677,3488,62256,6187,82608,0.0,,4355,1751,88714,0.0,1835.0,0.0,11984,1773,15592,104306,
09/30/2019,,72267,61233,9155,0.0,239,0.0,1640,1629,17823,1881,12053,105653,,10780,1863,63096,6005,81744,0.0,,4017,3747,89508,0.0,1758.0,0.0,11987,2400,16145,105653,
12/31/2019,,71231,60339,9021,0.0,239,0.0,1632,3341,17757,1836,7177,101342,,10958,1893,62601,6108,81560,0.0,,3588,1562,86710,0.0,447.0,0.0,11991,2194,14632,101342,
03/31/2020,,70671,59051,8967,0.0,188,0.0,2465,2483,17787,1898,6005,98844,,11132,1722,61652,4967,79473,0.0,,2851,1686,84010,0.0,385.0,0.0,11994,2455,14834,98844,
06/30/2020,,75322,63544,9099,0.0,206,0.0,2473,2597,17501,1718,6499,103637,,11280,1804,64384,5536,83004,0.0,,2817,2728,88549,0.0,445.0,0.0,11997,2646,15088,103637,
