Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Other Non-Cash Adjustments,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch in Operating Loans,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
12/31/1996,360.0,250.0,106.0,,129.0,,,129.0,-125.0,,,,,-9.0,-9.0,,-9.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,351.0,,,
03/31/1997,438.0,265.0,112.0,,43.0,,,43.0,18.0,,,,,,-9.0,,-9.0,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,
06/30/1997,29.0,269.0,111.0,,25.0,,,25.0,-376.0,,,,,,-8.0,,-8.0,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,
09/30/1997,632.0,273.0,112.0,,30.0,,,30.0,217.0,,,,,,-13.0,,-13.0,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,
12/31/1997,-273.0,297.0,157.0,,95.0,,,95.0,-822.0,,,,,,-15.0,,-15.0,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,
03/31/1998,137.0,284.0,50.0,,59.0,,,59.0,-256.0,,,,,,-17.0,,-17.0,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,16.0,451.0,
06/30/1998,187.0,295.0,51.0,,-32.0,,,-32.0,-127.0,,,,,,-21.0,,-21.0,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,178.0,480.0,
09/30/1998,-99.0,301.0,53.0,,56.0,,,56.0,-509.0,,,,,,-28.0,,-28.0,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,35.0,470.0,
12/31/1998,1341.0,312.0,54.0,,2.0,,,2.0,973.0,,,,,,-22.0,,-22.0,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,175.0,452.0,
03/31/1999,292.0,316.0,64.0,,72.0,,,72.0,-160.0,,,,,,-34.0,,-34.0,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,3.0,458.0,
06/30/1999,195.0,323.0,72.0,,-133.0,,,-133.0,-67.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,145.0,457.0,
09/30/1999,-826.0,773.0,140.0,,-680.0,,,-680.0,-1059.0,,,,,,-24.0,,-24.0,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,21.0,427.0,
12/31/1999,-645.0,327.0,74.0,,100.0,,,100.0,-1146.0,,,,,,-39.0,,-39.0,,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,373.0,487.0,
03/31/2000,-321.0,338.0,82.0,,82.0,,,82.0,-823.0,,,,,,-19.0,,-19.0,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,15.0,578.0,
06/30/2000,-1895.0,356.0,86.0,,89.0,,,89.0,-2426.0,,,,,,-9.0,,-9.0,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,74.0,671.0,
09/30/2000,208.0,363.0,89.0,,106.0,,,106.0,-350.0,,,,,,-37.0,,-37.0,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,111.0,591.0,
12/31/2000,-158.0,372.0,99.0,,103.0,,,103.0,-732.0,,,,,,-41.0,,-41.0,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,58.0,671.0,
03/31/2001,1405.0,384.0,96.0,,83.0,,,83.0,842.0,,,,,,-29.0,,-29.0,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,11.0,582.0,
06/30/2001,1428.0,385.0,93.0,,144.0,,,144.0,806.0,,,,,,-30.0,,-30.0,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,61.0,501.0,
09/30/2001,-50.0,243.0,115.0,,45.0,,,45.0,-453.0,,,,,,-27.0,,-27.0,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,-18.0,477.0,
03/31/2002,-569.0,362.0,87.0,,91.0,,,91.0,-1109.0,,,,,,-92.0,,-92.0,,,,,,,,,,,,,,,,,,92.0,,,,,,,,,,,,,,,23.0,272.0,
06/30/2002,4212.0,361.0,74.0,,182.0,,,182.0,3595.0,,,,,,-34.0,,-34.0,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,122.0,269.0,
09/30/2002,-2941.0,79.0,281.0,,53.0,,,53.0,-3354.0,,,,,,-39.0,,-39.0,,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,198.0,161.0,
12/31/2002,2671.0,100.0,475.0,,-112.0,,,-112.0,2208.0,,,,,-43.0,-43.0,,-43.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2628.0,-15.0,237.0,
03/31/2003,-524.0,295.0,129.0,,99.0,,,99.0,-1047.0,,,,,,-31.0,,-31.0,,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,212.0,1015.0,
06/30/2003,1494.0,295.0,145.0,,95.0,,,95.0,959.0,,,,,,-38.0,,-38.0,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,80.0,-668.0,
09/30/2003,10.0,260.0,153.0,,94.0,,,94.0,-497.0,,,,,,-29.0,,-29.0,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,94.0,184.0,
03/31/2004,2131.0,364.0,131.0,,-96.0,,,-96.0,1732.0,,,,,-2487.0,-42.0,4.0,-46.0,-994.0,3694.0,,,,-4688.0,,,,-1509.0,,,,,,,,58.0,-872.0,-146.0,-348.0,,,,,28.0,49.0,-21.0,-399.0,-7.0,,-1228.0,72.0,97.0,
06/30/2004,1316.0,371.0,125.0,,92.0,,,92.0,728.0,,,,,-5947.0,-82.0,2.0,-84.0,702.0,4337.0,,,,-3635.0,,,,-6481.0,,,,,,,,-86.0,5118.0,-155.0,242.0,,,,,20.0,46.0,-26.0,5169.0,-158.0,,487.0,185.0,201.0,
09/30/2004,-32.0,354.0,133.0,,183.0,,,183.0,-702.0,,,,,4898.0,-90.0,2.0,-92.0,-141.0,3292.0,,,,-3433.0,,,,5178.0,,,,,,,,-49.0,-4911.0,-154.0,-2060.0,,,,,-12.0,60.0,-72.0,-2672.0,-13.0,,-45.0,67.0,164.0,
12/31/2004,-68.0,351.0,106.0,,165.0,,,165.0,-690.0,,,,,1002.0,-37.0,3.0,-40.0,-673.0,3409.0,,,,-4082.0,,,,1949.0,,,,,,,,-237.0,-105.0,-153.0,599.0,,,,,72.0,72.0,0.0,-536.0,-87.0,,829.0,60.0,315.0,
03/31/2005,-430.0,379.0,178.0,-10.0,77.0,,89.0,-12.0,-1054.0,,,,,-2485.0,-16.0,0.0,-16.0,-282.0,3579.0,,,,-3861.0,,,,-2179.0,,,,,,,,-8.0,1626.0,-167.0,1401.0,,,,,-86.0,31.0,-117.0,560.0,-82.0,,-1289.0,81.0,277.0,
06/30/2005,-904.0,398.0,75.0,,-597.0,,,-597.0,-780.0,,,,,-5863.0,-26.0,0.0,-26.0,-1864.0,3157.0,,,,-5021.0,,,,-3930.0,,,,,,,,-43.0,6511.0,-154.0,764.0,,,,,-171.0,50.0,-221.0,5683.0,389.0,,-256.0,59.0,317.0,
09/30/2005,569.0,389.0,132.0,,148.0,,,148.0,-100.0,,,,,1369.0,-29.0,0.0,-29.0,-597.0,4047.0,,,,-4644.0,,,,2150.0,,,,,,,,-155.0,-1344.0,-161.0,1600.0,,,,,-9.0,59.0,-68.0,-2784.0,10.0,,594.0,133.0,371.0,
12/31/2005,-347.0,405.0,141.0,25.0,249.0,,-144.0,393.0,-1167.0,,,,,-643.0,-60.0,0.0,-60.0,-1190.0,3797.0,,,,-4987.0,,,,710.0,,,,,,,,-103.0,1570.0,-162.0,-1993.0,,,,,92.0,103.0,-11.0,3680.0,-47.0,,580.0,603.0,424.0,
03/31/2006,-11.0,422.0,117.0,5.0,-598.0,,-37.0,-561.0,43.0,,,,,-960.0,-41.0,,-41.0,61.0,3624.0,,,,-3563.0,,,,-584.0,,,,,,,,-396.0,156.0,-328.0,-108.0,,,,,31.0,113.0,-82.0,637.0,-76.0,,-815.0,326.0,510.0,
06/30/2006,1995.0,448.0,102.0,,47.0,,,47.0,1398.0,,,,,-5301.0,-42.0,3.0,-45.0,-114.0,3160.0,,,,-3274.0,,,,-5033.0,,,,,,,,-112.0,3452.0,-159.0,-629.0,,,,,-287.0,83.0,-370.0,4498.0,29.0,,146.0,60.0,556.0,
09/30/2006,4185.0,1222.0,350.0,,-373.0,,187.0,-560.0,2986.0,,,,,-6763.0,-124.0,3.0,-127.0,5092.0,14464.0,,,,-9372.0,,,,-11439.0,,,,,,,,-292.0,1135.0,-491.0,-836.0,,,,,-208.0,243.0,-451.0,2668.0,2.0,,-1443.0,469.0,1703.0,
12/31/2006,-260.0,1625.0,120.0,,187.0,,,187.0,-2192.0,,,,,416.0,52.0,146.0,-94.0,-32.0,2501.0,,,,-2533.0,,,,432.0,,,,,,,,-36.0,1245.0,-165.0,1122.0,,,,,-261.0,170.0,-431.0,636.0,-87.0,,1401.0,179.0,619.0,
03/31/2007,2047.0,434.0,127.0,-15.0,44.0,,62.0,-18.0,1457.0,,,,,258.0,-57.0,,-57.0,-2647.0,2240.0,,,,-4887.0,,,,2162.0,,,,,,,,800.0,-2986.0,-168.0,323.0,,,,,119.0,135.0,-16.0,-3286.0,26.0,,-681.0,642.0,626.0,
06/30/2007,-1003.0,445.0,84.0,,41.0,,,41.0,-1573.0,,,,,-23456.0,-60.0,1.0,-61.0,-3589.0,2985.0,,,,-6574.0,,,,-19113.0,,,,,,,,-694.0,25565.0,-168.0,3460.0,,,,,104.0,128.0,-24.0,22166.0,3.0,,1106.0,120.0,686.0,
09/30/2007,3203.0,640.0,224.0,,81.0,,,81.0,2258.0,,,,,3924.0,-115.0,0.0,-115.0,-1449.0,7137.0,,,,-8586.0,,,,3319.0,,,,,,,,2169.0,-4382.0,-274.0,-932.0,,,,,133.0,181.0,-48.0,-3199.0,-110.0,,2745.0,369.0,1129.0,
12/31/2007,-277.0,520.0,396.0,,-6.0,,,-6.0,-1187.0,,,,,-2300.0,-80.0,0.0,-80.0,1369.0,11720.0,,,,-10351.0,,,,-3243.0,,,,,,,,-346.0,3202.0,-274.0,-44.0,,,,,81.0,106.0,-25.0,3386.0,53.0,,625.0,112.0,1105.0,
03/31/2008,905.0,746.0,231.0,16.0,61.0,,-9.0,70.0,-149.0,,,,,-5140.0,-63.0,,-63.0,1378.0,2992.0,,,,-1614.0,,,,-6343.0,,,,,,,,-112.0,5289.0,-276.0,-1874.0,,,,,-201.0,94.0,-295.0,7551.0,89.0,,1054.0,326.0,890.0,
06/30/2008,969.0,309.0,243.0,25.0,47.0,,-120.0,167.0,345.0,,,,,-5444.0,-47.0,25.0,-72.0,226.0,3317.0,,,,-3091.0,,,,-5327.0,,,,,,,,-296.0,2489.0,-277.0,-257.0,,,,,73.0,93.0,-20.0,2955.0,-5.0,,-1986.0,747.0,719.0,
09/30/2008,-326.0,303.0,223.0,30.0,-149.0,,-298.0,149.0,-733.0,,,,,-27024.0,-65.0,10.0,-75.0,341.0,3504.0,,,,-3163.0,,,,-27324.0,,,,,,,,24.0,67001.0,-277.0,17503.0,,,,,44.0,44.0,0.0,50012.0,-281.0,,39651.0,-3193.0,595.0,
12/31/2008,1366.0,61.0,181.0,33.0,409.0,,-830.0,1239.0,682.0,,,,,-18367.0,-87.0,6.0,-93.0,-2413.0,1280.0,,,,-3693.0,,,,-15927.0,,,,,,,,60.0,-23464.0,-299.0,-14116.0,,,,,3012.0,3012.0,0.0,-11738.0,-323.0,,-40465.0,4510.0,478.0,
03/31/2009,-425.0,369.0,151.0,59.0,267.0,316.0,-99.0,50.0,-1303.0,-539.0,,-764.0,-39.0,28552.0,-126.0,0.0,-126.0,1746.0,2355.0,1460.0,883.0,12.0,-609.0,0.0,-609.0,0.0,27046.0,1418.0,25219.0,409.0,-6.0,0.0,-6.0,0.0,-156.0,-29231.0,-315.0,-5409.0,-5995.0,202.0,603.0,-219.0,-1.0,12.0,-13.0,-23467.0,0.0,-105.0,-1209.0,931.0,231.0,
06/30/2009,738.0,412.0,175.0,40.0,-138.0,265.0,-353.0,-50.0,213.0,-55.0,,268.0,,2337.0,-59.0,2.0,-61.0,-12373.0,2554.0,278.0,2270.0,6.0,-14927.0,-108.0,-14819.0,0.0,14314.0,1765.0,12473.0,76.0,-5.0,0.0,-5.0,0.0,277.0,-2964.0,-137.0,3941.0,2041.0,724.0,1497.0,-321.0,-1658.0,1352.0,-3010.0,-4991.0,-119.0,45.0,156.0,1165.0,174.0,
09/30/2009,2205.0,-2458.0,193.0,147.0,3393.0,4825.0,-1474.0,42.0,930.0,-241.0,,1171.0,,-6089.0,-94.0,1.0,-95.0,-3992.0,2380.0,,,,-6372.0,0.0,-6334.0,-38.0,-1597.0,1796.0,-3770.0,377.0,0.0,0.0,0.0,0.0,-510.0,3386.0,-112.0,1365.0,778.0,605.0,0.0,-18.0,-125.0,14.0,-139.0,2378.0,-120.0,20.0,-478.0,89.0,71.0,
12/31/2009,1263.0,593.0,191.0,65.0,-291.0,-18.0,-44.0,-229.0,705.0,199.0,,506.0,,-1712.0,-33.0,3.0,-36.0,-946.0,5933.0,160.0,5773.0,0.0,-6879.0,,,,69.0,-712.0,792.0,-11.0,-353.0,0.0,-353.0,0.0,-593.0,836.0,-108.0,-255.0,4623.0,1039.0,1250.0,-7167.0,3011.0,,,1377.0,-3189.0,-13.0,374.0,-454.0,204.0,
03/31/2010,1191.0,559.0,113.0,35.0,29.0,-11.0,-3.0,43.0,455.0,-249.0,,704.0,,512.0,-43.0,1.0,-44.0,1120.0,3432.0,1595.0,1837.0,0.0,-2312.0,-5.0,-2294.0,-13.0,-574.0,2497.0,-3337.0,266.0,133.0,133.0,0.0,0.0,-123.0,-2126.0,-109.0,-277.0,445.0,534.0,0.0,-1256.0,-2.0,18.0,-20.0,-1738.0,0.0,-2.0,-425.0,158.0,62.0,
06/30/2010,-1333.0,658.0,144.0,20.0,-47.0,-20.0,-36.0,9.0,-2108.0,-1536.0,,-572.0,,-14857.0,-33.0,5.0,-38.0,1588.0,4942.0,0.0,4942.0,0.0,-3354.0,-8.0,-3166.0,-180.0,-15844.0,-3426.0,-12518.0,100.0,-115.0,0.0,-115.0,0.0,-454.0,16471.0,-110.0,412.0,1440.0,-1170.0,650.0,-508.0,11.0,15.0,-4.0,16158.0,0.0,-19.0,262.0,4.0,167.0,
09/30/2010,3031.0,622.0,156.0,-22.0,821.0,-15.0,836.0,0.0,1451.0,1146.0,,305.0,,-1906.0,-38.0,0.0,-38.0,-4352.0,2959.0,158.0,2801.0,0.0,-7311.0,,,,4620.0,1091.0,3373.0,156.0,-2678.0,0.0,-2678.0,0.0,542.0,-1053.0,-109.0,-244.0,-374.0,393.0,0.0,-263.0,670.0,685.0,-15.0,-1370.0,0.0,52.0,124.0,550.0,88.0,
12/31/2010,1161.0,679.0,216.0,-22.0,345.0,-11.0,402.0,-46.0,-68.0,484.0,,-552.0,,1314.0,-102.0,8.0,-110.0,-4958.0,5829.0,154.0,5675.0,0.0,-10787.0,0.0,-10783.0,-4.0,6871.0,-2315.0,6734.0,2452.0,0.0,0.0,0.0,0.0,-556.0,-2502.0,-112.0,2124.0,-2273.0,2301.0,2685.0,-589.0,9.0,11.0,-2.0,-4523.0,0.0,9.0,-18.0,288.0,274.0,
03/31/2011,426.0,625.0,183.0,,18.0,-15.0,39.0,-6.0,-400.0,-692.0,,292.0,,-16480.0,-159.0,5.0,-164.0,1374.0,6639.0,2871.0,3768.0,0.0,-5265.0,-5.0,-5260.0,0.0,-17619.0,-3030.0,-14945.0,356.0,-12.0,0.0,-12.0,0.0,-64.0,16430.0,-112.0,892.0,-1270.0,1367.0,1199.0,-404.0,-44.0,16.0,-60.0,15706.0,-12.0,7.0,383.0,138.0,102.0,
06/30/2011,571.0,735.0,183.0,,146.0,-59.0,212.0,-7.0,-493.0,728.0,,-1221.0,0.0,-35544.0,-203.0,0.0,-203.0,-1720.0,6733.0,0.0,6505.0,228.0,-8453.0,-828.0,-7625.0,0.0,-33014.0,-1672.0,-31348.0,6.0,-8.0,0.0,-8.0,0.0,-599.0,36470.0,-162.0,2021.0,2820.0,603.0,0.0,-1402.0,-259.0,14.0,-273.0,34870.0,0.0,5.0,1502.0,279.0,245.0,
09/30/2011,-1680.0,651.0,191.0,-22.0,-79.0,8.0,-77.0,-10.0,-2421.0,-2477.0,,56.0,0.0,-17108.0,-205.0,8.0,-213.0,-8878.0,5525.0,176.0,5349.0,0.0,-14403.0,-391.0,-14012.0,0.0,-8184.0,-3291.0,-4961.0,68.0,-17.0,0.0,-17.0,0.0,176.0,20225.0,-161.0,5807.0,3448.0,-804.0,3163.0,0.0,-464.0,5.0,-469.0,15041.0,2.0,-306.0,1131.0,160.0,44.0,
12/31/2011,2894.0,505.0,219.0,23.0,-209.0,1.0,-162.0,-48.0,2356.0,2016.0,,340.0,,-11046.0,-62.0,0.0,-62.0,-5623.0,9849.0,427.0,9335.0,87.0,-15472.0,-2.0,-15470.0,0.0,-4587.0,1130.0,-5891.0,174.0,-27.0,0.0,-27.0,0.0,-747.0,5640.0,-158.0,-2764.0,-2289.0,-501.0,700.0,-674.0,-63.0,8.0,-71.0,8635.0,-10.0,-4.0,-2516.0,199.0,195.0,
03/31/2012,114.0,619.0,299.0,5.0,-24.0,-44.0,31.0,-11.0,-785.0,176.0,,-961.0,0.0,24367.0,-124.0,5.0,-129.0,-5450.0,9229.0,192.0,9037.0,0.0,-14679.0,-1441.0,-13227.0,-11.0,30297.0,1055.0,29131.0,111.0,0.0,0.0,0.0,0.0,-356.0,-24352.0,-158.0,3731.0,1348.0,2018.0,1138.0,-773.0,-389.0,9.0,-398.0,-27549.0,13.0,29.0,158.0,210.0,106.0,
06/30/2012,260.0,466.0,299.0,-19.0,-356.0,-51.0,-316.0,11.0,-130.0,-355.0,,225.0,0.0,-30160.0,-147.0,0.0,-147.0,-5401.0,7171.0,400.0,6771.0,0.0,-12572.0,,,,-25097.0,-2479.0,-22667.0,49.0,-4.0,0.0,-4.0,0.0,489.0,30133.0,-156.0,129.0,,,,,221.0,510.0,-289.0,29922.0,17.0,-44.0,189.0,257.0,186.0,
09/30/2012,899.0,725.0,313.0,-5.0,176.0,-22.0,198.0,0.0,-310.0,-1467.0,,1157.0,0.0,-4582.0,-177.0,0.0,-177.0,-9237.0,4147.0,447.0,3636.0,64.0,-13384.0,,,,4656.0,-454.0,5094.0,16.0,-3.0,0.0,-3.0,0.0,179.0,4125.0,-160.0,3078.0,,,,,256.0,545.0,-289.0,954.0,-3.0,27.0,469.0,124.0,113.0,
12/31/2012,356.0,635.0,335.0,-61.0,-155.0,-53.0,339.0,-441.0,-398.0,234.0,,-632.0,0.0,-19012.0,-198.0,1.0,-199.0,3061.0,9691.0,,,,-6630.0,0.0,-6630.0,0.0,-21132.0,-876.0,-20400.0,144.0,-22.0,0.0,-22.0,0.0,-721.0,18382.0,-167.0,-4224.0,1480.0,-5023.0,1714.0,-2395.0,-103.0,69.0,-172.0,22899.0,-23.0,10.0,-264.0,169.0,156.0,
03/31/2013,-2744.0,-253.0,333.0,-24.0,93.0,-45.0,153.0,-15.0,-2893.0,-2256.0,,-637.0,0.0,7261.0,-126.0,0.0,-126.0,-4367.0,7564.0,343.0,7221.0,0.0,-11931.0,-1425.0,-10486.0,-20.0,12207.0,-2651.0,14834.0,24.0,-4.0,0.0,-4.0,0.0,-449.0,-4755.0,-166.0,683.0,-1369.0,1175.0,1497.0,-620.0,-135.0,117.0,-252.0,-5080.0,-57.0,-49.0,-287.0,70.0,95.0,
06/30/2013,1785.0,845.0,373.0,-19.0,-229.0,-38.0,-184.0,-7.0,815.0,564.0,,251.0,0.0,-7893.0,-132.0,0.0,-132.0,-3226.0,9073.0,368.0,8705.0,0.0,-12299.0,-5299.0,-6982.0,-18.0,-3670.0,-1149.0,-2577.0,56.0,-1.0,0.0,-1.0,0.0,-864.0,8686.0,-189.0,3500.0,314.0,3998.0,273.0,-1085.0,194.0,525.0,-331.0,5244.0,-63.0,-78.0,2500.0,122.0,83.0,
09/30/2013,904.0,975.0,345.0,2.0,318.0,-20.0,346.0,-8.0,-736.0,-174.0,,-562.0,0.0,-7905.0,-114.0,0.0,-114.0,7080.0,9518.0,427.0,9091.0,0.0,-2438.0,-13.0,-2319.0,-106.0,-16029.0,214.0,-16267.0,24.0,72.0,84.0,-12.0,0.0,1086.0,7313.0,-188.0,-935.0,1766.0,-2863.0,962.0,-800.0,-80.0,42.0,-122.0,8577.0,-61.0,52.0,364.0,137.0,108.0,
