Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/2016,6616.814,3588.158,947.71,2640.448,556.781,556.781,0.0,0.0,0.0,0.0,0.0,0.0,237.1,,,235.508,4382.039,758.837,1479.676,-720.839,0.0,,1475.938,1314.073,1186.303,127.77,,161.865,2234.775,,363.297,91.415,24.757,,247.125,81.035,0.0,81.035,81.035,,5.306,,,0.0,449.638,1539.693,1496.44,43.253,43.253,,70.63,,,,7.769,62.861,1610.323,2059.961,0.0,6881.781,0.003,6881.778,0.0,-2280.425,-44.503,4556.853,0.0,4556.853,6616.814,
09/30/2016,6742.946,3664.183,1011.957,2652.226,590.108,590.108,0.0,0.0,0.0,0.0,0.0,0.0,224.122,,,224.122,4478.413,803.305,1599.906,-796.601,0.0,,1461.228,1296.384,1184.401,111.983,,164.844,2264.533,,386.612,104.296,26.978,,255.338,82.162,0.0,82.162,82.162,,1.824,,,0.0,470.598,1572.062,1517.673,54.389,54.389,,70.954,,,,8.191,62.763,1643.016,2113.614,0.0,7058.937,0.004,7058.933,0.0,-2383.296,-46.309,4629.332,0.0,4629.332,6742.946,
12/31/2016,6870.365,3774.579,988.598,2785.981,650.65,650.65,0.0,0.0,0.0,0.0,0.0,0.0,226.967,,0.0,225.012,4652.196,783.901,1641.828,-857.927,90.2,90.2,1344.068,1280.649,1185.315,95.334,,63.419,2218.169,,469.014,122.236,29.558,,317.22,80.848,0.0,80.848,80.848,,34.159,0.0,0.0,0.0,584.021,1605.804,1538.967,66.837,66.837,,75.605,0.0,,,7.556,68.049,1681.409,2265.43,0.0,7224.538,0.004,7224.534,0.0,-2550.35,-69.253,4604.935,0.0,4604.935,6870.365,
03/31/2017,6892.742,3943.677,1191.566,2752.111,501.153,501.153,0.0,0.0,0.0,0.0,0.0,0.0,250.502,,,249.992,4695.332,782.421,1713.034,-930.613,0.0,,1414.989,1263.078,1183.685,79.393,,151.911,2197.41,,407.306,86.176,29.435,,291.695,80.249,0.0,80.249,80.249,,1.437,,,0.0,488.992,1638.11,1560.33,77.78,77.78,,75.264,,,,8.353,66.911,1713.374,2202.366,0.0,7376.96,0.004,7376.956,0.0,-2625.225,-61.359,4690.376,0.0,4690.376,6892.742,
06/30/2017,6963.098,4079.912,1288.323,2791.589,524.064,524.064,0.0,0.0,0.0,0.0,0.0,0.0,236.126,,0.0,233.16,4840.102,781.272,1780.886,-999.614,0.0,,1341.724,1251.48,1186.189,65.291,,90.244,2122.996,,412.973,107.398,30.945,,274.63,80.133,0.0,80.133,80.133,,1.472,,,0.0,494.578,1665.878,1582.468,83.41,83.41,,73.746,,,,9.247,64.499,1739.624,2234.202,0.0,7517.437,0.004,7517.433,0.0,-2741.713,-46.828,4728.896,0.0,4728.896,6963.098,
09/30/2017,7075.789,4258.096,1586.558,2671.538,509.854,509.854,0.0,0.0,0.0,0.0,0.0,0.0,234.472,,0.0,231.917,5002.422,753.317,1834.222,-1080.905,0.0,,1320.05,1242.44,1187.88,54.56,,77.61,2073.367,,397.911,103.112,35.012,,259.787,81.938,0.0,81.938,81.938,,1.353,,,0.0,481.202,1690.554,1604.932,85.622,85.622,,74.627,,,,11.858,62.769,1765.181,2246.383,0.0,7628.97,0.004,7628.966,0.0,-2762.808,-36.756,4829.406,0.0,4829.406,7075.789,
12/31/2017,7412.477,4403.102,1638.413,2764.689,664.268,664.268,0.0,0.0,0.0,0.0,0.0,0.0,254.514,,0.0,252.277,5321.884,773.715,1928.088,-1154.373,27.6,27.6,1289.278,1238.589,1188.935,49.654,,50.689,2090.593,,469.877,170.969,36.097,,262.811,84.976,0.0,84.976,84.976,,28.425,0.0,0.0,0.0,583.278,1708.768,1627.46,81.308,81.308,,73.213,0.0,,,13.24,59.973,1781.981,2365.259,0.0,7750.526,0.004,7750.522,0.0,-2671.729,-31.579,5047.218,0.0,5047.218,7412.477,
03/31/2018,7539.441,4528.831,1601.028,2927.803,611.84,611.84,0.0,0.0,0.0,0.0,0.0,0.0,268.564,,,266.964,5409.235,801.912,2027.349,-1225.437,0.0,,1328.294,1235.726,1190.932,44.794,,92.568,2130.206,,441.339,137.968,29.988,,273.383,86.571,0.0,86.571,86.571,,0.744,,,0.0,528.654,1722.034,1650.064,71.97,71.97,,78.317,,,,15.535,62.782,1800.351,2329.005,0.0,7831.433,0.004,7831.429,0.0,-2598.672,-22.325,5210.436,0.0,5210.436,7539.441,
06/30/2018,8861.23,5661.115,2544.641,3116.474,614.944,614.944,0.0,0.0,0.0,0.0,0.0,0.0,264.445,,0.0,263.026,6540.504,914.795,2187.421,-1272.626,0.0,,1405.931,1278.183,1228.993,49.19,,127.748,2320.726,,443.983,161.3,33.0,,249.683,82.058,0.0,82.058,82.058,,68.378,,,0.0,594.419,2614.127,2560.943,53.184,53.184,,81.78,,,,17.077,64.703,2695.907,3290.326,0.0,8125.893,0.004,8125.889,0.0,-2498.555,-56.434,5570.904,0.0,5570.904,8861.23,
09/30/2018,9746.192,5956.543,1928.929,4027.614,621.943,621.943,0.0,0.0,0.0,0.0,0.0,0.0,141.274,,,137.814,6719.76,904.027,2232.514,-1328.487,0.0,,2122.405,1272.749,1227.939,44.81,765.708,83.948,3026.432,,445.134,116.685,36.486,,291.963,960.394,884.435,75.959,75.959,,52.118,,,0.0,1457.646,1747.436,1710.065,37.371,37.371,,88.538,,,,20.732,67.806,1835.974,3293.62,0.0,8225.041,0.004,8225.037,0.0,-1709.376,-63.093,6452.572,0.0,6452.572,9746.192,
12/31/2018,10162.572,6209.401,1894.444,4314.957,788.7,788.7,0.0,0.0,0.0,0.0,0.0,0.0,112.935,,0.0,111.592,7111.036,885.078,2165.252,-1280.174,25.8,25.8,2140.658,1272.294,1227.269,45.025,808.459,59.905,3051.536,,508.162,145.186,39.729,,323.247,965.374,897.328,68.046,68.046,,42.775,0.0,0.0,0.0,1516.311,1755.316,1730.922,24.394,24.394,,85.351,0.0,,,17.849,67.502,1840.667,3356.978,0.0,8324.978,0.004,8324.974,0.0,-1454.073,-65.311,6805.594,0.0,6805.594,10162.572,
03/31/2019,11145.231,6459.892,2247.661,4212.231,684.22,684.22,0.0,0.0,0.0,0.0,0.0,0.0,111.673,,,110.201,7255.785,1620.405,2977.292,-1356.887,0.0,,2269.041,1268.883,1228.644,40.239,918.82,81.338,3889.446,,526.861,172.169,40.242,,314.45,1091.415,910.257,181.158,57.741,123.417,3.403,,,0.0,1621.679,2394.834,1751.695,643.139,14.243,628.896,39.899,,,,20.263,19.636,2434.733,4056.412,0.0,8408.753,0.004,8408.749,0.0,-1263.269,-56.665,7088.819,0.0,7088.819,11145.231,
06/30/2019,12521.607,6686.538,2183.111,4503.427,719.904,719.904,0.0,0.0,0.0,0.0,0.0,0.0,106.341,,,102.068,7512.783,1677.368,3131.681,-1454.313,0.0,,3331.456,1297.605,1246.883,50.722,1954.808,79.043,5008.824,,559.608,206.282,37.067,,316.259,1099.16,923.648,175.512,45.593,129.919,74.97,,,0.0,1733.738,2394.881,1773.092,621.789,7.576,614.213,48.174,,,,23.393,24.781,2443.055,4176.793,0.0,8535.467,0.004,8535.463,0.0,-143.709,-46.944,8344.814,0.0,8344.814,12521.607,
09/30/2019,11600.925,5816.384,1869.444,3946.94,684.186,684.186,0.0,0.0,0.0,0.0,0.0,0.0,123.881,,,120.247,6624.451,1657.689,3141.656,-1483.967,0.0,,3318.785,1290.387,1243.472,46.915,1896.34,132.058,4976.474,,524.217,150.785,35.659,,337.773,166.166,0.0,166.166,33.947,132.219,72.244,,,0.0,762.627,2378.947,1794.885,584.062,3.086,580.976,43.709,,,,20.329,23.38,2422.656,3185.283,0.0,8638.738,0.004,8638.734,0.0,-107.187,-115.909,8415.642,0.0,8415.642,11600.925,
12/31/2019,12703.389,6639.052,1799.082,4839.97,850.184,850.184,0.0,0.0,0.0,0.0,0.0,0.0,130.839,,0.0,127.083,7620.075,1728.876,3279.526,-1550.65,0.0,,3354.438,1311.805,1256.699,55.106,1908.086,134.547,5083.314,,591.481,161.148,45.967,,384.366,170.435,0.0,170.435,23.476,146.959,70.56,0.0,0.0,0.0,832.476,3118.25,2508.8,609.45,0.205,609.245,48.277,0.0,,,24.17,24.107,3166.527,3999.003,0.0,8763.334,0.004,8763.33,0.0,11.586,-70.534,8704.386,0.0,8704.386,12703.389,
03/31/2020,13540.725,7670.664,3463.349,4207.315,656.377,656.377,0.0,0.0,0.0,0.0,0.0,0.0,140.538,,,138.559,8467.579,1747.898,3361.941,-1614.043,0.0,,3325.248,1334.198,1269.633,64.565,1856.293,134.757,5073.146,,504.797,183.921,14.372,,306.504,155.843,0.0,155.843,13.888,141.955,49.38,,,0.0,710.02,3981.15,3398.278,582.872,,582.872,53.928,,,,25.366,28.562,4035.078,4745.098,0.0,8952.063,0.004,8952.059,0.0,1.561,-157.997,8795.627,0.0,8795.627,13540.725,
06/30/2020,12547.587,7766.014,3112.454,4653.56,600.777,600.777,0.0,0.0,0.0,0.0,0.0,0.0,128.496,,,125.94,8495.287,1782.803,3496.536,-1713.733,0.0,,2269.497,1348.672,1284.325,64.347,786.29,134.535,4052.3,,624.028,162.16,17.881,,443.987,144.966,0.0,144.966,7.248,137.718,72.113,,,0.0,841.107,3987.817,3427.356,560.461,,560.461,60.608,,,,26.579,34.029,4048.425,4889.532,0.0,9127.499,0.004,9127.495,0.0,-1376.444,-93.0,7658.055,0.0,7658.055,12547.587,
