Date,Cash From Operating Activities,Net Income,D&A and Provision for Loan Losses,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Change in Loans,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Increase(Decrease) in Deposits,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
02/28/1998,-5925,187,33,201,-6346.0,-15.0,,-15.0,,,,,7392.0,-65.0,3778.0,4597.0,-877.0,13.0,-54.0,,,1452.0,,
05/31/1998,-2853,324,33,-342,-2868.0,-22.0,,-22.0,,,,,4963.0,-13.0,1939.0,3569.0,-657.0,258.0,-133.0,,,2088.0,,
08/31/1998,-8847,151,28,-8,-9018.0,-39.0,,-39.0,,,,,8393.0,-21.0,6780.0,2476.0,-944.0,230.0,-128.0,,,-493.0,,
11/30/1998,10,74,209,19,-292.0,,,-43.0,,,,,,,,,,,,,,,,
02/28/1999,-1627,211,33,564,-2435.0,-20.0,,-20.0,,,,,2262.0,-71.0,2673.0,1538.0,-1845.0,7.0,-40.0,,,615.0,,
05/31/1999,-2312,329,33,-137,-2537.0,-16.0,,-16.0,,,,,2663.0,-25.0,465.0,4447.0,-2020.0,2.0,-206.0,,,335.0,,
08/31/1999,3481,290,31,201,2959.0,-18.0,,-18.0,,,,,-2680.0,-21.0,-3854.0,2461.0,-1158.0,3.0,-111.0,,,783.0,,
11/30/1999,6799,301,354,-215,6359.0,-19.0,,-19.0,,,,,-6382.0,-22.0,-6953.0,2197.0,-1384.0,,-216.0,,,398.0,,
02/29/2000,6999,541,33,0,6558.0,,,0.0,,,,,-9379.0,-73.0,-10968.0,3776.0,-1914.0,,-200.0,,,-2380.0,,
05/31/2000,-12065,378,28,93,-12564.0,-37.0,,-37.0,0.0,0.0,,0.0,13281.0,-24.0,11818.0,4214.0,-2709.0,217.0,-235.0,,0.0,1179.0,,
08/31/2000,0,457,11,0,0.0,,,0.0,,,,,10992.0,-122.0,5811.0,11874.0,-6331.0,230.0,-470.0,,,10992.0,,
11/30/2000,1000,399,30,571,,,,,,,,,,,,,,,,,,1000.0,,
02/28/2001,1592,387,38,16,1151.0,-128.0,,-128.0,,,,,-4089.0,-30.0,-3538.0,2485.0,-2253.0,26.0,-779.0,,,-2625.0,,
05/31/2001,1093,430,251,1084,-672.0,-62.0,,-62.0,,,,,-1139.0,-16.0,-3095.0,4059.0,-1875.0,37.0,-249.0,,,-108.0,,
08/31/2001,8191,309,154,67,7661.0,-76.0,,-76.0,,,,0.0,-7054.0,-91.0,-7174.0,2273.0,-1537.0,45.0,-570.0,,,1061.0,,
11/30/2001,-4250,130,275,-960,-3695.0,-1075.0,,-1075.0,,,,,,,,,,,,,,-5325.0,,
02/28/2002,4008,298,189,113,3408.0,-195.0,,-179.0,,,,-16.0,-3851.0,-58.0,-3699.0,1925.0,-1766.0,1.0,-254.0,,,-38.0,,
05/31/2002,-1948,296,186,-213,-2217.0,-147.0,,-132.0,,,,-15.0,1742.0,-33.0,3916.0,1208.0,-3207.0,140.0,-282.0,,,-353.0,,
08/31/2002,1498,194,176,-172,1300.0,-112.0,,-112.0,,,,0.0,-1509.0,-35.0,-1865.0,2982.0,-2264.0,63.0,-390.0,,,-123.0,,
11/30/2002,3920,187,277,0,4106.0,0.0,,0.0,,,,,,,,,,,,,,3920.0,,
02/28/2003,-2599,301,205,594,-3699.0,-155.0,0.0,-131.0,0.0,0.0,0.0,-24.0,2146.0,-40.0,805.0,3746.0,-2133.0,42.0,-274.0,0.0,0.0,-608.0,,
05/31/2003,1176,437,186,-211,764.0,-106.0,0.0,-104.0,0.0,0.0,0.0,-2.0,837.0,-40.0,-675.0,4705.0,-3029.0,150.0,-274.0,0.0,0.0,1907.0,,
08/31/2003,6463,480,169,210,5604.0,-73.0,,-45.0,,,,-28.0,513.0,-46.0,379.0,2735.0,-2647.0,380.0,-288.0,,,6903.0,,
11/30/2003,-3243,481,380,181,-4285.0,-774.0,0.0,-171.0,0.0,0.0,0.0,-603.0,38.0,-52.0,203.0,2197.0,-2328.0,690.0,-672.0,0.0,0.0,-3979.0,,
02/29/2004,-7117,670,264,174,-8225.0,-328.0,0.0,-194.0,0.0,0.0,0.0,-134.0,5545.0,-65.0,937.0,5937.0,-1000.0,363.0,-627.0,0.0,0.0,-1900.0,,
05/31/2004,-2994,609,228,-141,-3690.0,-61.0,0.0,-51.0,0.0,0.0,0.0,-10.0,1706.0,-64.0,-466.0,6361.0,-3620.0,108.0,-613.0,0.0,0.0,-1349.0,,
08/31/2004,1605,505,242,-4,862.0,21.0,0.0,-17.0,0.0,0.0,0.0,38.0,-3467.0,-64.0,-476.0,1587.0,-4287.0,296.0,-523.0,0.0,0.0,-1841.0,,
11/30/2004,-2404,585,494,99,-3582.0,-163.0,0.0,-139.0,0.0,0.0,0.0,-24.0,5175.0,-65.0,531.0,6600.0,-1913.0,192.0,-504.0,0.0,334.0,2608.0,,
02/28/2005,-3004,875,275,164,-4318.0,-63.0,0.0,-63.0,0.0,0.0,0.0,0.0,3558.0,-76.0,222.0,6915.0,-3642.0,465.0,-589.0,0.0,263.0,491.0,,
05/31/2005,-1208,683,299,382,-2572.0,-135.0,0.0,-135.0,0.0,0.0,0.0,0.0,114.0,-79.0,-487.0,5016.0,-3606.0,235.0,-926.0,0.0,-39.0,-1229.0,,
08/31/2005,-4397,879,258,892,-6426.0,-96.0,0.0,-96.0,0.0,0.0,0.0,0.0,4084.0,-74.0,1035.0,6106.0,-2567.0,303.0,-807.0,0.0,88.0,-409.0,,
11/30/2005,-3596,823,-406,638,-4651.0,-153.0,0.0,-115.0,0.0,0.0,0.0,-38.0,4356.0,-73.0,-686.0,5668.0,-4418.0,242.0,-922.0,4717.0,-172.0,607.0,,
02/28/2006,-6158,1085,122,133,-7498.0,-213.0,0.0,-123.0,0.0,0.0,0.0,-90.0,8153.0,-87.0,1866.0,7514.0,-4492.0,485.0,-766.0,3614.0,19.0,1782.0,,
05/31/2006,-16691,1002,128,48,-17869.0,-126.0,0.0,-110.0,0.0,0.0,0.0,-16.0,14592.0,-86.0,-275.0,19354.0,-5093.0,267.0,-811.0,1105.0,131.0,-2225.0,,
08/31/2006,-6428,916,130,86,-7560.0,-271.0,0.0,-171.0,0.0,0.0,0.0,-100.0,6409.0,-85.0,881.0,10746.0,-5948.0,93.0,-705.0,1377.0,50.0,-290.0,,
11/30/2006,-7099,1004,134,68,-8305.0,-182.0,0.0,-182.0,0.0,0.0,0.0,0.0,9101.0,-84.0,2347.0,10501.0,-4103.0,628.0,-396.0,249.0,-41.0,1820.0,,
02/28/2007,-14068,1146,137,-232,-15119.0,-496.0,0.0,-218.0,0.0,0.0,0.0,-278.0,12693.0,-106.0,137.0,19010.0,-6224.0,394.0,-1562.0,1079.0,-35.0,-1871.0,,
05/31/2007,-9747,1273,147,-1482,-9685.0,-347.0,0.0,-229.0,0.0,0.0,0.0,-118.0,11271.0,-105.0,2547.0,20814.0,-10091.0,99.0,-477.0,-1677.0,161.0,1177.0,,
08/31/2007,-18577,887,143,772,-20379.0,-747.0,0.0,-250.0,0.0,0.0,0.0,-497.0,21079.0,-103.0,1749.0,29716.0,-13326.0,143.0,-561.0,3238.0,223.0,1755.0,,
11/30/2007,-3203,886,150,1334,-5573.0,-108.0,0.0,-269.0,0.0,0.0,0.0,161.0,3549.0,-104.0,-1052.0,16762.0,-16614.0,241.0,-5.0,4428.0,-107.0,238.0,,
02/29/2008,-10638,489,160,-600,-10687.0,-321.0,0.0,-239.0,0.0,0.0,0.0,-82.0,11237.0,-130.0,4749.0,18240.0,-12031.0,2007.0,-693.0,-534.0,-371.0,278.0,,
05/31/2008,-7261,-2774,165,-619,-4033.0,-257.0,0.0,-248.0,0.0,0.0,0.0,-9.0,6467.0,-204.0,-1703.0,14558.0,-10738.0,4091.0,-67.0,526.0,4.0,-1051.0,,
