Date,Cash From Operating Activities,Cash Flow Net Income,Depreciation & Amortization,Provision for Doubtful Accounts,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Disposal of Fixed Assets,Property Additions,Property Improvements,Change in Investments,Change in Notes,Change in Mortgages,Change in Real Estate Interest,Other Investing Activities,Cash from Investing Activities,Cash from Financing Activities,Dividends Paid,Preferred Dividends Other Distributions,Proceeds from Repayments of Borrowings,Change in Unsecured Debt,Change in Secured Debt,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Source: Bloomberg
09/30/2000,75.740997,85.533997,37.169998,0.0,-44.875999,-2.087,,311.484009,-131.574005,0.0,0.0,0.0,-39.828999,19.007,-16.881001,142.207001,-219.307999,-46.754002,-8.239,8.474,-7.158,15.632,5.599,-178.666,0.278,-1.36,
12/31/2000,81.023014,43.148014,34.777,4.8,-6.731996,5.030001,,160.970015,-172.104995,0.0,0.0,0.0,0.0,-93.090003,95.223,-9.001999,-75.87799,-47.241001,-8.164001,-23.371998,19.668995,-43.040993,3.331999,-0.021999,-0.411,-3.857,
03/31/2001,49.250999,70.695,33.318001,0.0,-23.686001,-31.076,,416.427002,-60.780998,0.0,0.0,0.0,0.0,22.163,-95.82,281.989014,-321.644989,-50.424,-8.263,-214.917007,-189.113007,-25.804001,0.0,-50.0,1.959,9.595,
06/30/2001,91.054001,76.335999,31.792,0.0,-33.014,15.94,,390.187988,-66.628998,0.0,0.0,0.0,0.0,-22.163,-169.207993,150.962006,-171.526001,-49.419998,-6.86,-22.411001,-17.106001,-5.305,0.0,-104.669998,11.835,70.489998,
09/30/2001,62.308998,47.368,31.306,0.0,-5.4,-10.965,,94.069,-217.384995,0.0,0.0,0.0,0.0,38.370998,135.057007,-72.061996,-45.500999,-49.691002,-5.872,-1.098001,-28.808001,27.709999,0.0,-0.587,-5.675,-55.254002,
12/31/2001,106.691002,63.479,39.265999,14.927,-20.381001,9.4,,176.037994,-185.910995,0.0,0.0,0.0,0.0,-17.26,-2.826,73.441002,-207.013,-71.661003,-5.199,-145.737,-58.803001,-86.933998,0.0,-0.185,33.191002,-26.881001,
03/31/2002,108.642998,59.098999,48.645,0.0,8.455,-7.556,,19.239,-140.046997,0.0,0.0,0.0,0.0,-56.811001,27.455999,-150.162994,46.717999,-74.311996,-21.326,129.338997,231.899994,-102.560997,0.0,0.0,13.017,5.198,
06/30/2002,103.125,83.926003,46.075001,0.0,-27.746,0.87,,115.056999,-180.214996,0.0,0.0,0.0,0.0,26.079,26.361,-12.718,-91.823997,-75.555,-20.896999,-12.853012,246.294998,-259.14801,18.525999,0.0,-1.045,-1.417,
09/30/2002,142.001999,62.950001,57.949001,0.0,17.319,3.784,,33.737,-93.777,0.0,0.0,0.0,0.0,-48.860001,9.615,-99.285004,-19.132,-55.301998,-40.750999,111.379,110.945,0.434,36.407001,-61.299999,-9.565,23.584999,
12/31/2002,166.725998,109.169998,53.325001,0.0,-73.235001,14.313,,241.483002,-225.130997,0.0,0.0,0.0,0.0,170.832993,-47.974998,139.210007,-312.570007,-77.004997,-17.107,-216.263002,21.122999,-237.386002,14.839,-15.466,-1.556,-6.634,
03/31/2003,69.442001,85.516998,53.612,0.0,-36.819,-32.868,,164.628006,-99.755997,0.0,0.0,0.0,0.0,3.906,-34.422001,34.355999,-102.602997,-77.927002,-18.655001,-4.579,25.282,-29.861,20.544001,-13.361,-8.625,1.195,
06/30/2003,86.732002,65.171997,51.687,0.0,-38.362999,8.236,,348.674011,-135.009003,0.0,0.0,0.0,0.0,3.611,-77.847,139.429001,-231.276001,-80.501999,-20.09,-161.262007,-158.570007,-2.692,24.160999,-0.041,6.458,-5.115,
09/30/2003,93.553,156.428,42.863,0.0,-122.959,17.221,,704.159,-523.957,0.0,0.0,0.0,0.0,13.031,115.985,309.218,-607.777,-161.626,-36.875,-483.16,-292.885,-190.275,43.18,-0.263,30.967,21.155,
12/31/2003,93.969002,126.928001,62.264999,0.0,-103.492996,8.269,,346.095001,-309.063995,0.0,0.0,0.0,0.0,15.424,-107.292,-54.837002,-69.098,-83.001999,-15.295,22.640992,345.231995,-322.591003,3.661,-1.42,4.317,-29.966,
03/31/2004,54.974998,100.101997,55.382,0.0,-64.774002,-35.735001,,194.382004,-304.360992,0.0,0.0,0.0,0.0,-1.231,122.670998,11.461,-65.959999,-85.115997,-15.397,44.747002,59.803001,-15.056,23.249001,-31.917,-1.526,0.476,
06/30/2004,104.777,80.061996,56.257999,0.0,-37.282001,5.739,,77.957001,-277.377991,0.0,0.0,0.0,0.0,28.188999,124.255997,-46.976002,-55.568001,-84.428001,-15.125,90.784996,106.589996,-15.805,5.88,-53.523998,0.844,2.233,
09/30/2004,110.502998,141.110001,60.532001,0.0,-127.595001,36.456001,,890.937988,-582.78302,0.0,0.0,0.217,0.0,-10.45,-24.132,273.790009,-212.589996,-84.389,-13.741,-38.266999,-26.080999,-12.186,6.666,-84.091003,1.232,171.703003,
12/31/2004,99.517,222.29,54.828,0.0,-203.78,26.179,,652.995,-259.027,0.0,0.0,0.0,0.0,-14.035,-65.82,314.113,-390.017,-285.183,-34.701,-77.367,-1.0,-76.367,25.672,-20.134,1.696,23.613,
03/31/2005,38.778,65.357002,56.973999,0.0,-51.268002,-32.285,,298.63501,-310.993988,0.0,0.0,-63.001999,0.0,6.939,78.550003,10.128,-245.117996,-87.042,-32.459,-76.720993,176.013,-252.733994,11.475,-60.978001,0.607,-196.212006,
06/30/2005,126.072998,55.702,60.061001,0.0,-17.743999,28.054001,,168.056,-146.768997,0.0,0.0,-10.406,0.0,-22.764,-69.244003,-81.126999,-39.223999,-86.371002,-11.719,66.883004,82.271004,-15.388,9.081,-15.039,-2.059,5.722,
09/30/2005,87.016998,163.723007,64.052002,0.0,-134.778,-5.98,,345.515015,-1141.865967,0.0,0.0,31.582001,0.0,39.313,44.473999,-680.981995,594.518005,-86.734001,-11.116,189.125006,193.197006,-4.072,504.158997,0.0,-0.916,0.553,
12/31/2005,162.151,331.39,71.087,0.0,-252.326,12.0,,726.633,-416.944,0.0,0.0,-20.429,0.0,-34.479,-467.421,-212.64,50.809,-93.476,-12.922,158.542,368.571,-210.029,8.249,0.0,-9.584,0.32,
03/31/2006,126.176003,124.455002,72.762001,2.2,-61.837002,-11.404,,280.132996,-435.549988,0.0,0.0,-54.105,0.0,-15.491,280.598999,55.585999,-171.653,-93.283997,-15.626,-86.001999,-31.673,-54.328999,22.629999,0.0,0.629,10.109,
06/30/2006,114.507,166.849,76.562,-2.2,-113.297,-13.407,,692.766,-463.775,0.0,0.0,-29.363,0.0,-49.644,-82.486,67.498,-184.087,-122.331,13.711,-82.454,24.509,-106.963,12.714,0.0,-5.727,-2.082,
09/30/2006,186.597,131.182007,73.036003,4.328,-65.264,43.314999,,217.154999,-927.338013,0.0,0.0,-0.124,0.0,-2.388,-2.167,-714.862,558.679993,-95.202003,-14.184,668.385986,739.22699,-70.841003,11.569,0.0,-11.889,30.415001,
12/31/2006,110.148,306.633,80.135,-4.328,-265.245,-7.047,,698.287,-389.935,0.0,0.0,47.259,0.0,-8.843,-261.254,85.514,-199.087,-95.758,-13.747,-103.528,1.988,-105.516,10.86,0.0,3.086,-3.425,
03/31/2007,77.021004,287.699005,78.871002,0.0,-241.569,-47.98,,689.405029,-365.264008,0.0,0.0,44.102001,0.0,-18.736,-343.372986,6.134,-82.540001,-100.455002,-14.045,18.966003,92.386002,-73.419998,16.059,0.0,-3.065,0.615,
06/30/2007,241.562,61.61,74.923,0.0,-22.083,127.112,,185.918,-1061.898,0.0,-75.884,4.506,0.0,-12.033,498.225,-461.166,183.309,-126.791,12.129,307.809,382.264,-74.455,13.374,0.0,-23.212,-36.295,
