Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Enterprise Value,Total Capital,Total Debt/Total Capital,Total Debt/EV,EV/Sales,EV/EBITDA,EV/EBIT,EV/Cash Flow to Firm,EV/Free Cash Flow to Firm,Diluted Market Cap,Diluted Enterprise Value,EV per Share,Trailing 12 Month Values for Ratios,Source: Bloomberg
03/31/1998,1240.043732,-132.438999,0.0,0.0,0.626,1108.230733,151.974997,0.41191,0.000565,10.986614,49.245945,102.471637,,,1351.823017,1220.010018,20.890306,,
06/30/1998,909.908985,-126.709999,0.0,0.0,0.0,783.198986,157.875992,0.0,0.0,6.944977,29.227115,57.83054,,,978.261369,851.55137,14.68645,,
09/30/1998,589.623744,-126.210999,0.0,0.0,0.0,463.412746,175.728998,0.0,0.0,3.713184,15.714766,31.586992,,,569.946232,443.735233,8.350682,,
12/31/1998,1040.146247,-111.233002,0.0,0.0,0.796,929.709245,180.363001,0.441332,0.000856,6.89639,30.982042,76.324514,,,1096.507725,986.070724,16.703364,,
03/31/1999,559.984513,-133.729996,0.0,0.0,0.549,426.803517,178.121998,0.308216,0.001286,3.004347,16.570387,69.876097,,,559.322432,426.141436,7.64552,,
06/30/1999,740.805185,-106.081001,0.0,0.0,0.382,635.106184,171.315994,0.22298,0.000601,4.32451,39.459834,,,,739.218949,633.519948,11.332682,,
09/30/1999,658.021873,-82.063,0.0,0.0,0.239,576.197874,165.871008,0.144088,0.000415,3.904176,139.144475,,,,651.893762,570.069763,10.124721,,
12/31/1999,1733.399963,-66.937,0.0,0.0,0.194,1666.656963,170.476238,0.113799,0.000116,10.618219,,,,,1711.200027,1644.457027,28.844877,,
03/31/2000,2780.687379,-692.154022,0.0,0.0,203.423004,2291.956361,807.743034,25.184124,0.088755,14.317032,,,,,2649.880854,2161.149836,36.034783,,
06/30/2000,2629.013821,-680.917999,0.0,0.0,203.292007,2151.38783,805.233036,25.246357,0.094493,12.790045,,,,,2621.699076,2144.073084,33.628044,,
09/30/2000,2639.114482,-644.632019,0.0,0.0,203.167007,2197.64947,812.653015,25.000462,0.092447,11.893652,,,,,2634.632123,2193.167111,34.245704,,
12/31/2000,1634.088533,-582.179993,0.0,0.0,187.813995,1239.722536,810.508003,23.17238,0.151497,6.384826,,,,,1601.178957,1206.81296,18.871743,,
03/31/2001,1009.845831,-567.340004,0.0,0.0,179.580002,622.085829,789.634979,22.742154,0.288674,3.041479,,,,,1009.185792,621.42579,9.455916,,
06/30/2001,1626.37423,-539.401009,0.0,0.0,179.468994,1266.442216,783.761002,22.898434,0.141711,5.902233,,,,,1620.183432,1260.251417,19.093492,,
09/30/2001,907.054244,-517.546013,0.0,0.0,179.358002,568.866233,762.795006,23.513264,0.31529,2.586849,,,,,906.614238,568.426226,8.566977,,
12/31/2001,1297.542283,-507.903004,0.0,0.0,179.248001,968.88728,619.451004,28.936591,0.185004,4.418836,,,,,1294.023647,965.368645,14.516035,,
03/31/2002,799.742518,-491.709984,0.0,0.0,179.136993,487.169527,600.547974,29.828923,0.36771,2.470985,,,,,795.681581,483.108591,7.24898,,
06/30/2002,490.935992,-476.151009,0.0,0.0,172.25,187.034983,576.521973,29.877439,0.920951,1.099145,,,,,490.288818,186.387809,2.769698,,
09/30/2002,315.196157,-452.828987,0.0,0.0,172.143005,34.510175,542.625031,31.724118,4.988181,0.255187,,,,,314.31359,33.627608,0.508024,,
12/31/2002,306.331686,-429.017996,0.0,0.0,172.035995,49.349686,474.445969,36.260398,3.486061,0.485668,,,,,308.105526,51.123526,0.734611,,
03/31/2003,214.297606,-376.183997,0.0,0.0,171.929993,10.043601,435.938995,39.439003,17.118361,0.118011,,,,,206.26814,2.014136,0.140134,,
06/30/2003,350.775372,-360.638992,0.0,0.0,171.822998,161.959378,409.179016,41.992133,1.060902,2.414277,,,,,349.409684,160.593689,2.243951,,
09/30/2003,335.473229,-315.097985,0.0,0.0,167.889999,188.265243,361.955002,46.384219,0.891774,3.249146,,,,,334.216539,187.008553,2.598324,,
12/31/2003,496.207161,-293.807009,0.0,0.0,167.785995,370.186148,322.118942,52.088211,0.453248,7.860914,,,,,495.291261,369.270248,5.102855,,
03/31/2004,604.585722,-500.706985,0.0,0.0,417.682007,521.560743,535.5,77.998507,0.800831,13.01754,,,,,603.663311,520.638333,7.168826,,
06/30/2004,560.546821,-473.555008,0.0,0.0,417.578003,504.569816,470.210022,88.8067,0.827592,14.756524,,,,,557.177567,501.200562,6.877059,,
09/30/2004,711.259316,-412.562012,0.0,0.0,378.846008,677.543312,409.60614,92.490315,0.559147,29.109095,,,,,706.100471,672.384468,9.173507,,
12/31/2004,829.393916,-469.764,0.0,0.0,378.766,738.395916,457.283,82.82967,0.512958,48.25171,,,,,792.09711,701.09911,8.893935,,
03/31/2005,567.669547,-448.694,0.0,0.0,378.686005,497.661552,438.554047,86.348765,0.760931,39.078253,,,,,567.224695,497.216699,5.987688,,
06/30/2005,596.348087,-401.449001,0.0,0.0,349.506012,544.405098,383.256989,91.193644,0.641996,53.123057,,,,,595.61646,543.673471,6.527222,,
09/30/2005,392.082382,-364.038002,0.0,0.0,341.919006,369.963387,345.43396,98.982453,0.924197,40.459687,,,,,392.045807,369.926811,4.434853,,
12/31/2005,443.339697,-344.97099,0.0,0.0,341.862,440.230706,322.464966,106.015238,0.776552,56.108935,,,,,445.996782,442.887791,5.302552,,
03/31/2006,503.540537,-321.499008,0.0,0.0,348.633987,530.675517,310.862991,112.150368,0.656963,46.566822,,,,,503.434533,530.569513,6.344408,,
06/30/2006,385.69606,-289.745998,0.0,0.0,348.672997,444.623058,293.948021,118.617229,0.784199,28.547227,,,,,385.415614,444.342612,5.302792,,
09/30/2006,354.703017,-426.301003,0.0,0.0,460.731995,389.13401,394.58197,116.764584,1.183993,18.002961,,,,,354.693949,389.124941,4.640606,,
