Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch in Operating Loans,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
06/30/2000,-157.746,5.69,,0.974,,,,,,,,,,,-1006.031,-54.363,,-54.363,-463.631,1958.441,,,,-2422.072,,,,-1394.055,,,,,,,,906.018,971.535,0.0,-123.672,,,,,-4.608,13.999,-18.607,1825.273,-725.458,,-192.242,,,
09/30/2000,236.142,47.656,78.295,1.773,-91.682,,57.516,,-149.198,-63.056,,,,,-1519.715,-50.107,,-50.107,-787.661,2638.142,,,,-3425.803,,,,-652.967,,,,,,,,-28.98,1247.218,0.0,664.472,,,,,-7.791,0.0,-7.791,593.001,-2.464,,-36.355,3.534,,
03/31/2001,-92.546,,,,,,,,,,,,,,-455.058,-62.715,0.0,-62.715,534.965,3335.754,,,,-2800.789,,,,0.0,,,,,,,,-927.308,505.597,0.0,1044.757,,,,,10.806,10.806,0.0,0.0,-549.966,,-42.007,,,
06/30/2001,21.44,,,,,,,,,,,,,,-498.562,-33.519,0.0,-33.519,-55.218,2230.569,,,,-2285.787,,,,0.0,,,,,,,,-409.825,925.596,0.0,1128.971,,,,,-2.809,0.0,-2.809,0.0,-200.566,,448.474,,,
09/30/2001,1034.507,,,,,,,,,,,,,,-164.206,-26.732,0.0,-26.732,143.43,2395.179,,,,-2251.749,,,,0.0,,,,,,,,-280.904,26.529,0.0,-77.338,,,,,-64.038,0.883,-64.921,0.0,167.905,,896.83,,,
12/31/2001,-1218.096,21.603,,,,,,,,,,,,,,-6.726,,-6.726,,,,,,,,,,,,,,,,,,6.726,,,,,,,,,,,,,,,,,
03/31/2002,591.098,,,,,,,,,,,,,,-457.466,-13.864,2.65,-16.514,-691.548,1535.26,,,,-2226.808,,,,0.0,,,,,,,,247.946,115.262,0.0,189.206,,,,,0.0,0.0,0.0,0.0,-73.944,,248.894,,,
06/30/2002,350.734,32.79,118.105,,8971.002,,,,8971.002,-7909.828,,,,,-1437.95,-84.889,0.0,-84.889,-227.941,3293.379,,,,-3521.32,,,,0.0,,,,,,,,-1125.12,1018.074,0.0,1046.186,,,,,-3.07,12.019,-15.089,0.0,-25.042,,-69.142,,,
09/30/2002,2.011,20.678,108.038,,993.792,,,,993.792,-1120.497,,,,,1522.736,-0.139,0.0,-0.139,1171.524,4727.947,,,,-3556.423,,,,0.0,,,,,,,,351.351,-783.512,0.0,-714.276,,,,,-26.803,1.589,-28.392,,-42.433,,741.235,,,
12/31/2002,1152.82,30.364,,,,,,,,,,,,,0.0,-18.709,,-18.709,,,,,,,,,,,,,,,,,,18.709,,,,,,,,,,,,,,0.0,,,
03/31/2003,608.539,,,,,,,,,,,,,,-253.954,-4.089,3.255,-7.344,-188.607,5689.02,,,,-5877.627,,,,0.0,,,,,,,,-61.258,-153.232,0.0,225.929,,,,,0.0,0.0,0.0,0.0,-379.161,,201.353,,,
06/30/2003,263.118,12.687,,,,,,,,,,,,,-804.107,-7.196,1.806,-9.002,-237.972,4162.151,,,,-4400.123,,,,0.0,,,,,,,,-558.939,448.267,0.0,497.294,,,,,16.757,16.757,0.0,0.0,-65.784,,-92.722,19.315,222.471,
09/30/2003,21.939,61.403,,,,,,,,,,,,,-840.82,-15.235,1.356,-16.591,-365.655,4770.972,,,,-5136.627,,,,0.0,,,,,,,,-459.93,27.466,0.0,-30.161,,,,,13.528,13.528,0.0,0.0,44.099,,107.967,19.551,104.577,
12/31/2003,-208.352,107.455,127.897,,-10838.711,,,,-10838.711,10395.007,,,,,-1890.053,-25.872,0.0,-25.872,-452.613,5649.679,,,,-6102.292,,,,0.0,,,,,,,,-1411.568,2029.641,0.0,2030.455,,,,,21.455,21.455,0.0,0.0,-22.269,,-68.764,,,
03/31/2004,648.265,88.475,110.442,,112.305,,,,112.305,337.043,,,,,-393.293,-28.142,0.0,-28.142,-133.43,6074.41,,,,-6207.84,,,,-200.582,,,,,,,,-31.139,-329.558,0.0,327.671,,,,,-31.562,18.368,-49.93,-539.12,-86.547,,-74.586,4.504,116.294,
06/30/2004,235.778,122.906,106.599,,-302.264,,,,-302.264,308.537,,,,,-3018.544,-14.844,0.2,-15.044,-1832.19,4832.3,,,,-6664.49,,,,-1275.09,,,,,,,,103.58,3179.564,0.0,3382.849,,,,,-40.801,9.267,-50.068,-138.091,-24.393,,396.798,31.474,83.783,
09/30/2004,-37.754,79.274,80.093,9145.0,-64.256,,,,-64.256,-132.865,,,,,-1083.065,-24.99,0.0,-24.99,-280.486,3275.399,,,,-3555.885,,,,-779.692,,,,,,,,2.103,608.274,0.0,453.787,,,,,-10.427,9.385,-19.812,196.156,-31.242,,-512.545,24.546,117.461,
03/31/2005,282.719,91.994,92.468,12.04,-69.248,,,0.501,-69.749,155.465,,,,,-891.677,-19.17,0.0,-19.17,585.159,2816.408,,,,-2231.249,,,,-1455.729,,,,,,,,-1.937,390.048,0.0,178.899,,,,,-18.045,14.498,-32.543,236.843,-7.649,,-218.91,20.919,134.882,
06/30/2005,342.576,101.567,106.951,,-68.59,,,,-68.59,202.648,,,,,-2015.018,-18.471,0.0,-18.471,794.965,6497.287,,,,-5702.322,,,,-2716.73,,,,,,,,-74.782,2046.824,0.0,1597.794,,,,,-6.568,9.83,-16.398,531.268,-75.67,,374.382,43.668,211.627,
09/30/2005,35.958,107.491,54.227,37.946,52.746,,,10.582,42.164,-216.452,,,,,-2018.878,-20.661,0.0,-20.661,-228.397,3875.956,,,,-4104.353,,,,-1835.166,,,,,,,,65.346,2277.232,0.0,674.962,,,,,14.697,23.971,-9.274,1499.606,87.967,,294.312,23.436,201.423,
12/31/2005,195.483,129.36,59.333,54.016,-54.079,,49.018,18.253,-121.35,6.853,,,,,-5479.055,-20.712,0.0,-20.712,-1412.951,417.281,,,,-1830.232,,,,-1879.415,,,,,,,,-2165.977,4738.198,0.0,2131.061,,,,,1165.865,1165.865,0.0,1401.197,40.075,,-545.374,118.471,175.786,
03/31/2006,97.218,142.471,72.605,10.197,-59.621,,,8.437,-68.058,-68.434,,,,,-873.286,-21.252,0.0,-21.252,-631.158,1994.411,,,,-2625.569,,,,-156.837,,,,,,,,-64.039,755.035,0.0,-2573.969,,,,,20.209,20.209,0.0,3285.769,23.026,,-21.033,3.06,291.102,
06/30/2006,114.447,156.484,71.753,10.27,-35.292,,,10.793,-46.085,-88.768,,,,,-3013.267,-21.345,0.0,-21.345,-1795.924,703.457,,,,-2499.381,,,,-1290.575,,,,,,,,94.577,2952.07,0.0,941.914,,,,,-24.281,23.992,-48.273,1970.581,63.856,,53.25,105.451,324.95,
09/30/2006,407.159,153.249,83.36,,482.47,,,,482.47,-311.92,,,,,-2697.535,-25.644,0.0,-25.644,-349.353,2691.827,,,,-3041.18,,,,-2247.067,,,,,,,,-75.471,2615.363,0.0,1514.368,,,,,-11.756,22.745,-34.501,1111.555,1.196,,324.987,4.267,396.806,
12/31/2006,241.731,176.655,83.626,44.96,105.154,,,,105.154,-85.039,,,,,-1837.944,-41.252,0.0,-41.252,1541.708,8791.811,,,,-7250.103,,,,-3274.653,,,,,,,,-63.747,1607.055,0.0,-83.969,,,,,-23.889,15.938,-39.827,1728.066,-13.153,,10.842,39.073,335.778,
03/31/2007,182.272,169.41,70.018,21.186,-445.8,,,3.135,-448.935,367.458,,,,,-5915.869,-43.427,0.0,-43.427,-2500.845,4823.918,,,,-7324.763,,,,-3347.604,,,,,,,,-23.993,5716.344,0.0,3567.729,,,,,-4.035,18.987,-23.022,2183.771,-31.121,,-17.253,10.789,569.847,
06/30/2007,-382.587,159.129,100.334,,-109.84,,,,-109.84,-532.21,,,,,-2803.985,-42.216,0.0,-42.216,-842.671,1964.137,,,,-2806.808,,,,-1902.375,,,,,,,,-16.723,3031.101,0.0,1533.458,,,,,-54.179,18.704,-72.883,1515.63,36.192,,-155.471,118.032,505.186,
09/30/2007,306.845,-58.448,22.615,216.581,-166.235,,,10.097,-176.332,271.146,,,,,-1021.91,-18.25,0.0,-18.25,132.757,1157.29,,,,-1024.533,,,,-1123.141,,,,,,,,-13.276,1085.735,0.0,-324.793,,,,,-36.801,15.925,-52.726,1423.333,23.996,,370.67,7.477,591.736,
12/31/2007,693.72,-1711.845,68.338,402.311,3283.571,,-425.355,21.75,3687.176,-1348.655,,,,,4951.983,-25.402,0.0,-25.402,3902.749,5860.316,,,,-1957.567,,,,1032.004,,,,,,,,42.632,-5277.639,0.0,-2324.525,,,,,341.252,341.253,-0.001,-3315.773,21.407,,368.064,-13.293,537.736,
03/31/2008,-303.656,-91.193,77.649,233.871,-60.224,,-55.985,13.989,-18.228,-463.759,,,,,3937.811,44.024,69.25,-25.226,2923.237,3994.007,,,,-1070.77,,,,1002.421,,,,,,,,-31.871,-2350.412,0.0,-3868.135,,,,,1.279,1.279,0.0,1579.545,-63.101,,1283.743,-105.674,432.698,
06/30/2008,-369.041,-185.752,150.873,552.992,569.544,,,25.255,544.289,-1456.698,,,,,4737.006,12.148,69.25,-57.102,2616.092,5068.721,,,,-2452.629,,,,2156.927,,,,,,,,-48.161,-3326.949,,-4415.198,,,,,-2.69,-2.69,,1152.088,-61.149,,1041.016,-417.018,869.223,
09/30/2008,753.187,-236.227,220.911,1070.792,-127.478,,,38.713,-166.191,-174.811,,,,,4774.645,-13.376,69.25,-82.626,1804.91,5843.085,,,,-4038.175,,,,3041.279,,,,,,,,-58.168,-4147.336,,-4752.233,,,,,-2.06,-2.06,,726.749,-119.792,,1380.496,-415.935,1176.269,
12/31/2008,1494.098,-275.563,71.917,512.874,267.986,,-446.758,3.713,711.031,916.884,,,,,-485.808,-27.611,0.0,-27.611,-1009.526,1697.881,,,,-2707.407,,,,408.619,,,,,,,,142.71,-313.181,0.0,262.486,,,,,4.48,7.308,-2.828,-480.193,-99.954,,695.109,0.677,436.707,
03/31/2009,274.206,-232.685,82.827,453.963,-114.667,-16.074,-112.1,10.839,2.668,84.768,7.252,0.0,77.516,0.0,-235.61,-23.168,0.0,-23.168,-940.644,4341.212,0.0,4341.212,0.0,-5281.856,0.0,-5281.856,0.0,697.066,697.066,0.0,0.0,0.0,0.0,0.0,0.0,31.136,611.885,0.0,-822.242,0.0,-422.242,850.0,-1250.0,0.0,0.0,0.0,1504.836,-70.709,-12.024,638.457,2.662,220.448,
06/30/2009,661.132,-143.237,95.484,404.525,273.589,-41.907,294.636,10.715,10.145,30.771,7.328,-12.559,36.002,0.0,1828.341,-22.616,0.0,-22.616,911.713,6422.608,0.0,6422.608,0.0,-5510.895,0.0,-5510.895,0.0,899.913,899.913,0.0,0.0,0.0,0.0,0.0,0.0,39.331,-1766.191,0.0,-1078.624,0.0,-478.624,850.0,-1450.0,586.313,586.313,0.0,-1217.911,-55.969,18.567,741.849,2.782,178.699,
09/30/2009,-205.073,-854.691,85.24,347.222,332.415,-22.75,-663.785,9.874,1009.076,-115.259,2.481,390.744,-508.484,0.0,340.742,-18.907,0.0,-18.907,-541.345,6629.599,0.0,6629.599,0.0,-7170.944,0.0,-7170.944,0.0,861.917,861.917,0.0,0.0,0.0,0.0,0.0,0.0,39.077,-592.812,0.0,-592.588,0.0,7.412,850.0,-1450.0,146.896,146.896,0.0,-55.634,-91.486,19.364,-437.779,10.736,155.149,
12/31/2009,241.692,-67.149,82.418,292.402,10.845,2.434,-7.44,14.756,1.095,-76.824,5.423,-385.735,303.488,0.0,-735.25,-21.504,0.0,-21.504,-1853.923,2552.423,0.0,2552.423,0.0,-4406.346,0.0,-4406.346,0.0,1096.947,1096.947,0.0,0.0,0.0,0.0,0.0,0.0,43.23,-815.279,0.0,-26.33,0.0,-26.33,850.0,-850.0,-0.091,,,-770.887,-17.971,-4.301,-1313.138,3.162,110.731,
03/31/2010,-46.778,-47.837,86.2,267.979,-35.931,-20.503,-15.66,9.168,-8.936,-317.189,-8.779,4.501,-312.911,0.0,762.943,-22.185,0.0,-22.185,99.291,2726.174,0.0,2726.174,0.0,-2626.883,-2626.883,0.0,0.0,635.294,635.294,0.0,0.0,0.0,0.0,0.0,0.0,50.543,-1127.157,0.0,-55.941,0.0,-55.941,850.0,-850.0,0.0,0.0,0.0,-961.087,-110.129,-3.895,-414.887,2.464,89.703,
06/30/2010,444.634,35.076,79.88,165.666,-20.37,-36.75,19.173,4.72,-7.513,184.382,-3.178,14.028,173.532,0.0,606.712,-16.71,0.0,-16.71,33.036,4736.321,0.0,4736.321,0.0,-4703.285,,,,686.247,686.247,0.0,0.0,0.0,0.0,0.0,0.0,-95.861,-1028.717,0.0,-133.921,0.0,-133.921,500.0,-500.0,0.0,0.0,0.0,-864.711,-30.085,2.107,24.736,-98.135,135.223,
09/30/2010,717.616,8.404,86.226,151.983,-13.438,-41.294,18.732,4.131,4.993,484.441,-11.238,-2.869,498.548,0.0,-747.424,-22.888,0.0,-22.888,-1479.192,3974.216,14.771,3959.445,0.0,-5453.408,-1762.473,-3690.935,0.0,681.75,681.75,0.0,0.0,0.0,0.0,0.0,0.0,72.906,64.279,0.0,-343.518,0.0,-343.518,500.0,-500.0,0.0,0.0,0.0,398.892,8.905,2.843,37.314,15.625,72.589,
12/31/2010,-66.177,-24.115,86.779,193.784,-130.156,-32.65,-108.444,7.342,3.596,-192.469,-1.692,0.9,-191.677,0.0,-1695.085,-20.293,0.0,-20.293,-2418.721,4405.814,145.819,4259.995,0.0,-6824.535,-82.344,-6742.191,0.0,741.909,741.909,0.0,0.0,0.0,0.0,0.0,0.0,2.02,1005.465,0.0,-19.413,0.0,-19.413,500.0,-500.0,0.0,0.0,0.0,1072.648,-47.77,-0.258,-756.055,1.312,127.696,
03/31/2011,359.011,45.233,82.277,116.058,23.356,-26.272,36.753,4.12,8.755,92.087,-21.712,0.686,113.113,0.0,-1596.366,-19.757,0.0,-19.757,-2268.445,1984.765,47.006,1937.759,0.0,-4253.21,-3285.876,-967.334,0.0,627.94,627.94,0.0,0.0,0.0,0.0,0.0,0.0,63.896,727.337,0.0,-21.762,0.0,-21.762,500.0,-500.0,0.0,0.0,0.0,731.212,17.887,0.0,-510.018,-0.064,69.908,
06/30/2011,-199.718,47.118,82.593,103.136,6.83,-28.165,35.375,2.902,-3.282,-439.395,13.325,0.203,-452.923,0.0,377.802,-23.799,0.0,-23.799,-189.266,2561.175,69.843,2491.332,0.0,-2750.441,-1224.239,-1526.202,0.0,512.598,512.598,0.0,0.0,0.0,0.0,0.0,0.0,78.269,-672.701,0.0,-680.886,0.0,-682.318,927.388,-925.956,0.0,0.0,0.0,26.395,-18.21,0.0,-494.617,-0.255,143.002,
09/30/2011,417.587,70.696,85.738,98.384,-70.285,-21.145,-48.543,3.173,-3.77,233.054,30.644,1.491,200.919,0.0,817.999,-28.353,0.0,-28.353,290.119,2754.706,161.495,2593.211,0.0,-2464.587,,,,545.25,545.25,0.0,0.0,0.0,0.0,0.0,0.0,10.983,-926.4,0.0,-139.48,0.0,-139.423,499.943,-500.0,0.0,0.0,0.0,-759.212,-27.708,0.0,309.186,1.463,73.392,
12/31/2011,519.075,-6.346,90.083,123.036,-39.446,-29.788,-15.69,4.261,1.771,351.748,-5.383,-8.593,365.724,0.0,-1229.609,-17.501,0.0,-17.501,-1786.047,3037.534,130.33,2907.204,0.0,-4823.581,-1292.527,-3531.054,0.0,516.05,516.05,0.0,0.0,0.0,0.0,0.0,0.0,57.889,1131.476,0.0,-59.247,0.0,-29.247,720.0,-750.0,0.0,0.0,0.0,1221.06,-30.337,0.0,420.942,-7.75,149.474,
03/31/2012,-189.102,62.591,92.738,71.947,-91.776,-31.373,-66.569,4.873,1.293,-324.602,-4.372,-2.277,-317.953,0.0,-3007.937,-22.887,0.0,-22.887,-3419.373,2238.245,162.227,2076.018,0.0,-5657.618,-1729.615,-3928.003,0.0,445.434,445.434,0.0,0.0,0.0,0.0,0.0,0.0,-11.111,3115.638,0.0,6.754,0.0,6.754,820.0,-820.0,0.0,0.0,0.0,3121.381,-12.497,0.0,-81.401,3.608,61.888,
06/30/2012,199.815,39.51,100.082,67.261,122.039,-19.416,142.074,4.006,-4.625,-129.077,-1.245,-7.027,-120.805,0.0,1135.895,-22.125,0.0,-22.125,665.991,3799.405,221.44,3577.965,0.0,-3133.414,-1023.56,-2109.854,0.0,460.464,460.464,0.0,0.0,0.0,0.0,0.0,0.0,31.565,-1975.694,0.0,-304.597,0.0,-304.597,820.0,-820.0,0.0,0.0,0.0,-1670.31,-0.787,0.0,-639.984,0.79,139.573,
09/30/2012,347.769,-28.625,107.788,141.019,87.212,-76.6,103.561,8.218,52.033,40.375,-47.305,6.455,81.225,0.0,471.745,-20.811,0.0,-20.811,64.074,4049.663,397.747,3651.916,0.0,-3985.589,-1661.754,-2323.835,0.0,429.725,429.725,0.0,0.0,0.0,0.0,0.0,0.0,-1.243,627.044,0.0,-528.539,0.0,-108.539,820.0,-1240.0,0.0,0.0,0.0,1215.655,-60.072,0.0,1446.558,1.796,57.287,
12/31/2012,-517.241,-186.059,108.953,74.41,-284.487,-56.07,-316.142,3.667,84.058,-230.058,6.1,14.007,-250.165,0.0,2064.717,-14.017,0.0,-14.017,1579.69,3666.465,526.798,3139.667,0.0,-2086.775,-399.322,-1687.453,0.0,430.224,430.224,0.0,0.0,0.0,0.0,0.0,0.0,68.82,-1610.994,0.0,-956.792,0.0,-154.456,1775.0,-2577.336,0.0,0.0,0.0,-735.274,81.072,0.0,-63.518,0.176,333.257,
03/31/2013,459.0,35.0,114.0,43.0,8.0,-15.0,18.0,9.0,-4.0,259.0,1.0,2.0,256.0,0.0,801.0,-15.0,0.0,-15.0,370.0,3276.0,594.0,2682.0,0.0,-2906.0,-929.0,-1977.0,0.0,414.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,-2514.0,0.0,5.0,0.0,5.0,170.0,-170.0,0.0,0.0,0.0,-2515.0,-4.0,0.0,-1254.0,1.0,39.0,
06/30/2013,-189.89,-54.403,101.095,46.149,136.783,-20.481,8.762,6.005,142.497,-419.514,-0.715,1.22,-420.019,0.0,-439.955,-7.917,0.0,-7.917,-859.02,2158.484,541.99,1616.494,0.0,-3017.504,-602.681,-2414.823,0.0,426.272,426.272,0.0,0.0,0.0,0.0,0.0,0.0,0.71,167.375,0.0,489.066,0.0,139.066,670.0,-320.0,0.0,0.0,0.0,-329.222,7.531,0.0,-462.47,0.846,99.003,
09/30/2013,618.923,47.428,96.717,37.399,27.438,-11.627,33.27,5.088,0.707,409.941,0.0,2.134,407.807,0.0,297.236,-8.278,0.0,-8.278,-206.894,1334.859,443.188,891.671,0.0,-1541.753,-500.809,-1040.944,0.0,475.082,475.082,0.0,0.0,0.0,0.0,0.0,0.0,37.326,-165.23,0.0,-498.822,0.0,-148.822,170.0,-520.0,0.0,0.0,0.0,321.27,12.322,0.0,750.929,1.148,42.266,
12/31/2013,228.583,57.863,83.689,17.273,33.74,-11.637,46.941,-0.076,-1.488,36.018,0.0,9.589,26.429,0.0,-372.182,-15.326,0.0,-15.326,-782.438,1321.151,248.661,1072.49,0.0,-2103.589,-494.273,-1609.316,0.0,408.161,408.161,0.0,0.0,0.0,0.0,0.0,0.0,17.421,185.43,0.0,93.177,0.0,93.177,1170.0,-1170.0,0.0,0.0,0.0,101.052,-8.799,0.0,41.831,-1.312,96.22,
03/31/2014,-143.0,97.0,79.0,4.0,26.0,-15.0,36.0,8.0,-3.0,-349.0,,4.0,-353.0,0.0,337.0,-7.0,0.0,-7.0,-73.0,1508.0,227.0,1281.0,0.0,-1581.0,-1302.0,-279.0,0.0,341.0,341.0,0.0,0.0,67.0,67.0,0.0,0.0,9.0,-447.0,0.0,-198.0,0.0,-198.0,220.0,-220.0,0.0,0.0,0.0,-222.0,-27.0,0.0,-253.0,0.0,53.0,
06/30/2014,443.0,69.0,80.0,12.0,48.0,-7.0,50.0,5.0,0.0,234.0,,,234.0,0.0,1063.0,-23.0,0.0,-23.0,-27.0,712.0,250.0,462.0,0.0,-739.0,-367.0,-372.0,0.0,1103.0,1103.0,0.0,0.0,9.0,9.0,0.0,0.0,1.0,-1284.0,0.0,-603.0,0.0,-603.0,170.0,-170.0,0.0,0.0,0.0,-665.0,-16.0,0.0,222.0,-2.0,91.0,
09/30/2014,68.0,86.0,86.0,10.0,37.0,-8.0,42.0,5.0,-2.0,-151.0,,,-151.0,0.0,24.0,-32.0,0.0,-32.0,-235.0,1228.0,352.0,849.0,27.0,-1463.0,-768.0,-695.0,0.0,331.0,331.0,0.0,0.0,-9.0,-9.0,0.0,0.0,-31.0,-90.0,0.0,175.0,0.0,175.0,170.0,-170.0,0.0,0.0,0.0,-157.0,-108.0,0.0,2.0,0.0,35.0,
12/31/2014,701.0,41.0,331.0,36.0,399.0,-36.0,155.0,24.0,256.0,-106.0,0.0,11.0,-117.0,0.0,1713.0,-87.0,0.0,-87.0,507.0,5280.0,1144.0,3323.0,813.0,-4773.0,-3209.0,-1564.0,0.0,1273.0,1273.0,0.0,0.0,67.0,67.0,0.0,0.0,-47.0,-2469.0,0.0,-1271.0,0.0,-871.0,1270.0,-1670.0,0.0,0.0,0.0,-1081.0,-117.0,0.0,-55.0,0.0,318.0,
