Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/26/2014,866.3,866.3,-427.6,427.6,438.7,0.0,-311.3,262.5,42.4,6.4,127.4,-44.6,48.7,48.8,-0.1,,-4.1,82.8,9.3,92.1,-0.6,-0.6,0.0,92.7,0.0,92.7,0.0,-1.0,91.7,94.379092,3.279092,114.8,0.8,0.79,0.822118,116.3,0.79,0.78,0.808195,
03/27/2015,909.9,909.9,-421.4,421.4,488.5,0.0,-393.3,343.5,47.0,2.8,95.2,-52.9,57.0,57.4,-0.4,,-4.1,42.3,34.2,76.5,-22.3,-22.3,0.0,98.8,0.0,98.8,0.0,-0.7,98.1,108.744452,32.944452,115.6,0.85,0.66,0.940696,117.2,0.84,0.65,0.931096,
06/26/2015,965.1,965.1,-431.6,431.6,533.5,0.0,-399.9,332.7,45.0,22.2,133.6,-72.8,72.3,72.5,-0.2,,0.5,60.8,-3.3,57.5,-0.5,-0.5,0.0,58.0,0.0,58.0,0.0,-0.4,57.6,105.28882,48.18882,116.3,0.5,0.49,0.905321,117.8,0.49,0.48,0.889073,
09/25/2015,778.8,778.8,-353.0,353.0,425.8,0.0,-332.8,267.3,61.8,3.7,93.0,-76.5,76.6,76.9,-0.3,,-0.1,16.5,56.6,73.1,-2.1,-2.1,0.0,75.2,0.0,75.2,0.0,-0.4,74.8,98.334367,25.634367,116.5,0.64,0.62,0.844072,117.8,0.63,0.62,0.837609,
03/25/2016,815.8,815.8,-390.7,390.7,425.1,0.0,-292.7,209.3,58.1,25.3,132.4,-97.7,97.0,97.2,-0.2,,0.7,34.7,63.8,98.5,-19.8,-19.8,0.0,118.3,0.0,118.3,0.0,0.0,118.3,108.201723,9.701723,111.1,1.06,0.89,0.973913,112.0,1.06,0.88,0.966623,
06/24/2016,866.6,866.6,-377.8,377.8,488.8,0.0,-313.7,224.9,74.8,14.0,175.1,-96.5,95.2,95.6,-0.4,,1.3,78.6,98.1,176.7,-22.6,-22.6,0.0,199.3,0.0,199.3,0.0,0.0,199.3,178.534532,1.834532,108.6,1.84,1.63,1.643964,109.4,1.82,1.62,1.636769,
09/30/2016,887.2,887.2,-397.0,397.0,490.2,0.0,-342.5,267.8,67.9,6.8,147.7,-94.1,93.5,94.0,-0.5,,0.6,53.6,56.4,110.0,-5.0,-5.0,0.0,115.0,0.0,115.0,0.0,0.0,115.0,126.444681,16.444681,107.6,1.07,1.02,1.175136,108.6,1.06,1.01,1.161424,
12/30/2016,829.9,829.9,-384.1,384.1,445.8,0.0,-652.6,368.3,66.2,218.1,-206.8,-91.7,90.8,91.3,-0.5,,0.9,-298.5,121.7,-176.8,-23.6,-23.6,0.0,-153.2,0.0,-153.2,0.0,0.0,-153.2,83.092951,259.892951,105.7,-1.45,-1.67,0.786121,105.7,-1.45,-1.67,0.786121,
03/31/2017,560.0,560.0,-259.9,259.9,300.1,0.0,-213.8,217.6,45.0,-48.8,86.3,-173.2,93.3,94.2,-0.9,,79.9,-86.9,42.0,-44.9,-444.1,-444.1,0.0,399.2,0.0,399.2,0.0,0.0,399.2,-68.44678,-23.54678,103.3,3.86,-0.43,-0.662602,103.6,3.85,-0.43,-0.662602,
06/30/2017,600.1,600.1,-280.4,280.4,319.7,0.0,-269.6,214.6,52.3,2.7,50.1,-85.3,91.6,92.2,-0.6,,-6.3,-35.2,53.6,18.4,-44.4,-44.4,0.0,62.8,0.0,62.8,0.0,0.0,62.8,24.286435,5.886435,98.5,0.64,0.19,0.246563,98.7,0.64,0.19,0.246563,
09/29/2017,600.6,600.6,-268.0,268.0,332.6,0.0,-249.0,186.3,46.9,15.8,83.6,-88.3,91.3,92.6,-1.3,,-3.0,-4.7,57.8,53.1,-10.6,-10.6,0.0,63.7,0.0,63.7,0.0,0.0,63.7,62.545,9.445,96.7,0.66,0.55,0.646794,97.0,0.66,0.55,0.646794,
12/29/2017,792.3,792.3,-371.3,371.3,421.0,0.0,-323.5,174.6,86.4,62.5,97.5,-88.9,88.3,90.1,-1.8,,0.6,8.6,1598.8,1607.4,-1.3,-1.3,0.0,1608.7,0.0,1608.7,0.0,0.0,1608.7,463.08,-1144.32,92.2,17.45,17.43,5.02256,92.4,17.41,17.4,5.015584,
03/30/2018,755.3,755.3,-407.8,407.8,347.5,0.0,-321.4,211.2,82.0,28.2,26.1,-83.6,88.2,91.4,-3.2,,-4.6,-57.5,36.6,-20.9,-2.9,-2.9,0.0,-18.0,0.0,-18.0,0.0,0.0,-18.0,8.642108,29.542108,86.1,-0.21,-0.24,0.100373,86.1,-0.21,-0.24,0.100373,
06/29/2018,825.5,825.5,-431.5,431.5,394.0,0.0,-341.3,189.9,92.6,58.8,52.7,-93.9,93.7,95.1,-1.4,,0.2,-41.2,44.4,3.2,-12.4,-12.4,0.0,15.6,0.0,15.6,0.0,0.0,15.6,47.191574,43.991574,83.2,0.19,0.04,0.567206,83.5,0.19,0.04,0.566845,
09/28/2018,799.9,799.9,-433.5,433.5,366.4,0.0,-296.9,193.4,86.1,17.4,69.5,-78.2,91.6,93.6,-2.0,,-13.4,-8.7,122.9,114.2,0.4,0.4,0.0,113.8,0.0,113.8,0.0,0.0,113.8,78.410246,-35.789754,83.2,1.37,1.37,0.942431,85.0,1.34,1.34,0.918944,
12/28/2018,834.9,834.9,-471.6,471.6,363.3,0.0,-4232.5,239.6,100.4,3892.5,-3869.2,-75.4,88.5,90.1,-1.6,,-13.1,-3944.6,226.2,-3718.4,0.0,0.0,0.0,-3718.4,0.0,-3718.4,0.0,0.0,-3718.4,-60.052261,3658.347739,83.3,-44.64,-44.64,-0.720916,83.3,-44.64,-44.64,-0.72226,
03/29/2019,790.6,790.6,-455.5,455.5,335.1,0.0,-319.7,230.2,85.3,4.2,15.4,-64.9,81.2,82.7,-1.5,,-16.3,-49.5,204.7,155.2,0.3,0.3,0.0,154.9,0.0,154.9,0.0,0.0,154.9,124.482732,-30.717268,83.5,1.86,1.86,1.490811,84.6,1.83,1.83,1.466912,
06/28/2019,823.3,823.3,-434.4,434.4,388.9,0.0,-418.8,225.9,79.6,113.3,-29.9,5.1,69.3,71.5,-2.2,,-74.4,-24.8,24.3,-0.5,-7.3,-7.3,0.0,6.8,0.0,6.8,0.0,0.0,6.8,51.013047,51.513047,83.8,0.08,-0.01,0.608748,83.8,0.08,-0.01,0.604714,
09/27/2019,743.7,743.7,-419.4,419.4,324.3,0.0,-316.0,205.7,103.1,7.2,8.3,-36.8,74.7,77.6,-2.9,,-37.9,-28.5,27.6,-0.9,0.2,0.2,0.0,-1.1,0.0,-1.1,0.0,0.0,-1.1,9.488413,10.388413,84.0,-0.01,-0.01,0.112957,84.0,-0.01,-0.01,0.112957,
12/27/2019,804.9,804.9,-431.8,431.8,373.1,0.0,-2189.1,169.2,81.4,1938.5,-1816.0,327.3,74.3,77.2,-2.9,0.0,-401.6,-1488.7,327.7,-1161.0,-3.9,-3.9,0.0,-1157.1,0.0,-1157.1,0.0,0.0,-1157.1,38.336498,1199.336498,84.1,-13.76,-13.8,0.455844,84.1,-13.76,-13.8,0.455844,
03/27/2020,665.8,665.8,-382.0,382.0,283.8,0.0,-290.1,231.1,77.4,-18.4,-6.3,-69.3,71.0,74.5,-3.5,,-1.7,-75.6,18.9,-56.7,-6.5,-6.5,0.0,-50.2,0.0,-50.2,0.0,0.0,-50.2,-39.4903,17.2097,84.2,-0.6,-0.67,-0.469006,84.2,-0.6,-0.67,-0.469006,
06/26/2020,166.5,166.5,-386.7,386.7,-220.2,0.0,-505.3,231.3,82.9,191.1,-725.5,-63.8,63.2,64.2,-1.0,,0.6,-789.3,-161.3,-950.6,-17.5,-17.5,0.0,-933.1,0.0,-933.1,0.0,0.0,-933.1,135.161812,1085.761812,84.5,-11.04,-11.25,1.599548,84.5,-11.04,-11.25,1.599252,
09/30/2020,630.455,,,,447.5347863,,,,,,198.833,,,,,,,124.625,,-8.8,,,,,,-8.8,,,-8.8,115.933,,,-0.34,-0.34,1.36,,-0.34,-0.34,1.36,
12/31/2020,645.6,,,,457.362408,,,,,,210.833,,,,,,,135.0,,-6.1,,,,,,-6.1,,,-6.1,124.144,,,-0.31,-0.31,1.457,,-0.31,-0.31,1.457,
