Date,Revenue,Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,Impairment of Assets,Income from Uncon JVs,Disposal of Con Assets,Disposal of Assets from Disc Ops,Net Income to Partners,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Straight-Line Rent,Stock-Based Compensation,Recurring Capital Expenditure,Accounting Adjustments,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
03/31/1997,16.569,5.32,,0.584,10.616,0.049,-2.515,0.0,1.18,1.185,0.15,,0.0,14.054,-4.228,4.228,0.0,0.0,9.826,0.0,,0.0,,,9.826,,9.826,0.0,,9.826,9.826,,19.285999,0.51,0.51,0.51,19.450001,0.51,0.51,0.51,,,,,,,,11.011,,11.011,,,,,11.011,0.566118,0.566118,0.52,91.853606,91.853606,88.139134,
06/30/1997,18.448,5.818,,0.717,11.796,0.117,-2.607,0.0,1.181,1.276,0.15,,0.0,15.841,-3.913,3.913,0.0,0.0,11.928,0.0,,0.0,,,11.928,,11.928,0.0,,11.928,11.928,,21.844999,0.55,0.54,0.54,22.101,0.54,0.54,0.54,,,,,,,,12.727,,12.727,,,,,12.727,0.575856,0.575856,0.525,91.168579,91.168579,90.296221,
09/30/1997,18.559,6.051,,0.779,11.694,0.035,-2.743,0.0,1.245,1.348,0.15,,0.0,15.816,-4.043,4.043,0.0,0.0,11.773,0.0,,0.0,,,11.773,,11.773,0.0,,11.773,11.773,,21.974001,0.54,0.54,0.54,22.289,0.53,0.53,0.53,,,,,,,,13.121,,13.121,,,,,13.121,0.588676,0.588676,0.53,90.032543,90.032543,89.170033,
12/31/1997,19.732,6.227,,1.485,11.893,0.127,-2.88,0.0,1.252,1.478,0.15,,0.0,16.852,-3.901,3.901,0.0,0.0,12.951,0.0,,0.0,,,12.951,,12.951,0.0,,12.951,12.951,,23.233,0.56,0.56,0.56,23.968,0.55,0.55,0.55,,,,,,,,14.377,,14.377,,,,,14.377,0.599841,0.599841,0.535,89.190234,89.190234,89.775336,
03/31/1998,21.226,7.858,,1.226,11.922,0.22,-3.401,0.0,1.381,1.87,0.15,,0.0,17.825,-4.416,4.416,0.0,0.0,13.409,0.0,,0.0,,,13.409,,13.409,0.0,,13.409,13.409,,24.259001,0.55,0.55,0.55,24.642,0.54,0.54,0.54,,,,,,,,15.279,,15.279,,,,,15.279,0.620039,0.620039,0.54,87.091302,87.091302,86.052752,
06/30/1998,23.159,9.839,,1.286,11.442,0.592,-3.778,0.0,1.336,2.292,0.15,,0.0,19.381,-4.642,4.642,0.0,0.0,14.739,0.0,,0.0,,,14.739,,14.739,-0.832,,13.907,13.907,,25.271999,0.55,0.55,0.55,25.612,0.54,0.54,0.54,,,,,,,,16.198999,,16.198999,,,,,16.198999,0.632477,0.632477,0.545,86.169152,86.169152,85.418858,
09/30/1998,25.837,12.544,,1.846,11.294,0.153,-4.754,0.0,1.64,2.964,0.15,,0.0,21.082999,-5.054,5.054,0.0,0.0,16.028999,0.0,,0.0,,,16.028999,,16.028999,-1.664,,14.364999,14.364999,,25.356001,0.57,0.57,0.57,25.636999,0.56,0.56,0.56,,,,,,,,16.908001,,16.908001,,,,,16.908001,0.659516,0.659516,0.55,83.394539,83.394539,82.854265,
12/31/1998,26.721001,12.685,,1.511,12.857,-0.332,-5.035,0.0,1.757,3.128,0.15,,0.0,21.686,-3.554,4.603,0.0,-1.049,18.132,0.0,,0.0,,,18.132,,18.132,-1.664,,16.468,16.468,,27.572001,0.6,0.6,0.6,27.93,0.59,0.59,0.59,,,,,,,,18.379999,,18.379999,,,,,18.379999,0.658074,0.658074,0.555,84.337056,84.337056,84.668122,
03/31/1999,28.164,14.24,,2.129,,11.795,-5.545,,1.674,3.555,0.15,,0.166,22.619,-3.641,4.269,,-0.628,18.978,,,,,,,,18.978,-2.759,,16.219,16.219,,28.077,0.58,0.58,0.58,28.393,0.57,0.57,0.57,,,,,,,,66.766,,66.766,,,,,66.766,2.351495,2.351495,0.56,23.814636,23.814636,23.549591,
06/30/1999,32.469,18.18,,2.147,,12.142,-6.725,,1.872,4.451,0.15,,0.252,25.744,-6.605,6.68,,-0.075,19.139,,,,,,,,19.139,-3.352,,15.787,15.787,,28.145,0.56,0.56,0.56,28.44,0.56,0.56,0.56,,,,,,,,-47.803,,-47.803,,,,,-47.803,-1.680837,-1.680837,0.565,,,,
09/30/1999,34.16,19.554,,,,14.606,-6.881,,1.881,4.608,0.15,,0.242,27.279,-7.733,7.733,,,19.546,,,,,,,,19.546,-3.351,,16.195,16.195,,28.196,0.57,0.57,0.57,28.418,0.57,0.57,0.57,,,,,,,,19.688,,19.688,,,,,19.688,0.6928,0.6928,0.57,82.274787,82.274787,81.63206,
12/31/1999,33.811001,20.726,0.0,1.987,11.72,0.0,-8.02,0.0,1.932,5.271,0.15,,0.667,25.791,-7.816,7.816,0.0,0.0,17.975,0.0,,0.0,,,17.975,,17.975,-3.352,,14.623,14.623,,28.216,0.52,0.52,0.52,28.457001,0.51,0.51,0.51,,,,,,,,19.893999,,19.893999,,,,,19.893999,0.69909,0.69909,0.575,82.249803,82.249803,80.225197,
03/31/2000,34.827,21.63,,,,13.197,-7.73,,1.9,5.263,0.25,,0.317,27.097,-8.978,9.101,,-0.123,18.119,,,,,,,,18.119,-3.362,,14.757,14.757,,28.315,0.52,0.52,0.52,28.546,0.52,0.52,0.52,,,,,,,,78.441,,78.441,,,,,78.441,2.747881,2.747881,0.58,21.107176,21.107176,20.936373,
06/30/2000,33.927,22.087,,,,11.84,-7.777,,1.93,5.311,0.25,,0.286,26.15,-8.187,8.581,,-0.394,17.963,,,,,,,,17.963,-3.376,,14.587,14.587,,28.384,0.51,0.51,0.51,28.613,0.51,0.51,0.51,,,,,,,,-58.544,,-58.544,,,,,-58.544,-2.046063,-2.046063,0.585,,,,
09/30/2000,33.351,22.266,,,,11.085,-8.334,,1.823,5.985,0.25,,0.276,25.017,-7.856,8.411,,-0.555,17.161,,,,,,,,17.161,-3.376,,13.785,13.785,,28.507,0.48,0.48,0.48,28.65,0.48,0.48,0.48,,,,,,,,19.447,,19.447,,,,,19.447,0.678778,0.678778,0.585,86.184244,86.184244,85.754075,
12/31/2000,33.775002,22.329,0.0,2.57,9.656,0.0,-11.314,0.0,1.752,6.147,0.25,,3.165,21.851,-7.038,7.65,0.0,-0.612,14.813,0.0,,0.0,,,14.813,,14.81,-3.376,,11.434,11.434,,28.537001,0.4,0.4,0.4,28.761999,0.4,0.4,0.4,,,,,,,,18.969,,18.969,,,,,18.969,0.659516,0.659516,0.585,88.701402,88.701402,87.780058,
03/31/2001,32.577,22.608,,,,9.969,-9.262,,1.851,6.786,0.25,,0.375,23.315,-8.112,8.112,,,15.203,,,,,,,,15.203,-3.376,,11.827,11.827,,28.617,0.41,0.41,0.41,28.871,0.41,0.41,0.41,,,,,,,,18.479,,18.479,,,,,18.479,0.640054,0.640054,0.585,91.398533,91.398533,107.770983,
06/30/2001,32.698,23.819,,,,8.879,-9.655,,2.034,6.982,0.25,,0.389,23.043,-7.945,7.968,,-0.023,15.098,,,-0.025,,,,,15.123,-3.376,,11.747,11.747,,28.985,0.41,0.41,0.41,29.402,0.4,0.4,0.4,,,,,,,,-18.479,,-18.479,,,,,-18.479,-0.628495,-0.628495,0.585,,,,
09/30/2001,33.413,24.436,,,,8.977,-9.736,,2.07,6.969,0.25,,0.447,23.677,-7.465,7.353,,0.112,16.212,,,-0.755,,,,,16.967,-3.376,,13.591,13.591,,32.205,0.42,0.4,0.4,32.762,0.41,0.39,0.39,,,,,,,,57.285,,57.285,,,,,57.285,1.74852,1.74852,0.585,33.456874,33.456874,32.88806,
12/31/2001,33.630001,25.323,0.0,0.0,7.32,0.987,-12.906,0.0,1.676,9.205,0.25,,1.775,22.162,-9.119,7.532,0.213,1.374,13.043,0.0,,0.734,,,12.309,,13.258,-3.377,,9.881,9.881,,32.355999,0.31,0.33,0.33,33.070999,0.3,0.32,0.32,,,,,,,,20.091,,20.091,,,,,20.091,0.607511,0.607511,0.585,96.294531,96.294531,93.992341,
03/31/2002,36.083,28.739,,0.557,,6.787,-11.381,,2.261,8.293,0.25,,0.577,24.702,-9.479,9.479,,,15.223,,,-0.665,,,,,15.888,-3.377,,12.511,12.511,,32.946,0.38,0.36,0.36,33.693,0.37,0.35,0.35,,,,,,,,,,,,,,,,,,0.585,,,,
06/30/2002,39.384,31.528,,0.749,,7.107,-12.376,,2.285,9.261,0.25,,0.58,27.008,-10.834,10.026,,0.808,16.174,,,-0.657,,,,,16.831,-3.341,,13.49,13.49,,35.446,0.38,0.36,0.36,36.223,0.37,0.35,0.35,,,,,,,,,,,,,,,,,,0.585,,,,
09/30/2002,40.148,32.182,,0.839,,7.127,-12.567,,2.496,9.222,0.25,,0.599,27.581,-9.117,9.556,,-0.439,18.464,,,-1.299,,,,,19.763,-2.878,,16.885,16.885,,38.628,0.44,0.4,0.4,39.324,0.43,0.39,0.39,,,,,,,,,,,,,,,,,,0.585,,,,
12/31/2002,43.380001,37.219002,0.0,0.0,5.503,0.658,-14.555,0.0,2.624,11.063,0.25,,0.618,28.824999,-12.954,11.206,0.0,1.748,15.870999,0.0,,0.696,,,15.174999,,15.175,-2.872,,12.303,12.303,,39.403,0.31,0.33,0.37,39.896,0.31,0.33,0.37,,,,,,,,27.479,,27.479,,,,,27.479,0.688766,0.688766,0.585,84.934532,84.934532,84.708323,
03/31/2003,44.137,38.605,,0.592,,4.94,-14.416,,2.611,10.92,0.25,,0.635,29.721,-11.349,11.383,,-0.034,18.372,,,-0.925,,,,,19.297,-2.846,,16.451,16.451,,39.971,0.41,0.39,0.39,40.473,0.41,0.39,0.39,,,,,,,,,,,,,,,,,,0.585,,,,
06/30/2003,44.822,38.989,,0.643,,5.19,-14.561,,2.847,10.784,0.25,,0.68,30.261,-12.292,12.292,,,17.969,,,-1.093,,,,,19.062,-2.318,,16.744,16.744,,40.546,0.41,0.38,0.38,41.136,0.41,0.38,0.38,,,,,,,,,,,,,,,,,,0.585,,,,
09/30/2003,49.086,42.417,,0.872,,5.797,-16.561,,2.995,12.599,0.25,,0.717,32.525,-8.523,12.801,,-4.278,24.002,,,-1.299,,,,,25.301,-4.7,,20.601,20.601,,44.181,0.47,0.34,0.34,44.833,0.46,0.34,0.34,,,,,,,,,,,,,,,,,,0.585,,,,
12/31/2003,61.240002,54.748001,0.0,0.0,,1.651,-5.152,0.0,3.032,16.094,2.12,,0.889,39.105,-19.855,17.063,0.0,2.792,19.25,0.0,,0.0,,0.0,19.079,,19.079,-2.144,,16.935,16.935,2.792,49.439999,0.34,0.34,0.4,50.118999,0.34,0.34,0.4,,,,,,,,35.998001,,35.998001,,,,,35.998001,0.718251,0.718251,0.585,81.447896,81.447896,80.343353,
03/31/2004,60.961,54.535,,0.713,,5.713,-21.484,,3.159,17.134,0.3,,0.891,39.477,-18.552,18.552,,,20.925,,,,,,,,20.925,-2.27,,18.655,18.655,,50.58,0.37,0.37,0.37,51.358,0.36,0.36,0.36,,,,,,,,,,,,,,,,,,0.585,,,,
06/30/2004,59.334,52.846,,0.565,,5.923,-22.184,,3.56,17.452,0.3,,0.872,37.15,-16.087,17.216,,-1.129,21.063,,,-0.366,,,,,21.429,-2.222,,19.207,19.207,,51.232,0.37,0.34,0.34,51.828,0.37,0.34,0.34,,,,,,,,,,,,,,,,,,0.6,,,,
09/30/2004,63.629,57.476,,0.593,,5.56,-23.612,,3.618,18.889,0.3,,0.805,40.017,-18.21,17.896,,0.314,21.807,,,,,,,,21.807,-2.803,,19.004,19.004,,51.538,0.37,0.37,0.37,52.008,0.37,0.37,0.37,,,,,,,,,,,,,,,,,,0.6,,,,
12/31/2004,55.131,48.898,0.0,2.432,3.801,0.0,-23.363,0.0,6.248,13.422,0.3,,3.393,31.768,-12.335,12.335,0.0,0.0,19.433,0.0,,-1.777,,,21.21,,21.21,-5.442,,15.768,15.768,,52.326,0.3,0.27,0.27,52.784,0.29,0.26,0.26,,,,,,,,37.3,,37.3,,,,,37.3,0.706654,0.706654,0.6,84.907239,84.907239,85.08311,
03/31/2005,65.198,58.793,,,,6.405,-23.76,,4.017,18.58,0.3,,0.863,41.438,-18.697,18.697,,,22.741,,,-0.498,,,,,23.239,-5.436,,17.803,17.803,,52.963,0.34,0.33,0.33,53.454,0.33,0.32,0.32,,,,,,,,38.309,,38.309,,,,,38.309,0.716672,0.716672,0.6,83.720275,83.720275,83.309405,
06/30/2005,65.393,59.577,,,,5.816,-24.619,,4.337,19.309,0.3,,0.673,40.774,-37.521,19.073,,18.448,3.253,,,-0.577,,,,,3.83,-5.436,,-1.606,-1.606,,53.429,-0.03,-0.04,0.31,53.429,-0.03,-0.04,0.31,,,,,,,,19.427,,19.427,,,,,19.427,0.363604,0.363604,0.62,170.515159,170.515159,170.757194,
09/30/2005,70.286,64.516,,,,5.77,-25.528,,4.64,19.915,0.3,,0.673,44.758,-20.477,20.477,,,24.281,,,-1.016,,,,,25.297,-5.389,,19.908,19.908,,54.038,0.37,0.35,0.35,54.359,0.37,0.35,0.35,,,,,,,,99.711,,99.711,,,,,99.711,1.834305,1.834305,0.62,33.800263,33.800263,33.59509,
12/31/2005,76.014,65.464,0.0,1.806,0.0,8.744,-24.523,0.0,3.941,19.78,0.3,,0.502,51.491,-23.415,20.379,0.0,3.036,28.076,0.0,,-3.845,,,31.921,,31.92,-5.333,,26.587,26.587,,55.992,0.47,0.43,0.48,56.368,0.47,0.43,0.48,,,,,,,,19.752,,19.752,,,,,19.752,0.350412,0.350412,0.62,176.934791,176.934791,174.790401,
03/31/2006,76.008,71.38,0.0,0.0,0.0,4.628,-28.762,0.0,5.976,21.825,0.25,,0.711,47.246,-23.523,23.523,0.0,0.0,23.723,0.0,19.645,-1.255,,,24.978,,24.978,-5.333,0.0,19.645,19.645,,58.178,0.34,0.32,0.32,58.535,0.34,0.31,0.31,,23.262,,,-1.553,,,41.354,,41.354,7.91,,0.0,0.711,49.975,0.706483,0.853763,0.62,87.758621,72.61971,87.834309,
06/30/2006,77.902,71.757,0.0,0.0,0.0,6.145,-28.543,0.0,4.798,22.788,0.25,,0.707,49.359,-22.325,22.325,0.0,0.0,27.034,,22.668,-0.967,,,,,28.001,-5.333,0.0,22.668,22.668,,61.548,0.37,0.35,0.35,61.868,0.37,0.35,0.35,,24.131,,,-0.929,,,45.87,,45.87,0.494,,0.0,0.707,47.071,0.741417,0.76083,0.64,86.321169,84.118714,85.874689,
09/30/2006,78.783,73.328,0.0,0.0,0.0,5.455,-28.989,0.0,5.01,22.947,0.25,,0.782,49.794,-23.29,23.29,0.0,0.0,26.504,0.0,21.48,-0.309,,,26.813,,26.813,-5.333,0.0,21.48,21.48,,62.524,0.34,0.34,0.34,62.866,0.34,0.34,0.34,,24.526,,,-0.108,,,45.859,,45.859,1.352,,0.0,0.707,47.918,0.729472,0.762224,0.64,87.734665,83.964773,87.257376,
12/31/2006,87.787,81.261,,,,6.526,-11.584,1.115,10.219,24.902,0.25,,1.056,50.245,-24.969,24.969,,0.0,25.276,,,2.305,,,,,22.958,-5.464,,17.494,17.494,,64.277,0.27,0.308026,0.308026,64.687,0.27,0.305633,0.305633,,,,,,,,44.459,,44.459,,,,,44.459,0.687294,0.687294,0.9809,142.719086,142.719086,141.814502,
03/31/2007,110.237,103.496,0.0,0.0,0.0,6.741,-50.899,7.168,9.782,32.682,0.0,,1.267,59.338,-31.33,31.33,0.0,0.0,28.008,-0.011,,-1.802,,,29.799,-0.032,29.673,-6.317,-0.00046,23.356,23.356,,73.224,0.32,0.29,0.29,73.791,0.32,0.29,0.29,,33.86,,,-0.977,,23.356,56.207,,56.207,-2.153,,-1.063,1.267,54.25754,0.761705,0.735287,0.2991,39.267152,40.678011,39.648087,
06/30/2007,112.743,105.023,0.0,0.0,0.0,7.72,-53.128,8.657,9.957,33.278,0.0,,1.236,59.615,-31.692,31.692,0.0,0.0,27.923,0.069,25.62,-4.106,,,32.098,-0.155,31.937,-6.317,-0.464,25.62,25.62,,79.06,0.32,0.27,0.27,79.546,0.32,0.27,0.27,,35.547,,,-1.033,,,59.979,,59.979,-1.046,,-0.762,1.236,58.943,0.754017,0.740993,0.66,87.531236,89.069711,86.996449,
09/30/2007,118.745,111.599,0.0,0.0,0.0,7.146,-57.99,10.333,8.649,37.504,0.0,,1.504,60.755,-33.221,33.221,0.0,0.0,27.534,0.023,24.529,-3.41,,,30.967,-0.07,30.846,-6.317,0.268,24.529,24.529,,80.71,0.3,0.26,0.26,81.163,0.3,0.26,0.26,,40.137,,,-0.766,,,63.83,,63.83,1.326,,-0.704,1.504,66.224,0.786442,0.815938,0.66,83.922262,80.888469,83.453862,
12/31/2007,125.286,111.036,0.0,0.0,0.0,14.251,-56.14,10.286,9.08,36.774,0.0,,0.0,69.14,-34.259,35.34,0.0,-1.081,34.881,-0.269,42.768,-14.16,,,48.772,-0.088,48.947,-6.179,1.79,42.768,42.768,,82.346,0.52,0.35,0.34,82.781,0.52,0.35,0.34,,40.081,,,-11.662,,,71.099,-1.081,70.018,2.313,,-1.763,1.699,74.057,0.845791,0.894581,0.66,78.03342,73.77755,177.113321,
03/31/2008,126.633,115.825,,0.0,0.0,10.808,-23.04,10.712,12.328,36.346,0.0,,,67.247,-33.776,35.102,,-1.326,33.471,-1.279,29.249,0.0,,0.0,35.458,-0.087,35.396,-6.147,2.79,29.249,29.249,-1.326,86.1,0.34,0.301777,0.3027,86.61,0.34,0.301777,0.3027,,39.574,,,-0.026,,,68.71,-1.326,67.384,-2.361,,-0.765,-0.263,66.785,0.778016,0.7711,0.66,84.831117,85.591974,83.233882,
06/30/2008,129.185,118.125,,0.0,0.0,11.06,-21.272,10.697,10.575,35.437,,0.0,,72.476,-33.335,33.335,,0.0,39.141,-0.044,155.41,0.0,,0.0,161.259,-0.087,161.194,-5.784,2.769,155.41,155.41,0.0,89.294,1.74,0.372343,0.372343,89.853,1.73,0.370424,0.362343,,39.63,,,-118.168,,,76.785,,76.785,2.889,,-1.162,-0.199,81.082,0.854562,0.902385,0.68,79.572885,75.355862,79.077841,
09/30/2008,139.349,126.384,,0.0,0.0,12.965,-21.981,11.192,10.789,39.011,,,0.0,78.357,-34.47,33.725,,0.745,43.887,0.153,53.589,0.0,,0.0,59.32,-0.087,59.319,-5.73,2.774,53.589,53.589,-0.768,96.04,0.56,0.398886,0.42,96.849,0.55,0.392229,0.41,,41.69,,,-12.619,,,82.573,-0.768,81.805,-0.656,,-1.555,-0.214,82.154,0.844665,0.848269,0.68,80.50525,80.163254,79.09026,
12/31/2008,131.239,115.488,0.0,0.0,0.0,15.751,-23.628,10.033,13.501,33.567,0.094,,23.393,16.926,-63.229,27.991,,35.238,24.173,-0.136,21.85,0.0,,0.0,27.388,-0.081,27.39,-5.54,2.899,21.85,21.85,0.0,103.329,0.21,0.21,0.21,103.84,0.21,0.21,0.21,,42.151,,,-33.12,,,30.8,31.567,62.367,7.921,,-2.865,-0.363,69.959,0.600607,0.673719,0.68,113.21885,100.93226,226.815844,
03/31/2009,138.846,127.409,0.0,0.0,0.0,11.437,-66.748,11.049,17.361,38.198,0.14,0.0,0.0,72.098,-25.001,26.679,,-1.678,47.097,-0.05,61.119,-19.598,-19.598,0.0,66.645,-0.087,66.643,-5.524,2.772,61.119,39.843,-1.678,108.214,0.56,0.38,0.368187,108.624,0.56,0.38,0.364552,,41.326,,,,-17.036,,85.322,2.371,87.693,2.859,,-2.425,-0.356,90.543,0.807308,0.833545,0.68,84.230577,81.579272,89.057922,
06/30/2009,139.039,127.644,0.0,0.0,0.0,11.395,-60.417,11.24,11.062,38.115,0.0,0.0,0.0,78.622,-26.107,26.107,0.0,0.0,52.515,-0.021,59.24,-12.265,-12.265,0.0,64.759,-0.087,64.756,-5.516,2.844,59.24,46.975,0.0,110.864,0.53,0.423717,0.423717,111.272,0.53,0.419775,0.419775,,40.731,,,,-10.677,,89.207,0.0,89.207,2.358,,-2.733,-0.368,91.308,0.801702,0.820584,0.68,84.819532,82.867832,84.508525,
09/30/2009,140.144,128.527,0.0,0.0,0.0,11.617,-61.703,12.153,10.363,39.187,0.0,0.0,0.0,78.441,-53.969,27.595,0.0,26.374,24.472,0.055,19.13,-0.158,-0.158,0.0,24.685,-0.088,24.72,-5.52,2.895,19.2,45.416,26.374,114.874,0.17,0.165764,0.395355,115.289,0.17,0.165764,0.394528,,41.085,,,,0.806,,60.933,28.247,89.18,3.748,,-3.637,-0.62,91.566,0.773534,0.79423,0.68,87.908186,85.6175,128.197069,
