Date,Level 1 Assets,Level 2 Assets,Level 3 Assets,Total FV Assets,Level 1 Liabilities,Level 2 Liabilities,Level 3 Liabilities,Total FV Liabilities,Level 3 Total Gains,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
12/31/2010,1085.185,12624.04,6.911,13716.136,,,58.467,58.467,4.081,17.270344,200.907231,0.109986,218.287561,5.902814,68.667885,0.037592,74.608291,
03/31/2011,1259.111,12575.161,11.434,13845.706,,,50.943,50.943,-7.269,21.289733,212.627655,0.193332,234.110721,6.700095,66.916084,0.060844,73.677023,
06/30/2011,1383.823,12671.159,3.845,14058.827,,,54.313,54.313,3.239,22.491832,205.949444,0.062494,228.50377,7.281778,66.676565,0.020233,73.978575,
09/30/2011,1447.213,12396.108,5.877,13849.198,,,77.74,77.74,23.391,23.756579,203.487058,0.096473,227.34011,7.724407,66.163432,0.031368,73.919207,
12/31/2011,1566.289,12518.41,20.467,14105.166,,,69.729,69.729,11.056,25.797929,206.187396,0.337107,232.322431,8.29007,66.257568,0.108328,74.655966,
03/31/2012,1531.368,12574.603,20.799,14126.77,,,63.546,63.546,-5.582,24.188414,198.619602,0.328526,223.136542,7.990274,65.61096,0.108524,73.709758,
06/30/2012,1406.809,12665.209,17.891,14089.909,,,79.851,79.851,16.259,21.921958,197.358832,0.278791,219.559582,7.442154,67.000163,0.094645,74.536962,
09/30/2012,1430.454,13034.361,14.794,14479.609,,,79.148,79.148,0.201,21.081438,192.09501,0.218028,213.394476,7.273197,66.273695,0.075221,73.622112,
12/31/2012,1241.392,13288.755,52.03,14582.177,,,79.467,79.467,10.689,18.436149,197.35383,0.772707,216.562686,6.27666,67.189895,0.263071,73.729627,
03/31/2013,1531.368,12574.603,20.799,14126.77,,,63.546,63.546,-5.582,22.464399,184.46311,0.305111,207.23262,7.733373,63.501454,0.105034,71.339861,
06/30/2013,1296.612,13016.498,20.987,14334.097,0.0,0.0,52.101,52.101,-13.683,19.578003,196.540708,0.31689,216.435601,6.629218,66.549752,0.107301,73.286271,
09/30/2013,1419.141,12841.77,6.244,14267.155,,,46.462,46.462,-5.71,20.842999,188.607753,0.091706,209.542457,7.085813,64.119339,0.031176,71.236329,
12/31/2013,1469.308,12787.02,6.127,14262.455,,,35.423,35.423,-10.97,20.806853,181.076841,0.086764,201.970459,7.417737,64.554709,0.030932,72.003378,
03/31/2014,1418.492,13148.527,4.409,14571.428,,,37.083,37.083,1.83,19.292179,178.826343,0.059965,198.178487,7.052825,65.375242,0.021922,72.449989,
06/30/2014,1436.649,13713.627,3.259,15153.535,0.0,0.0,33.309,33.309,-3.696,18.660746,178.127367,0.042331,196.830444,6.779318,64.712426,0.015379,71.507123,
09/30/2014,1360.661,13727.353,60.984,15148.998,0.0,0.0,31.455,31.455,-0.8,17.474396,176.294615,0.783192,194.552204,6.332422,63.886149,0.283815,70.502387,
