Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Adjustments,Enterprise Value,Total Capital,Total Debt/Total Capital,Total Debt/EV,EV/Sales,EV/EBITDA,EV/EBIT,EV/Cash Flow to Firm,EV/Free Cash Flow to Firm,Diluted Market Cap,Diluted Enterprise Value,EV per Share,Trailing 12 Month Values for Ratios,Source: Bloomberg
12/31/2008,18471.773997,-2284.705,,4.62,168.767,,16360.455997,2100.742,8.033685,0.010316,3.277598,7.940635,8.397126,,,18638.64372,16527.32572,12.659315,,
03/31/2009,21666.202334,-2467.101,0.0,7.967,18.407,,19225.475334,2247.736,0.818913,0.000957,3.871798,9.105235,9.642954,,,21772.4,19331.673,14.861315,,
06/30/2009,21690.556881,-2840.597,0.0,7.772,20.564,,18878.295881,2694.605,0.763155,0.001089,3.776405,8.351809,8.843983,25.679632,28.45338,21750.3,18938.039,14.561764,,
09/30/2009,26219.875101,-3142.419,0.0,7.713,21.69,,23106.859101,3246.926,0.668016,0.000939,4.598532,9.658419,10.227188,35.07864,38.68293,26279.5,23166.484,17.814927,,
12/31/2009,34944.724813,-3059.0,0.0,8.0,22.0,,31915.724813,3534.0,0.622524,0.000689,6.259213,13.298219,14.128254,21.952757,22.848572,33277.4,30248.4,24.593519,,
03/31/2010,33222.968606,-3288.0,0.0,8.0,21.0,,29963.968606,3853.0,0.54503,0.000701,5.706336,11.782921,12.4954,26.784992,27.985793,33274.0,30015.0,22.908392,,
06/30/2010,26106.320435,-3489.0,0.0,8.0,19.0,,22644.320435,4144.0,0.458494,0.000839,4.243688,8.380578,8.852354,20.781867,21.929015,26138.43,22676.43,17.307001,,
09/30/2010,29315.940864,-3652.0,0.0,9.0,1.0,,25673.940864,4852.0,0.02061,3.9e-05,4.754433,9.185668,9.684625,18.957845,19.790826,29344.0,25702.0,19.617186,,
12/31/2010,29335.687039,-4304.0,0.0,11.0,0.0,,25042.687039,5216.0,0.0,0.0,4.521157,8.635409,9.099814,14.460192,14.988114,29358.41,25065.41,19.131362,,
03/31/2011,32356.240084,-3975.0,0.0,11.0,0.0,,28392.240084,5202.0,0.0,0.0,4.953287,9.330345,9.831108,14.276855,14.782312,32975.32,29011.32,22.088149,,
06/30/2011,38309.200818,-3685.0,0.0,11.0,0.0,,34635.200818,5481.0,0.0,0.0,5.740007,10.739597,11.333508,15.932427,16.470357,38571.52,34897.52,27.244033,,
09/30/2011,40256.686511,-4470.0,0.0,10.0,0.0,,35796.686511,5982.0,0.0,0.0,5.572336,10.298241,10.873842,13.828585,14.241197,40279.32,35819.32,28.202215,,
12/31/2011,47833.694588,-4949.0,0.0,9.0,0.0,,42893.694588,5877.0,0.0,0.0,6.388694,14.755313,15.810429,15.878707,16.3446,47348.14,42408.14,33.81084,,
03/31/2012,53194.683684,-5141.0,0.0,8.0,0.0,,48061.683684,6379.0,0.0,0.0,6.894518,15.589258,16.705486,17.346992,17.856135,53408.58,48275.58,37.996016,,
06/30/2012,53719.68394,-4956.0,0.0,11.0,0.0,,48774.68394,6276.0,0.0,0.0,6.846531,15.342776,16.4446,16.96768,17.465914,54193.86,49248.86,39.051755,,
09/30/2012,56215.629931,-5639.0,0.0,12.0,0.0,,50588.629931,6924.0,0.0,0.0,7.002856,15.575317,16.706945,17.563357,18.155872,56435.0,50808.0,40.628833,,
12/31/2012,60547.270561,-5003.0,0.0,12.0,0.0,,55556.270561,6929.0,0.0,0.0,7.516746,13.332438,14.111321,18.756147,19.3844,61213.488,56222.488,45.078307,,
03/31/2013,65968.077122,-5020.0,0.0,13.0,0.0,,60961.077122,6756.0,0.0,0.0,8.086096,14.23659,15.07445,17.89611,18.459701,66558.99,61551.99,50.005804,,
06/30/2013,69468.484273,-5090.0,0.0,11.0,0.0,,64389.484273,7029.0,0.0,0.0,8.239217,14.179583,14.981267,18.351776,18.912362,69916.65,64837.65,53.249699,,
09/30/2013,80985.134277,-6007.0,0.0,11.0,0.0,,74989.134277,7668.0,0.0,0.0,9.240805,15.850589,16.731177,,,81339.102,75343.102,62.296853,,
12/31/2013,99769.667408,-6295.0,0.0,11.0,0.0,,93485.667408,7495.0,0.0,0.0,11.201254,19.635721,20.760752,,,100672.93,94388.93,78.283849,,
03/31/2014,87742.122125,-6562.0,0.0,11.0,1494.0,,82685.122125,8072.0,18.508424,0.018069,9.601152,16.704065,17.663987,,,88818.3,83761.3,70.39468,,
06/30/2014,85170.653815,-5714.0,0.0,48.0,1494.0,,80998.653815,7808.0,19.134221,0.018445,9.117363,15.804615,16.749101,,,85886.43,81714.43,69.871145,,
09/30/2014,85340.719242,-6319.0,0.0,47.0,1494.0,,80562.719242,8042.0,18.577468,0.018545,8.798899,15.154763,16.086805,20.615265,21.651315,85747.2,80969.2,69.781416,,
12/31/2014,99256.32,-6375.0,0.0,34.0,1494.0,,94409.32,8318.0,17.961048,0.015825,9.999928,17.396226,18.489879,27.435134,28.905091,99687.12,94840.12,81.952535,,
03/31/2015,98739.973246,-5796.0,0.0,33.0,1495.0,-1493.0,92978.973246,7829.0,19.09567,0.016079,9.788291,16.883779,17.977373,24.511648,25.739858,99521.28,93760.28,81.349561,,
06/30/2015,106008.049754,-5077.0,0.0,32.0,1495.0,-1541.0,100917.049754,7931.0,18.850082,0.014814,10.599417,18.73692,20.023224,25.957497,27.306019,106660.68,101569.68,88.990655,,
09/30/2015,101323.126762,-5109.0,0.0,31.0,1495.0,,97740.126762,7793.0,19.183883,0.015296,10.222793,17.617182,19.591126,25.871315,27.340399,102105.96,98522.96,86.933166,,
12/31/2015,108653.76,-6738.0,0.0,34.0,3268.0,-1436.0,103781.76,9330.0,35.026795,0.031489,10.735674,18.381467,20.437527,25.020609,26.135898,109432.64,104560.64,92.994409,,
03/31/2016,104139.0,-6208.0,0.0,32.0,3333.0,,101296.0,8844.0,37.686567,0.032904,10.249519,17.925323,19.959803,23.576964,24.625874,105084.0,102241.0,91.920145,,
06/30/2016,96689.88,-6447.0,0.0,32.0,3306.0,,93580.88,9175.0,36.032698,0.035328,9.186304,16.187663,17.98249,20.613679,21.673546,96954.06,93845.06,85.228488,,
09/30/2016,111132.84,-6979.0,0.0,30.0,3326.0,,107509.84,9575.0,34.736292,0.030937,10.203079,18.287096,19.52949,22.880799,23.940592,111845.23,108222.23,98.452234,,
12/31/2016,111613.25,-8335.0,0.0,28.0,5180.0,,108486.25,10864.0,47.680412,0.047748,10.067395,17.686053,18.831149,23.051297,24.154771,112542.5,109415.5,100.357308,,
03/31/2017,120792.78,-7660.0,0.0,27.0,5216.0,,118375.78,10854.0,48.056016,0.044063,10.699185,18.822671,19.999287,26.968784,28.542422,121692.54,119275.54,110.219534,,
06/30/2017,129587.15,-6959.0,0.0,96.0,5326.0,-1537.0,126513.15,11274.0,47.24144,0.042098,11.0753,19.226922,20.43171,27.115395,28.508519,130558.75,127484.75,118.569025,,
09/30/2017,149672.0,-7423.0,0.0,96.0,5393.0,,147738.0,11931.0,45.201576,0.036504,12.372331,21.486038,22.859044,29.318448,30.997802,150801.6,148867.6,139.375472,,
12/31/2017,159533.44,-7782.0,0.0,100.0,5424.0,,157275.44,10992.0,49.344978,0.034487,12.585056,22.28013,23.750444,27.321638,28.823806,160895.68,158637.68,149.217685,,
03/31/2018,183567.68,-8268.0,0.0,99.0,6469.0,,181867.68,12271.0,52.71779,0.03557,13.630194,24.556803,26.201942,29.952716,31.60813,185144.12,183444.12,173.537863,,
06/30/2018,204184.28,-7745.0,0.0,93.0,5858.0,-1541.0,200849.28,11208.0,52.266238,0.029166,14.392639,26.108057,27.803056,32.154738,34.109687,206149.48,202814.48,193.310183,,
09/30/2018,230401.35,-8493.0,0.0,92.0,6358.0,,228358.35,12225.0,52.00818,0.027842,15.79788,28.431069,30.166229,33.390909,35.143204,232182.23,230139.23,220.636087,,
12/31/2018,194498.15,-8378.0,0.0,94.0,6334.0,,192548.15,11823.0,53.573543,0.032896,12.879475,24.873808,26.441658,30.207074,31.856294,195818.7,193868.7,186.758632,,
03/31/2019,241100.8,-7174.0,0.0,95.0,6705.0,,240726.8,11968.0,56.024398,0.027853,15.776053,29.306891,31.332429,36.115521,38.002695,242984.4,242610.4,235.084766,,
06/30/2019,268497.95,-6500.0,0.0,101.0,8224.0,,270322.95,13333.0,61.681542,0.030423,17.210349,31.136023,33.192538,40.258072,42.352103,271143.25,272968.25,266.32803,,
09/30/2019,274285.7,-5852.0,0.0,100.0,8219.0,,276752.7,13268.0,61.946036,0.029698,17.003729,30.474897,32.511193,41.213619,43.692652,276729.83,279196.83,274.012574,,
12/31/2019,300680.13,-7676.0,0.0,98.0,9289.0,,302391.13,15280.0,60.791885,0.030718,17.910983,29.398321,31.24305,36.075789,37.988323,302471.67,304182.67,300.289106,,
03/31/2020,242526.24,-10684.0,0.0,100.0,12466.0,,244408.24,17964.0,69.394344,0.051005,14.374419,23.754324,25.295823,27.349901,28.868201,243975.6,245857.6,243.434502,,
06/30/2020,296882.8,-11527.0,0.0,78.0,12498.0,,297931.8,19046.0,65.620078,0.041949,18.362515,31.034562,33.206844,33.466734,35.244326,298065.6,299114.6,296.744821,,
09/12/2020,330500.24854155,-11527.0,0.0,78.0,12498.0,,331549.24854155,19046.0,65.6200777066051,0.0376957572818439,20.4344683230539,34.5363800564115,36.9537726863074,37.2429885787502,39.2211567755345,332791.193847656,333840.193847656,296.744820717131,,
09/30/2020,,,,,,,,,,,19.4868386716823,33.3014512856569,35.7572209734992,,,,,,,
12/31/2020,,,,,,,,,,,18.492626305345,30.9189816399305,33.17662900485,,,,,,,
