Date,Revenue,GAAP Actual,Adjusted Actual,Earnings Per Share,EBIT,EBITDA,Gross Margin %,Pretax Income (Loss),Net Income,Source: Bloomberg
09/30/2015,,245.0,245.0,,,,,,,
12/31/2015,,145.0,145.0,,,,,,,
03/31/2016,,165.0,165.0,,,,,,,
06/30/2016,,176.0,176.0,,,,,,,
09/30/2016,,253.0,253.0,,,,,,,
12/31/2016,,169.0,169.0,,,,,,,
03/31/2017,,179.0,179.0,,,,,,,
06/30/2017,,175.0,175.0,,,,,,,
09/30/2017,,263.0,263.0,,,,,,,
12/31/2017,,151.0,151.0,,,,,,,
03/31/2018,,148.0,148.0,,,,,,,
06/30/2018,,184.0,184.0,,,,,,,
09/30/2018,,270.0,270.0,,,,,,,
12/31/2018,,136.0,136.0,,,,,,,
03/31/2019,,179.0,179.0,,,,,,,
06/30/2019,,168.0,168.0,,,,,,,
09/30/2019,,278.0,278.0,,,,,,,
12/31/2019,,146.0,146.0,,,,,,,
