Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2003,540.518982,,,-501.166992,,,39.35199,,-60.226002,,,-20.874001,9.814001,8.252,9.476,-1.224,0.0,,-18.066001,-11.059999,14.449,3.389,-4.768,,,8.157001,0.0,8.157,0.0,0.0,8.157,8.157,,157.498001,0.05,0.02,0.02,157.690002,0.05,0.02,0.02,
06/30/2003,536.815002,,,-471.563995,,,65.251007,,-61.808998,,,3.442,11.827,8.49,8.49,,0.0,,-20.316999,15.269,-4.71,10.559,0.0,,,10.559,0.0,10.559,0.0,0.0,10.559,10.559,,157.520004,0.065,0.065,0.065,158.210007,0.065,0.065,0.065,
09/30/2003,538.9,,,-503.523,,,35.377,,-59.001,,,-23.624,5.224,8.036,8.036,,0.0,,-13.26,-18.4,12.505,-5.895,0.0,,,-5.895,0.0,-5.895,0.0,0.0,-5.895,-5.895,,159.002,-0.035,-0.035,-0.035,159.002,-0.035,-0.035,-0.035,
12/31/2003,541.198975,,,-504.496002,,,36.702972,,-56.743999,,,-20.041,0.724999,,8.449,,0.0,,-9.174,-19.316001,-1.303,-20.618999,0.0,,,-20.619001,0.0,-20.618999,0.0,0.0,-20.618999,-20.618999,,179.645996,-0.115,-0.115,-0.05,180.645996,-0.115,-0.115,-0.05,
03/31/2004,621.927002,,,-539.796997,,,82.130005,,-66.709,,,15.421,19.867,9.061,9.061,,0.0,,-28.927999,35.287999,-4.542,30.746,-83.373001,,,114.119,0.0,114.119003,0.0,0.0,114.119003,114.119003,,179.854004,0.635,0.17,0.17,181.095993,0.63,0.17,0.17,
06/30/2004,653.742981,,,-574.286011,,,79.45697,,-65.750999,,,13.706,12.52,8.321,8.321,,0.0,,-20.841,26.226,-0.021,26.205,0.0,,,26.205,0.0,26.205,0.0,0.0,26.205,26.205,,179.770004,0.145,0.145,0.145,181.542007,0.145,0.145,0.145,
09/30/2004,638.969971,,,-607.007996,,,31.961975,,-64.962997,,,-33.000999,14.635,6.271,6.271,,0.0,,-20.906,-18.365999,6.792,-11.574,0.0,,,-11.573999,0.0,-11.574,0.0,0.0,-11.574,-11.574,,180.722,-0.065,-0.065,-0.065,180.722,-0.065,-0.065,-0.065,
12/31/2004,775.788,,,-672.841,,,102.947,,-73.831,,,29.116,7.87,,7.776,,0.0,,-15.646,36.986,30.682,67.668,0.0,,,67.668,0.0,67.668,0.0,0.0,67.668,67.668,,181.103134,0.375,0.375,0.48,183.73619,0.37,0.37,0.475,
03/31/2005,792.431,,,-581.032,,,211.399,,-139.345,,,72.054,17.633,5.924,6.924,-1.0,,,-23.557,89.687,-14.475,75.212,,,,75.212,,75.212,0.0,,75.212,75.212,,181.886472,0.415,0.415,0.415,184.119582,0.41,0.41,0.41,
06/30/2005,795.213,,,-684.24,,,110.973,,-75.033,,,35.94,14.747,7.189,7.189,,,,-21.936,50.687,-9.613,41.074,,,,41.074,,41.074,0.0,,41.074,41.074,5.04,182.873976,0.225,0.225,0.255,185.168622,0.22,0.22,0.245,
09/30/2005,862.402,,,-734.393,,,128.009,,-78.455,,,49.554,338.06,4.791,6.791,-2.0,,,-342.851,387.614,-7.173,380.441,,,,380.441,-3.459,376.982,0.0,,376.982,376.982,-327.326,184.22554,2.045,2.045,0.27,186.784578,2.02,2.02,0.265,
12/31/2005,925.946,,,-756.098,,,169.848,,-79.852,,,89.996,36.7,,6.413,,0.0,,-43.113,126.696,-33.078,93.618,0.0,,,93.618,-6.025,87.593,0.0,0.0,87.593,87.593,,184.932088,0.47,0.47,0.37,187.263826,0.47,0.47,0.37,
03/31/2006,944.255,,,-751.976,,,192.279,,21.553,,,213.832,-5.853,1.853,5.853,-4.0,0.0,,4.0,207.979,-64.727,143.252,0.0,,,143.252,-8.496,134.756,0.0,0.0,134.756,134.756,,368.538772,0.365,0.365,0.365,373.346548,0.36,0.36,0.36,
06/30/2006,932.263,,,-735.907,,,196.356,,-21.911,,,174.445,-6.253,2.253,6.253,-4.0,,,4.0,168.192,-50.632,117.56,0.0,,,117.56,-7.066,110.494,0.0,0.0,110.494,110.494,,183.286425,0.6,0.6,0.6,185.820234,0.59,0.59,0.59,
09/30/2006,808.434,,,-744.151,,,64.283,,-25.062,,,39.221,29.233,0.685,5.685,-5.0,0.0,,-29.918,68.454,-13.208,55.246,0.0,,,55.246,-6.962,48.284,0.0,0.0,48.284,48.284,,183.246777,0.26,0.26,0.26,185.555687,0.26,0.26,0.26,
12/31/2006,858.928,,,-741.259,,,117.669,,-81.335,,,36.334,87.465,12.275,7.275,-2.369,0.0,,-92.371,123.799,11.201,135.0,0.0,,,135.0,-7.084,127.916,0.0,0.0,127.916,127.916,,182.64,0.7,0.7,0.59,184.97,0.69,0.69,0.59,
03/31/2007,890.074,,,-719.606,,,170.468,,-0.898,,,169.57,-7.263,1.263,7.263,-6.0,0.0,,6.0,162.307,-42.934,119.373,0.0,,,119.373,-6.111,113.262,0.0,0.0,113.262,113.262,,182.371296,0.62,0.62,0.62,184.815136,0.61,0.61,0.61,
06/30/2007,938.768,,,-786.96,,,151.808,,-26.539,,,125.269,115.056,2.174,6.174,-4.0,0.0,,-117.23,240.325,-79.524,160.801,0.0,,,160.801,-7.684,153.117,0.0,0.0,153.117,153.117,,182.19539,0.84,0.84,0.84,185.000122,0.83,0.83,0.83,
09/30/2007,847.684,,,-831.046,,,16.638,,-26.623,,,-9.985,14.872,3.82,5.82,-2.0,0.0,,-18.692,4.887,-4.506,0.381,0.0,,,0.381,-5.765,-5.384,0.0,0.0,-5.384,-5.384,,181.866727,-0.03,-0.03,-0.03,181.866727,-0.03,-0.03,-0.03,
12/31/2007,888.916,,,-856.113,,,32.803,,-29.493,,,3.31,18.128,10.802,11.594,-0.792,0.0,,-28.93,21.438,-9.173,12.265,0.0,,,12.265,-5.478,6.787,0.0,0.0,6.787,6.787,,181.835472,0.04,0.04,0.04,184.417123,0.04,0.04,0.04,
03/31/2008,951.112,,,-865.301,,,85.811,,-30.47,,,55.341,64.443,9.176,10.176,-1.0,0.0,,-73.619,119.784,-35.553,84.231,0.0,,,84.231,-9.149,75.082,0.0,0.0,75.082,75.082,,182.572985,0.41,0.41,0.41,185.192551,0.41,0.41,0.41,
06/30/2008,1199.499,,,-997.138,,,202.361,,-30.644,,,171.717,2.871,8.526,8.526,0.0,0.0,,-11.397,174.588,-61.798,112.79,0.0,,,112.79,-11.778,101.012,0.0,0.0,101.012,101.012,,182.977726,0.55,0.55,0.55,185.637248,0.54,0.54,0.54,
09/30/2008,1137.418,,,-989.201,,,148.217,,-31.406,,,116.811,26.619,8.069,9.069,-1.0,0.0,,-34.688,143.43,-41.014,102.416,0.0,,,102.416,-12.362,90.054,0.0,0.0,90.054,90.054,,183.202086,0.49,0.49,0.49,185.591759,0.49,0.49,0.49,
12/31/2008,1198.274,,,-970.279,,,227.995,,-32.023,,,195.972,91.821,8.049,8.412,-0.363,0.0,,-99.87,287.793,-101.569,186.224,0.0,,,186.224,-9.902,176.322,0.0,0.0,176.322,176.322,-55.795,180.799712,0.98,0.98,0.67,182.327963,0.97,0.97,0.66,
03/31/2009,1195.257,1182.625,12.632,-895.069,788.85,106.219,300.188,0.352,-30.816,30.816,0.0,269.724,14.982,8.078,8.512,-0.434,,,-23.06,284.706,-79.735,204.971,0.0,0.0,0.0,204.971,-9.152,195.819,0.0,0.0,195.819,195.0897,-0.7293,180.576479,1.08,1.08,1.080372,182.15009,1.08,1.08,1.075996,
06/30/2009,1031.06,1022.394,8.666,-854.738,747.263,107.475,176.322,0.0,-35.627,35.627,0.0,140.695,32.56,6.759,6.945,-0.186,,,-39.319,173.255,-54.416,118.839,0.0,0.0,0.0,118.839,-5.5,113.339,0.0,0.0,113.339,108.03695,-5.30205,180.644498,0.63,0.63,0.598064,183.073413,0.62,0.62,0.591039,
09/30/2009,1068.661,1060.218,8.443,-926.868,816.903,109.965,141.793,0.0,-31.642,31.642,0.0,110.151,18.354,7.259,7.502,-0.243,,,-25.613,128.505,-35.219,93.286,0.0,0.0,0.0,93.286,-5.916,87.37,0.0,0.0,87.37,85.26075,-2.10925,180.725194,0.48,0.48,0.47177,183.191667,0.48,0.48,0.468486,
12/31/2009,1213.711,1210.773,2.938,-995.811,882.053,113.758,217.9,0.728,-32.62,32.62,0.0,186.008,15.871,4.271,8.46,-4.189,,,-20.142,201.879,-51.833,150.046,0.0,0.0,0.0,150.046,-6.857,143.189,0.0,0.0,143.189,145.5641,2.3751,180.823733,0.79,0.79,0.805006,183.651382,0.78,0.78,0.792933,
03/31/2010,1218.069,1203.73,14.339,-1013.054,893.868,119.186,205.015,0.0,-76.693,30.13,46.563,128.322,13.846,2.145,8.145,-6.0,,-4.0,-11.991,142.168,-34.286,107.882,0.0,0.0,0.0,107.882,-7.613,100.269,0.0,0.0,100.269,169.2652,68.9962,181.72648,0.55,0.55,0.931428,184.348982,0.54,0.54,0.914269,
06/30/2010,1264.082,1249.931,14.151,-1071.601,938.837,132.764,192.481,0.0,-56.56,39.045,17.515,135.921,-39.773,64.462,65.038,-0.576,,,-24.689,96.148,-25.248,70.9,0.0,0.0,0.0,70.9,-4.232,66.668,0.0,0.0,66.668,104.63775,37.96975,225.715539,0.3,0.3,0.463582,228.081103,0.29,0.29,0.456475,
09/30/2010,1319.423,1301.292,18.131,-1152.664,991.235,161.429,166.759,0.0,-39.059,38.722,0.337,127.7,-36.56,65.999,66.43,-0.431,,,-29.439,91.14,-15.757,75.383,0.0,0.0,0.0,75.383,0.0,75.383,0.0,0.0,75.383,102.75905,27.37605,225.781539,0.33,0.33,0.455126,228.092299,0.33,0.33,0.450022,
12/31/2010,1336.94,1333.993,2.947,-1110.184,955.9,154.284,226.756,0.0,-43.261,42.313,0.948,183.495,-45.038,64.962,65.419,-0.457,,,-19.924,138.457,-33.996,104.461,0.0,0.0,0.0,104.461,0.0,104.461,0.0,0.0,104.461,114.345,9.884,225.854413,0.46,0.46,0.506277,228.169569,0.46,0.46,0.503319,
03/31/2011,1442.161,1423.326,18.835,-1107.622,958.56,149.062,334.539,0.0,-40.196,40.196,0.0,294.343,-43.266,66.101,66.482,-0.381,,,-22.835,251.077,-58.928,192.149,0.0,0.0,0.0,192.149,0.0,192.149,0.0,0.0,192.149,191.93905,-0.20995,226.350594,0.85,0.85,0.847972,228.814838,0.84,0.84,0.839082,
06/30/2011,1563.007,1546.734,16.273,-1249.555,1091.755,157.8,313.452,0.0,-158.902,43.423,115.479,154.55,-55.766,64.357,64.597,-0.24,,,-8.591,98.784,-21.4,77.384,0.0,0.0,0.0,77.384,0.0,77.384,0.0,0.0,77.384,161.857254,84.473254,226.647752,0.34,0.34,0.714136,229.138024,0.34,0.34,0.708657,
09/30/2011,1499.798,1498.643,1.155,-1200.486,1040.736,159.75,299.312,0.0,-61.937,46.692,15.245,237.375,-36.953,58.704,58.884,-0.18,,,-21.751,200.422,-33.093,167.329,0.0,0.0,0.0,167.329,0.0,167.329,0.0,0.0,167.329,177.23825,9.90925,226.744011,0.74,0.74,0.781667,229.163537,0.73,0.73,0.773241,
12/31/2011,1458.656,1457.609,1.047,-1201.001,1049.216,151.785,257.655,0.0,-45.156,45.156,0.0,212.499,25.171,50.263,58.381,-8.118,,,-75.434,237.67,-42.035,195.635,0.0,0.0,0.0,195.635,0.0,195.635,0.0,0.0,195.635,195.635,0.0,226.971597,0.86,0.86,0.86,229.31437,0.85,0.85,0.85,
03/31/2012,1426.77,1372.97,53.8,-1211.074,1055.727,155.347,215.696,0.0,-38.999,38.999,0.0,176.697,-58.12,49.588,58.12,-8.532,,,8.532,118.577,-21.381,97.196,0.0,0.0,0.0,97.196,0.0,97.196,0.0,0.0,97.196,89.87635,-7.31965,227.269269,0.43,0.43,0.395462,230.124011,0.42,0.42,0.388193,
06/30/2012,1248.949,1248.298,0.651,-1152.507,998.683,153.824,96.442,0.0,-33.732,33.732,0.0,62.71,148.945,48.446,56.593,-8.147,,,-197.391,211.655,-58.945,152.71,0.0,0.0,0.0,152.71,0.029,152.739,0.0,0.0,152.739,68.34755,-84.39145,227.548394,0.67,0.67,0.300365,229.252185,0.67,0.67,0.300365,
09/30/2012,1125.392,1124.439,0.953,-1100.704,946.827,153.877,24.688,0.0,-36.681,36.681,0.0,-11.993,-19.378,45.776,54.075,-8.299,,,-26.398,-31.371,19.898,-11.473,0.0,0.0,0.0,-11.473,0.105,-11.368,0.0,0.0,-11.368,15.84945,27.21745,227.654395,-0.05,-0.05,0.069621,227.654395,-0.05,-0.05,0.069556,
12/31/2012,821.664,820.79,0.874,-716.453,605.88,110.573,105.211,0.0,-23.015,23.015,0.0,82.196,61.876,47.311,51.27,-3.959,,,-109.187,144.072,-36.492,107.58,-42.06,-42.06,0.0,149.64,0.263,149.903,0.0,0.0,149.903,-12.8997,-120.7427,227.898021,0.66,0.473207,-0.056603,229.934465,0.65,0.467078,-0.05804,
03/31/2013,812.25,728.004,84.246,-575.066,463.488,111.578,237.184,0.0,-216.81,40.284,176.526,20.374,-24.99,46.453,53.377,-6.924,,,-21.463,-4.616,0.892,-3.724,-1.903,-1.903,0.0,-1.821,0.257,-1.564,0.0,0.0,-1.564,-0.659,2.808,228.318123,-0.01,-0.02,-0.002886,228.318123,-0.01,-0.02,-0.007701,
06/30/2013,769.608,685.956,83.652,-571.657,462.128,109.529,197.951,0.0,-133.827,45.035,88.792,64.124,-25.997,50.04,54.517,-4.477,,11.869,-35.912,38.127,-29.565,8.562,21.375,21.375,0.0,-12.813,0.287,-12.526,0.0,0.0,-12.526,-25.1018,-33.9508,228.72198,-0.05,0.04,-0.109748,228.72198,-0.05,0.04,-0.109748,
09/30/2013,762.66,681.671,80.989,-572.219,454.489,117.73,190.441,0.0,-158.274,42.493,115.781,32.167,-35.478,52.0,56.3,-4.3,,3.61,-20.132,-3.311,-68.858,-72.169,-8.12,-8.12,0.0,-64.049,0.398,-63.651,0.0,0.0,-63.651,-77.1049,-5.3339,228.876336,-0.28,-0.31,-0.336885,228.876336,-0.28,-0.315478,-0.338782,
12/31/2013,776.204,695.574,80.63,-585.653,463.368,122.285,190.551,0.0,-153.426,49.128,104.298,37.125,-21.25,54.816,55.004,-0.188,,12.857,-46.423,15.875,130.72,146.595,-591.144,-591.144,0.0,737.739,0.444,738.183,0.0,0.0,738.183,136.4531,-10.5859,228.989629,3.22,0.64,0.595892,230.682187,3.2,0.64,0.59411,
03/31/2014,910.43,810.924,99.506,-618.667,489.551,129.116,291.763,0.0,-165.707,53.478,112.229,126.056,4.123,50.307,50.931,-0.624,,-7.45,-46.98,130.179,-8.489,121.69,5.687,5.687,0.0,116.003,0.0,116.003,0.0,0.0,116.003,119.30515,-2.38485,229.526033,0.51,0.53,0.519789,230.867526,0.51,0.53,0.51967,
06/30/2014,865.976,776.15,89.826,-634.139,496.24,137.899,231.837,0.0,-187.047,51.714,135.333,44.79,-68.511,63.535,64.211,-0.676,,-14.062,19.038,-23.721,-1.214,-24.935,0.0,0.0,0.0,-24.935,0.0,-24.935,0.0,0.0,-24.935,22.424,47.359,230.061395,-0.11,-0.11,0.09747,230.061395,-0.11,-0.11,0.095854,
09/30/2014,836.303,743.815,92.488,-636.16,487.495,148.665,200.143,0.0,-167.573,50.272,117.301,32.57,-35.603,54.87,55.397,-0.527,,-18.284,-0.983,-3.033,1.388,-1.645,0.0,0.0,0.0,-1.645,0.0,-1.645,0.0,0.0,-1.645,3.85465,5.49965,230.174256,-0.01,-0.01,0.016747,230.174256,-0.01,-0.01,0.013893,
12/31/2014,863.391,753.308,110.083,-639.828,472.987,166.841,223.563,0.0,-132.128,53.125,79.003,91.435,-11.737,52.549,53.025,-0.476,,-9.995,-30.817,79.698,-6.032,73.666,0.0,0.0,0.0,73.666,0.0,73.666,0.0,0.0,73.666,76.92185,3.25585,230.20625,0.32,0.32,0.334143,230.20625,0.32,0.32,0.334143,
03/31/2015,693.982,647.114,46.868,-566.042,416.333,149.709,127.94,0.0,-10.996,29.026,-18.03,116.944,-86.333,53.979,55.122,-1.143,,-3.0,35.354,30.611,-195.898,-165.287,-244.317,-244.317,0.0,79.03,0.0,79.03,0.0,0.0,79.03,-160.72925,4.55775,229.734412,0.34,-0.72,-0.699631,230.446699,0.34,-0.72,-0.700222,
06/30/2015,531.511,481.399,50.112,-471.873,333.738,138.135,59.638,0.0,-926.694,27.217,899.477,-867.056,-11.836,46.142,46.506,-0.364,,-11.927,-22.379,-878.892,301.669,-577.223,26.078,26.078,0.0,-603.301,0.0,-603.301,0.0,0.0,-603.301,-65.415548,511.807452,228.928803,-2.64,-2.52,-0.285746,228.928803,-2.64,-2.52,-0.285746,
09/30/2015,535.278,483.145,52.133,-414.416,267.572,146.844,120.862,3.078,81.323,39.136,-120.459,205.263,-10.083,48.197,48.558,-0.361,,-15.588,-22.526,195.18,-65.868,129.312,3.842,3.842,0.0,125.47,-6.49,118.98,0.0,0.0,118.98,-99.87595,-222.69795,229.036172,0.52,0.54,-0.436071,229.352127,0.52,0.54,-0.436071,
12/31/2015,550.679,458.026,92.653,-372.641,232.653,139.988,178.038,0.0,9.055,33.417,-42.472,187.093,-16.009,48.65,49.081,-0.431,,-16.059,-16.582,171.084,-125.742,45.342,11.017,11.017,0.0,34.325,-3.92,30.405,0.0,0.0,30.405,-69.0338,-110.4558,233.884615,0.13,0.18,-0.295162,233.884615,0.13,0.18,-0.295162,
03/31/2016,521.244,420.529,100.715,-446.973,291.985,154.988,74.271,0.0,-139.628,30.087,109.541,-65.357,-1.734,49.651,49.865,-0.214,,-16.665,-31.252,-67.091,23.8,-43.291,53.167,53.167,0.0,-96.458,-1.114,-97.572,0.0,0.0,-97.572,-15.250019,29.154981,229.259228,-0.43,-0.19,-0.066519,229.259228,-0.43,-0.19,-0.066519,
06/30/2016,526.411,429.94,96.471,-449.603,314.383,135.22,76.808,0.0,-397.916,36.265,361.651,-321.108,-13.792,46.881,47.428,-0.547,,-9.219,-23.87,-334.9,100.856,-234.044,234.605,234.605,0.0,-468.649,-1.179,-469.828,0.0,0.0,-469.828,-60.701865,174.521135,229.409325,-2.05,-1.02,-0.264601,229.409325,-2.05,-1.02,-0.264601,
09/30/2016,538.427,482.99,55.437,-472.794,321.082,151.712,65.633,0.0,64.717,38.847,-103.564,130.35,-14.924,47.103,47.317,-0.214,,-15.355,-16.824,115.426,-52.858,62.568,34.975,34.975,0.0,27.593,-2.248,25.345,0.0,0.0,25.345,-48.335626,-108.655626,229.438612,0.11,0.26,-0.210669,231.518585,0.11,0.26,-0.210669,
12/31/2016,294.676,238.145,56.531,-244.375,138.377,105.998,50.301,0.0,-290.611,22.052,268.559,-240.31,-22.749,43.983,43.986,-0.003,,-11.839,-9.395,-263.059,-37.396,-300.455,5.592,5.592,0.0,-306.047,,-306.047,0.0,0.0,-306.047,-151.980647,148.474353,230.110526,-1.33,-1.31,-0.660468,230.110526,-1.33,-1.31,-0.664769,
03/31/2017,295.289,333.413,-38.124,-229.867,134.189,95.678,65.422,0.0,-162.988,21.802,141.186,-97.566,-40.863,40.653,41.606,-0.953,,,0.21,-138.429,47.422,-91.007,-52.041,-52.041,0.0,-38.966,0.0,-38.966,0.0,0.0,-38.966,-20.39295,70.61405,229.817169,-0.17,-0.4,-0.088736,229.817169,-0.17,-0.4,-0.092738,
06/30/2017,254.995,276.964,-21.969,-214.113,122.473,91.64,40.882,0.0,50.496,21.754,-72.25,91.378,88.387,40.683,40.683,0.0,,,-129.07,179.765,-57.958,121.807,-47.703,-47.703,0.0,169.51,0.0,169.51,0.0,0.0,169.51,-123.4068,-245.2138,230.058422,0.74,0.53,-0.536415,232.198396,0.73,0.52,-0.536415,
09/30/2017,285.673,254.618,31.055,-241.597,139.585,102.012,44.076,0.0,-51.98,21.469,30.511,-7.904,-3.362,38.836,38.836,0.0,,,-35.474,-11.266,-10.53,-21.796,4.645,4.645,0.0,-26.441,0.0,-26.441,0.0,0.0,-26.441,-40.5771,-18.7811,230.080797,-0.11,-0.09,-0.17636,230.080797,-0.11,-0.09,-0.17636,
12/31/2017,371.072,329.412,41.66,-280.124,157.417,122.707,90.948,0.0,21.055,28.221,-49.276,112.003,-23.493,39.121,40.319,-1.198,,,-15.628,88.51,197.524,286.034,9.391,9.391,0.0,276.643,0.0,276.643,0.0,0.0,276.643,-48.230028,-334.264028,224.913008,1.23,1.25,-0.214439,228.630579,1.21,1.24,-0.222027,
03/31/2018,443.651,416.333,27.318,-274.025,149.358,124.667,169.626,0.0,2.302,31.349,-33.651,171.928,587.312,38.475,38.551,-0.076,,,-625.787,759.24,-213.694,545.546,0.0,0.0,0.0,545.546,-17.983,527.563,0.0,0.0,527.563,-0.77241,-528.33541,221.930165,2.38,2.38,-0.00348,224.182536,2.35,2.35,-0.00672,
06/30/2018,411.1,343.051,68.049,-237.642,118.555,119.087,173.458,0.0,-84.02,34.909,49.111,89.438,-59.146,38.438,38.438,0.0,,,20.708,30.292,31.102,61.394,0.0,0.0,0.0,61.394,-19.38,42.014,0.0,0.0,42.014,63.723936,21.709936,215.99149,0.19,0.19,0.29503,218.92996,0.19,0.19,0.289164,
