Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Other Share Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/2017,2246,730,730,0,537,519,18,165,92,45,28,0,145,,,51.0,65.0,80,1577,352,,,10,10.0,307,127.0,46.0,81.0,39.0,90,669,,556,439,21.0,6.0,90.0,42,0,,,,42,207,16.0,,193,805,347,347,,,,389,,305.0,,,22,46,736,1541,0.0,1332,1,1331,,-1936.0,1377,-204,569,136,705,2246,
09/30/2017,2279,732,732,0,534,506,28,174,109,33,32,0,156,,,49.0,61.0,92,1596,361,,,10,10.0,312,128.0,46.0,82.0,40.0,95,683,,554,429,11.0,12.0,102.0,44,43,,,,1,212,16.0,,192,810,347,347,,,,389,,305.0,,,22,46,736,1546,0.0,1334,1,1333,,-1945.0,1420,-194,615,118,733,2279,
12/31/2017,2304,706,706,0,553,530,23,189,109,49,31,0,155,,,46.0,56.0,98,1603,377,646.0,-269.0,10,10.0,314,132.0,47.0,85.0,41.0,95,701,,600,470,22.0,3.0,105.0,46,0,0.0,0.0,,46,155,16.0,,134,801,347,347,0.0,0.0,,395,0.0,277.0,,,23,79,742,1543,0.0,1340,1,1339,0.0,-1974.0,1445,-174,637,124,761,2304,
03/31/2018,2145,523,523,0,528,498,30,199,141,25,33,0,167,,,47.0,52.0,114,1417,389,,,10,10.0,329,133.0,48.0,85.0,45.0,104,728,,629,493,29.0,27.0,80.0,35,0,,,,35,123,16.0,,77,787,347,347,,,,396,,275.0,,,22,83,743,1530,0.0,1292,1,1291,,-2139.0,1510,-157,506,109,615,2145,
06/30/2018,2036,525,525,0,450,438,12,197,130,35,32,0,164,,,22.0,58.0,105,1336,372,,,10,10.0,318,125.0,45.0,80.0,48.0,123,700,,568,435,28.0,29.0,76.0,30,0,,,,30,105,14.0,,98,703,348,348,,,,369,,260.0,,,22,73,717,1420,0.0,1303,1,1302,,-2137.0,1545,-195,516,100,616,2036,
09/30/2018,1998,439,439,0,467,448,19,222,150,36,36,0,176,,,21.0,55.0,120,1304,384,,,0,0.0,310,130.0,47.0,83.0,39.0,120,694,,536,432,22.0,17.0,65.0,32,0,,,,32,127,14.0,,118,695,348,348,,,,364,,256.0,,,22,72,712,1407,0.0,1332,1,1331,,-2214.0,1566,-208,476,115,591,1998,
12/31/2018,2007,463,463,0,486,486,0,184,124,26,34,0,163,,,45.0,46.0,116,1296,397,700.0,-303.0,0,0.0,314,129.0,47.0,82.0,42.0,98,711,,534,436,28.0,3.0,67.0,57,0,0.0,0.0,,57,130,14.0,,111,721,348,348,0.0,0.0,,356,0.0,257.0,,,23,62,704,1425,0.0,1336,1,1335,0.0,-2264.0,1609,-216,465,117,582,2007,
03/31/2019,2182,432,432,0,484,484,0,195,125,20,50,0,172,,,59.0,54.0,117,1283,573,,,0,,326,128.0,48.0,80.0,45.0,94,899,,527,440,17.0,3.0,67.0,84,0,28.0,,28.0,56,128,10.0,,108,739,490,348,142.0,,142.0,348,,255.0,,,24,59,838,1577,0.0,1333,1,1332,,-2257.0,1623,-212,487,118,605,2182,
06/30/2019,2192,435,435,0,468,468,0,187,121,23,43,0,193,,,59.0,65.0,127,1283,578,,,0,,331,126.0,47.0,79.0,48.0,98,909,,547,447,24.0,5.0,71.0,83,0,29.0,,29.0,54,132,9.0,,105,762,487,348,139.0,,139.0,350,,252.0,,,26,63,837,1599,0.0,1339,1,1338,,-2277.0,1630,-215,477,116,593,2192,
09/30/2019,2164,443,443,0,457,457,0,192,122,25,45,0,195,2.0,,58.0,51.0,144,1287,566,,,0,,311,124.0,46.0,78.0,48.0,79,877,,565,464,23.0,5.0,73.0,75,0,28.0,,28.0,47,122,9.0,,95,762,480,348,132.0,,132.0,338,,247.0,,,27,55,818,1580,0.0,1341,1,1340,,-2277.0,1644,-234,474,110,584,2164,
12/31/2019,2271,466,466,0,514,514,0,169,100,28,41,0,196,,,59.0,61.0,135,1345,601,963.0,-362.0,0,0.0,325,127.0,46.0,81.0,48.0,91,926,,611,511,24.0,3.0,73.0,67,0,30.0,,30.0,37,120,9.0,,98,798,487,348,139.0,,139.0,391,0.0,292.0,,,27,63,878,1676,0.0,1343,1,1342,0.0,-2275.0,1679,-267,480,115,595,2271,
03/31/2020,2488,822,822,0,401,401,0,180,115,25,40,0,180,,,56.0,62.0,118,1583,581,,,0,,324,126.0,45.0,81.0,48.0,94,905,,520,442,17.0,2.0,59.0,66,0,30.0,,,36,143,8.0,13.0,124,729,888,748,140.0,,,370,,284.0,,,27,38,1258,1987,0.0,1338,1,1337,,-2284.0,1644,-304,394,107,501,2488,
06/30/2020,2320,755,755,0,334,334,0,170,111,24,35,0,167,,,57.0,51.0,116,1426,573,,,0,,321,125.0,45.0,80.0,50.0,89,894,,409,332,16.0,2.0,59.0,51,0,29.0,,29.0,22,138,8.0,,118,598,883,748,135.0,,135.0,371,,281.0,,,28,54,1254,1852,0.0,1342,1,1341,,-2284.0,1599,-299,358,110,468,2320,
