Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2002,679.0,,-478.0,,201.0,,-406.0,,,,,-205.0,-43.0,14.0,21.0,-7.0,,,29.0,-248.0,83.0,-165.0,0.0,,,-165.0,0.0,-165.0,0.0,0.0,-165.0,-165.0,,522.6,-0.315,-0.315,-0.28,522.6,-0.315,-0.315,-0.28,
12/31/2002,1220.0,,-663.0,,557.0,,-397.0,,,,,160.0,-55.0,16.0,22.0,-6.0,,,39.0,105.0,-44.0,61.0,0.0,,,61.0,0.0,61.0,0.0,0.0,61.0,61.0,,522.8,0.115,0.115,0.155,522.8,0.115,0.115,0.155,
03/31/2003,1147.0,,-614.0,,533.0,,-392.0,,,,,141.0,-34.0,17.0,21.0,-4.0,,,17.0,107.0,-35.0,72.0,12.0,,,60.0,0.0,60.0,0.0,0.0,60.0,60.0,,522.8,0.115,0.14,0.14,522.8,0.115,0.14,0.14,
06/30/2003,1682.0,,-788.0,,894.0,,-414.0,,,,,480.0,-43.0,17.0,21.0,-4.0,,,26.0,437.0,-142.0,295.0,0.0,,,295.0,0.0,295.0,0.0,0.0,295.0,295.0,,523.0,0.565,0.565,0.565,524.8,0.56,0.56,0.56,
08/31/2003,1307.0,,-718.0,,589.0,,-445.0,,,,,144.0,-443.0,17.0,17.0,,0.0,,426.0,-299.0,111.0,-188.0,0.0,,,-188.0,0.0,-188.0,0.0,0.0,-188.0,-188.0,,524.2,-0.36,-0.36,0.11,528.8,-0.36,-0.36,0.11,
11/30/2003,1028.0,,-560.0,,468.0,,-411.0,,,,,57.0,-140.0,17.0,21.0,-4.0,0.0,,123.0,-83.0,6.0,-77.0,20.0,,,-97.0,0.0,-97.0,0.0,0.0,-97.0,-97.0,,524.2,-0.185,-0.145,0.04,524.2,-0.185,-0.145,0.04,
02/29/2004,1492.0,,-744.0,,748.0,,-423.0,,,,,325.0,-80.0,15.0,23.0,-8.0,0.0,,65.0,245.0,-89.0,156.0,2.0,,,154.0,0.0,154.0,0.0,0.0,154.0,154.0,,528.6,0.29,0.295,0.35,537.6,0.285,0.29,0.34,
05/31/2004,1679.0,,-840.0,,839.0,,-454.0,,,,,385.0,-82.0,21.0,24.0,-3.0,0.0,,61.0,303.0,-74.0,229.0,-23.0,,,252.0,0.0,252.0,0.0,0.0,252.0,252.0,,531.6,0.475,0.43,0.445,541.4,0.465,0.425,0.44,
08/31/2004,1224.0,,-734.0,,490.0,,-455.0,,,,,35.0,-106.0,4.0,23.0,-19.0,0.0,,102.0,-71.0,29.0,-42.0,-1.0,,,-41.0,0.0,-42.0,0.0,0.0,-42.0,-42.0,,530.8,-0.08,-0.08,0.075,550.4,-0.08,-0.08,0.065,
11/30/2004,1098.0,,-598.0,,500.0,,-402.0,,,,,98.0,-328.0,20.0,25.0,-5.0,0.0,,308.0,-230.0,104.0,-126.0,-86.0,,,-40.0,0.0,-40.0,0.0,0.0,-40.0,-40.0,,529.200012,-0.075,-0.24,0.065,529.200012,-0.075,-0.24,0.065,
02/28/2005,1909.0,,-893.0,,1016.0,,-441.0,,,,,575.0,-50.0,15.0,24.0,-9.0,0.0,,35.0,525.0,-154.0,371.0,-2.0,,,373.0,0.0,373.0,0.0,0.0,373.0,373.0,,533.0,0.7,0.695,0.705,545.8,0.685,0.68,0.69,
05/31/2005,2042.0,,-1035.0,,1007.0,,-522.0,,,,,485.0,-316.0,29.0,29.0,,0.0,,287.0,169.0,-128.0,41.0,-6.0,,,47.0,0.0,47.0,0.0,0.0,47.0,47.0,,536.0,0.09,0.08,0.539,547.6,0.085,0.075,0.53,
08/31/2005,1274.0,,-781.0,,493.0,,-641.0,,,,,-148.0,-55.0,,37.0,-21.0,0.0,,39.0,-203.0,74.0,-129.0,-4.0,,,-125.0,0.0,-125.0,0.0,0.0,-125.0,-125.0,,536.6,-0.235,-0.24,-0.25,536.6,-0.235,-0.24,-0.25,
11/30/2005,1405.0,,-771.0,,634.0,,-518.0,,,,,116.0,-22.0,18.0,32.0,-14.0,0.0,,4.0,94.0,-35.0,59.0,0.0,,,59.0,0.0,59.0,0.0,0.0,59.0,59.0,,536.8,0.11,0.11,0.115,547.2,0.11,0.11,0.115,
02/28/2006,2200.0,,-960.0,,1240.0,,-566.0,,,,,674.0,-39.0,20.0,33.0,-13.0,0.0,,19.0,635.0,-195.0,440.0,0.0,,,440.0,0.0,440.0,0.0,0.0,440.0,440.0,,539.2,0.815,0.815,0.825,550.6,0.8,0.8,0.81,
05/31/2006,2309.0,,-1140.0,,1169.0,,-616.0,,,,,553.0,-46.0,25.0,35.0,-10.0,0.0,,21.0,507.0,-174.0,333.0,-12.0,,,345.0,-11.0,334.0,0.0,0.0,334.0,334.0,,541.6,0.62,0.6,0.61,552.3,0.6,0.58,0.59,
08/31/2006,1391.0,,-911.0,,480.0,0.0,-668.0,468.0,,7.0,193.0,-188.0,-14.0,16.0,34.0,-18.0,0.0,,-2.0,-202.0,72.0,-130.0,9.0,,,-139.0,-5.0,-144.0,0.0,0.0,-144.0,-144.0,,542.8,-0.27,-0.25,-0.24,542.8,-0.27,-0.25,-0.24,
11/30/2006,1539.0,,-857.0,,682.0,,-560.0,382.0,,,178.0,122.0,-17.0,3.0,33.0,-30.0,0.0,,14.0,105.0,-13.0,92.0,5.0,,,87.0,3.0,90.0,0.0,0.0,90.0,90.0,,543.1,0.17,0.18,0.19,553.6,0.16,0.17,0.18,
02/28/2007,2609.0,,-1161.0,,1448.0,0.0,-616.0,430.0,,,186.0,832.0,-9.0,3.0,34.0,-31.0,0.0,,6.0,823.0,-277.0,546.0,3.0,,,543.0,0.0,543.0,0.0,0.0,543.0,543.0,,543.6,1.0,1.0,1.01,554.3,0.98,0.99,1.0,
05/31/2007,2842.0,,-1339.0,,1503.0,0.0,-677.0,487.0,,,190.0,826.0,-20.0,1.0,29.0,-28.0,0.0,,19.0,806.0,-231.0,575.0,-5.0,,,580.0,-10.0,570.0,0.0,0.0,570.0,570.0,,544.4,1.05,1.04,1.05,555.2,1.03,1.02,1.03,
08/31/2007,1518.0,,-875.0,,643.0,,-809.0,596.0,,,213.0,-166.0,-227.0,,40.0,-31.0,0.0,,218.0,-398.0,115.0,-280.0,-75.0,,,-208.0,-5.0,-210.0,0.0,0.0,-210.0,-210.0,,545.1,-0.39,-0.52,-0.5,545.1,-0.39,-0.52,-0.5,
11/30/2007,2049.0,,-1010.0,,1039.0,0.0,-655.0,456.0,,,199.0,384.0,-22.0,2.0,34.0,-32.0,0.0,,20.0,362.0,-105.0,257.0,-6.0,,,263.0,-7.0,256.0,0.0,0.0,256.0,256.0,,546.2,0.47,0.46,0.48,557.7,0.46,0.45,0.47,
02/29/2008,3727.0,,-1516.0,,2211.0,0.0,-748.0,529.0,,,219.0,1463.0,209.0,-6.0,32.0,-38.0,0.0,,-203.0,1672.0,-552.0,1120.0,-8.0,,,1128.0,1.0,1129.0,0.0,0.0,1129.0,1129.0,,547.8,2.06,2.05,1.82,559.2,2.02,2.0,1.77,
05/31/2008,3538.0,,-1571.0,,1967.0,0.0,-864.0,616.0,,,248.0,1103.0,7.0,-4.0,31.0,-35.0,0.0,,-3.0,1110.0,-288.0,822.0,4.0,,,818.0,-7.0,811.0,0.0,0.0,811.0,811.0,,549.0,1.48,1.48,1.48,560.0,1.45,1.46,1.46,
08/31/2008,2051.0,,-1091.0,,960.0,0.0,-1025.0,711.0,,,314.0,-65.0,-154.0,-14.0,13.0,-27.0,0.0,,168.0,-219.0,47.0,-172.0,-7.0,,,-165.0,-7.0,-172.0,0.0,0.0,-172.0,-172.0,,549.5,-0.31,-0.32,-0.03,549.5,-0.31,-0.32,-0.03,
11/30/2008,2649.0,2649.0,-1099.0,1099.0,1550.0,0.0,-802.0,550.0,252.0,,0.0,748.0,-24.0,-2.0,23.0,-25.0,,,26.0,724.0,-176.0,548.0,-10.0,-10.0,0.0,558.0,-2.0,556.0,0.0,0.0,556.0,502.0,-44.0,548.2,1.01,1.0,0.915724,557.4,1.0,0.98,0.901062,
02/28/2009,4035.0,4035.0,-1514.0,1514.0,2521.0,0.0,-949.0,522.0,265.0,,162.0,1572.0,-40.0,8.0,26.0,-18.0,,,32.0,1532.0,-440.0,1092.0,-1.0,-1.0,0.0,1093.0,-1.0,1092.0,0.0,0.0,1092.0,1198.0,107.0,546.6,2.0,2.0,2.191731,555.2,1.97,1.97,2.162723,
05/31/2009,3161.0,3161.0,-1327.0,1327.0,1834.0,0.0,-799.0,504.0,295.0,,0.0,1035.0,-22.0,18.0,32.0,-14.0,,,4.0,1013.0,-308.0,705.0,0.0,0.0,0.0,705.0,-11.0,694.0,0.0,0.0,694.0,694.0,0.0,545.7,1.27,1.27,1.27,554.4,1.25,1.25,1.25,
08/31/2009,1879.0,1879.0,-1022.0,1022.0,857.0,0.0,-1109.0,461.0,286.0,,362.0,-252.0,-50.0,34.0,48.0,-14.0,,,16.0,-302.0,79.0,-223.0,0.0,0.0,0.0,-223.0,-10.0,-233.0,0.0,0.0,-233.0,14.018,247.018,545.4,-0.43,-0.43,0.025702,545.4,-0.43,-0.43,0.022912,
11/30/2009,1697.0,1697.0,-958.0,958.0,739.0,0.0,-777.0,496.0,267.0,,14.0,-38.0,-16.0,28.0,39.0,-11.0,,,-12.0,-54.0,30.0,-24.0,-5.0,-5.0,0.0,-19.0,0.0,-19.0,0.0,0.0,-19.0,-11.0,13.0,545.6,-0.03,-0.04,-0.020161,545.6,-0.03,-0.04,-0.020161,
02/28/2010,3890.0,3890.0,-1791.0,1791.0,2099.0,0.0,-821.0,512.0,279.0,,30.0,1278.0,-29.0,27.0,41.0,-14.0,,,2.0,1249.0,-360.0,889.0,0.0,0.0,0.0,889.0,-2.0,887.0,0.0,0.0,887.0,941.0,54.0,545.8,1.63,1.63,1.724075,553.4,1.6,1.6,1.697579,
05/31/2010,2962.0,2962.0,-1575.0,1575.0,1387.0,0.0,-828.0,492.0,302.0,,34.0,559.0,-24.0,17.0,35.0,-18.0,,,7.0,535.0,-138.0,397.0,0.0,0.0,0.0,397.0,-13.0,384.0,0.0,0.0,384.0,445.0,61.0,543.2,0.71,0.71,0.819219,549.9,0.7,0.7,0.810929,
08/31/2010,1953.0,1953.0,-1092.0,1092.0,861.0,0.0,-1053.0,564.0,357.0,,132.0,-192.0,-44.0,34.0,47.0,-13.0,,,10.0,-236.0,98.0,-138.0,1.0,1.0,0.0,-139.0,-4.0,-143.0,0.0,0.0,-143.0,-46.0,96.0,540.6,-0.27,-0.27,-0.085091,540.6,-0.27,-0.27,-0.09242,
11/30/2010,1836.0,1836.0,-1012.0,1012.0,824.0,0.0,-760.0,450.0,303.0,,7.0,64.0,-40.0,28.0,43.0,-15.0,,,12.0,24.0,-9.0,15.0,0.0,0.0,0.0,15.0,-6.0,9.0,0.0,0.0,9.0,13.0,4.0,538.6,0.02,0.02,0.024137,544.5,0.02,0.02,0.024137,
02/28/2011,4131.0,4131.0,-1821.0,1821.0,2310.0,0.0,-823.0,502.0,320.0,,1.0,1487.0,-31.0,20.0,39.0,-19.0,,,11.0,1456.0,-429.0,1027.0,-3.0,-3.0,0.0,1030.0,-12.0,1018.0,0.0,0.0,1018.0,1017.0,2.0,536.3,1.9,1.89,1.896327,542.4,1.88,1.87,1.873687,
05/31/2011,3608.0,3608.0,-1635.0,1635.0,1973.0,0.0,-952.0,591.0,360.0,,1.0,1021.0,-33.0,18.0,35.0,-17.0,,,15.0,988.0,-276.0,712.0,0.0,0.0,0.0,712.0,-20.0,692.0,0.0,0.0,692.0,692.65,0.65,535.5,1.29,1.29,1.293464,541.2,1.28,1.28,1.281201,
08/31/2011,2247.0,2247.0,-1276.0,1276.0,971.0,0.0,-1042.0,647.0,404.0,,-9.0,-71.0,-23.0,21.0,45.0,-24.0,,,2.0,-94.0,-3.0,-97.0,1.0,1.0,0.0,-98.0,-14.0,-112.0,0.0,0.0,-112.0,-116.0,-5.0,535.1,-0.21,-0.21,-0.216782,535.1,-0.21,-0.21,-0.219344,
11/30/2011,2439.0,2439.0,-1343.0,1343.0,1096.0,0.0,-851.0,500.0,351.0,,0.0,245.0,-41.0,35.0,53.0,-18.0,,,6.0,204.0,-70.0,134.0,0.0,0.0,0.0,134.0,-8.0,126.0,0.0,0.0,126.0,126.0,0.0,535.4,0.24,0.24,0.24,541.4,0.23,0.23,0.23,
02/29/2012,4748.0,4748.0,-2043.0,2043.0,2705.0,0.0,-896.0,543.0,353.0,,0.0,1809.0,-64.0,27.0,47.0,-20.0,,,37.0,1745.0,-540.0,1205.0,-7.0,-7.0,0.0,1212.0,-1.0,1211.0,0.0,0.0,1211.0,1231.025,27.025,534.4,2.27,2.25,2.303565,540.5,2.24,2.23,2.28,
05/31/2012,4219.0,4219.0,-1856.0,1856.0,2363.0,0.0,-1013.0,638.0,375.0,,0.0,1350.0,-21.0,18.0,39.0,-21.0,,,3.0,1329.0,-361.0,968.0,2.0,2.0,0.0,966.0,-29.0,937.0,0.0,0.0,937.0,877.0,-62.0,532.9,1.76,1.76,1.645712,538.8,1.74,1.74,1.624929,
08/31/2012,2110.0,2110.0,-1229.0,1229.0,881.0,0.0,-1137.0,709.0,438.0,,-10.0,-256.0,-34.0,34.0,52.0,-18.0,,,0.0,-290.0,70.0,-220.0,-1.0,-1.0,0.0,-219.0,-10.0,-229.0,0.0,0.0,-229.0,-237.0,-7.0,533.5,-0.44,-0.43,-0.444236,539.1,-0.44,-0.43,-0.444236,
11/30/2012,2939.0,2939.0,-1542.0,1542.0,1397.0,0.0,-888.0,542.0,346.0,,0.0,509.0,-45.0,28.0,51.0,-23.0,,,17.0,464.0,-122.0,342.0,-7.0,-7.0,0.0,349.0,-10.0,339.0,0.0,0.0,339.0,332.0,0.0,534.8,0.63,0.62,0.62,540.4,0.63,0.62,0.62,
02/28/2013,5472.0,5472.0,-2402.0,2402.0,3070.0,0.0,-958.0,598.0,360.0,,0.0,2112.0,-30.0,8.0,35.0,-27.0,,,22.0,2082.0,-603.0,1479.0,-4.0,-4.0,0.0,1483.0,,1483.0,0.0,0.0,1483.0,1479.0,0.0,534.8,2.78,2.77,2.77,540.9,2.74,2.73,2.73,
05/31/2013,4248.0,4248.0,-1986.0,1986.0,2262.0,0.0,-1024.0,632.0,392.0,,0.0,1238.0,-14.0,18.0,37.0,-19.0,,,-4.0,1224.0,-292.0,932.0,0.0,0.0,0.0,932.0,-23.0,909.0,0.0,0.0,909.0,898.0,-11.0,534.1,1.7,1.7,1.681333,540.0,1.68,1.68,1.65963,
08/31/2013,2202.0,2202.0,-1278.0,1278.0,924.0,0.0,-1213.0,778.0,435.0,,0.0,-289.0,-52.0,26.0,49.0,-23.0,,,26.0,-341.0,102.0,-239.0,0.0,0.0,0.0,-239.0,-10.0,-249.0,0.0,0.0,-249.0,-249.0,0.0,531.5,-0.47,-0.47,-0.47,531.5,-0.47,-0.47,-0.47,
11/30/2013,3143.0,3143.0,-1580.0,1580.0,1563.0,0.0,-998.0,589.0,409.0,,0.0,565.0,-49.0,29.0,53.0,-24.0,,,20.0,516.0,-152.0,364.0,-9.0,-9.0,0.0,373.0,-5.0,368.0,0.0,0.0,368.0,359.65,0.65,526.9,0.7,0.68,0.682577,532.6,0.69,0.67,0.67122,
02/28/2014,5832.0,5832.0,-2385.0,2385.0,3447.0,0.0,-1029.0,625.0,404.0,,0.0,2418.0,-78.0,17.0,40.0,-23.0,,,61.0,2340.0,-672.0,1668.0,-4.0,-4.0,0.0,1672.0,-2.0,1670.0,0.0,0.0,1670.0,1665.0,-1.0,524.8,3.18,3.18,3.172637,530.3,3.15,3.15,3.148114,
05/31/2014,4250.0,4250.0,-1919.0,1919.0,2331.0,0.0,-1082.0,655.0,427.0,,0.0,1249.0,-28.0,25.0,42.0,-17.0,,,3.0,1221.0,-341.0,880.0,0.0,0.0,0.0,880.0,-22.0,858.0,0.0,0.0,858.0,857.35,-0.65,524.3,1.64,1.64,1.635228,529.8,1.62,1.62,1.618773,
08/31/2014,2630.0,2630.0,-1397.0,1397.0,1233.0,0.0,-1390.0,905.0,485.0,,0.0,-157.0,-93.0,75.0,113.0,-38.0,,,18.0,-250.0,87.0,-163.0,0.0,0.0,0.0,-163.0,7.0,-156.0,0.0,0.0,-156.0,-156.0,0.0,505.2,-0.31,-0.31,-0.31,505.2,-0.31,-0.31,-0.31,
11/30/2014,2870.0,2870.0,-1459.0,1459.0,1411.0,0.0,-992.0,580.0,412.0,,0.0,419.0,-92.0,77.0,115.0,-38.0,0.0,0.0,15.0,327.0,-100.0,227.0,-16.0,-16.0,0.0,243.0,0.0,243.0,0.0,0.0,243.0,227.0,0.0,484.4,0.5,0.47,0.47,489.4,0.5,0.47,0.47,
02/28/2015,5197.0,5197.0,-2158.0,2158.0,3039.0,0.0,-1019.0,647.0,372.0,,0.0,2020.0,-58.0,64.0,92.0,-28.0,,,-6.0,1962.0,-550.0,1412.0,-7.0,-7.0,0.0,1419.0,6.0,1425.0,0.0,0.0,1425.0,1418.0,0.0,483.4,2.95,2.93,2.93,488.1,2.92,2.9,2.9,
05/31/2015,4579.0,4579.0,-1843.0,1843.0,2736.0,0.0,-1092.0,718.0,374.0,,0.0,1644.0,-88.0,78.0,96.0,-18.0,,,10.0,1556.0,-401.0,1155.0,0.0,0.0,0.0,1155.0,-14.0,1141.0,0.0,0.0,1141.0,1201.0,60.0,472.8,2.41,2.41,2.540186,477.2,2.39,2.39,2.515733,
08/31/2015,2355.0,2355.0,-1359.0,1359.0,996.0,0.0,-1556.0,741.0,422.0,,393.0,-560.0,-124.0,109.0,130.0,-21.0,,,15.0,-684.0,187.0,-497.0,-5.0,-5.0,0.0,-492.0,-3.0,-495.0,0.0,0.0,-495.0,205.032,705.032,468.1,-1.06,-1.07,0.438009,468.1,-1.06,-1.07,0.436157,
11/30/2015,2219.0,2219.0,-1318.0,1318.0,901.0,0.0,-1173.0,543.0,364.0,,266.0,-272.0,-134.0,109.0,129.0,-20.0,,,25.0,-406.0,137.0,-269.0,-12.0,-12.0,0.0,-257.0,4.0,-253.0,0.0,0.0,-253.0,-77.809,187.191,454.1,-0.56,-0.58,-0.171348,454.1,-0.56,-0.58,-0.171348,
02/29/2016,4532.0,4532.0,-1934.0,1934.0,2598.0,0.0,-935.0,586.0,340.0,,9.0,1663.0,-256.0,86.0,103.0,-17.0,,,170.0,1407.0,-350.0,1057.0,-3.0,-3.0,0.0,1060.0,3.0,1063.0,0.0,0.0,1063.0,1126.85,66.85,438.6,2.42,2.42,2.569197,441.7,2.41,2.4,2.551347,
05/31/2016,4189.0,4189.0,-1809.0,1809.0,2380.0,0.0,-1131.0,729.0,387.0,,15.0,1249.0,-51.0,86.0,100.0,-14.0,,,-35.0,1198.0,-483.0,715.0,0.0,0.0,0.0,715.0,2.0,717.0,0.0,0.0,717.0,952.5,235.5,437.1,1.64,1.64,2.179135,440.3,1.63,1.63,2.164863,
08/31/2016,2562.0,2562.0,-1424.0,1424.0,1138.0,0.0,-1403.0,975.0,421.0,,7.0,-265.0,57.0,81.0,104.0,-23.0,,,-138.0,-208.0,1.0,-207.0,-2.0,-2.0,0.0,-205.0,14.0,-191.0,0.0,0.0,-191.0,2.736992,195.736992,437.7,-0.44,-0.44,0.006253,437.7,-0.44,-0.44,0.006253,
11/30/2016,2650.0,2650.0,-1391.0,1391.0,1259.0,0.0,-1012.0,585.0,370.0,,57.0,247.0,-161.0,118.0,136.0,-18.0,,,43.0,86.0,-61.0,25.0,-10.0,-10.0,0.0,35.0,-6.0,29.0,0.0,0.0,29.0,94.134615,75.134615,438.1,0.07,0.05,0.21487,441.7,0.07,0.05,0.21487,
02/28/2017,5074.0,5074.0,-2122.0,2122.0,2952.0,0.0,-1088.0,657.0,381.0,,50.0,1864.0,4.0,84.0,102.0,-18.0,,,-88.0,1868.0,-505.0,1363.0,-3.0,-3.0,0.0,1366.0,2.0,1368.0,0.0,0.0,1368.0,1421.35,56.35,438.7,3.12,3.11,3.239913,442.3,3.09,3.08,3.207402,
05/31/2017,4230.0,4230.0,-1844.0,1844.0,2386.0,0.0,-1222.0,789.0,417.0,,16.0,1164.0,-87.0,83.0,100.0,-17.0,,,4.0,1077.0,-230.0,847.0,0.0,0.0,0.0,847.0,-4.0,843.0,0.0,0.0,843.0,847.956522,4.956522,439.1,1.92,1.92,1.931124,443.4,1.9,1.9,1.911178,
08/31/2017,2686.0,2686.0,-1346.0,1346.0,1340.0,0.0,-1403.0,938.0,439.0,,26.0,-63.0,-82.0,91.0,114.0,-23.0,0.0,,-9.0,-145.0,170.0,25.0,0.0,0.0,0.0,25.0,-5.0,20.0,0.0,0.0,20.0,82.0,62.0,439.5,0.05,0.05,0.186576,444.4,0.05,0.05,0.186576,
11/30/2017,2658.0,2658.0,-1346.0,1346.0,1312.0,0.0,-1070.0,664.0,382.0,,24.0,242.0,-12.0,109.0,124.0,-15.0,,,-97.0,230.0,-60.0,170.0,-1.0,-1.0,0.0,171.0,-2.0,169.0,0.0,0.0,169.0,183.0,15.0,440.2,0.38,0.38,0.41572,445.3,0.38,0.38,0.413685,
02/28/2018,5019.0,5019.0,-2053.0,2053.0,2966.0,0.0,-1070.0,652.0,394.0,,24.0,1896.0,-57.0,81.0,105.0,-24.0,,,-24.0,1839.0,-381.0,1458.0,-2.0,-2.0,0.0,1460.0,-1.0,1459.0,0.0,0.0,1459.0,1434.0,-23.0,441.0,3.31,3.3,3.251701,445.5,3.27,3.27,3.218373,
05/31/2018,4511.375,,,,2499.30175,,,,,,,1382.0,,,,,,,,1307.2,,977.25,,,,,,977.25,,,977.25,986.0,,,2.18,2.18,2.141,,2.18,2.18,2.141,
08/31/2018,2741.625,,,,1350.2503125,,,,,,,-85.533,,,,,,,,-117.54,,-112.25,,,,,,-112.25,,,-112.25,-89.9,,,-0.313,-0.313,-0.104,,-0.313,-0.313,-0.104,
