Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
09/30/2011,2037,2107,474,-544.0,,-544.0,,,0.0,-1317,-1577,0,0.0,0.0,-1577,-1577,0,7,,,15,32,-17,0,238,-576,-214,-358,-47,1904,-2215,0,0.0,0.0,-4,-537,-393,
12/31/2011,1442,725,507,210.0,,210.0,,,0.0,-6236,-2178,0,0.0,0.0,-2178,-2178,0,-7,,,-17,11,-28,0,-4034,298,-267,543,-38,1985,-1404,11,11.0,0.0,11,-37,-4533,
03/31/2012,2499,1315,984,200.0,,200.0,,,0.0,-1292,-1994,0,0.0,0.0,-1994,-1994,0,0,0.0,0.0,56,0,56,0,646,-28,-217,191,-146,2394,-2057,3,3.0,0.0,-5,128,1307,
06/30/2012,3942,1846,1030,1066.0,,1066.0,,,0.0,467,-2065,0,0.0,0.0,-2065,-2065,0,0,0.0,0.0,1,3,-2,0,2531,594,-242,854,-10,2884,-2020,-3,,,-15,-197,4806,
09/30/2012,3383,1833,1118,432.0,,432.0,,,0.0,-3456,-1945,0,0.0,0.0,-1945,-1945,0,-2038,0.0,-2038.0,-73,15,-88,0,600,1157,-220,1397,-65,2652,-1190,0,,,-20,52,1136,
12/31/2012,781,1194,756,-1169.0,,-1169.0,,,0.0,776,-2064,0,0.0,0.0,-2064,-2064,0,2038,,,-10,0,-10,0,812,-6464,-260,-1030,-26,1106,-2110,-5098,0.0,-5098.0,-76,9,-4898,
03/31/2013,819,1175,1465,-1821.0,,-1821.0,,,0.0,-510,-1940,0,0.0,0.0,-1940,-1940,0,0,0.0,0.0,-82,-82,0,0,1512,2167,-218,2408,550,3042,-1184,0,0.0,0.0,-23,-255,2221,
06/30/2013,4893,1414,113,3366.0,,3366.0,,,0.0,-5291,-1893,0,0.0,0.0,-1893,-1893,0,0,0.0,0.0,-2110,1,-2111,0,-1288,-314,-256,32,-452,8375,-7891,0,0.0,0.0,-90,-234,-946,
09/30/2013,3860,1717,3000,-857.0,,-857.0,,,0.0,-4788,-1947,0,0.0,0.0,-1947,-1947,0,0,0.0,0.0,16,16,0,0,-2857,1466,-1045,4983,-29,9651,-4639,-2438,0.0,-2438.0,-34,120,658,
12/31/2013,3058,1040,3463,-1445.0,,-1445.0,,,0.0,-3773,-1785,0,0.0,0.0,-1785,-1785,0,0,0.0,0.0,449,961,-512,0,-2437,412,-168,583,87,6973,-6477,0,0.0,0.0,-3,-31,-334,
03/31/2014,1976,213,1607,156.0,,156.0,,,0.0,-2837,-1759,0,0.0,0.0,-1759,-1759,0,0,0.0,0.0,0,0,0,0,-1078,718,-571,1303,384,5683,-4764,0,0.0,0.0,-14,-452,-595,
06/30/2014,3830,278,1819,1733.0,,1733.0,,,0.0,-4763,-1666,0,0.0,0.0,-1666,-1666,0,0,0.0,0.0,-50,0,-50,0,-3047,1300,-622,1929,-125,7014,-4960,0,0.0,0.0,-7,71,438,
09/30/2014,1088,1471,1870,-2253.0,,-2253.0,,,0.0,-3825,-1664,0,0.0,0.0,-1664,-1664,0,0,0.0,0.0,-1,0,-1,0,-2160,1342,-588,2154,-1195,9151,-5802,-168,0.0,-168.0,-56,-409,-1804,
12/31/2014,3167,1987,1942,,,,,,0.0,-3934,-2002,0,,0.0,-2002,-2002,0,0,0.0,0.0,-3,-1,-2,0,-1929,2315,-1384,6854,1327,9525,-3998,-3109,0.0,-3109.0,-46,-440,1108,
03/31/2015,375,945,1538,-140.0,343.0,-483.0,-1968.0,-1968.0,0.0,-5468,-1684,0,0.0,0.0,-1684,-1684,0,0,0.0,0.0,-1051,0,-1051,0,-2733,2359,-488,3144,98,6155,-3109,-300,0.0,-300.0,3,-444,-3178,
06/30/2015,5786,1117,2389,1309.0,250.0,1059.0,971.0,971.0,0.0,-5855,-1805,0,0.0,0.0,-1805,-1805,0,0,0.0,0.0,123,0,123,0,-4173,2395,-598,4735,-300,10343,-5308,-1699,0.0,-1699.0,-43,-475,1851,
09/30/2015,3308,1359,1981,,,,,,0.0,-8856,-1835,0,0.0,0.0,-1835,-1835,0,0,0.0,0.0,0,0,0,0,-7021,3590,-592,5101,689,8318,-3906,-889,0.0,-889.0,-30,-236,-2194,
12/31/2015,2222,6266,2109,,,,,,0.0,-7531,-2550,0,0.0,0.0,-2550,-2550,0,0,0.0,0.0,0,0,0,0,-4981,5342,-564,6571,641,10863,-4933,-632,0.0,-632.0,-33,-369,-336,
03/31/2016,-108,1953,2292,-1721.0,731.0,-2452.0,-2632.0,-2632.0,0.0,-6640,-2285,0,0.0,0.0,-2285,-2285,0,0,0.0,0.0,-516,0,-516,0,-3839,6427,-588,7422,738,12234,-5550,-300,0.0,-300.0,-107,152,-169,
06/30/2016,6183,2866,2369,742.0,706.0,36.0,-313.0,-313.0,850.0,-5517,-1747,0,0.0,0.0,-1747,-1747,0,0,0.0,0.0,-283,0,-283,0,-2632,3544,-600,3411,-1032,9266,-4823,0,0.0,0.0,-117,-104,4106,
09/30/2016,6514,2773,2464,-186.0,757.0,-943.0,1674.0,1674.0,-265.0,-11842,-2070,0,0.0,0.0,-2070,-2070,0,0,0.0,0.0,-3,0,-3,0,-9436,2174,-594,4182,5,9098,-4921,-1201,0.0,-1201.0,52,4,-3150,
12/31/2016,4018,1835,2694,-1668.0,34.0,-1702.0,1851.0,1851.0,496.0,-11644,-2282,0,0.0,0.0,-2282,-2282,0,0,0.0,0.0,1674,0,1674,0,-10728,4932,-586,6012,7,11438,-5433,-999,0.0,-999.0,9,-265,-2959,
03/31/2017,2041,2608,2743,121.0,1036.0,-915.0,-3674.0,-3674.0,-15.0,-6805,-1730,0,0.0,0.0,-1730,-1730,0,0,0.0,0.0,0,0,0,0,-4643,5047,-573,5779,-360,11280,-5141,0,0.0,0.0,-144,103,386,
06/30/2017,5518,1660,3194,1467.0,267.0,1200.0,-691.0,-691.0,46.0,-7118,-2456,0,0.0,0.0,-2456,-2456,0,0,0.0,0.0,-2,0,-2,0,-4304,5493,-572,7608,-53,15851,-8190,-1496,0.0,-1496.0,-93,106,3999,
09/30/2017,2881,-2981,3147,4478.0,2214.0,2264.0,-1696.0,-1696.0,-11.0,-8838,-2167,0,0.0,0.0,-2167,-2167,0,0,0.0,0.0,-3,0,-3,0,-3484,2139,-556,3253,39,15917,-12703,-1498,0.0,-1498.0,951,153,-3665,
12/31/2017,6888,-5151,3177,5890.0,7363.0,-1473.0,3046.0,3046.0,154.0,4196,-2100,0,0.0,0.0,-2100,-2100,0,0,0.0,0.0,5,0,5,0,5819,-95,-532,1815,234,9139,-7558,-513,985.0,-1498.0,-1019,-14,10975,
03/31/2018,448,1046,3581,-676.0,365.0,-1041.0,-3503.0,-3503.0,,-4562,-2272,0,0.0,0.0,-2272,-2272,0,0,0.0,0.0,0,0,0,0,-2456,3769,-566,4622,120,11334,-6832,0,0.0,0.0,-287,44,-301,
06/30/2018,5105,2390,3129,559.0,221.0,338.0,-973.0,-973.0,0.0,-5478,-2079,0,0.0,0.0,-2079,-2079,0,0,0.0,0.0,0,0,0,0,-3399,886,-538,339,524,11823,-12008,1161,1261.0,-100.0,-76,-289,224,
09/30/2018,3673,2534,3313,-1392.0,94.0,-1486.0,-782.0,-782.0,,-4535,-2211,0,,,-2211,-2211,0,0,0.0,0.0,0,0,0,0,-2324,3957,-586,4127,1051,9644,-6568,492,492.0,0.0,-76,-8,3087,
12/31/2018,6030,2044,3646,-3542.0,-792.0,-2750.0,3882.0,3882.0,0.0,-6188,-2199,0,0.0,0.0,-2199,-2199,0,0,0.0,0.0,0,0,0,0,-3989,2842,-552,2576,-509,11000,-7915,919,1109.0,-190.0,-101,-46,2638,
03/31/2019,-81,2157,4116,-1038.0,-253.0,-785.0,-5316.0,-5316.0,0.0,-3711,-2014,0,0.0,0.0,-2014,-2014,0,0,0.0,0.0,0,0,0,0,-1697,1077,-626,1939,959,11757,-10777,0,0.0,0.0,-236,0,-2715,
06/30/2019,5076,2418,3407,292.0,332.0,-40.0,-1041.0,-1041.0,0.0,-4429,-1462,0,0.0,0.0,-1462,-1462,0,0,0.0,0.0,0,0,0,0,-2967,-1289,-558,-1117,-23,8754,-9848,414,414.0,0.0,-28,42,-600,
09/30/2019,6553,2351,3309,-154.0,155.0,-309.0,1047.0,1047.0,0.0,-1551,-1376,0,0.0,0.0,-1376,-1376,0,0,0.0,0.0,0,0,0,0,-175,-2133,-608,-1663,-180,7324,-8807,49,49.0,0.0,89,-151,2718,
12/31/2019,3473,-194,3286,-1140.0,-367.0,-773.0,1521.0,1521.0,0.0,-1208,-2740,0,0.0,0.0,-2740,-2740,0,0,0.0,0.0,0,0,0,0,1532,-2332,-558,-1690,-1068,9102,-9724,-6,0.0,-6.0,-78,111,44,
03/31/2020,1561,294,3308,-280.0,188.0,-468.0,-1761.0,-1761.0,0.0,-6570,-1224,0,0.0,0.0,-1224,-1224,0,0,0.0,0.0,0,0,0,0,-5346,23680,-590,24537,13,35863,-11339,0,0.0,0.0,-267,-448,18223,
06/30/2020,-2815,-758,3265,-236.0,-212.0,-24.0,-5086.0,-5086.0,0.0,-5766,-1112,0,0.0,0.0,-1112,-1112,0,0,0.0,0.0,0,0,0,0,-4654,36,-2,262,833,17602,-18173,0,0.0,0.0,-224,19,-8526,
