Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
10/24/1992,13849,433,433,0.0,2484,,,3929,,,,,569,,,,,,7415,3662,5605.0,-1943.0,0.0,2772,,,,,2772,6434,,2109,2109,,,,1442,,,,,,50,,,50,3601,3269,,,,,2596,,,,,,2596,5865,9466,191.0,884,,,,,3308,4383,0.0,4383,13849,
01/30/1993,13563,397,397,0.0,2849,,,3258,,,,,466,,,,,,6970,3725,5670.0,-1945.0,0.0,2868,,,,,2868,6593,,994,994,,,,907,,,,,,1176,,,1176,3077,3171,,,,,2610,,,,,,2610,5781,8858,219.0,955,,,0.0,,3531,4705,0.0,4705,13563,
05/01/1993,13545,580,580,0.0,2547,,,3270,,,,,509,,,,,,6906,3678,5549.0,-1871.0,0.0,2961,,,,,2961,6639,,2105,2105,,,,1548,,,,,,98,,,98,3751,2514,,,,,2554,,,,,,2554,5068,8819,214.0,966,,,0.0,,3546,4726,0.0,4726,13545,
07/31/1993,13593,243,243,0.0,2470,,,3649,,,,,524,,,,,,6886,3709,5651.0,-1942.0,0.0,2998,,,,,2998,6707,,1851,1851,,,,1716,,,,,,96,,,96,3663,2477,,,,,2576,,,,,,2576,5053,8716,243.0,976,,,0.0,,3658,4877,0.0,4877,13593,
10/30/1993,15056,315,315,0.0,2846,,,4417,,,,,629,,,,,,8207,3737,5753.0,-2016.0,0.0,3112,,,,,3112,6849,,2444,2444,,,,2885,,,,,,94,,,94,5423,1979,,,,,2674,,,,,,2674,4653,10076,238.0,983,,,0.0,,3759,4980,0.0,4980,15056,
01/29/1994,14788,173,17,156.0,4679,,,3545,,,,,168,,,,,,8565,3818,5819.0,-2001.0,0.0,2405,,,,,2405,6223,,1034,1034,,,,1632,,,,,,1217,,,1217,3883,2929,,,,,2611,,,,,,2611,5540,9423,648.0,1003,,,0.0,,3714,5365,0.0,5365,14788,
04/30/1994,14899,371,371,0.0,4399,,,3573,,,,,129,,,,,,8472,3801,5725.0,-1924.0,1340.0,1286,,,,,1286,6427,,2191,2191,,,,1709,,,,,,111,,,111,4011,2925,,,,,2623,,,,,,2623,5548,9559,264.0,1020,,,0.0,,4056,5340,0.0,5340,14899,
07/30/1994,15434,492,110,382.0,4063,,,4163,,,,,175,,,,,,8893,3804,5798.0,-1994.0,0.0,2737,,,,,2737,6541,,1960,1960,,,,1937,,,,,,111,,,111,4008,3384,,,,,2661,,,,,,2661,6045,10053,639.0,1022,,,0.0,,3720,5381,0.0,5381,15434,
10/29/1994,16578,314,314,0.0,4618,,,4833,,,,,209,,,,,,9974,3864,5935.0,-2071.0,1352.0,1388,,,,,1388,6604,,2610,2610,,,,2253,,,,,,110,,,110,4973,3380,,,,,2730,,,,,,2730,6110,11083,291.0,1042,,,0.0,,4162,5495,0.0,5495,16578,
01/28/1995,16202,261,54,207.0,5159,,,3876,,,,,172,,,,,,9468,3954,5951.0,-1997.0,0.0,2780,,,,,2780,6734,,2274,2274,,,,2092,,,,,,115,,,115,4481,3335,,,,,2771,,,,,,2771,6106,10587,630.0,1030,,,0.0,,3955,5615,0.0,5615,16202,
04/29/1995,16059,255,120,135.0,4668,,,3994,,,,,143,,,,,,9060,3957,5884.0,-1927.0,0.0,3042,,,,,3042,6999,,2086,2086,,,,2160,,,,,,115,,,115,4361,3167,,,,,2862,,,,,,2862,6029,10390,624.0,1112,,,0.0,,3933,5669,0.0,5669,16059,
07/29/1995,16467,260,260,0.0,4426,,,4398,,,,,195,,,,,,9279,3993,6002.0,-2009.0,0.0,3195,,,,,3195,7188,,2038,2038,,,,2181,,,,,,113,,,113,4332,3526,,,,,2955,,,,,,2955,6481,10813,616.0,1121,,,0.0,,3917,5654,0.0,5654,16467,
10/28/1995,17857,321,101,220.0,4737,,,5105,,,,,256,,,,,,10419,4202,6293.0,-2091.0,0.0,3236,,,,,3236,7438,,2688,2688,,,,2398,,,,,,113,,,113,5199,4023,,,,,2703,,,,,,2703,6726,11925,610.0,1114,,,0.0,,4208,5932,0.0,5932,17857,
01/27/1996,17102,173,0,173.0,5207,,,3935,,,,,94,,,,,,9409,4281,6408.0,-2127.0,0.0,3412,,,,,3412,7693,,2404,2404,,,,1509,,,,,,107,,,107,4020,4080,,,,,3118,,,,,,3118,7198,11218,603.0,1112,,,0.0,,4169,5884,0.0,5884,17102,
04/27/1996,16782,145,42,103.0,4756,,,3992,,,,,92,,,,,,8985,4245,6281.0,-2036.0,1637.0,1915,,,,,1915,7797,,2129,2129,,,,1385,,,,,,107,,,107,3621,4077,,,,,3194,,,,,,3194,7271,10892,361.0,1140,,,0.0,,4389,5890,0.0,5890,16782,
07/27/1996,17423,239,27,212.0,4563,,,4637,,,,,95,,,,,,9534,4317,6444.0,-2127.0,1626.0,1946,,,,,1946,7889,,2271,2271,,,,1948,,,,,,106,,,106,4325,4032,,,,,3181,,,,,,3181,7213,11538,395.0,1154,,,0.0,,4336,5885,0.0,5885,17423,
10/26/1996,19370,180,0,180.0,4987,,,5748,,,,,118,,,,,,11033,4450,6770.0,-2320.0,1711.0,2176,,,,,2176,8337,,2968,2968,,,,2120,,,,,,96,,,96,5184,4663,,,,,3226,,,,,,3226,7889,13073,388.0,1446,,,0.0,,4463,6297,0.0,6297,19370,
01/25/1997,22088,131,0,131.0,5757,,,5722,,,,,102,,,,,,11712,5014,7715.0,-2701.0,1605.0,3757,,,,,3757,10376,,1558,1558,,,,4200,,,,,,2208,,,2208,7966,4565,,,,,3526,,,,,,3526,8091,16057,426.0,1416,,,0.0,,4110,5952,79.0,6031,22088,
04/26/1997,24536,2553,85,2468.0,4481,,,5830,,,,,62,,,,,,12926,5024,7994.0,-2970.0,1593.0,4993,,,,,4993,11610,,3210,3210,,,,2847,,,,,,78,,,78,6135,7538,,,,,3687,,,,,,3687,11225,17360,416.0,2667,,,0.0,,4093,7176,0.0,7176,24536,
07/26/1997,23245,703,25,678.0,4261,,,6224,,,,,88,,,,,,11276,5098,8167.0,-3069.0,1682.0,5189,,,,,5189,11969,,3215,3215,,,,1491,,,,,,81,,,81,4787,7492,,,,,3771,,,,,,3771,11263,16050,450.0,2697,,,0.0,,4048,7195,0.0,7195,23245,
10/25/1997,24192,208,208,0.0,4614,,,7249,,,,,78,,,,,,12149,5130,8278.0,-3148.0,1737.0,5176,,,,,5176,12043,,3859,3859,,,,2218,,,,,,92,,,92,6169,7487,,,,,3330,,,,,,3330,10817,16986,439.0,2727,,,0.0,,4040,7206,0.0,7206,24192,
01/31/1998,23493,1360,79,1281.0,3819,,,6162,0.0,0.0,6162.0,,143,,,,,,11484,5329,8274.0,-2945.0,1774.0,4906,2940.0,,,,1966,12009,,1551,1551,,,,1866,,,,,,2720,,,2720,6137,6986,,,,,3013,,,,,,3013,9999,16136,477.0,2766,,,0.0,,4114,7357,0.0,7357,23493,
05/02/1998,22810,1250,0,1250.0,3477,,,5922,0.0,0.0,5922.0,,147,,,,,,10796,5344,8416.0,-3072.0,1781.0,4889,2958.0,,,,1931,12014,,3239,3239,,,,1949,,,,,,124,,,124,5312,6983,,,,,3070,,,,,,3070,10053,15365,459.0,2834,,,0.0,,4152,7445,0.0,7445,22810,
08/01/1998,22932,1098,0,1098.0,3358,,,6244,0.0,0.0,6244.0,,138,,,,,,10838,5301,8462.0,-3161.0,1847.0,4946,2933.0,,,,2013,12094,,3415,3415,,,,2188,,,,,,124,,,124,5727,6755,,,,,3079,,,,,,3079,9834,15561,493.0,2867,,,0.0,,4011,7371,0.0,7371,22932,
10/31/1998,24529,1584,0,1584.0,3573,,,7017,0.0,0.0,7017.0,,147,,,,,,12321,5332,8599.0,-3267.0,1896.0,4980,2923.0,,,,2057,12208,,4000,4000,,,,3143,,,,,,123,,,123,7266,6737,,,,,3105,,,,,,3105,9842,17108,483.0,2877,,,0.0,,4061,7421,0.0,7421,24529,
01/31/1999,23638,511,96,415.0,4415,,,6031,0.0,0.0,6031.0,,168,,,,,,11125,5458,8333.0,-2875.0,1961.0,5094,2933.0,,,,2161,12513,,1496,1496,,,,2362,,,,,,2112,,,2112,5970,7143,,,,,3356,,,,,,3356,10499,16469,475.0,2850,,,0.0,,3844,7169,0.0,7169,23638,
05/01/1999,23788,418,168,250.0,4312,,,6049,0.0,0.0,6049.0,0.0,180,,,,,,10959,5462,8351.0,-2889.0,2010.0,5357,3229.0,,,,2128,12829,,3281,3281,,,,2545,,,,,,156,,,156,5982,6821,,,,,3436,,,,,,3436,10257,16239,464.0,3219,,,0.0,,3866,7549,0.0,7549,23788,
07/31/1999,23930,702,377,325.0,4039,,,6308,0.0,0.0,6308.0,0.0,139,,,,,,11188,5459,8472.0,-3013.0,1880.0,5403,3219.0,,,,2184,12742,,3345,3345,,,,2858,,,,,,120,,,120,6323,6817,,,,,3449,,,,,,3449,10266,16589,457.0,3232,,,0.0,,3652,7341,0.0,7341,23930,
10/30/1999,25112,853,392,461.0,4455,,,6971,0.0,0.0,6971.0,0.0,151,,,,,,12430,5434,8586.0,-3152.0,1812.0,5436,3173.0,,,,2263,12682,,3784,3784,,,,3848,,,,,,155,,,155,7787,6504,,,,,3454,,,,,,3454,9958,17745,457.0,3236,,,0.0,,3674,7367,0.0,7367,25112,
01/29/2000,20908,1155,0,1155.0,921,,,5947,0.0,0.0,5947.0,0.0,151,,,,,,8174,5271,8128.0,-2857.0,0.0,7463,2999.0,,,,4464,12734,,3158,3158,,,,955,,,,,,159,,,159,4272,5844,,,,,3564,,,,,,3564,9408,13680,446.0,3266,,,0.0,,3516,7228,0.0,7228,20908,
04/29/2000,19999,628,628,0.0,1072,1072.0,,5896,,,,,415,,,,,,8011,5155,8167.0,-3012.0,1599.0,5234,3012.0,3012.0,0.0,,2222,11988,,3235,3235,,,,568,,,,,,167,,,167,3970,5593,,,,,3402,,,,,,3402,8995,12965,430.0,3275,,,0.0,3397.0,-68,7034,,7034,19999,
07/29/2000,20080,641,641,0.0,1162,1162.0,,6041,,,,,167,,,,,,8011,5136,8232.0,-3096.0,1630.0,5303,2987.0,2987.0,0.0,,2316,12069,,3481,3481,,,,653,,,,,,149,,,149,4283,5411,,,,,3433,,,,,,3433,8844,13127,420.0,3284,,,0.0,3328.0,-79,6953,,6953,20080,
10/28/2000,20413,183,183,0.0,1151,1151.0,,6842,0.0,0.0,6842.0,0.0,143,,,,,,8319,5153,8364.0,-3211.0,1583.0,5358,2967.0,2967.0,0.0,,2391,12094,,3840,3840,,,,607,,,,,,166,,,166,4613,5423,,,,,3503,,,,,,3503,8926,13539,407.0,3288,,,0.0,3265.0,-86,6874,0.0,6874,20413,
01/27/2001,19742,944,944,0.0,893,893.0,,5269,0.0,0.0,5269.0,0.0,151,,,,,,7257,5114,8062.0,-2948.0,0.0,7371,2870.0,2870.0,0.0,,4501,12485,,3877,3877,,,,250,,,,,,108,,,108,4235,5448,,,,,3800,,,,,,3800,9248,13483,399.0,3294,,,0.0,2636.0,-70,6259,0.0,6259,19742,
04/28/2001,19542,568,568,0.0,946,946.0,,5372,,,,,174,,,,,,7060,5024,8042.0,-3018.0,0.0,7458,2942.0,2376.0,566.0,,4516,12482,,3786,3786,,,,710,,,,,,123,,,123,4619,4746,,,,,3962,,,,,,3962,8708,13327,388.0,3301,,,0.0,2644.0,-118,6215,0.0,6215,19542,
07/28/2001,17377,1696,1696,0.0,737,737.0,,5413,,,,,175,,,,,,8021,4964,8101.0,-3137.0,0.0,4392,2908.0,2358.0,550.0,,1484,9356,,3503,3503,,,,928,,,,,,141,,,141,4572,4545,,,,,2172,,,,,,2172,6717,11289,380.0,3311,,,0.0,2528.0,-131,6088,0.0,6088,17377,
10/27/2001,18402,1791,1791,0.0,824,824.0,,6273,0.0,0.0,6273.0,0.0,173,,,,,,9061,4949,8173.0,-3224.0,0.0,4392,2883.0,2341.0,542.0,,1509,9341,,4005,4005,,,,926,,,,,,129,,,129,5060,5193,,,,,2086,,,,,,2086,7279,12339,371.0,3316,,,0.0,2525.0,-149,6063,0.0,6063,18402,
01/26/2002,18048,2840,2840,0.0,698,698.0,,4930,0.0,0.0,4930.0,0.0,209,,,,,,8677,4989,8317.0,-3328.0,0.0,4382,2740.0,2740.0,0.0,,1642,9371,,3465,3465,,,,935,,,,,,99,,,99,4499,5179,,,,,2241,,,,,,2241,7420,11919,363.0,3330,,,0.0,2573.0,-137,6129,0.0,6129,18048,
04/27/2002,17468,2274,2274,0.0,785,785.0,,4902,0.0,0.0,4902.0,0.0,229,,,,,,8190,4921,8385.0,-3464.0,0.0,4357,2836.0,2320.0,516.0,,1521,9278,,3437,3437,,,,263,,,,,,96,,,96,3796,5162,,,,,2265,,,,,,2265,7427,11223,353.0,3398,,,0.0,2626.0,-132,6245,0.0,6245,17468,
07/27/2002,17079,2004,2004,0.0,695,695.0,,5002,0.0,0.0,5002.0,0.0,132,,,,,,7833,4889,8464.0,-3575.0,0.0,4357,2825.0,2312.0,513.0,,1532,9246,,3370,3370,,,,31,,,,,,88,,,88,3489,5172,,,,,2255,,,,,,2255,7427,10916,345.0,3409,,,0.0,2573.0,-164,6163,0.0,6163,17079,
10/26/2002,17782,1748,1748,0.0,764,764.0,,5943,0.0,0.0,5943.0,0.0,137,,,,,,8592,4866,8228.0,-3362.0,0.0,4324,2808.0,2302.0,506.0,,1516,9190,,3988,3988,,,,43,,,,,,161,,,161,4192,5169,,,,,2203,,,,,,2203,7372,11564,339.0,3414,,,0.0,2662.0,-197,6218,0.0,6218,17782,
01/25/2003,17787,2474,2474,0.0,224,224.0,,2970,0.0,0.0,2970.0,0.0,90,,,,,,5758,3604,5726.0,-2122.0,0.0,8425,35.0,35.0,0.0,,8390,12029,,2274,2274,,,,289,,,,,,0,,,0,2563,4897,,,,,3957,,,,,,3957,8854,11417,333.0,3423,,,0.0,2817.0,-203,6370,0.0,6370,17787,
04/26/2003,18110,2642,2642,0.0,718,718.0,,5086,0.0,0.0,5086.0,0.0,268,,,,,,8714,4820,8186.0,-3366.0,0.0,4576,2785.0,2306.0,479.0,,1791,9396,,3304,3304,,,,314,,,,,,113,,,113,3731,5534,,,,,2383,,,,,,2383,7917,11648,325.0,3479,,,0.0,2844.0,-186,6462,0.0,6462,18110,
07/26/2003,18059,2631,2631,0.0,713,713.0,,5175,0.0,0.0,5175.0,0.0,128,,,,,,8647,4829,8165.0,-3336.0,0.0,4583,2780.0,2311.0,469.0,,1803,9412,,3302,3302,,,,667,,,,,,112,,,112,4081,5161,,,,,2375,,,,,,2375,7536,11617,317.0,3486,,,0.0,2798.0,-159,6442,0.0,6442,18059,
10/25/2003,18604,1939,1939,0.0,736,736.0,,6060,0.0,0.0,6060.0,0.0,172,,,,,,8907,4859,8323.0,-3464.0,0.0,4838,2770.0,2311.0,459.0,,2068,9697,,3722,3722,,,,531,,,,,,197,,,197,4450,5138,,,,,2513,,,,,,2513,7651,12101,310.0,3505,,,0.0,2844.0,-156,6503,0.0,6503,18604,
01/31/2004,18300,2994,2994,0.0,233,233.0,,3156,0.0,0.0,3156.0,0.0,130,,,,,,6513,3515,5637.0,-2122.0,0.0,8272,42.0,42.0,0.0,,8230,11787,,2551,2551,,,,260,,,,,,943,,,943,3754,5114,,,,,4007,,,,,,4007,9121,12875,304.0,3531,,,0.0,1728.0,-138,5425,0.0,5425,18300,
05/01/2004,18160,3027,3027,,243,243.0,,3338,,,,43.0,131,,,,,,6739,3462,5640.0,-2178.0,,7959,42.0,42.0,0.0,,7917,11421,,2411,2411,,,,277,,,,,,875,,,875,3563,5113,,,,,3886,,,,,,3886,8999,12562,297.0,3717,,,,1735.0,-151,5598,,5598,18160,
07/31/2004,16541,7414,7414,,227,227.0,,3430,,,,-43.0,132,,,,,,11203,3464,5704.0,-2240.0,,1874,39.0,39.0,0.0,,1835,5338,,1377,1377,,,,1185,,,,,,2286,,,2286,4848,3960,,,,,2131,,,,,,2131,6091,10939,291.0,3774,,,,1689.0,-152,5602,,5602,16541,
10/30/2004,14889,4577,4577,,225,225.0,,4237,,,,-43.0,161,,,,,,9200,3496,5813.0,-2317.0,,2193,40.0,40.0,0.0,,2153,5689,,1773,1773,,,,626,,,,,,1506,,,1506,3905,3955,,,,,2286,,,,,,2286,6241,10146,,3741,,,,1129.0,-127,4743,,4743,14889,
01/29/2005,14127,4649,4586,63.0,274,274.0,,3142,0.0,0.0,3167.0,-25.0,167,,,,,,8232,3575,5607.0,-2032.0,0.0,2320,43.0,43.0,0.0,,2277,5895,,1143,1143,,,,459,,,,,,1695,,,1695,3297,3464,,,,,2510,,,,,,2510,5974,9271,0.0,4176,,,0.0,812.0,-132,4856,0.0,4856,14127,
04/30/2005,13699,4051,75,3976.0,274,274.0,,3258,0.0,0.0,3258.0,0.0,236,,,,,,7819,3574,5677.0,-2103.0,0.0,2306,42.0,42.0,0.0,,2264,5880,,1155,1155,,,,336,,,,,,1506,,,1506,2997,3461,,,,,2479,,,,,,2479,5940,8937,0.0,4192,,,0.0,691.0,-121,4762,0.0,4762,13699,
07/30/2005,12912,3385,136,3249.0,212,212.0,,3445,0.0,0.0,3445.0,0.0,194,,,,,,7236,3625,5794.0,-2169.0,0.0,2051,0.0,0.0,0.0,,2051,5676,,1362,1362,,,,15,,,,,,1333,,,1333,2710,3457,,,,,2351,,,,,,2351,5808,8518,0.0,4090,,,0.0,290.0,14,4394,0.0,4394,12912,
10/29/2005,12393,2044,123,1921.0,279,279.0,,4229,0.0,0.0,4229.0,0.0,190,,,,,,6742,3655,5905.0,-2250.0,0.0,1996,40.0,40.0,0.0,,1956,5651,,1693,1693,,,,15,,,,,,1505,,,1505,3213,3454,,,,,2303,,,,,,2303,5757,8970,0.0,3434,,,0.0,0.0,-11,3423,0.0,3423,12393,
01/28/2006,12461,3016,2951,65.0,270,270.0,,3210,0.0,0.0,3210.0,0.0,206,,,,,,6702,3748,5845.0,-2097.0,0.0,2011,0.0,0.0,0.0,,2011,5759,,1171,1171,,,,21,,,,,,1570,,,1570,2762,3444,,,,,2248,,,,,,2248,5692,8454,0.0,3479,,,0.0,512.0,16,4007,0.0,4007,12461,
04/29/2006,12378,2791,2791,,269,269.0,,3355,0.0,0.0,3355.0,0.0,181,,,,,,6596,3787,5950.0,-2163.0,0.0,1995,0.0,0.0,0.0,,1995,5782,,1219,1219,,,,345,,,,,,1205,,,1205,2769,3116,,,,,2244,,,,,,2244,5360,8129,0.0,3559,,,0.0,680.0,10,4249,0.0,4249,12378,
07/29/2006,12263,2374,2374,,330,330.0,,3461,0.0,0.0,3461.0,0.0,191,,,,,,6356,3897,6114.0,-2217.0,0.0,2010,0.0,0.0,0.0,,2010,5907,,1410,1410,,,,343,,,,,,1262,,,1262,3015,3114,,,,,2229,,,,,,2229,5343,8358,0.0,3481,,,0.0,409.0,15,3905,0.0,3905,12263,
10/28/2006,12818,1976,1976,,300,300.0,,4275,0.0,0.0,4275.0,0.0,202,,,,,,6753,4023,6320.0,-2297.0,0.0,2042,0.0,0.0,0.0,,2042,6065,,1806,1806,,,,341,,,,,,1339,,,1339,3486,3112,,,,,2220,,,,,,2220,5332,8818,0.0,3480,,,0.0,486.0,34,4000,0.0,4000,12818,
02/03/2007,12673,2747,2747,,263,263.0,,3400,0.0,0.0,3400.0,0.0,238,,,,,,6648,4162,6277.0,-2115.0,0.0,1863,0.0,0.0,0.0,,1863,6025,,1366,1366,,,,434,,,,,,1692,,,1692,3492,3010,,,,,1883,,,,,,1883,4893,8385,0.0,3542,,,0.0,922.0,-176,4288,0.0,4288,12673,
05/05/2007,13453,3068,3068,,501,501.0,,3497,0.0,0.0,3497.0,0.0,205,,,,,,7271,4294,6499.0,-2205.0,0.0,1888,0.0,0.0,0.0,,1888,6182,,1497,1497,,,,410,,,,,,1370,,,1370,3277,3706,,,,,1948,,,,,,1948,5654,8931,0.0,3585,,,0.0,1120.0,-183,4522,0.0,4522,13453,
08/04/2007,13079,2180,2180,0.0,624,624.0,,3649,0.0,0.0,3649.0,0.0,230,,,,,,6683,4570,6837.0,-2267.0,0.0,1826,,,,,1826,6396,,1635,1635,,,,105,,,,,,1492,,,1492,3232,3705,,,,,1900,,,,,,1900,5605,8837,0.0,3542,,,0.0,937.0,-237,4242,0.0,4242,13079,
11/03/2007,13967,1660,1660,,716,716.0,,4734,,,,,228,,,,,,7338,4745,7107.0,-2362.0,0.0,1884,,,,,1884,6629,,2322,2322,,,,304,,,,,,1435,,,1435,4061,3505,,,,,1910,,,,,,1910,5415,9476,0.0,3553,,,0.0,1154.0,-216,4491,0.0,4491,13967,
02/02/2008,14309,2471,2471,,430,430.0,,3641,,,,,209,,,,,,6751,4959,7178.0,-2219.0,0.0,2599,0.0,0.0,0.0,,2599,7558,,1472,1472,,,,203,203.0,0.0,0.0,,,1663,,,1663,3338,3505,,,,,2154,,,,,,2154,5659,8997,0.0,3564,,,0.0,1540.0,208,5312,0.0,5312,14309,
