Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
09/30/1995,16.320999,14.837,5.562,-2.823,,,-2.823,-1.255,,,,-1.255,,,,,,,,,,,,,,,,,,,,,,,,,,,16.320999,,,
12/31/1995,18.966999,15.049,5.929,-4.305,,,-4.305,2.294,,,,2.294,,,-5.562,,,-5.562,,,,,,,,,,5.562,,,,,,,,,,,,,,
03/31/1996,20.660999,24.969999,6.479,5.34,,,5.34,-16.128,,,,-16.128,,,-10.972,,,-10.972,,,,,,,,,,10.972,,,,,,,,,,,,,,
06/30/1996,26.243,24.176001,6.725,-6.523,,,-6.523,1.865,,,,1.865,,,-12.219,,,-12.219,,,,,,,,,,12.219,,,,,,,,,,,,,,
09/30/1996,28.698,19.891001,8.04,2.339,,,2.339,-1.572,,,,-1.572,,-12.486,-12.486,,,-12.486,,,,,,,,,,0.0,,,,,,,,,,,16.212,,,
12/31/1996,43.026,19.877,8.33,-0.782,,,-0.782,15.601,2.034,,3.944,9.623,,-13.577,-13.577,0.015,,-13.592,,,0.0,0.0,0.0,,,,,0.0,-1.236,0.0,-2.338,,,0.561,0.561,0.0,0.541,,28.213,0.0,0.0,
03/31/1997,29.584,31.942,9.01,-4.701,,,-4.701,-6.668,-5.835,,2.364,-3.197,,-66.208,-66.208,0.278,,-66.486,,,0.0,0.0,0.0,,,,,0.0,4.915,0.0,-2.348,,,7.911,7.911,0.0,-0.648,,-31.709,0.0,0.0,
06/30/1997,39.972,31.001,9.347,0.987,,,0.987,-1.363,-3.904,,-4.0,6.541,,-18.611,-18.611,0.005,,-18.616,,,0.0,0.0,0.0,,,,,0.0,4.897,0.0,-1.991,,,6.998,6.998,0.0,-0.11,,26.258,0.0,0.0,
09/30/1997,19.754,25.503,9.874,1.543,,,1.543,-17.164,,,,-17.164,,-12.032,-12.42,0.0,,-12.42,,,0.0,0.0,0.0,,,,,0.388,5.725,0.0,-13.424,,,18.689,18.689,0.0,0.46,,13.447,,,
12/31/1997,34.526,24.837,10.172,-4.904,,,-4.904,4.421,-10.464,,0.529,14.356,,-30.844,-30.972,0.0,,-30.972,,,0.0,0.0,0.0,,,,,0.128,1.324,0.0,-2.323,,,4.278,4.278,0.0,-0.631,,5.006,0.0,0.0,
03/31/1998,19.793,40.498,12.564,5.149,,,5.149,-38.418,-24.912,,1.248,-14.754,,-86.401,-86.273,0.167,,-86.44,,,0.0,0.0,0.0,,,,,-0.128,-1.319,0.0,-2.036,,,0.833,0.833,0.0,-0.116,,-67.927,0.0,0.0,
06/30/1998,41.625,38.655,13.08,-4.275,,,-4.275,-5.835,-8.976,,1.243,1.898,,-92.805,-92.805,0.021,,-92.826,,,0.0,0.0,0.0,,,,,0.0,62.395,0.0,62.707,,,2.503,2.503,0.0,-2.815,,11.215,0.0,0.0,
09/30/1998,22.007,32.854,14.621,-3.321,,,-3.321,-22.146999,,,,-22.146999,,-23.318001,-22.047,3.859,,-25.906,,,0.0,0.0,0.0,,,,,-1.271001,-1.679,0.0,-17.202,,,15.182,15.182,0.0,0.341,,-2.99,,,
12/31/1998,54.225,30.955,14.507,-0.696,,,-0.696,9.459,-11.829,,5.515,15.773,,-45.02,-37.999,0.001,,-38.0,,,0.0,0.0,0.0,,,,,-7.021,-13.316,0.0,-7.628,,,-5.537,2.564,-8.101,-0.151,,-4.111,0.0,0.0,
03/31/1999,53.186,47.707,14.344,-0.468,,,-0.468,-8.397,-19.558,,7.24,3.921,,-39.495,-39.251,0.07,,-39.321,,,0.0,0.0,0.0,,,,,-0.244,-2.08,0.0,-1.91,,,0.285,0.285,0.0,-0.455,,11.611,0.0,0.0,
06/30/1999,32.471001,38.757,15.957,-30.468,,,-30.468,8.225,,,,8.225,,-192.528,-31.737001,0.012,,-31.749001,,,0.0,0.0,0.0,,,,,-160.790999,151.594007,0.0,151.635007,,,0.285,0.285,0.0,-0.326,,-8.463,,,
09/30/1999,28.466999,32.426,,31.939,,,31.939,-52.368001,,,,-52.368001,,-135.293,-50.293998,0.028,,-50.321998,,,0.0,0.0,0.0,,,,,-84.999002,108.033996,0.0,90.318996,,,16.966,16.966,,0.749,,1.204,79.300003,14.4,
12/31/1999,37.792,34.292,18.132,4.435,,,4.435,-19.066999,-19.339,,7.679,-7.406999,,-28.514,-28.514,0.011,,-28.525,,,0.0,0.0,0.0,,,,,0.0,2.470001,0.0,45.122999,,,-42.344998,0.054,-42.398998,-0.308,,11.748,,,
03/31/2000,35.143002,50.487,18.534,-10.885,,,-10.885,-22.993,-26.437,,2.873,0.571,,-27.780001,-27.78,0.137,,-27.917,,,0.0,0.0,0.0,,,,,0.0,-7.637,0.0,-8.762,,,0.054,0.054,0.0,1.071,,-0.274,,,
06/30/2000,59.509998,43.823002,19.094,7.297,,,7.297,-10.704,-8.517,,-2.033,-0.154,,-86.426003,-30.822999,0.001,,-30.823999,,,0.0,0.0,0.0,,,,,-55.603004,25.855997,0.0,15.927997,,,9.805,9.805,0.0,0.123,,-1.06,,,
09/30/2000,28.469,39.065,16.469,25.303,,,25.303,-52.368,,,,-52.368,,-135.29,-50.291,0.03,,-50.321,,,0.0,0.0,0.0,,,,,-84.999,108.03,0.0,90.32,,,16.966,16.966,0.0,0.744,,1.209,,,
12/31/2000,55.031,40.178,21.43,-10.154,,,-10.154,3.577,-25.934,,7.989,21.522,,-13.728,-13.728,2.792,,-16.52,,,0.0,0.0,0.0,,,,,0.0,-23.723,0.0,-28.968,,,5.112,5.112,0.0,0.133,,17.58,,,
03/31/2001,60.009,48.74,22.116,84.188,,,84.188,-95.035,-62.893,,1.124,-33.266,,-37.08,-37.08,0.137,,-37.217,,,0.0,0.0,0.0,,,,,0.0,-15.432,0.0,-29.16,,,14.056,14.056,0.0,-0.328,,7.497,0.0,0.0,
06/30/2001,97.448,54.138,22.876,36.507,,,36.507,-16.073,,,,-16.073,,-73.545,-15.687,0.0,,-15.687,,,0.0,0.0,0.0,,,,,-57.858,-15.802,0.0,-16.819,,,1.238,1.238,0.0,-0.221,,8.101,,,
09/30/2001,77.46,51.922,24.224,39.079,,-6.6,45.679,-37.765,-44.72,,1.362,5.593,,-46.563,-46.563,0.428,,-46.991,,,0.0,0.0,0.0,,,,,0.0,-10.283,0.0,-18.56,,,8.199,10.979,-2.78,0.078,,20.614,,,
12/31/2001,128.442,50.466,21.648,35.605,,,35.605,20.723,,,,20.723,,-167.05,19.47,40.052,,-20.582,,,0.0,0.0,0.0,,,,,-186.52,86.505,0.0,170.549,,,-83.01,3.011,-86.021,-1.034,,47.897,,,
03/31/2002,42.909,69.236,23.893,40.296,,,40.296,-90.516,,,,-90.516,,-35.371,-34.935,0.682,,-35.617,,,0.0,0.0,0.0,,,,,-0.436,-12.683,0.0,28.269,,,-39.756,1.116,-40.872,-1.196,,-5.145,,,
06/30/2002,112.197,66.616,24.293,43.434,,,43.434,-22.146,,,,-22.146,,-74.207,-26.043,,,-26.043,,,0.0,0.0,0.0,,,,,-48.164,-1.385,0.0,-4.606,,,1.295,1.295,0.0,1.926,,36.605,,,
09/30/2002,70.588,60.118,25.494,41.265,,,41.265,-56.289,,,,-56.289,,-66.524,-33.465,0.34,,-33.805,,,0.0,0.0,0.0,,,,,-33.059,-29.948,0.0,21.62,,,-50.255,9.237,-59.492,-1.313,,-25.884,,,
12/31/2002,110.473999,59.655998,26.087,53.498001,,,53.498001,-28.767,-52.822,,2.554,21.501,,-42.203999,-31.894999,0.12,,-32.014999,,,0.0,0.0,0.0,,,,,-10.309,-2.705,-4.863,1.839,,,0.319,0.319,0.0,0.0,,65.565002,,,
03/31/2003,37.154999,78.065002,27.113001,44.368,,,44.368,-112.390999,-130.82,,14.114,4.315001,,-61.643002,-51.842,0.352,,-52.194,,,0.0,0.0,0.0,,,,,-9.801002,-4.153,-4.873,1.155,,,0.0,0.0,0.0,-0.435,,-28.641001,,,
06/30/2003,118.092003,75.920998,28.003,40.48,,,40.48,-26.312,-163.986,,-4.221,141.895,,-38.722,-38.81,0.302,,-39.112,,,0.0,0.0,0.0,,,,,0.088,8.244,-4.872,-0.181,,,12.094,12.094,0.0,1.203,,87.613998,,,
09/30/2003,68.140999,69.781998,28.660999,109.593002,,,109.593002,-139.895004,,,,-139.895004,,-178.287994,-41.764,0.486,,-42.25,,,0.0,0.0,0.0,,,,,-136.523994,257.210996,-5.077,253.451996,,,8.851,8.851,0.0,-0.015,,147.063995,,,
12/31/2003,93.216003,71.310997,31.003,62.444,,,62.444,-71.542,-158.716995,,2.51,84.664995,,-582.708008,-53.887002,0.054,,-53.941002,,,0.0,0.0,0.0,,,,,-528.821006,213.504,-4.904,200.766999,,,17.641001,17.641001,0.0,0.0,,-275.988007,,,
03/31/2004,83.517998,90.474998,34.380001,79.971001,,,79.971001,-121.307999,-96.978996,,11.308,-35.637003,,-75.103996,-63.678003,0.788,,-64.466003,,,0.0,0.0,0.0,,,,,-11.425993,-24.970001,-4.957,-23.161001,,,3.148,3.148,0.0,0.0,,-16.556,,,
06/30/2004,152.042999,89.282997,34.029999,68.185997,,,68.185997,-39.456001,-30.403,,5.39,-14.443001,,-60.330002,-51.494999,3.667,,-55.161999,,,0.0,0.0,0.0,,,,,-8.835003,-78.895003,-4.961,-79.407003,,,5.473,5.473,0.0,0.0,,12.818,,,
09/30/2004,129.225006,74.029999,35.501999,140.126007,,,140.126007,-120.432999,-57.769001,,,-62.663998,,8.842,-22.296,5.795,,-28.091,,,0.0,0.0,0.0,,,,,31.138,-140.733004,-4.967,-97.493002,,,1.127,1.127,0.0,-39.400002,,-2.666,,,
12/31/2004,156.408,78.752,36.595,66.078,,8.577,57.501,-25.017,-70.278,16.525,0.328,28.408,,-63.28,-43.172,0.337,,-43.509,,,0.0,0.0,0.0,,,,,-20.108,-13.631,-9.939,2.271,,,6.404,6.404,0.0,-12.367,,79.497,,,
03/31/2005,101.358,99.763,37.342,85.091,,15.68,69.411,-120.838,-123.61,,,2.772,,-386.713,-66.803,0.076,,-66.879,,,0.0,0.0,0.0,,,,,-319.91,181.524,-8.964,166.713,,,31.122,31.122,0.0,-7.347,,-103.831,,,
06/30/2005,183.753,86.772,39.113,106.153,,0.751,105.402,-48.285,-58.053,,,9.768,,-69.581,-67.725,26.162,,-93.887,,,0.0,0.0,0.0,,,,,-1.856,-93.573,-9.868,-89.922,,,12.132,12.132,0.0,-5.915,,20.599,,,
09/30/2005,112.235,75.541,40.646,74.241,0.954,-3.888,77.175,-78.193,-106.46,-0.749,-17.412,46.428,,-132.153,-62.992,11.259,,-74.251,,,0.0,0.0,0.0,,,,,-69.161,46.869,-14.726,193.852,,,-124.007,35.826,-159.833,-8.25,,26.951,2.88,1.716,
03/31/2006,138.649,87.213,43.778,78.939,4.795,-5.529,79.673,-71.281,-141.671,,3.959,66.431,,-132.669,-91.513,3.727,,-95.24,,,0.0,0.0,0.0,,,,,-41.156,-8.616,-14.437,5.99,,,1.727,1.727,0.0,-1.896,,-2.636,,,
06/30/2006,112.107,77.305,43.034,103.06,,7.843,95.217,-111.292,-103.644,,,-7.648,,-242.268,-81.087,0.473,,-81.56,,,0.0,0.0,0.0,,,,,-161.181,128.421,-14.443,140.957,,,2.376,3.557,-1.181,-0.469,,-1.74,,,
09/30/2006,64.662,74.436,44.551,21.769,,-35.284,57.053,-76.094,-135.162,,,59.068,,-43.387,-74.411,0.974,,-75.385,,,0.0,0.0,0.0,,,,,31.024,-61.33,-14.457,-38.249,,,-5.409,18.034,-23.443,-3.215,,-40.055,,,
12/31/2006,450.058,-56.205,185.45,740.113,16.961,-109.092,832.244,-419.3,-489.407,-13.479,26.029,57.557,,-500.369,-329.998,6.051,,-336.049,,,0.0,0.0,0.0,,,,,-170.371,47.216,-57.877,123.686,,,-12.942,23.82,-36.762,-5.651,,-3.095,199.049,49.517,
03/31/2007,76.074,65.039,50.913,129.425,4.59,-1.172,126.007,-169.303,-168.813,,5.175,-5.665,,-54.186,-50.2,18.621,,-68.821,,,0.0,0.0,0.0,,,,,-3.986,9.873,-2425.217,2406.201,,,23.25,23.25,0.0,5.639,,31.761,,,
06/30/2007,145.503,11.906,54.166,118.363,,-40.886,159.249,-38.932,-116.269,,,77.337,,-119.08,-71.961,3.316,,-75.277,,,0.0,0.0,0.0,,,,,-47.119,-14.586,0.0,-13.121,,,1.742,1.742,0.0,-3.207,,11.837,,,
09/30/2007,7.38,30.474,57.662,143.871,9.633,38.671,95.567,-224.627,-137.189,,13.073,-100.511,,7.885,-65.618,0.586,,-66.204,,,0.0,0.0,0.0,,,,,73.503,13.737,0.0,-10.792,,,24.867,24.867,0.0,-0.338,,29.002,,,
12/31/2007,82.186,12.46,60.035,227.173,,69.32,157.853,-217.482,-121.236,,3.42,-99.666,,-53.561,-47.44,9.673,,-57.113,,,0.0,0.0,0.0,,,,,-6.121,-19.259,0.0,-19.02,,,-0.273,0.0,-0.273,0.034,,9.366,,,
03/31/2008,142.101,133.258,60.282,22.595,4.3,66.053,-47.758,-74.034,-170.753,,9.526,87.193,,-49.341,-46.805,0.0,,-46.805,,,0.0,0.0,0.0,,,,,-2.536,238.121,0.0,-62.095,,,0.0,0.0,0.0,300.216,,330.881,,,
06/30/2008,124.255,17.05,62.896,117.006,,-6.677,123.683,-72.697,-90.188,,,17.491,,-33.288,-46.707,0.0,,-46.707,,,0.0,0.0,0.0,,,,,13.419,-131.349,0.0,160.35,,,0.0,0.0,0.0,-291.699,,-40.382,,,
09/30/2008,82.581,10.811,59.943,158.799,,20.739,138.06,-146.972,-130.646,,,-16.326,,-41.383,-62.436,0.0,,-62.436,,,0.0,0.0,0.0,,,,,21.053,-275.652,0.0,-293.927,,,0.0,0.0,0.0,18.275,,-234.454,,,
12/31/2008,30.543,7.03,62.917,147.518,,31.079,116.439,-186.922,-124.812,,,-62.11,,-52.104,-55.068,0.0,,-55.068,,,0.0,0.0,0.0,,,,,2.964,-30.865,0.0,-12.206,,,0.0,0.0,0.0,-18.659,,-52.426,,,
03/31/2009,118.457,46.016,61.306,139.385,2.615,8.647,128.123,-131.741,-185.551,,7.678,46.132,-0.131,-60.778,-64.594,0.0,0.0,-64.594,-64.594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.385,-98.406,0.0,-29.016,,-29.016,0.144,0.144,0.0,-69.403,,-40.727,,,
06/30/2009,138.49,32.593,63.593,141.281,2.637,-3.958,142.602,-98.715,-95.715,,-50.726,47.726,0.092,-43.087,-50.923,0.0,0.0,-50.923,-50.923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.264,-33.681,0.0,-38.988,,-38.988,0.0,0.0,0.0,5.215,,61.722,,,
09/30/2009,107.229,25.445,59.413,175.285,2.554,25.17,147.561,-155.388,-139.031,,-14.119,-2.238,0.034,-46.99,-43.229,0.0,0.0,-43.229,-43.229,0.0,0.0,0.0,0.0,-0.569,0.0,-0.569,0.0,-2.749,-2.502,0.0,-10.838,,-10.838,8.5,8.5,0.0,-0.198,,57.737,,,
12/31/2009,84.993,34.128,60.022,196.892,2.843,60.608,133.441,-209.417,-177.989,,35.947,-67.375,-0.408,-207.901,-40.728,0.0,0.0,-40.728,-40.728,0.0,0.0,0.0,0.0,-138.195,0.0,-138.195,0.0,-28.389,6.58,0.0,-10.376,,-10.376,1.273,1.273,0.0,16.091,,-116.328,,,
03/31/2010,79.167,46.94,62.9,163.583,3.367,2.665,157.551,-194.703,-243.62,,15.455,33.462,0.483,-70.767,-32.712,0.0,0.0,-32.712,-32.712,0.0,0.0,0.0,0.0,-10.959,0.0,-10.959,0.0,-26.91,-7.161,0.0,-9.445,,-9.445,4.661,4.661,0.0,-2.86,,1.239,,,
06/30/2010,157.678,39.657,63.563,143.238,4.455,-11.363,150.146,-88.78,-64.539,,-3.49,-20.751,0.0,-139.205,-59.588,0.0,0.0,-59.588,-59.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-79.617,-13.093,0.0,-10.547,,-10.547,1.913,1.913,0.0,-4.459,,5.38,,,
09/30/2010,123.226,35.293,59.191,161.023,4.828,4.702,151.493,-137.329,-176.505,,-40.819,79.995,-0.483,33.176,-54.308,0.0,0.0,-54.308,-54.308,0.0,0.0,0.0,0.0,-26.948,0.0,-26.948,0.0,115.548,-15.956,0.0,-10.361,,-10.361,0.0,0.0,0.0,-5.112,,140.446,,149.2,
12/31/2010,80.292,28.179,62.929,216.83,4.438,24.307,188.085,-241.349,-246.943,,60.553,-54.959,,-218.29,-62.5,0.0,0.0,-62.5,-62.5,0.0,0.0,0.0,0.0,-153.547,0.0,-153.547,0.0,-28.472,-13.273,0.0,-9.794,,-9.794,2.173,2.173,0.0,-5.652,,-151.271,,55.376,
03/31/2011,115.381,55.524,66.296,189.627,3.586,11.695,174.346,-195.92,-235.069,,-6.695,45.844,3.584,-119.871,-47.422,0.0,0.0,-47.422,-47.422,0.0,0.0,0.0,0.0,-3.696,0.0,-3.696,0.0,-68.753,-1.526,0.0,-9.018,,-9.018,8.454,8.454,0.0,-4.546,,-6.016,,,
06/30/2011,157.739,48.611,65.122,186.877,6.44,1.92,178.517,-146.778,-118.758,,0.204,-28.224,,-149.298,-85.571,0.0,0.0,-85.571,-85.571,0.0,0.0,0.0,0.0,-39.195,0.0,-39.195,0.0,-24.476,-13.93,0.0,-10.723,,-10.723,8.532,8.532,0.0,-11.739,,-5.489,,,
09/30/2011,181.835,43.728,68.01,228.329,6.356,34.76,187.213,-163.657,-220.075,,0.852,55.566,-3.584,-520.433,-69.826,0.0,0.0,-69.826,-69.826,0.0,0.0,0.0,0.0,-530.548,0.0,-530.548,0.0,86.617,336.642,0.0,356.394,370.7,-14.306,0.0,0.0,0.0,-16.168,,-1.956,,,
12/31/2011,95.058,30.847,75.098,273.997,5.788,30.784,237.425,-284.098,-296.996,,29.223,-16.325,,-199.303,-99.227,0.0,0.0,-99.227,-99.227,0.0,0.0,0.0,0.0,-8.651,0.0,-8.651,0.0,-90.114,80.037,0.0,150.937,2986.27,-2835.333,0.08,0.08,0.0,-70.98,,-24.208,,,
03/31/2012,59.127,37.69,81.156,236.519,5.487,-9.451,240.483,-294.673,-297.782,,-13.293,16.402,,-79.375,-80.817,0.0,0.0,-80.817,-80.817,0.0,0.0,0.0,0.0,-81.617,0.0,-81.617,0.0,83.075,-35.499,0.0,-20.799,,-20.799,1.4,1.4,0.0,-16.1,,-55.747,,,
06/30/2012,231.01,36.954,88.456,244.689,6.31,-12.641,251.02,-144.206,-149.194,,-3.965,8.953,,-176.25,-113.358,0.0,0.0,-113.358,-113.358,0.0,0.0,0.0,0.0,14.944,0.0,14.944,0.0,-79.109,-26.856,0.0,-23.273,17.0,-40.273,0.007,0.007,0.0,-3.59,,27.904,,,
09/30/2012,456.738,114.197,263.819,738.466,18.048,-22.068,742.486,-664.222,-716.046,,2.096,49.728,0.135,-388.32,-282.343,0.0,0.0,-282.343,-282.343,0.0,0.0,0.0,0.0,-71.475,0.0,-71.475,0.0,-34.367,-97.343,0.0,-70.927,17.0,-87.927,1.444,1.444,0.0,-27.86,,-28.925,,,
12/31/2012,138.265,48.282,95.96,296.445,6.059,27.529,262.857,-303.266,-239.683,,4.459,-68.042,,-85.63,-106.475,0.0,0.0,-106.475,-106.475,0.0,0.0,0.0,0.0,-2.473,0.0,-2.473,0.0,23.318,-28.68,0.0,-23.934,30.0,-53.934,0.048,0.048,0.0,-4.794,,23.955,,,
03/31/2013,19.343,23.102,97.172,271.05,2.601,,268.449,-371.981,-278.438,,,-93.543,,12.009,-61.142,0.0,0.0,-61.142,-61.142,0.0,0.0,0.0,0.0,-1.525,0.0,-1.525,0.0,74.676,-53.167,0.0,-126.328,,-126.328,17.585,17.585,0.0,55.576,0.0,-21.815,,,
06/30/2013,108.326,7.369,99.213,283.004,7.438,24.164,251.402,-281.26,-228.259,,-130.736,77.735,0.0,-248.164,-81.846,0.0,0.0,-81.846,-81.846,0.0,0.0,0.0,0.0,-171.375,0.0,-171.375,0.0,5.057,131.672,0.0,196.708,318.4,-121.692,11.843,11.843,0.0,-76.879,,-8.166,,,
09/30/2013,-7.461,-96.645,102.152,335.14,29.755,20.941,284.444,-348.108,-277.921,,14.407,-84.594,0.0,-81.566,-64.664,0.0,0.0,-64.664,-64.664,0.0,0.0,0.0,0.0,-0.753,0.0,-0.753,0.0,-16.149,61.126,0.0,48.009,158.5,-110.491,17.577,17.577,0.0,-4.46,,-27.901,,,
