Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
10/31/2000,287.589996,,-158.013,,129.576996,,-75.373001,,,,,,,54.203999,-16.036,,0.081,,0.0,15.955,38.167999,-12.405,25.763,0.0,,,25.762999,0.0,25.763,0.0,,25.763,25.763,,40.739559,0.63,0.63,0.98,43.08313,0.63,0.63,0.98,
01/31/2001,351.989014,,-191.837006,,160.152008,,-84.292,,,,,,,75.860001,4.209,,0.087,,0.0,-4.296,80.069001,-26.823,53.245998,0.0,,,53.246001,0.0,53.245998,0.0,0.0,53.245998,53.245998,,41.000132,1.33,1.33,1.33,42.9937,1.26,1.26,1.26,
04/30/2001,425.395996,,-231.509003,,193.886993,,-139.020996,,,,,,,54.866001,-32.321001,,7.128,,0.0,25.193001,22.545,-73.224998,-50.68,0.0,,,-50.679998,0.0,-50.68,0.0,0.0,-50.68,-50.68,,43.761274,-1.19,-1.19,1.47,45.595127,-1.19,-1.19,1.4,
07/31/2001,458.070007,,-259.648987,,198.421021,,-212.876007,,,,,,,-14.455,8.542,,11.278,19.799999,0.0,-39.619999,-5.913,11.567,5.654,0.0,,,5.654,0.0,5.654,0.0,0.0,5.654,5.654,,46.338273,0.14,0.14,1.26,48.26813,0.14,0.14,1.19,
01/31/2002,162.156006,,-139.686996,,22.469009,,-122.958,,,,,,,-100.488998,-6.467,,10.505,,0.0,-4.038,-106.955998,36.365002,-70.591003,0.0,,,-70.590997,0.0,-70.591003,0.0,0.0,-70.591003,-70.591003,,46.802842,-1.54,-1.54,-1.19,46.802842,-1.54,-1.54,-1.19,
04/30/2002,87.053001,,-310.802002,,-223.749001,,-125.028999,,,,,,,-348.778015,-115.374,,8.637,,0.0,106.737,-464.152015,-148.001007,-612.153015,0.0,,,-612.153022,0.0,-612.153015,0.0,0.0,-612.153015,-612.153015,,46.966273,-13.020004,-13.020004,-4.410001,46.966273,-13.020004,-13.020004,-4.410001,
07/31/2002,50.028,,-92.152,,-42.124001,,-101.636002,,,,,,,-143.759995,-15.618001,,10.614,,0.0,5.004,-159.377995,-0.607,-159.985001,0.0,,,-159.984995,0.0,-159.985001,0.0,0.0,-159.985001,-159.985001,,53.792556,-2.940001,-2.940001,-1.610001,53.792556,-2.940001,-2.940001,-1.610001,
01/31/2003,70.473999,,-54.209,,16.264999,,-101.029999,,,,,,,-84.764999,-22.018,,12.203,,0.0,9.815,-106.782999,-0.359,-107.141998,0.0,,,-107.141999,0.0,-107.141998,0.0,0.0,-107.141998,-107.141998,,61.79598,-1.750001,-1.750001,-0.77,61.79598,-1.750001,-1.750001,-0.77,
04/30/2003,73.540001,,-55.325001,,18.215,,-93.771004,,,,,,,-75.556,0.346,,8.061,,0.0,-8.407,-75.21,-0.251,-75.460999,0.0,,,-75.461,0.0,-75.460999,0.0,0.0,-75.460999,-75.460999,,61.990268,-1.19,-1.19,-0.7,61.990268,-1.19,-1.19,-0.7,
07/31/2003,68.477997,,-51.943001,,16.534996,,-88.877998,,,,,,,-72.343002,-16.231999,,8.07,,0.0,8.162,-88.575002,-0.299,-88.874001,0.0,,,-88.874002,0.0,-88.874001,0.0,0.0,-88.874001,-88.874001,,64.429838,-1.4,-1.4,-0.63,64.429838,-1.4,-1.4,-0.63,
01/31/2004,66.414001,,-45.861,,20.553001,,-85.975998,,,,,,,-65.422997,-10.861,,7.384,,0.0,3.477,-76.283996,-0.424,-76.708,0.0,,,-76.707996,0.0,-76.708,0.0,0.0,-76.708,-76.708,,67.562122,-1.12,-1.12,-0.56,67.562122,-1.12,-1.12,-0.56,
04/30/2004,74.698997,,-66.476997,,8.222,,-82.843002,,,,,,,-74.621002,-1.18,,6.473,,0.0,-5.293,-75.801002,-0.415,-76.216003,0.0,,,-76.216002,0.0,-76.216003,0.0,0.0,-76.216003,-76.216003,,67.884122,-1.12,-1.12,-0.63,67.884122,-1.12,-1.12,-0.63,
07/31/2004,75.588997,,-56.792,,18.796997,,-110.819,,,,,,,-92.022003,-49.24,,6.469,,0.0,42.771,-141.262003,-0.205,-141.466995,0.0,,,-141.467003,0.0,-141.466995,0.0,0.0,-141.466995,-141.466995,,80.890548,-1.750001,-1.750001,-0.49,80.890548,-1.750001,-1.750001,-0.49,
10/31/2004,82.005,,-57.824,,24.181,0.0,-97.467,37.613,30.152,,,,59.854,-73.286,-421.71,-4.68,6.487,-11.167,,426.39,-494.996,-0.077,-495.073,,,,-495.073,,-495.073,,0.0,-495.073,-495.073,270.01195,81.35169,-6.090002,-6.090002,-2.770951,81.35169,-6.090002,-6.090002,-2.770951,
01/31/2005,94.748,,-70.517,,24.231,,-79.569,,,,,,,-55.338,-1.08,6.469,6.469,,0.0,-5.389,-56.418,-0.577,-56.995,0.0,,,-56.995,0.0,-56.995,0.0,0.0,-56.995,-56.995,,81.653261,-0.7,-0.7,-0.35,81.653261,-0.7,-0.7,-0.35,
04/30/2005,103.846,,-76.68,,27.166,,-84.354,,,,,,,-57.188,-17.167,6.473,6.473,,0.0,10.694,-74.355,-0.452,-74.807,0.0,,,-74.807,0.0,-74.807,0.0,0.0,-74.807,-74.807,,81.938404,-0.91,-0.91,-0.35,81.938404,-0.91,-0.91,-0.35,
07/31/2005,110.48,,-72.851,,37.629,,-86.773,,,,,2.604,,-49.144,-1.797,6.406,6.406,,0.0,-4.609,-50.941,-0.086,-51.027,0.0,,,-51.027,0.0,-51.027,0.0,0.0,-51.027,-51.027,,82.332975,-0.63,-0.63,-0.27272,82.332975,-0.63,-0.63,-0.27272,
10/31/2005,118.183,,-71.019,,47.164,,-76.67,,,,,,,-29.506,-223.159,,6.082,,,217.077,-252.665,-0.205,-252.87,,,,-252.87,,-252.87,,,-252.87,-252.87,,82.688832,-3.080001,-3.080001,-0.14728,82.688832,-3.080001,-3.080001,-0.14728,
01/31/2006,120.43,,-69.975,,50.455,,-72.225,,,,,,,-21.77,15.778,-12.471,6.053,-18.524,0.0,-3.307,-5.992,-0.299,-6.291,0.0,,,-6.291,0.0,-6.291,0.0,0.0,-6.291,-6.291,-0.528,82.967261,-0.07,-0.07,-0.0819,82.967261,-0.07,-0.07,-0.0819,
04/30/2006,131.175,,-68.269,,62.906,,-72.807,,,,,-0.247,,-9.901,8.361,5.815,5.815,,0.0,-14.176,-1.54,-0.37,-1.91,0.0,,,-1.91,0.0,-1.91,0.0,0.0,-1.91,-1.91,3.069,83.517832,-0.019999,-0.019999,0.016611,83.517832,-0.019999,-0.019999,0.016611,
10/31/2006,159.952,,-87.196,,72.756,0.0,-66.631,36.419,26.302,,,,30.212,6.125,7.348,-15.741,6.149,-21.89,,8.393,13.473,-0.392,13.081,0.0,,,13.081,0.0,13.081,0.0,0.0,13.081,13.081,,83.84,0.16,0.16,0.24,85.011,0.15,0.15,0.22,
01/31/2007,165.101,,-91.473,,73.628,,-71.314,,,,,,,2.314,9.163,,6.148,,0.0,-15.311,11.477,-0.421,11.056,0.0,,,11.056,0.0,11.056,0.0,0.0,11.056,11.056,,84.953,0.13,0.13,0.2,93.259,0.12,0.12,0.18,
04/30/2007,193.527,,-111.697,,81.83,,-79.826,,,,,,,2.004,11.483,6.148,6.148,,0.0,-17.631,13.487,-0.477,13.01,0.0,,,13.01,0.0,13.01,0.0,0.0,13.01,13.01,5.561,85.198,0.15,0.15,0.215,93.737,0.14,0.14,0.199,
07/31/2007,204.951,,-107.286,,97.665,,-82.833,,,,,,,14.832,14.321,,6.931,,0.0,-21.252,29.153,-0.841,28.312,0.0,,,28.312,0.0,28.312,0.0,0.0,28.312,28.312,,85.651,0.33,0.33,0.39,101.568,0.29,0.29,0.34,
10/31/2007,216.19,,-107.044,,109.146,,-82.069,,,,,,,27.077,4.538,7.769,7.769,,,-12.307,31.615,-1.205,30.41,0.0,,,30.41,0.0,30.41,0.0,0.0,30.41,30.41,1.501,86.241,0.35,0.35,0.37,108.811,0.3,0.3,0.31,
01/31/2008,227.416,,-110.847,,116.569,,-98.15,,,,,,,18.419,11.724,,7.358,,0.0,-19.082,30.143,-1.336,28.807,0.0,,,28.807,0.0,28.807,0.0,0.0,28.807,28.807,,86.91,0.33,0.33,0.49,109.009,0.28,0.28,0.41,
04/30/2008,242.199,,-114.603,,127.596,,-108.629,,,,,,,18.967,6.626,,1.861,,0.0,-8.487,25.593,-1.833,23.76,0.0,,,23.76,0.0,23.76,0.0,0.0,23.76,23.76,,89.102,0.27,0.27,0.34,110.77,0.23,0.23,0.29,
07/31/2008,253.179,,-127.548,,125.631,,-110.678,,,,,,,14.953,-1.627,,1.855,,0.0,-0.228,13.326,-1.603,11.723,0.0,,,11.723,0.0,11.723,0.0,0.0,11.723,11.723,,90.216,0.13,0.13,0.27,111.681,0.12,0.12,0.23,
10/31/2008,179.654,,-98.523,,81.131,,-110.487,,,,,,,-29.356,1.833,1.853,1.853,,0.0,-3.686,-27.523,2.127,-25.396,0.0,,,-25.396,0.0,-25.396,0.0,0.0,-25.396,-25.396,9.21,90.413,-0.28,-0.28,-0.18,90.413,-0.28,-0.28,-0.18,
01/31/2009,167.4,167.4,-95.557,95.557,71.843,0.0,-98.584,45.404,33.819,11.585,46.7,,6.48,-26.741,2.251,,1.844,,,-4.095,-24.49,-0.341,-24.831,0.0,0.0,0.0,-24.831,0.0,-24.831,0.0,0.0,-24.831,-24.19,0.641,90.62,-0.27,-0.27,-0.266939,90.62,-0.27,-0.27,-0.266939,
04/30/2009,144.201,144.201,-83.481,83.481,60.72,0.0,-563.688,45.91,33.295,12.615,49.482,,468.296,-502.968,-0.914,,1.852,,,-0.938,-503.882,0.672,-503.21,0.0,0.0,0.0,-503.21,0.0,-503.21,0.0,0.0,-503.21,-38.568,464.642,90.932,-5.53,-5.53,-0.424141,90.932,-5.53,-5.53,-0.424141,
07/31/2009,164.758,164.758,-90.093,90.093,74.665,0.0,-97.599,42.992,31.468,11.524,44.442,,10.165,-22.934,-3.05,,1.856,,,1.194,-25.984,-0.47,-26.454,0.0,0.0,0.0,-26.454,0.0,-26.454,0.0,0.0,-26.454,-21.08755,5.36645,91.364,-0.29,-0.29,-0.230808,91.364,-0.29,-0.29,-0.231263,
10/31/2009,176.27,176.27,-98.668,98.668,77.602,0.0,-104.19,47.73,35.945,11.785,49.695,,6.765,-26.588,-1.534,,1.854,,,-0.32,-28.122,1.463,-26.659,0.0,0.0,0.0,-26.659,0.0,-26.659,0.0,0.0,-26.659,-25.868,0.791,91.758,-0.29,-0.29,-0.281915,91.758,-0.29,-0.29,-0.281915,
01/31/2010,175.876,175.876,-95.716,95.716,80.16,0.0,-130.024,47.0,34.237,12.763,50.033,,32.991,-49.864,-2.601,,1.828,,,0.773,-52.465,-0.868,-53.333,0.0,0.0,0.0,-53.333,0.0,-53.333,0.0,0.0,-53.333,-26.323,27.01,92.321,-0.58,-0.58,-0.285125,92.321,-0.58,-0.58,-0.287434,
04/30/2010,253.471,253.471,-148.529,148.529,104.942,0.0,-196.164,66.831,45.328,21.503,71.142,,58.191,-91.222,-0.365,,4.113,,,-3.748,-91.587,1.578,-90.009,0.0,0.0,0.0,-90.009,0.0,-90.009,0.0,0.0,-90.009,-49.007,41.002,92.614,-0.97,-0.97,-0.529153,92.614,-0.97,-0.97,-0.529153,
07/31/2010,389.675,389.675,-245.666,245.666,144.009,0.0,-243.562,84.776,52.127,32.649,100.869,,57.917,-99.553,-8.658,,5.99,,,2.668,-108.211,-1.644,-109.855,0.0,0.0,0.0,-109.855,0.0,-109.855,0.0,0.0,-109.855,-86.595,23.26,92.906,-1.18,-1.18,-0.932071,92.906,-1.18,-1.18,-0.932071,
10/31/2010,417.614,417.614,-249.224,249.224,168.39,0.0,-249.57,97.6,61.823,35.777,105.582,,46.388,-81.18,1.87,,6.688,,,-8.558,-79.31,-1.007,-80.317,0.0,0.0,0.0,-80.317,0.0,-80.317,0.0,0.0,-80.317,-74.6572,5.6598,93.197,-0.86,-0.86,-0.801069,93.197,-0.86,-0.86,-0.801069,
01/31/2011,433.308,433.308,-264.802,264.802,168.506,0.0,-242.398,95.406,57.092,38.314,95.79,,51.202,-73.892,-3.285,,9.55,,,-6.265,-77.177,-1.879,-79.056,0.0,0.0,0.0,-79.056,0.0,-79.056,0.0,0.0,-79.056,-63.268,15.788,94.496,-0.84,-0.84,-0.669531,94.496,-0.84,-0.84,-0.672924,
04/30/2011,417.894,417.894,-252.061,252.061,165.833,0.0,-221.451,94.248,61.768,32.48,99.624,,27.579,-55.618,-5.177,,9.406,,,-4.229,-60.795,-1.891,-62.686,0.0,0.0,0.0,-62.686,,-62.686,,0.0,-62.686,-50.811,11.875,95.36,-0.66,-0.66,-0.532833,95.36,-0.66,-0.66,-0.535472,
07/31/2011,435.313,435.313,-250.416,250.416,184.897,0.0,-202.282,90.067,61.895,28.172,93.216,,18.999,-17.385,-12.63,,9.47,,,3.16,-30.015,-1.435,-31.45,0.0,0.0,0.0,-31.45,0.0,-31.45,0.0,0.0,-31.45,-22.2081,9.2419,96.313,-0.33,-0.33,-0.230583,96.313,-0.33,-0.33,-0.234043,
10/31/2011,455.455,455.455,-265.545,265.545,189.91,0.0,-206.208,98.511,71.235,27.276,91.232,,16.465,-16.298,-3.563,,9.5,,,-5.937,-19.861,-2.468,-22.329,0.0,0.0,0.0,-22.329,0.0,-22.329,0.0,0.0,-22.329,-23.52985,-1.20085,97.197,-0.23,-0.23,-0.242084,97.197,-0.23,-0.23,-0.242355,
01/31/2012,416.685,416.685,-248.929,248.929,167.756,0.0,-198.932,93.811,64.411,29.4,89.664,,15.457,-31.176,-14.457,,9.57,,,4.887,-45.633,-2.02,-47.653,0.0,0.0,0.0,-47.653,0.0,-47.653,0.0,0.0,-47.653,-45.3821,2.2709,98.066,-0.49,-0.49,-0.462771,98.066,-0.49,-0.49,-0.466843,
04/30/2012,477.617,477.617,-294.676,294.676,182.941,0.0,-194.404,89.597,62.517,27.08,90.399,,14.408,-11.463,-14.033,,9.646,,,4.387,-25.496,-2.284,-27.78,0.0,0.0,0.0,-27.78,0.0,-27.78,0.0,0.0,-27.78,-22.589,5.191,98.981,-0.28,-0.28,-0.228216,98.981,-0.28,-0.28,-0.228216,
07/31/2012,474.09,474.09,-292.769,292.769,181.321,0.0,-196.593,93.267,65.397,27.87,88.315,,15.011,-15.272,-12.055,,9.597,,,2.458,-27.327,-2.49,-29.817,0.0,0.0,0.0,-29.817,0.0,-29.817,0.0,0.0,-29.817,-29.89395,-0.07695,99.53,-0.3,-0.3,-0.300351,99.53,-0.3,-0.3,-0.300773,
10/31/2012,465.531,465.531,-273.325,273.325,192.206,0.0,-214.141,103.785,74.013,29.772,95.801,,14.555,-21.935,-14.308,,10.84,,,3.468,-36.243,-2.528,-38.771,0.0,0.0,0.0,-38.771,0.0,-38.771,0.0,0.0,-38.771,-33.321,5.45,100.506,-0.39,-0.39,-0.331532,100.506,-0.39,-0.39,-0.335774,
01/31/2013,453.093,453.093,-257.298,257.298,195.795,0.0,-201.404,94.796,66.588,28.208,89.125,,17.483,-5.609,-39.499,,10.732,,,28.767,-45.108,-2.216,-47.324,0.0,0.0,0.0,-47.324,0.0,-47.324,0.0,0.0,-47.324,-13.974,33.35,101.204,-0.47,-0.47,-0.138078,101.204,-0.47,-0.47,-0.140468,
04/30/2013,507.712,507.712,-298.199,298.199,209.513,0.0,-220.093,105.358,74.475,30.883,100.787,,13.948,-10.58,-14.108,,11.392,,,2.716,-24.688,-2.391,-27.079,0.0,0.0,0.0,-27.079,0.0,-27.079,0.0,0.0,-27.079,-25.69,1.389,101.913,-0.27,-0.27,-0.252078,101.913,-0.27,-0.27,-0.256371,
07/31/2013,538.356,538.356,-310.135,310.135,228.221,0.0,-213.39,107.679,75.613,32.066,93.069,,12.642,14.831,-14.139,,10.972,,,3.167,0.692,-1.923,-1.231,0.0,0.0,0.0,-1.231,0.0,-1.231,0.0,0.0,-1.231,-1.819,-0.588,102.713,-0.01,-0.01,-0.01771,102.713,-0.01,-0.01,-0.01771,
10/31/2013,583.385,583.385,-351.739,351.739,231.646,0.0,-232.063,118.769,87.494,31.275,100.427,,12.867,-0.417,-10.67,,10.946,,,-0.276,-11.087,1.29,-9.797,0.0,0.0,0.0,-9.797,0.0,-9.797,0.0,0.0,-9.797,-9.599,0.198,103.523,-0.09,-0.09,-0.092723,103.523,-0.09,-0.09,-0.092723,
01/31/2014,533.703,533.703,-307.852,307.852,225.851,0.0,-222.496,108.445,78.348,30.097,101.497,,12.554,3.355,-17.026,10.95,11.028,-0.078,5.915,0.161,-13.671,-2.265,-15.936,0.0,0.0,0.0,-15.936,0.0,-15.936,0.0,0.0,-15.936,-14.77125,1.16475,104.501,-0.15,-0.15,-0.14135,104.501,-0.15,-0.15,-0.14135,
04/30/2014,560.061,560.061,-322.37,322.37,237.691,0.0,-230.529,115.544,83.662,31.882,103.492,,11.493,7.162,-12.925,10.951,11.02,-0.069,-11.249,13.223,-5.763,-4.395,-10.158,0.0,0.0,0.0,-10.158,0.0,-10.158,0.0,0.0,-10.158,-6.698,3.46,105.451,-0.1,-0.1,-0.063518,105.451,-0.1,-0.1,-0.067189,
07/31/2014,603.562,603.562,-339.589,339.589,263.973,0.0,-226.971,118.204,81.919,36.285,97.685,,11.082,37.002,-17.836,11.42,11.508,-0.088,4.341,2.075,19.166,-3.006,16.16,0.0,0.0,0.0,16.16,0.0,16.16,0.0,0.0,16.16,16.413,0.253,106.236,0.15,0.15,0.154496,120.809,0.15,0.15,0.152094,
10/31/2014,590.963,590.963,-370.126,370.126,220.837,0.0,-222.652,112.956,84.396,28.56,98.506,,11.19,-1.815,-24.59,13.387,13.559,-0.172,16.656,-5.453,-26.405,-4.298,-30.703,0.0,0.0,0.0,-30.703,0.0,-30.703,0.0,0.0,-30.703,-30.532,0.171,106.931,-0.29,-0.29,-0.28553,106.931,-0.29,-0.29,-0.288401,
01/31/2015,529.162,529.162,-298.867,298.867,230.295,0.0,-226.13,106.265,76.712,29.553,100.761,,19.104,4.165,-21.894,13.443,13.661,-0.218,3.652,4.799,-17.729,-1.05,-18.779,0.0,0.0,0.0,-18.779,0.0,-18.779,0.0,0.0,-18.779,-10.694,8.085,107.773,-0.17,-0.17,-0.099227,107.773,-0.17,-0.17,-0.099227,
04/30/2015,621.602,621.602,-349.191,349.191,272.411,0.0,-229.997,112.773,82.471,30.302,105.202,,12.022,42.414,-18.496,12.701,12.947,-0.246,18.832,-13.037,23.918,-3.265,20.653,0.0,0.0,0.0,20.653,0.0,20.653,0.0,0.0,20.653,21.656,1.003,113.555,0.18,0.18,0.190709,128.017,0.17,0.17,0.177835,
07/31/2015,602.932,602.932,-333.063,333.063,269.869,0.0,-225.418,111.393,81.65,29.743,100.379,,13.646,44.451,-17.374,11.56,11.883,-0.323,10.424,-4.61,27.077,-3.452,23.625,0.0,0.0,0.0,23.625,0.0,23.625,0.0,0.0,23.625,26.752,3.127,118.413,0.2,0.2,0.225921,133.233,0.19,0.19,0.21347,
10/31/2015,691.973,691.973,-388.985,388.985,302.988,0.0,-293.57,126.807,93.003,33.804,107.859,,58.904,9.418,-18.92,12.297,12.688,-0.391,14.699,-8.076,-9.502,-4.33,-13.832,0.0,0.0,0.0,-13.832,0.0,-13.832,0.0,0.0,-13.832,1.03,14.862,134.097,-0.1,-0.1,0.007681,134.097,-0.1,-0.1,0.007681,
01/31/2016,573.115,573.115,-321.665,321.665,251.45,0.0,-240.211,113.62,82.478,31.142,108.046,,18.545,11.239,-21.486,12.024,12.71,-0.686,4.377,5.085,-10.247,-1.299,-11.546,0.0,0.0,0.0,-11.546,0.0,-11.546,0.0,0.0,-11.546,-9.863,1.683,136.675,-0.08,-0.08,-0.072164,136.675,-0.08,-0.08,-0.072164,
04/30/2016,640.717,640.717,-357.624,357.624,283.093,0.0,-254.86,121.871,86.668,35.203,114.603,,18.386,28.233,-11.641,11.626,12.608,-0.982,10.506,-10.491,16.592,-2.595,13.997,0.0,0.0,0.0,13.997,0.0,13.997,0.0,0.0,13.997,17.32,3.323,137.95,0.1,0.1,0.125553,138.889,0.1,0.1,0.123926,
07/31/2016,670.55,670.55,-362.065,362.065,308.485,0.0,-251.461,118.068,83.732,34.336,116.697,,16.696,57.024,-19.614,14.717,15.967,-1.25,0.839,4.058,37.41,-3.864,33.546,0.0,0.0,0.0,33.546,0.0,33.546,0.0,0.0,33.546,35.669,2.123,138.881,0.24,0.24,0.256831,169.349,0.23,0.23,0.242536,
10/31/2016,716.191,716.191,-397.643,397.643,318.548,0.0,-258.875,129.0,96.853,32.147,112.448,,17.427,59.673,-16.71,14.231,15.371,-1.14,-21.592,24.071,42.963,-6.376,36.587,0.0,0.0,0.0,36.587,0.0,36.587,0.0,0.0,36.587,39.839,3.252,139.741,0.26,0.26,0.285092,165.298,0.25,0.25,0.269674,
01/31/2017,621.497,621.497,-347.712,347.712,273.785,0.0,-254.681,120.866,85.002,35.864,116.869,,16.946,19.104,-14.833,13.921,15.203,-1.282,-2.417,3.329,4.271,-0.41,3.861,0.0,0.0,0.0,3.861,0.0,3.861,0.0,0.0,3.861,7.267918,3.406918,140.682,0.03,0.03,0.051662,142.184,0.03,0.03,0.051662,
04/30/2017,707.022,707.022,-388.782,388.782,318.24,0.0,-260.42,123.541,88.551,34.99,121.623,,15.256,57.82,-16.226,11.801,13.308,-1.507,1.292,3.133,41.594,-3.568,38.026,0.0,0.0,0.0,38.026,0.0,38.026,0.0,0.0,38.026,45.226,7.2,141.743,0.27,0.27,0.31907,165.273,0.25,0.25,0.293564,
