Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Other Non - Cash Adjusted,Net Ch in Operating Capital,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
09/30/2012,65.8,-299.2,605.8,0.0,-31.6,,0.8,-32.4,-209.2,-209.2,0.0,-276.8,-420.6,0,-420.6,-8076.4,0.0,0.0,0.0,0.0,-8076.4,0,0,-8076.4,-407.0,-407.0,0,0,0.0,0,0.0,0,8627.2,433.3,0.0,-1112.0,0.0,0,4100.9,-5212.9,0.0,0.0,0.0,1545.3,0.0,,222.3,-21.2,304.7,
12/31/2012,530.1,206.8,273.1,0.1,-22.0,,26.8,-48.8,72.1,72.1,0.0,2.7,-548.6,0,-548.6,16286.0,16286.0,0.0,0.0,16286.0,0.0,0,0,0.0,-535.6,-535.6,0,0,0.0,0,0.0,0,-15199.1,-268.3,0.0,-1245.2,0.0,0,891.8,-2137.0,0.0,0.0,0.0,976.9,0.0,,264.5,25.5,267.7,
03/31/2013,68.9,162.6,173.1,19.5,-23.2,,6.7,-29.9,-263.1,-263.1,0.0,-1938.6,-190.7,0,-190.7,-901.4,3255.1,0.0,0.0,3255.1,-4156.5,0,0,-4156.5,-1193.3,-1193.3,0,0,0.0,0,0.0,0,346.8,571.2,0.0,-447.7,0.0,0,232.6,-680.3,0.0,0.0,0.0,1018.9,0.0,,-1298.5,39.2,301.3,
06/30/2013,458.7,183.6,158.3,14.6,-6.4,,24.1,-30.5,108.6,108.6,,167.3,-552.6,0,-552.6,340.2,4582.2,0.0,0.0,4582.2,-4242.0,0,0,-4242.0,-362.7,-362.7,0,0,0.0,0,0.0,0,742.4,-208.9,0.0,-667.0,0.0,0,216.2,-883.2,-12.5,0.0,-12.5,470.6,0.0,,417.1,29.4,206.0,
09/30/2013,745.1,199.6,189.9,16.4,-47.3,,7.9,-55.2,386.5,386.5,,-1628.8,-532.1,0,-532.1,-823.5,5042.3,0.0,0.0,-7837.3,-5865.8,0,0,-5865.8,-729.4,-729.4,0,0,0.0,0,0.0,0,456.2,998.5,0.0,401.8,0.0,0,1138.8,-737.0,-38.9,0.0,-38.9,635.6,0.0,,114.8,-128.4,,
12/31/2013,180.9,129.9,184.2,14.4,-51.2,,20.4,-71.6,-96.4,-96.4,0.0,-951.1,-796.4,0,-796.4,-15048.9,,0.0,0.0,105.2,-15048.9,0,0,-2274.5,-647.3,-647.3,0,0,0.0,0,0.0,0,15541.5,981.7,-20.1,422.8,0.0,0,1063.9,-641.1,-142.0,0.0,-142.0,721.0,0.0,0.0,211.5,8.2,490.5,
03/31/2014,226.9,117.2,163.2,36.7,-11.0,,3.4,-14.4,-79.2,-79.2,0.0,-2024.7,-734.6,0,-734.6,262.0,3642.7,,,,-3380.7,0,0,-3380.7,-425.5,-425.5,0,0,-245.5,0,-245.5,0,-881.1,1075.2,-19.8,567.2,0.0,0,1274.2,-707.0,-135.6,0.0,-135.6,663.4,0.0,,-722.6,6.6,299.5,
06/30/2014,578.8,246.9,423.1,10.2,-292.1,,2.2,-294.3,190.7,190.7,,3019.8,-991.1,0,-991.1,1540.9,5364.8,,,,-3823.9,0,0,-3823.9,-787.1,-787.1,0,0,0.0,0,0.0,0,3257.1,-2332.1,-19.5,-2645.5,0.0,0,343.5,-2989.0,-416.5,0.0,-416.5,749.4,0.0,,1266.5,9.7,225.2,
09/30/2014,35.4,514.9,142.9,38.2,-380.7,,-401.1,20.4,-279.9,-279.9,0.0,-1880.8,-706.0,0,-706.0,-714.3,687.7,0.0,0.0,0.0,-1402.0,0,0,-1402.0,-439.1,-439.1,0,0,-202.7,0,-202.7,0,181.3,1355.3,-28.2,945.1,117.3,0,1248.3,-420.5,-105.9,0.0,-105.9,544.3,0.0,,-490.1,2.7,326.1,
12/31/2014,329.2,251.0,152.8,15.0,-91.5,,-31.2,-60.3,1.9,1.9,0.0,-140.1,-669.4,0,-669.4,-623.2,602.6,0.0,0.0,0.0,-1225.8,0,0,-1225.8,-200.8,-200.8,0,0,-0.4,0,-0.4,0,1353.7,831.5,-27.8,-390.0,54.1,0,1314.1,-1758.2,-117.5,0.0,-117.5,1366.8,0.0,0.0,1020.6,2.6,198.7,
03/31/2015,132.6,103.7,165.5,34.6,-8.0,,21.2,-29.2,-163.2,-163.2,,505.6,-408.2,0,-408.2,388.0,3482.3,,,,-3094.3,0,0,-3094.3,-52.3,-52.3,0,0,0.0,0,0.0,0,578.1,-1307.1,-27.1,-1836.2,-61.2,0,519.8,-2294.8,-331.7,0.0,-331.7,908.4,-20.5,0.0,-668.9,14.0,324.3,
06/30/2015,271.7,115.3,223.0,18.4,15.4,,31.8,-16.4,-100.4,-100.4,0.0,-1408.6,-565.4,0,-565.4,-635.0,1332.3,,,,-1967.3,0,0,-1967.3,-668.4,-668.4,0,0,0.0,0,0.0,0,460.2,318.9,-26.5,-97.7,129.9,0,501.1,-728.7,-61.0,0.0,-61.0,504.1,0.0,0.0,-818.0,3.7,214.0,
09/30/2015,389.4,693.1,193.6,49.9,-603.0,,-616.6,13.6,55.8,55.8,,2060.5,-885.5,0,-885.5,421.4,2324.6,,,,-1903.2,0,0,-1903.2,-414.0,-414.0,0,0,2521.2,0,2521.2,0,417.4,304.9,-30.8,-55.6,40.3,0,5749.7,-5845.6,-139.1,0.0,-139.1,530.6,-0.2,0.0,2754.8,8.7,321.0,
12/31/2015,373.9,144.5,201.8,57.6,27.5,,-9.3,36.8,-57.5,-57.5,,-72.3,-1229.6,0,-1229.6,860.6,2087.4,,,,-1226.8,0,0,-1226.8,-624.5,-624.5,0,0,0.0,0,0.0,0,921.2,-190.6,-30.5,-631.6,74.4,0,820.4,-1526.4,0.0,0.0,0.0,476.1,-4.6,0.0,111.0,-35.9,252.7,
03/31/2016,410.1,146.0,204.0,99.3,62.7,,66.7,-4.0,-101.9,-101.9,,-168.5,-362.0,0,-362.0,46.6,541.5,,,,-494.9,0,0,-494.9,-137.7,-137.7,0,0,0.0,0,0.0,0,284.6,-391.4,-30.6,-460.2,39.3,0,555.1,-1054.6,0.0,0.0,0.0,114.2,-14.8,0.0,-149.8,-0.2,338.0,
06/30/2016,340.9,17.0,198.1,28.1,-9.6,,21.2,-30.8,107.3,107.3,,155.0,-573.8,0,-573.8,-277.7,1082.6,,,,-1360.3,0,0,-1360.3,476.5,476.5,0,0,0.0,0,0.0,0,530.0,-510.3,-30.9,-458.9,70.9,0,1098.9,-1628.7,0.0,0.0,0.0,-11.6,-8.9,-2.3,-16.7,-6.2,,
09/30/2016,688.2,131.5,200.9,46.2,189.9,,48.5,141.4,119.7,119.7,,-418.1,-484.4,0,-484.4,-280.4,1211.7,,,,-1492.1,0,0,-1492.1,182.1,182.1,0,0,0.0,0,0.0,0,164.6,-987.5,-30.8,-940.3,31.9,0,1.6,-973.8,0.0,0.0,0.0,-11.1,-5.3,0.0,-717.4,56.3,,
12/31/2016,967.1,-1154.7,49.1,36.7,1670.6,,842.1,828.5,365.4,365.4,,-76.5,-446.6,0,-446.6,-818.4,775.2,,,,-1593.6,0,0,-1593.6,136.2,136.2,0,0,0.0,0,0.0,0,1052.3,-1082.0,-30.7,-691.8,-142.1,0,771.0,-1320.7,0.0,0.0,0.0,-550.6,191.1,-32.3,-223.7,11.3,233.8,
03/31/2017,305.7,179.9,88.5,49.7,133.0,-35.0,113.5,54.5,-145.4,-145.4,,97.5,-399.5,0,-399.5,21.7,1827.9,,,,-1806.2,0,0,-1806.2,28.0,28.0,0,0,0.0,0,0.0,0,447.3,-1064.1,-30.8,-1074.8,0.0,0,8.5,-1083.3,0.0,0.0,0.0,35.0,6.5,3.8,-657.1,0.2,315.3,
06/30/2017,-149.9,156.7,89.8,4.4,-48.8,35.0,-2.5,-81.3,-352.0,-352.0,,9695.2,-204.7,0,-204.7,-1141.7,395.9,,,,-1537.6,0,0,-1537.6,716.0,716.0,0,0,0.0,0,0.0,0,10325.6,-10740.5,-30.9,-6315.8,0.0,0,8.3,-6324.1,-2988.0,318.0,-3306.0,-1395.8,-10.0,6.2,-1189.0,-14.0,,
09/30/2017,246.7,219.6,91.4,30.1,-17.2,,-110.4,93.2,-77.2,-77.2,,-754.8,-56.0,0,-56.0,-143.2,965.5,,,,-1108.7,0,0,-1108.7,77.1,77.1,0,0,0.0,0,0.0,0,-632.7,-1665.1,-20.7,-171.3,-1.0,0,1651.3,-1821.6,-119.5,0.0,-119.5,-1346.5,-7.1,5.2,-2168.0,-24.2,,
12/31/2017,129.3,-88.0,59.9,30.4,97.3,,-40.3,137.6,29.7,29.7,,-2057.4,-133.1,0,-133.1,-1008.2,1566.9,,,,-2575.1,0,0,-2575.1,-856.3,-856.3,0,0,0.0,0,0.0,0,-59.8,382.2,-31.3,425.0,3.0,0,797.2,-375.2,-6.4,0.0,-6.4,-21.8,16.7,-3.4,-1549.3,-2.5,139.1,
03/31/2018,127.1,97.0,89.4,68.8,10.4,-20.9,25.4,5.9,-138.5,-138.5,,55.2,-148.3,0,-148.3,404.6,1067.0,,,,-662.4,0,0,-662.4,-412.7,-412.7,0,0,0.0,0,0.0,0,211.6,2196.9,-21.5,1425.0,0.0,0,3061.6,-1636.6,-194.9,0.0,-194.9,1023.3,-35.0,0.5,2379.7,-3.2,200.8,
06/30/2018,386.8,126.8,86.7,32.9,160.0,20.9,32.2,106.9,-19.6,-19.6,,764.2,-156.3,0,-156.3,42.3,435.3,,,,-393.0,0,0,-393.0,-71.0,-71.0,0,0,0.0,0,0.0,0,949.2,-1771.8,-30.1,-1596.4,0.0,0,4.1,-1600.5,-681.4,0.0,-681.4,582.9,-46.8,-9.3,-630.1,-15.0,-376.8,
09/30/2018,178.0,131.5,86.5,38.1,-62.4,0.0,22.3,-84.7,-15.7,-15.7,,-1422.3,-166.0,0,-166.0,-489.1,585.0,,,,-1074.1,0,0,-1074.1,-955.3,-955.3,0,0,0.0,0,0.0,0,188.1,-864.4,-28.6,-191.4,0.0,0,995.7,-1187.1,-290.9,0.0,-290.9,-349.0,-4.5,0.2,-2108.5,-2.6,249.6,
12/31/2018,290.6,91.8,87.4,31.2,50.0,,38.4,11.6,30.2,30.2,,646.7,-185.0,0,-185.0,-96.4,795.0,,,,-891.4,0,0,-891.4,-444.7,-444.7,0,0,0.0,0,0.0,0,1372.8,-502.8,-35.7,-424.2,0.0,0,547.5,-971.7,-459.5,0.0,-459.5,422.4,-5.8,-6.4,428.1,-4.4,183.4,
03/31/2019,105.6,118.9,93.1,33.0,20.3,,23.0,-2.7,-159.7,-159.7,,-2515.3,-102.4,0,-102.4,-1755.8,790.4,,,,-2546.2,0,0,-2546.2,-651.9,-651.9,0,0,0.0,0,0.0,0,-5.2,1932.4,-25.7,-1552.6,0.0,0,0.0,-1552.6,-179.7,0.0,-179.7,3708.9,-18.5,1.9,-475.4,-0.9,277.8,
06/30/2019,86.0,137.6,87.0,28.6,9.8,,15.7,-5.9,-177.0,-177.0,,377.8,-168.9,0,-168.9,1085.0,3551.5,,,,-2466.5,0,0,-2466.5,-696.6,-696.6,0,0,0.0,0,0.0,0,158.3,-112.2,-43.8,-252.9,0.0,0,600.0,-852.9,-158.2,0.0,-158.2,352.6,-9.9,0.6,352.2,-15.9,203.6,
09/30/2019,227.2,142.8,86.8,26.6,15.8,,4.0,11.8,-44.8,-44.8,,-533.3,-179.7,0,-179.7,-597.5,4469.5,,,,-5067.0,0,0,-5067.0,-372.7,-372.7,0,0,0.0,0,0.0,0,616.6,662.1,-33.9,88.9,0.0,0,995.7,-906.8,-3.0,0.0,-3.0,607.8,2.3,-3.8,352.2,33.5,284.1,
12/31/2019,508.4,130.6,86.5,22.6,110.2,,72.4,37.8,158.5,158.5,,723.6,-356.9,0,-356.9,857.7,3731.8,,,,-2874.1,0,0,-2874.1,122.9,122.9,0,0,0.0,0,0.0,0,99.9,-574.2,-43.3,45.8,0.0,0,1098.6,-1052.8,195.1,195.1,0.0,-771.2,-0.6,3.2,661.0,-58.0,180.5,
03/31/2020,-344.5,-624.3,97.1,513.9,77.5,,104.1,-26.6,-408.7,-408.7,0.0,251.0,-280.9,0,-280.9,2536.2,4055.8,,,,-1519.6,0,0,-1519.6,-1403.3,-1403.3,0,0,0.0,0,0.0,0,-601.0,1112.3,-38.7,1307.0,0.0,0,1700.0,-393.0,0.0,0.0,0.0,33.5,-189.5,,1018.8,1.3,270.5,
06/30/2020,216.9,-85.3,92.2,223.6,87.3,,-231.3,318.6,-100.9,-100.9,0.0,1040.9,-404.4,0,-404.4,680.5,1444.8,,,,-764.3,0,0,-764.3,807.6,807.6,0,0,-727.1,0,-727.1,0,684.3,3122.5,-47.4,-471.7,0.0,0,504.1,-975.8,0.0,0.0,0.0,3655.8,-14.2,-4.4,4375.9,-0.2,154.8,
