Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Acq of Fixed & Intang,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Net Changes in Cash,Source: Bloomberg
09/09/1995,174.279999,33.278,51.229,1.028,,,1.028,88.745003,,,,88.745003,-62.334,-62.334,,-62.334,,,,0.0,,,,,,,,111.945999,
12/02/1995,-34.234001,38.445,52.02,52.955002,,,52.955002,-177.654007,,,,-177.654007,-66.245003,-66.245003,,-66.245003,,,,0.0,,,,,,,,-100.479004,
02/24/1996,199.977997,48.758999,50.987,-49.832001,,,-49.832001,150.063995,,,,150.063995,-49.882,-49.882,,-49.882,,,,0.0,,,,,,,,150.095997,
06/15/1996,143.570007,45.981998,68.542,23.841999,,,23.841999,5.204,,,,5.204,-66.224998,-66.224998,,-66.224998,,,,0.0,,,,,,,,77.345009,
09/07/1996,105.542,35.863998,53.421001,-4.893,,,-4.893,21.15,,,,21.15,-60.227001,-60.227001,,-60.227001,,,,0.0,,,,,,,,45.314999,
11/30/1996,-98.662003,40.216999,54.943001,25.875999,,,25.875999,-219.697998,,,,-219.697998,-50.785,-50.785,,-50.785,,,,0.0,,,,,,,,-149.447003,
02/22/1997,178.339005,52.980999,55.165001,-17.899,,,-17.899,88.092003,,,,88.092003,-67.445,-67.445,,-67.445,,,,0.0,,,,,,,,110.894005,
06/14/1997,122.432999,49.765999,69.444,-8.72,,,-8.72,11.943,,,,11.943,-84.750999,-28.158998,31.627001,-59.785999,-18.07,8.798,-26.868,-38.522001,-36.904,-16.798,-20.682,0.576,3.861,-3.285,0.0,0.778,
09/06/1997,148.679001,89.114998,53.173,-47.723999,,,-47.723999,54.115002,,,,54.115002,291.779999,-18.029999,28.625,-46.654999,-4.745,9.186,-13.931,314.554998,-408.604004,-17.15,-152.902999,-238.551005,23.358999,-261.910004,0.0,31.855,
11/29/1997,-91.541,40.249001,52.227001,-11.635,,,-11.635,-172.382004,,,,-172.382004,-84.806,-50.184,6.719,-56.903,0.0,0.0,0.0,-34.622,176.801,-15.559,165.509003,-18.673001,4.951,-23.624001,45.523998,0.454,
02/28/1998,213.364,51.627,55.238,-0.29,,,-0.29,106.789,,,,106.789,-47.889,-44.368,23.198,-67.566,-14.998,21.982,-36.98,11.477,-199.001,-15.348,-139.7,-43.953,5.565,-49.518,0.0,-33.526,
06/20/1998,131.011,51.798,69.194,-0.605,,1.217,-1.822,10.624,6.001,-11.579,,16.202,-67.434,-71.698,11.807,-83.505,0.0,0.0,0.0,4.264,-63.961,-32.052,-68.873,2.071,6.42,-4.349,34.893,-0.384,
09/12/1998,80.405,39.9,,51.129,,,51.129,-10.624,,,,-10.624,-75.203,-54.495,12.532,-67.027,-20.27,0.0,-20.27,-0.438,-83.146,0.0,-23.892,-27.011,0.0,-27.011,-32.243,-77.944,
12/05/1998,32.569,45.26,,-12.691,,,-12.691,0.0,,,,0.0,-1.093,-13.459,30.678,-44.137,72.141,92.325,-20.184,-59.775,47.016,-16.047,97.28,-28.525,0.0,-28.525,-5.692,78.492,
02/27/1999,315.955,54.38,,,,,,,,,,,-177.633,-36.053,9.641,-45.694,0.0,0.0,0.0,-141.58,-136.978,-15.915,-128.714,4.609,16.747,-12.138,3.042,1.344,
06/19/1999,138.939,66.721,,,,,,,,,,,238.234,258.941,356.961,-98.02,0.0,0.0,0.0,-20.707,-170.883,-31.82,-111.933,-15.883,0.0,-15.883,-11.247,206.29,
09/11/1999,83.448,45.482,,,,,,,,,,,-492.611,-79.136,2.245,-81.381,0.0,0.0,0.0,-413.475,206.522,-0.041,211.726,0.0,0.0,0.0,-5.163,-202.641,
12/04/1999,-202.006,58.654,,,,,,,,,,,-112.942,-61.451,8.87,-70.321,0.0,0.0,0.0,-51.491,314.239,-16.2,339.926,-2.195,0.0,-2.195,-7.292,-0.709,
02/26/2000,320.791,72.084,,,,,,,,,,,-167.181,-151.587,6.638,-158.225,-3.061,52.101,-55.162,-12.533,-153.238,-18.871,-49.714,-108.355,2.381,-110.736,23.702,0.372,
06/17/2000,246.387,69.965,,,,,,,,,,,-157.658,-102.158,11.636,-113.794,0.0,0.0,0.0,-55.5,-87.868,-36.095,5.044,-48.604,0.0,-48.604,-8.213,0.861,
09/09/2000,57.296,57.296,,,,,,,,,,,-94.177,-64.678,8.874,-73.552,0.0,0.0,0.0,-29.499,-37.409,-0.024,-32.07,0.0,0.0,0.0,-5.315,-74.29,
12/02/2000,211.481,47.511,,,,,,,,,,,-61.464,-77.617,11.009,-88.626,0.0,0.0,0.0,16.153,98.528,-18.219,79.062,0.0,0.0,0.0,37.685,248.545,
06/16/2001,217.956,56.968,103.021,57.967,,,57.967,,,,,,-75.282,-45.113,22.303,-67.416,-5.662,11.137,-16.799,-24.507,-112.999,-36.525,-70.081,-0.154,0.0,-0.154,-6.239,29.675,
09/08/2001,261.253,50.568,77.24,133.445,,,133.445,,,,,,-32.854,-30.297,28.259,-58.556,3.116,7.975,-4.859,-5.673,-246.087,0.0,-257.962,5.636,5.636,0.0,6.239,-17.688,
12/01/2001,350.21,58.016,77.555,214.639,,,214.639,0.0,,,,0.0,-139.742,-197.578,0.0,-197.578,-5.64,30.831,-36.471,63.476,-209.542,-55.195,-163.152,8.805,11.805,-3.0,0.0,0.926,
02/23/2002,-136.877,32.774,160.489,-362.399,,,-362.399,32.259,,,,32.259,23.171,,,,,,,,102.568,0.0,111.784,-26.912,2.017,-28.929,17.696,-11.138,
06/15/2002,221.547,77.155,86.907,57.485,,,57.485,,,,,,-125.349,-137.786,0.0,-137.786,-0.004,6.15,-6.154,12.441,238.479,-18.724,259.211,-2.008,29.96,-31.968,0.0,334.677,
09/07/2002,211.183,58.807,66.665,85.711,,,85.711,,,,,,-48.092,-65.87,0.0,-65.87,4.752,10.418,-5.666,13.026,-215.527,-18.793,-186.176,-10.558,0.0,-10.558,0.0,-52.436,
11/30/2002,18.577,57.137,68.174,-106.734,,,-106.734,,,,,,-78.009,-107.706,,-107.706,-15.219,17.716,-32.935,44.916,-181.497,-19.067,-162.495,0.065,1.58201,-1.51701,0.0,-240.929,
02/22/2003,184.397,63.943,75.307,,,,,,,,,,-57.195,-56.008,36.234,-92.242,0.0,0.0,0.0,-1.187,-151.497,-19.064,-132.508,0.075,0.075,0.0,0.0,-24.295,
06/14/2003,214.939,73.67,88.84,0.023,,,0.023,52.406,,,,52.406,-56.314,-51.384,11.34,-62.724,0.0,0.0,0.0,-4.93,-116.036,-19.111,-96.269,-0.656,0.926,-1.582,0.0,42.589,
09/06/2003,238.944,62.232,70.449,158.669,,,158.669,-52.406,,,,-52.406,-70.779,-99.623,0.0,-99.623,5.015,16.831,-11.816,23.829,-34.615,-19.077,-17.891,2.353,2.353,0.0,0.0,133.55,
11/29/2003,19.06,48.616,68.564,-98.12,,,-98.12,0.0,,,,0.0,-33.582,-73.961,,-73.961,5.491,9.345,-3.854,34.888,-138.531,-19.402,-112.04,-7.089,5.928,-13.017,0.0,-153.053,
02/28/2004,359.263,95.62,73.736,,,,,,,,,,-96.309,-100.423,2.765,-103.188,0.0,0.0,0.0,4.114,-23.272,-19.445,-17.747,13.92,13.92,0.0,0.0,239.682,
06/19/2004,232.21,149.411,92.994,-132.217,,-26.77,-105.447,122.022,,,,122.022,187.374,-53.395,0.0,-53.395,0.0,0.0,0.0,240.769,-282.98,-39.037,-261.54,17.597,17.597,0.0,0.0,136.604,
09/11/2004,223.568,78.536,69.978,50.753,,9.622,41.131,24.301,3.597,1.676,48.446,-29.418,-56.145,-65.297,4.798,-70.095,0.0,0.0,0.0,9.152,-67.349,-0.196,-13.93,-53.223,2.737,-55.96,0.0,100.074,
12/04/2004,-81.545,64.943,69.685,-16.833,,-17.775,0.942,-199.34,43.676,-237.392,45.938,-51.562,-46.573,-50.178,9.273,-59.451,0.0,0.0,0.0,3.605,-29.232,-20.466,-14.006,5.24,5.24,0.0,0.0,-157.35,
02/26/2005,424.825,92.933,70.382,178.341,,83.885,94.456,83.169,-15.809,243.827,,-144.849,-253.962,-79.849,0.0,-79.849,0.0,0.0,0.0,-174.113,-78.232,-20.521,-71.513,-42.158,13.801,-55.959,55.96,92.631,
06/18/2005,244.844,91.202,94.164,-8.852,,-8.713,-0.139,68.33,,,,68.33,-72.572,-78.469,0.0,-78.469,0.0,0.0,0.0,5.897,-91.294,-41.161,-36.624,-13.509,4.491,-18.0,0.0,80.978,
09/10/2005,263.118,33.773,72.985,28.989,,-26.767,55.756,127.371,,,,127.371,-57.938,-57.938,4.456,-62.394,0.0,0.0,0.0,0.0,3.383,-0.312,-13.602,17.297,17.297,0.0,0.0,208.563,
12/03/2005,-28.962,75.192,71.851,-6.304,7.0,-21.52,8.216,-169.701,,,,-169.701,-74.49,-80.593,,-80.593,0.0,0.0,0.0,6.103,-64.089,-22.527,-31.774,-9.788,1.212,-11.0,0.0,-167.541,
02/25/2006,216.0,6.002,72.0,126.998,-4.0,-4.0,134.998,11.0,22.0,28.0,-60.0,21.0,-53.0,-41.0,45.544,-86.544,0.0,0.0,0.0,-12.0,-41.0,-22.0,-22.0,3.0,3.0,0.0,0.0,122.0,
