Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch of Investments,Net Ch in Operating Loans,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1996,180.955002,27.854,5.581,,-3.256,,,,-3.256,150.776001,,,,,,,-1.373,,-1.373,,,,,,,,,,,,,,,,,,1.373,,,,,,,,,,,,,,,,,
06/28/1996,-300.381989,6.041,-0.098,,4.789,,,,4.789,-311.114014,,,,,,,-2.352,,-2.352,,,,,,,,,,,,,,,,,,2.352,,,,,,,,,,,,,,,,,
09/30/1996,259.799988,19.542,2.979,,-2.419,,,,-2.419,239.697998,,,,,,,-4.994,,-4.994,,,,,,,,,,,,,,,,,,4.994,,,,,,,,,,,,,,,,,
12/27/1996,43.444,17.167999,2.903,,1.095,,,,1.095,22.278,,,,,,,-6.894,,-6.894,,,,,,,,,,,,,,,,,,6.894,,,,,,,,,,,,,,,,,
03/27/1997,163.425003,38.130001,3.321,,-1.501,,,,-1.501,123.474998,,,,,,,-5.472,,-5.472,,,,,,,,,,,,,,,,,,5.472,,,,,,,,,,,,,,,,,
06/27/1997,-150.697006,17.139999,3.132,,0.038,,,,0.038,-171.007004,,,,,,,-4.943,,-4.943,,,,,,,,,,,,,,,,,,4.943,,,,,,,,,,,,,,,,,
09/30/1997,243.839005,26.476999,3.576,,-7.561,,,,-7.561,221.347,,,,,,,-8.147,,-8.147,,,,,,,,,,,,,,,,,,8.147,,,,,,,,,,,,,,,,,
12/26/1997,-63.243,22.745001,3.596,,-3.386,,,,-3.386,-86.197998,,,,,,,-16.035999,,-16.035999,,,,,,,,,,,,,,,,,,16.035999,,,,,,,,,,,,,,,15.465,29.41,
03/27/1998,228.942001,24.700001,3.833,,-2.98,,,,-2.98,203.389008,,,,,,,-10.204,,-10.204,,,,,,,,,,,,,,,,,,10.204,,,,,,,,,,,,,,,25.291,29.351999,
06/26/1998,-45.029999,22.791,4.212,,0.136,,,,0.136,-72.168999,,,,,,,-21.195,,-21.195,,,,,,,,,,,,,,,,,,21.195,,,,,,,,,,,,,,,19.080999,-0.563,
09/25/1998,327.661011,22.468,4.338,,-17.018,,,,-17.018,317.872986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.619,71.167999,
12/24/1998,257.307,17.479,4.86,,-0.023,,-0.023,,0.0,234.991,,,,,,-6.356,-6.356,0.0,-6.356,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,0.0,14.435,-3.37,19.856,,,,,-2.218,2.212,-4.43,,0.167,,265.386,10.447,29.932,
03/26/1999,-170.561996,21.868999,4.678,,-12.008,,,,-12.008,-185.100998,,,,,,-3.829,-3.829,0.0,-3.829,0.0,0.0,,,,0.0,,,,0.0,,,,,,,,0.0,157.744996,-3.307,180.932996,,,,,-19.85,2.869,-22.719,0.0,-0.031,,-16.646,33.912998,35.741001,
06/25/1999,-240.740997,23.49,4.46,,2.275,,,,2.275,-270.966003,,,,,,24.26,-11.631,0.0,-11.631,35.890999,35.890999,,,,0.0,,,,0.0,,,,,,,,0.0,-17.703003,-3.313,-15.939003,,,,,1.183,1.183,0.0,0.0,0.366,,-234.184006,1.503,37.992001,
09/24/1999,367.283997,22.252001,6.061,,-0.96,,,,-0.96,339.931,,,,,,-84.847,1.273,1.273,0.0,-18.522995,198.153,,,,-216.675995,,,,0.0,,,,,,,,-67.597005,-186.692,-3.314,-182.556,,,,,-2.437,1.978,-4.415,0.0,1.615,,95.745003,19.738001,47.630001,
12/31/1999,433.252991,26.816,5.401,,-0.351,,,,-0.351,401.386993,,,,,,-42.827999,-8.157,0.0,-8.157,-34.671001,0.0,,,,-34.671001,,,,0.0,,,,,,,,2e-06,-80.019997,-3.494,-55.802998,,,,,-20.468999,1.56,-22.028999,0.0,-0.254,,310.404999,3.467,36.424999,
03/31/2000,-330.734985,38.236,5.62,,1.214,,,,1.214,-375.804993,,,,,,20.809,-2.849,0.0,-2.849,23.658001,23.658001,,,,0.0,,,,0.0,,,,,,,,0.0,80.214997,-3.455,85.681997,,,,,-2.371,2.224,-4.595,0.0,0.359,,-229.710999,25.098,54.051998,
06/30/2000,-178.013,23.163,5.398,,-23.728001,,,,-23.728001,-182.845993,,,,,,14.362,-4.358,0.0,-4.358,18.719999,18.719999,,,,0.0,,,,0.0,,,,,,,,0.0,-98.476003,-3.46,-96.675003,,,,,1.161,1.161,0.0,0.0,0.498,,-262.127014,29.559999,79.638,
09/29/2000,-25.047001,36.98,8.068,,-7.498,,,,-7.498,-62.597,,,,,,-23.792999,-4.898,0.0,-4.898,-18.895004,122.862,,,,-141.757004,,,,0.0,,,,,,,,5e-06,-4.053,-3.469,-2.238,,,,,2.02,2.164,-0.144,0.0,-0.366,,-52.893002,41.200001,51.424,
12/29/2000,37.548,32.181,5.98,,3.325,,,,3.325,-3.938,,,,,,64.241997,-4.425,0.0,-4.425,68.667002,69.899002,,,,-1.232,,,,0.0,,,,,,,,-5e-06,14.61,-4.22,13.896,,,,,4.291,4.548,-0.257,0.0,0.643,,116.400002,2.83,44.991001,
03/30/2001,45.484001,22.665001,8.009,,-1.241,,,,-1.241,16.051001,,,,,,-100.608002,-7.271,0.0,-7.271,-44.568003,27.995001,,,,-72.563004,,,,0.0,,,,,,,,-48.768999,39.748,-4.294,43.331,,,,,2.375,2.625,-0.25,0.0,-1.664,,-15.376,25.624001,78.463997,
06/29/2001,4.191,28.93,7.324,,9.518,,,,9.518,-41.581001,,,,,,-16.174,-10.565,0.0,-10.565,-5.909,48.209999,,,,-54.118999,,,,0.0,,,,,,,,0.3,-1.362,-4.614,0.084,,,,,2.319,2.334,-0.015,0.0,0.849,,-13.345,19.504999,51.341,
09/28/2001,-654.195007,12.634,9.946,,54.505001,,,,54.505001,-731.280029,,,,,,10.602,-4.819,0.0,-4.819,15.420998,134.306,,,,-118.885002,,,,0.0,,,,,,,,2e-06,-37.728,-4.301,-31.903,,,,,0.672,1.904,-1.232,0.0,-2.196,,-681.320984,12.365,59.109001,
12/28/2001,-80.158997,18.098,5.79,,6.487,,,,6.487,-110.533997,,,,,,-27.280001,-2.934,0.0,-2.934,-24.346001,52.752998,,,,-77.098999,,,,0.0,,,,,,,,0.0,2.079,-4.798,4.059,,,,,4.544,5.234,-0.69,0.0,-1.726,,-105.360001,1.518,26.735001,
03/28/2002,-177.864,36.915,10.217,,13.358,,,,13.358,-238.354,,,,,,-55.462,-6.413,,-6.413,-49.049,114.023,,,,-163.072,,,,,,,,,,,,0.0,164.743,-9.129,169.666,,,,,7.541,8.546,-1.005,,-3.335,,-68.583,21.582,45.629,
06/28/2002,8.072,20.393,6.615,,-2.881,,,,-2.881,-16.055,,,,,,63.362,-12.386,0.0,-12.386,75.748,79.138,,,,-3.39,,,,0.0,,,,,,,,-1e-06,-39.872001,-5.061,-39.699001,,,,,1.578,1.707,-0.129,0.0,3.31,,31.562,13.235,14.675,
09/27/2002,224.016006,21.995001,5.981,,19.004999,,,,19.004999,177.035004,,,,,,-19.871,-7.591,0.0,-7.591,-12.279999,73.112999,,,,-85.392998,,,,0.0,,,,,,,,-1e-06,-156.093001,-4.318,-142.830002,,,,,-6.227,1.786,-8.013,0.0,-2.718,,48.051998,8.215,16.829,
12/27/2002,-124.194,14.428,5.133,,4.881,,,,4.881,-148.636002,,,,,,32.653999,-6.113,0.0,-6.113,38.767002,51.830002,,,,-13.063,,,,0.0,,,,,,,,-3e-06,19.294,-4.435,18.885,,,,,3.573,3.637,-0.064,0.0,1.271,,-72.246002,19.441,13.427,
03/28/2003,-64.059,15.194,4.746,,16.954,,,,16.954,-100.953,,,,,,41.786,-7.407,0.0,-7.407,49.193,50.761,,,,-1.568,,,,0.0,,,,,,,,0.0,100.013,-4.491,125.53,,,,,-26.267,9.596,-35.863,0.0,5.241,,77.74,18.1,3.767,
06/27/2003,-101.241997,23.561001,4.283,,-1.618,,,,-1.618,-127.468002,,,,,,32.272999,-10.565,0.0,-10.565,42.838,54.34,,,,-11.502,,,,0.0,,,,,,,,-2e-06,161.702007,-4.448,160.126007,,,,,2.439,2.439,0.0,0.0,3.585,,92.733002,8.844,21.205,
09/26/2003,480.685,33.134,4.182,,19.174,,,,19.174,424.195,,,,,,-25.822,-4.69,0.0,-4.69,-21.132,51.034,,,,-72.166,,,,0.0,,,,,,,,0.0,-287.958,-4.265,-286.894,,,,,2.98,3.017,-0.037,0.0,0.221,,166.905,17.535,10.138,
12/26/2003,-202.091,24.23,3.297,,8.944,,,,8.944,-238.562,,,,,,25.789,-6.721,0.0,-6.721,32.51,34.051,,,,-1.541,,,,0.0,,,,,,,,0.0,35.984,-4.415,35.599,,,,,3.388,3.471,-0.083,0.0,1.412,,-140.318,16.747,10.807,
03/26/2004,-48.239,43.068,4.997,,10.223,,,,10.223,-106.527,,,,,,15.229,-7.148,0.0,-7.148,22.377,22.858,,,,-0.481,,,,0.0,,,,,,,,0.0,-13.071,-5.156,-13.664,,,,,5.395,5.446,-0.051,0.0,0.354,,-46.081,36.174,10.619,
06/25/2004,117.419,29.613,4.147,,-12.475,,,,-12.475,96.134,,,,,,-0.287,-3.156,0.0,-3.156,2.869,21.587,,,,-18.718,,,,0.0,,,,,,,,0.0,4.05,-5.149,5.902,,,,,2.591,2.732,-0.141,0.0,0.706,,121.182,28.297,11.516,
09/24/2004,-50.165,30.664,4.386,,46.447,,,,46.447,-131.662,,,,,,-30.04,-5.003,0.0,-5.003,-25.037,20.234,,,,-45.271,,,,0.0,,,,,,,,0.0,-60.386,-5.944,-58.653,,,,,1.291,2.971,-1.68,0.0,2.92,,-140.591,0.0,15.287,
12/31/2004,84.192,39.243,3.984,,15.333,,-1.357,3.897,12.793,25.632,,,,,,-15.864,-3.388,,-3.388,13.218,32.431,,,,-19.213,,,,-25.694,,,,,,,,0.0,22.466,-6.186,31.974,,,,,7.727,7.81,-0.083,-12.8,1.751,,90.794,25.161,25.082,
03/24/2005,15.023,34.697,4.44,,7.497,,-6.506,3.981,10.022,-31.611,,,,,,33.696,-9.219,,-9.219,17.221,17.221,,,,,,,,,,,,,,,,25.694,-0.722,-5.879,-14.547,,,,,7.542,7.555,-0.013,,12.162,,47.997,50.174,29.315,
06/24/2005,159.109,32.382,3.599,,30.405,,,,30.405,92.723,,,,,,-218.74,-6.381,0.0,-6.381,-6.524,11.697,,,,-18.221,,,,-205.835,,,,,,,,0.0,161.355,-7.619,-11.976,,,,,3.755,3.755,0.0,220.701,-43.506,,101.724,7.74,32.444,
09/30/2005,151.594,44.724,5.758,,-9.765,,,,-9.765,110.877,,,,,,-244.673,-11.166,0.0,-11.166,-79.497,19.572,,,,-99.069,,,,-154.01,,,,,,,,0.0,230.498,-6.616,79.539,,,,,3.927,3.946,-0.019,82.283,71.365,,137.419,30.401,29.712,
12/31/2005,-130.275,45.109,4.378,,16.001,,5.055,4.422,6.524,-195.763,,,,,,-349.562,-10.875,0.0,-10.875,-47.975,18.46,,,,-66.435,,,,-290.712,,,,,,,,0.0,184.077,-9.314,172.626,,,,,12.546,12.674,-0.128,22.512,-14.293,,-295.76,12.935,48.317,
03/31/2006,-22.45,61.531,23.633,,-6.427,,,,-6.427,-101.187,,,,,,-384.122,-3.946,0.0,-3.946,-9.219,23.604,,,,-32.823,,,,-332.085,,,,,,,,-38.872,415.76,-9.057,234.161,,,,,7.514,12.413,-4.899,146.204,36.938,,9.188,50.844,62.737,
06/30/2006,94.055,56.774,13.07,,-5.942,,,,-5.942,30.153,,,,,,-273.22,-7.588,0.0,-7.588,38.443,38.443,,,,0.0,,,,-294.282,,,,,,,,-9.793,216.516,-9.47,2.862,,,,,4.473,4.546,-0.073,203.668,14.983,,37.351,26.55,80.22,
09/30/2006,53.761,50.928,9.103,,10.212,,,,10.212,-16.482,,,,,,-1034.482,-4.871,0.0,-4.871,-598.987,1023.244,,,,-1622.231,,,,-389.554,,,,,,,,-41.07,1024.887,-9.729,-365.606,,,,,5.133,5.133,0.0,1358.476,36.613,,44.166,39.151,102.941,
12/31/2006,-252.146,59.395,5.294,6.198,8.975,,2.192,9.599,-2.816,-332.008,,,,,,-307.053,-11.738,0.0,-11.738,137.171,229.745,,,,-92.574,,,,-432.486,,,,,,,,0.0,517.421,-11.825,279.214,,,,,12.866,14.216,-1.35,259.844,-22.678,,-41.778,19.331,102.877,
03/31/2007,124.611,59.715,7.763,,3.6,,,,3.6,53.533,,,,,,-1760.176,-8.191,0.0,-8.191,-1428.04,0.0,,,,-1428.04,,,,-323.945,,,,,,,,0.0,1705.034,-11.973,87.86,,,,,15.254,15.254,0.0,1625.055,-11.162,,69.469,69.664,114.614,
06/30/2007,-89.635,68.353,14.224,,2.444,,,,2.444,-174.656,,,,,,-300.296,-10.133,0.0,-10.133,128.415,128.415,,,,0.0,,,,-405.274,,,,,,,,-13.304,409.751,-12.613,72.272,,,,,5.122,5.122,0.0,332.767,12.203,,19.82,39.369,131.61,
09/30/2007,654.353,62.967,26.29,,-1.965,,,,-1.965,567.061,,,,,,-566.33,-16.019,0.0,-16.019,420.068,420.068,,,,0.0,,,,-957.197,,,,,,,,-13.182,113.337,-12.077,-487.813,,,,,4.256,4.256,0.0,560.713,48.258,,201.36,48.723,149.074,
12/31/2007,76.61,56.242,6.993,14.077,9.551,,-1.808,12.144,-0.785,-10.253,,,,,,-665.451,-8.329,0.0,-8.329,590.708,620.125,,,,-29.417,,,,-1200.012,,,,,,,,-47.818,623.718,-13.357,4.614,,,,,0.613,7.467,-6.854,623.603,8.245,,34.877,14.147,144.769,
03/31/2008,-8.057,59.79,6.172,12.82,9.835,,1.165,3.318,5.352,-96.674,,,,,,-1478.632,-11.33,0.0,-11.33,-882.619,0.0,,,,-882.619,,,,-584.683,,,,,,,,0.0,1633.5,-13.635,210.839,,,,,-45.654,14.735,-60.389,1503.433,-21.483,,146.811,73.918,118.139,
06/30/2008,48.375,69.938,7.075,16.568,16.039,,17.994,11.248,-13.203,-61.245,,,,,,-222.563,-15.689,0.0,-15.689,338.523,697.272,,,,-358.749,,,,-545.397,,,,,,,,0.0,-8.205,-13.235,-12.207,,,,,4.33,4.33,0.0,33.844,-20.937,,-182.393,21.877,67.462,
09/30/2008,18.73,49.108,7.742,25.299,34.718,,15.071,10.957,8.69,-98.137,,,,,,-417.973,-15.695,0.0,-15.695,35.66,745.882,,,,-710.222,,,,-437.938,,,,,,,,0.0,2929.356,-12.924,1858.508,,,,,10.522,10.522,0.0,1028.318,44.932,,2530.113,24.841,66.323,
12/31/2008,273.835,61.093,8.345,30.153,-3.383,-1.241,-16.423,-0.985,15.266,177.627,13.243,-68.953,0.323,233.014,0.0,-994.708,-15.138,0.0,-15.138,-346.557,24.907,0.0,0.0,24.907,-371.464,0.0,0.0,-371.464,-624.177,-624.177,0.0,0.0,0.0,0.0,0.0,0.0,-8.836,-2001.424,-13.365,-2048.131,-2048.131,0.0,0.0,0.0,3.427,7.889,-4.462,18.525,38.12,-4.214,-2726.511,1.197,33.601,
03/31/2009,-100.268,6.093,8.221,79.065,15.976,0.574,2.914,10.469,2.019,-209.623,-65.399,-60.583,-1.973,-81.668,0.0,293.558,-7.972,0.0,-7.972,250.191,,,,,,,,,52.858,52.858,0.0,0.0,0.0,0.0,0.0,0.0,-1.519,-350.319,-13.513,73.283,73.283,0.0,0.0,0.0,13.801,15.91,-2.109,-423.89,0.0,-0.544,-157.573,81.613,6.592,
06/30/2009,230.734,42.595,8.773,32.582,-15.119,-9.65,-15.468,7.321,2.678,161.903,-16.383,112.19,-22.075,88.171,0.0,854.845,-5.886,0.0,-5.886,395.932,457.198,0.0,0.0,457.198,-61.266,0.0,0.0,-61.266,466.444,466.444,0.0,0.0,0.0,0.0,0.0,0.0,-1.645,-857.158,-13.586,-113.325,-113.325,0.0,0.0,0.0,1.287,,,-731.534,0.0,-6.267,222.154,15.268,7.721,
09/30/2009,-30.142,42.969,9.224,44.576,-12.827,-1.546,-15.694,11.731,-7.318,-114.084,-42.967,-63.264,-51.87,44.017,0.0,-1179.779,-6.543,0.0,-6.543,-1647.165,,,,,,,,,461.929,461.929,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2967.085,-13.676,1227.674,900.631,0.0,327.043,0.0,5.378,,,1785.829,-38.12,9.575,1766.739,39.54,10.86,
12/31/2009,-138.991,42.903,11.758,37.635,-13.019,-0.145,-23.07,13.358,-3.162,-218.268,29.808,-126.107,-12.632,-109.337,0.0,2190.074,-5.827,0.0,-5.827,2026.71,2037.975,0.0,0.0,2037.975,-11.265,0.0,0.0,-11.265,178.01,178.01,0.0,0.0,0.0,0.0,0.0,0.0,-8.819,-3339.705,-13.687,-911.231,-912.258,0.0,1.027,0.0,1.531,4.852,-3.321,-2416.318,0.0,1.122,-1287.5,8.972,6.472,
03/31/2010,86.749,55.628,12.14,21.908,-11.389,-12.366,-15.252,10.617,5.612,8.462,-147.49,23.647,104.576,27.729,0.0,102.162,-7.417,0.0,-7.417,31.478,38.835,0.0,0.0,38.835,-7.357,0.0,0.0,-7.357,69.282,69.282,0.0,0.0,0.0,0.0,0.0,0.0,8.819,-279.089,-14.709,5.655,,,,,5.575,5.617,-0.042,-275.61,0.0,0.579,-89.599,101.286,23.581,
06/30/2010,70.646,60.687,5.456,24.74,31.282,-0.694,2.757,7.384,21.835,-51.519,-33.254,157.623,-25.098,-150.79,0.0,125.314,-4.735,0.0,-4.735,37.733,38.405,0.0,0.0,38.405,-0.672,0.0,0.0,-0.672,104.634,104.634,0.0,0.0,0.0,0.0,0.0,0.0,-12.318,-258.715,-13.804,10.908,10.908,0.0,0.0,0.0,5.913,,,-261.732,0.0,-0.035,-62.79,10.86,4.439,
09/30/2010,-1039.797,69.065,10.173,25.041,-4.172,-1.764,9.736,8.206,-20.35,-1139.904,16.079,36.959,4.981,-1197.923,0.0,-51.329,-4.308,0.0,-4.308,-76.783,34.746,0.0,0.0,34.746,-111.529,0.0,0.0,-111.529,17.444,17.444,0.0,0.0,0.0,0.0,0.0,0.0,12.318,3165.331,-13.809,2563.508,956.508,0.0,1607.0,0.0,5.641,5.816,-0.175,609.991,0.0,-0.55,2073.655,40.227,25.092,
12/31/2010,1212.449,81.723,9.574,14.793,-9.684,-0.484,-18.737,15.539,-6.002,1116.043,66.114,-178.118,-2.868,1230.915,0.0,-22.002,-9.5,0.0,-9.5,40.627,50.476,0.0,0.0,50.476,-9.849,0.0,0.0,-9.849,-48.76,-48.76,0.0,0.0,0.0,0.0,0.0,0.0,-4.369,-2927.11,-16.387,-2525.458,-2525.458,0.0,0.0,0.0,12.057,17.318,-5.261,-397.322,0.0,-1.693,-1738.356,6.688,8.787,
03/31/2011,-79.472,80.917,10.228,15.227,1.055,-1.185,-7.111,10.433,-1.082,-186.899,20.163,-38.66,-16.643,-151.759,0.0,123.557,-6.474,0.0,-6.474,52.379,,,,,,,,,73.283,73.283,0.0,0.0,0.0,0.0,0.0,0.0,4.369,3.529,-16.481,-27.475,-27.475,0.0,0.0,0.0,19.298,20.953,-1.655,28.187,0.0,2.671,50.285,112.062,23.778,
06/30/2011,-42.822,46.786,10.528,14.105,46.488,-10.089,-17.394,5.225,68.746,-160.729,13.357,-77.335,-54.488,-42.263,0.0,-105.477,-12.196,0.0,-12.196,63.796,,,,,,,,,-138.675,-138.675,0.0,0.0,-6.354,0.0,-6.354,0.0,-12.048,472.63,-16.478,251.171,251.171,0.0,0.0,0.0,4.062,4.144,-0.082,233.875,0.0,0.823,325.154,35.525,3.622,
09/30/2011,468.286,68.927,10.007,8.514,17.453,-1.243,37.234,7.675,-26.213,363.385,-18.894,195.917,-64.56,250.922,0.0,-396.221,-9.03,0.0,-9.03,-177.077,,,,,,,,,-222.162,-222.162,,,0.0,0.0,0.0,0.0,12.048,771.567,-13.744,-0.514,-0.514,0.0,0.0,0.0,-9.039,7.074,-16.113,794.864,0.0,-2.625,841.007,39.958,19.145,
12/31/2011,-19.991,67.325,9.971,6.556,-1.477,-1.392,-10.444,15.735,-5.376,-102.366,-6.712,-6.892,-12.822,-75.94,0.0,-444.308,-13.647,0.0,-13.647,59.309,64.276,0.0,0.0,64.276,-4.967,0.0,0.0,-4.967,-489.97,-489.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57.931,-16.399,5.631,5.631,0.0,0.0,0.0,-12.737,4.317,-17.054,-34.426,0.0,-0.511,-522.741,10.137,11.215,
03/31/2012,89.061,68.869,10.082,3.082,-4.959,-12.033,0.411,12.395,-5.732,11.987,51.365,13.262,22.499,-75.139,0.0,-608.285,-17.535,0.0,-17.535,-119.012,,,,,,,,,-471.738,-471.738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1477.504,-16.479,914.949,914.949,0.0,0.0,0.0,374.101,376.269,-2.168,208.95,-4.017,0.624,958.904,100.351,25.096,
06/30/2012,146.717,76.35,18.026,17.041,22.39,-7.797,-6.356,10.643,25.9,12.91,-71.539,-199.141,-59.57,343.16,0.0,-1460.025,-22.39,0.0,-22.39,-46.694,85.432,0.0,0.0,85.432,-132.126,0.0,0.0,-132.126,-294.31,-294.31,0.0,0.0,-1096.631,0.0,-1096.631,0.0,0.0,167.581,-17.777,-189.504,-189.504,0.0,0.0,0.0,7.387,8.654,-1.267,363.458,4.017,-1.096,-1146.823,13.227,15.096,
