Date,Returns,Return on Common Equity,Return on Assets,Return on Capital,Return on Invested Capital,Margins,Gross Margin,EBITDA Margin,Operating Margin,Incremental Operating Margin,Pretax Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Effective Tax Rate,Dvd Payout Ratio,Sustainable Growth Rate,Source: Bloomberg
06/30/2010,,34.303037,15.154744,,28.994557,,50.3258,17.875323,14.874349,18.776342,14.852261,9.270322,9.270322,9.270322,,37.583091,32.229097,23.247478,
09/30/2010,,33.63432,15.212982,,29.022502,,48.851264,16.434625,13.460038,23.196102,13.427264,8.361683,8.361683,8.361683,,37.726086,34.707482,21.960694,
12/31/2010,,31.998663,15.183676,,28.235235,,47.264297,14.175788,10.830285,38.578655,10.768841,6.86105,6.86105,6.86105,,36.287942,45.980631,17.285476,
03/31/2011,,31.789737,15.439774,,28.988165,,48.131187,14.448007,11.061209,10.192452,10.990528,6.861947,6.861947,6.861947,,37.564897,55.381491,14.184107,
06/30/2011,,30.676611,15.48454,,28.427071,,50.178819,18.423024,15.524473,24.50423,15.468924,9.693355,9.693355,9.693355,,37.336588,33.183574,20.497015,
09/30/2011,,32.082148,15.857773,,30.169976,,49.032967,17.422336,14.539915,32.055712,14.515527,9.080694,9.080694,9.080694,,37.441514,34.874826,20.893555,
12/31/2011,,32.384676,15.926918,,30.281199,,47.691105,15.356886,12.008746,48.148554,11.988334,7.470871,7.470871,7.470871,,37.682163,47.415559,17.029301,
03/31/2012,,32.989843,16.4683,,31.384836,,48.842865,16.084501,12.710345,37.846482,12.692726,7.97333,7.97333,7.97333,,37.181895,50.84818,16.215108,
06/30/2012,,31.33534,16.270811,,30.32342,,50.430911,18.756719,15.88607,23.912441,15.880097,9.892437,9.892437,9.892437,,37.705442,35.358952,20.255492,
09/30/2012,,31.651222,16.438841,31.677976,30.98385,,49.885795,17.984943,15.202585,28.412308,15.196999,9.468838,9.468838,9.468838,,37.692709,36.275558,20.169564,
12/31/2012,,32.795201,16.639615,,32.36393,,46.792192,14.608689,11.406919,1.372787,11.431723,7.47863,7.47863,7.47863,,34.580026,127.45745,-9.004726,
03/31/2013,,31.781992,16.264403,,31.903698,,48.081838,15.005639,11.704492,,11.719506,7.733706,7.733706,7.733706,,34.009964,56.781656,13.735651,
06/30/2013,,31.352573,16.122801,,31.234377,,50.295897,19.076221,16.291712,24.821047,16.327915,10.260606,10.260606,10.260606,,37.159119,36.558593,19.890513,
09/30/2013,,30.488226,16.127557,,30.276806,,49.984123,18.774282,15.992048,28.212596,16.019936,9.99572,9.99572,9.99572,,37.604495,36.300083,19.420975,
12/31/2013,,31.096392,17.228193,,30.494151,,48.459072,15.677826,12.649558,33.438899,12.684051,8.609916,8.609916,8.609916,,32.120138,93.91909,1.890944,
03/31/2014,,30.910042,17.095524,,30.445081,,48.527704,16.432027,13.172808,45.35615,13.197059,8.221757,8.221757,8.221757,,37.700082,59.493344,12.520624,
06/30/2014,,30.402313,16.966539,,29.905998,,50.551364,20.628552,17.756534,45.444259,17.779817,11.062468,11.062468,11.062468,,37.780756,37.486233,19.005631,
09/30/2014,,30.213346,17.096588,,29.820899,,50.941876,20.10575,17.134097,35.342285,17.127861,10.684387,10.684387,10.684387,,37.619842,37.229153,18.965173,
12/31/2014,,30.560387,17.793184,,29.890369,,49.126765,16.408442,13.495818,27.774891,13.529543,8.698041,8.698041,8.698041,,35.710755,99.717284,0.086399,
03/31/2015,,31.018188,18.147541,,30.545109,,49.217761,17.32984,14.071845,30.152389,14.086048,9.150854,9.150854,9.150854,,35.036042,57.736799,13.109279,
06/30/2015,,30.097504,17.708531,,29.461097,,51.495856,21.296188,18.428663,29.320405,18.445493,11.493816,11.493816,11.493816,,37.687671,38.801589,18.419194,
09/30/2015,,29.752693,17.799811,,29.563054,,51.096696,20.905275,18.114503,43.47943,18.119756,11.268656,11.268656,11.268656,,37.810114,38.821471,18.20226,
12/31/2015,,30.839815,18.366466,,29.196602,,49.728276,16.753103,14.282207,28.86409,14.289379,8.758345,8.758345,8.758345,,38.707311,123.926108,-7.378767,
03/31/2016,,30.498771,18.371631,,30.098963,,49.593464,17.794611,14.494693,20.905301,14.508868,9.051529,9.051529,9.051529,,37.613818,68.493485,9.6091,
06/30/2016,,29.653559,17.841928,,29.001772,,52.340727,21.70198,18.698086,24.263815,18.71949,11.622273,11.622273,11.622273,,37.913516,45.714375,16.09762,
09/30/2016,,29.462748,18.06325,,28.979787,,51.506861,21.941584,18.855927,31.078852,18.860173,11.710307,11.710307,11.710307,,37.909862,43.914322,16.524382,
12/31/2016,,30.637559,18.963295,,27.857653,,49.951247,16.946221,13.621393,3.257766,13.622431,9.856229,9.856229,9.856229,,27.647059,114.620465,-4.479353,
03/31/2017,,31.234457,19.546466,,30.570097,,49.589737,18.909145,15.239296,26.906846,15.25875,10.731598,10.731598,10.731598,,29.669217,62.246499,11.792101,
06/30/2017,,30.892972,19.258194,,30.188344,,52.836434,22.948646,19.824244,40.473642,19.868067,12.383435,12.383435,12.383435,,37.67167,46.695282,16.467411,
09/30/2017,,29.950321,18.637407,,29.144448,,51.429707,21.488893,18.311348,9.581065,18.328886,11.417674,11.417674,11.417674,,37.706665,48.743185,15.351581,
12/31/2017,,29.305283,18.369799,,27.18235,,49.960816,19.90051,16.548071,55.331798,16.528057,8.134541,8.134541,8.134541,,50.783438,138.928813,-11.408199,
03/31/2018,,30.069308,18.9697,,29.322978,,49.566475,18.634738,14.496186,6.17107,14.481996,11.871792,11.871792,11.871792,,18.023786,62.942442,11.142951,
06/30/2018,,30.341292,19.104496,,29.61016,,51.96863,22.190771,18.784459,9.173666,18.768849,13.641482,13.641482,13.641482,,27.318496,46.605718,16.200515,
09/30/2018,,30.960217,19.707734,,30.114929,,51.554622,21.875224,18.417022,19.693273,18.429939,13.660585,13.660585,13.660585,,25.878296,45.851534,16.764483,
12/31/2018,,33.92262,21.775018,,32.656258,,50.242227,19.276512,16.009482,8.542008,16.074706,11.463169,11.463169,11.463169,,28.688158,119.449019,-6.597617,
03/31/2019,,32.906309,19.576987,,28.13932,,49.365254,21.316851,13.000007,,13.063866,10.307433,10.307433,10.307433,,21.099674,81.458102,6.101454,
06/30/2019,,31.230012,15.952047,,22.261816,,51.65004,20.822892,16.959025,,16.596591,12.271045,12.271045,12.271045,,26.062857,56.031822,13.731267,
09/30/2019,,26.406686,14.065256,,24.231784,,51.709898,12.7413,8.79928,,8.291432,7.918004,7.918004,7.918004,,4.503782,81.751413,4.818847,
12/31/2019,,26.622058,14.327779,,24.823431,,49.744755,30.349516,14.718618,5.364971,14.23145,10.032906,10.032906,10.032906,,29.501868,109.651591,-2.569452,
03/31/2020,,26.638982,13.299531,,22.705066,,48.523983,20.471161,11.7985,3.035763,11.354763,8.868193,8.868193,8.868193,,21.898917,90.879726,2.429548,
06/30/2020,,26.432146,11.970975,,20.090549,,53.802891,26.785511,18.972438,54.88901,18.70858,13.619022,13.619022,13.619022,,27.204405,34.795297,17.235002,
