Date,Revenue,Sales & Services Revenue,Other Revenue,Gross Profit,Other Operating Income,Operating Expenses,Selling & Marketing,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/2011,9809.0,8886.0,923.0,,0.0,-9001.0,,,385.0,8616.0,808.0,-266.0,237.0,242.0,-5.0,29.0,542.0,-4.0,,,,538.0,0.0,0.0,0.0,538.0,0.0,538.0,0.0,0.0,538.0,632.9,94.9,330.0,1.63,1.63,1.917879,400.0,1.39,1.39,1.62725,
09/30/2011,10171.0,9292.0,879.0,,0.0,-9236.0,,,384.0,8852.0,935.0,-275.0,211.0,217.0,-6.0,64.0,660.0,-7.0,,,,653.0,0.0,0.0,0.0,653.0,0.0,653.0,0.0,0.0,653.0,731.0,78.0,330.0,1.97,1.97,2.215152,392.0,1.69,1.69,1.88898,
12/31/2011,8928.0,8100.0,828.0,,0.0,-8883.0,333.0,,390.0,8160.0,45.0,-191.0,205.0,210.0,-5.0,-14.0,-146.0,8.0,,,,-138.0,0.0,0.0,0.0,-138.0,0.0,-138.0,0.0,0.0,-138.0,109.000032,247.000032,330.0,-0.42,-0.42,0.330303,330.0,-0.42,-0.42,0.328485,
03/31/2012,8602.0,7772.0,830.0,,0.0,-8873.0,337.0,,380.0,8156.0,-271.0,-176.0,203.0,208.0,-5.0,-27.0,-447.0,-1.0,,,,-448.0,0.0,0.0,0.0,-448.0,0.0,-448.0,0.0,0.0,-448.0,-285.99998,162.00002,330.0,-1.36,-1.36,-0.866667,330.0,-1.36,-1.36,-0.869091,
06/30/2012,9939.0,9033.0,906.0,,0.0,-9364.0,345.0,,378.0,8641.0,575.0,-235.0,197.0,204.0,-7.0,38.0,340.0,-1.0,,,,339.0,0.0,0.0,0.0,339.0,0.0,339.0,0.0,0.0,339.0,545.0,206.0,331.0,1.02,1.02,1.646526,393.0,0.89,0.89,1.414173,
09/30/2012,9909.0,9020.0,889.0,,0.0,-9709.0,356.0,,379.0,8974.0,200.0,-185.0,189.0,193.0,-4.0,-4.0,15.0,-9.0,,,,6.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,6.0,520.0,514.0,331.0,0.02,0.02,1.570997,332.0,0.02,0.02,1.568193,
12/31/2012,8702.0,7776.0,926.0,,0.0,-9167.0,,,385.0,8782.0,-465.0,-167.0,186.0,193.0,-7.0,-19.0,-632.0,12.0,,,,-620.0,0.0,0.0,0.0,-620.0,0.0,-620.0,0.0,0.0,-620.0,-189.999939,430.000061,331.0,-1.87,-1.87,-0.574018,331.0,-1.87,-1.87,-0.574018,
03/31/2013,8721.0,7786.0,935.0,,0.0,-8985.0,328.0,,408.0,8249.0,-264.0,-162.0,185.0,190.0,-5.0,-23.0,-426.0,9.0,,,,-417.0,0.0,0.0,0.0,-417.0,0.0,-417.0,0.0,0.0,-417.0,-397.35,19.65,332.0,-1.26,-1.26,-1.196837,332.0,-1.26,-1.26,-1.200813,
06/30/2013,10001.0,8904.0,1097.0,,0.0,-9231.0,347.0,,425.0,8459.0,770.0,-299.0,176.0,182.0,-6.0,123.0,471.0,-2.0,,,,469.0,0.0,0.0,0.0,469.0,0.0,469.0,0.0,0.0,469.0,605.55,136.55,341.0,1.37,1.37,1.775806,394.0,1.21,1.21,1.556574,
09/30/2013,10228.0,9117.0,1111.0,,0.0,-9720.0,377.0,,435.0,8908.0,508.0,-126.0,178.0,183.0,-5.0,-52.0,382.0,-3.0,,,,379.0,0.0,0.0,0.0,379.0,0.0,379.0,0.0,0.0,379.0,529.1,150.1,357.0,1.06,1.06,1.482073,395.0,0.98,0.98,1.36,
12/31/2013,9329.0,8197.0,1132.0,,0.0,-9094.0,338.0,,421.0,8335.0,235.0,-123.0,174.0,179.0,-5.0,-51.0,112.0,28.0,,,,140.0,0.0,0.0,0.0,140.0,0.0,140.0,0.0,0.0,140.0,248.00004,108.00004,361.0,0.39,0.39,0.686981,391.0,0.37,0.37,0.646215,
03/31/2014,8696.0,7593.0,1103.0,,0.0,-9045.0,318.0,,409.0,8318.0,-349.0,-257.0,168.0,173.0,-5.0,89.0,-606.0,-3.0,,,,-609.0,0.0,0.0,0.0,-609.0,0.0,-609.0,0.0,0.0,-609.0,-489.000027,119.999973,368.0,-1.66,-1.66,-1.328804,368.0,-1.66,-1.66,-1.333913,
06/30/2014,10329.0,9213.0,1116.0,,0.0,-9423.0,346.0,,417.0,8660.0,906.0,-115.0,169.0,173.0,-4.0,-54.0,791.0,-2.0,,,,789.0,0.0,0.0,0.0,789.0,0.0,789.0,0.0,0.0,789.0,919.0,130.0,373.0,2.12,2.12,2.463807,396.0,2.01,2.01,2.338283,
09/30/2014,10563.0,9551.0,1012.0,,0.0,-9372.0,375.0,,422.0,8575.0,1191.0,-271.0,165.0,173.0,-8.0,106.0,920.0,4.0,,,,924.0,0.0,0.0,0.0,924.0,0.0,924.0,0.0,0.0,924.0,1075.0,151.0,370.0,2.5,2.5,2.905405,393.0,2.37,2.37,2.754224,
12/31/2014,9313.0,8343.0,970.0,,0.0,-8688.0,334.0,,431.0,7923.0,625.0,-602.0,159.0,164.0,-5.0,443.0,23.0,5.0,,,,28.0,0.0,0.0,0.0,28.0,0.0,28.0,0.0,0.0,28.0,405.820702,377.820702,372.0,0.08,0.08,1.090916,376.0,0.07,0.07,1.074842,
03/31/2015,8608.0,7662.0,946.0,,0.0,-7867.0,312.0,,429.0,7126.0,741.0,-230.0,156.0,161.0,-5.0,74.0,511.0,-3.0,,,,508.0,0.0,0.0,0.0,508.0,0.0,508.0,0.0,0.0,508.0,582.0,74.0,382.0,1.33,1.33,1.52356,384.0,1.32,1.32,1.512708,
06/30/2015,9914.0,8905.0,1009.0,,0.0,-8469.0,348.0,,445.0,7676.0,1445.0,-248.0,148.0,154.0,-6.0,100.0,1197.0,-4.0,,,,1193.0,0.0,0.0,0.0,1193.0,0.0,1193.0,0.0,0.0,1193.0,1260.0,67.0,380.0,3.14,3.14,3.315789,380.0,3.14,3.14,3.315789,
09/30/2015,10306.0,9195.0,1111.0,,0.0,-8407.0,366.0,,469.0,7572.0,1899.0,-293.0,146.0,151.0,-5.0,147.0,1606.0,3210.0,,,,4816.0,0.0,0.0,0.0,4816.0,0.0,4816.0,0.0,0.0,4816.0,1094.0,-3722.0,375.0,12.83,12.83,2.917333,376.0,12.82,12.82,2.917333,
12/31/2015,9036.0,7960.0,1076.0,,0.0,-7955.0,316.0,,476.0,7163.0,1081.0,-176.0,145.0,154.0,-9.0,31.0,905.0,-82.0,,,,823.0,0.0,0.0,0.0,823.0,0.0,823.0,0.0,0.0,823.0,950.25002,127.25002,367.0,2.24,2.24,2.589237,367.0,2.24,2.24,2.58673,
03/31/2016,8195.0,7184.0,1011.0,,0.0,-7546.0,303.0,,479.0,6764.0,649.0,-155.0,137.0,145.0,-8.0,18.0,494.0,-181.0,,,,313.0,0.0,0.0,0.0,313.0,0.0,313.0,0.0,0.0,313.0,439.090912,126.090912,354.3,0.88,0.88,1.23932,354.6,0.88,0.88,1.235586,
06/30/2016,9396.0,8311.0,1085.0,,0.0,-8336.0,339.0,,491.0,7506.0,1060.0,-129.0,134.0,143.0,-9.0,-5.0,931.0,-343.0,,,,588.0,0.0,0.0,0.0,588.0,0.0,588.0,0.0,0.0,588.0,860.0,272.0,330.5,1.78,1.78,2.602118,330.8,1.78,1.78,2.602118,
09/30/2016,9913.0,8827.0,1086.0,,0.0,-8289.0,345.0,,503.0,7441.0,1624.0,-114.0,116.0,130.0,-14.0,-2.0,1510.0,-545.0,,,,965.0,0.0,0.0,0.0,965.0,0.0,965.0,0.0,0.0,965.0,1023.599992,58.599992,320.0,3.02,3.02,3.19875,321.0,3.01,3.01,3.192554,
12/31/2016,9052.0,8011.0,1041.0,,0.0,-8047.0,316.0,,504.0,7227.0,1005.0,-121.0,113.0,124.0,-11.0,8.0,884.0,-487.0,,,,397.0,0.0,0.0,0.0,397.0,0.0,397.0,0.0,0.0,397.0,561.0,164.0,315.7,1.26,1.26,1.777003,316.0,1.26,1.26,1.777003,
03/31/2017,8426.0,7891.0,535.0,,0.0,-8106.0,319.0,,518.0,7269.0,320.0,-170.0,128.0,139.0,-11.0,42.0,150.0,-51.0,,,,99.0,0.0,0.0,0.0,99.0,0.0,99.0,0.0,0.0,99.0,132.0,33.0,313.7,0.32,0.32,0.420784,314.6,0.32,0.32,0.420784,
06/30/2017,10008.0,9424.0,584.0,,0.0,-8571.0,385.0,,536.0,7650.0,1437.0,-160.0,133.0,146.0,-13.0,27.0,1277.0,-456.0,,,,821.0,0.0,0.0,0.0,821.0,0.0,821.0,0.0,0.0,821.0,849.0,28.0,306.9,2.67,2.67,2.766373,307.7,2.67,2.67,2.760998,
09/30/2017,9899.0,9348.0,551.0,,0.0,-8761.0,377.0,,556.0,7828.0,1138.0,-145.0,132.0,149.0,-17.0,13.0,993.0,-348.0,,,,645.0,0.0,0.0,0.0,645.0,0.0,645.0,0.0,0.0,645.0,677.0,32.0,299.8,2.15,2.15,2.258172,300.6,2.15,2.15,2.256454,
12/31/2017,9451.0,8911.0,540.0,,0.0,-8728.0,354.0,,486.0,7888.0,723.0,-120.0,102.0,118.0,-16.0,18.0,603.0,-25.0,,,,578.0,0.0,0.0,0.0,578.0,0.0,578.0,0.0,0.0,578.0,418.471591,-159.528409,290.4,1.990358,1.990358,1.441018,291.5,1.982847,1.982847,1.43558,
03/31/2018,9032.0,8442.0,590.0,,0.0,-8770.0,342.0,,524.0,7904.0,262.0,-80.0,127.0,144.0,-17.0,-47.0,182.0,-37.0,,,,145.0,0.0,0.0,0.0,145.0,0.0,145.0,0.0,0.0,145.0,141.0,-4.0,283.9,0.51,0.51,0.496654,284.9,0.51,0.51,0.49596,
06/30/2018,10777.0,10194.0,583.0,,0.0,-9632.0,393.0,,538.0,8701.0,1145.0,-290.0,126.0,151.0,-25.0,164.0,855.0,-172.0,,,,683.0,0.0,0.0,0.0,683.0,0.0,683.0,0.0,0.0,683.0,888.0,205.0,274.7,2.48,2.48,3.232617,275.6,2.48,2.48,3.223832,
09/30/2018,11003.0,10416.0,587.0,,0.0,-9816.0,427.0,,545.0,8844.0,1187.0,-129.0,128.0,156.0,-28.0,1.0,1058.0,-225.0,,,,833.0,0.0,0.0,0.0,833.0,0.0,833.0,0.0,0.0,833.0,834.0,1.0,272.4,3.06,3.06,3.061674,273.6,3.05,3.05,3.053655,
12/31/2018,10491.0,9890.0,601.0,,0.0,-9856.0,396.0,0.0,558.0,8902.0,635.0,-82.0,123.0,154.0,-31.0,-41.0,553.0,-92.0,,,,461.0,0.0,0.0,0.0,461.0,0.0,461.0,0.0,0.0,461.0,661.0,200.0,272.7,1.69,1.69,2.423909,272.7,1.69,1.69,2.423407,
03/31/2019,9589.0,9011.0,578.0,,0.0,-9094.0,360.0,,547.0,8187.0,495.0,-128.0,137.0,166.0,-29.0,-9.0,367.0,-75.0,,,,292.0,0.0,0.0,0.0,292.0,0.0,292.0,0.0,0.0,292.0,312.32,20.32,267.0,1.09,1.09,1.169738,268.3,1.09,1.09,1.165736,
06/30/2019,11402.0,10781.0,621.0,,0.0,-9930.0,442.0,,560.0,8928.0,1472.0,-118.0,132.0,170.0,-38.0,-14.0,1354.0,-302.0,,,,1052.0,0.0,0.0,0.0,1052.0,0.0,1052.0,0.0,0.0,1052.0,1061.82387,9.82387,260.8,4.03,4.03,4.071411,261.6,4.03,4.03,4.067553,
09/30/2019,11380.0,10763.0,617.0,,0.0,-9907.0,432.0,,575.0,8900.0,1473.0,-124.0,133.0,169.0,-36.0,-9.0,1349.0,-325.0,,,,1024.0,0.0,0.0,0.0,1024.0,0.0,1024.0,0.0,0.0,1024.0,1046.0,22.0,255.3,4.01,4.01,4.097141,256.4,3.99,3.99,4.075803,
12/31/2019,10888.0,10249.0,639.0,,0.0,-10027.0,417.0,0.0,606.0,9004.0,861.0,-17.0,111.0,141.0,-30.0,-94.0,844.0,-203.0,,,,641.0,0.0,0.0,0.0,641.0,0.0,641.0,0.0,0.0,641.0,676.0,35.0,253.4,2.53,2.53,2.667719,253.4,2.53,2.53,2.667719,
03/31/2020,7979.0,7329.0,650.0,,0.0,-8951.0,295.0,,615.0,8041.0,-972.0,-1142.0,124.0,150.0,-26.0,1018.0,-2114.0,410.0,,,,-1704.0,0.0,0.0,0.0,-1704.0,0.0,-1704.0,0.0,0.0,-1704.0,-1376.307692,327.692308,248.5,-6.86,-6.86,-5.538462,248.5,-6.86,-6.86,-5.541319,
06/30/2020,1475.0,1083.0,392.0,,0.0,-3112.0,31.0,,618.0,2463.0,-1637.0,-366.0,168.0,179.0,-11.0,198.0,-2003.0,376.0,,,,-1627.0,0.0,0.0,0.0,-1627.0,0.0,-1627.0,0.0,0.0,-1627.0,-1336.101874,290.898126,280.7,-5.79,-5.79,-4.759893,280.7,-5.79,-5.79,-4.759893,
09/30/2020,2861.267,,,-2936.31803341,,,,,,,-2423.75,,,,,,-2681.364,,,,,-1833.25,,,,,,-1833.25,,,-1833.25,-2152.333,,,-6.707,-6.707,-7.11,,-6.707,-6.707,-7.11,
12/31/2020,4495.2,,,-1127.575968,,,,,,,-1242.167,,,,,,-1517.727,,,,,-1483.125,,,,,,-1483.125,,,-1483.125,-1201.917,,,-4.661,-4.661,-4.119,,-4.661,-4.661,-4.119,
