Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Interest,Source: Bloomberg
03/31/2000,738,1221,187,-341,,,-341,-329,,,,-329,,105.0,-91.0,0.0,,,-91.0,,,0.0,0.0,0.0,,,,,196.0,-1095.0,-485.0,-59.0,,,,-537.0,26.0,-563.0,-14.0,,-252.0,,
06/30/2000,906,1091,186,-94,,,-94,-277,,,,-277,,-100.0,-101.0,0.0,,,-101.0,,,0.0,0.0,0.0,,,,,1.0,-1052.0,-484.0,-101.0,,,,-447.0,37.0,-484.0,-20.0,,-246.0,,
09/30/2000,1188,1236,187,126,,,126,-361,-636.0,137.0,,138,,346.0,-139.0,0.0,,,-139.0,,,0.0,0.0,0.0,,,,,485.0,-996.0,-481.0,-88.0,,,,-429.0,138.0,-567.0,2.0,,538.0,,
12/31/2000,1820,1163,186,114,,,114,357,,,,357,,-335.0,-258.0,0.0,,,-258.0,,,0.0,0.0,0.0,,,,,-77.0,-1063.0,-480.0,7.0,,,,-573.0,151.0,-724.0,-17.0,,422.0,,
03/31/2001,869,1310,174,-85,,,-85,-530,,,,-530,,-310.0,-175.0,0.0,,,-175.0,,,0.0,0.0,0.0,,,,,-135.0,-1107.0,-537.0,17.0,,,,-604.0,64.0,-668.0,17.0,,-548.0,,
06/30/2001,1514,1053,167,-121,,,-121,415,,,,415,,-111.0,-236.0,0.0,,,-236.0,,,0.0,0.0,0.0,,,,,125.0,-1093.0,-535.0,-16.0,,,,-536.0,68.0,-604.0,-6.0,,310.0,,
09/30/2001,1053,1245,170,67,,,67,-429,-387.0,-116.0,,74,,-7514.0,-276.0,0.0,,,-276.0,,,0.0,0.0,0.0,,,,,-7238.0,6318.0,-532.0,6826.0,,,,22.0,70.0,-48.0,2.0,,-143.0,,
12/31/2001,1966,1284,217,-901,,,-901,1366,,,,1366,,3071.0,-336.0,0.0,,,-336.0,,,0.0,0.0,0.0,,,,,3407.0,-2338.0,-533.0,-1584.0,,,,-220.0,49.0,-269.0,-1.0,,2699.0,,
03/31/2002,-1086,867,179,139,,,139,-2271,,,,-2271,,-589.0,-211.0,0.0,,,-211.0,,,0.0,0.0,0.0,,,,,-378.0,-443.0,-542.0,88.0,,,,16.0,83.0,-67.0,-5.0,,-2118.0,,
06/30/2002,406,477,182,7,,,7,-260,,,,-260,,-129.0,-266.0,0.0,,,-266.0,,,0.0,0.0,0.0,,,,,137.0,-112.0,-542.0,438.0,,,,-13.0,37.0,-50.0,5.0,,165.0,,
09/30/2002,944,328,171,1382,,,1382,-937,303.0,46.0,,-1286,,-333.0,-237.0,0.0,,,-237.0,,,0.0,0.0,0.0,,,,,-96.0,-596.0,-542.0,-32.0,,,,-28.0,9.0,-37.0,6.0,,15.0,,
12/31/2002,681,465,203,-449,,,-449,462,,,,462,,-979.0,-334.0,27.0,,,-361.0,,,0.0,0.0,0.0,,,,,-645.0,51.0,-542.0,583.0,,,,-1.0,9.0,-10.0,11.0,,-247.0,,
03/31/2003,160,792,178,85,,-54.0,139,-895,-197.0,69.0,,-767,,-620.0,-190.0,23.0,,,-213.0,,,,,,,,,,-430.0,450.0,-542.0,975.0,,,,12.0,12.0,,5.0,,-10.0,,
06/30/2003,1150,902,185,290,,-155.0,445,-227,-154.0,-42.0,,-31,,-294.0,-157.0,6.0,,,-163.0,,,0.0,0.0,0.0,,,,,-137.0,-871.0,-542.0,-356.0,,,,7.0,7.0,0.0,20.0,,-15.0,,
09/30/2003,952,906,188,768,,197.0,571,-910,-547.0,-50.0,,-313,,-516.0,-232.0,16.0,,,-248.0,,,0.0,0.0,0.0,,,,,-284.0,-94.0,-543.0,436.0,,,,15.0,15.0,0.0,-2.0,,342.0,,
12/31/2003,1255,506,232,777,,,777,-260,,,,-260,,-1292.0,-340.0,36.0,,,-376.0,,,0.0,0.0,0.0,,,,,-952.0,-480.0,-543.0,40.0,,,,10.0,10.0,0.0,13.0,,-517.0,,
03/31/2004,1081,964,204,-241,,48.0,-289,154,627.0,-20.0,,-453,,-603.0,-160.0,3.0,,,-163.0,,,,,,,,,,-443.0,143.0,-543.0,598.0,,,,63.0,63.0,,25.0,,621.0,,
06/30/2004,831,527,212,435,,-293.0,728,-343,-494.0,-74.0,,225,,-426.0,-133.0,7.0,,,-140.0,,,0.0,0.0,0.0,,,,,-293.0,-314.0,-543.0,235.0,,,,17.0,17.0,0.0,-23.0,,91.0,,
09/30/2004,581,758,238,190,,-209.0,399,-605,-341.0,-72.0,,-192,,-480.0,-166.0,8.0,,,-174.0,,,0.0,0.0,0.0,,,,,-314.0,120.0,-544.0,641.0,,,,15.0,15.0,0.0,8.0,,221.0,,
12/31/2004,683,139,255,1033,,740.0,293,-744,-348.0,33.0,,-429,,-113.0,-182.0,17.0,,,-199.0,,,0.0,0.0,0.0,,,,,69.0,-376.0,-544.0,92.0,,,,46.0,46.0,0.0,30.0,,194.0,,
03/31/2005,783,533,243,-187,,-425.0,238,194,715.0,-125.0,,-396,,929.0,-165.0,16.0,,,-181.0,,,,,,,,,,1094.0,-2081.0,-545.0,-1638.0,,,,109.0,109.0,,-7.0,,-369.0,,
06/30/2005,-14,1004,230,-295,,-297.0,2,-953,-33.0,-120.0,,-800,,1503.0,-118.0,53.0,,,-171.0,,,,,,,,,,1621.0,-3002.0,-545.0,-2467.0,,,,21.0,21.0,,-11.0,,-1513.0,,
09/30/2005,751,964,217,-404,,161.0,-565,-26,-33.0,-99.0,,106,,82.0,-158.0,27.0,,,-185.0,,,,,,,,,,240.0,-502.0,-549.0,28.0,,,,15.0,15.0,,4.0,,331.0,,
12/31/2005,325,499,239,-437,,-251.0,-186,24,-110.0,-26.0,,160,,-1323.0,-201.0,,,,-201.0,,,0.0,0.0,0.0,,,,,-1122.0,1919.0,-547.0,2460.0,,,,12.0,12.0,0.0,-6.0,,921.0,,
03/31/2006,83,714,226,-57,,68.0,-125,-800,160.0,-75.0,,-885,,-277.0,-198.0,4.0,,,-202.0,,,,,,,,,,-79.0,-379.0,-549.0,6.0,,,,158.0,158.0,,6.0,,-573.0,,
06/30/2006,928,1381,463,172,,322.0,-150,-1088,98.0,-101.0,,-1085,,-422.0,-357.0,5.0,,,-362.0,,,0.0,0.0,0.0,,,,,-65.0,-954.0,-1098.0,-38.0,,,,164.0,164.0,0.0,18.0,,-448.0,,
09/30/2006,944,338,230,48,,-84.0,132,328,403.0,-71.0,,-4,,-112.0,-196.0,3.0,,,-199.0,,,,,,,,,,84.0,-600.0,-551.0,-57.0,,,,4.0,4.0,,4.0,,232.0,,
12/31/2006,211,-134,234,-9,,-474.0,465,120,-291.0,250.0,,161,,740.0,-222.0,2.0,,,-224.0,,,,,,,,,,962.0,-1767.0,-550.0,-1069.0,,,,2.0,2.0,,-150.0,,-816.0,,
03/31/2007,765,690,216,11,,-169.0,180,-152,-118.0,-1.0,,-33,,7.0,-189.0,13.0,,,-202.0,,,0.0,0.0,0.0,,,,,196.0,-576.0,-551.0,-51.0,,,,21.0,21.0,0.0,5.0,,196.0,,
06/30/2007,1061,706,209,259,,-38.0,297,-113,-235.0,-142.0,,264,,-637.0,-196.0,10.0,,,-206.0,,,8243.0,8243.0,,,,,,-8684.0,-259.0,-552.0,14.0,,,,274.0,274.0,,5.0,,165.0,,
09/30/2007,697,858,213,-163,,32.0,-195,-211,-13.0,38.0,,-236,,394.0,-184.0,1.0,,,-185.0,,,,,,,,,,578.0,-1823.0,-556.0,-1305.0,,,,17.0,17.0,,21.0,,-732.0,,
12/31/2007,630,-89,254,147,,-241.0,388,318,-95.0,51.0,,362,,34.0,-230.0,20.0,,,-250.0,,,-8243.0,0.0,-8243.0,,,,,8507.0,-510.0,-554.0,9.0,,,,21.0,21.0,0.0,14.0,,154.0,,
03/31/2008,775,661,251,309,48.0,267.0,-6,-446,-5.0,-103.0,,-338,,576.0,-234.0,16.0,,,-250.0,,,0.0,0.0,0.0,,,,,810.0,-709.0,-613.0,-121.0,,,,0.0,0.0,0.0,25.0,,642.0,,
06/30/2008,1114,764,203,-467,,9.0,-476,614,64.0,25.0,,525,,-481.0,-173.0,37.0,,,-210.0,,,,,,,,,,-308.0,971.0,-617.0,1601.0,,,,4.0,4.0,,-17.0,,1604.0,,
09/30/2008,1422,2578,182,-1391,,1353.0,-2744,53,-294.0,3.0,,344,,3959.0,-187.0,9.0,,,-196.0,,,,,,,,,,4146.0,-2255.0,-615.0,-1618.0,,,,,,,-22.0,,3126.0,,
12/31/2008,396,1244,180,-1201,,-199.0,-1002,173,-125.0,205.0,,93,,1025.0,-38.0,247.0,,,-285.0,,,,,,,,,,1063.0,-618.0,-616.0,-199.0,,,,1.0,1.0,,196.0,,803.0,,
03/31/2009,452,638,167,52,43.0,27.0,-18,-405,81.0,-18.0,206.0,-674,,-926.0,-136.0,65.0,65.0,0.0,-201.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-790.0,355.0,-616.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,969.0,-25.0,-144.0,,
06/30/2009,796,983,165,-1138,45.0,85.0,-1268,786,-17.0,8.0,60.0,735,,-438.0,-193.0,0.0,,,-193.0,-193.0,0.0,0.0,0.0,0.0,68.0,68.0,0.0,0.0,-313.0,-710.0,-615.0,-99.0,-32.0,0.0,-67.0,0.0,0.0,0.0,4.0,27.0,-325.0,,
09/30/2009,1473,966,193,333,42.0,67.0,224,-19,13.0,11.0,-38.0,-5,,-1989.0,-75.0,94.0,94.0,,-169.0,-169.0,,0.0,0.0,0.0,-2300.0,-68.0,-2232.0,0.0,386.0,-656.0,-626.0,-36.0,29.0,0.0,-65.0,3.0,3.0,0.0,3.0,32.0,-1140.0,,
12/31/2009,1344,8025,182,-200,53.0,-16.0,-237,612,150.0,81.0,244.0,137,,1048.0,231.0,427.0,427.0,0.0,-196.0,-196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,817.0,994.0,-626.0,1578.0,-25.0,1683.0,-80.0,42.0,42.0,0.0,0.0,5.0,3391.0,,
03/31/2010,464,743,187,-230,47.0,90.0,-367,-236,-309.0,25.0,119.0,-71,,-2519.0,-92.0,37.0,37.0,0.0,-129.0,-129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2427.0,-486.0,-551.0,-17.0,-17.0,0.0,0.0,82.0,82.0,0.0,0.0,-7.0,-2548.0,,
06/30/2010,1049,927,191,-131,49.0,7.0,-187,62,255.0,-13.0,-65.0,-115,0.0,238.0,-83.0,0.0,,,-83.0,-83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0,-495.0,-552.0,84.0,78.0,6.0,0.0,-125.0,40.0,-165.0,98.0,-9.0,783.0,,
09/30/2010,1383,949,168,361,47.0,3.0,311,-95,-68.0,-49.0,23.0,-1,,948.0,-67.0,22.0,22.0,0.0,-89.0,-89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.0,-698.0,-550.0,-49.0,-49.0,0.0,0.0,-99.0,89.0,-188.0,0.0,30.0,1663.0,,
12/31/2010,1595,483,61,562,50.0,322.0,190,489,-148.0,193.0,238.0,206,0.0,-2479.0,-115.0,10.0,10.0,0.0,-125.0,-125.0,0.0,0.0,0.0,0.0,-829.0,0.0,-829.0,0.0,-1535.0,-1664.0,-549.0,-981.0,-45.0,0.0,-936.0,-182.0,41.0,-223.0,48.0,0.0,-2548.0,,
03/31/2011,481,986,190,-455,38.0,177.0,-670,-240,-91.0,-84.0,62.0,-127,0.0,-1437.0,39.0,114.0,114.0,0.0,-75.0,-75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1476.0,-692.0,-565.0,-36.0,18.0,0.0,-54.0,-95.0,53.0,-148.0,4.0,20.0,-1628.0,,
06/30/2011,1093,902,206,122,43.0,66.0,13,-137,-237.0,-162.0,350.0,-88,0.0,-332.0,-66.0,8.0,8.0,0.0,-74.0,-74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-266.0,-507.0,-565.0,28.0,52.0,0.0,-24.0,-55.0,182.0,-237.0,85.0,6.0,260.0,,
09/30/2011,1698,969,86,286,39.0,30.0,217,357,176.0,96.0,-103.0,188,0.0,-163.0,-59.0,25.0,25.0,0.0,-84.0,-84.0,0.0,0.0,0.0,0.0,-310.0,0.0,-310.0,0.0,206.0,-704.0,-564.0,-3.0,-3.0,0.0,0.0,-344.0,130.0,-474.0,207.0,-25.0,806.0,,
12/31/2011,1568,852,319,446,41.0,142.0,263,-49,-68.0,-43.0,284.0,-222,0.0,495.0,-132.0,2.0,2.0,0.0,-134.0,-134.0,0.0,0.0,0.0,0.0,-50.0,0.0,-50.0,0.0,677.0,-754.0,-560.0,-68.0,-68.0,0.0,0.0,-126.0,236.0,-362.0,0.0,-4.0,1305.0,,
03/31/2012,387,1101,139,-643,42.0,204.0,-889,-210,-108.0,-68.0,32.0,-66,0.0,-3027.0,-111.0,12.0,12.0,0.0,-123.0,-123.0,0.0,0.0,0.0,0.0,-2491.0,0.0,-2491.0,0.0,-425.0,-836.0,-579.0,-79.0,30.0,0.0,-109.0,-180.0,159.0,-339.0,2.0,7.0,-3469.0,,
06/30/2012,1521,1746,378,-782,82.0,80.0,-944,179,544.0,-170.0,-222.0,27,0.0,-2801.0,-221.0,15.0,15.0,0.0,-236.0,-236.0,0.0,0.0,0.0,0.0,-2491.0,0.0,-2491.0,0.0,-89.0,-1686.0,-1154.0,12.0,121.0,,-109.0,-546.0,314.0,-860.0,2.0,-9.0,-2975.0,,
09/30/2012,6105,1035,482,4219,108.0,-737.0,4848,369,643.0,-135.0,-321.0,182,0.0,-7004.0,-357.0,16.0,16.0,0.0,-373.0,-373.0,0.0,0.0,0.0,0.0,-7530.0,0.0,-7530.0,0.0,883.0,-3375.0,-1725.0,-138.0,20.0,1950.0,-2108.0,-1514.0,397.0,-1911.0,2.0,1.0,-4273.0,,
12/31/2012,836,925,199,-477,46.0,-493.0,-30,189,5.0,32.0,89.0,63,0.0,277.0,-123.0,52.0,52.0,0.0,-175.0,-175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,-958.0,-561.0,29.0,29.0,0.0,0.0,-426.0,66.0,-492.0,0.0,-2.0,153.0,,
03/31/2013,-428,609,213,-1008,49.0,-182.0,-875,-242,-318.0,-163.0,-53.0,292,0.0,161.0,-115.0,0.0,0.0,0.0,-115.0,-115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,-44.0,-580.0,563.0,551.0,12.0,0.0,-27.0,270.0,-297.0,0.0,10.0,-301.0,,
06/30/2013,1510,536,189,329,46.0,-153.0,436,456,-86.0,-10.0,256.0,296,0.0,57.0,-95.0,3.0,3.0,0.0,-98.0,-98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,-1115.0,-575.0,-630.0,-630.0,0.0,0.0,90.0,173.0,-83.0,0.0,14.0,466.0,,
09/30/2013,1053,692,180,-165,45.0,-74.0,-136,346,-159.0,165.0,98.0,242,0.0,-475.0,-127.0,0.0,0.0,0.0,-127.0,-127.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,-356.0,-620.0,-577.0,-30.0,567.0,0.0,-597.0,-13.0,40.0,-53.0,0.0,-8.0,-50.0,,
12/31/2013,1410,726,181,109,51.0,-82.0,140,394,59.0,-37.0,111.0,261,0.0,-315.0,-200.0,0.0,0.0,0.0,-200.0,-200.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-116.0,711.0,-577.0,1187.0,-290.0,1477.0,0.0,81.0,81.0,0.0,20.0,9.0,1815.0,,
03/31/2014,617,937,137,-358,49.0,110.0,-517,-99,-55.0,-144.0,-12.0,112,0.0,2212.0,-118.0,0.0,0.0,0.0,-118.0,-118.0,0.0,0.0,0.0,0.0,3034.0,3055.0,-21.0,0.0,-704.0,-1192.0,-605.0,-755.0,-79.0,0.0,-676.0,172.0,172.0,0.0,-4.0,2.0,1639.0,,
06/30/2014,1056,333,115,467,50.0,-74.0,491,141,134.0,-13.0,-100.0,120,0.0,-1511.0,-110.0,0.0,0.0,0.0,-110.0,-110.0,0.0,0.0,0.0,0.0,-35.0,157.0,-192.0,0.0,-1366.0,-486.0,-598.0,84.0,84.0,0.0,0.0,28.0,28.0,0.0,0.0,-2.0,-943.0,,
09/30/2014,903,721,112,-301,48.0,-93.0,-256,371,-53.0,-5.0,175.0,254,0.0,164.0,-107.0,0.0,0.0,0.0,-107.0,-107.0,0.0,0.0,0.0,0.0,241.0,241.0,0.0,0.0,30.0,-528.0,-597.0,40.0,40.0,0.0,0.0,29.0,29.0,0.0,0.0,30.0,569.0,,
12/31/2014,572,13,103,635,66.0,-485.0,1054,-179,-278.0,-92.0,-107.0,298,0.0,351.0,-191.0,0.0,0.0,0.0,-191.0,-191.0,0.0,0.0,0.0,0.0,126.0,132.0,-6.0,0.0,416.0,-231.0,-598.0,199.0,199.0,0.0,0.0,59.0,59.0,0.0,109.0,28.0,720.0,,
03/31/2015,626,1186,185,-1037,54.0,-7.0,-1084,292,-91.0,51.0,-83.0,415,0.0,754.0,-136.0,0.0,0.0,0.0,-136.0,-136.0,0.0,0.0,0.0,0.0,203.0,203.0,0.0,0.0,687.0,-682.0,-623.0,-260.0,-260.0,0.0,0.0,174.0,174.0,0.0,27.0,25.0,723.0,,
06/30/2015,71,-130,10,1344,59.0,-52.0,1337,-1153,-176.0,111.0,-535.0,-553,0.0,-1280.0,-165.0,0.0,0.0,0.0,-165.0,-165.0,0.0,0.0,0.0,0.0,-764.0,91.0,-855.0,0.0,-351.0,-883.0,-619.0,-262.0,427.0,1268.0,-1957.0,27.0,27.0,0.0,-29.0,-3.0,-2095.0,,
09/30/2015,524,706,338,-38,63.0,110.0,-211,-482,-319.0,69.0,-600.0,368,0.0,-62.0,-234.0,0.0,,,-234.0,-234.0,0.0,0.0,0.0,0.0,342.0,379.0,-37.0,0.0,-170.0,-700.0,-617.0,-113.0,-113.0,0.0,0.0,30.0,30.0,0.0,0.0,14.0,-224.0,,
12/31/2015,884,-197,150,940,59.0,-398.0,1279,-9,-356.0,-134.0,299.0,182,0.0,-984.0,-285.0,0.0,0.0,0.0,-285.0,-285.0,0.0,0.0,0.0,0.0,-184.0,35.0,-219.0,0.0,-515.0,-1359.0,-618.0,-503.0,-503.0,0.0,0.0,231.0,231.0,0.0,-469.0,-131.0,-1590.0,,
03/31/2016,-228,1195,147,-1312,47.0,-246.0,-1113,-258,-424.0,-44.0,-77.0,287,0.0,1426.0,-242.0,0.0,0.0,0.0,-242.0,-242.0,0.0,0.0,0.0,0.0,431.0,439.0,-8.0,0.0,1237.0,-950.0,-641.0,-33.0,-33.0,0.0,0.0,-231.0,0.0,-231.0,-45.0,11.0,259.0,33.0,
06/30/2016,439,1166,151,42,54.0,-71.0,59,-920,-428.0,-67.0,41.0,-466,0.0,406.0,-261.0,0.0,,,-261.0,-261.0,0.0,0.0,0.0,0.0,305.0,564.0,-259.0,0.0,362.0,-552.0,-635.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,33.0,-3.0,290.0,69.0,
09/30/2016,1404,1202,155,-248,48.0,-183.0,-113,295,-44.0,4.0,-106.0,441,0.0,-368.0,-341.0,0.0,,,-341.0,-341.0,0.0,0.0,0.0,0.0,146.0,190.0,-44.0,0.0,-173.0,-546.0,-636.0,85.0,85.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,498.0,38.0,
