Date,Revenue,Revenue From Electric,Revenue from Gas,Other Gas Revenue,Revenue from Water,Other Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Power Cost,Purchased Gas & Water Cost,Purchased Gas Cost,Purchased Water Cost,Other Cost of Revenue,Gross Profit,Operating Expenses,Maintenance Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Total Interest Income,AFUDC - Equity,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1994,1697.76001,1147.791016,394.062988,,0.0,155.906006,-520.65802,342.110992,342.110992,,178.546997,,,,1177.10199,-806.526001,133.582001,103.765999,290.967987,278.209991,370.575989,-74.936003,,,2.072,75.466003,70.472,-0.912,5.906,1.542,295.639985,-106.330002,189.309998,0.0,,,189.309983,0.0,189.309998,-8.899,,180.410997,180.410997,,234.445007,0.77,0.77,0.77,234.445007,0.77,0.77,0.77,
06/30/1994,1392.087036,1145.750977,189.498993,,0.0,56.837002,-394.027008,320.444,123.285004,197.158997,73.583,,,,998.060028,-785.309998,140.707993,104.554001,263.134003,276.914001,212.75,-70.537998,,,2.579,74.127998,71.853996,-1.135,3.409,-1.011,142.212002,-55.0,87.211998,0.0,,,87.212002,0.0,87.211998,-8.897,,78.314998,78.314998,,234.830002,0.33,0.33,0.33,234.830002,0.33,0.33,0.33,
09/30/1994,1821.990967,1642.822998,115.238998,,0.0,63.929001,-406.618988,375.678986,176.442993,199.235992,30.940001,,,,1415.371979,-800.057007,110.674004,106.098,303.631012,279.653992,615.315002,-79.006,,,1.781,77.389,73.627998,-0.784,4.545,3.398,536.309003,-196.440002,339.868988,0.0,,,339.869,0.0,339.868988,-8.896,,330.972988,330.972988,,234.889008,1.41,1.41,1.41,234.889008,1.41,1.41,1.41,
12/31/1994,1461.248047,1204.107056,191.306,,0.0,65.834999,-375.118988,316.984985,316.984985,,58.133999,,,,1086.129059,-810.427002,121.214996,107.938004,269.958008,311.31601,275.701996,-77.002998,,,1.922,78.253998,73.106003,-0.845,5.993,0.671,198.698998,-80.82,117.878998,0.0,,,117.878998,0.0,117.878998,-8.895,,108.983998,108.983998,,234.899994,0.47,0.47,0.47,234.899994,0.47,0.47,0.47,
03/31/1995,1668.785034,1223.307983,318.955994,,0.0,126.521004,-472.567993,361.530006,113.846001,247.684006,111.038002,,,,1196.217041,-798.520996,131.488998,109.156998,275.765991,282.109009,397.696014,-78.557003,,,1.513,81.023003,74.556,-0.736,7.203,-0.953,319.139012,-118.110001,201.029007,0.0,,,201.029011,0.0,201.029007,-8.893,,192.136007,192.136007,,234.910004,0.82,0.82,0.82,234.910004,0.82,0.82,0.82,
06/30/1995,1459.852051,1230.572021,172.074005,,0.0,57.206001,-475.393005,422.969002,113.193001,309.776001,52.424,,,,984.459045,-791.106018,123.958,114.012001,252.302994,300.833008,193.352997,-79.741997,,,1.363,81.019997,74.484001,-0.658,7.194,0.085,113.611,-37.209999,76.401001,0.0,,,76.401001,0.0,76.401001,-8.892,,67.509001,67.509001,,234.921005,0.29,0.29,0.29,234.921005,0.29,0.29,0.29,
09/30/1995,1879.875977,1703.088989,113.678001,,0.0,63.109001,-474.42099,449.397995,158.994003,290.403992,25.023001,,,,1405.454987,-809.869019,111.044998,115.653999,308.897003,274.27301,595.585999,-80.230001,,,0.485,83.346001,75.655998,-0.232,7.922,-2.631,515.355998,-182.059998,333.29599,0.0,,,333.296,0.0,333.29599,-8.891,,324.40499,324.40499,,234.938995,1.38,1.38,1.38,234.938995,1.38,1.38,1.38,
12/31/1995,1528.384033,1232.438965,208.647995,,0.0,87.296997,-448.734009,377.430008,118.070999,259.359009,71.304001,,,,1079.650024,-828.346008,145.610001,116.953003,283.265991,282.516998,251.304001,-77.940004,,,0.402,83.660004,77.221001,-0.196,6.635,-5.318,173.363997,-60.240002,113.124001,0.0,,,113.123995,0.0,113.124001,-8.889,,104.235001,104.235001,,234.951996,0.44,0.44,0.44,234.951996,0.44,0.44,0.44,
03/31/1996,1867.36499,1286.267944,406.864014,,0.0,174.233002,-668.72699,487.886993,183.888,303.998993,180.839996,,,,1198.638,-840.937012,125.025002,132.565002,306.036011,277.311005,357.700989,-63.763003,,,0.513,78.980003,74.369003,-0.241,4.852,-14.704,293.937986,-105.459999,188.477997,0.0,,,188.477987,0.0,188.477997,-6.035,,182.442997,182.442997,,234.962997,0.78,0.78,0.78,234.962997,0.78,0.78,0.78,
06/30/1996,1539.734985,1244.30603,223.427994,,0.0,72.000999,-538.531006,441.977013,120.389,321.588013,96.554001,,,,1001.203979,-808.046021,123.915001,119.981003,277.473999,286.675995,193.158005,-80.353002,,,0.745,81.385002,78.106003,-0.35,3.629,-0.287,112.805003,-41.389999,71.415001,0.0,,,71.415003,0.0,71.415001,-4.608,,66.807001,66.807001,,234.973999,0.28,0.28,0.28,234.973999,0.28,0.28,0.28,
