Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2017,1978.0,1323.0,655.0,-1101.0,1101.0,877.0,0.0,-804.0,662.0,,109.0,33.0,73.0,-28.0,-8.0,,,,23.0,13.0,45.0,-45.0,,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,0.0,0.0,-5.0,24.56898,29.56898,581.6,-0.01,-0.01,0.042244,581.6,-0.01,-0.01,0.040841,
06/30/2017,2080.0,1373.0,707.0,-1145.0,1145.0,935.0,0.0,-1338.0,720.0,,100.0,518.0,-403.0,-5.0,-9.0,,,,19.0,-5.0,-408.0,-16.0,,-424.0,0.0,0.0,0.0,-424.0,-5.0,-429.0,-1.0,0.0,-430.0,73.627599,503.627599,582.0,-0.74,-0.74,0.126508,582.0,-0.74,-0.74,0.12534,
09/30/2017,2058.0,1333.0,725.0,-1149.0,1149.0,909.0,0.0,-773.0,661.0,,97.0,15.0,136.0,5.0,-6.0,,,,10.0,-9.0,141.0,-54.0,,87.0,0.0,0.0,0.0,87.0,-19.0,68.0,,0.0,68.0,53.913158,-14.086842,582.3,0.12,0.12,0.092587,583.4,0.12,0.12,0.092587,
12/31/2017,2180.0,1339.0,841.0,-1139.0,1139.0,1041.0,0.0,-824.0,712.0,,100.0,12.0,217.0,-48.0,-1.0,,,,18.0,31.0,169.0,-235.0,,-66.0,0.0,0.0,0.0,-66.0,-17.0,-83.0,-1.0,0.0,-84.0,109.391295,193.391295,582.7,-0.14,-0.14,0.187732,582.7,-0.14,-0.14,0.187732,
03/31/2018,2093.0,1346.0,747.0,-1151.0,1151.0,942.0,0.0,-1106.0,760.0,,100.0,246.0,-164.0,-943.0,-2.0,,,,974.0,-29.0,-1107.0,-3.0,,-1110.0,0.0,0.0,0.0,-1110.0,-18.0,-1128.0,0.0,0.0,-1128.0,-676.95244,451.04756,583.0,-1.94,-1.94,-1.161153,583.0,-1.94,-1.94,-1.166334,
06/30/2018,2693.0,1829.0,864.0,-1464.0,1464.0,1229.0,0.0,-1168.0,915.0,,175.0,78.0,61.0,-353.0,16.0,,,,4.0,333.0,-292.0,-63.0,,-355.0,0.0,0.0,0.0,-355.0,-16.0,-371.0,-1.0,0.0,-372.0,62.412367,434.412367,583.0,-0.64,-0.64,0.107054,583.0,-0.64,-0.64,0.105133,
09/30/2018,2524.0,1698.0,826.0,-1340.0,1340.0,1184.0,0.0,-1007.0,826.0,,163.0,18.0,177.0,1.0,16.0,,,,3.0,-20.0,178.0,-50.0,,128.0,0.0,0.0,0.0,128.0,-27.0,101.0,0.0,0.0,101.0,105.0,4.0,583.9,0.17,0.17,0.179825,585.6,0.17,0.17,0.176831,
12/31/2018,2627.0,1747.0,880.0,-1484.0,1484.0,1143.0,0.0,-955.0,773.0,,163.0,19.0,188.0,-14.0,15.0,,,,6.0,-7.0,174.0,-55.0,,119.0,0.0,0.0,0.0,119.0,-24.0,95.0,0.0,0.0,95.0,121.225,26.225,584.9,0.16,0.16,0.207258,587.1,0.16,0.16,0.204669,
03/31/2019,2457.0,1695.0,762.0,-1400.0,1400.0,1057.0,0.0,-1012.0,810.0,,168.0,34.0,45.0,-15.0,14.0,,,,4.0,-3.0,30.0,-7.0,,23.0,0.0,0.0,0.0,23.0,-13.0,10.0,0.0,0.0,10.0,29.636364,19.636364,585.0,0.02,0.02,0.05066,588.8,0.02,0.02,0.05066,
06/30/2019,2466.0,1702.0,764.0,-1404.0,1404.0,1062.0,0.0,-1075.0,793.0,,165.0,117.0,-13.0,-15.0,14.0,,,,4.0,-3.0,-28.0,-14.0,,-42.0,0.0,0.0,0.0,-42.0,-9.0,-51.0,0.0,0.0,-51.0,67.539655,118.539655,585.0,-0.09,-0.09,0.115452,585.0,-0.09,-0.09,0.112632,
09/30/2019,2340.0,1603.0,737.0,-1337.0,1337.0,1003.0,0.0,-1241.0,782.0,,162.0,297.0,-238.0,6.0,-4.0,,,,2.0,-4.0,-232.0,21.0,,-211.0,0.0,0.0,0.0,-211.0,-16.0,-227.0,0.0,0.0,-227.0,43.0,270.0,586.7,-0.39,-0.39,0.073291,586.7,-0.39,-0.39,0.070201,
12/31/2019,2479.0,1667.0,812.0,-1350.0,1350.0,1129.0,0.0,-965.0,774.0,,162.0,29.0,164.0,-9.0,8.0,,,,3.0,-2.0,155.0,-52.0,,103.0,0.0,0.0,0.0,103.0,-18.0,85.0,0.0,0.0,85.0,104.42,19.42,588.0,0.15,0.15,0.177585,590.0,0.14,0.14,0.172915,
03/31/2020,2266.0,1542.0,724.0,-1281.0,1281.0,985.0,0.0,-2028.0,743.0,,160.0,1125.0,-1043.0,-3.0,9.0,9.0,0.0,,7.0,-13.0,-1046.0,10.0,,-1036.0,0.0,0.0,0.0,-1036.0,306.0,-730.0,0.0,0.0,-730.0,346.394265,1076.394265,588.0,-1.24,-1.24,0.589106,588.0,-1.24,-1.24,0.589106,
06/30/2020,1923.0,1238.0,685.0,-1028.0,1028.0,895.0,0.0,-1239.0,700.0,,160.0,379.0,-344.0,-57.0,12.0,,,,35.0,10.0,-401.0,0.0,,-401.0,0.0,0.0,0.0,-401.0,4.0,-397.0,0.0,0.0,-397.0,-9.363208,387.636792,589.0,-0.67,-0.67,-0.015897,589.0,-0.67,-0.67,-0.015897,
09/30/2020,1936.714,,,,,,,,,,,,16.833,,,,,,,,-27.775,,,-71.4,,,,,,-71.4,,,-71.4,-18.16,,,-0.05,-0.05,-0.038,,-0.05,-0.05,-0.038,
12/31/2020,2157.429,,,,,,,,,,,,141.3,,,,,,,,90.35,,,77.4,,,,,,77.4,,,77.4,60.94,,,0.1,0.1,0.118,,0.1,0.1,0.118,
