Date,Cash From Operating Activities,Net Income,Depreciation Expense,AFC - Debts & Equity,Deferred Income Taxes,Other Non-Cash Adjustments,Accts Receivable & Unbilled Revenue,Changes in Fossil Fuel,Change In Inventories,Accounts Payable & Accruals,Accrued Taxes,Change in Other Working Capital,Cash From Investing Activities,Additions to Utility Plant Less AFC,Changes in Decommissioning Funds,Non-Utility Cap Expenditure,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Source: Bloomberg
03/31/1994,225.858002,51.564999,232.733002,-13.534,-4.711,-271.191986,213.725006,2.772,-2.993,-52.451,50.723999,19.219999,,,,,,0.0,,,,,,,,,,0.0,,,,
06/30/1994,-62.508999,-7.856,230.947998,-9.387,-32.182999,-204.817993,-25.111,-22.047001,3.169,67.651001,-8.88,-53.994999,,,,,,0.0,,,,,,,,,,0.0,,,,
09/30/1994,203.977997,280.627014,234.126999,-9.551,109.556,-334.186005,-46.726002,26.236,8.618,19.996,-68.962997,-15.756,,,,,,0.0,,,,,,,,,,0.0,,,,
12/31/1994,332.536011,95.525002,231.557007,-9.068,53.618999,-191.548004,-27.673,-4.081,9.308,81.369003,97.650002,-4.122,,,,,,0.0,,,,,,,,,,0.0,,,332.536011,
03/31/1995,556.867981,105.509003,238.628998,-3.778,9.945,100.053001,1.218,-11.624,13.607,14.141,83.682999,5.485,,-241.341995,-96.228996,0.0,,-337.571014,,,,,,,,,,0.0,,,,
06/30/1995,489.872009,125.731003,238.253998,-6.968,24.35,52.937,-10.144,-12.802,4.475,64.064003,5.572,4.403,,-251.199005,0.0,0.0,,-251.199005,,,,,,,,,,0.0,,,,
09/30/1995,864.200012,424.299988,237.399994,-5.5,90.5,52.799999,-132.800003,31.700001,3.9,70.099998,56.099998,35.700001,,-244.779007,0.0,0.0,,-244.779007,,,,,,,,,,0.0,,,,
12/31/1995,484.747009,58.360001,235.130005,-8.02,32.143002,58.087002,-36.032001,-27.577999,29.091,310.105011,-147.496002,-19.042999,,-454.859009,-36.424,0.0,,-491.28299,,,,-491.283009,,,,,,0.0,,,-6.536,
03/31/1996,461.397003,157.686005,241.188004,-9.596,16.26,-23.780001,116.292,-15.491,-1.603,-69.685997,40.775002,9.352,,-313.377991,-83.178001,0.0,,-396.556,,,,,,,,,,,,,,
06/30/1996,417.725006,121.025002,238.539001,-12.435,26.059999,25.007,23.575001,-22.313999,-7.149,22.452,20.855,-17.889999,,-351.420013,0.0,0.0,,-351.420013,,,,,,,,,,,,,,
09/30/1996,645.570984,355.105011,261.261993,-9.499,72.218002,21.993999,-72.011002,17.014,11.725,-29.777,-3.512,21.052,,-266.013,0.0,0.0,,-266.013,,,,,,,,,,,,,,
12/31/1996,497.118988,113.667999,249.789993,-8.672,15.232,29.959,1.85,9.605,6.08,169.988007,-91.717003,1.336,,-296.0,-36.0,0.0,,-332.0,,,,-332.0,,,,,,,,,165.118988,
03/31/1997,537.026978,284.59201,259.454987,-9.132,-7.972,-109.724998,101.676003,-32.275002,-0.03,-41.348,55.365002,36.421001,,-274.122009,-80.181,0.0,0.0,-354.303009,-29.938999,0.0,0.0,-384.242004,-175.048996,-108.496002,1.0,342.132996,-553.432983,155.776993,-0.199,-11.831,-22.264,
06/30/1997,346.743011,28.410999,257.230988,-10.658,11.863,50.501999,-11.695,-7.513,0.571,-3.412,-32.384998,63.827999,,-259.053009,0.0,0.0,0.0,-259.053009,-4.942,0.0,0.0,-263.994995,-24.872999,-109.397003,134.0,56.800999,-108.875,3.536,-3.04,2.102,57.875,
09/30/1997,740.401978,262.554993,271.695007,-10.643,-5.069,27.106001,8.555,35.703999,-0.319,-42.162998,100.779999,92.200996,,-289.523987,0.0,0.0,0.0,-289.523987,0.0,0.688,0.0,-288.835999,-442.303986,-108.823997,-221.0,62.952999,-138.488998,0.127,-37.299999,0.229,9.262,
12/31/1997,374.384003,-1190.562012,259.343994,-11.892,-375.364014,1568.18396,4.533,23.782,41.437,223.720001,-142.529007,-26.268999,,-363.660004,-34.644001,0.0,60.791,-398.303986,0.0,18.539,0.0,-318.973999,-42.021999,-108.565002,115.400002,50.730999,-102.353996,6.338,-3.572,0.0,13.388,
03/31/1998,386.838013,75.690002,262.01001,-3.16,26.681,22.416,61.451,-36.186001,-5.221,-37.367001,1.734,18.790001,,-230.339996,-80.077003,0.0,177.453995,-310.416992,-17.518999,0.0,0.0,-150.481995,-244.188995,-108.584999,221.5,41.564999,-398.695007,4.223,-0.133,-4.064,-7.833,
06/30/1998,302.716003,102.348,246.768005,-4.698,-20.555,-16.011,-204.705002,-48.321999,-6.672,138.408997,81.292999,34.861,,-289.506989,0.0,0.0,0.0,-289.506989,0.0,12.657,0.0,-276.850006,-81.012001,-108.627998,110.195999,54.861,-136.962006,2.544,-6.092,3.069,-55.146,
09/30/1998,319.127991,286.303009,246.815002,-4.467,-10.773,21.556999,-292.026001,52.848,13.452,-124.957001,100.644997,29.731001,,-227.078995,0.0,0.0,0.0,-227.078995,-6.001,0.0,0.0,-233.080002,-16.226999,-108.244003,-81.199997,386.679993,-194.328995,4.141,-24.27,0.995,69.820999,
12/31/1998,370.920013,132.436996,239.268005,-4.139,74.415001,-42.599998,-34.66,16.909,18.246,121.009003,-210.873001,60.908001,,-336.144989,-56.694,0.0,0.0,-392.838989,-0.595,0.0,0.0,-393.43399,3012.945068,-108.091003,-115.682999,3382.831055,-141.477005,5.736,-10.371,0.0,2990.430908,
03/31/1999,547.640991,92.367996,246.311996,-4.211,-53.655998,49.366001,194.298996,-18.143,-4.139,-130.878998,148.473999,27.85,,-276.949005,-39.425999,0.0,0.0,-316.375,-4.815,0.0,0.0,-321.190002,-2495.310059,-109.530998,-72.149002,35.0,-1055.655029,0.824,-564.213013,-729.585999,-2268.858887,
06/30/1999,276.880005,129.862,285.471985,-2.003,-44.664001,1.617,-147.694,7.533,-3.128,27.955999,-43.887001,65.816002,,-249.617996,-63.862,0.0,0.0,-313.480011,-7.886,0.0,2.003,-319.363007,-68.177002,-97.334,51.035999,28.129999,-53.546001,3.588,-0.051,0.0,-110.660004,
09/30/1999,628.997009,294.47699,208.597,-2.243,-11.861,104.971001,26.726,15.078,-2.439,1.137,7.952,-13.398,,-371.162994,0.0,0.0,0.0,-371.162994,-15.885,0.0,2.243,-384.804993,-298.473999,-106.674004,36.900002,0.0,-153.671997,0.006,-75.033997,0.0,-54.282001,
12/31/1999,54.542053,119.320023,166.462006,8.457,-1339.060059,-115.745003,41.702003,-3.525001,4.894,73.655998,1138.221924,-39.841,,-733.643005,104.268997,0.0,4885.720215,-629.374023,39.345001,0.0,-1890.56897,2405.12207,-1166.623047,-105.419998,-206.955017,40.609009,-624.327026,12.766,-813.089905,529.794006,1293.040894,
03/31/2000,-359.214996,200.987,407.613007,-2.751,-37.101002,-11.008,128.520996,0.555,-10.456,-98.012001,-986.872986,49.310001,,-356.748993,-39.400002,0.0,0.0,-396.148987,-37.356998,0.0,-2.253,-435.759003,-469.174988,-95.670998,440.25,0.0,-216.979004,4.173,-533.815002,-67.133003,-1264.149048,
06/30/2000,517.151978,154.585007,259.709015,-2.551,-47.304001,-1.366,-48.41,-1.696,-1.365,149.531006,69.973999,-13.955,,-334.154999,0.0,0.0,0.0,-334.154999,0.0,1735.529053,-1630.48999,-229.115997,-301.737,-79.502998,235.365997,28.091,-372.411987,8.375,-121.653999,0.0,-13.701,
09/30/2000,557.901978,204.164001,284.243011,-2.643,-98.569,16.603001,-103.605003,3.12,-2.787,210.742004,43.444,3.19,,-447.752991,0.0,0.0,11.474,-447.752991,0.0,1.035,2.643,-432.601013,-156.203995,-91.558998,373.867004,0.0,-436.612,0.274,-2.174,0.0,-30.903,
12/31/2000,888.161011,202.263992,234.434967,7.945,1140.973999,-51.229,48.494007,-1.979,128.608002,-1489.260986,873.454956,-205.544998,,-303.817018,-88.599998,0.0,,-380.943024,-1699.207089,,1586.099976,-505.523987,-412.884033,-118.267006,-1054.483032,421.908997,-82.997009,0.0,-12.822,67.133003,-30.246952,
