Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/06/2002,8494,311,311,0.0,620,,86.0,86.0,0.0,0.0,0.0,477,,,,,,1494,2908,,,974,,3118,1573.0,1092.0,481.0,,1136.0,409,7000,,647,647,,,,0.0,0.0,0.0,0.0,,,1220,,,1220,1867,1808,,,,,1056,,,,,,1056,2864,4731,0.0,3177,,,-555,1184.0,-43,3763,0.0,3763,8494,
01/03/2003,8296,198,198,0.0,524,,0.0,0.0,0.0,0.0,0.0,1022,,,,,,1744,2589,3059.0,-470.0,584,,3379,1418.0,923.0,495.0,,493.0,1468,6552,,1194,1194,,,,242.0,242.0,0.0,0.0,,,771,,,771,2207,1553,1553.0,0.0,0.0,,963,,,,,,963,2516,4723,0.0,3184,,,-667,1126.0,-70,3573,0.0,3573,8296,
03/28/2003,8345,525,525,0.0,614,,,,,,,586,,,,,,1725,2626,,,599,,3395,1423.0,923.0,500.0,,486.0,1486,6620,,468,468,,,,223.0,223.0,0.0,0.0,,,1168,,,1168,1859,1937,,,,,1006,,,,,,1006,2943,4802,0.0,3283,,,-782,1215.0,-173,3543,0.0,3543,8345,
06/20/2003,8004,144,144,0.0,645,,,,,,,654,,,,,,1443,2535,,,626,,3400,1434.0,923.0,511.0,,488.0,1478,6561,,469,469,,,,263.0,263.0,0.0,0.0,,,1114,,,1114,1846,1442,,,,,1038,,,,,,1038,2480,4326,0.0,3283,,,-777,1305.0,-133,3678,0.0,3678,8004,
09/12/2003,8072,113,113,0.0,765,,,,,,,380,,,,,,1258,2528,,,967,,3319,1443.0,923.0,520.0,,479.0,1397,6814,,516,516,,,,259.0,259.0,0.0,0.0,,,1108,,,1108,1883,1421,,,,,1100,,,,,,1100,2521,4404,0.0,3301,,,-872,1374.0,-155,3648,20.0,3668,8072,
01/02/2004,8177,229,229,0.0,699,728.0,,,,,,307,,,,,,1235,2513,3070.0,-557.0,1104,,3325,1449.0,923.0,526.0,,,1876,6942,,584,584,,,,64.0,64.0,0.0,0.0,,,1122,,,1122,1770,1391,,,,,1172,,,,,,1172,2563,4333,0.0,3320,,,-865,1505.0,-122,3838,6.0,3844,8177,
03/26/2004,8272,203,203,0.0,773,,,,,,,343,,,,,,1319,2525,,,1659,,2769,1455.0,923.0,532.0,,,1314,6953,,608,608,,,,60.0,60.0,0.0,0.0,,,1043,,,1043,1711,1669,,,,,1208,,,,,,1208,2877,4588,0.0,3365,,,-1077,1559.0,-173,3674,10.0,3684,8272,
06/18/2004,8296,164,164,0.0,1058,,,,,,,363,,,,,,1585,2512,,,1864,,2335,1459.0,923.0,536.0,,,876,6711,,569,569,,,,290.0,290.0,0.0,0.0,,,1131,,,1131,1990,1144,,,,,1304,,,,,,1304,2448,4438,0.0,3379,,,-1032,1661.0,-163,3845,13.0,3858,8296,
09/10/2004,8269,202,202,0.0,863,,,,,,,375,,,,,,1440,2454,,,1982,,2393,1478.0,923.0,555.0,,,915,6829,,574,574,,,,290.0,290.0,0.0,0.0,,,1191,,,1191,2055,1085,,,,,1362,,,,,,1362,2447,4502,0.0,3369,,,-1259,1804.0,-157,3757,10.0,3767,8269,
12/31/2004,8668,770,770,0.0,797,,,,,,,379,,,,,,1946,2389,3070.0,-681.0,1764,,2569,1436.0,923.0,513.0,,,1133,6722,,570,570,,,,489.0,489.0,0.0,0.0,,,1297,,,1297,2356,836,,,,,1383,,,,,,1383,2219,4575,0.0,3426,,,-1197,1951.0,-99,4081,12.0,4093,8668,
03/25/2005,8429,377,377,0.0,974,,,,,,,382,,,,,,1733,2352,,,972,,3372,1441.0,923.0,518.0,,,1931,6696,,589,589,,,,489.0,489.0,0.0,0.0,,,1166,,,1166,2244,835,,,,,1405,,,,,,1405,2240,4484,0.0,3482,,,-1430,2055.0,-175,3932,13.0,3945,8429,
06/17/2005,8464,471,471,0.0,993,,,,,,,394,,,,,,1858,2497,,,1124,,2985,1364.0,923.0,441.0,,,1621,6606,,622,622,,,,225.0,225.0,0.0,0.0,,,1262,,,1262,2109,1207,,,,,1481,,,,,,1481,2688,4797,0.0,3501,,,-1850,2172.0,-170,3653,14.0,3667,8464,
09/09/2005,8615,161,161,0.0,914,,,,,,,894,,,,,,1969,2504,,,1150,,2992,1370.0,924.0,446.0,,,1622,6646,,610,610,,,,215.0,215.0,0.0,0.0,,,1345,,,1345,2170,1602,,,,,1529,,,,,,1529,3131,5301,0.0,3533,,,-2357,2291.0,-164,3303,11.0,3314,8615,
12/30/2005,8530,203,203,0.0,837,,0.0,0.0,0.0,0.0,0.0,970,,,,,,2010,2341,3126.0,-785.0,1211,,2968,1390.0,924.0,466.0,,,1578,6520,,946,946,,,,56.0,,,,,,990,,,990,1992,1681,,,,,1594,,,,,,1594,3275,5267,0.0,3567,,,-2667,2500.0,-148,3252,11.0,3263,8530,
03/24/2006,8680,172,172,,1055,,1138.0,69.0,,1069.0,,1096,,,,,,3461,1114,1912.0,-798.0,1238,,2867,1455.0,924.0,531.0,,,1412,5219,,672,672,,,,12.0,,,,,,1548,,,1548,2232,1865,,,,,1539,,,,,,1539,3404,5636,,3372,,,-2767,2441.0,-2,3044,,3044,8680,
06/16/2006,8373,364,364,0.0,1049,,1124.0,44.0,0.0,1080.0,0.0,828,,,,,,3365,1085,1918.0,-833.0,933,,2990,1466.0,924.0,542.0,,,1524,5008,,629,629,,,,12.0,12.0,0.0,0.0,,,1632,,,1632,2273,1549,,,,,1592,,,,,,1592,3141,5414,0.0,3446,,,-3099,2598.0,14,2959,0.0,2959,8373,
09/08/2006,8314,136,136,,1124,,1184.0,32.0,,1152.0,32.0,792,,,,,,3236,1031,1897.0,-866.0,1073,,2974,1474.0,924.0,550.0,,,1500,5078,,611,611,,,,14.0,,,,,,1746,,,1746,2371,1622,,,,,1619,,,,,,1619,3241,5612,,3491,,,-3518,2704.0,25,2702,,2702,8314,
12/29/2006,8588,191,191,0.0,1060,,1186.0,0.0,0.0,1186.0,0.0,882,,,,,,3319,1233,2092.0,-859.0,560,,3476,1496.0,921.0,575.0,,,1980,5269,,658,658,,,,15.0,,,,,,1849,,,1849,2522,1818,,,,,1630,,,,,,1630,3448,5970,0.0,3622,,,-3908,2860.0,44,2618,0.0,2618,8588,
03/23/2007,8743,124,124,,1198,,1172.0,,,,,905,,,,,,3399,1272,2226.0,-954.0,612,,3460,1500.0,921.0,579.0,,383.0,1577,5344,,610,610,,,,107.0,,,,,,1827,,,1827,2544,2311,,,,,1666,,,,,,1666,3977,6521,,3488,,,-4224,2927.0,31,2222,,2222,8743,
06/15/2007,8919,151,151,,1254,,1291.0,,,,,1077,,,,,,3773,1085,2039.0,-954.0,472,,3589,1515.0,921.0,594.0,,378.0,1696,5146,,700,700,,,,219.0,,,,,,2187,,,2187,3106,2065,,,,,1777,,,,,,1777,3842,6948,,3429,,,-4597,3094.0,45,1971,,1971,8919,
09/07/2007,9110,208,208,,1239,,1499.0,,,,,768,,,,,,3714,1319,2317.0,-998.0,607,,3470,1544.0,921.0,623.0,,306.0,1620,5396,,686,686,,,,247.0,,,,,,1995,,,1995,2928,2701,,,,,1830,,,,,,1830,4531,7459,,3473,,,-5042,3188.0,32,1651,,1651,9110,
12/28/2007,8942,332,332,,1148,,1557.0,,,,,535,,,,,,3572,1329,2348.0,-1019.0,600,,3441,1556.0,921.0,635.0,,343.0,1542,5370,,789,789,,,,175.0,,,,,,1912,,,1912,2876,2790,,,,,1847,,,,,,1847,4637,7513,,3536,,,-5490,3332.0,51,1429,,1429,8942,
03/21/2008,9108,314,314,,1118,,1718.0,,,1718.0,,555,,,,,,3705,1338,2388.0,-1050.0,696,,3369,1569.0,921.0,648.0,,324.0,1476,5403,,636,636,,,,55.0,,,,,,1873,,,1873,2564,3340,,,,,1884,,,,,,1884,5224,7788,,3482,,,-5642,3430.0,50,1320,0.0,1320,9108,
06/13/2008,9012,125,125,0.0,1120,,1824.0,,,,,543,,,,,,3612,1372,2442.0,-1070.0,565,,3463,1633.0,921.0,712.0,,326.0,1504,5400,,615,615,,,,42.0,,,,,,1903,,,1903,2560,3006,,,,,2011,,,,,,2011,5017,7577,0.0,3516,,,-5701,3549.0,71,1435,0.0,1435,9012,
09/05/2008,9104,117,117,,1091,,1892.0,,,1892.0,,507,,,,,,3607,1394,2491.0,-1097.0,687,,3416,1642.0,921.0,721.0,,329.0,1445,5497,,657,657,,,,44.0,,,,,,1965,,,1965,2666,3002,,,,,1994,,,,,,1994,4996,7662,,3547,,,-5777,3610.0,48,1428,14.0,1442,9104,
01/02/2009,8903,134,134,0.0,898,,1981.0,0.0,0.0,1981.0,0.0,355,,,,,,3368,1443,2519.0,-1076.0,830,,3262,1585.0,875.0,710.0,,,1677,5535,,704,704,,,,120.0,,,,,,1709,,,1709,2533,2975,,,,,2004,,,,,,2004,4979,7512,0.0,3595,,,-5765,3565.0,-15,1380,11.0,1391,8903,
03/27/2009,8704,168,168,0.0,832,,1994.0,,,,,443,,,,826.0,268.0,3437,1449,2530.0,-1081.0,539,539.0,3279,1587.0,875.0,712.0,,311.0,555,5267,,1756,599,,,1157.0,143.0,0.0,,,,143.0,507,,,442,2406,2834,2834.0,,,,2127,,,,,8.0,2119,4961,7367,0.0,3525,5.0,3520.0,-5711,3541.0,-27,1328,9.0,1337,8704,
06/19/2009,8743,125,125,0.0,863,,2001.0,,,,,409,96.0,,,841.0,138.0,3398,1455,2564.0,-1109.0,591,591.0,3299,1591.0,875.0,716.0,,326.0,541,5345,,1759,579,,,1180.0,136.0,0.0,,,,136.0,510,,,440,2405,2713,2713.0,,,,2206,,,,,,2206,4919,7324,0.0,3543,5.0,3538.0,-5664,3540.0,-4,1415,4.0,1419,8743,
09/11/2009,8267,130,130,0.0,908,,1465.0,,,,,460,78.0,,,1012.0,125.0,2963,1371,2516.0,-1145.0,533,533.0,3400,1609.0,875.0,734.0,,257.0,522,5304,,1841,559,,,1282.0,137.0,0.0,,,,137.0,513,,,438,2491,2523,2523.0,,,,2268,,,,,,2268,4791,7282,0.0,3561,5.0,3556.0,-5622,3038.0,8,985,0.0,985,8267,
01/01/2010,7933,115,115,0.0,838,,1444.0,0.0,198.0,721.0,525.0,454,68.0,1.0,,1020.0,131.0,2851,1362,2548.0,-1186.0,452,452.0,3268,1606.0,875.0,731.0,,249.0,392,5082,,1081,562,0.0,0.0,519.0,64.0,0.0,,,,64.0,1142,0.0,0.0,1142,2287,2234,2234.0,,,,2270,0.0,0.0,0.0,0.0,20.0,2250,4504,6791,0.0,3590,5.0,3585.0,-5564,3103.0,13,1142,0.0,1142,7933,
03/26/2010,8793,118,118,0.0,946,,1503.0,0.0,168.0,797.0,538.0,448,110.0,,,1091.0,83.0,3015,1339,2537.0,-1198.0,1268,1268.0,3171,1618.0,875.0,743.0,,243.0,219,5778,,1042,499,,,543.0,145.0,0.0,,,,145.0,1126,,2.0,1124,2313,3124,3124.0,,,,2286,,,,,,2284,5410,7723,0.0,3529,5.0,3524.0,-5497,3038.0,0,1070,0.0,1070,8793,
06/18/2010,8647,100,100,0.0,956,,1467.0,0.0,148.0,1302.0,17.0,428,93.0,,,1074.0,92.0,2951,1335,2563.0,-1228.0,1230,1230.0,3131,1610.0,875.0,735.0,,245.0,202,5696,,1073,475,,,598.0,142.0,0.0,,,,142.0,1136,,2.0,1134,2351,2769,2769.0,,,,2303,,,,,,2301,5072,7423,0.0,3557,5.0,3552.0,-5458,3130.0,-5,1224,0.0,1224,8647,
09/10/2010,8789,223,223,0.0,931,,1455.0,0.0,147.0,738.0,570.0,452,74.0,,,1050.0,155.0,3061,1327,2553.0,-1226.0,1295,1295.0,3106,1623.0,875.0,748.0,,245.0,188,5728,,1223,509,,,714.0,126.0,0.0,,,,126.0,1147,,2.0,1147,2496,2600,2600.0,,,,2338,,,,,,2336,4938,7434,0.0,3585,5.0,3580.0,-5427,3191.0,6,1355,0.0,1355,8789,
12/31/2010,8983,505,505,0.0,938,,1489.0,0.0,101.0,732.0,656.0,450,81.0,1.0,,932.0,123.0,3382,1307,2556.0,-1249.0,1264,1264.0,3030,1643.0,875.0,768.0,,250.0,204,5601,,1326,634,0.0,0.0,692.0,138.0,0.0,,,,138.0,1037,0.0,0.0,1037,2501,2691,2691.0,,,,2206,0.0,0.0,0.0,0.0,23.0,2183,4897,7398,0.0,3649,5.0,3644.0,-5348,3286.0,-2,1585,0.0,1585,8983,
03/25/2011,8760,144,144,0.0,944,,1459.0,0.0,133.0,690.0,636.0,452,104.0,,,919.0,107.0,2999,1412,2685.0,-1273.0,1216,1216.0,3133,1677.0,875.0,802.0,,313.0,224,5761,,1192,557,,,635.0,137.0,0.0,,,,137.0,1094,,1.0,1094,2423,2720,2720.0,,,,2231,,,,,,2230,4951,7374,0.0,3592,5.0,3587.0,-5518,3310.0,2,1386,0.0,1386,8760,
06/17/2011,8791,117,117,0.0,1006,,1365.0,0.0,240.0,1106.0,19.0,450,93.0,,,910.0,120.0,2938,1483,2787.0,-1304.0,1127,1127.0,3243,1719.0,875.0,844.0,,278.0,336,5853,,1281,607,,,674.0,482.0,0.0,,,,482.0,1154,,1.0,1154,2917,2440,2440.0,,,,2298,,,,,,2297,4738,7655,0.0,3620,5.0,3615.0,-5874,3401.0,-11,1136,0.0,1136,8791,
09/09/2011,8465,220,220,0.0,1011,,1029.0,0.0,231.0,492.0,306.0,418,85.0,,,1005.0,99.0,2678,1480,2812.0,-1332.0,1102,1102.0,3205,1716.0,875.0,841.0,,271.0,213,5787,,1354,619,,,735.0,480.0,0.0,,,,480.0,1266,,1.0,1266,3100,2623,2623.0,,,,2312,,,,,,2311,4935,8035,0.0,3662,5.0,3657.0,-6381,3165.0,-16,430,0.0,430,8465,
12/30/2011,5910,102,102,0.0,875,,11.0,,,,,336,54.0,0.0,,873.0,0.0,1324,1168,2095.0,-927.0,298,298.0,3120,1721.0,875.0,846.0,,265.0,261,4586,,1198,548,0.0,0.0,650.0,355.0,0.0,,,,355.0,1005,0.0,9.0,1005,2558,1816,1816.0,,,,2317,0.0,0.0,0.0,0.0,15.0,2293,4133,6691,0.0,2518,5.0,2513.0,-6463,3212.0,-48,-781,0.0,-781,5910,
03/23/2012,6171,290,290,0.0,863,,12.0,,,,,299,62.0,,,849.0,7.0,1464,1367,2316.0,-949.0,223,223.0,3117,1727.0,875.0,852.0,,268.0,273,4707,,1181,579,,,602.0,755.0,0.0,,,,755.0,970,,,970,2906,1772,1772.0,,,,2341,,,,,,2341,4113,7019,0.0,2443,5.0,2438.0,-6502,3249.0,-38,-848,0.0,-848,6171,
06/15/2012,6007,105,105,0.0,939,,12.0,,,,,299,48.0,,,846.0,70.0,1355,1383,2343.0,-960.0,197,197.0,3072,1720.0,874.0,846.0,,223.0,283,4652,,1225,592,,,633.0,407.0,0.0,,,,407.0,1010,,,1010,2642,2153,2153.0,,,,2336,,,,,,2336,4489,7131,0.0,2469,5.0,2464.0,-6875,3335.0,-53,-1124,0.0,-1124,6007,
09/07/2012,5865,105,105,0.0,841,,11.0,,,,,201,45.0,,,851.0,10.0,1158,1421,2399.0,-978.0,171,171.0,3115,1772.0,874.0,898.0,,217.0,275,4707,,1262,594,,,668.0,408.0,0.0,,,,408.0,1020,,,1020,2690,2101,2101.0,,,,2370,,,,,,2370,4471,7161,0.0,2520,5.0,2515.0,-7201,3434.0,-49,-1296,0.0,-1296,5865,
12/28/2012,6342,88,88,0.0,1028,,10.0,,,,,349,57.0,0.0,,676.0,12.0,1475,1539,2530.0,-991.0,180,180.0,3148,1989.0,874.0,1115.0,,216.0,267,4867,,1314,569,0.0,0.0,745.0,407.0,0.0,,,,407.0,1052,0.0,0.0,1052,2773,2528,2528.0,,,,2326,0.0,0.0,0.0,0.0,18.0,2308,4854,7627,0.0,2590,5.0,2585.0,-7340,3509.0,-44,-1285,0.0,-1285,6342,
03/31/2013,6523,221,221,0.0,1080,,11.0,,,,,314,56.0,,,673.0,11.0,1626,1574,2572.0,-998.0,170,170.0,3153,1993.0,874.0,1119.0,,230.0,257,4897,,1215,517,,,698.0,49.0,0.0,,,,49.0,1094,,,1094,2358,3206,3206.0,,,,2336,,,,,,2336,5542,7900,0.0,2547,5.0,2542.0,-7427,3549.0,-46,-1377,0.0,-1377,6523,
06/30/2013,6377,108,108,0.0,1006,,0.0,0.0,0.0,0.0,0.0,290,60.0,,,665.0,24.0,1404,1634,2649.0,-1015.0,152,152.0,3187,1991.0,874.0,1117.0,,228.0,303,4973,,1324,554,,,770.0,50.0,0.0,,,,50.0,1093,,,1093,2467,3037,3037.0,,,,2366,,,,,,2366,5403,7870,0.0,2583,5.0,2578.0,-7684,3662.0,-54,-1493,0.0,-1493,6377,
09/30/2013,6480,144,144,0.0,972,,0.0,0.0,0.0,0.0,0.0,530,57.0,,232.0,671.0,24.0,1646,1489,2461.0,-972.0,137,137.0,3208,1989.0,874.0,1115.0,,228.0,320,4834,,1229,496,,,733.0,52.0,0.0,,,,52.0,1141,,,1141,2422,3104,3104.0,,,,2363,,,,,,2363,5467,7889,0.0,2675,5.0,2670.0,-7798,3763.0,-49,-1409,0.0,-1409,6480,
12/31/2013,6794,126,126,0.0,1081,,0.0,0.0,0.0,0.0,0.0,696,67.0,,350.0,647.0,27.0,1903,1543,2448.0,-905.0,142,142.0,3206,2005.0,874.0,1131.0,,222.0,332,4891,,1374,557,0.0,0.0,817.0,6.0,0.0,,,,6.0,1295,0.0,,1295,2675,3147,3147.0,,,,2387,0.0,0.0,0.0,0.0,14.0,2373,5534,8209,0.0,2721,5.0,2716.0,-7929,3837.0,-44,-1415,0.0,-1415,6794,
03/31/2014,6665,184,184,0.0,1035,,0.0,0.0,0.0,0.0,0.0,346,59.0,,0.0,627.0,52.0,1565,1569,2464.0,-895.0,141,141.0,3390,2000.0,874.0,1126.0,,222.0,541,5100,,1348,616,,,732.0,7.0,0.0,,,,7.0,1241,,,1241,2596,3295,3295.0,,,,2399,,,,,,2399,5694,8290,0.0,2669,5.0,2664.0,-8170,3917.0,-41,-1625,0.0,-1625,6665,
06/30/2014,6830,192,192,0.0,1057,,0.0,0.0,0.0,0.0,0.0,288,58.0,,0.0,617.0,28.0,1537,1647,2565.0,-918.0,220,220.0,3426,2228.0,894.0,1334.0,,229.0,352,5293,,1388,617,,,771.0,7.0,0.0,,,,7.0,1295,,,1295,2690,3397,3397.0,,,,2463,,,,,,2463,5860,8550,0.0,2712,5.0,2707.0,-8423,4030.0,-39,-1720,0.0,-1720,6830,
09/30/2014,6847,150,150,0.0,1030,,0.0,0.0,0.0,0.0,0.0,372,54.0,,0.0,597.0,111.0,1552,1736,2652.0,-916.0,215,215.0,3344,2236.0,894.0,1342.0,,234.0,277,5295,,1371,612,,,759.0,7.0,0.0,,,,7.0,1360,,,1360,2738,3521,3521.0,,,,2430,,,,,,2430,5951,8689,0.0,2758,5.0,2753.0,-8703,4156.0,-53,-1842,0.0,-1842,6847,
