Date,Returns,Return on Common Equity,Return on Assets,Return on Capital,Return on Invested Capital,Margins,Gross Margin,EBITDA Margin,Operating Margin,Incremental Operating Margin,Pretax Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Effective Tax Rate,Dvd Payout Ratio,Sustainable Growth Rate,Source: Bloomberg
05/31/1997,,29.385468,12.864639,21.044138,21.037352,,12.935869,11.12031,8.907797,38.258891,8.743847,5.88442,5.88442,5.88442,,32.702165,0.0,29.385468,
08/31/1997,,34.343302,14.874979,25.560658,25.554242,,12.861722,11.591767,8.971259,12.489035,8.919163,5.910068,5.910068,5.910068,,33.737417,0.0,34.343302,
11/30/1997,,37.547728,16.439706,28.099966,28.099427,,12.940047,11.418664,9.187762,12.620878,8.964609,5.96879,5.96879,5.96879,,33.418285,0.0,37.547728,
02/28/1998,,38.185167,18.221674,30.23495,30.240016,,13.323737,11.64179,9.169671,11.584226,8.826749,6.090031,6.090031,6.090031,,31.004831,0.0,38.185167,
05/31/1998,,36.494288,18.185833,29.543915,28.846378,,12.846618,15.9277,8.322701,5.984312,7.856292,5.348531,5.581736,5.581736,,31.920405,0.0,36.494288,
08/31/1998,,26.489644,12.253801,20.650488,25.401188,,11.508781,10.277887,6.449815,,-0.282453,0.139179,0.13918,0.13918,,,0.0,26.489644,
11/30/1998,,24.710898,10.743887,19.682995,23.850835,,11.046924,9.092837,6.474456,1.537559,6.151096,4.042495,4.042495,4.042495,,34.280084,0.0,24.710898,
02/28/1999,,22.970039,10.395389,18.14238,21.758058,,10.757413,9.691733,6.429892,2.456417,6.091251,3.983154,3.983154,3.983154,,34.608604,0.0,22.970039,
05/31/1999,,17.058249,10.113262,16.035597,19.051328,,10.961323,9.619434,6.740371,4.943533,6.130139,3.844132,3.844133,3.844133,,37.291272,0.0,17.058249,
08/31/1999,,20.532888,10.882965,18.655041,19.14302,,11.118402,9.085641,6.517967,6.593973,5.499265,3.348302,3.348303,3.348303,,39.113637,0.0,20.532888,
11/30/1999,,20.844826,10.403309,18.820093,19.258026,,10.638542,9.793976,6.458913,6.419389,5.801062,3.839831,3.839831,3.839831,,33.808132,0.0,20.844826,
02/29/2000,,21.884195,10.262528,17.582003,18.2529,,10.039019,8.493938,6.044209,5.271481,5.872043,4.05176,4.05176,4.05176,,30.999146,0.0,21.884195,
05/31/2000,,19.64914,10.233696,16.79623,17.06386,,9.788486,8.89549,6.042042,4.98213,5.727293,3.952274,3.952274,3.952274,,30.99228,0.0,19.64914,
08/31/2000,,15.762822,9.539388,15.689675,15.234891,,9.983873,8.71158,6.058936,5.461445,6.401349,4.417569,4.417569,4.417569,,30.990027,0.0,15.762822,
11/30/2000,,17.314788,10.149834,17.172338,15.79076,,9.873999,8.482003,5.774189,4.698577,5.956216,4.228867,4.228867,4.228867,,29.000788,,,
02/28/2001,,17.174926,10.016606,16.374922,15.500604,,8.953123,8.322331,4.884926,2.286055,4.736475,3.36252,3.36252,3.36252,,29.007967,0.0,17.174926,
05/31/2001,,14.794488,7.976071,11.824917,12.116014,,8.625716,7.737486,3.984657,,2.292291,1.797291,1.797291,1.797291,,21.594129,0.0,14.794488,
08/31/2001,,8.830519,5.416967,7.947613,8.966626,,8.886074,8.002449,3.350949,-27.182353,1.85899,1.190707,1.190707,1.190707,,35.948718,0.0,8.830519,
11/30/2001,,5.770692,3.50697,5.408032,7.183484,,9.22576,8.050831,3.08456,-15.509355,1.189282,0.946791,0.946791,0.946791,,20.389734,0.0,5.770692,
02/28/2002,,2.955062,1.842335,3.010866,5.250064,,8.939829,7.72911,2.155646,-10.651217,0.641305,0.450324,0.450324,0.450324,,29.779968,0.0,2.955062,
