Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Acq of Fixed & Intang,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/2002,-33.391998,-163.820999,34.055,129.462997,,129.462997,-33.089001,,,-33.089001,-46.095001,-46.095001,0.0,-46.095001,0,0,0,0.0,97.858997,0,97.858997,0.0,0.0,0.0,0.0,18.372,1.591,25.916,
06/30/2002,24.006001,-47.335999,16.191999,42.095001,,42.095001,13.055,,,13.055,-24.886,-24.886,0.0,-24.886,0,0,0,0.0,-0.082,0,-0.229,0.212,0.212,0.0,-0.065,-0.962,0.509,1.543,
09/30/2002,-10.796003,-31.673,13.926001,7.329995,,7.329995,-0.378999,8.957,,-9.335999,-5.506999,6.060001,6.060001,,0,0,0,-11.567,27.338003,0,28.417003,0.047,0.047,0.0,-1.126,11.035,-1.095,28.17,
12/31/2002,25.282997,-6.166004,25.703004,-13.668997,,-13.668997,19.414999,,,19.414999,-13.522001,-18.890997,0.0,-18.890997,0,0,0,5.368996,7.031008,0,5.770008,0.07,0.07,0.0,1.191,18.792,0.497,1.049002,
03/31/2003,-4.821,-33.755001,25.605,8.602,,8.602,-5.273,,,-5.273,-8.436,-6.133,0.0,-6.133,0,0,0,-2.303,-0.027,0,-0.027,0.0,0.0,0.0,0.0,-13.284,0.931,28.304001,
06/30/2003,-4.868,-67.582,16.47,38.884,,38.884,7.36,,,7.36,119.326,139.553,142.51,-2.957,0,0,0,-20.227,-259.971001,0,-252.406001,0.022,0.022,0.0,-7.587,-27.904,0.233,3.962999,
09/30/2003,-20.296,-19.666,62.97,-71.877,0.717,-72.594,8.277,15.509,-5.329,-1.903,141.729,-12.211,0.0,-12.211,0,0,0,153.94,-147.289,0,-138.476,0.04,0.04,0.0,-8.853,-25.856,1.624,73.305,
12/31/2003,-9.512,-51.168,20.908,27.939,,27.939,-7.191,,,-7.191,13.727,-2.925,0.0,-2.925,0,0,0,16.652,-31.154,0,-31.154,0.0,0.0,0.0,0.0,-26.947,0.228,11.542,
03/31/2004,2.485,-51.424999,22.815001,30.347,,30.347,0.748,,,0.748,-1.945,-1.994,0.0,-1.994,0,0,0,0.049,10.007012,0,10.006012,0.001,0.001,0.0,0.0,10.547,0.33,28.584,
06/30/2004,12.546,-23.246,20.493999,55.030998,,55.030998,-39.733002,,,-39.733002,3.084,-0.586,0.804,-1.39,0,0,0,3.67,-12.966,0,-13.061,0.095,0.095,0.0,0.0,2.664,,4.631,
09/30/2004,2.431,-27.372,47.885,-51.75,,-51.75,37.069,3.98,,33.089,-1.178,-0.928,0.298,-1.226,0,0,0,-0.25,1.595,0,1.584,0.011,0.011,0.0,0.0,-0.553,1.338,18.625,
