Date,Revenue,Revenue From Electric,Revenue from Gas,Revenue from Water,Other Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Power Cost,Purchased Gas & Water Cost,Purchased Gas Cost,Purchased Water Cost,Other Cost of Revenue,Gross Profit,Operating Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Total Interest Income,AFUDC - Equity,Interest Income,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1999,1221.0,437.0,618.0,0.0,166.0,-383.0,180.0,7.0,173.0,203.0,,,,838.0,-620.0,140.0,40.0,440.0,218.0,-40.0,,,0.0,,73.0,73.0,0.0,0.0,-33.0,178,-67.0,,111.0,0.0,,,111.0,0.0,111.0,-3.0,,108.0,108.0,,237.353,0.45,0.45,0.45,237.794,0.45,0.45,0.45,
12/31/1999,1437.0,375.0,902.0,0.0,160.0,-541.0,146.0,6.0,140.0,395.0,,,,896.0,-733.0,130.0,55.0,548.0,163.0,-8.0,,,0.0,,44.0,44.0,0.0,,-36.0,155,-48.0,,107.0,0.0,,,107.0,0.0,107.0,-2.0,,105.0,105.0,,237.402,0.44,0.44,0.44,237.563,0.44,0.44,0.44,
03/31/2000,1442.0,349.0,814.0,0.0,279.0,-523.0,133.0,,133.0,390.0,,,,919.0,-678.0,134.0,51.0,493.0,241.0,-55.0,,,0.0,,73.0,73.0,0.0,,-18.0,186,-68.0,,118.0,0.0,,,118.0,0.0,118.0,-5.0,,113.0,113.0,,228.291,0.49,0.49,0.49,228.371,0.49,0.49,0.49,
06/30/2000,1510.0,473.0,716.0,0.0,321.0,-580.0,264.0,,264.0,316.0,,,,930.0,-714.0,144.0,40.0,530.0,216.0,-50.0,,,0.0,,76.0,76.0,0.0,,-26.0,166,-49.0,,117.0,0.0,,,117.0,0.0,117.0,-7.0,,110.0,110.0,,201.386,0.55,0.55,0.55,201.484,0.55,0.55,0.55,
09/30/2000,1810.0,645.0,799.0,0.0,366.0,-826.0,888.0,444.0,444.0,382.0,,,,984.0,-798.0,142.0,47.0,609.0,186.0,-19.0,,,0.0,,67.0,67.0,0.0,0.0,-48.0,167,-50.0,,117.0,0.0,,,117.0,0.0,117.0,-7.0,,110.0,110.0,,201.338,0.55,0.55,0.7,201.497,0.55,0.55,0.7,
12/31/2000,2274.0,717.0,969.0,0.0,588.0,-996.0,,,,511.0,,,,1278.0,-1011.0,143.0,42.0,826.0,267.0,-61.0,,,0.0,,70.0,70.0,0.0,,-9.0,206,-103.0,,103.0,0.0,,,103.0,0.0,103.0,-7.0,,96.0,96.0,,201.76,0.47,0.47,0.47,202.703,0.47,0.47,0.47,
03/31/2001,3242.0,791.0,1881.0,0.0,570.0,-1963.0,572.0,572.0,0.0,1391.0,,,,1279.0,-907.0,142.0,58.0,707.0,372.0,-59.0,,,0.0,,94.0,90.0,0.0,4.0,-35.0,313,-132.0,,181.0,0.0,,,181.0,0.0,181.0,-3.0,,178.0,178.0,,202.285,0.88,0.88,0.78,203.033,0.88,0.88,0.78,
06/30/2001,1895.0,319.0,1112.0,,464.0,-759.0,90.0,90.0,0.0,669.0,,,,1136.0,-864.0,139.0,50.0,675.0,272.0,-68.0,,,,,95.0,90.0,0.0,5.0,-27.0,204,-64.0,,140.0,0.0,,,140.0,0.0,140.0,-3.0,,137.0,137.0,,203.4,0.67,0.67,0.67,205.963,0.66,0.66,0.66,
09/30/2001,1627.0,399.0,605.0,0.0,623.0,-322.0,151.0,,151.0,171.0,,,,1305.0,-1060.0,146.0,41.0,873.0,245.0,-85.0,,,0.0,,80.0,80.0,0.0,0.0,5.0,160,-57.0,,103.0,0.0,,,103.0,0.0,103.0,-7.0,,96.0,96.0,,204.18,0.47,0.47,0.59,206.586,0.46,0.46,0.58,
12/31/2001,1377.0,284.0,773.0,0.0,320.0,-406.0,87.0,87.0,,319.0,,,,971.0,-841.0,151.0,40.0,650.0,130.0,-56.0,,,,,63.0,63.0,,,-7.0,74,40.0,,114.0,0.0,,,114.0,0.0,114.0,-7.0,,107.0,107.0,,204.475,0.52,0.52,0.52,206.004,0.52,0.52,0.52,
03/31/2002,1470.0,278.0,878.0,0.0,314.0,-485.0,61.0,61.0,0.0,424.0,,,,985.0,-734.0,148.0,44.0,542.0,251.0,-43.0,,,0.0,11.0,73.0,69.0,0.0,4.0,-19.0,208,-59.0,,149.0,0.0,,,149.0,0.0,149.0,-3.0,,146.0,146.0,,204.853,0.71,0.71,0.71,206.416,0.71,0.71,0.71,
06/30/2002,1488.0,323.0,754.0,0.0,411.0,-384.0,79.0,79.0,0.0,305.0,,,,1104.0,-876.0,152.0,43.0,681.0,228.0,-65.0,,,0.0,10.0,83.0,78.0,0.0,5.0,-8.0,163,-15.0,,148.0,-2.0,,,150.0,0.0,150.0,-3.0,,147.0,147.0,,205.354,0.72,0.71,0.71,207.084,0.71,0.7,0.7,
09/30/2002,1385.0,358.0,658.0,0.0,369.0,-297.0,81.0,81.0,,216.0,,,,1088.0,-778.0,147.0,42.0,589.0,310.0,-88.0,,,0.0,10.0,77.0,73.0,0.0,4.0,21.0,222,-69.0,,153.0,0.0,,,153.0,0.0,153.0,-3.0,,150.0,150.0,,204.932,0.73,0.73,0.73,205.366,0.73,0.73,0.73,
12/31/2002,1700.0,312.0,968.0,0.0,420.0,-512.0,76.0,76.0,,436.0,,,,1188.0,-990.0,149.0,48.0,793.0,198.0,-54.0,,,0.0,,70.0,70.0,0.0,,-16.0,144,-3.0,,141.0,-14.0,,,155.0,0.0,155.0,-7.0,0.0,148.0,148.0,,204.873,0.72,0.65,0.65,205.564,0.72,0.65,0.65,
03/31/2003,1923.0,395.0,1162.0,0.0,366.0,-840.0,326.0,163.0,163.0,677.0,,,,1083.0,-868.0,148.0,56.0,664.0,215.0,-71.0,,,0.0,12.0,78.0,74.0,0.0,4.0,5.0,144,-24.0,,120.0,29.0,,,91.0,0.0,91.0,-3.0,,88.0,88.0,,206.393,0.43,0.57,0.61,207.823,0.42,0.56,0.6,
06/30/2003,1840.0,397.0,929.0,0.0,514.0,-617.0,274.0,137.0,137.0,480.0,,,,1223.0,-1020.0,149.0,57.0,814.0,203.0,-57.0,,,0.0,10.0,76.0,71.0,0.0,5.0,-9.0,146,-27.0,,119.0,0.0,,,119.0,0.0,119.0,-3.0,,116.0,116.0,,207.626,0.56,0.56,0.56,210.164,0.55,0.55,0.55,
09/30/2003,2058.0,576.0,870.0,0.0,612.0,-500.0,256.0,128.0,128.0,372.0,,,,1558.0,-1251.0,158.0,54.0,1039.0,307.0,-36.0,,,0.0,8.0,78.0,78.0,0.0,0.0,-34.0,271,-58.0,,213.0,0.0,,,213.0,0.0,213.0,-2.0,,211.0,211.0,,208.816,1.01,1.01,1.11,212.273,1.0,1.0,1.09,
12/31/2003,2066.0,419.0,1049.0,0.0,598.0,-655.0,113.0,113.0,,542.0,,,,1411.0,-1197.0,160.0,63.0,974.0,214.0,-23.0,,,0.0,,85.0,85.0,0.0,0.0,-62.0,191,62.0,,253.0,17.0,,,236.0,0.0,236.0,-2.0,,234.0,234.0,,223.962,1.05,1.12,0.79,227.214,1.03,1.11,0.78,
03/31/2004,2360.0,381.0,1333.0,0.0,646.0,-951.0,127.0,127.0,,824.0,,,,1409.0,-1077.0,165.0,64.0,848.0,332.0,-52.0,,,0.0,23.0,80.0,80.0,0.0,0.0,-5.0,280,-57.0,,223.0,24.0,,,199.0,0.0,199.0,-2.0,,197.0,197.0,,228.055,0.86,0.97,0.97,231.136,0.85,0.96,0.96,
06/30/2004,1996.0,420.0,947.0,0.0,629.0,-637.0,155.0,155.0,,482.0,,,,1359.0,-1139.0,165.0,53.0,921.0,220.0,-57.0,,,0.0,10.0,80.0,80.0,0.0,0.0,-13.0,163,-31.0,,132.0,8.0,,,124.0,0.0,124.0,-3.0,,121.0,121.0,,230.432,0.52,0.56,0.56,234.312,0.52,0.55,0.55,
09/30/2004,2165.0,445.0,909.0,0.0,811.0,-581.0,143.0,143.0,,438.0,,,,1584.0,-1239.0,171.0,54.0,1014.0,345.0,-74.0,,,0.0,25.0,74.0,74.0,0.0,0.0,25.0,271,-103.0,,233.0,0.0,,,168.0,0.0,233.0,-2.0,,231.0,231.0,,229.376,1.01,1.01,1.01,235.936,0.98,0.98,0.98,
12/31/2004,2906.0,412.0,1348.0,0.0,1146.0,-1000.0,151.0,151.0,,849.0,,,,1906.0,-1403.0,120.0,65.0,1218.0,503.0,-159.0,,,0.0,11.0,88.0,88.0,0.0,0.0,82.0,344,-2.0,,342.0,-7.0,,,349.0,0.0,349.0,-3.0,0.0,346.0,346.0,,230.832,1.53,1.49,1.93,237.5,1.48,1.44,1.88,
03/31/2005,2655.0,394.0,1433.0,0.0,828.0,-1058.0,145.0,145.0,0.0,913.0,,,,1597.0,-1314.0,158.0,68.0,1088.0,283.0,-53.0,,,0.0,10.0,74.0,74.0,0.0,0.0,-11.0,230,-7.0,,223.0,-2.0,,,225.0,0.0,225.0,-2.0,,223.0,223.0,,232.939,0.96,0.95,0.97,241.105,0.92,0.91,0.93,
06/30/2005,2223.0,406.0,1055.0,0.0,762.0,-746.0,146.0,146.0,0.0,600.0,,,,1477.0,-1275.0,158.0,55.0,1062.0,202.0,-47.0,,,0.0,12.0,72.0,72.0,0.0,0.0,-13.0,155,-33.0,,122.0,-2.0,,,124.0,0.0,124.0,-3.0,,121.0,121.0,,243.898,0.5,0.49,0.49,250.073,0.48,0.47,0.47,
09/30/2005,2710.0,596.0,899.0,0.0,1215.0,-693.0,146.0,146.0,,547.0,,,,2017.0,-1625.0,152.0,59.0,1414.0,392.0,-237.0,,,4.0,28.0,74.0,74.0,0.0,0.0,195.0,155,63.0,,218.0,-5.0,,,223.0,0.0,223.0,-2.0,0.0,221.0,221.0,,252.974,0.87,0.85,1.74,257.37,0.86,0.84,1.73,
12/31/2005,3932.0,526.0,1733.0,0.0,1673.0,-1359.0,187.0,187.0,0.0,1172.0,,,,2573.0,-1856.0,160.0,65.0,1631.0,717.0,-301.0,,,0.0,22.0,90.0,90.0,0.0,0.0,233.0,416,-56.0,,360.0,-2.0,,,362.0,0.0,358.0,-3.0,0.0,355.0,355.0,,253.516,1.4,1.41,2.48505,257.845,1.38,1.39,2.443328,
03/31/2006,3336.0,474.0,1654.0,0.0,1208.0,-1638.0,508.0,508.0,,1130.0,,,,1698.0,-1286.0,157.0,77.0,1052.0,412.0,-68.0,,,4.0,14.0,96.0,96.0,0.0,0.0,-10.0,344,-108.0,,236.0,-21.0,,,257.0,0.0,257.0,-2.0,0.0,255.0,255.0,,254.257,1.0,0.92,0.92,259.251,0.98,0.9,0.9,
06/30/2006,2486.0,554.0,1014.0,0.0,918.0,-921.0,386.0,386.0,,535.0,,,,1565.0,-1228.0,171.0,64.0,993.0,337.0,-53.0,,,3.0,25.0,87.0,87.0,0.0,0.0,-6.0,284,-96.0,,188.0,-188.0,,,376.0,0.0,376.0,-3.0,0.0,373.0,373.0,,255.728,1.46,0.73,0.73,260.32,1.43,0.71,0.71,
09/30/2006,2694.0,700.0,794.0,,1200.0,-615.0,203.0,203.0,,412.0,,,,2079.0,-1603.0,163.0,67.0,1373.0,476.0,326.0,,,,34.0,90.0,90.0,,,-382.0,802,-257.0,,545.0,-110.0,,,655.0,,655.0,-2.0,0.0,653.0,653.0,,257.487,2.54,2.11,1.33,262.102,2.49,2.07,1.29,
12/31/2006,3232.0,512.0,1197.0,,1523.0,-834.0,155.0,155.0,,679.0,,,,2398.0,-1813.0,164.0,67.0,1582.0,585.0,-277.0,,,,36.0,78.0,78.0,,,235.0,308,-178.0,,130.0,2.0,,,128.0,,128.0,-3.0,0.0,125.0,125.0,,258.385,0.48,0.5,1.09,263.429,0.47,0.49,1.08,
03/31/2007,3004.0,467.0,1592.0,0.0,945.0,-1535.0,485.0,485.0,,1050.0,,,,1469.0,-1202.0,169.0,81.0,952.0,267.0,25.0,,,6.0,26.0,70.0,70.0,0.0,0.0,-63.0,292,-63.0,,229.0,-1.0,,,230.0,0.0,230.0,-2.0,0.0,228.0,228.0,,259.459,0.88,0.88,0.88,263.996,0.86,0.86,0.86,
06/30/2007,2661.0,515.0,1105.0,0.0,1041.0,-1044.0,441.0,441.0,,603.0,,,,1617.0,-1203.0,171.0,68.0,964.0,414.0,12.0,,,4.0,24.0,66.0,66.0,0.0,0.0,-50.0,426,-143.0,,283.0,3.0,,,280.0,0.0,280.0,-3.0,0.0,277.0,277.0,,260.198,1.07,1.08,1.08,264.963,1.05,1.06,1.06,
09/30/2007,2663.0,612.0,903.0,0.0,1148.0,-904.0,515.0,515.0,,389.0,,,,1759.0,-1201.0,174.0,72.0,955.0,558.0,-91.0,,,0.0,12.0,68.0,68.0,0.0,0.0,35.0,467,-135.0,,332.0,25.0,,,307.0,0.0,307.0,-2.0,0.0,305.0,305.0,,259.563,1.17,1.27,1.43,264.279,1.15,1.24,1.4,
12/31/2007,3110.0,590.0,1530.0,0.0,990.0,-1281.0,560.0,560.0,,721.0,,,,1829.0,-1317.0,172.0,74.0,1071.0,512.0,-38.0,,,-10.0,10.0,68.0,68.0,0.0,0.0,-30.0,474,-183.0,,291.0,-1.0,,,292.0,0.0,292.0,-3.0,0.0,289.0,289.0,,257.864,1.12,1.12,1.14,262.839,1.1,1.1,1.12,
03/31/2008,3270.0,498.0,1792.0,0.0,980.0,-1807.0,572.0,572.0,,1235.0,,,,1463.0,-1092.0,175.0,83.0,834.0,371.0,0.0,,,8.0,14.0,60.0,60.0,,,-38.0,371,-127.0,,244.0,0.0,,,244.0,-2.0,242.0,-2.0,0.0,240.0,240.0,0.0,258.624,0.94,0.94,0.94,262.671,0.92,0.92,0.92,
06/30/2008,2503.0,581.0,1306.0,0.0,616.0,-1517.0,733.0,733.0,,784.0,,,,986.0,-808.0,171.0,71.0,566.0,178.0,286.0,,,8.0,10.0,38.0,38.0,,,-306.0,464,-202.0,,262.0,0.0,,,262.0,-15.0,247.0,-3.0,0.0,244.0,244.0,,245.576,0.99,0.99,0.98,249.677,0.98,0.98,0.97,
09/30/2008,2692.0,814.0,1199.0,0.0,679.0,-1431.0,742.0,742.0,,689.0,,,,1261.0,-817.0,162.0,76.0,579.0,444.0,-40.0,,,9.0,12.0,67.0,67.0,,,-6.0,404,-94.0,,310.0,0.0,,,310.0,0.0,310.0,-2.0,0.0,308.0,308.0,0.0,243.793,1.26,1.26,1.26,247.904,1.24,1.24,1.24,
12/31/2008,2293.0,660.0,1122.0,0.0,511.0,-1060.0,524.0,524.0,,536.0,,,,1233.0,-995.0,179.0,82.0,734.0,238.0,37.0,,,,9.0,88.0,88.0,,,-116.0,275,-15.0,,260.0,0.0,0.0,0.0,260.0,62.0,322.0,-3.0,0.0,319.0,319.0,0.0,241.66,1.32,1.32,1.32,244.531,1.3,1.3,1.3,
03/31/2009,2108.0,551.0,1091.0,,466.0,-996.0,439.0,439.0,,540.0,540.0,,17.0,1112.0,-781.0,183.0,82.0,516.0,331.0,103.0,68.0,-14.0,8.0,6.0,82.0,82.0,,,-171.0,434,-109.0,,325.0,0.0,0.0,0.0,325.0,-9.0,316.0,-2.0,0.0,314.0,310.1,-3.9,241.766,1.31,1.31,1.282645,245.017,1.29,1.29,1.274083,
06/30/2009,1689.0,534.0,782.0,,373.0,-581.0,316.0,316.0,,249.0,249.0,,16.0,1108.0,-976.0,189.0,69.0,718.0,132.0,147.0,64.0,-15.0,10.0,5.0,79.0,79.0,,,-211.0,279,-90.0,,189.0,0.0,0.0,0.0,189.0,12.0,201.0,-3.0,0.0,198.0,257.45,59.45,242.718,0.82,0.82,1.060696,247.09,0.8,0.8,1.040601,
09/30/2009,1853.0,693.0,731.0,,429.0,-655.0,428.0,428.0,,208.0,208.0,,19.0,1198.0,-844.0,196.0,77.0,571.0,354.0,76.0,81.0,-15.0,10.0,5.0,96.0,96.0,,,-157.0,430,-128.0,,302.0,0.0,0.0,0.0,302.0,17.0,319.0,-2.0,0.0,317.0,306.6,-10.4,243.925,1.3,1.3,1.256944,248.461,1.27,1.27,1.228142,
12/31/2009,2456.0,641.0,1197.0,0.0,618.0,-1026.0,465.0,465.0,,533.0,533.0,,28.0,1430.0,-1073.0,207.0,68.0,798.0,357.0,44.0,94.0,-16.0,11.0,5.0,110.0,110.0,,,-138.0,401,-95.0,,306.0,0.0,0.0,0.0,306.0,-15.0,291.0,-3.0,0.0,288.0,288.0,0.0,244.923,1.18,1.18,1.18,248.749,1.16,1.16,1.16,
03/31/2010,2534.0,562.0,1350.0,0.0,622.0,-1269.0,486.0,486.0,,758.0,758.0,,25.0,1265.0,-1044.0,210.0,90.0,744.0,221.0,-63.0,92.0,-17.0,13.0,4.0,109.0,109.0,,,-29.0,158,-58.0,,100.0,0.0,0.0,0.0,100.0,8.0,108.0,-2.0,0.0,106.0,202.0,96.0,246.083,0.43,0.43,0.820861,250.373,0.42,0.42,0.803428,
06/30/2010,2008.0,586.0,926.0,0.0,496.0,-765.0,386.0,386.0,,359.0,359.0,,20.0,1243.0,-907.0,215.0,77.0,615.0,336.0,-72.0,85.0,-18.0,14.0,4.0,103.0,103.0,,,-13.0,264,-59.0,,205.0,0.0,0.0,0.0,205.0,20.0,225.0,-3.0,0.0,222.0,221.35,-0.65,246.784,0.9,0.9,0.896938,249.727,0.89,0.89,0.887397,
09/30/2010,2116.0,717.0,858.0,,541.0,-803.0,495.0,495.0,,285.0,285.0,,23.0,1313.0,-901.0,218.0,76.0,607.0,412.0,-317.0,93.0,-18.0,13.0,5.0,111.0,117.0,-6.0,,224.0,95,32.0,,127.0,0.0,0.0,0.0,127.0,6.0,133.0,-2.0,0.0,131.0,249.85,118.85,246.668,0.53,0.53,1.0129,249.811,0.53,0.53,1.00576,
12/31/2010,2345.0,663.0,1157.0,0.0,525.0,-946.0,425.0,425.0,,498.0,498.0,,23.0,1399.0,-1010.0,224.0,84.0,702.0,389.0,-71.0,93.0,-20.0,17.0,3.0,113.0,113.0,,,-22.0,318,-17.0,,301.0,0.0,0.0,0.0,301.0,-18.0,283.0,-3.0,0.0,280.0,270.25,-9.75,239.465,1.17,1.17,1.128557,242.519,1.15,1.15,1.109797,
03/31/2011,2434.0,663.0,1218.0,0.0,553.0,-1066.0,434.0,434.0,,609.0,609.0,,23.0,1368.0,-965.0,231.0,95.0,639.0,403.0,-30.0,86.0,-22.0,19.0,3.0,108.0,116.0,-8.0,,-56.0,373,-109.0,,264.0,0.0,0.0,0.0,264.0,-4.0,260.0,-2.0,0.0,258.0,262.55,4.55,240.128,1.07,1.07,1.093375,241.903,1.07,1.07,1.088809,
06/30/2011,2422.0,906.0,1016.0,0.0,500.0,-1044.0,609.0,609.0,,403.0,403.0,,32.0,1378.0,-724.0,248.0,80.0,396.0,654.0,-60.0,84.0,-34.0,22.0,12.0,118.0,127.0,-9.0,,-24.0,594,-92.0,,502.0,0.0,0.0,0.0,502.0,12.0,514.0,-3.0,0.0,511.0,237.9,-273.1,239.415,2.14,2.14,0.993672,240.761,2.12,2.12,0.98568,
09/30/2011,2576.0,1096.0,969.0,0.0,511.0,-1050.0,660.0,660.0,,322.0,322.0,,68.0,1526.0,-1026.0,251.0,84.0,691.0,500.0,-106.0,86.0,-32.0,26.0,6.0,118.0,128.0,-10.0,,20.0,394,-68.0,,326.0,0.0,0.0,0.0,326.0,-29.0,297.0,-1.0,0.0,296.0,307.05,11.05,239.545,1.23,1.23,1.281805,241.88,1.22,1.22,1.265684,
12/31/2011,2604.0,,2389.0,0.0,215.0,-986.0,473.0,473.0,,499.0,499.0,0.0,14.0,1618.0,-1153.0,247.0,84.0,822.0,465.0,-52.0,84.0,-37.0,32.0,5.0,121.0,134.0,-13.0,,-32.0,413,-105.0,,308.0,0.0,0.0,0.0,308.0,-21.0,287.0,-2.0,0.0,285.0,289.55,4.55,239.803,1.19,1.19,1.207449,241.756,1.18,1.18,1.18,
03/31/2012,2383.0,1008.0,1083.0,0.0,292.0,-981.0,517.0,517.0,,431.0,431.0,,33.0,1402.0,-1024.0,257.0,96.0,671.0,378.0,-10.0,73.0,-40.0,35.0,5.0,113.0,127.0,-14.0,,-63.0,368,-117.0,,251.0,0.0,0.0,0.0,251.0,-13.0,238.0,-2.0,0.0,236.0,236.0,0.0,240.566,0.98,0.98,0.98,243.761,0.97,0.97,0.97,
06/30/2012,2089.0,1001.0,837.0,,251.0,-692.0,430.0,430.0,,221.0,221.0,,41.0,1397.0,-1065.0,266.0,79.0,720.0,332.0,-376.0,77.0,-36.0,32.0,4.0,113.0,126.0,-13.0,,299.0,-44,118.0,,74.0,0.0,0.0,0.0,74.0,-11.0,63.0,-1.0,0.0,62.0,241.0,179.0,241.141,0.26,0.26,0.999415,246.26,0.25,0.25,0.976874,
09/30/2012,2507.0,1332.0,838.0,,337.0,-906.0,651.0,651.0,,212.0,212.0,,43.0,1601.0,-1101.0,280.0,89.0,732.0,500.0,-161.0,108.0,-18.0,13.0,5.0,126.0,131.0,-5.0,,53.0,339,-49.0,,290.0,0.0,0.0,0.0,290.0,-20.0,270.0,-2.0,0.0,268.0,328.0,60.0,241.689,1.11,1.11,1.357116,245.802,1.09,1.09,1.334099,
12/31/2012,2668.0,1227.0,1115.0,0.0,326.0,-1111.0,643.0,643.0,,426.0,426.0,,42.0,1557.0,-1208.0,287.0,95.0,826.0,349.0,-33.0,115.0,-26.0,16.0,10.0,141.0,147.0,-6.0,,-82.0,316,-11.0,,305.0,0.0,0.0,0.0,305.0,-11.0,294.0,-1.0,0.0,293.0,276.0,-17.0,241.984,1.21,1.21,1.140571,247.57,1.18,1.18,1.08,
03/31/2013,2650.0,1131.0,1203.0,0.0,316.0,-1162.0,558.0,558.0,,556.0,556.0,,48.0,1488.0,-1051.0,295.0,106.0,650.0,437.0,-81.0,117.0,-21.0,15.0,6.0,138.0,144.0,-6.0,,-36.0,356,-178.0,,178.0,0.0,0.0,0.0,178.0,2.0,180.0,-2.0,0.0,178.0,192.9,14.9,243.294,0.73,0.73,0.792868,247.534,0.72,0.72,0.780194,
