Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
07/31/2017,70931,7757,7757,0,6873,3578,3295,267.0,2144,0,0,1233,911,6102,56,,3920,761.0,5159,23143,6730,12868,-6138,4123,4123,36935,26902,25491,1411,2626.0,3431,47788,,11952,5717,1364,4871,2069,848,,,,1221,4258,2603.0,279,0,18279,14527,14527,,,,9075,,1672.0,1672.0,0.0,92,4429,23602,41881,0.0,34048.0,16.0,34032.0,0,-1676,-3360,29012,38,29050,70931,
10/31/2017,61406,9579,9579,0,6228,2892,3336,223.0,2315,0,0,1236,1079,3099,58,14.0,4663,819.0,2064,21444,6269,11877,-5608,4380,4380,29313,18558,17516,1042,2535.0,3499,39962,,11714,6072,1358,4284,3850,840,5.0,5.0,,3005,3360,2487.0,245,0,18924,10182,10097,85.0,85.0,,8795,0.0,1413.0,1413.0,0.0,104,4546,18977,37901,0.0,33599.0,16.0,33583.0,0,-7238,-2895,23466,39,23505,61406,
01/31/2018,61619,7673,7673,0,6613,3098,3515,,2431,0,0,1311,1120,3782,22,34.0,6089,,3649,20499,6338,12134,-5796,4569,4569,30213,18481,17516,965,2561.0,3060,41120,,11779,5948,410,5421,3915,400,,,,3515,3649,,545,0,19343,10040,10040,,,,8247,,,,0.0,216,7486,18287,37630,0.0,32963.0,16.0,32947.0,0,-6057,-2955,23951,38,23989,61619,
04/30/2018,59876,6986,6986,0,6602,3099,3503,,2848,0,0,1321,1527,3356,38,31.0,5896,,3124,19792,6208,12080,-5872,4563,4563,29313,18444,17537,907,2517.0,2418,40084,,11861,6242,437,5182,3855,352,,,,3503,3368,,473,0,19084,9970,9970,,,,6856,,,,0.0,234,6149,16826,35910,0.0,32220.0,15.0,32205.0,0,-5306,-2982,23932,34,23966,59876,
07/31/2018,57513,5193,5193,0,6341,2906,3435,0.0,2771,0,0,1382,1389,3162,98,6.0,5933,,2925,17467,6184,12133,-5949,4577,4577,29285,18486,17626,860,2513.0,2255,40046,,11815,6143,484,5188,2326,924,,,,1402,3266,,403,0,17407,9963,9963,,,,6681,,,,0.0,235,6043,16644,34051,0.0,31353.0,15.0,31338.0,0,-5021,-2906,23426,36,23462,57513,
10/31/2018,55493,4880,4880,0,6474,3117,3357,185.0,2447,0,0,1274,1173,3286,153,6.0,2403,811.0,2126,17272,6138,11816,-5678,4740,4740,27343,18326,17537,789,2398.0,4063,38221,,11931,6092,1388,4451,2005,802,7.0,7.0,,1196,3262,2646.0,391,0,17198,10136,10062,74.0,74.0,,6885,0.0,1434.0,1434.0,0.0,228,2186,17021,34219,0.0,30356.0,14.0,30342.0,0,-5899,-3218,21239,35,21274,55493,
01/31/2019,51758,3781,3781,0,6473,3023,3450,197.0,2300,0,0,1283,1017,2681,102,14.0,2210,,2490,15432,6141,11797,-5656,4797,4797,25388,18334,17588,746,2413.0,2329,36326,,11091,5789,295,5007,2073,877,,,,1196,3295,,258,0,16459,10280,10280,,,,6684,,,,0.0,300,6126,16964,33423,0.0,29621.0,14.0,29607.0,0,-8034,-3294,18293,42,18335,51758,
04/30/2019,51140,3585,3585,0,6412,2992,3420,184.0,2182,0,0,1222,960,2637,140,1.0,2199,,2380,15000,6138,12009,-5871,4697,4697,25305,18264,17587,677,2421.0,2281,36140,,10754,5483,236,5035,2114,928,,,,1186,3209,,166,0,16077,10332,10332,,,,6490,,,,0.0,275,6049,16822,32899,0.0,29143.0,13.0,29130.0,0,-7765,-3180,18198,43,18241,51140,
07/31/2019,50760,3693,3693,0,6322,2786,3536,210.0,2216,0,0,1225,991,2676,208,52.0,1657,,2345,15117,6000,11910,-5910,4866,4866,24777,18205,17587,618,2346.0,2361,35643,,11657,5203,160,6294,2207,1027,,,,1180,3294,,80,0,17158,10453,10453,,,,5569,,,,0.0,278,5211,16022,33180,0.0,28642.0,13.0,28629.0,0,-7959,-3150,17533,47,17580,50760,
10/31/2019,51803,3753,3753,0,6323,2782,3541,206.0,2387,0,0,1198,1189,2474,253,46.0,1515,627.0,1586,15143,6054,11901,-5847,4949,4949,25657,19434,18306,1128,2254.0,2201,36660,,11393,5595,992,4806,4425,978,6.0,6.0,,3441,3341,2751.0,40,0,19159,9395,9328,67.0,67.0,,6100,0.0,1772.0,1772.0,0.0,311,1226,15495,34654,0.0,28457.0,13.0,28444.0,0,-7632,-3727,17098,51,17149,51803,
01/31/2020,52244,3171,3171,0,6237,2684,3553,218.0,2560,0,0,1245,1315,2565,279,12.0,1529,,2336,14751,6764,12583,-5819,5012,5012,25717,19313,18305,1008,2290.0,2306,37493,,10683,5332,173,5178,4713,1107,207.0,4.0,203.0,3399,3358,,39,0,18754,10302,9306,996.0,56.0,940.0,5945,,,,0.0,311,5595,16247,35001,0.0,28300.0,13.0,28287.0,0,-7411,-3700,17189,54,17243,52244,
04/30/2020,54515,5131,5131,0,6030,2438,3592,210.0,3476,0,0,1371,2105,3136,535,6.0,1520,,2769,17983,6620,12581,-5961,4922,4922,24990,18373,17444,929,2276.0,2286,36532,,11485,5482,202,5801,5359,966,201.0,4.0,197.0,4192,3353,,6,0,20197,12470,11498,972.0,55.0,917.0,5590,,,,,253,5331,18060,38257,0.0,28220.0,13.0,28207.0,0,-8385,-3625,16210,48,16258,54515,
07/31/2020,58239,8465,8465,0,6455,2700,3755,198.0,3469,0,0,1463,2006,2796,384,3.0,1705,,2611,21383,6686,12738,-6052,5104,5104,25066,18276,17442,834,2269.0,2432,36856,,12095,6001,204,5890,5914,1129,191.0,4.0,187.0,4594,3601,,54,0,21610,14632,13676,956.0,54.0,902.0,5791,,,,,282,5455,20423,42033,0.0,28288.0,13.0,28275.0,0,-8377,-3756,16155,51,16206,58239,
