Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
07/31/2010,321.804,321.804,-217.846,217.846,103.958,0.0,-81.702,79.909,,1.793,22.256,-0.214,,0.214,,,,,0.0,22.042,-8.98,13.062,0.0,0.0,0.0,13.062,,13.062,,0.0,13.062,13.036,-0.026,58.727,0.22,0.22,0.221976,60.672,0.22,0.22,0.219571,
10/30/2010,339.179,339.179,-220.273,220.273,118.906,0.0,-94.614,90.309,,4.305,24.292,-0.244,,0.244,,,,,0.0,24.048,-9.845,14.203,0.0,0.0,0.0,14.203,,14.203,0.0,0.0,14.203,13.94365,-0.25935,59.063,0.24,0.24,0.236081,61.057,0.23,0.23,0.225752,
01/29/2011,473.659,473.659,-316.973,316.973,156.686,0.0,-107.682,107.159,,0.523,49.004,-0.179,,0.179,,,,,0.0,48.825,-18.721,30.104,0.0,0.0,0.0,30.104,,30.104,0.0,0.0,30.104,30.182,0.078,59.738,0.5,0.5,0.50524,61.919,0.49,0.49,0.49126,
04/30/2011,386.006,386.006,-251.101,251.101,134.905,0.0,-95.845,94.615,,1.23,39.06,-0.173,,0.173,,,,,0.0,38.887,-15.591,23.296,0.0,0.0,0.0,23.296,0.0,23.296,0.0,0.0,23.296,23.60605,0.31005,60.554,0.38,0.38,0.389835,62.758,0.37,0.37,0.37494,
07/30/2011,394.567,394.567,-260.28,260.28,134.287,0.0,-94.627,90.811,,3.816,39.66,-0.147,,0.147,,,,,0.0,39.513,-15.608,23.905,0.0,0.0,0.0,23.905,0.0,23.905,0.0,0.0,23.905,23.85625,-0.04875,61.126,0.39,0.39,0.39028,63.241,0.38,0.38,0.379229,
10/29/2011,413.067,413.067,-263.884,263.884,149.183,0.0,-104.955,100.997,,3.958,44.228,-0.176,,0.176,,,,,0.0,44.052,-17.284,26.768,0.0,0.0,0.0,26.768,0.0,26.768,0.0,0.0,26.768,26.768,0.0,61.451,0.44,0.44,0.44,63.419,0.42,0.42,0.42,
01/28/2012,582.511,582.511,-384.046,384.046,198.465,0.0,-125.218,124.235,,0.983,73.247,-0.091,,0.091,,,,,0.0,73.156,-26.861,46.295,0.0,0.0,0.0,46.295,,46.295,0.0,0.0,46.295,46.7578,0.4628,61.905,0.75,0.75,0.755315,63.681,0.73,0.73,0.737267,
04/28/2012,474.098,474.098,-303.186,303.186,170.912,0.0,-113.466,110.943,,2.523,57.446,-0.021,,0.021,,,,0.0,0.0,57.425,-22.557,34.868,0.0,0.0,0.0,34.868,0.0,34.868,0.0,0.0,34.868,35.03375,0.16575,62.496,0.56,0.56,0.560576,64.072,0.54,0.54,0.542587,
07/28/2012,,481.683,,314.058,,,,106.04,,4.126,,-0.104,,,,,,,0.0,57.355,,,0.0,0.0,0.0,34.998,,,,,,,0.1248,,,,,,,,,
10/27/2012,505.64,505.64,-320.147,320.147,185.493,0.0,-124.186,117.934,,6.252,61.307,-0.039,,0.039,,,,,0.0,61.268,-23.117,38.151,0.0,0.0,0.0,38.151,0.0,38.151,0.0,0.0,38.151,38.13995,-0.01105,63.484,0.6,0.6,0.600781,64.483,0.59,0.59,0.589829,
02/02/2013,758.835,758.835,-499.191,499.191,259.644,0.0,-155.878,153.963,,1.915,103.766,-0.021,,0.021,,,,,0.0,103.745,-39.213,64.532,0.0,0.0,0.0,64.532,0.0,64.532,0.0,0.0,64.532,64.9506,0.4186,63.901,1.01,1.01,1.016425,64.675,1.0,1.0,1.006472,
05/04/2013,582.712,582.712,-378.763,378.763,203.949,0.0,-136.254,133.048,,3.206,67.695,0.024,,,-0.024,,,,0.0,67.719,-25.893,41.826,0.0,0.0,0.0,41.826,0.0,41.826,0.0,0.0,41.826,42.85105,1.02505,63.842,0.66,0.66,0.671205,64.495,0.65,0.65,0.665893,
08/03/2013,600.998,600.998,-388.921,388.921,212.077,0.0,-139.209,134.4,,4.809,72.868,0.018,,,,,,0.0,0.0,72.886,-27.975,44.911,0.0,0.0,0.0,44.911,0.0,44.911,0.0,0.0,44.911,45.20545,0.29445,63.834,0.7,0.7,0.708172,64.331,0.7,0.7,0.704577,
11/02/2013,,618.781,,387.12,,,,151.306,,7.468,,0.007,,,,,,,0.0,72.894,,,0.0,0.0,0.0,45.43,,,,,,,0.8736,,,,,,,,,
02/01/2014,868.082,868.082,-574.521,574.521,293.561,0.0,-179.423,177.636,,1.787,114.138,0.069,-0.069,,,,0.0,,0.0,114.207,-43.525,70.682,0.0,0.0,0.0,70.682,0.0,70.682,0.0,0.0,70.682,68.68065,-2.00135,64.232,1.1,1.1,1.069259,64.607,1.09,1.09,1.059023,
05/03/2014,713.77,713.77,-467.817,467.817,245.953,0.0,-165.072,162.443,,2.629,80.881,0.2,-0.2,,,,,,0.0,81.081,-31.128,49.953,0.0,0.0,0.0,49.953,0.0,49.953,0.0,0.0,49.953,50.5211,0.5681,64.273,0.78,0.78,0.786039,64.607,0.77,0.77,0.778793,
08/02/2014,734.236,734.236,-474.894,474.894,259.342,0.0,-161.363,157.768,,3.595,97.979,0.209,-0.209,,,,,,0.0,98.188,-37.394,60.794,0.0,0.0,0.0,60.794,0.0,60.794,0.0,0.0,60.794,61.9042,1.1102,64.349,0.94,0.94,0.962007,64.636,0.94,0.94,0.957176,
11/01/2014,745.722,745.722,-463.967,463.967,281.755,0.0,-187.667,181.093,,6.574,94.088,0.254,-0.254,,,,,,0.0,94.342,-35.218,59.124,0.0,0.0,0.0,59.124,0.0,59.124,0.0,0.0,59.124,59.35995,0.23595,64.419,0.92,0.92,0.921466,64.738,0.91,0.91,0.913645,
01/31/2015,1047.641,1047.641,-697.904,697.904,349.737,0.0,-212.27,210.702,,1.568,137.467,0.231,-0.231,,,,0.0,,0.0,137.698,-50.434,87.264,0.0,0.0,0.0,87.264,0.0,87.264,0.0,0.0,87.264,88.25395,0.98995,64.3,1.36,1.36,1.372534,64.657,1.35,1.35,1.365311,
05/02/2015,868.122,868.122,-564.938,564.938,303.184,0.0,-195.602,192.485,,3.117,107.582,0.311,-0.311,,,,,,0.0,107.893,-40.947,66.946,0.0,0.0,0.0,66.946,0.0,66.946,0.0,0.0,66.946,67.67465,0.72865,64.18,1.04,1.04,1.054451,64.555,1.04,1.04,1.051287,
08/01/2015,876.999,876.999,-570.524,570.524,306.475,0.0,-188.015,183.937,,4.078,118.46,0.276,-0.276,,,,,,0.0,118.736,-44.567,74.169,0.0,0.0,0.0,74.169,0.0,74.169,0.0,0.0,74.169,74.4992,0.3302,64.087,1.16,1.16,1.16247,64.41,1.15,1.15,1.155127,
10/31/2015,910.7,910.7,-575.062,575.062,335.638,0.0,-224.869,218.763,,6.106,110.769,0.283,-0.283,,,,,,0.0,111.052,-39.982,71.07,0.0,0.0,0.0,71.07,0.0,71.07,0.0,0.0,71.07,71.7317,0.6617,63.882,1.11,1.11,1.122878,64.196,1.11,1.11,1.120307,
01/30/2016,1268.295,1268.295,-829.259,829.259,439.036,0.0,-269.55,268.169,,1.381,169.486,0.273,-0.273,,,,,,0.0,169.759,-61.936,107.823,0.0,0.0,0.0,107.823,0.0,107.823,0.0,0.0,107.823,108.50095,0.67795,63.646,1.69,1.69,1.704757,63.967,1.69,1.69,1.700598,
04/30/2016,1073.716,1073.716,-683.286,683.286,390.43,0.0,-243.266,240.724,,2.542,147.164,0.315,-0.315,,,,,,0.0,147.479,-55.503,91.976,0.0,0.0,0.0,91.976,0.0,91.976,0.0,0.0,91.976,92.5038,0.5278,63.031,1.46,1.46,1.467592,63.335,1.45,1.45,1.458333,
07/30/2016,1069.215,1069.215,-684.377,684.377,384.838,0.0,-241.069,236.38,,4.689,143.769,0.248,-0.248,,,,,,0.0,144.017,-54.013,90.004,0.0,0.0,0.0,90.004,0.0,90.004,0.0,0.0,90.004,91.889,1.885,62.475,1.44,1.44,1.470812,62.813,1.43,1.43,1.46001,
10/29/2016,1131.232,1131.232,-704.179,704.179,427.053,0.0,-287.392,280.464,,6.928,139.661,0.211,-0.211,,,,,,0.0,139.872,-52.31,87.562,0.0,0.0,0.0,87.562,0.0,87.562,0.0,0.0,87.562,89.5835,2.0215,62.371,1.4,1.4,1.436301,62.692,1.4,1.4,1.432245,
01/28/2017,1580.574,1580.574,-1035.666,1035.666,544.908,0.0,-320.678,316.266,,4.412,224.23,0.116,-0.116,,,,,,0.0,224.346,-84.128,140.218,0.0,0.0,0.0,140.218,0.0,140.218,0.0,0.0,140.218,150.5933,10.3753,62.201,2.25,2.25,2.421075,62.544,2.24,2.24,2.405888,
04/29/2017,1314.879,1314.879,-838.871,838.871,476.008,0.0,-287.603,283.445,,4.158,188.405,0.338,-0.338,,,,,,0.0,188.743,-60.52,128.223,0.0,0.0,0.0,128.223,0.0,128.223,0.0,0.0,128.223,129.28705,1.06405,62.101,2.06,2.06,2.081884,62.594,2.05,2.05,2.066999,
07/29/2017,1289.854,1289.854,-820.528,820.528,469.326,0.0,-289.526,283.427,,6.099,179.8,0.555,-0.555,,,,,,0.0,180.355,-66.162,114.193,0.0,0.0,0.0,114.193,0.0,114.193,0.0,0.0,114.193,114.65515,0.46215,61.935,1.84,1.84,1.851217,62.379,1.83,1.83,1.837409,
10/28/2017,1342.181,1342.181,-849.053,849.053,493.128,0.0,-330.461,320.729,,9.732,162.667,0.316,-0.316,,,,,,0.0,162.983,-58.338,104.645,0.0,0.0,0.0,104.645,0.0,104.645,0.0,0.0,104.645,106.82835,2.18335,61.299,1.71,1.71,1.742742,61.63,1.7,1.7,1.735427,
02/03/2018,1937.592,1937.592,-1279.245,1279.245,658.347,0.0,-403.928,399.631,0.0,4.297,254.419,0.359,-0.359,,,,0.0,,0.0,254.778,-46.605,208.173,0.0,0.0,0.0,208.173,0.0,208.173,0.0,0.0,208.173,169.302814,-38.870186,60.938,3.42,3.42,2.77828,61.293,3.4,3.4,2.76583,
05/05/2018,1543.667,1543.667,-982.954,982.954,560.713,0.0,-350.871,345.624,,5.247,209.842,1.325,-1.325,,,,,,0.0,211.167,-46.771,164.396,0.0,0.0,0.0,164.396,0.0,164.396,0.0,0.0,164.396,165.02642,0.63042,60.61,2.71,2.71,2.722759,60.909,2.7,2.7,2.71035,
08/04/2018,1488.221,1488.221,-952.76,952.76,535.461,0.0,-341.646,337.142,,4.504,193.815,1.143,-1.143,,,,,,0.0,194.958,-46.635,148.323,0.0,0.0,0.0,148.323,0.0,148.323,0.0,0.0,148.323,148.08679,-0.23621,60.07,2.47,2.47,2.465237,60.375,2.46,2.46,2.456088,
11/03/2018,1560.011,1560.011,-987.733,987.733,572.278,0.0,-403.065,395.453,,7.612,169.213,1.318,-1.318,,,,,,0.0,170.531,-39.365,131.166,0.0,0.0,0.0,131.166,0.0,131.166,0.0,0.0,131.166,131.8296,0.6636,59.724,2.2,2.2,2.207314,60.062,2.18,2.18,2.191049,
02/02/2019,2124.716,2124.716,-1383.857,1383.857,740.859,0.0,-459.649,457.245,,2.404,281.21,1.275,-1.275,,,,,,0.0,282.485,-67.811,214.674,0.0,0.0,0.0,214.674,0.0,214.674,0.0,0.0,214.674,215.89534,1.22134,59.053,3.64,3.64,3.655959,59.431,3.61,3.61,3.630551,
05/04/2019,1743.029,1743.029,-1098.182,1098.182,644.847,0.0,-407.307,403.133,,4.174,237.54,2.046,-2.046,,,,,,0.0,239.586,-47.365,192.221,0.0,0.0,0.0,192.221,0.0,192.221,0.0,0.0,192.221,192.221,0.0,58.631,3.28,3.28,3.28,58.993,3.26,3.26,3.26,
08/03/2019,1666.607,1666.607,-1060.708,1060.708,605.899,0.0,-397.881,392.843,,5.038,208.018,1.671,-1.671,,,,,,0.0,209.689,-48.431,161.258,0.0,0.0,0.0,161.258,0.0,161.258,0.0,0.0,161.258,162.7195,1.4615,58.171,2.77,2.77,2.797262,58.446,2.76,2.76,2.785006,
11/02/2019,1682.514,1682.514,-1059.081,1059.081,623.433,0.0,-455.653,449.198,,6.455,167.78,0.9,-0.9,,,,,,0.0,168.68,-38.933,129.747,0.0,0.0,0.0,129.747,0.0,129.747,0.0,0.0,129.747,131.01574,1.26874,57.568,2.25,2.25,2.275843,57.763,2.25,2.25,2.271965,
02/01/2020,2305.918,2305.918,-1499.033,1499.033,806.885,0.0,-519.129,515.542,,3.587,287.756,0.439,-0.439,,,,0.0,,0.0,288.195,-65.476,222.719,0.0,0.0,0.0,222.719,0.0,222.719,0.0,0.0,222.719,223.53191,0.81291,56.992,3.91,3.91,3.922163,57.195,3.89,3.89,3.904213,
05/02/2020,1173.21,1173.21,-869.605,869.605,303.605,0.0,-405.089,380.912,,24.177,-101.484,-1.272,1.272,1.272,0.0,,,,0.0,-102.756,24.247,-78.509,0.0,0.0,0.0,-78.509,0.0,-78.509,0.0,0.0,-78.509,-77.30741,1.20159,56.419,-1.39,-1.39,-1.370237,56.419,-1.39,-1.39,-1.370237,
08/01/2020,1228.009,1228.009,-899.002,899.002,329.007,0.0,-316.252,271.587,,44.665,12.755,-2.617,2.617,2.617,0.0,,,,0.0,10.138,-2.086,8.052,0.0,0.0,0.0,8.052,0.0,8.052,0.0,0.0,8.052,24.34496,16.29296,56.318,0.14,0.14,0.432277,56.497,0.14,0.14,0.428386,
10/31/2020,1554.792,,,,518.49203616,,,,,,106.915,,,,,,,,,103.247,,78.13,,,,,,78.13,,,78.13,78.13,,,1.352,1.352,1.372,,1.352,1.352,1.372,
01/31/2021,2050.208,,,,660.80254048,,,,,,192.3,,,,,,,,,193.316,,145.75,,,,,,145.75,,,145.75,145.75,,,2.51,2.51,2.513,,2.51,2.51,2.513,
