Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
02/28/1995,119.541,-88.181999,31.359001,-21.385,9.974,-1.08,0.0,0.829,9.723,-3.793,5.93,0.0,0.0,5.93,0.0,5.93,,5.93,,0.14,0.14,43.597,,,,,
05/31/1995,136.660995,-98.935997,37.724998,-24.475,13.25,-0.943,0.0,2.49,14.797,-5.619,9.178,0.0,0.0,9.178,0.0,9.178,,9.178,,0.21,0.21,43.632,,,,,
08/31/1995,128.070999,-97.929001,30.141998,-22.73,7.412,-1.404,0.0,-44.507999,-38.499999,14.168,-24.332001,0.0,0.0,-24.332001,0.0,-24.332001,,-24.331999,,-0.56,-0.56,43.66,,,,,
11/30/1995,123.582001,-99.771004,23.810997,-22.93,-0.803,-1.829,0.0,-49.922001,-52.554001,20.146,-32.408001,0.0,0.0,-32.408001,0.0,-32.408001,,-32.408001,-0.74,-0.74,-0.74,43.681,-0.74,-0.74,-0.74,43.681,
02/29/1996,127.488998,-101.277,26.211998,-18.476999,7.735,-1.373,0.0,-0.357,6.005,-2.282,3.723,0.0,0.0,3.723,0.0,3.723,,3.723,,0.09,0.09,43.702,,,,,
05/31/1996,141.733994,-109.483002,32.250992,-20.309,11.942,-1.855,0.0,-0.046,10.041,-3.815,6.226,0.0,0.0,6.226,0.0,6.226,0.8,7.026,0.18,0.14,0.14,44.396,,,,,
08/31/1996,113.528,-90.834999,22.693001,-18.063,4.63,-0.533,0.0,56.381001,60.478001,-21.370001,39.108002,0.0,0.0,39.108002,0.0,39.108002,-56.021999,-16.914,0.08,0.88,0.88,44.321999,,,,,
11/30/1996,129.565994,-109.919998,19.645996,-18.867001,0.779,-0.128,0.0,-85.573997,-84.922998,30.514,-54.409,0.0,0.0,-54.409,0.0,-54.409,86.874001,32.465003,0.03,-1.26,-1.26,43.339001,,,,,
02/28/1997,74.916,-58.992001,15.924,-10.387,5.537,-0.358,0.0,2.528,7.707,-3.006,4.701,0.0,0.0,4.701,0.0,4.701,,4.701,0.12,0.12,0.12,40.696999,,,,,
05/31/1997,81.626999,-67.185997,14.441002,-11.939,2.502,-0.248,0.0,-3.262,-1.008,-2.183,-3.191,0.0,0.0,-3.191,0.0,-3.191,6.606,3.415,,-0.08,-0.08,38.860001,,,,,
