Date,Revenue,Rental Income,Base Rent,Recoveries from Tenants,Percentage Rent,Other Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,D&A of Uncon Real Estate,D&A of Non-Real Estate Assets,Disposal of Con Assets,Disposal of Uncon Assets,Abnormal Losses/(Gains),Net Income to Partners,Deficit/Distributions to Partners,Other FFO Adjustments,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
06/30/2014,160.724,153.286,0.0,14.508,0.0,138.778,0.0,7.438,0.0,0.0,-90.063,44.93,15.469,28.271,,0.0,1.393,70.661,-21.14,20.658,-6.042,6.524,49.521,-3.513,41.665,0.0,0.0,0.0,46.008,4.339,41.665,0.0,0.0,41.665,41.665,0.0,115.653489,0.36,0.36,0.36,121.254222,0.36,0.36,0.36,,23.722,1.067,3.109,7.785,-3.438,,,-1.437,,76.812,1.343,78.155,78.155,0.636124,0.636124,0.47,73.884959,73.884959,70.766469,
09/30/2014,169.067,160.054,0.0,15.385,0.0,144.669,0.0,9.013,0.0,0.0,-91.574,46.224,15.665,29.249,,0.0,0.436,77.493,-19.306,20.681,-3.155,1.78,58.187,1.006,54.228,0.0,0.0,0.0,59.193,4.962,54.228,0.0,0.0,54.228,54.228,0.0,115.726911,0.47,0.47,0.47,121.617554,0.47,0.47,0.47,,25.005,1.131,2.759,2.5,-0.378,,,-1.438,,88.769,0.373,89.142,89.142,0.724894,0.724894,0.47,64.837087,64.837087,61.273246,
12/31/2014,165.184,160.136,0.0,15.716,0.0,144.42,0.0,5.048,0.0,0.0,-95.268,45.64,14.506,29.181,,0.0,5.941,69.916,-18.197,21.072,-2.947,0.072,51.719,-2.233,45.122,0.0,0.0,0.0,49.486,4.36,45.122,0.0,0.0,45.122,45.122,0.0,116.032453,0.39,0.39,0.39,121.652351,0.39,0.39,0.39,,24.852,1.091,2.8,0.0,-0.206,,,-1.437,,76.582,7.615,84.197,84.197,0.68332,0.68332,0.47,68.781845,68.781845,71.211581,
03/31/2015,173.154,165.404,0.0,16.51,0.0,148.894,0.0,7.75,0.0,0.0,-97.718,50.172,16.249,30.428,,0.0,0.869,75.436,-14.552,21.431,-5.507,-1.372,60.884,-2.248,53.742,0.0,0.0,0.0,58.636,4.893,53.742,0.0,0.0,53.742,53.742,0.0,116.117615,0.46,0.46,0.46,122.595718,0.46,0.46,0.46,,26.118,1.057,2.797,,-2.857,,,-1.274,,84.476,0.818,85.294,85.294,0.688435,0.688435,0.47,68.270773,68.270773,64.79,
06/30/2015,185.86,178.364,0.0,17.34,0.0,161.024,0.0,7.496,0.0,0.0,-104.253,51.492,16.655,31.552,,0.0,4.554,81.607,-18.466,22.811,-3.001,-1.344,63.141,-2.185,55.339,0.0,0.0,0.0,60.956,5.608,55.339,0.0,0.0,55.339,55.339,0.0,116.861678,0.47,0.47,0.47,124.47589,0.47,0.47,0.47,,27.311,1.058,2.444,-0.4,0.0,,,-1.271,,90.089,4.315,94.404,94.404,0.749249,0.749249,0.59,78.74549,78.74549,76.533639,
09/30/2015,197.497,188.774,0.0,18.226,0.0,170.548,0.0,8.723,0.0,0.0,-100.193,52.486,16.716,30.711,,0.0,0.28,97.304,-15.543,20.811,-3.403,-1.865,81.761,-3.561,71.718,0.0,0.0,0.0,78.2,6.493,71.718,0.0,0.0,71.718,70.617,-1.101,122.644837,0.58,0.58,0.575785,130.398111,0.58,0.58,0.571557,,27.792,1.052,1.445,-1.101,0.0,,,-1.272,,106.127,0.721,106.848,106.848,0.812149,0.812149,0.59,72.64679,72.64679,68.182888,
12/31/2015,225.759,215.567,0.0,19.895,0.0,195.672,0.0,10.192,0.0,0.0,-185.45,62.848,18.138,40.766,,0.0,63.698,40.309,-25.411,31.741,-3.297,-3.033,14.898,-3.154,8.675,0.0,0.0,0.0,11.744,3.07,8.675,0.0,0.0,8.675,8.675,0.0,123.531844,0.07,0.07,0.07,131.021387,0.07,0.07,0.07,,34.703,1.066,4.408,0.0,0.0,,,-1.271,,50.651,64.447,115.098,115.098,0.869444,0.869444,0.59,67.859464,67.859464,143.894075,
03/31/2016,229.403,220.043,0.0,20.555,0.0,199.488,0.0,9.36,0.0,0.0,-135.775,65.423,23.402,42.897,,0.0,4.053,93.628,-1.456,31.359,-29.753,-0.15,92.172,-2.765,82.592,0.0,0.0,0.0,89.407,6.816,82.592,0.0,0.0,82.592,82.592,0.0,124.754174,0.66,0.66,0.66,131.956094,0.66,0.66,0.66,,36.436,1.015,4.736,1.544,-26.923,,,-1.271,,104.945,8.932,113.877,113.877,0.856624,0.856624,0.59,68.875044,68.875044,70.136703,
06/30/2016,244.273,233.445,0.0,21.654,0.0,211.791,0.0,10.828,0.0,0.0,-133.971,66.371,20.512,43.95,,0.0,3.138,110.302,-16.489,32.802,-3.358,-12.955,93.813,-3.773,83.044,0.0,0.0,0.0,90.04,6.996,83.044,0.0,0.0,83.044,83.044,0.0,124.914467,0.66,0.66,0.66,132.025915,0.66,0.66,0.66,,37.388,1.239,4.836,-11.358,0.0,,,-1.271,,120.874,4.036,124.91,124.91,0.936228,0.936228,0.78,83.313038,83.313038,80.607314,
09/30/2016,257.183,247.178,0.0,22.727,0.0,224.451,0.0,10.005,0.0,0.0,-134.459,66.434,19.537,46.555,,0.0,1.933,122.724,8.968,33.494,-41.134,-1.328,131.692,-4.466,118.088,0.0,0.0,0.0,127.226,9.137,118.088,0.0,0.0,118.088,118.088,0.0,125.752291,0.94,0.94,0.94,133.763472,0.93,0.93,0.93,,39.971,1.227,4.853,0.0,-37.509,,,-1.272,,134.495,3.044,137.539,137.539,1.021751,1.021751,0.78,76.339506,76.339506,72.92969,
