Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1993,4689,108,108,0.0,543,,,385,,,,,393,,,,,1429,2420,5626.0,-3206.0,233.0,,607,,,,,607,3260,,310,310,,,35,,,,,,851,,,851,1196,931,,,,,1098,,,1098,2029,3225,36.0,521.0,,,-76.0,,983,1464,0,1464,4689,
03/31/1994,4874,71,71,0.0,905,,,400,,,,,201,,,,,1577,2423,5690.0,-3267.0,85.0,,789,,,,,789,3297,,316,316,,,174,,,,,,785,,,785,1275,899,,,,,1201,,,1201,2100,3375,38.0,510.0,,,-69.0,,1020,1499,0,1499,4874,
06/30/1994,4814,57,57,0.0,837,,,394,,,,,206,,,,,1494,2434,5741.0,-3307.0,86.0,,800,,,,,800,3320,,316,316,,,132,,,,,,738,,,738,1186,898,,,,,1240,,,1240,2138,3324,41.0,494.0,,,-110.0,,1065,1490,0,1490,4814,
09/30/1994,4997,124,124,0.0,927,,,384,,,,,241,,,,,1676,2467,5797.0,-3330.0,81.0,,773,,,,,773,3321,,338,338,,,113,,,,,,803,,,803,1254,905,,,,,1264,,,1264,2169,3423,42.0,510.0,,,-157.0,,1155,1550,24,1574,4997,
12/31/1994,5028,109,109,0.0,715,,,390,,,,,400,,,,,1614,2542,5889.0,-3347.0,185.0,,687,,,,,687,3414,,326,326,,,47,,,,,,912,,,912,1285,899,,,,,1267,,,1267,2166,3451,44.0,524.0,,,-289.0,,1274,1553,24,1577,5028,
03/31/1995,5375,72,72,0.0,1052,,,423,,,,,200,,,,,1747,2566,5984.0,-3418.0,90.0,,972,,,,,972,3628,,321,321,,,296,,,,,,894,,,894,1511,898,,,,,1360,,,1360,2258,3769,44.0,518.0,,,-486.0,,1506,1582,24,1606,5375,
06/30/1995,5717,222,222,0.0,1041,,,455,,,,,263,,,,,1981,2625,6118.0,-3493.0,86.0,,1025,,,,,1025,3736,,338,338,,,48,,,,,,887,,,887,1273,1292,,,,,1403,,,1403,2695,3968,47.0,516.0,,,-552.0,,1714,1725,24,1749,5717,
09/30/1995,6085,498,498,0.0,1024,,,496,,,,,194,,,,,2212,2700,6254.0,-3554.0,85.0,,1088,,,,,1088,3873,,290,290,,,35,,,,,,977,,,977,1302,1287,,,,,1486,,,1486,2773,4075,47.0,500.0,,,-539.0,,1978,1986,24,2010,6085,
12/31/1995,6256,449,449,0.0,813,,,544,,,,,390,,,,,2196,2808,6357.0,-3549.0,139.0,,1113,,,,,1113,4060,,316,316,,,38,,,,,,984,,,984,1338,1285,,,,,1515,,,1515,2800,4138,49.0,498.0,,,-583.0,,2130,2094,24,2118,6256,
03/31/1996,6314,144,144,0.0,1061,,,546,,,,,142,,,,,1893,3126,6758.0,-3632.0,103.0,,1192,,,,,1192,4421,,327,327,,,35,,,,,,875,,,875,1237,1289,,,,,1590,,,1590,2879,4116,49.0,484.0,,,-627.0,,2266,2172,26,2198,6314,
06/30/1996,6334,78,78,0.0,1079,,,515,,,,,184,,,,,1856,3202,6875.0,-3673.0,94.0,,1182,,,,,1182,4478,,342,342,,,92,,,,,,856,,,856,1290,1288,,,,,1612,,,1612,2900,4190,51.0,483.0,,,-812.0,,2394,2116,28,2144,6334,
09/30/1996,6518,111,111,0.0,1058,,,528,,,,,213,,,,,1910,3295,6993.0,-3698.0,85.0,,1228,,,,,1228,4608,,254,254,,,263,,,,,,924,,,924,1441,1295,,,,,1619,,,1619,2914,4355,51.0,507.0,,,-959.0,,2536,2135,28,2163,6518,
12/31/1996,6546,94,94,0.0,836,,,541,,,,,402,,,,,1873,3409,7159.0,-3750.0,77.0,,1187,,,,,1187,4673,,268,268,,,112,,,,,,898,,,898,1278,1487,,,,,1585,,,1585,3072,4350,53.0,525.0,,,-1007.0,,2596,2167,29,2196,6546,
03/31/1997,6795,214,214,0.0,1082,,,553,,,,,179,,,,,2028,3465,7274.0,-3809.0,71.0,,1231,,,,,1231,4767,,275,275,,,76,,,,,,870,,,870,1221,1494,,,,,1619,,,1619,3113,4334,56.0,484.0,,,-1066.0,,2709,2183,278,2461,6795,
06/30/1997,6770,115,115,0.0,1079,,,544,,,,,185,,,,,1923,3569,7424.0,-3855.0,64.0,,1214,,,,,1214,4847,,273,273,,,88,,,,,,770,,,770,1131,1467,,,,,1627,,,1627,3094,4225,58.0,472.0,,,-1140.0,,2876,2266,279,2545,6770,
09/30/1997,6975,132,132,0.0,1064,,,556,,,,,202,,,,,1954,3691,7577.0,-3886.0,68.0,,1262,,,,,1262,5021,,307,307,,,93,,,,,,906,,,906,1306,1459,,,,,1660,,,1660,3119,4425,57.0,440.0,,,-1192.0,,2970,2275,275,2550,6975,
12/31/1997,6964,68,68,0.0,815,,,604,,,,,379,,,,,1866,3780,7707.0,-3927.0,73.0,,1245,,,,,1245,5098,,273,273,,,429,,,,,,802,,,802,1504,1458,,,,,1621,,,1621,3079,4583,0.0,202.0,,,-744.0,,2890,2348,33,2381,6964,
03/31/1998,7077,37,37,0.0,1057,,,609,,,,,255,,,,,1958,3839,7837.0,-3998.0,72.0,,1208,,,,,1208,5119,,271,271,,,516,,,,,,700,,,700,1487,1456,,,,,1633,,,1633,3089,4576,0.0,216.0,,,-744.0,,2995,2467,34,2501,7077,
06/30/1998,7121,38,38,0.0,1002,,,619,,,,,248,,,,,1907,3942,8003.0,-4061.0,69.0,,1203,,,,,1203,5214,,230,230,,,381,,,,,,704,,,704,1315,1705,,,,,1595,,,1595,3300,4615,0.0,211.0,,,-833.0,,3093,2471,35,2506,7121,
09/30/1998,7075,45,45,0.0,920,,,602,,,602.0,,284,,,,,1851,4065,8209.0,-4144.0,64.0,,1095,,,,,1095,5224,,234,234,,,369,,,,,,805,,,805,1408,1703,,,,,1556,,,1556,3259,4667,0.0,209.0,,,-951.0,,3114,2372,36,2408,7075,
12/31/1998,7291,49,49,0.0,761,,,667,187.0,41.0,439.0,,429,,,,,1906,4181,8409.0,-4228.0,27.0,,1177,80.0,,,,1097,5385,,264,264,,,426,,,,,,780,,,780,1470,1796,,,,,1540,,,1540,3336,4806,0.0,234.0,,,-969.0,,3184,2449,36,2485,7291,
03/31/1999,7292,33,33,0.0,997,,,571,163.0,28.0,380.0,,273,,,,,1874,4219,8509.0,-4290.0,,,1199,,,,,1199,5418,,226,226,,,515,,,,,,699,,,699,1440,1796,,,,,1598,,,1598,3394,4834,0.0,245.0,,,-991.0,,3167,2421,37,2458,7292,
06/30/1999,7465,41,41,0.0,1075,,,599,148.0,50.0,401.0,,247,,,,,1962,4351,8714.0,-4363.0,,,1152,,,,,1152,5503,,259,259,,,419,,,,,,684,,,684,1362,2044,,,,,1580,,,1580,3624,4986,0.0,271.0,,,-1019.0,,3189,2441,38,2479,7465,
09/30/1999,7660,36,36,0.0,1112,,,608,150.0,68.0,390.0,0.0,257,,,,,2013,4428,8872.0,-4444.0,,,1219,,,,,1219,5647,,267,267,,,634,,,,,,723,,,723,1624,1868,,,,,1604,,,1604,3472,5096,0.0,285.0,,,-1019.0,,3258,2524,40,2564,7660,
12/31/1999,7957,41,41,0.0,932,,,680,152.0,45.0,483.0,0.0,497,,,,,2150,4521,9057.0,-4536.0,100.0,,1186,71.0,,,,1115,5807,,329,329,,,782,,,,,,678,,,678,1789,1869,,,,,1640,,,1640,3509,5298,0.0,323.0,,,-1019.0,,3313,2617,42,2659,7957,
03/31/2000,8211,63,63,0.0,1113,,,687,159.0,47.0,481.0,0.0,303,,,,,2166,4644,9247.0,-4603.0,94.0,,1307,,,,,1307,6045,,333,333,,,954,,,,,,777,,,777,2064,1759,,,,,1649,,,1649,3408,5472,0.0,336.0,,,-1019.0,,3379,2696,43,2739,8211,
06/30/2000,8417,59,59,0.0,1166,,,743,170.0,58.0,515.0,0.0,301,,,,,2269,4616,9303.0,-4687.0,92.0,,1440,,,,,1440,6148,,298,298,,,1109,,,,,,773,,,773,2180,1758,,,,,1650,,,1650,3408,5588,0.0,351.0,,,-1019.0,,3453,2785,44,2829,8417,
09/30/2000,8372,63,63,0.0,1104,,,701,169.0,67.0,465.0,0.0,314,,,,,2182,4577,9311.0,-4734.0,93.0,,1520,,,,,1520,6190,,336,336,,,1111,,,,,,749,,,749,2196,1755,,,,,1615,,,1615,3370,5566,0.0,355.0,,,-1019.0,,3430,2766,40,2806,8372,
12/31/2000,8346,63,63,0.0,897,,,750,193.0,52.0,505.0,0.0,466,,,,,2176,4521,9361.0,-4840.0,129.0,,1520,59.0,,,,1461,6170,,342,342,,,1178,1178.0,0.0,0.0,,,780,,,780,2300,1748,1748.0,0.0,0.0,,1604,,,1604,3352,5652,0.0,376.0,,,-1020.0,,3298,2654,40,2694,8346,
03/31/2001,8304,120,46,74.0,906,,,716,161.0,0.0,555.0,0.0,945,,,,,2687,4006,9322.0,-5316.0,269.0,,1342,40.0,40.0,0.0,,1302,5617,,562,562,,,1528,,,,,,498,,,498,2588,1748,,,,,2241,,,2241,3989,6577,0.0,0.0,,,,,1686,1686,41,1727,8304,
06/30/2001,8222,40,40,0.0,1122,,,467,177.0,0.0,290.0,0.0,1041,,,,,2670,3827,9153.0,-5326.0,502.0,,1223,35.0,35.0,0.0,,1188,5552,,689,689,,,1424,,,,,,378,,,378,2491,1744,,,,,2180,,,2180,3924,6415,0.0,0.0,,,,,1764,1764,43,1807,8222,
09/30/2001,8014,30,30,0.0,1141,,,436,152.0,0.0,284.0,0.0,962,,,,,2569,3626,8736.0,-5110.0,825.0,,994,28.0,28.0,0.0,,966,5445,,864,864,,,1237,,,,,,363,,,363,2464,1744,,,,,2017,,,2017,3761,6225,0.0,0.0,,,,,1780,1780,9,1789,8014,
12/31/2001,7908,35,35,0.0,1590,,,363,100.0,0.0,263.0,0.0,496,,,,,2484,2838,7711.0,-4873.0,864.0,,1722,26.0,26.0,0.0,,1696,5424,,1557,1557,,,425,,,,,,328,,,328,2310,1730,,,,,1744,,,1744,3474,5784,0.0,0.0,,,,,2117,2117,7,2124,7908,
03/31/2002,7523,32,32,0.0,1336,,,342,79.0,0.0,263.0,0.0,396,,,,,2106,2771,7705.0,-4934.0,991.0,,1655,52.0,26.0,26.0,,1603,5417,,1002,1002,,,605,,,,,,345,,,345,1952,1718,,,,,1696,,,1696,3414,5366,0.0,0.0,,,,,2150,2150,7,2157,7523,
06/30/2002,7092,26,26,0.0,1417,,,351,116.0,0.0,235.0,0.0,428,,,,,2222,2699,7701.0,-5002.0,524.0,,1647,51.0,26.0,25.0,,1596,4870,,1344,1344,,,608,,,,,,363,,,363,2315,1289,,,,,1526,,,1526,2815,5130,0.0,0.0,,,,,1958,1958,4,1962,7092,
09/30/2002,6251,30,30,0.0,569,,,362,108.0,34.0,220.0,0.0,533,,,,,1494,2641,7698.0,-5057.0,430.0,,1686,51.0,26.0,25.0,,1635,4757,,445,445,,,585,,,,,,392,,,392,1422,1288,,,,,1546,,,1546,2834,4256,0.0,0.0,,,,,1991,1991,4,1995,6251,
12/31/2002,7414,25,25,0.0,828,,,219,95.0,28.0,96.0,0.0,654,,,,,1726,2545,7523.0,-4978.0,84.0,,3059,49.0,26.0,23.0,,3010,5688,,582,582,,,696,,,,,,450,,,450,1728,1288,,,,,3305,,,3305,4593,6321,0.0,0.0,,,,,1089,1089,4,1093,7414,
03/31/2003,7251,27,27,0.0,650,,,188,110.0,32.0,46.0,0.0,422,,,,,1287,2451,7516.0,-5065.0,69.0,,3444,48.0,26.0,22.0,,3396,5964,,637,637,,,666,,,,,,465,,,465,1768,1288,,,,,3157,,,3157,4445,6213,0.0,0.0,,,,,1034,1034,4,1038,7251,
06/30/2003,6809,22,22,0.0,422,,,206,101.0,30.0,75.0,0.0,358,,,,,1008,2383,7482.0,-5099.0,69.0,,3349,48.0,26.0,22.0,,3301,5801,,535,535,,,356,,,,,,482,,,482,1373,1288,,,,,3052,,,3052,4340,5713,0.0,0.0,,,,,1093,1093,3,1096,6809,
09/30/2003,6680,22,22,0.0,513,,,197,106.0,33.0,58.0,0.0,271,,,,,1003,2305,7388.0,-5083.0,55.0,,3317,50.0,26.0,24.0,,3267,5677,,582,582,,,135,,,,,,426,,,426,1143,1272,,,,,3042,,,3042,4314,5457,0.0,0.0,,,,1549.0,-329,1220,3,1223,6680,
12/31/2003,6504,21,21,0.0,462,,,182,98.0,25.0,59.0,0.0,376,,,,,1041,2243,7375.0,-5132.0,52.0,,3168,49.0,26.0,23.0,,3119,5463,,540,540,,,41,,,,,,468,,,468,1049,1272,,,,,2792,,,2792,4064,5113,0.0,0.0,,,,1746.0,-358,1388,3,1391,6504,
03/31/2004,6524,24,24,0.0,332,,,210,110.0,25.0,75.0,0.0,639,,,,,1205,2201,7376.0,-5175.0,49.0,,3069,42.0,26.0,16.0,,3027,5319,,559,559,,,32,,,,,,471,,,471,1062,1272,,,,,2705,,,2705,3977,5039,0.0,0.0,,,,1837.0,-355,1482,3,1485,6524,
06/30/2004,6604,22,22,0.0,484,,,205,102.0,24.0,79.0,0.0,329,,,,,1040,2142,7379.0,-5237.0,47.0,,3375,41.0,26.0,15.0,,3334,5564,,429,429,,,172,,,,,,449,,,449,1050,1272,,,,,2662,,,2662,3934,4984,0.0,0.0,,,,1975.0,-358,1617,3,1620,6604,
09/30/2004,6747,23,23,0.0,588,,,190,101.0,22.0,67.0,0.0,242,,,,,1043,2101,7294.0,-5193.0,37.0,,3566,40.0,26.0,14.0,,3526,5704,,492,492,,,106,,,,,,573,,,573,1171,1257,,,,,2537,,,2537,3794,4965,0.0,0.0,,,,2143.0,-364,1779,3,1782,6747,
12/31/2004,7331,22,22,0.0,233,58.0,,186,101.0,25.0,60.0,-96.0,819,,,,,1260,2077,7304.0,-5227.0,23.0,,3971,46.0,26.0,20.0,,3925,6071,,260,260,,,409,,,,,,878,,,878,1547,1006,,,,,2452,,,2452,3458,5005,0.0,0.0,,,,2433.0,-111,2322,4,2326,7331,
03/31/2005,7277,23,23,0.0,61,61.0,,194,112.0,29.0,53.0,0.0,1274,,,,,1552,2053,7343.0,-5290.0,23.0,,3649,46.0,26.0,20.0,,3603,5725,,250,250,,,277,,,,,,779,,,779,1306,1006,,,,,2354,,,2354,3360,4666,0.0,0.0,,,,2713.0,-106,2607,4,2611,7277,
06/30/2005,6965,26,26,0.0,45,45.0,,195,114.0,27.0,54.0,0.0,1034,,,,,1300,2034,7347.0,-5313.0,24.0,,3607,46.0,26.0,20.0,,3561,5665,,240,240,,,106,,,,,,678,,,678,1024,832,,,,,2317,,,2317,3149,4173,0.0,0.0,,,,2903.0,-115,2788,4,2792,6965,
09/30/2005,7045,44,44,0.0,43,43.0,,207,120.0,22.0,65.0,0.0,1162,,,,,1456,2020,7331.0,-5311.0,486.0,,3083,47.0,26.0,21.0,,3036,5589,,204,204,,,13,,,,,,723,,,723,940,834,,,,,2296,,,2296,3130,4070,0.0,0.0,,,,3087.0,-116,2971,4,2975,7045,
12/31/2005,7934,73,73,0.0,170,53.0,,181,125.0,26.0,30.0,0.0,2293,,,,,2717,2037,7415.0,-5378.0,287.0,,2893,48.0,26.0,22.0,,2845,5217,,292,292,,,10,,,,,,743,,,743,1045,822,,,,,2289,,,2289,3111,4156,0.0,121.0,,,0.0,3736.0,-83,3774,4,3778,7934,
03/31/2006,8221,68,68,0.0,543,,,239,,,,-178.0,2393,,,,,3243,2010,7449.0,-5439.0,666.0,,2302,26.0,26.0,0.0,,2276,4978,,541,541,,,9,,,,,,595,,,595,1145,820,,,,,2195,,,2195,3015,4160,0.0,38.0,,,,,4019,4057,4,4061,8221,
06/30/2006,8093,69,69,0.0,36,36.0,,208,133.0,30.0,45.0,0.0,2760,,,,,3073,1992,7414.0,-5422.0,21.0,,3007,50.0,26.0,24.0,,2957,5020,,216,216,,,15,,,,,,641,,,641,872,820,,,,,2183,,,2183,3003,3875,0.0,121.0,,,0.0,4174.0,-81,4214,4,4218,8093,
09/30/2006,8328,73,73,0.0,45,45.0,,204,130.0,40.0,34.0,0.0,2898,,,,,3220,1962,7438.0,-5476.0,59.0,,3087,50.0,26.0,24.0,,3037,5108,,230,230,,,14,,,,,,738,,,738,982,820,,,,,2094,,,2094,2914,3896,0.0,121.0,,,0.0,4392.0,-84,4429,3,4432,8328,
12/31/2006,8190,71,71,0.0,33,33.0,,199,124.0,40.0,35.0,0.0,3182,,,,,3485,1970,7459.0,-5489.0,297.0,,2438,51.0,26.0,25.0,,2387,4705,,292,292,,,9,,,,,,642,,,642,943,820,,,,,2004,,,2004,2824,3767,0.0,121.0,,,0.0,4782.0,-483,4420,3,4423,8190,
03/31/2007,8440,77,77,0.0,26,26.0,,206,131.0,45.0,30.0,0.0,3439,,,,,3748,1947,7470.0,-5523.0,207.0,,2538,50.0,26.0,24.0,,2488,4692,,232,232,,,9,,,,,,773,,,773,1014,820,,,,,2061,,,2061,2881,3895,0.0,121.0,,,0.0,4901.0,-479,4543,2,4545,8440,
06/30/2007,8694,79,79,0.0,23,23.0,,204,125.0,42.0,37.0,0.0,3681,,,,,3987,1931,7379.0,-5448.0,201.0,,2575,49.0,26.0,23.0,,2526,4707,,250,250,,,4,,,,,,816,,,816,1070,820,,,,,2062,,,2062,2882,3952,0.0,121.0,,,0.0,5096.0,-477,4740,2,4742,8694,
09/30/2007,8746,78,78,0.0,21,21.0,,179,121.0,33.0,25.0,0.0,3534,,,,,3812,1958,7458.0,-5500.0,307.0,,2669,49.0,26.0,23.0,,2620,4934,,209,209,,,4,,,,,,789,,,789,1002,820,,,,,2038,,,2038,2858,3860,0.0,121.0,,,0.0,5232.0,-469,4884,2,4886,8746,
12/31/2007,9465,22,22,0.0,26,26.0,,178,121.0,40.0,17.0,0.0,3903,,,,,4129,1962,7509.0,-5547.0,972.0,,2402,48.0,26.0,22.0,,2354,5336,,239,239,,,5,,,,,,926,,,926,1170,820,,,,,1818,,,1818,2638,3808,0.0,121.0,,,0.0,5767.0,-233,5655,2,5657,9465,
03/31/2008,9915,24,24,0.0,26,26.0,,191,133.0,9.0,49.0,0.0,4299,,,,,4540,1937,7544.0,-5607.0,299.0,,3139,47.0,26.0,21.0,,3092,5375,,255,255,,,6,,,,,,1048,,,1048,1309,820,,,,,1777,,,1777,2597,3906,0.0,312.0,,,0.0,5922.0,-227,6007,2,6009,9915,
06/30/2008,9949,25,25,0.0,27,27.0,,226,127.0,2.0,97.0,0.0,4350,,,,,4628,1929,7590.0,-5661.0,283.0,,3109,46.0,26.0,20.0,,3063,5321,,294,294,,,257,,,,,,1036,,,1036,1587,571,,,,,1739,,,1739,2310,3897,0.0,312.0,,,,5967.0,-229,6050,2,6052,9949,
09/30/2008,9783,25,25,0.0,3631,27.0,,221,161.0,6.0,54.0,0.0,528,,,,,4405,1936,7661.0,-5725.0,278.0,,3164,44.0,26.0,18.0,,3120,5378,,240,240,,,262,,,,,,888,,,888,1390,571,,,,,1688,,,1688,2259,3649,0.0,312.0,,,0.0,6049.0,-229,6132,2,6134,9783,
12/31/2008,9178,24,24,0.0,21,21.0,,187,129.0,10.0,48.0,0.0,4216,,,,,4448,1886,7630.0,-5744.0,187.0,,2657,17.0,0.0,17.0,,2640,4730,,170,170,,,261,,,,,,828,,,828,1259,571,,,,,1784,,,1784,2355,3614,0.0,312.0,,,0.0,6094.0,-844,5562,2,5564,9178,
03/31/2009,8932,20,20,0.0,27,27.0,,190,137.0,5.0,48.0,0.0,4030,,,,,4267,1837,7634.0,-5797.0,211.0,,2617,16.0,0.0,16.0,,2601,4665,,172,172,,,260,,,,,,616,,,616,1048,571,,,,,1730,,,1730,2301,3349,0.0,312.0,,,0.0,6122.0,-852,5582,1,5583,8932,
06/30/2009,8762,19,19,0.0,20,20.0,,199,129.0,12.0,58.0,0.0,4137,,,,,4375,1626,7567.0,-5941.0,190.0,,2571,12.0,0.0,12.0,,2559,4387,,176,176,,,11,,,,,,663,,,663,850,571,,,,,1698,,,1698,2269,3119,0.0,312.0,,,0.0,6178.0,-848,5642,1,5643,8762,
09/30/2009,9223,15,15,0.0,20,20.0,,193,124.0,11.0,58.0,0.0,5005,,,,,5233,1572,7513.0,-5941.0,192.0,,2226,11.0,0.0,11.0,,2215,3990,,194,194,,,2,,,,,,831,,,831,1027,571,,,,,1650,,,1650,2221,3248,0.0,312.0,,,0.0,6504.0,-842,5974,1,5975,9223,
12/31/2009,8848,22,22,0.0,20,20.0,,207,127.0,10.0,70.0,0.0,4884,,,,,5133,1547,7533.0,-5986.0,101.0,,2067,10.0,0.0,10.0,,2057,3715,,225,225,,,3,,,,,,786,,,786,1014,571,,,,,1829,,,1829,2400,3414,0.0,312.0,,,0.0,6131.0,-1010,5433,1,5434,8848,
03/31/2010,8908,16,16,0.0,23,23.0,,195,121.0,8.0,66.0,0.0,4996,,,,,5230,1492,7281.0,-5789.0,120.0,,2066,18.0,0.0,18.0,,2048,3678,,227,227,,,3,3.0,0.0,0.0,,,982,,,982,1212,571,571.0,0.0,0.0,,1767,,,1767,2338,3550,0.0,312.0,,,0.0,6043.0,-999,5356,2,5358,8908,
