Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Depreciation & Amortization,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2005,,,,-0.004,,,,-41.603,,,,,,,,-41.607,11.68,-4.033,2.149,-6.182,0.0,,-7.647,-29.927,0.0,-29.927,0.0,,,-29.927,0.0,-29.927,0.0,0.0,-29.927,-29.927,30.457,98.229,-0.3,-0.3,0.01,98.229,-0.3,-0.3,0.01,
06/30/2005,201.12,,,-108.028,,93.092,,-109.099,,,,,,8.599,,-16.007,-25.771,20.16,27.143,-6.983,0.0,,5.611,-41.778,0.0,-41.778,0.0,,,-41.778,0.0,-41.778,0.0,0.0,-41.778,-41.778,49.227,98.203,-0.43,-0.43,0.07,98.203,-0.43,-0.43,0.07,
09/30/2005,251.441,,,-140.684,,110.757,,-91.89,,,,,,2.043,,18.867,-28.114,28.671,36.138,-7.467,0.0,,-0.557,-9.247,0.0,-9.247,0.0,,,-9.247,0.0,-9.247,0.0,0.0,-9.247,-9.247,13.199,98.472,-0.09,-0.09,0.04,98.472,-0.09,-0.09,0.04,
12/31/2005,269.42,,,-149.385,,120.035,,-92.878,,,,,,,,27.157,-37.041,,37.269,-7.635,0.0,,7.407,-9.884,0.0,-9.884,0.0,,,-9.884,0.0,-9.884,0.0,0.0,-9.884,-9.884,,98.494,-0.1,-0.1,0.07,98.494,-0.1,-0.1,0.07,
03/31/2006,277.225,,,-157.494,,119.731,,-100.625,,,,,,2.929,,19.106,-30.54,27.511,35.943,-8.432,0.0,,3.029,-11.434,0.0,-11.434,0.0,,,-11.434,0.0,-11.434,0.0,0.0,-11.434,-11.434,12.55,98.736,-0.12,-0.12,0.01,98.736,-0.12,-0.12,0.01,
06/30/2006,273.37,,,-159.595,,113.775,,-110.227,,,,,,3.646,,3.548,-23.309,25.69,35.307,-9.617,0.0,,-2.381,-19.761,-0.309,-20.07,0.0,,,-20.07,0.0,-20.07,0.0,0.0,-20.07,-20.07,,99.83,-0.2,-0.2,-0.05,99.83,-0.2,-0.2,-0.05,
09/30/2006,318.092,,,-191.189,,126.903,,-140.361,,,,,,4.876,,-13.458,849.511,25.132,36.969,-11.837,0.0,,-874.643,836.053,-120.397,715.656,0.0,,,715.656,0.0,715.656,0.0,0.0,715.656,715.656,-719.365,100.48,7.12,7.12,-0.04,111.702,6.43,6.43,-0.04,
12/31/2006,563.57,,,-334.435,,229.135,,-139.655,,,,,,9.711,,89.48,-95.109,22.933,39.799,-16.866,0.0,-0.709,72.885,-5.629,-49.795,-55.424,0.0,,,-55.424,0.0,-55.424,0.0,0.0,-55.424,-55.424,,100.918,-0.55,-0.55,0.17,100.918,-0.55,-0.55,0.17,
03/31/2007,635.317,,,-375.057,,260.26,,-139.267,,,,,,7.741,,120.993,-39.019,25.573,37.673,-12.1,0.0,,13.446,81.974,-23.569,58.405,0.0,,,58.405,0.0,58.405,0.0,0.0,58.405,58.405,14.234,101.402,0.58,0.58,0.716,112.348,0.54,0.54,0.65,
06/30/2007,687.541,,,-407.432,,280.109,,-141.447,,,,,,14.362,,138.662,-35.227,25.052,35.46,-10.408,0.0,,10.175,103.435,-13.885,89.55,0.0,,,89.55,0.0,89.55,0.0,0.0,89.55,89.55,11.224,101.214,0.88,0.88,1.0,112.111,0.82,0.82,0.9,
09/30/2007,653.386,,,-401.321,,252.065,,-140.673,,,,,,5.741,,111.392,-57.269,27.966,34.743,-6.777,0.0,,29.303,54.123,-9.383,44.74,0.0,,,44.74,0.0,44.74,0.0,0.0,44.74,44.74,28.649,107.632,0.42,0.42,0.69,110.881,0.41,0.41,0.67,
12/31/2007,711.275,,,-441.255,,270.02,,-152.1,,,,,,,,117.92,-30.219,,35.901,-18.48,0.0,,12.798,87.701,-22.248,65.453,0.0,,,65.453,0.0,65.453,0.0,0.0,65.453,65.453,17.103,113.72,0.58,0.58,0.73,115.257,0.57,0.57,0.72,
03/31/2008,778.706,,,-504.997,,273.709,,-158.839,,,,,,11.522,,114.87,-72.865,34.194,45.268,-11.074,0.0,,38.671,42.005,4.712,46.717,0.0,,,46.717,0.0,46.717,0.0,0.0,46.717,46.717,31.477,112.413,0.42,0.42,0.7,113.648,0.41,0.41,0.69,
06/30/2008,825.157,,,-518.741,,306.416,0.0,-150.128,,,,,,1.194,,156.288,-22.598,35.505,41.0,-5.495,,-0.163,-12.744,133.69,138.28,271.97,0.0,,,271.97,0.0,271.97,0.0,0.0,271.97,271.97,-7.67,111.128,2.45,2.45,2.38,112.365,2.42,2.42,2.35,
09/30/2008,769.186,,,-488.682,,280.504,0.0,-201.213,,,,,,36.296,,79.291,-45.118,37.532,40.263,-2.731,,-0.43,8.016,34.173,17.026,51.199,0.0,,,51.199,0.0,51.199,0.0,0.0,51.199,51.199,3.38715,103.266,0.5,0.5,0.533,104.27,0.49,0.49,0.522,
12/31/2008,614.275,,,-425.888,,188.387,0.0,-187.295,,,,,,0.393,,1.092,-62.042,44.778,46.18,-1.402,,0.048,17.216,-60.95,-98.617,-159.567,,,,-159.567,,-159.567,0.0,0.0,-159.567,-159.567,40.22395,106.9,-1.49,-1.49,-1.113724,106.9,-1.49,-1.49,-1.113724,
03/31/2009,739.955,812.783,-72.828,-498.047,498.047,241.908,0.0,-214.759,92.912,8.3,84.612,,101.468,3.894,16.485,27.149,-45.069,56.718,57.032,-0.314,,0.005,-11.654,-17.92,-15.894,-33.814,0.0,0.0,0.0,-33.814,0.0,-33.814,0.0,0.0,-33.814,-30.056,3.758,112.568,-0.3,-0.3,-0.267003,112.568,-0.3,-0.3,-0.267003,
06/30/2009,723.256,784.552,-61.296,-457.76,457.76,265.496,0.0,-182.698,81.93,,81.93,,102.731,3.935,-5.898,82.798,-37.772,53.165,53.689,-0.524,,0.033,-15.426,45.026,-19.547,25.479,0.0,0.0,0.0,25.479,0.0,25.479,0.0,0.0,25.479,11.489,-13.99,122.161,0.21,0.21,0.094048,122.386,0.21,0.21,0.094048,
09/30/2009,773.071,836.905,-63.834,-496.473,496.473,276.598,0.0,-197.099,93.187,4.2,88.987,,101.907,5.15,-3.145,79.499,-55.118,49.733,50.14,-0.407,,0.038,5.347,24.381,9.829,34.21,0.0,0.0,0.0,34.21,0.0,34.21,0.0,0.0,34.21,39.932,5.722,122.2,0.28,0.28,0.326776,122.61,0.28,0.28,0.326668,
12/31/2009,809.329,790.574,18.755,-538.768,538.768,270.561,0.0,-225.044,101.242,3.8,97.442,,104.441,0.727,18.634,45.517,-54.898,50.029,50.524,-0.495,,-0.197,5.066,-9.381,22.613,13.232,0.0,0.0,0.0,13.232,-18.453,-5.221,0.0,0.0,-5.221,10.975993,16.196993,122.301,-0.04,-0.04,0.089746,122.301,-0.04,-0.04,0.089746,
03/31/2010,908.918,979.116,-70.198,-591.294,591.294,317.624,0.0,-202.776,91.301,4.3,87.001,,104.565,7.018,-0.108,114.848,-51.92,48.973,49.261,-0.288,,-0.391,3.338,62.928,-5.069,57.859,0.0,0.0,0.0,57.859,-30.871,26.988,0.0,0.0,26.988,32.0541,5.0661,122.411,0.22,0.22,0.261856,122.982,0.22,0.22,0.261194,
06/30/2010,1032.643,1017.123,15.52,-670.983,670.983,361.66,0.0,-213.514,100.368,4.7,95.668,,101.353,6.852,4.941,148.146,-57.308,53.027,53.598,-0.571,,-0.115,4.396,90.838,-1.921,88.917,0.0,0.0,0.0,88.917,-36.512,52.405,0.0,0.0,52.405,61.8092,9.4042,122.521,0.43,0.43,0.504478,123.816,0.42,0.42,0.495953,
09/30/2010,1005.949,996.373,9.576,-653.158,653.158,352.791,0.0,-220.842,107.73,4.7,103.03,,99.341,0.859,12.912,131.949,-124.984,59.388,60.341,-0.953,,-0.112,65.708,6.965,-9.019,-2.054,0.0,0.0,0.0,-2.054,-31.454,-33.508,0.0,0.0,-33.508,19.90835,53.41635,122.771,-0.27,-0.27,0.162158,122.771,-0.27,-0.27,0.162158,
12/31/2010,1237.188,1223.738,13.45,-784.18,784.18,453.008,0.0,-222.699,138.255,32.7,105.555,,100.299,13.575,-29.43,230.309,-53.997,58.977,59.663,-0.686,,-0.183,-4.797,176.312,-4.438,171.874,0.0,0.0,0.0,171.874,-57.632,114.242,0.0,0.0,114.242,113.6856,-0.5564,123.436,0.93,0.93,0.921008,124.899,0.91,0.91,0.905545,
03/31/2011,1260.272,1349.504,-89.232,-777.199,777.199,483.073,0.0,-202.517,91.261,3.6,87.661,,101.347,10.161,-0.252,280.556,-52.115,57.864,58.263,-0.399,,-0.602,-5.147,228.441,-2.106,226.335,0.0,0.0,0.0,226.335,-52.531,173.804,0.0,0.0,173.804,173.2307,-0.5733,123.757,1.4,1.4,1.399765,125.371,1.39,1.39,1.385427,
06/30/2011,1367.353,1452.244,-84.891,-845.512,845.512,521.841,0.0,-308.808,95.712,3.8,91.912,,102.052,3.784,107.26,213.033,-52.471,56.654,58.231,-1.577,,-0.264,-3.919,160.562,-5.231,155.331,0.0,0.0,0.0,155.331,-33.3,122.031,0.0,0.0,122.031,192.18225,70.15125,123.97,0.98,0.98,1.550232,125.729,0.97,0.97,1.527956,
09/30/2011,1298.304,1283.209,15.095,-836.016,836.016,462.288,0.0,-222.443,113.435,5.5,107.935,,100.522,4.324,4.162,239.845,-50.39,54.799,57.462,-2.663,,-0.376,-4.033,189.455,-4.27,185.185,0.0,0.0,0.0,185.185,-58.122,127.063,0.0,0.0,127.063,130.6666,3.6036,124.176,1.02,1.02,1.052269,125.86,1.01,1.01,1.038632,
12/31/2011,1343.863,1326.729,17.134,-851.306,851.306,492.557,0.0,-217.751,121.045,19.5,101.545,,94.118,15.509,-12.921,274.806,-47.697,52.947,55.962,-3.015,,-0.23,-5.02,227.109,31.153,258.262,0.0,0.0,0.0,258.262,-67.789,190.473,0.0,0.0,190.473,193.01515,2.54215,124.247,1.53,1.53,1.553479,125.606,1.52,1.52,1.540239,
03/31/2012,1313.498,1407.831,-94.333,-826.694,826.694,486.804,0.0,-226.705,110.65,4.7,105.95,,92.405,18.064,5.586,260.099,-61.807,60.496,62.061,-1.565,,-0.465,1.776,198.292,0.117,198.409,0.0,0.0,0.0,198.409,-57.845,140.564,0.0,0.0,140.564,148.9035,8.3395,112.704,1.25,1.25,1.321191,114.008,1.23,1.23,1.303148,
06/30/2012,1253.207,1340.809,-87.602,-809.583,809.583,443.624,0.0,-179.501,106.377,6.6,99.777,,93.463,-17.279,-3.06,264.123,-69.57,71.391,73.874,-2.483,,-0.256,-1.565,194.553,4.74,199.293,0.0,0.0,0.0,199.293,-61.229,138.064,0.0,0.0,138.064,138.6451,0.5811,99.782,1.38,1.38,1.38948,101.01,1.37,1.37,1.375753,
09/30/2012,1298.495,1289.044,9.451,-813.34,813.34,485.155,0.0,-238.063,121.285,5.5,115.785,,94.274,5.283,17.221,247.092,-89.547,71.323,75.082,-3.759,,-0.19,18.414,157.545,7.626,165.171,0.0,0.0,0.0,165.171,-53.136,112.035,0.0,0.0,112.035,139.5846,27.5496,99.871,1.12,1.12,1.397649,100.892,1.11,1.11,1.38306,
12/31/2012,1289.084,1272.806,16.278,-801.958,801.958,487.126,0.0,-229.164,126.387,6.2,120.187,,93.057,12.023,-2.303,257.962,-75.354,73.006,77.742,-4.736,,-0.175,2.523,182.608,-16.782,165.826,0.0,0.0,0.0,165.826,-54.453,111.373,0.0,0.0,111.373,116.8954,5.5224,100.08,1.11,1.11,1.16802,101.122,1.1,1.1,1.154611,
03/31/2013,1378.654,1366.684,11.97,-844.777,844.777,533.877,0.0,-200.229,101.209,6.3,94.909,,92.518,7.004,-0.502,333.648,-66.646,71.155,75.377,-4.222,,-0.2,-4.309,267.002,5.142,272.144,0.0,0.0,0.0,272.144,-69.181,202.963,0.0,0.0,202.963,204.6881,1.7251,100.237,2.02,2.02,2.042041,101.373,2.0,2.0,2.017017,
06/30/2013,1332.273,1315.076,17.197,-837.829,837.829,494.444,0.0,-220.42,138.481,6.1,132.381,,93.218,-11.225,-0.054,274.024,-80.184,69.606,73.764,-4.158,,-0.391,10.969,193.84,-1.124,192.716,0.0,0.0,0.0,192.716,-62.931,129.785,0.0,0.0,129.785,142.2078,12.4228,100.484,1.29,1.29,1.415228,101.549,1.28,1.28,1.402333,
09/30/2013,1390.112,1380.891,9.221,-863.139,863.139,526.973,0.0,-212.995,105.026,4.1,100.926,,93.325,11.325,3.319,313.978,-72.448,70.334,73.549,-3.215,,-0.288,2.402,241.53,7.281,248.811,0.0,0.0,0.0,248.811,-66.791,182.02,0.0,0.0,182.02,186.4686,4.4486,100.685,1.81,1.81,1.852,101.547,1.79,1.79,1.833808,
12/31/2013,1519.897,1506.888,13.009,-933.077,933.077,586.82,0.0,-218.379,121.472,5.0,116.472,,91.99,4.773,0.144,368.441,-84.29,72.214,76.332,-4.118,,-0.206,12.282,284.151,6.335,290.486,0.0,0.0,0.0,290.486,-76.602,213.884,0.0,0.0,213.884,225.51705,11.63305,100.748,2.12,2.12,2.238427,101.807,2.1,2.1,2.214266,
03/31/2014,1513.613,1504.446,9.167,-938.567,938.567,575.046,0.0,-198.215,111.277,,111.277,,76.659,-2.728,13.007,376.831,-71.179,70.503,75.256,-4.753,,-0.308,0.984,305.652,-2.609,303.043,0.0,0.0,0.0,303.043,-76.147,226.896,0.0,0.0,226.896,236.684,9.788,100.822,2.25,2.25,2.347543,102.009,2.22,2.22,2.315952,
06/30/2014,1412.063,1407.258,4.805,-859.459,859.459,552.604,0.0,-211.262,128.52,,128.52,,78.351,-2.71,7.101,341.342,-82.176,76.26,81.765,-5.505,,-0.298,6.214,259.166,-0.764,258.402,0.0,0.0,0.0,258.402,-54.496,203.906,0.0,0.0,203.906,215.142,11.236,100.915,2.02,2.02,2.131913,102.018,2.0,2.0,2.110137,
09/30/2014,1370.01,1368.094,1.916,-818.521,818.521,551.489,0.0,-218.914,126.834,,126.834,,79.027,4.695,8.358,332.575,-74.681,73.234,79.048,-5.814,,-0.567,2.014,257.894,-4.888,253.006,0.0,0.0,0.0,253.006,-61.6,191.406,0.0,0.0,191.406,199.181,7.775,100.959,1.9,1.9,1.97289,101.999,1.88,1.88,1.956226,
12/31/2014,1137.975,1141.886,-3.911,-699.764,699.764,438.211,0.0,-222.681,125.833,,125.833,,80.082,4.649,12.117,215.53,-79.38,74.624,78.993,-4.369,,-0.176,4.932,136.15,12.043,148.193,0.0,0.0,0.0,148.193,-38.847,109.346,0.0,0.0,109.346,120.5728,11.2268,101.01,1.08,1.08,1.193672,101.935,1.07,1.07,1.180137,
03/31/2015,1092.238,1094.167,-1.929,-677.439,677.439,414.799,0.0,-229.74,122.2,,122.2,,82.866,6.079,18.595,185.059,-195.764,76.291,77.983,-1.692,,-0.197,119.67,-10.705,-3.197,-13.902,0.0,0.0,0.0,-13.902,-30.699,-44.601,0.0,0.0,-44.601,70.474,115.075,101.135,-0.44,-0.44,0.696831,101.135,-0.44,-0.44,0.696831,
06/30/2015,1040.458,1035.136,5.322,-654.068,654.068,386.39,0.0,-217.269,113.707,,113.707,,81.913,4.302,17.347,169.121,-78.62,73.738,75.236,-1.498,,0.127,4.755,90.501,-13.298,77.203,0.0,0.0,0.0,77.203,-20.743,56.46,0.0,0.0,56.46,74.972,18.512,101.157,0.56,0.56,0.741145,101.71,0.56,0.56,0.741145,
09/30/2015,996.285,993.757,2.528,-622.884,622.884,373.401,0.0,-220.627,116.639,,116.639,,80.649,2.885,20.454,152.774,-31.927,72.614,74.079,-1.465,,0.002,-40.689,120.847,-7.418,113.429,0.0,0.0,0.0,113.429,-17.219,96.21,0.0,0.0,96.21,101.324721,5.114721,101.161,0.95,0.95,1.001618,101.581,0.95,0.95,1.000351,
12/31/2015,946.902,944.939,1.963,-575.983,575.983,370.919,0.0,-219.059,112.247,,112.247,,77.201,-2.151,31.762,151.86,-63.256,71.034,73.608,-2.574,,-1.755,-6.023,88.604,16.19,104.794,0.0,0.0,0.0,104.794,-17.573,87.221,0.0,0.0,87.221,107.84,20.619,101.2,0.86,0.86,1.065613,101.459,0.86,0.86,1.063225,
03/31/2016,997.678,998.766,-1.088,-607.968,607.968,389.71,0.0,-231.412,117.445,,117.445,,77.971,0.706,35.29,158.298,-48.588,41.293,44.772,-3.479,,-0.016,7.311,109.71,-3.918,105.792,0.0,0.0,0.0,105.792,-30.571,75.221,0.0,0.0,75.221,104.143,28.922,101.392,0.74,0.74,1.027132,101.686,0.74,0.74,1.024425,
06/30/2016,1058.364,1056.137,2.227,-651.813,651.813,406.551,0.0,-259.012,119.505,,119.505,,79.749,2.478,57.28,147.539,-60.99,66.474,69.257,-2.783,,0.0,-5.484,86.549,2.893,89.442,0.0,0.0,0.0,89.442,-19.051,70.391,0.0,0.0,70.391,120.167608,49.776608,101.438,0.69,0.69,1.184641,101.881,0.69,0.69,1.178576,
09/30/2016,1109.822,1108.824,0.998,-695.294,695.294,414.528,0.0,-337.597,144.206,,144.206,,106.467,-2.368,89.292,76.931,-96.142,75.991,79.669,-3.678,,0.0,20.151,-19.211,-0.12,-19.331,0.0,0.0,0.0,-19.331,1.894,-17.437,0.0,0.0,-17.437,72.040549,89.477549,101.439,-0.17,-0.17,0.710186,101.439,-0.17,-0.17,0.710186,
12/31/2016,1300.433,1309.2,-8.767,-818.947,818.947,481.486,0.0,-342.592,166.985,,166.985,,140.543,7.387,27.677,138.894,-5.345,92.071,95.667,-3.596,,0.0,-86.726,133.549,-6.983,126.566,0.0,0.0,0.0,126.566,-12.766,113.8,0.0,0.0,113.8,141.357022,27.557022,101.509,1.12,1.12,1.392557,101.91,1.12,1.12,1.390405,
03/31/2017,1423.757,1323.097,100.66,-869.396,869.396,554.361,0.0,-304.431,159.962,,159.962,,139.82,-4.166,8.815,249.93,-114.515,91.791,98.262,-6.471,,,22.724,135.415,-2.89,132.525,0.0,0.0,0.0,132.525,-31.709,100.816,0.0,0.0,100.816,110.653777,9.837777,101.753,0.99,0.99,1.087474,102.069,0.99,0.99,1.086384,
06/30/2017,1472.892,1371.062,101.83,-912.308,912.308,560.584,0.0,-313.695,164.169,,164.169,,137.686,-2.083,13.923,246.889,-137.486,90.659,97.739,-7.08,,,46.827,109.403,-2.607,106.796,0.0,0.0,0.0,106.796,-31.88,74.916,0.0,0.0,74.916,109.943874,35.027874,101.944,0.73,0.73,1.078473,102.494,0.73,0.73,1.071755,
09/30/2017,1551.347,1445.999,105.348,-940.677,940.677,610.67,0.0,-353.343,178.504,,178.504,,137.982,1.656,35.201,257.327,-151.815,87.427,95.874,-8.447,,,64.388,105.512,0.457,105.969,0.0,0.0,0.0,105.969,-26.202,79.767,0.0,0.0,79.767,130.132754,50.365754,102.173,0.78,0.78,1.273651,102.794,0.78,0.78,1.269968,
12/31/2017,1622.164,1507.217,114.947,-1004.804,1004.804,617.36,0.0,-315.941,182.85,,182.85,,136.88,-2.118,-1.671,301.419,-91.48,87.594,96.789,-9.195,,,3.886,209.939,334.025,543.964,0.0,0.0,0.0,543.964,-52.282,491.682,0.0,0.0,491.682,142.68954,-348.99246,102.402,4.8,4.8,1.393425,103.065,4.77,4.77,1.383861,
03/31/2018,1715.578,1604.671,110.907,-1013.286,1013.286,702.292,0.0,-783.586,169.585,,169.585,,136.357,0.691,476.953,-81.294,-167.229,91.007,98.227,-7.22,,,76.222,-248.523,111.045,-137.478,0.0,0.0,0.0,-137.478,-66.829,-204.307,0.0,0.0,-204.307,175.360788,379.667788,102.57,-1.99,-1.99,1.709669,102.57,-1.99,-1.99,1.709669,
06/30/2018,1605.424,1500.945,104.479,-985.754,985.754,619.67,0.0,-340.098,183.631,,183.631,,137.87,-1.39,19.987,279.572,-83.994,83.037,89.898,-6.861,,,0.957,195.578,9.702,205.28,0.0,0.0,0.0,205.28,-49.524,155.756,0.0,0.0,155.756,167.576052,11.820052,107.792,1.44,1.44,1.554624,108.405,1.44,1.44,1.549036,
09/30/2018,1709.072,1598.947,110.125,-1052.475,1052.475,656.597,0.0,-365.614,192.327,,192.327,,137.458,3.285,32.544,290.983,-75.095,86.059,93.007,-6.948,,,-10.964,215.888,3.884,219.772,0.0,0.0,0.0,219.772,-63.657,156.115,0.0,0.0,156.115,193.485419,37.370419,108.064,1.44,1.44,1.790471,108.533,1.44,1.44,1.784323,
12/31/2018,1687.586,1586.355,101.231,-1034.76,1034.76,652.826,0.0,-406.543,215.872,,215.872,,138.911,3.941,47.819,246.283,-103.486,91.88,100.717,-8.837,,,11.606,142.797,372.713,515.51,0.0,0.0,0.0,515.51,-50.644,464.866,0.0,0.0,464.866,107.057053,-357.808947,106.896,4.348769,4.348769,1.001507,107.343,4.33066,4.33066,0.997336,
03/31/2019,1651.546,1549.59,101.956,-1006.582,1006.582,644.964,0.0,-389.788,217.322,,217.322,,136.557,5.422,30.487,255.176,-93.76,85.893,93.18,-7.287,,,7.867,161.416,-1.685,159.731,0.0,0.0,0.0,159.731,-54.859,104.872,0.0,0.0,104.872,135.693787,30.821787,106.792,0.98,0.98,1.270636,107.073,0.98,0.98,1.267858,
06/30/2019,1658.332,1559.332,99.0,-1016.729,1016.729,641.603,0.0,-422.887,202.224,,202.224,,140.269,3.581,76.813,218.716,-78.473,86.884,93.149,-6.265,,,-8.411,140.243,1.991,142.234,0.0,0.0,0.0,142.234,-47.683,94.551,0.0,0.0,94.551,162.544216,67.993216,106.876,0.88,0.88,1.520867,107.141,0.88,0.88,1.514614,
09/30/2019,1647.762,1542.748,105.014,-1036.619,1036.619,611.143,0.0,-433.308,246.442,,246.442,,172.998,4.036,9.832,177.835,-131.225,108.225,114.652,-6.427,,,23.0,46.61,-19.727,26.883,0.0,0.0,0.0,26.883,-30.379,-3.496,0.0,0.0,-3.496,16.259472,19.755472,106.707,-0.03,-0.03,0.152375,106.707,-0.03,-0.03,0.152375,
12/31/2019,1653.459,1545.238,108.221,-1007.123,1007.123,646.336,0.0,-419.758,230.682,,230.682,0.0,175.054,8.859,5.163,226.578,-86.629,108.579,113.049,-4.47,,,-21.95,139.949,-157.419,-17.47,0.0,0.0,0.0,-17.47,-55.472,-72.942,0.0,0.0,-72.942,-73.00934,-0.06734,106.608,-0.68,-0.68,-0.684839,106.608,-0.68,-0.68,-0.684839,
