Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2004,7991.051,2012.049,1330.045,682.004,240.856,240.856,,0.0,0.0,0.0,0.0,0.0,658.244,,,,,,,2911.149,709.773,1136.346,-426.573,1266.289,,,3103.84,3072.703,2709.794,362.909,,,31.137,5079.902,,37.958,37.958,,,,124.272,0.0,124.272,124.272,,,922.64,,,922.64,1084.87,0.075,0.0,0.075,0.075,,173.669,,,,,,173.669,173.744,1258.614,0.0,4857.056,,,0.0,1634.468,236.817,6728.341,4.096,6732.437,7991.051,
03/31/2005,8589.158,2015.809,1216.772,799.037,270.435,270.435,,0.0,0.0,0.0,0.0,0.0,661.808,,,,,,,2948.052,693.46,,,1417.576,,,3530.07,3481.041,3078.177,402.864,,,49.029,5641.106,,58.766,58.766,,,,0.0,0.0,0.0,0.0,,,1090.34,,,1090.34,1149.106,0.0,0.0,0.0,0.0,,205.195,,,,,,205.195,205.195,1354.301,0.0,5122.457,,,0.0,1890.759,221.59,7234.806,0.051,7234.857,8589.158,
06/30/2005,9033.122,2752.6,1855.649,896.951,269.641,269.641,,0.0,0.0,0.0,0.0,0.0,667.587,,,,,,,3689.828,745.257,,,1064.26,,,3533.777,3507.335,3119.969,387.366,,,26.442,5343.294,,41.686,41.686,,,,0.0,0.0,0.0,0.0,,,1145.132,,,1145.132,1186.818,0.0,0.0,0.0,0.0,,277.183,,,,,,277.183,277.183,1464.001,0.0,5225.88,,,0.0,2182.319,160.922,7569.121,0.0,7569.121,9033.122,
09/30/2005,9626.043,3069.381,2180.598,888.783,274.238,274.238,,0.0,0.0,0.0,0.0,0.0,647.374,,,,,,,3990.993,762.413,,,827.191,,,4045.446,4020.14,3529.895,490.245,,,25.306,5635.05,,42.726,42.726,,,,0.0,0.0,0.0,0.0,,,1224.066,,,1224.066,1266.792,0.0,0.0,0.0,0.0,,331.887,,,,,,331.887,331.887,1598.679,0.0,5454.987,,,0.0,2437.29,135.087,8027.364,0.0,8027.364,9626.043,
12/31/2005,11788.986,2088.23,1313.58,774.65,322.788,322.788,,0.0,0.0,0.0,0.0,0.0,772.219,,,,,,,3183.237,801.602,1456.218,-654.616,825.667,,,6978.48,6120.1161,6120.079,0.0371,,,858.3639,8605.749,,55.692,55.692,,,,0.0,0.0,0.0,0.0,,,1429.243,,,1429.243,1484.935,0.0,0.0,0.0,0.0,,256.07,,,,,,256.07,256.07,1741.005,0.0,7273.88,,,0.0,2716.511,57.59,10047.981,0.0,10047.981,11788.986,
03/31/2006,12568.535,2704.483,1876.434,828.049,318.878,318.878,,0.0,0.0,0.0,0.0,0.0,876.882,,,,,,,3900.243,860.493,,,793.497,,,7014.302,6890.552,6205.075,685.477,,,123.75,8668.292,,101.157,101.157,,,,0.0,,,,,,1580.351,,,1580.351,1681.508,0.0,,,,,260.227,,,,,,260.227,260.227,1941.735,,7430.786,,,0.0,2964.793,231.221,10626.8,,10626.8,12568.535,
06/30/2006,13250.251,3354.496,2634.381,720.115,310.039,310.039,,,,,,,881.694,,,,,,,4546.229,942.437,,,622.862,,,7138.723,7117.161,6355.466,761.695,,,21.562,8704.022,,134.193,134.193,,,,0.0,,,,,,1585.212,,,1585.212,1719.405,0.0,,,,,247.374,,,,,,247.374,247.374,1966.779,,7681.988,,,,3214.787,386.697,11283.472,,11283.472,13250.251,
09/30/2006,13463.118,3223.912,2482.257,741.655,366.631,366.631,,,,,,,1184.14,,,,,,,4774.683,999.214,,,538.875,,,7150.346,7127.275,6407.973,719.302,,,23.071,8688.435,,122.287,122.287,,,,,,,,,,2098.398,,,2098.398,2220.685,,,,,,139.566,,,,,,139.566,139.566,2360.251,,7812.431,,,-666.815,3495.683,461.568,11102.867,,11102.867,13463.118,
12/31/2006,13494.011,3204.895,2662.792,542.103,393.195,393.195,,,,,,,1372.496,,,,,,,4970.586,998.196,1946.09,-947.894,277.853,,,7247.376,7227.255,6544.278,682.977,,,20.121,8523.425,,83.392,83.392,,,,,,,,,,2435.003,,,2435.003,2518.395,,,,,,70.984,,,,,,70.984,70.984,2589.379,,8035.713,,,-1669.428,3842.15,696.197,10904.632,,10904.632,13494.011,
03/31/2007,13920.051,3284.284,2967.009,317.275,380.473,380.473,,0.0,0.0,0.0,0.0,0.0,1434.852,,,,,,,5099.609,1035.714,,,220.662,,,7564.066,7523.206,6803.103,720.103,,,40.86,8820.442,,122.535,122.535,,,,0.0,,,,,,2128.036,,,2128.036,2250.571,0.0,,,,,453.293,,,,,,453.293,453.293,2703.864,,8235.785,,,-2003.159,4219.471,764.09,11216.187,,11216.187,13920.051,
06/30/2007,14361.157,3600.332,3418.349,181.983,379.85,379.85,,,,,,,1500.194,,,,,,,5480.376,1032.673,,,176.138,,,7671.97,7598.505,6917.265,681.24,,,73.465,8880.781,,94.487,94.487,,,,0.0,,,,,,2234.156,,,2234.156,2328.643,0.0,,,,,492.985,,,,,,492.985,492.985,2821.628,,8431.608,,,-2346.935,4595.295,859.561,11539.529,,11539.529,14361.157,
09/30/2007,14786.812,3988.699,3912.591,76.108,411.168,411.168,,,,,,,1961.884,,,,,,,6361.751,1059.607,,,455.281,,,6910.173,6822.881,6180.413,642.468,,,87.292,8425.061,,98.712,98.712,,,,0.0,,,,,,3174.155,,,3174.155,3272.867,0.0,,,,,641.253,,,,,,641.253,641.253,3914.12,,8751.821,,,-2870.283,3659.66,1331.494,10872.692,,10872.692,14786.812,
12/31/2007,15366.037,4897.455,4221.191,676.264,480.557,480.557,,0.0,0.0,0.0,0.0,0.0,1744.493,,,,,,,7122.505,1120.452,2431.906,-1311.454,138.237,,,6984.843,6853.191,6257.153,596.038,,,131.652,8243.532,,156.613,156.613,,,,0.0,0.0,0.0,0.0,,,2942.966,,,2942.966,3099.579,0.0,0.0,0.0,0.0,,561.856,,,,,,561.856,561.856,3661.435,0.0,8997.761,,,-3184.981,4190.546,1701.276,11704.602,0.0,11704.602,15366.037,
03/31/2008,15046.305,3987.878,3565.182,422.696,496.942,496.942,,,,,,,1973.174,,,,,,,6457.994,1135.765,,,120.263,,,7332.283,7161.418,6544.948,616.47,,,170.865,8588.311,,169.169,169.169,,,,0.0,,,,,,2911.263,,,2911.263,3080.432,0.0,,,,,604.671,,,,,,604.671,604.671,3685.103,,9105.478,,,-4185.927,4650.264,1791.387,11361.202,,11361.202,15046.305,
06/30/2008,15021.625,4051.364,3696.028,355.336,479.089,479.089,,,,,,,1989.934,,,,,,,6520.387,1124.527,,,130.353,,,7246.358,7077.4,6522.767,554.633,,,168.958,8501.238,,127.844,127.844,,,,0.0,,,,,,2878.39,,,2878.39,3006.234,0.0,,,,,643.345,,,,,,643.345,643.345,3649.579,,9284.401,,,-4752.548,5110.609,1729.584,11372.046,,11372.046,15021.625,
09/30/2008,14240.157,3643.853,3342.717,301.136,436.456,436.456,,,,,,,1928.037,,,,,,,6008.346,1215.469,,,133.629,,,6882.713,6640.503,6172.133,468.37,,,242.21,8231.811,,217.272,217.272,,,,0.0,,,,,,2637.461,,,2637.461,2854.733,0.0,,,,,691.729,,,,,,691.729,691.729,3546.462,,9386.828,,,-5377.07,5602.828,1081.109,10693.695,,10693.695,14240.157,
12/31/2008,15592.439,3352.662,3188.928,163.734,435.197,435.197,,,,,,,2498.731,,,,,,,6286.59,1198.714,2812.009,-1613.295,106.178,,,8000.957,7762.064,7025.398,736.666,,,238.893,9305.849,,170.332,170.332,,,,1000.0,1000.0,0.0,0.0,,,2534.755,,,2534.755,3705.087,,0.0,0.0,0.0,,803.494,,,,,,803.494,803.494,4508.581,,9587.323,,,-5376.97,5970.02,903.485,11083.858,,11083.858,15592.439,
03/31/2009,15127.787,3237.444,3057.159,180.285,392.049,392.049,0.0,0.0,0.0,0.0,0.0,0.0,2531.541,,,,,,2476.246,6161.034,1197.42,,,89.361,89.361,,7679.972,7440.58,6783.093,657.487,,,239.392,8966.753,,974.551,160.174,29.6,,784.777,400.0,400.0,,,,,1785.373,,,1584.759,3159.924,0.0,0.0,,,,852.156,,,,,804.317,47.839,852.156,4012.08,0.0,9647.025,1.475,9645.55,-5377.09,6327.133,518.639,11115.707,0.0,11115.707,15127.787,
06/30/2009,16566.289,3014.819,2573.617,441.202,422.145,422.145,0.0,0.0,0.0,0.0,0.0,0.0,2812.936,,,,,,2803.507,6249.9,1254.769,,,119.659,119.659,,8941.961,8750.451,7796.09,954.361,,,191.51,10316.389,,1193.29,186.491,38.102,,968.697,400.0,400.0,,,,,2137.074,,,1905.871,3730.364,0.0,0.0,,,,914.353,,,,,859.689,54.664,914.353,4644.717,0.0,9779.133,1.478,9777.655,-5377.09,6654.475,865.054,11921.572,0.0,11921.572,16566.289,
09/30/2009,17356.372,3159.302,2557.859,601.443,419.982,419.982,0.0,0.0,0.0,0.0,0.0,0.0,2894.303,,,,,,2884.06,6473.587,1293.775,,,479.285,479.285,,9109.725,8925.866,8016.465,909.401,,,183.859,10882.785,,1209.362,209.333,50.093,,949.936,200.0,200.0,,,,,2237.316,,,1993.294,3646.678,0.0,0.0,,,,958.527,,,,,907.342,51.185,958.527,4605.205,0.0,9871.583,1.481,9870.102,-5377.258,7004.211,1252.631,12751.167,0.0,12751.167,17356.372,
12/31/2009,18408.32,4943.804,3999.818,943.986,407.507,407.507,0.0,0.0,0.0,0.0,0.0,0.0,3108.897,,0.0,,,,3108.535,8460.208,1314.328,3316.333,-2002.005,709.065,709.065,,7924.719,6910.898,6143.086,767.812,,672.7,341.121,9948.112,,1379.008,192.412,210.522,0.0,976.074,0.0,0.0,0.0,0.0,,,2262.96,0.0,0.0,2157.945,3641.968,0.0,0.0,0.0,0.0,,978.704,0.0,0.0,0.0,0.0,929.143,49.561,978.704,4620.672,0.0,9987.685,1.486,9986.199,-5377.258,8359.117,818.104,13787.648,0.0,13787.648,18408.32,
03/31/2010,18690.178,4527.901,3593.003,934.898,393.414,393.414,0.0,0.0,0.0,0.0,0.0,0.0,3356.123,,,,,,3328.915,8277.438,1346.85,,,1977.567,1977.567,,7088.323,6833.309,6130.156,703.153,,,255.014,10412.74,,1168.814,144.266,58.581,,965.967,0.0,0.0,,,,,2418.197,,,2315.16,3587.011,0.0,0.0,,,,978.058,,,,,928.46,49.598,978.058,4565.069,0.0,10071.329,1.495,10069.834,-5377.49,8756.77,674.5,14125.109,0.0,14125.109,18690.178,
06/30/2010,18747.584,4897.882,4037.442,860.44,388.925,388.925,0.0,0.0,0.0,0.0,0.0,0.0,3388.506,,,,,,3346.0,8675.313,1429.21,,,1827.886,1827.886,,6815.175,6532.076,5921.852,610.224,,,283.099,10072.271,,1212.845,191.919,44.848,,976.078,0.0,0.0,,,,,2351.416,,,2256.985,3564.261,0.0,0.0,,,,1014.032,,,,,967.177,46.855,1014.032,4578.293,0.0,10216.814,1.5,10215.314,-5377.618,9168.962,161.133,14169.291,0.0,14169.291,18747.584,
09/30/2010,19948.062,5362.522,4180.907,1181.615,409.807,409.807,0.0,0.0,0.0,0.0,0.0,0.0,3682.199,,,,,,3658.754,9454.528,1466.047,,,2101.405,2101.405,,6926.082,6708.014,6121.481,586.533,,,218.068,10493.534,,1210.316,116.114,48.55,,1045.652,0.0,,,,,,2598.593,,,2492.856,3808.909,0.0,,,,,1105.201,,,,,1054.999,50.202,1105.201,4914.11,0.0,10253.015,1.505,10251.51,-5678.028,9600.891,858.074,15033.952,0.0,15033.952,19948.062,
12/31/2010,22003.762,6622.814,5577.411,1045.403,454.366,454.366,,0.0,0.0,0.0,0.0,0.0,3988.158,,0.0,,,,3950.962,11065.338,1523.333,3962.781,-2439.448,1762.612,1762.612,,7652.479,6733.874,6193.163,540.711,,729.4,189.205,10938.424,,1564.356,184.963,40.468,0.0,1338.925,300.0,300.0,0.0,0.0,,,2652.158,0.0,0.0,2550.731,4516.514,1494.227,1494.227,0.0,0.0,,690.842,0.0,0.0,0.0,0.0,645.457,45.385,2185.069,6701.583,0.0,10482.222,1.513,10480.709,-6091.435,10160.078,751.314,15302.179,0.0,15302.179,22003.762,
03/31/2011,23004.86,6764.608,5464.582,1300.026,447.81,447.81,0.0,0.0,0.0,0.0,0.0,0.0,4302.41,,,,,,4286.745,11514.828,1547.943,,,2715.363,2715.363,,7226.726,7027.475,6445.103,582.372,,,199.251,11490.032,,1584.688,152.023,39.415,,1393.25,300.0,300.0,,,,,2878.861,,,2746.079,4763.549,1494.482,1494.482,,,,802.416,,,,,752.597,49.819,2296.898,7060.447,0.0,10617.878,1.524,10616.354,-6447.978,10635.943,1138.57,15944.413,0.0,15944.413,23004.86,
06/30/2011,24833.954,4396.926,3265.826,1131.1,568.86,568.86,0.0,0.0,0.0,0.0,0.0,0.0,4895.306,,,,,,4886.107,9861.092,1727.081,,,3078.398,3078.398,,10167.383,9707.537,8263.705,1443.832,,,459.846,14972.862,,1629.444,246.472,47.084,,1335.888,1015.484,1015.484,,,,,3498.344,,,3362.209,6143.272,1530.211,1530.211,,,,950.589,,,,,894.797,55.792,2480.8,8624.072,0.0,10872.246,1.528,10870.718,-6872.815,10919.35,1291.101,16209.882,0.0,16209.882,24833.954,
09/30/2011,24900.537,4012.874,2998.95,1013.924,595.716,595.716,0.0,0.0,0.0,0.0,0.0,0.0,5153.755,,,,,,5091.23,9762.345,1859.19,,,3018.596,3018.596,,10260.406,9794.633,8341.91,1452.723,,,465.773,15138.192,,1693.027,269.031,29.196,,1394.8,1015.83,1001.903,13.927,13.927,,,3436.295,,,3295.115,6145.152,1528.158,1510.344,17.814,17.814,,1061.901,,,,,1005.732,56.169,2590.059,8735.211,0.0,10987.65,1.531,10986.119,-6905.567,11409.853,673.39,16165.326,0.0,16165.326,24900.537,
