Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2016,1209.947,762.252,710.663,51.589,135.119,135.119,0,84.03,27.12,0,56.91,0,41.732,13.966,,50.026,27.766,1023.133,79.944,114.995,-35.051,36.636,36.636,,70.234,,,,20.208,186.814,,70.921,24.808,,,46.113,0.0,,,,,,143.343,83.696,,7.819,214.264,40.827,0.0,40.827,40.827,,104.999,,,,,14.918,6.385,145.826,360.09,0.0,564.349,0.007,564.342,0,286.161,-0.653,849.857,0,849.857,1209.947,
06/30/2016,1334.988,823.818,531.058,292.76,146.659,146.659,0,118.13,41.73,0,76.4,0,53.447,25.934,,55.305,27.513,1142.054,79.681,119.478,-39.797,39.136,39.136,,74.117,,,,18.812,192.934,,115.207,60.097,,,55.11,0.0,,,,,,148.232,91.439,,9.347,263.439,40.438,0.0,40.438,40.438,,114.279,,,,,16.086,6.754,154.717,418.156,0.0,592.472,0.007,592.465,0,325.065,-0.705,916.832,0,916.832,1334.988,
09/30/2016,1519.08,800.148,500.481,299.667,210.243,210.243,0,162.128,64.61,0,97.518,0,151.659,33.72,,62.221,117.939,1324.178,78.147,122.936,-44.789,36.136,36.136,,80.619,,,,18.398,194.902,,154.211,77.048,,,77.163,0.0,,,,,,200.871,93.741,,9.777,355.082,40.041,0.0,40.041,40.041,,112.537,,,,,11.896,6.9,152.578,507.66,0.0,636.081,0.007,636.074,0,376.322,-0.983,1011.42,0,1011.42,1519.08,
12/31/2016,1729.007,867.833,567.923,299.91,253.119,253.119,0,236.49,99.19,0,137.3,0,168.684,29.229,0.0,70.96,139.455,1526.126,76.961,126.093,-49.132,36.136,36.136,,89.784,0.0,0.0,0.0,18.824,202.881,,170.408,79.457,,,90.951,1.618,0.0,1.618,1.618,,,287.527,99.585,0.0,14.177,459.553,39.593,0.0,39.593,39.593,,122.041,0.0,0.0,0.0,0.0,14.498,7.958,161.634,621.187,0.0,674.19,0.007,674.183,0,435.105,-1.475,1107.82,0,1107.82,1729.007,
03/31/2017,1939.598,1043.242,746.567,296.675,209.062,209.062,0,286.786,108.066,0,178.72,0,197.735,46.223,,70.433,151.512,1736.825,76.319,130.038,-53.719,36.136,36.136,,90.318,0.0,,0.0,19.885,202.773,,136.275,60.984,,,75.291,0.0,0.0,,,,,396.238,113.925,,12.993,532.513,39.136,0.0,39.136,39.136,,139.575,,,,,,25.65,178.711,711.224,0.0,711.13,0.007,711.123,0,518.874,-1.63,1228.374,0,1228.374,1939.598,
06/30/2017,2162.94,1124.839,823.475,301.364,269.624,269.624,0,363.803,112.558,0,251.245,0,190.923,32.302,,81.469,158.621,1949.189,75.84,134.441,-58.601,36.136,36.136,,101.775,,,,20.306,213.751,,164.831,80.418,,,84.413,0.0,0.0,,,,,445.966,127.76,,19.216,610.797,38.672,0.0,38.672,38.672,,155.722,,,,,,27.962,194.394,805.191,0.0,737.443,0.007,737.436,0,621.559,-1.253,1357.749,0,1357.749,2162.94,
09/30/2017,2301.71,1343.114,854.479,488.635,212.611,212.611,0,333.157,99.64,0,233.517,0,186.657,28.51,,95.697,158.147,2075.539,73.061,136.85,-63.789,36.136,36.136,,116.974,,,,21.277,226.171,,127.352,32.893,,,94.459,0.0,0.0,,,,,440.195,141.44,,16.49,567.547,38.199,0.0,38.199,38.199,,171.412,,,,,,29.972,209.611,777.158,0.0,770.346,0.007,770.339,0,755.281,-1.075,1524.552,0,1524.552,2301.71,
12/31/2017,2460.86,1535.555,859.192,676.363,247.346,247.346,0,306.198,69.673,0,236.525,0,177.33,46.974,0.0,65.125,130.356,2266.429,74.279,143.299,-69.02,36.136,36.136,,84.016,0.0,0.0,0.0,18.891,194.431,,186.027,52.2,,,133.827,1.919,0.0,1.919,1.919,,,341.959,187.556,0.0,14.253,529.905,37.673,0.0,37.673,37.673,,231.368,0.0,0.0,0.0,0.0,1.878,41.934,269.041,798.946,0.0,804.738,0.007,804.731,0,859.114,-1.938,1661.914,0,1661.914,2460.86,
03/31/2018,2580.034,1738.04,886.16,851.88,207.339,207.339,0,268.131,62.305,0,205.826,0,165.664,58.404,,68.02,107.26,2379.174,73.825,147.851,-74.026,36.136,36.136,,90.899,0.0,0.0,0.0,22.879,200.86,,156.159,70.431,,,85.728,0.0,0.0,,,,,301.62,181.377,,26.943,457.779,37.138,0.0,37.138,37.138,,240.078,,,,,,58.701,277.216,734.995,0.0,841.439,0.008,841.431,0,1007.226,-3.626,1845.039,0,1845.039,2580.034,
06/30/2018,2832.114,1860.404,711.157,1149.247,260.917,260.917,0,245.439,68.924,0,176.515,0,253.802,141.372,,82.761,112.43,2620.562,73.736,152.992,-79.256,35.036,35.036,,102.78,,,,20.019,211.552,,544.875,53.182,,,491.693,0.0,0.0,,,,,281.888,186.299,,19.543,826.763,36.594,0.0,36.594,36.594,,248.784,,,,,,62.485,285.378,1112.141,0.0,872.567,0.008,872.559,0,851.957,-4.551,1719.973,0,1719.973,2832.114,
09/30/2018,2798.238,1661.799,524.687,1137.112,322.053,322.053,0,216.313,48.697,0,167.616,0,235.881,98.329,,114.282,137.552,2436.046,75.397,159.794,-84.397,35.036,35.036,,251.759,117.278,55.168,62.11,20.199,362.192,,188.205,85.097,,,103.108,0.0,0.0,,,,,351.577,211.005,,32.727,539.782,36.04,0.0,36.04,36.04,,276.54,,,,,,65.535,312.58,852.362,0.0,929.837,0.008,929.829,0,1020.481,-4.442,1945.876,0,1945.876,2798.238,
12/31/2018,3081.983,1956.147,649.95,1306.197,331.777,331.777,0,264.557,76.795,0,187.762,0,162.321,51.952,0.0,126.492,110.369,2714.802,75.355,165.367,-90.012,30.336,30.336,,261.49,112.294,53.684,58.61,22.704,367.181,,217.011,93.757,,,123.254,2.312,0.0,2.312,2.312,,,387.181,228.641,0.0,28.595,606.504,35.431,0.0,35.431,35.431,,296.659,0.0,0.0,0.0,0.0,3.753,64.265,332.09,938.594,0.0,956.58,0.008,956.572,0,1190.803,-3.994,2143.389,0,2143.389,3081.983,
03/31/2019,3332.444,2150.918,809.491,1341.427,271.246,271.246,0,347.153,102.836,0,244.317,0,131.657,48.666,,126.045,82.991,2900.974,140.081,223.295,-83.214,31.486,31.486,,259.903,108.795,53.684,55.111,25.063,431.47,,194.051,89.823,,,104.228,14.139,0.0,14.139,,14.139,,335.003,231.742,,30.274,543.193,93.616,0.0,93.616,0.0,93.616,295.268,,,,,,63.526,388.884,932.077,0.0,1005.413,0.008,1005.405,0,1395.534,-0.58,2400.367,0,2400.367,3332.444,
06/30/2019,3441.292,2257.803,944.414,1313.389,343.08,343.08,0,314.177,105.639,0,208.538,0,113.458,55.543,,113.66,57.915,3028.518,135.226,223.249,-88.023,31.486,31.486,,246.062,105.296,53.684,51.612,27.106,412.774,,200.032,86.134,,,113.898,14.666,0.0,14.666,,14.666,,310.322,229.852,,37.956,525.02,89.705,0.0,89.705,0.0,89.705,301.007,,,,,,71.155,390.712,915.732,0.0,1038.748,0.008,1038.74,0,1484.777,2.035,2525.56,0,2525.56,3441.292,
09/30/2019,3619.825,2447.04,1095.265,1351.775,447.252,447.252,0,239.802,120.236,0,119.566,0,106.326,38.436,,110.63,67.89,3240.42,132.091,224.754,-92.663,4.15,4.15,,243.164,103.174,54.855,48.319,29.36,379.405,,207.53,78.6,,,128.93,15.545,0.0,15.545,,15.545,,325.114,237.628,,33.73,548.189,87.099,0.0,87.099,0.0,87.099,328.533,,,,,,90.905,415.632,963.821,0.0,1076.74,0.008,1076.732,0,1579.063,0.201,2656.004,0,2656.004,3619.825,
12/31/2019,4185.29,2724.368,1111.286,1613.082,391.987,391.987,0,243.825,96.712,0,147.113,0,111.456,33.276,0.0,452.025,78.18,3471.636,127.043,224.419,-97.376,4.15,4.15,,582.461,100.09,54.855,45.235,30.346,713.654,,232.354,92.105,,,140.249,16.052,0.0,16.052,,16.052,,348.668,262.62,0.0,36.0,597.074,83.022,0.0,83.022,0.0,83.022,610.508,0.0,0.0,0.0,0.0,254.71,93.178,693.53,1290.604,0.0,1106.313,0.008,1106.305,0,1788.23,0.143,2894.686,0,2894.686,4185.29,
03/31/2020,4111.845,2636.993,761.333,1875.66,352.159,352.159,0,261.798,130.357,0,131.441,0,85.949,22.774,,448.432,63.175,3336.899,121.183,221.167,-99.984,4.15,4.15,,649.613,174.154,84.781,89.373,27.027,774.946,,185.258,84.815,,,100.443,0.0,0.0,,,,,387.749,264.6,,55.574,573.007,78.502,0.0,78.502,,78.502,611.51,,,,,250.304,96.606,690.012,1263.019,0.0,1149.232,0.008,1149.224,0,1698.766,0.828,2848.826,0,2848.826,4111.845,
06/30/2020,4335.851,2781.771,800.182,1981.589,383.225,383.225,0,326.997,171.346,0,155.651,0,84.885,16.165,,446.254,68.72,3576.878,114.546,219.775,-105.229,4.15,4.15,,640.277,168.53,84.968,83.562,25.493,758.973,,222.942,122.872,,,100.07,0.0,0.0,,,,,417.239,248.986,,88.714,640.181,74.259,0.0,74.259,,74.259,584.928,,,,,251.292,84.65,659.187,1299.368,0.0,1185.101,0.008,1185.093,0,1843.559,7.823,3036.483,0,3036.483,4335.851,
