Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/2003,25916,4421,4307,114,3211,3211.0,,1701,171.0,566.0,947.0,17.0,1326,,,,,,10659,5416,9021,-3605,0.0,,9841,6690.0,4864.0,1826.0,,3151,15257,,1830,1830,,,,1902,,,,,,4698,,,4698,8430,6422,,,,,1450,,,,1450,7872,16302,0.0,2696.0,,,-11467,19415.0,-1030,9614,0.0,9614,25916,
09/30/2003,26528,5039,4953,86,3588,3588.0,,1721,174.0,549.0,992.0,6.0,1018,,,,,,11366,5480,9193,-3713,0.0,,9682,6611.0,4829.0,1782.0,,3071,15162,,1663,1663,,,,1288,1288.0,0.0,0.0,,,4661,,,4661,7612,7421,7421.0,0.0,0.0,,1430,,,,1430,8851,16463,0.0,2698.0,,,-11454,19756.0,-935,10065,0.0,10065,26528,
12/31/2003,27471,5457,2444,3013,3646,,,1601,180.0,416.0,1001.0,4.0,1214,,,,,,11918,5712,9442,-3730,0.0,,9841,6568.0,4836.0,1732.0,,3273,15553,,1893,1893,,,,127,127.0,0.0,0.0,,,5510,,,5510,7530,8522,8522.0,0.0,0.0,,1633,,,,1633,10155,17685,0.0,2697.0,,,-11440,19439.0,-910,9786,0.0,9786,27471,
03/31/2004,28360,6617,3065,3552,3106,3106.0,,1645,193.0,441.0,1008.0,3.0,1364,,,,,,12732,5719,9593,-3874,0.0,,9909,6764.0,4831.0,1933.0,,3145,15628,,1687,1687,,,,776,,,,,,5087,,,5087,7550,8635,,,,,1642,,,,1642,10277,17827,0.0,2667.0,,,-11349,19859.0,-644,10533,0.0,10533,28360,
06/30/2004,28985,6844,3158,3686,3508,3508.0,,1674,233.0,431.0,1008.0,2.0,1142,,,,,,13168,5658,9612,-3954,0.0,,10159,6806.0,4897.0,1909.0,,3353,15817,,1718,1718,,,,1009,,,,,,5716,,,5716,8443,8376,,,,,1735,,,,1735,10111,18554,0.0,2693.0,,,-11340,19842.0,-764,10431,0.0,10431,28985,
09/30/2004,30176,7253,3381,3872,3808,3808.0,,1765,257.0,483.0,1023.0,2.0,1057,,,,,,13883,5655,9746,-4091,0.0,,10638,6829.0,4908.0,1921.0,,3809,16293,,1812,1812,,,,1650,1650.0,0.0,0.0,,,5623,,,5623,9085,8540,8540.0,0.0,0.0,,1888,,,,1888,10428,19513,0.0,2695.0,,,-11334,20056.0,-754,10663,0.0,10663,30176,
12/31/2004,30435,7474,3680,3794,4373,4373.0,,1830,275.0,458.0,1097.0,0.0,1124,,,,,,14801,5765,10009,-4244,0.0,,9869,8637.0,4905.0,3732.0,,1232,15634,,2127,2127,,,,1883,1883.0,0.0,0.0,,,5833,,,5833,9843,8463,8463.0,0.0,0.0,,1927,,,,1927,10390,20233,0.0,2711.0,,,-11311,19651.0,-849,10202,0.0,10202,30435,
03/31/2005,28407,5982,3311,2671,3647,3647.0,,1925,312.0,562.0,1051.0,0.0,1102,,,,,,12656,5673,9854,-4181,0.0,,10078,7075.0,4905.0,2170.0,,3003,15751,,1873,1873,,,,244,244.0,0.0,0.0,,,5732,,,5732,7849,8326,8326.0,0.0,0.0,,1851,,,,1851,10177,18026,0.0,2737.0,,,-11224,19638.0,-770,10381,0.0,10381,28407,
06/30/2005,25233,3040,1798,1242,3315,3315.0,,1993,288.0,716.0,989.0,,1004,,,,,,9352,5642,9902,-4260,,,10239,6908.0,4825.0,2083.0,,3331,15881,,1320,1320,,,,292,,,,,,5015,,,5015,6627,6008,,,,,1797,,,,1797,7805,14432,,2745.0,,,-11193,20096.0,-847,10801,,10801,25233,
09/30/2005,25609,3781,2129,1652,3305,3305.0,,2053,348.0,789.0,916.0,,1006,,,,,,10145,5649,9912,-4263,,,9815,6812.0,4824.0,1988.0,,3003,15464,,1342,1342,,,,277,,,,,,5003,,,5003,6622,5895,,,,,1824,,,,1824,7719,14341,,2747.0,,,-11181,20512.0,-810,11268,,11268,25609,
12/31/2005,28138,5799,3050,2749,3378,3378.0,,2060,514.0,679.0,867.0,0.0,1046,,,,,,12283,5693,9984,-4291,0.0,,10162,6744.0,4823.0,1921.0,,3418,15855,,1579,1579,,,,231,231.0,0.0,0.0,,,5080,,,5080,6890,8364,8364.0,0.0,0.0,,1676,,,,1676,10040,16930,0.0,2748.0,,,-11168,20464.0,-836,11208,0.0,11208,28138,
03/31/2006,27461,5281,2477,2804,3236,3236.0,,2147,526.0,754.0,867.0,,920,,,,,,11584,5669,10032,-4363,,,10208,6883.0,4822.0,2061.0,,3325,15877,,1244,1244,,,,234,,,,,,4522,,,4522,6000,8278,,,,,1627,,,,1627,9905,15905,,2658.0,,,-10954,20627.0,-775,11556,,11556,27461,
06/30/2006,27402,5357,2602,2755,3326,3326.0,,2205,532.0,757.0,916.0,0.0,916,,,,,,11804,5701,10195,-4494,0.0,,9897,6858.0,4829.0,2029.0,,3039,15598,,1263,1263,,,,189,189.0,0.0,0.0,,,4377,,,4377,5829,8239,8239.0,0.0,0.0,,1622,,,,1622,9861,15690,0.0,2693.0,,,-10950,20743.0,-774,11712,0.0,11712,27402,
09/30/2006,27215,5505,2834,2671,2945,2945.0,,2297,496.0,823.0,978.0,,901,,,,,,11648,5715,10148,-4433,,,9852,6761.0,4828.0,1933.0,,3091,15567,,1174,1174,,,,630,,,,,,4361,,,4361,6165,7837,,,,,1624,,,,1624,9461,15626,,2713.0,,,-10945,20531.0,-710,11589,,11589,27215,
12/31/2006,25575,4013,2018,1995,3247,3247.0,,2079,394.0,682.0,1003.0,2079.0,963,,,,,,10302,5673,10144,-4471,0.0,,9600,6681.0,4829.0,1852.0,,2919,15273,,1239,1239,,,,187,,,,,,5070,,,5070,6496,7248,,,,,1840,,,,1840,9088,15584,0.0,2718.0,,,-10927,19845.0,-1645,9991,0.0,9991,25575,
03/31/2007,26091,4012,2214,1798,3381,3381.0,,2096,439.0,761.0,896.0,0.0,1069,,,,,,10558,5709,10286,-4577,0.0,,9824,6606.0,4831.0,1775.0,,3218,15533,,1315,1315,,,,241,241.0,0.0,0.0,,,4751,,,4751,6307,7132,7132.0,0.0,0.0,,2391,,,,2391,9523,15830,0.0,2740.0,,,-10896,20011.0,-1594,10261,0.0,10261,26091,
09/30/2007,26098,3582,1647,1935,3704,3704.0,,2269,508.0,861.0,900.0,,1039,,,,,,10594,5853,10538,-4685,,,9651,6463.0,4831.0,1632.0,,3188,15504,,1343,1343,,,,1879,,,,,,4829,,,4829,8051,4248,,,,,2646,,,,2646,6894,14945,,2816.0,,,-10611,20463.0,-1515,11153,,11153,26098,
12/31/2007,25926,2225,1801,424,3994,3994.0,,2162,424.0,834.0,904.0,,1721,,,,,,10102,5650,10214,-4564,,,10174,6328.0,4998.0,1330.0,,3846,15824,,1442,1442,,,,1891,,,,,,5065,,,5065,8398,4381,,,,,2585,,,,2585,6966,15364,,2942.0,,,-10584,19762.0,-1558,10562,,10562,25926,
03/31/2008,26325,2637,2443,194,4541,4541.0,,2336,516.0,890.0,930.0,0.0,1066,,,,,,10580,5567,10076,-4509,,,10178,6283.0,4997.0,1286.0,,3895,15745,,1575,1575,,,,1781,,,,,,5087,,,5087,8443,4660,,,,,2661,,,,2661,7321,15764,0.0,2970.0,,,-10571,19808.0,-1646,10561,,10561,26325,
06/30/2008,28064,4402,4047,355,4469,4469.0,,2156,490.0,784.0,882.0,0.0,1809,,,,,,12836,5403,9746,-4343,,,9825,6122.0,4877.0,1245.0,,3703,15228,,1628,1628,,,,1799,,,,,,5213,,,5213,8640,6021,,,,,2625,,,,2625,8646,17286,,2995.0,,,-10570,19957.0,-1604,10778,,10778,28064,
09/30/2008,28476,7431,7173,258,4224,4224.0,,2055,421.0,772.0,862.0,0.0,1069,,,,,,14779,5360,9578,-4218,,,8337,6053.0,4841.0,1212.0,,2284,13697,,1441,1441,,,,135,,,,,,5375,,,5375,6951,6120,,,,,2467,,,,2467,8587,15538,,3020.0,,,-10571,21919.0,-1430,12938,,12938,28476,
