Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
06/30/2000,182.907,31.007,76.966,3.471,12.44,-8.969,71.463,63.878,22.01,-14.425,,-346.573,-96.077,0.0,,-96.077,,,,,,,,,,-250.496,145.733,-16.663,161.67,,,,0.0,0.0,0.0,0.726,,-17.933,31.1,39.1,
09/30/2000,98.903,84.6,73.07,-61.184,31.904,-93.088,2.417,-12.19,-20.215,34.822,,97.529,-55.943,0.0,,-55.943,,,,,,,,,,153.472,-110.691,-8.633,-98.871,,,,0.0,0.0,0.0,-3.187,,85.741,1.2,37.7,
12/31/2000,150.988001,23.403003,73.947994,3.933997,46.046,-42.112003,49.703002,37.889,-67.37,79.184002,,-239.886002,-259.433993,,,-259.433993,,,,,,,,,,19.547991,1.977001,-16.446,19.729,,,,,,,-1.305999,,-86.920996,4.194,38.067003,
03/31/2001,48.792999,-35.5,73.367996,37.424999,-33.469,70.893999,-26.5,-59.553,73.951,-40.898,,83.005997,91.028,159.554001,,-68.526001,,,0.0,0.0,0.0,,,,,-8.022003,-127.703995,-8.645,-116.712995,,,,0.0,0.0,0.0,-2.346,,4.095,8.1,33.299999,
06/30/2001,178.134001,19.679,74.753004,14.460001,10.371,4.089001,69.242,46.126,4.122,18.994,,-98.951997,-237.245,,,-237.245,,,,,,,,,,138.293003,-77.169998,-16.247,-62.627005,,,,0.0,0.0,0.0,1.704007,,2.012,2.5,36.100001,
09/30/2001,46.494,14.98,72.048,11.403,,11.403,-51.937,,,-51.937,,-87.139,-88.857,,,-88.857,,,,,,,,,,1.718,41.612,-8.659,36.835,,,,0.0,0.0,0.0,13.436,,0.967,8.1,28.7,
12/31/2001,134.130005,-41.66,75.853996,46.381001,,46.381001,53.555,,,53.555,,-131.425995,-105.683998,0.0,,-105.683998,,,0.0,0.0,0.0,,,,,-25.741997,-15.895992,-16.17,-163.319998,,,,165.225006,165.225006,0.0,-1.631,,-13.192,-5.7,31.9,
03/31/2002,0.515,-6.62,72.734001,10.775,,10.775,-76.374001,,,-76.374001,,-63.132,-45.818001,0.0,,-45.818001,,,0.0,0.0,0.0,,,,,-17.313999,62.204996,-8.746,70.595996,,,,0.0,0.0,0.0,0.355,,-0.412,3.8,26.4,
06/30/2002,145.664001,3.243,78.690002,21.443001,,21.443001,42.287998,,,42.287998,,-63.421001,-56.213001,0.0,,-56.213001,,,0.0,0.0,0.0,,,,,-7.208,-59.489001,-16.049999,-40.130002,,,,0.0,0.0,0.0,-3.309,,22.754,3.4,30.1,
09/30/2002,76.984001,8.51,78.346001,-24.923,,-24.923,15.051,,,15.051,,-49.513,-53.640999,0.0,,-53.640999,,,0.0,0.0,0.0,,,,,4.127999,-16.986,-8.762,-6.571,,,,0.0,0.0,0.0,-1.653,,10.485,1.0,31.799999,
12/31/2002,85.316002,6.207,77.203003,5.609,,5.609,-3.703,,,-3.703,,-102.572998,-81.473,0.0,,-81.473,,,0.0,0.0,0.0,,,,,-21.099998,-7.12,-15.907,10.622,,,,0.0,0.0,0.0,-1.835,,-24.377001,-20.9,25.799999,
03/31/2003,42.361,-27.546,75.582001,8.645,-13.304,21.949,-14.32,-47.848,33.507999,0.020001,,-47.466,-45.672001,0.0,,-45.672001,,,0.0,0.0,0.0,,,,,-1.793999,25.209003,-8.773,36.641003,,,,0.0,0.0,0.0,-2.659,,20.104,17.200001,37.5,
06/30/2003,106.479,-3.934,73.729999,18.465,-6.667,25.132,18.218,-21.051,27.876001,11.392999,,-68.183,-66.592999,0.0,,-66.592999,,,0.0,0.0,0.0,,,,,-1.590001,-25.312,-15.719,-6.846003,,,,0.0,0.0,0.0,-2.746997,,12.984,5.199999,23.9,
09/30/2003,18.621,32.884,78.019,-23.645,11.777,-35.422,-68.637,-74.833,5.44,0.756,,-47.171,-42.796,0.0,,-42.796,,,0.0,0.0,0.0,,,,,-4.375,24.854,-8.76,31.272,,,,0.0,0.0,0.0,2.342,,-3.696,3.5,28.3,
12/31/2003,157.238005,6.868,80.517999,51.376999,2.385,48.991999,18.475,121.336,6.475004,-109.336004,,-510.797981,-68.028005,0.0,,-68.028005,,,0.0,0.0,0.0,,,,,-442.769976,383.894996,-15.613002,405.24397,,,,8.554,8.554,0.0,-14.289972,,30.335001,-0.4,38.600003,
03/31/2004,-95.971001,59.123001,98.348999,-66.407997,27.454,-93.861997,-187.035004,-137.524994,18.684,-68.19401,,13.799,-70.339996,0.0,,-70.339996,,,0.0,0.0,0.0,,,,,84.138996,206.972005,-12.888,209.782005,,,,0.0,0.0,0.0,10.078,,124.800003,5.9,34.400002,
06/30/2004,79.137001,50.381,100.693001,10.239996,23.655,-13.415004,-82.176996,-46.410006,-1.742,-34.02499,,21.496,-81.001004,0.0,,-81.001004,,,0.0,0.0,0.0,,,,,102.497004,-170.118,-19.71,-159.743005,,,,0.0,0.0,0.0,9.335005,,-69.485003,9.8,50.199998,
09/30/2004,-103.187,62.169,102.13,59.995,35.077,24.918,-327.481,,,-327.481,,-68.407,-76.8,0.0,,-76.8,,,0.0,0.0,0.0,,,,,8.393,159.706,-13.043,350.599,,,,0.0,0.0,0.0,-177.85,,-11.888,7.0,30.3,
12/31/2004,-330.777,0.695,53.81,-239.386,-16.755,-222.631,-145.896,-64.165,-136.807,55.076,,1677.869,-64.045,0.0,,-64.045,,,0.0,0.0,0.0,,,,,1741.914,-272.856,-18.444,-315.736,,,,87.09,210.323,-123.233,-25.766,,1074.236,20.9,52.7,
03/26/2005,-330.258,-5.292,35.848,-22.87,3.516,-26.386,-337.944,-80.454,151.744,-409.234,,-45.594,-25.375,0.0,,-25.375,,,0.0,0.0,0.0,,,,,-20.219,-119.912,-13.933,-119.426,,,,0.0,0.0,0.0,13.447,,-495.764,131.2,14.4,
06/25/2005,111.039,-21.538,37.385,115.544,97.94,17.604,-20.352,282.332,-151.744,-150.94,,42.276,-33.728,0.0,,-33.728,,,0.0,0.0,0.0,,,,,76.004,-842.754,-14.076,-57.015,,,,-780.351,0.0,-780.351,8.688,,-689.439,23.0,43.2,
09/24/2005,118.19,-3.875,37.937,21.667,6.654,15.013,62.461,,,62.461,,-44.357,-50.166,0.0,,-50.166,,,0.0,0.0,0.0,,,,,5.809,-52.732,-12.884,-36.49,,,,-0.056,0.0,-0.056,-3.302,,21.101,4.9,9.8,
12/31/2005,43.331,-43.059,39.975,-55.542,-113.117,57.575,101.957,-370.579,32.809,439.727,,-49.662,-43.181,0.0,,-43.181,,,0.0,0.0,0.0,,,,,-6.481,0.089,-13.303,14.264,,,,17.508,24.747,-7.239,-18.38,,-6.242,-25.0,55.2,
04/01/2006,71.945,-25.087,31.114,23.8,,23.8,42.118,50.234,200.073,-208.189,,-22.725,-23.321,0.0,,-23.321,,,0.0,0.0,0.0,,,,,0.596,-44.774,-10.62,-34.454,,,,0.0,0.0,0.0,0.3,,4.446,3.0,10.7,
07/01/2006,79.035,27.395,29.202,27.849,,27.849,-5.411,22.577,-55.352,27.364,,-23.675,-23.675,0.0,,-23.675,,,0.0,0.0,0.0,,,,,0.0,41.952,-12.648,-49.69,,,,104.59,104.623,-0.033,-0.3,,97.312,18.1,11.1,
09/30/2006,188.785,31.375,32.254,-3.684,,-3.684,128.84,-23.839,61.169,91.51,,-45.937,-49.779,0.0,,-49.779,,,0.0,0.0,0.0,,,,,3.842,-3.05,-11.108,0.0,,,,8.058,8.059,-0.001,0.0,,139.798,-41.5,5.3,
12/30/2006,35.874,58.038,35.242,2.598,,2.598,-60.004,-19.846,-162.889,122.731,,-71.599,-65.661,12.333,,-77.994,,,0.0,0.0,0.0,,,,,-5.938,4.009,-13.17,-0.132,,,,17.253,17.286,-0.033,0.058,,-31.684,21.0,221.1,
03/31/2007,-80.915,58.539,32.083,-24.045,,-24.045,-147.492,9.016,53.451,-209.959,,-28.124,-28.124,0.0,,-28.124,,,0.0,0.0,0.0,,,,,0.0,-33.386,-11.235,-25.681,,,,3.903,3.903,0.0,-0.373,,-142.425,6.4,9.4,
06/30/2007,123.072,27.436,33.023,96.616,,96.616,-34.003,23.87,-35.092,-22.781,,-33.264,-31.316,0.0,,-31.316,,,0.0,0.0,0.0,,,,,-1.948,-8.838,-13.218,6.985,,,,1.308,1.308,0.0,-3.913,,80.97,37.0,11.2,
09/29/2007,-10.704,49.929001,32.405998,1.942,,1.942,-94.981003,-206.453995,67.970001,43.502991,,-40.699001,-41.898998,0.0,,-41.898998,,,0.0,0.0,0.0,,,,,1.199997,-21.861,-11.305,-6.786,,,,0.641,0.641,0.0,-4.411,,-73.264,25.200001,5.8,
12/29/2007,39.151,71.469,34.061,-35.451,,-35.451,-30.928,34.448,-89.914,24.538,,-36.847,-36.27,3.234,,-39.504,,,0.0,0.0,0.0,,,,,-0.577,2.982,-13.345,13.928,,,,-7.82,,-7.82,10.219,,5.286,20.9,90.2,
03/29/2008,142.426,63.343,35.254,-11.493,,-11.493,55.322,39.431,104.738,-88.847,,-32.975,-33.278,0.0,,-33.278,,,0.0,0.0,0.0,,,,,0.303,-50.729,-11.499,-30.451,,,,0.0,0.0,0.0,-8.779,,58.722,29.2,4.9,
06/28/2008,-7.792,-894.22,34.887,900.378,,900.378,-48.837,17.093,-26.899,-39.031,,-33.703,-42.684,0.0,,-42.684,,,0.0,0.0,0.0,,,,,8.981,-13.942,-11.385,-0.041,,,,0.0,0.0,0.0,-2.516,,-55.437,-29.2,4.9,
09/27/2008,112.094,-431.882,35.094,403.194,,403.194,105.688,2.374,8.166,95.148,,-35.947,-36.103,0.0,,-36.103,,,0.0,0.0,0.0,,,,,0.156,2.442,-11.475,4.1,,,,0.0,0.0,0.0,9.817,,78.589,19.4,4.2,
12/27/2008,-23.051,-395.172,37.661,407.805,,407.805,-73.343,60.235,12.106,-145.684,,-9.499,-31.903,0.0,,-31.903,,,20.252,20.252,0.0,,,,,2.152,-31.182,-11.115,-13.598,,,,-7.376,0.0,-7.376,0.907,,-63.732,-59.3085,-18.81,
03/28/2009,3.088,13.919,29.867,0.334,,0.334,-41.032,-9.254,126.362,-158.14,0.0,-10.523,-10.871,0.0,0.0,-10.871,-10.871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.348,-14.215,-1.621,-9.788,-4.553,,-5.235,0.0,0.0,0.0,-2.806,0.126,-21.524,21.5,5.3,
06/27/2009,111.119,-16.947,30.552,56.523,,56.523,40.991,58.068,36.928,-54.005,0.0,32.693,-7.72,0.0,0.0,-7.72,-7.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.413,-6.304,-0.041,-10.513,0.088,,-10.601,0.0,0.0,0.0,4.25,9.076,146.584,1.1,6.7,
09/26/2009,254.929,6.277,28.274,0.078,,0.078,220.3,-17.888,61.004,177.184,0.0,-5.3,-5.355,0.0,0.0,-5.355,-5.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055,-2.89,-1.39,-1.509,-7.015,6.255,-0.749,0.0,0.0,0.0,0.009,4.368,251.107,-22.6,-7.6,
12/26/2009,-10.192,-2.582,27.724,2.283,,2.283,-37.617,-4.592,-60.267,27.242,0.0,-14.048,-14.331,0.0,0.0,-14.331,-14.331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283,-37.149,-0.037,-35.906,0.445,0.0,-36.351,-6.079,0.0,-6.079,4.873,1.013,-60.376,,67.4,
03/27/2010,64.028,25.448,26.415,-2.944,,-2.944,15.109,0.964,81.954,-67.809,0.0,-8.83,-9.245,0.0,0.0,-9.245,-9.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.415,-3.011,-1.348,-0.836,-0.174,,-0.662,-0.834,0.808,-1.642,0.007,0.987,53.174,,5.7,
06/26/2010,3.96,12.44,25.523,-0.612,,-0.612,-33.391,31.17,-41.005,-23.556,0.0,-19.146,-19.344,0.0,0.0,-19.344,-19.344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.198,-1.413,0.0,-0.861,0.174,,-1.035,-2.331,0.0,-2.331,1.779,-1.942,-18.541,,11.0,
09/26/2010,87.99,20.539,24.648,-5.291,,-5.291,48.094,-28.132,7.278,68.948,0.0,-20.57,-21.564,0.0,0.0,-21.564,-21.564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.994,-3.248,-1.227,-1.644,-0.626,,-1.018,-0.43,0.378,-0.808,0.053,2.561,66.733,5.9,3.6,
12/25/2010,-67.841,12.728,24.35,-9.391,,-9.391,-95.528,2.676,-75.833,-22.371,0.0,-38.792,-43.358,0.0,0.0,-43.358,-43.358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.566,-20.797,-0.123,-19.171,-0.028,,-19.143,0.323,0.775,-0.452,-1.826,1.82,-125.61,-5.9,-20.3,
03/26/2011,0.871,11.903,20.918,-7.5,,-7.5,-24.45,0.996,98.538,-123.984,0.0,-16.94,-17.012,0.0,0.0,-17.012,-17.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072,-3.731,-1.142,0.274,1.336,,-1.062,1.53,1.803,-0.273,-4.393,1.565,-18.235,,5.3,
06/25/2011,25.78,-2.458,21.637,-2.351,,-2.351,8.952,5.868,-30.201,33.285,0.0,-11.114,-11.18,0.0,0.0,-11.18,-11.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066,-3.409,0.0,-6.697,0.307,,-7.004,-1.117,0.146,-1.263,4.405,2.944,14.201,,10.0,
09/24/2011,52.092,22.033,21.204,2.046,,2.046,6.809,-21.571,8.912,19.468,0.0,-13.326,-13.357,0.0,0.0,-13.357,-13.357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,-4.14,-1.082,-3.115,-1.623,,-1.492,-0.088,0.0,-0.088,0.145,-7.492,27.134,12.087,23.1,
12/31/2011,-25.064,3.416,20.459,-15.699,,-15.699,-33.24,0.033,-59.98,26.707,0.0,-27.993,-28.083,0.0,0.0,-28.083,-28.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,-6.672,-1.062,-1.432,0.0,,-1.432,-0.501,0.0,-0.501,-3.677,1.414,-58.315,1.437,31.4,
03/31/2012,86.508,5.388,19.091,9.164,,9.164,52.865,25.58,79.894,-52.609,0.0,-13.941,-15.532,0.0,0.0,-15.532,-15.532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.591,-0.358,0.0,-0.621,1.485,,-2.106,0.196,0.196,0.0,0.067,2.009,74.218,,4.8,
06/30/2012,-4.37,11.249,18.175,-21.345,,-21.345,-12.449,14.729,-31.765,4.587,0.0,-17.045,-17.04,0.0,0.0,-17.04,-17.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005,-31.898,-1.046,-30.6,5.413,,-36.013,-0.187,0.0,-0.187,-0.065,-3.512,-56.825,,9.9,
09/29/2012,75.692,433.508,18.438,-433.768,,-433.768,57.514,-11.949,20.909,48.554,0.0,-15.52,-15.601,0.0,0.0,-15.601,-15.601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081,-3.45,-1.746,-1.904,-0.832,,-1.072,0.202,0.202,0.0,-0.002,4.796,61.518,9.104,23.3,
12/29/2012,27.371,-33.355,18.42,36.16,227.111,-190.951,6.146,9.008,-48.53,45.668,0.0,-38.738,-39.005,0.0,0.0,-39.005,-39.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.267,0.87,-2.774,-0.793,-0.097,,-0.696,-0.228,0.631,-0.859,4.665,-0.469,-10.966,26.263,26.6,
03/30/2013,32.86,56.842,18.356,-3.251,34.369,-37.62,-39.087,-20.468,98.503,-117.122,0.0,57.385,-28.363,0.0,0.0,-28.363,-28.363,0.0,83.307,83.307,0.0,0.0,0.0,0.0,0.0,2.441,-5.37,-1.74,0.498,-0.033,1.659,-1.128,0.532,0.532,0.0,-4.66,-0.775,84.1,,4.5,
06/29/2013,-12.128,-9.532,18.572,-51.016,-1.712,-49.304,29.848,33.518,-39.536,35.866,0.0,-15.251,-19.914,0.0,0.0,-19.914,-19.914,0.0,4.388,4.388,0.0,0.0,0.0,0.0,0.0,0.275,-3.635,-2.746,-1.25,-0.111,0.0,-1.139,0.381,0.713,-0.332,-0.02,-6.151,-37.165,,8.2,
09/28/2013,64.492,30.885,19.002,54.49,30.32,24.17,-39.885,-31.936,49.82,-57.769,0.0,29.521,-17.008,0.0,0.0,-17.008,-17.008,0.0,46.409,46.409,0.0,0.0,0.0,0.0,0.0,0.12,-135.037,-132.448,-3.041,-1.933,0.0,-1.108,0.527,1.109,-0.582,-0.075,3.234,-37.79,8.697,23.3,
06/30/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,
