Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/30/2004,6878,510,389,121,942,942.0,,621,220.0,86.0,315.0,0.0,331,,,,2404,1283,,,804.0,515.0,,2387,65.0,,,,,2322,4474,,1159,1159,,,,262.0,,,,,961,,,961,2382,2221,,,,,1907,,,,1907,4128,6510,4.0,2121.0,,,-147.0,0.0,-1610.0,368,0.0,368,6878,
07/31/2004,6872,479,473,6,749,749.0,,787,248.0,69.0,470.0,0.0,338,,,,2353,1333,,,1302.0,424.0,,1884,70.0,,,,,1814,4519,,1134,1134,,,,259.0,,,,,856,,,856,2249,2324,,,,,1908,,,,1908,4232,6481,4.0,2087.0,,,-146.0,0.0,-1554.0,391,0.0,391,6872,
10/31/2004,8750,785,603,182,1944,1944.0,,1162,242.0,51.0,869.0,0.0,170,,,,4061,1942,3594.0,-1652.0,0.0,,,2747,76.0,53.0,23.0,,150.0,2521,4689,,1564,1564,,,,1662.0,,,,,1515,,,1515,4741,3620,,,,,2241,,,,2241,5861,10602,4.0,2076.0,,,-182.0,-2832.0,-918.0,-1852,0.0,-1852,8750,
01/31/2005,7493,618,540,78,806,806.0,,865,261.0,60.0,544.0,0.0,392,,,,2681,1403,,,1683.0,320.0,,1726,0.0,,,,,1726,4812,,1286,1286,,,,1434.0,,,,,1017,,,1017,3737,1415,,,,,1793,,,,1793,3208,6945,4.0,2085.0,,,-172.0,-585.0,-784.0,548,0.0,548,7493,
04/30/2005,8263,825,665,160,1114,1114.0,,1008,322.0,102.0,584.0,0.0,381,,,,3328,1492,,,1553.0,529.0,,1890,0.0,,,,,1890,4935,,1527,1527,,,,1455.0,,,,,1015,,,1015,3997,1855,,,,,1795,,,,1795,3650,7647,4.0,2084.0,,,-170.0,-533.0,-769.0,616,0.0,616,8263,
07/31/2005,8767,1312,593,719,962,962.0,,1064,332.0,57.0,675.0,0.0,393,,,,3731,1533,,,1631.0,523.0,,1872,0.0,,,,,1872,5036,,1383,1383,,,,1170.0,,,,,996,,,996,3549,2720,,,,,1810,,,,1810,4530,8079,4.0,2078.0,,,-168.0,-470.0,-756.0,688,0.0,688,8767,
10/31/2005,10786,920,829,91,2379,2379.0,,1330,323.0,56.0,951.0,0.0,223,,,,4852,2083,3795.0,-1712.0,0.0,,,3851,601.0,314.0,287.0,,161.0,3089,5934,,1869,1869,,,,980.0,,,,,1839,,,1839,4688,5409,,,,,2388,,,,2388,7797,12485,4.0,2074.0,,,-168.0,-2699.0,-910.0,-1699,0.0,-1699,10786,
10/31/2006,12830,1293,1157,136,3127,3127.0,,1736,438.0,92.0,1206.0,0.0,212,,,,6368,2157,4093.0,-1936.0,2598.0,,,1707,606.0,313.0,293.0,,207.0,894,6462,,2222,2222,,,,891.0,,,,,1719,,,1719,4832,6755,,,,,2357,,,,2357,9112,13944,4.0,2097.0,,,-166.0,-2399.0,-650.0,-1114,0.0,-1114,12830,
10/31/2007,11448,777,777,0,2941,,,1412,351.0,175.0,886.0,0.0,315,,,,5445,2086,4285.0,-2199.0,2478.0,,,1439,639.0,353.0,286.0,,,800,6003,,1770,1770,,,,798.0,,,,,1423,,,1423,3991,6223,,,,,2108,,,,2108,8331,12322,4.0,1961.0,,,-165.0,-2519.0,-155.0,-874,0.0,-874,11448,
01/31/2008,11498,615,594,21,2794,,,1502,323.0,264.0,859.0,56.0,277,,,,5188,2006,4263.0,-2257.0,2388.0,,,1916,627.0,350.0,277.0,,168.0,1121,6310,,1786,1786,,,,840.0,,,,,1243,,,1243,3869,6463,,,,,2117,,,,2117,8580,12449,4.0,1969.0,,,-165.0,-2589.0,-170.0,-951,,-951,11498,
04/30/2008,11710,713,675,38,3142,1132.0,,1460,357.0,204.0,841.0,58.0,282,,,,5597,1980,4246.0,-2266.0,2330.0,,,1803,632.0,359.0,273.0,,175.0,996,6113,,2139,2139,,,,856.0,,,,,1203,,,1203,4198,6166,,,,,2062,,,,2062,8228,12426,4.0,1969.0,,,-165.0,-2378.0,-146.0,-716,0.0,-716,11710,
07/31/2008,11702,696,678,18,3048,1241.0,,1692,505.0,303.0,859.0,25.0,287,,,,5723,1963,4310.0,-2347.0,2246.0,,,1770,651.0,378.0,273.0,,177.0,942,5979,,2148,2148,,,,803.0,,,,,1228,,,1228,4179,5875,,,,,1978,,,,1978,7853,12032,4.0,1958.0,,,-139.0,-2048.0,-105.0,-330,0.0,-330,11702,
10/31/2008,10390,861,861,0,2814,,,1628,411.0,219.0,995.0,3.0,232,,,,5535,1501,3104.0,-1603.0,1979.0,,,1375,529.0,297.0,232.0,,,846,4855,,2027,2027,,,,665.0,,,,,1183,,,1183,3875,5552,,,,,2458,,,,2458,8010,11885,4.0,1973.0,,,-137.0,-2392.0,-943.0,-1495,0.0,-1495,10390,
01/31/2009,9623,646,497,149,804,804.0,0.0,1813,361.0,353.0,1056.0,43.0,1839,54.0,42.0,1763.0,5102,1447,3075.0,-1628.0,27.0,,27.0,3047,499.0,279.0,220.0,,162.0,2290,4521,,1680,1680,,,,794.0,0.0,,,794.0,1261,,106.0,1261,3735,4611,4611.0,,,,2746,,1999.0,,641,7357,11092,4.0,2099.0,7.0,2092.0,-144.0,-2158.0,-1270.0,-1469,0.0,-1469,9623,
04/30/2009,9657,718,718,0,794,794.0,0.0,1646,386.0,265.0,952.0,43.0,1891,49.0,46.0,1816.0,5049,1419,3117.0,-1698.0,1746.0,,1746.0,1443,498.0,287.0,211.0,,154.0,696,4608,,1525,1525,,,,579.0,0.0,,,579.0,1160,,95.0,1160,3264,5084,5084.0,,,,2756,,1995.0,97.0,569,7840,11104,4.0,2111.0,7.0,2104.0,-164.0,-2146.0,-1252.0,-1447,0.0,-1447,9657,
07/31/2009,9384,821,821,0,661,661.0,0.0,1731,546.0,186.0,955.0,44.0,1759,43.0,41.0,1684.0,4972,1527,3276.0,-1749.0,1635.0,,1635.0,1250,566.0,306.0,260.0,,46.0,554,4412,,1567,1567,,,,2063.0,0.0,,,2063.0,1162,,79.0,1162,4792,3157,3157.0,,,,2729,,1993.0,109.0,548,5886,10678,4.0,2113.0,7.0,2106.0,-154.0,-2158.0,-1157.0,-1352,58.0,-1294,9384,
10/31/2009,10028,1212,1212,0,855,855.0,0.0,1666,560.0,214.0,840.0,52.0,2015,32.0,57.0,1902.0,5748,1467,3232.0,-1765.0,1524.0,,1524.0,1289,582.0,318.0,264.0,,62.0,556,4280,,1872,1872,0.0,0.0,0.0,1136.0,0.0,,,1136.0,1177,0.0,56.0,1167,4185,4156,4156.0,,,,3361,0.0,2595.0,142.0,568,7517,11702,4.0,2188.0,7.0,2181.0,-149.0,-2101.0,-1677.0,-1735,61.0,-1674,10028,
01/31/2010,9126,740,690,50,692,692.0,0.0,1734,656.0,234.0,844.0,0.0,1802,22.0,56.0,1686.0,4968,1442,3249.0,-1807.0,26.0,,26.0,2690,590.0,311.0,279.0,,80.0,1942,4158,,1580,1580,,,,1023.0,0.0,,,1023.0,1088,,38.0,1084,3691,3761,3761.0,,,,3296,,2551.0,169.0,538,7057,10748,4.0,2194.0,7.0,2187.0,-145.0,-2055.0,-1677.0,-1679,57.0,-1622,9126,
