Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
04/01/2009,84.075,16.562,21.83,17.903,4.048,12.744,1.111,27.78,,1.939,21.613,4.228,0.0,-46.997,-46.095,0,0.0,-46.095,-46.095,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.902,-4.787,0,-4.794,-2.638,-2.156,0.007,0.007,0.0,0.0,32.291,,,
06/24/2009,79.017,9.395,24.344,16.304,3.918,7.922,4.464,28.974,,-5.962,14.912,20.024,0.0,-65.918,-63.385,0,0.0,-63.385,-63.385,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-2.533,-7.623,0,-7.655,-5.275,-2.38,0.032,0.032,0.0,0.0,5.476,,,
09/16/2009,16.201,-8.058,22.853,6.725,3.296,-0.047,3.476,-5.319,,25.239,-35.284,4.726,,-29.607,-27.613,0,0.0,-27.613,-27.613,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-1.994,-12.012,0,-12.054,-9.535,-2.519,0.042,0.042,0.0,0.0,-25.418,,,
01/06/2010,30.748,2.095,30.413,7.642,6.167,0.059,1.416,-9.402,,-13.261,37.434,-33.575,,-53.104,-51.247,0,0.0,-51.247,-51.247,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-1.857,19.225,0,19.188,22.633,-3.445,0.037,0.037,0.0,0.0,-3.131,,,
03/31/2010,87.761,20.881,24.209,5.679,4.021,0.045,1.613,36.992,,-17.809,-2.15,56.951,,-39.272,-43.669,0,0.0,-43.669,-43.669,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.397,-18.934,0,-18.968,-16.317,-2.651,-0.079,0.0,-0.079,0.113,29.555,,,
06/30/2010,37.309,13.979,26.079,5.146,3.5,0.108,1.538,-7.895,,13.272,-1.368,-19.799,,-65.761,-66.533,0,0.0,-66.533,-66.533,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.772,-3.05,0,-3.081,-0.303,-2.778,0.0,0.079,-0.079,0.031,-31.502,,,
09/22/2010,-8.995,-76.791,27.038,-5.316,2.586,0.047,-7.949,46.074,,36.151,13.306,-3.383,,-21.397,-31.401,0,0.0,-31.401,-31.401,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10.004,8.367,0,8.333,11.223,-2.89,0.0,0.0,0.0,0.034,-22.025,,,
01/12/2011,2.992,-24.005,35.432,8.134,2.404,0.064,5.666,-16.569,,22.903,-13.306,-26.166,,-12.931,-13.243,0,0.0,-13.243,-13.243,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.312,-11.801,0,-11.841,-7.965,-3.876,0.0,0.0,0.0,0.04,-21.74,,,
04/06/2011,86.009,23.365,26.622,4.21,2.547,0.047,1.616,31.812,,-14.851,16.205,30.458,,-14.26,-14.604,0,0.0,-14.604,-14.604,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.344,-6.799,0,1.568,4.751,-3.183,0.0,0.0,0.0,-8.367,64.95,,,
06/29/2011,64.393,7.301,27.503,3.913,2.66,-0.034,1.287,25.676,,33.748,-2.287,-5.785,,-30.586,-33.384,0,0.0,-33.384,-33.384,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.798,0.445,0,0.563,2.747,-2.184,0.0,0.0,0.0,-0.118,34.252,,,
09/21/2011,-14.036,-24.102,27.44,2.882,2.583,,0.299,-20.256,,-0.146,-23.004,2.894,,-23.671,-24.131,0,0.0,-24.131,-24.131,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.46,-1.6,0,-1.608,1.674,-3.282,0.0,0.0,0.0,0.008,-39.307,,,
01/11/2012,7.274,-17.986,37.543,4.184,3.094,,1.09,-16.467,,-0.815,23.004,-38.656,,-44.204,-45.377,0,0.0,-45.377,-45.377,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.173,-1.833,0,-1.843,5.208,-7.051,0.0,0.0,0.0,0.01,-38.763,,,
