Date,Net Premium Earned (Non-Life & Life),Capital Gains (Losses),Total Investment Income,Other Operating Income,Revenue,Insurance Claims & Charges,Underwriting Costs,Other Operating Expenses,Operating Income or Losses,Interest Expense,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Income Available to Shareholders,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
12/31/1992,286.440002,-0.155,363.957001,68.622002,718.864014,-385.505997,-72.772003,-148.317001,112.268997,,0,112.268997,-37.285999,90.347,0,0.0,90.347,-6.393,83.954,68.589998,0.88,0.88,0.88,95.402,0.88,0.88,0.88,95.402,
03/31/1993,307.588989,-19.160999,362.714996,65.820999,716.963989,-375.030991,-89.239998,-137.639999,115.053001,-19.809999,0,95.243002,-29.407,65.835999,0,0.0,65.835999,-1.688,64.147999,64.148002,,0.64,0.64,100.889,,,,,
06/30/1993,290.0,1.635,376.98999,64.251999,732.877014,-359.387009,-96.198997,-126.975998,150.315002,-18.900999,0,131.414003,-39.883999,91.529999,0,0.0,91.529999,-1.687,89.842999,89.843004,,0.89,0.89,101.032997,,,,,
09/30/1993,279.229004,-7.05,359.545013,74.948997,706.672974,-347.509995,-93.222,-124.130997,141.809998,-15.431,0,126.378998,-52.616001,73.763,0,0.0,73.763,-1.688,72.075001,72.074997,,0.71,0.71,101.223999,,,,,
12/31/1993,290.865997,4.421,362.196014,70.167,727.650024,-349.480987,-99.419998,-127.495003,151.253998,-17.232,0,134.021998,-42.486,91.536003,0,0.0,91.536003,-2.43,89.106003,89.105998,0.81,0.81,0.81,110.528999,0.81,0.81,0.81,110.528999,
03/31/1994,291.492004,-36.733002,378.987,64.513,698.258972,-357.869995,-99.023003,-129.677994,111.688004,-19.236,0,92.452003,-28.444,64.008003,0,0.0,64.008003,-1.163,62.845003,62.845003,,0.62,0.62,101.052002,,,,,
06/30/1994,287.85199,-16.049999,405.945007,67.550003,745.296997,-382.904999,-97.746002,-122.814003,141.832001,-23.704,0,118.128,-35.640999,82.487,0,-0.785,81.702003,0.0,81.702003,81.702001,,0.82,0.82,99.403999,,,,,
09/30/1994,282.994995,-7.196,409.908997,76.580002,762.288025,-391.513,-94.147003,-126.990997,149.636993,-19.681999,0,129.954994,-42.403999,87.551003,0,-1.443,86.108002,0.0,86.108002,86.107995,,0.87,0.87,98.818001,,,,,
12/31/1994,278.848999,-40.368999,416.985992,97.753998,753.219971,-400.536011,-135.697998,-93.769997,123.216003,-23.278999,0,99.937004,-29.413,70.524002,0,-1.441,69.083,0.0,69.083,69.083004,0.7,0.7,0.7,98.001999,0.7,0.7,0.7,98.001999,
03/31/1995,295.411011,-34.155998,459.876007,76.420998,797.552002,-434.423004,-78.045998,-156.968002,128.115005,-26.334,0,101.781006,-30.652,71.128998,0,-1.442,69.686996,0.0,69.686996,69.687005,0.96,0.72,0.72,97.167,,,,,
06/30/1995,310.584015,-16.132,478.201996,83.728996,856.382996,-456.761002,-85.181,-162.789001,151.651993,-28.382,0,123.269993,-37.671001,85.598999,0,-1.443,84.155998,0.0,84.155998,84.155991,1.0,0.88,0.88,96.163002,,,,,
09/30/1995,296.878998,-19.267,462.825989,121.285004,861.723022,-440.054993,-84.579002,-179.391998,157.697006,-27.399,0,130.298006,-40.068001,90.230003,0,-1.441,88.789001,0.0,88.789001,88.789005,1.05,0.93,0.93,95.342003,,,,,
12/31/1995,292.126007,0.555,460.096008,119.565002,872.34198,-425.761001,-192.194,-73.850998,180.535995,-29.885,0,150.650995,-46.609001,105.484001,0,-1.674,103.809998,0.0,103.809998,102.367994,1.08,1.08,1.08,94.772003,1.08,1.08,1.08,94.772003,
03/31/1996,299.0,5.0,468.0,109.0,881.0,-427.0,-99.0,-177.0,178.0,-29.0,0,149.0,-45.0,104.0,0,-1.0,103.0,0.0,103.0,103.0,1.07,1.09,1.09,93.900002,,,,,
06/30/1996,306.0,-5.0,468.0,113.0,882.0,-436.0,-95.0,-177.0,174.0,-30.0,0,144.0,-43.0,101.0,0,-1.0,100.0,0.0,100.0,100.0,1.1,1.07,1.07,93.5,,,,,
09/30/1996,293.0,-8.0,484.0,123.0,892.0,-421.0,-93.0,-198.0,180.0,-30.0,0,150.0,-42.0,108.0,0,-2.0,106.0,0.0,106.0,106.0,1.19,1.13,1.13,93.599998,,,,,
12/31/1996,301.0,12.0,512.0,142.0,967.0,-451.0,-153.0,-160.0,203.0,-22.0,0,181.0,-53.0,128.0,0,-2.0,126.0,-1.0,125.0,125.0,1.28,1.35,1.35,93.800003,,,,,
03/31/1997,304.0,3.0,495.0,149.0,951.0,-457.0,-85.0,-218.0,191.0,-21.0,0,170.0,-50.0,120.0,0,-3.0,117.0,0.0,117.0,117.0,1.22,1.24,1.24,94.199997,,,,,
