Date,Total Assets,Cash & Cash Equivalents,Interbanking Assets,Fed Funds Sold & Repos,Other Interbank Assets,ST And LT Investments,Trading Securities/FVTPL,Available for Sales/FVTOCI,Held to Maturity/Amortized at Cost,Other Investments,Total Commercial Loans,Commercial RE Loans,Other Commercial Loans,Total Consumer Loans,Credit Card Loans,Home Equity Loans,1-4 Family Residential Loans,Auto Loans,Student Loans,Other Consumer Loans,Other Loans,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Total Derivative Assets,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Demand Deposits,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Total Deposits,ST Borrowings & Repos,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Total Derivative Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/2000,256622.0,15053.0,3710.0,,,,,,,,77372.0,,,61310.0,,,,,,,23059.0,161741.0,-3519.0,158222.0,3328.0,,10080.0,8854.0,1226.0,,,,66229.0,,50628.0,109057.0,65895.0,43162.0,0.0,159685.0,30007.0,,,,,,30530.0,,,,,,,,,,,,265.0,12197.0,,,-2076.0,13645.0,810.0,24841.0,0.0,24841.0,,
09/30/2000,261322.0,14986.0,3113.0,,,,,,,,79617.0,,,64518.0,,,,,,,26026.0,170161.0,-3665.0,166496.0,3365.0,,10430.0,9221.0,1209.0,,,0.0,62932.0,,51404.0,112869.0,67855.0,45014.0,0.0,164273.0,24669.0,,,,,,32405.0,,,,,,,,,,,,265.0,12239.0,,,-1285.0,13895.0,1700.0,26814.0,,26814.0,,
12/31/2000,272426.0,16978.0,1598.0,,,,,,,,83829.0,,,67272.0,,,,,,,26374.0,177475.0,-3719.0,173756.0,3415.0,,10486.0,9303.0,1183.0,,,,66193.0,,55096.0,114463.0,,,,169559.0,37925.0,,,,,,24045.0,,,,,,,,,,,,267.0,12231.0,,,-1075.0,14541.0,524.0,26488.0,,26488.0,,
03/31/2001,279670.0,15523.0,2869.0,,,61696.0,,,,,81528.0,,,68238.0,,,,,,,12110.0,161876.0,-3759.0,158117.0,3429.0,,10415.0,9280.0,1135.0,,,0.0,27621.0,,54996.0,116325.0,76612.0,39713.0,0.0,171321.0,29352.0,,,,,,35535.0,,,,,,,,,,16597.0,252805.0,256.0,12248.0,,,-937.0,15176.0,122.0,26865.0,0.0,26865.0,279670.0,
06/30/2001,289758.0,15966.0,3013.0,,,,,,,,84012.0,,,70855.0,,,,,,,36948.0,191815.0,-3760.0,188055.0,3531.0,,10700.0,9607.0,1093.0,,,,68493.0,,56774.0,121484.0,84655.0,36829.0,0.0,178258.0,31678.0,,,,,,36274.0,,,,,,,,,,,,259.0,12321.0,,,-1189.0,14616.0,1054.0,27061.0,0.0,27061.0,,
09/30/2001,298100.0,15791.0,3241.0,,,,,,,,82396.0,,,76774.0,,,,,,,37832.0,197002.0,-3761.0,193241.0,3534.0,,10657.0,9604.0,1053.0,,,0.0,71636.0,,56271.0,120491.0,87031.0,33460.0,0.0,176762.0,40196.0,,,,,,36366.0,,,,,,,,,,,,262.0,12332.0,,,-1522.0,15281.0,969.0,27322.0,,27322.0,,
12/31/2001,307569.0,16968.0,2530.0,,,,,,,,81759.0,,,81320.0,,,,,,,44570.0,207649.0,-3761.0,203888.0,3549.0,,10540.0,9527.0,1013.0,,,,70094.0,,65362.0,121904.0,,,,187266.0,47897.0,,,,,,28415.0,,,,,,,,,,,,64.0,12330.0,,,-1937.0,16005.0,752.0,27214.0,,27214.0,,
03/31/2002,311509.0,14559.0,2788.0,,,71666.0,,,,,82558.0,,,86662.0,,,,,,,9227.0,178447.0,-3842.0,174605.0,3660.0,,10714.0,9733.0,981.0,,,0.0,33517.0,,60728.0,128840.0,95406.0,33434.0,0.0,189568.0,33408.0,,,,,,43724.0,,,,,,,,,,16482.0,283182.0,51.0,12366.0,,,-1375.0,16609.0,676.0,28327.0,0.0,28327.0,311509.0,
06/30/2002,314802.0,14701.0,3741.0,,,66982.0,,,,,80931.0,,,93387.0,,,,,,,10683.0,185001.0,-3883.0,181118.0,3638.0,,10668.0,9724.0,944.0,,,0.0,33954.0,,61499.0,131712.0,96115.0,35597.0,0.0,193211.0,30107.0,,,,,,44798.0,,,,,,,,,,17159.0,285275.0,54.0,12382.0,,,-1358.0,17530.0,919.0,29527.0,0.0,29527.0,314802.0,
09/30/2002,334250.0,15813.0,4047.0,,,80835.0,,,,,81806.0,,,95911.0,,,,,,,8593.0,186310.0,-3861.0,182449.0,3664.0,,10649.0,9744.0,905.0,,,0.0,36793.0,,69382.0,136374.0,97855.0,38519.0,0.0,205756.0,30370.0,,,,,,48709.0,,,,,,,,,,19341.0,304176.0,58.0,12393.0,,,-1888.0,18441.0,1070.0,30074.0,0.0,30074.0,334250.0,
12/31/2002,349197.0,17820.0,3174.0,,,27947.0,,,,,82319.0,,,106074.0,,,,,,,61904.0,250297.0,-3819.0,246478.0,3688.0,,10755.0,9753.0,1002.0,,,,39335.0,,74094.0,142822.0,101808.0,41014.0,0.0,216916.0,47102.0,,,,,,36549.0,,,,,,,,,,18311.0,318878.0,251.0,12392.0,,,-2465.0,19355.0,786.0,30319.0,0.0,30319.0,349197.0,
03/31/2003,369607.0,16011.0,4982.0,,,26168.0,,,,,83869.0,,,113386.0,,,,,,,74252.0,271507.0,-3840.0,267667.0,3680.0,,10763.0,9799.0,964.0,,,,40336.0,,75330.0,160544.0,106104.0,54440.0,0.0,235874.0,33196.0,,,,,,49867.0,,,,,,,,,,19938.0,338875.0,430.0,12408.0,,,-2947.0,20310.0,531.0,30732.0,0.0,30732.0,369607.0,
06/30/2003,369583.0,16045.0,2768.0,,,,,,,,83375.0,,,123503.0,,,,,,,70281.0,277159.0,-3853.0,273306.0,3604.0,,10729.0,9803.0,926.0,,,,63131.0,,80943.0,149941.0,108860.0,41081.0,,230884.0,23883.0,,,,,,61898.0,,,,,,,,,,,,375.0,12430.0,,,-2712.0,21281.0,862.0,32236.0,,32236.0,,
09/30/2003,390750.0,15423.0,2692.0,,,,,,,,83543.0,,,140116.0,,,,,,,67116.0,290775.0,-3854.0,286921.0,3517.0,,10738.0,9849.0,889.0,,,,71459.0,,77175.0,174261.0,112310.0,61951.0,,251436.0,25589.0,,,,,,62577.0,,,,,,,,,,,,319.0,12426.0,,,-2785.0,22064.0,309.0,32333.0,,32333.0,,
12/31/2003,387798.0,15547.0,2745.0,,,32953.0,,,,,86981.0,,,161615.0,,,,,,,41001.0,289597.0,-3891.0,285706.0,3534.0,,11241.0,10371.0,870.0,,,,36072.0,,74387.0,173140.0,117097.0,56043.0,0.0,247527.0,36953.0,,,,,,51348.0,,,,,,,,,,17501.0,353329.0,214.0,12537.0,,,-1833.0,22842.0,709.0,34469.0,0.0,34469.0,387798.0,
03/31/2004,397354.0,13972.0,2439.0,,,32857.0,,,,,87242.0,,,171956.0,,,,,,,39416.0,298614.0,-3891.0,294723.0,3545.0,,11235.0,10403.0,832.0,,,,38583.0,,78253.0,170116.0,122733.0,47383.0,0.0,248369.0,20397.0,,,,,,73390.0,,,,,,,,,,19756.0,361912.0,452.0,12605.0,,,-1984.0,23796.0,573.0,35442.0,0.0,35442.0,397354.0,
06/30/2004,420305.0,13449.0,2681.0,,,,,,,,90471.0,,,174215.0,,,,,,,52625.0,317311.0,-3940.0,313371.0,3627.0,,11229.0,10430.0,799.0,,,,75948.0,,78926.0,189199.0,124818.0,64381.0,,268125.0,29831.0,,,,,,65605.0,,,,,,,,,,,,387.0,12638.0,,,-2537.0,24669.0,321.0,35478.0,,35478.0,,
09/30/2004,421549.0,13249.0,3869.0,,,,,,,,93217.0,,,181018.0,,,,,,,44292.0,318527.0,-3782.0,314745.0,3722.0,,11192.0,10431.0,761.0,,,,74772.0,,79090.0,189697.0,127311.0,62386.0,,268787.0,24278.0,,,,,,71320.0,,,,,,,,,,,,325.0,12661.0,,,-2436.0,25564.0,566.0,36680.0,,36680.0,,
12/31/2004,427849.0,12903.0,5020.0,,,42717.0,,,,,102725.0,,,184861.0,,,,,,,38462.0,326048.0,-3762.0,322286.0,3850.0,,11569.0,10681.0,888.0,,,0.0,29504.0,,81082.0,193776.0,129770.0,64006.0,0.0,274858.0,36548.0,,,,,,58994.0,,,,,,,,,,19583.0,389983.0,270.0,12700.0,,,-2247.0,26482.0,661.0,37866.0,0.0,37866.0,427849.0,
03/31/2005,435643.0,13467.0,4784.0,,,85845.0,,,,,105062.0,,,185526.0,,,,,,,0.0,290588.0,-3783.0,286805.0,3898.0,,11490.0,10645.0,845.0,,,141.0,29213.0,,82872.0,190291.0,132049.0,58242.0,0.0,273163.0,24451.0,,,,,,76903.0,,,,,,,,,,22649.0,397166.0,535.0,12737.0,,,-2428.0,27512.0,121.0,38477.0,0.0,38477.0,435643.0,
06/30/2005,434981.0,13962.0,5661.0,,,42369.0,,,,,108553.0,,,193186.0,,,,,,,32384.0,334123.0,-3775.0,330348.0,4156.0,,11457.0,10647.0,810.0,,,153.0,26875.0,,86791.0,188222.0,131311.0,56911.0,0.0,275013.0,17905.0,,,,,,82855.0,,,,,,,,,,20083.0,395856.0,462.0,12756.0,,,-2784.0,28567.0,277.0,39278.0,0.0,39278.0,435134.0,
09/30/2005,453494.0,13931.0,5861.0,,,94734.0,,,,,112178.0,,,184011.0,,,,,,,0.0,296189.0,-3886.0,292303.0,4223.0,,11570.0,10776.0,794.0,,,133.0,30739.0,,89304.0,199725.0,133821.0,65904.0,0.0,289029.0,23243.0,,,,,,78592.0,,,,,,,,,,22795.0,413659.0,389.0,12772.0,,,-3267.0,29636.0,305.0,39835.0,0.0,39835.0,453494.0,
12/31/2005,481741.0,15397.0,5306.0,,,57829.0,,,,,114455.0,,,196382.0,,,,,,,41146.0,351983.0,-3871.0,348112.0,4417.0,,11545.0,10787.0,758.0,,,,39135.0,,87712.0,226738.0,138135.0,88603.0,0.0,314450.0,35016.0,,,,,,68544.0,,,,,,,,,,23071.0,441081.0,325.0,12828.0,,,-3390.0,30580.0,317.0,40660.0,0.0,40660.0,481741.0,
03/31/2006,492428.0,13224.0,4954.0,,,110302.0,,,,,118542.0,,,188134.0,,,,,,,0.0,306676.0,-3845.0,302831.0,4493.0,,11769.0,11050.0,719.0,,,91.0,44764.0,,88701.0,219604.0,140064.0,79540.0,0.0,308305.0,21350.0,,,,,,84500.0,,,,,,,,,,36312.0,450467.0,634.0,13267.0,,,-3587.0,31750.0,-103.0,41961.0,0.0,41961.0,492428.0,
06/30/2006,499516.0,14069.0,5367.0,,,78764.0,,,,,121781.0,,,178841.0,,,,,,,40308.0,340930.0,-3851.0,337079.0,4529.0,,11754.0,11091.0,663.0,,,,47954.0,,89448.0,237004.0,139354.0,97650.0,0.0,326452.0,13619.0,,,,,,83757.0,,,,,,,,,,33794.0,457622.0,548.0,13350.0,,,-3537.0,31964.0,-431.0,41894.0,0.0,41894.0,499516.0,
09/30/2006,483441.0,12591.0,4079.0,,,63011.0,,,,,124118.0,,,183373.0,,,,,,,40530.0,348021.0,-3799.0,344222.0,4645.0,,11822.0,11192.0,630.0,,,140.0,42931.0,,86849.0,227470.0,139116.0,88354.0,0.0,314319.0,13800.0,,,,,,84091.0,,,,,,,,,,26369.0,438579.0,465.0,13455.0,,,-3273.0,34080.0,135.0,44862.0,0.0,44862.0,483441.0,
12/31/2006,481996.0,15028.0,6078.0,,,48236.0,,,,,128731.0,,,190385.0,,,,,,,33818.0,352934.0,-3764.0,349170.0,4698.0,,11875.0,11275.0,600.0,,,,46911.0,,89119.0,221124.0,143823.0,77301.0,0.0,310243.0,27570.0,,,,,,72404.0,,,,,,,,,,25903.0,436120.0,384.0,13527.0,,,-3203.0,35277.0,-109.0,45876.0,0.0,45876.0,481996.0,
03/31/2007,485901.0,12485.0,4668.0,,,51968.0,,,,,131977.0,,,193510.0,,,,,,,33115.0,358602.0,-3772.0,354830.0,4864.0,,11840.0,11275.0,565.0,,,,45246.0,,89067.0,222090.0,150563.0,71527.0,,311157.0,13181.0,,,,,,90327.0,,,,,,,,,,,,740.0,13663.0,,,-4204.0,36439.0,-503.0,46135.0,,46135.0,,
06/30/2007,539865.0,12714.0,5163.0,,,79468.0,,,,,139957.0,,,202843.0,,,,,,,35467.0,378267.0,-3820.0,374447.0,4973.0,,12631.0,11983.0,648.0,,,,50469.0,,89809.0,234934.0,151076.0,83858.0,,324743.0,40838.0,,,,,,93830.0,,,,,,,,,,,,637.0,13815.0,,,-3898.0,37665.0,-918.0,47301.0,,47301.0,,
09/30/2007,548727.0,12200.0,4546.0,,,64738.0,,,,,147104.0,,,215818.0,,,,,,,30710.0,393632.0,-3829.0,389803.0,5002.0,,12640.0,12018.0,622.0,,,,59798.0,,82365.0,252591.0,157492.0,95099.0,,334956.0,41729.0,,,,,,95592.0,,,,,,,,,,,,545.0,13877.0,,,-5209.0,38817.0,-292.0,47738.0,,47738.0,,
12/31/2007,575442.0,14757.0,2754.0,,,80678.0,,,,,160282.0,,,249313.0,,,,,,,27763.0,437358.0,-5307.0,432051.0,5122.0,,13860.0,13106.0,754.0,,,,26220.0,,84348.0,260112.0,159201.0,100911.0,,344460.0,71652.0,,,,,,80996.0,,,,,,,,,,,,450.0,14000.0,,,-6035.0,38970.0,243.0,47628.0,,47628.0,,
03/31/2008,595221.0,13146.0,4171.0,,,90680.0,,,,,163990.0,,,222343.0,,,,,,,30521.0,416854.0,-5803.0,411051.0,5056.0,,13857.0,13148.0,709.0,,,0.0,57260.0,,90793.0,267351.0,168602.0,98749.0,0.0,358144.0,53983.0,,,,,,103175.0,,,,,,,,,,31760.0,547062.0,837.0,14047.0,,,-5850.0,39896.0,-771.0,48159.0,0.0,48159.0,595221.0,
06/30/2008,609074.0,13610.0,4088.0,,,101012.0,,,,,175143.0,,,224094.0,,,,,,,25914.0,425151.0,-7375.0,417776.0,5033.0,,13860.0,13191.0,669.0,,,0.0,53695.0,,85062.0,254062.0,164959.0,89103.0,0.0,339124.0,86139.0,,,,,,103928.0,,,,,,,,,,31919.0,561110.0,723.0,14054.0,,,-5516.0,40534.0,-1831.0,47964.0,0.0,47964.0,609074.0,
09/30/2008,622361.0,12861.0,8093.0,,,95979.0,,,,,182877.0,,,228172.0,,,,,,,19374.0,430423.0,-7865.0,422558.0,5054.0,,12696.0,13520.0,-824.0,,,0.0,65120.0,,89446.0,264128.0,177940.0,86188.0,0.0,353574.0,85187.0,,,,,,107350.0,,,,,,,,,,29293.0,575404.0,625.0,14136.0,,,-5207.0,40853.0,-3450.0,46957.0,0.0,46957.0,622361.0,
12/31/2008,1309639.0,23763.0,49433.0,,,172020.0,,,,,389964.0,,,474866.0,,,,,,,26316.0,891146.0,-21013.0,870133.0,11269.0,,38142.0,22627.0,15515.0,,,0.0,144879.0,,150837.0,630565.0,379083.0,251482.0,0.0,781402.0,161967.0,,,,,,213265.0,,,,,,,,,,53921.0,1210555.0,31332.0,43299.0,,,-4666.0,36543.0,-7424.0,99084.0,0.0,99084.0,1309639.0,
03/31/2009,1285891.0,22186.0,18625.0,4114.0,14511.0,187760.0,9292.0,178468.0,,0.0,376817.0,153638.0,223179.0,466762.0,22815.0,109748.0,242947.0,21600.0,,69652.0,45113.0,888692.0,-22281.0,866411.0,11215.0,11215.0,38551.0,23825.0,14726.0,,37205.0,0.0,103938.0,,166497.0,630772.0,404219.0,226553.0,0.0,797269.0,72084.0,,,,,72084.0,250650.0,,,,250650.0,,,,,12892.0,45939.0,1178834.0,31411.0,39687.0,7273.0,32414.0,-3593.0,36949.0,-4159.0,100295.0,6762.0,107057.0,1285891.0,
06/30/2009,1284176.0,20632.0,15976.0,12071.0,3905.0,218883.0,12088.0,206795.0,,0.0,363578.0,151447.0,212131.0,458036.0,23069.0,107024.0,237289.0,19800.0,,70854.0,47404.0,869018.0,-23035.0,845983.0,11151.0,11151.0,38747.0,24619.0,14128.0,,28022.0,0.0,104782.0,,173149.0,640586.0,420359.0,220227.0,0.0,813735.0,55483.0,,,,,55483.0,229416.0,,,,229416.0,,,,,10006.0,54154.0,1162794.0,31497.0,48197.0,7927.0,40270.0,-3126.0,39165.0,-1110.0,114623.0,6759.0,121382.0,1284176.0,
09/30/2009,1228625.0,17233.0,17491.0,9432.0,8059.0,198776.0,14962.0,183814.0,,0.0,349168.0,149276.0,199892.0,450784.0,23597.0,104538.0,232622.0,18100.0,,71927.0,41384.0,841336.0,-24028.0,817308.0,11040.0,11040.0,37532.0,24052.0,13480.0,,28236.0,0.0,101009.0,,165260.0,631488.0,431512.0,199976.0,0.0,796748.0,30800.0,,,,,30800.0,214292.0,,,,214292.0,,,,,9269.0,48592.0,1099701.0,31589.0,48270.0,7927.0,40343.0,-2771.0,41485.0,3577.0,122150.0,6774.0,128924.0,1228625.0,
12/31/2009,1243646.0,27080.0,40885.0,40885.0,,192191.0,19481.0,172710.0,,0.0,336465.0,148715.0,187750.0,446305.0,24003.0,103708.0,229536.0,16500.0,,72558.0,44827.0,827597.0,-24516.0,803081.0,10736.0,10736.0,37740.0,24812.0,12928.0,27541.0,23558.0,0.0,80834.0,,181356.0,642662.0,465673.0,176989.0,0.0,824018.0,79461.0,,,,40495.0,38966.0,163366.0,,,,163366.0,2632.0,,,24329.0,9610.0,25871.0,1129287.0,8485.0,61621.0,8743.0,52878.0,-2450.0,41563.0,2567.0,111786.0,2573.0,114359.0,1243646.0,
03/31/2010,1223630.0,16301.0,54192.0,11283.0,42909.0,188267.0,25780.0,162487.0,,0.0,325114.0,146238.0,178876.0,456316.0,22525.0,103800.0,240528.0,14700.0,,74763.0,39877.0,821307.0,-25123.0,796184.0,10405.0,10405.0,37206.0,24819.0,12387.0,,21248.0,0.0,99827.0,,170518.0,634375.0,466471.0,167904.0,0.0,804893.0,46333.0,,,,,46333.0,199879.0,,,,199879.0,,,,,8212.0,46159.0,1105476.0,9276.0,61899.0,8743.0,53156.0,-1460.0,43636.0,2791.0,116142.0,2012.0,118154.0,1223630.0,
06/30/2010,1225862.0,17571.0,73898.0,16302.0,57596.0,179469.0,21542.0,157927.0,,0.0,320555.0,143997.0,176558.0,445710.0,22086.0,101327.0,233812.0,13400.0,,75085.0,42580.0,808845.0,-24584.0,784261.0,10508.0,10508.0,36687.0,24820.0,11867.0,,25590.0,0.0,97878.0,,175013.0,640610.0,466607.0,174003.0,0.0,815623.0,45187.0,,,,,45187.0,185072.0,,,,185072.0,,,,,11632.0,46950.0,1104464.0,8980.0,61430.0,8743.0,52687.0,-631.0,46126.0,3867.0,119772.0,1626.0,121398.0,1225862.0,
09/30/2010,1220784.0,16001.0,56549.0,20761.0,35788.0,203400.0,26525.0,176875.0,,0.0,316671.0,139659.0,177012.0,436993.0,21890.0,99060.0,228081.0,11900.0,,76062.0,47189.0,800853.0,-23939.0,776914.0,9636.0,9636.0,36146.0,24831.0,11315.0,,22746.0,0.0,99392.0,,184451.0,630061.0,475617.0,154444.0,0.0,814512.0,50715.0,,,,,50715.0,163143.0,,,,163143.0,,,,,7792.0,59457.0,1095619.0,8840.0,61655.0,8756.0,52899.0,-466.0,48953.0,4676.0,123658.0,1507.0,125165.0,1220784.0,
12/31/2010,1258128.0,16044.0,80637.0,24880.0,55757.0,202179.0,29525.0,172654.0,,0.0,322058.0,137862.0,184196.0,435209.0,22260.0,96149.0,230235.0,33312.0,,53253.0,53053.0,810320.0,-23022.0,787298.0,9644.0,9644.0,35535.0,24770.0,10765.0,23844.0,21889.0,0.0,81058.0,,191231.0,656711.0,495323.0,161388.0,0.0,847942.0,55401.0,,,,,55401.0,156983.0,,,,156983.0,2092.0,,,26324.0,10884.0,30613.0,1130239.0,8689.0,62213.0,8787.0,53426.0,-487.0,51918.0,4075.0,126408.0,1481.0,127889.0,1258128.0,
03/31/2011,1244666.0,16978.0,93041.0,20868.0,72173.0,203351.0,35445.0,167906.0,,0.0,323222.0,136889.0,186333.0,427933.0,20996.0,93041.0,226509.0,39647.0,,47740.0,34549.0,785704.0,-21983.0,763721.0,9545.0,9545.0,35057.0,24777.0,10280.0,,22445.0,0.0,100528.0,,190935.0,646727.0,497015.0,149712.0,0.0,837662.0,54737.0,,,,,54737.0,148603.0,,,,148603.0,,,,,12061.0,56660.0,1109723.0,11897.0,63669.0,8854.0,54815.0,-541.0,54855.0,3591.0,133471.0,1472.0,134943.0,1244666.0,
06/30/2011,1259734.0,24059.0,88406.0,25009.0,63397.0,218303.0,32005.0,186298.0,,0.0,330689.0,135739.0,194950.0,421232.0,21191.0,89947.0,222874.0,38420.0,,48800.0,32766.0,784687.0,-20893.0,763794.0,9613.0,9613.0,34591.0,24776.0,9815.0,,22765.0,0.0,98203.0,,202143.0,651492.0,501243.0,150249.0,0.0,853635.0,53881.0,,,,,53881.0,142872.0,,,,142872.0,,,,,11360.0,60070.0,1121818.0,11730.0,64102.0,8876.0,55226.0,-1546.0,57942.0,4173.0,136401.0,1515.0,137916.0,1259734.0,
09/30/2011,1304945.0,18314.0,89804.0,25198.0,64606.0,236371.0,29195.0,207176.0,,0.0,339834.0,136934.0,202900.0,420272.0,21650.0,88264.0,223758.0,39139.0,,47461.0,43447.0,803553.0,-20039.0,783514.0,9607.0,9607.0,34448.0,25038.0,9410.0,,28591.0,0.0,104296.0,,229863.0,665565.0,512837.0,152728.0,0.0,895428.0,50775.0,,,,,50775.0,133214.0,,,,133214.0,,,,,14961.0,71323.0,1165701.0,11566.0,64397.0,8902.0,55495.0,-2087.0,61135.0,2757.0,137768.0,1476.0,139244.0,1304945.0,
