Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Adjustments,Enterprise Value,Total Capital,Total Debt/Total Capital,Total Debt/EV,EV/Sales,EV/EBITDA,EV/EBIT,EV/Cash Flow to Firm,EV/Free Cash Flow to Firm,Diluted Market Cap,Diluted Enterprise Value,EV per Share,Trailing 12 Month Values for Ratios,Source: Bloomberg
01/31/1994,232.115632,-5.54,0.0,0.0,80.048002,,306.623635,138.261002,57.896299,0.261063,0.525029,4.905115,5.95143,5.973212,,232.143742,306.651744,2.322062,,
04/30/1994,237.273757,-13.937,0.0,0.0,80.048002,,303.384759,146.182003,54.759136,0.26385,0.535677,4.410816,5.207696,5.401152,,237.302492,303.413494,2.297534,,
07/31/1994,235.238992,-3.297,0.0,0.0,74.447996,,306.389988,139.219997,53.475074,0.242984,0.556267,5.773209,7.260426,9.283969,,235.238992,306.389988,2.320011,,
10/31/1994,203.254743,-16.403,0.0,0.0,74.447996,,261.299739,151.769993,49.053172,0.284914,0.45359,5.025672,6.476954,5.819637,,203.254743,261.299739,1.978584,,
01/31/1995,205.318243,-13.006,0.0,0.0,74.440001,,266.752244,151.930004,48.996247,0.27906,0.443294,5.69035,7.851658,7.081473,,205.318243,266.752244,2.019871,,
04/30/1995,220.767757,-16.940001,0.0,0.0,74.440001,,278.267757,150.739002,49.383371,0.267512,0.460036,8.525621,15.387512,8.804869,,220.794492,278.294492,2.107323,,
07/31/1995,186.746743,-13.432,0.0,0.0,68.839998,,242.154742,148.882996,46.23765,0.284281,0.394773,5.766276,9.2429,6.147853,,186.746743,242.154742,1.833617,,
10/31/1995,179.524494,-28.059,0.0,0.0,68.839998,,220.305492,154.575996,44.534727,0.312475,0.356758,5.479963,9.196255,5.338089,,179.524494,220.305492,1.668172,,
01/31/1996,189.841993,-57.390999,0.0,0.0,107.831999,,240.282993,194.123997,55.548001,0.448771,0.385831,5.756384,9.657677,6.575497,,189.841993,240.282993,1.819444,,
04/30/1996,222.857992,-69.790001,0.0,0.0,107.831999,,260.89999,196.806995,54.790735,0.413308,0.405061,5.32286,8.258942,5.899564,,222.857992,260.89999,1.975557,,
07/31/1996,214.603992,-63.959,0.0,0.0,97.065001,,247.709993,193.308002,50.212614,0.391849,0.366728,4.354805,6.593819,4.926488,7.740876,214.603992,247.709993,1.875682,,
10/31/1996,205.318243,-73.000999,0.0,0.0,97.065001,,229.382244,195.525997,49.643015,0.423158,0.328835,4.345266,7.091299,4.519765,8.134144,205.318243,229.382244,1.736902,,
01/31/1997,223.889742,-53.715,0.0,0.0,97.056997,,267.231739,193.012997,50.285213,0.363194,0.366233,5.561187,9.801633,6.086619,13.729684,223.889742,267.231739,2.023502,,
04/30/1997,202.222993,-49.207001,0.0,0.0,97.056997,,250.072989,199.877995,48.55812,0.388115,0.337359,4.581182,7.333304,7.654704,61.636956,202.222993,250.072989,1.893574,,
07/31/1997,214.088117,-20.042,0.0,0.0,86.290998,,280.337116,191.411999,45.08129,0.307812,0.389686,6.134291,10.973387,25.350337,-14.566384,214.088117,280.337116,2.122737,,
10/31/1997,218.730992,-20.976,0.0,0.0,86.290998,,284.045991,195.381001,44.165501,0.303792,0.404916,5.761348,9.769423,43.048194,-10.121482,218.730992,284.045991,2.150821,,
01/31/1998,215.635742,-3.177,0.0,0.0,95.583004,,308.041746,202.455004,47.211974,0.310292,0.470543,5.965755,10.208847,119.792698,-8.334115,215.635742,308.041746,2.332519,,
04/30/1998,260.516866,-3.596,0.0,0.0,91.083003,,348.003869,200.161004,45.504869,0.26173,0.571422,7.405441,14.824446,28.093953,-13.342757,260.516866,348.003869,2.635115,,
07/31/1998,199.103625,-2.602,,,87.116,,283.617625,201.465,43.241258,0.30716,0.480464,4.963209,8.656115,6.550229,-44.203956,199.12775,283.64175,2.147837,,
10/31/1998,126.889875,-2.833,0.0,0.0,91.616,,215.672875,207.097,44.238207,0.424791,0.382147,3.917621,7.222802,7.437558,-17.007303,126.90525,215.68825,1.633291,,
01/31/1999,127.9215,-2.838,0.0,0.0,93.008,,218.0915,205.076,45.352942,0.426463,0.397779,3.733293,6.677224,4.504763,17.993556,127.937,218.107,1.651608,,
04/30/1999,116.071875,-3.458,0.0,0.0,92.808,,205.421875,212.568,43.660382,0.451792,0.368509,2.559073,4.950163,4.163456,18.46112,116.071875,205.421875,1.555472,,
07/31/1999,123.279188,-4.194,,,70.341,,189.426187,199.221,35.308025,0.371337,0.316774,2.26267,4.234407,3.204434,5.880833,123.294125,189.441125,1.434525,,
10/31/1999,117.6195,-10.756,0.0,0.0,70.341,,177.2045,201.352,34.934344,0.396948,0.270285,2.136204,4.069831,2.502767,4.149947,117.6765,177.2615,1.341808,,
01/31/2000,111.429,-6.892,0.0,0.0,66.062,,170.599,191.245,34.543125,0.387236,0.22645,2.306327,4.982593,2.338346,3.781583,111.429,170.599,1.29179,,
04/30/2000,78.341625,-4.619,0.0,0.0,71.762,,145.484625,196.88,36.449614,0.493262,0.167816,2.473808,4.52645,2.377094,3.959764,85.147625,152.290625,1.204183,,
07/31/2000,90.612,-3.628,0.0,0.0,56.595,,143.579,186.176,30.398655,0.394173,0.148641,2.645155,5.360626,2.846735,4.605526,90.612,143.579,1.18841,,
10/31/2000,94.3875,-33.595,0.0,0.0,56.595,,117.3875,204.113,27.727288,0.482121,0.107569,1.431066,2.158017,1.571651,2.086126,94.3875,117.3875,0.971622,,
