Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2010,2293.1,595.6,595.6,0,352.0,352.0,0.0,356.7,82.1,73.1,201.5,0.0,144.7,,20.1,13.4,15.6,31.2,1449.0,550.5,1076.8,-526.3,0,293.6,197.8,117.5,80.3,62.3,844.1,,935.6,365.8,38.2,46.3,485.3,1.2,1.2,,39.3,2.1,0.0,42.6,0.0,976.1,1532.5,1532.5,142.8,0.0,71.7,26.4,1675.3,2651.4,0,-773.6,2.0,-775.6,-3.2,474.0,-64.6,-367.4,9.1,-358.3,2293.1,
03/31/2011,2465.4,708.6,708.6,0,370.7,370.7,0.0,369.5,90.3,69.9,209.3,0.0,151.7,,19.0,17.7,1.8,50.5,1600.5,558.8,1100.0,-541.2,0,306.1,204.1,117.5,86.6,65.3,864.9,,997.1,412.4,64.3,53.5,466.9,0.0,0.0,,31.1,2.2,,50.5,0.0,1028.2,1531.1,1531.1,156.5,,72.7,31.1,1687.6,2715.8,0,-763.6,2.0,-765.6,-26.9,566.9,-38.9,-262.5,12.1,-250.4,2465.4,
06/30/2011,2526.1,703.7,703.7,0,367.9,367.9,0.0,423.2,110.3,70.7,242.2,0.0,174.3,,24.1,19.0,1.9,78.0,1669.1,558.4,1099.8,-541.4,0,298.6,208.0,117.5,90.5,47.5,857.0,,990.2,427.5,46.9,53.4,462.4,0.0,0.0,,26.5,2.2,,48.8,0.0,1016.7,1535.6,1535.6,158.3,,73.0,34.3,1693.9,2710.6,0,-749.9,2.0,-751.9,-57.4,645.8,-35.2,-196.7,12.2,-184.5,2526.1,
09/30/2011,2580.0,761.3,761.3,0,358.9,358.9,0.0,441.1,116.0,79.6,245.5,0.0,154.6,,9.8,18.3,9.0,54.4,1715.9,557.7,1106.0,-548.3,0,306.4,208.1,117.5,90.6,70.2,864.1,,1013.8,398.2,36.3,53.3,526.0,0.0,0.0,,23.8,2.4,,45.0,0.0,1037.6,1534.1,1534.1,153.1,,72.3,33.4,1687.2,2724.8,0,-738.8,2.0,-740.8,-84.8,737.4,-66.1,-152.3,7.5,-144.8,2580.0,
12/31/2011,2766.8,840.3,840.3,0,352.6,352.6,0.0,534.9,197.6,99.0,238.3,0.0,161.9,,5.2,16.5,3.3,40.1,1889.7,576.1,1106.3,-530.2,0,301.0,209.1,117.5,91.6,70.2,877.1,,1153.0,488.1,82.6,53.3,529.0,0.0,0.0,,47.1,0.0,0.0,5.2,0.0,1200.1,1531.9,1531.9,202.8,0.0,157.2,40.4,1734.7,2934.8,0,-726.3,2.1,-728.4,-89.7,770.0,-133.1,-179.1,11.1,-168.0,2766.8,
03/31/2012,2866.7,660.7,660.7,0,378.4,378.4,0.0,542.0,181.3,97.1,263.6,0.0,180.2,,1.2,20.5,5.6,52.6,1761.3,581.0,1126.4,-545.4,0,524.4,440.2,289.4,150.8,62.5,1105.4,,1029.6,409.1,68.3,61.6,490.6,86.4,86.4,,10.1,,,41.0,0.0,1126.1,1529.7,1529.7,239.4,,157.8,40.6,1769.1,2895.2,0,-708.5,2.1,-710.6,-120.5,872.9,-119.3,-75.4,46.9,-28.5,2866.7,
06/30/2012,2959.8,787.3,787.3,0,366.2,366.2,0.0,494.5,138.7,95.3,260.5,0.0,179.7,,2.2,20.1,6.2,58.1,1827.7,579.8,1126.6,-546.8,0,552.3,427.4,283.9,143.5,102.6,1132.1,,1057.4,441.4,61.0,61.6,493.4,83.7,83.7,,1.5,20.6,,,0.0,1142.6,1527.5,1527.5,255.6,,157.2,77.8,1783.1,2925.7,0,-693.3,2.1,-695.4,-148.5,975.9,-151.5,-17.4,51.5,34.1,2959.8,
09/30/2012,3145.4,958.4,958.4,0,380.2,380.2,0.0,472.9,119.7,85.9,267.3,0.0,174.8,,0.3,21.0,8.4,49.5,1986.3,608.6,1168.5,-559.9,0,550.5,413.9,277.6,136.3,115.3,1159.1,,1079.3,437.0,32.5,61.5,548.3,209.1,209.1,,5.5,,,29.8,0.0,1293.9,1525.4,1525.4,249.4,,138.0,81.6,1774.8,3068.7,0,-685.1,2.1,-687.2,-198.0,1053.4,-143.8,26.5,50.2,76.7,3145.4,
12/31/2012,3258.2,1042.1,1042.1,0,364.6,364.6,0.0,435.9,114.4,56.9,264.6,0.0,172.4,,0.0,24.5,26.0,60.0,2015.0,689.9,1258.1,-568.2,0,553.3,400.5,270.6,129.9,128.3,1243.2,,1151.9,508.5,41.8,61.3,540.3,187.0,187.0,,31.0,0.0,0.0,15.9,0.0,1369.9,1523.2,1523.2,299.8,0.0,188.8,95.1,1823.0,3192.9,0,-674.5,2.1,-676.6,-244.6,1124.8,-187.0,18.7,46.6,65.3,3258.2,
03/31/2013,3275.5,1017.2,1017.2,0,413.4,413.4,0.0,444.0,134.0,70.8,239.2,0.0,181.3,,0.2,21.7,31.2,66.3,2055.9,716.8,1298.6,-581.8,0,502.8,350.8,228.2,122.6,130.1,1219.6,,1172.6,511.7,64.2,69.4,527.3,122.2,122.2,,22.1,,,17.3,0.0,1316.9,1521.1,1521.1,309.5,,186.2,106.0,1830.6,3147.5,0,-659.2,2.1,-661.3,-276.7,1218.6,-207.8,74.9,53.1,128.0,3275.5,
06/30/2013,3278.8,1003.9,1003.9,0,384.4,384.4,0.0,456.1,143.1,73.0,240.0,0.0,201.1,,5.7,32.7,46.9,71.6,2045.5,739.5,1321.4,-581.9,0,493.8,332.3,217.1,115.2,123.1,1233.3,,1171.1,522.6,58.4,69.4,520.7,55.0,55.0,,16.5,,,19.6,0.0,1242.6,1518.9,1518.9,316.5,,185.1,111.8,1835.4,3078.0,0,-636.8,2.1,-638.9,-305.2,1305.6,-216.9,146.7,54.1,200.8,3278.8,
09/30/2013,3355.7,985.2,985.2,0,405.3,405.3,0.0,499.6,127.5,85.8,286.3,0.0,190.6,,5.8,38.2,41.3,63.1,2080.7,785.1,1381.4,-596.3,0,489.9,316.1,209.3,106.8,129.8,1275.0,,1204.7,509.6,81.0,69.3,544.8,2.6,2.6,,23.1,,,16.0,0.0,1230.4,1516.8,1516.8,342.3,,184.4,141.9,1859.1,3089.5,0,-628.6,2.1,-630.7,-339.1,1392.6,-214.7,210.2,56.0,266.2,3355.7,
12/31/2013,3474.1,1050.8,1050.8,0,384.4,384.4,0.0,534.8,139.6,82.5,312.7,0.0,148.1,,24.1,37.0,15.9,56.9,2118.1,867.5,1474.6,-607.1,0,488.5,294.3,196.8,97.5,133.1,1356.0,,1227.6,566.8,56.1,69.3,535.4,507.6,2.0,505.6,46.1,0.0,0.0,15.3,0.0,1781.3,1009.1,1009.1,333.5,0.0,161.8,156.4,1342.6,3123.9,0,-719.4,2.1,-721.5,-351.9,1432.3,-69.2,291.8,58.4,350.2,3474.1,
03/31/2014,3541.2,1090.0,1090.0,0,397.2,397.2,0.0,570.9,166.0,85.9,319.0,0.0,180.3,,1.8,31.4,21.9,68.1,2238.4,872.3,1491.7,-619.4,0,430.5,261.7,176.0,85.7,135.6,1302.8,,1277.1,549.5,79.8,76.5,571.3,505.4,1.5,503.9,-1.6,,,13.2,0.0,1780.9,1008.7,1008.7,339.1,,162.2,163.7,1347.8,3128.7,0,-700.5,2.1,-702.6,-382.1,1549.9,-121.4,345.9,66.6,412.5,3541.2,
06/30/2014,4112.5,1586.3,1586.3,0,418.2,418.2,0.0,574.7,191.2,81.9,301.6,0.0,193.0,,0.1,54.2,33.8,71.6,2772.2,884.7,1519.2,-634.5,0,455.6,257.8,175.4,82.4,143.5,1340.3,,1235.6,543.0,69.9,76.5,546.2,505.7,3.5,502.2,2.4,,,13.0,0.0,1743.7,1502.1,1502.1,362.5,,170.7,178.8,1864.6,3608.3,0,-684.0,2.1,-686.1,-388.7,1641.9,-135.1,434.1,70.1,504.2,4112.5,
09/30/2014,3691.8,1195.2,1195.2,0,412.1,412.1,0.0,559.1,168.4,100.1,290.6,0.0,170.4,,,58.9,15.2,68.1,2336.8,897.4,1544.1,-646.7,0,457.6,248.3,170.5,77.8,150.4,1355.0,,1222.0,519.4,62.9,76.5,563.2,1.2,1.2,0.0,13.9,,,13.5,0.0,1237.1,1496.8,1496.8,373.0,,174.1,185.4,1869.8,3106.9,0,-669.6,2.1,-671.7,-408.3,1748.2,-161.0,509.3,75.6,584.9,3691.8,
12/31/2014,3763.8,1297.7,1297.7,0,330.7,330.7,0.0,555.5,179.7,88.9,286.9,0.0,147.4,,0.0,150.4,7.7,126.7,2331.3,912.7,1562.2,-649.5,0,519.8,238.1,162.7,75.4,131.3,1432.5,,1165.9,512.3,45.2,76.6,531.8,4.1,4.1,,35.3,0.0,0.9,12.0,0.0,1205.3,1492.8,1492.8,415.9,0.0,211.1,191.9,1908.7,3114.0,0,-639.2,2.1,-641.3,-362.6,1775.0,-198.9,574.3,75.5,649.8,3763.8,
03/31/2015,3884.7,1433.9,1433.9,0,381.9,381.9,0.0,549.9,196.8,71.3,281.8,0.0,173.2,,7.5,64.1,14.5,80.2,2538.9,899.2,1560.1,-660.9,0,446.6,231.0,159.3,71.7,144.0,1345.8,,1186.2,494.3,55.1,84.4,552.4,0.0,0.0,,13.8,,,11.2,0.0,1200.0,1511.9,1511.9,424.6,,210.5,202.9,1936.5,3136.5,0,-623.4,2.1,-625.5,-362.6,1885.3,-231.8,667.5,80.7,748.2,3884.7,
06/30/2015,3959.1,1475.1,1475.1,0,367.3,367.3,0.0,573.3,193.3,92.4,287.6,0.0,201.0,,15.0,67.8,23.5,100.1,2616.7,908.2,1585.6,-677.4,0,434.2,223.2,154.9,68.3,128.2,1342.4,,1216.1,521.7,47.7,84.4,562.3,1.0,1.0,,12.6,,,10.8,0.0,1229.7,1506.2,1506.2,425.1,,209.7,204.6,1931.3,3161.0,0,-578.8,2.1,-580.9,-362.6,1954.6,-256.1,757.1,41.0,798.1,3959.1,
09/30/2015,3777.9,1363.5,1363.5,0,368.9,368.9,0.0,518.6,163.7,84.9,270.0,0.0,184.2,,13.7,47.9,37.2,55.1,2435.2,933.2,1618.1,-684.9,0,409.5,212.0,147.0,65.0,135.9,1342.7,,1170.9,450.1,71.2,83.0,566.6,1.5,1.5,,21.2,,,10.3,0.0,1193.6,1839.3,1839.3,352.8,,136.5,206.0,2192.1,3385.7,0,-570.2,2.1,-572.3,-799.6,2026.4,-305.1,351.5,40.7,392.2,3777.9,
12/31/2015,3998.1,1701.4,1701.4,0,291.3,291.3,0.0,484.9,162.9,70.3,251.7,0.0,124.8,,3.9,118.5,13.2,105.2,2602.4,964.0,1652.0,-688.0,0,431.7,180.9,126.0,54.9,128.4,1395.7,,1213.7,481.5,65.7,77.8,588.7,3.0,3.0,,36.6,0.0,3.5,8.7,0.0,1253.3,2981.0,2981.0,356.3,0.0,132.4,211.7,3337.3,4590.6,0,-562.3,1.9,-564.2,-362.6,640.4,-347.8,-632.3,39.8,-592.5,3998.1,
03/31/2016,4016.8,1702.3,1702.3,0,368.2,368.2,0.0,486.9,179.2,73.7,234.0,0.0,77.0,,31.8,124.1,10.2,65.0,2634.4,927.0,1632.5,-705.5,0,455.4,170.5,120.0,50.5,129.0,1382.4,,1214.5,473.9,71.3,77.7,591.6,3.1,3.1,,24.7,,,6.6,0.0,1242.3,3012.6,3012.6,354.3,,138.3,209.4,3366.9,4609.2,0,-550.9,1.9,-552.8,-362.6,632.3,-354.2,-635.4,43.0,-592.4,4016.8,
06/30/2016,4028.6,1716.0,1716.0,0,359.5,359.5,0.0,465.8,155.6,71.1,239.1,0.0,78.6,,,142.3,13.0,21.2,2619.9,925.4,1640.5,-715.1,0,483.3,164.7,115.8,48.9,176.3,1408.7,,1140.8,456.3,22.2,77.6,584.7,3.8,3.8,,15.9,,,6.1,0.0,1160.5,3021.9,3021.9,365.6,,149.4,210.1,3387.5,4548.0,0,-535.2,1.9,-537.1,-362.6,709.8,-374.1,-562.1,42.7,-519.4,4028.6,
09/30/2016,4193.7,1843.2,1843.2,0,397.2,397.2,0.0,476.0,142.1,78.9,255.0,0.0,89.3,,27.2,131.4,29.2,54.2,2805.7,929.6,1657.3,-727.7,0,458.4,160.0,112.8,47.2,139.8,1388.0,,1227.2,474.8,28.6,76.6,647.2,1.8,1.8,,21.0,,,5.6,0.0,1250.0,3008.4,3008.4,374.0,,137.7,230.7,3382.4,4632.4,0,-520.7,1.9,-522.6,-363.0,782.2,-377.0,-478.5,39.8,-438.7,4193.7,
12/31/2016,4087.7,1795.4,1795.4,0,316.2,316.2,0.0,473.5,146.5,64.1,262.9,0.0,121.5,,1.1,143.1,8.3,102.3,2706.6,948.6,1682.2,-733.6,0,432.5,154.9,108.9,46.0,133.4,1381.1,,1227.7,515.8,24.0,76.0,611.9,3.9,3.9,,12.6,0.0,6.3,6.2,0.0,1244.2,2976.2,2976.2,339.4,0.0,104.2,222.7,3315.6,4559.8,0,-512.1,1.9,-514.0,-362.6,773.4,-411.4,-512.7,40.6,-472.1,4087.7,
03/31/2017,4227.1,1724.4,1724.4,0,355.0,355.0,0.0,498.5,147.5,61.8,289.2,0.0,239.4,,0.0,148.4,26.1,209.7,2817.3,963.6,1724.9,-761.3,0,446.2,157.0,113.1,43.9,140.8,1409.8,,1291.4,536.0,49.9,76.3,629.2,4.5,4.5,,12.9,,8.4,6.0,0.0,1308.8,2973.3,2973.3,337.8,,99.2,224.2,3311.1,4619.9,0,-497.6,1.9,-499.5,-362.6,812.4,-383.3,-431.1,38.3,-392.8,4227.1,
