Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
02/28/2003,201.001,-172.336,21.739,322.165,,219.625,102.54,29.433,-27.838,31.711,-8.451,34.011,,4.751,-6.983,,,-6.983,,,,,,,,,,11.734,1.306,,,,,,,1.306,,207.058,1.72,2.659,
05/31/2003,-22.041,-15.021,8.742,3.747,,,3.747,-19.509001,,,,-19.509001,,3.296,-1.767,0.0,,-1.767,,,0.0,0.0,0.0,,,,,5.063,1.77,0.0,0.0,,1.171,1.171,0.0,0.599,,-16.975,0.037,1.088,
08/31/2003,-12.597,-21.746,7.06,0.0,,,0.0,2.089,,,,2.089,,-1.047,-1.983,0.0,,-1.983,,,0.0,0.0,0.0,,,,,0.936,38.052001,0.0,0.0,,38.082001,38.082001,0.0,-0.03,,24.408001,1.272,0.414,
11/30/2003,-27.530001,-4.118,6.361,0.0,,,0.0,-29.773001,,,,-29.773001,,6.834,-1.476,0.0,,-1.476,,,0.0,0.0,0.0,,,,,8.31,9.516,0.0,0.0,,9.486,9.486,0.0,0.03,,-11.18,2.417,1.707,
02/27/2004,-5.187,-9.322,24.197,,,,,-20.062,5.321,-0.244,-1.112,-24.027,,-43.203,-4.229,,,-4.229,,,,,,,,,,-38.974,48.203,,,,48.203,48.203,,,,-0.187,1.727,2.484,
05/31/2004,6.359,13.337,7.331,0.0,,,0.0,-14.309,,,,-14.309,,-2.084,-1.547,0.0,,-1.547,,,0.0,0.0,0.0,,,,,-0.537,8.244,0.0,0.0,,8.244,8.244,0.0,0.0,,12.519,-2.052,-0.088,
08/31/2004,31.337,19.594,7.029,0.0,,,0.0,4.714,,,,4.714,,-32.262001,-2.76,0.0,,-2.76,,,0.0,0.0,0.0,,,,,-29.502001,8.822,0.0,0.0,,8.822,8.822,0.0,0.0,,7.897,0.907,0.859,
11/26/2004,23.674999,24.691,6.255,0.0,,,0.0,-7.271,,,,-7.271,,-2.82,-4.853,0.0,,-4.853,,,0.0,0.0,0.0,,,,,2.033,4.325,0.0,0.0,,4.325,4.325,0.0,0.0,,25.18,1.957,0.081,
02/25/2005,21.544,4.373,5.873,-8.675,,,-8.675,19.973,,,,19.973,,-49.565,-1.699,0.0,,-1.699,,,0.0,0.0,0.0,,,,,-47.866,2.756,0.0,0.0,,2.756,2.756,0.0,0.0,,-25.265,3.4,0.907,
06/03/2005,36.492,17.729,6.222,7.058,,-1.417,8.475,5.483,-19.089,-21.514,,46.086,,-18.059,-5.967,0.0,,-5.967,,,0.0,0.0,0.0,,,,,-12.092,3.35,0.0,-1.6,,0.0,0.0,0.0,4.95,,21.783,1.297,0.145,
09/02/2005,48.474,18.177,6.85,-0.577,,-0.577,0.0,24.024,11.671,-2.724,3.276,11.801,,-36.221,-6.906,0.0,,-6.906,,,0.0,0.0,0.0,,,,,-29.315,7.18,0.0,0.0,,7.18,7.18,0.0,0.0,,19.433,0.241,0.883,
12/02/2005,26.597,260.889,6.11,-268.374,,-268.976,0.602,27.972,-75.018,7.273,,95.717,,2.637,-4.792,0.0,,-4.792,,,0.0,0.0,0.0,,,,,7.429,4.519,0.0,0.0,,4.519,4.519,0.0,0.0,,33.753,1.519,0.008,
03/03/2006,91.218,29.939,5.071,2.767,,-3.081,5.848,53.441,84.431,-20.07,,-10.92,,-153.613,-3.988,0.0,,-3.988,,,0.0,0.0,0.0,,,,,-149.625,12.688,0.0,0.0,,12.688,12.688,0.0,0.0,,-49.707,2.645,0.882,
05/31/2006,-28.089,27.165,3.439,17.295,,22.555,-5.26,-75.988,-85.259,-6.945,,16.216,,-4.264,-3.258,0.0,,-3.258,,,0.0,0.0,0.0,,,,,-1.006,14.171,0.0,0.0,,14.171,14.171,0.0,0.0,,-18.182,1.473,-0.007,
08/31/2006,19.725,16.503,3.314,17.891,,11.792,6.099,-17.983,36.207,6.135,,-60.325,,0.669,-5.936,0.0,,-5.936,,,0.0,0.0,0.0,,,,,6.605,-6.29,0.0,-7.5,,1.21,1.21,0.0,0.0,,14.104,0.995,0.882,
12/01/2006,22.225,12.771,3.303,15.882,,10.707,5.175,-9.731,-79.31,13.016,,56.563,,27.219,-8.325,0.0,,-8.325,,,0.0,0.0,0.0,,,,,35.544,-24.594,0.0,-0.272,,-24.322,6.641,-30.963,0.0,,24.85,2.134,0.009,
03/02/2007,83.335,11.757,7.211,1.252,,-6.886,8.138,63.115,33.559,1.354,,28.202,,-24.207,-5.362,0.0,,-5.362,,,0.0,0.0,0.0,,,,,-18.845,-29.573,0.0,-35.272,,5.699,5.699,0.0,0.0,,29.555,4.01,0.833,
05/31/2007,42.906,15.352,7.803,-1.108,,-4.3,3.192,20.859,9.546,-1.663,,12.976,,-102.591,-49.028,0.0,,-49.028,,,0.0,0.0,0.0,,,,,-53.563,5.845,0.0,-7.772,,13.617,13.617,0.0,0.0,,-53.84,1.761,0.017,
08/31/2007,18.043,-0.841,8.89,3.739,,4.545,-0.806,6.255,25.337,4.995,,-24.077,,218.62,-6.565,0.0,,-6.565,,,0.0,0.0,0.0,,,,,225.185,4.029,0.0,-0.272,,6.92,6.92,0.0,-2.619,,240.692,0.926,0.001,
11/30/2007,-13.541,-8.848,9.508,-10.509,,-23.313,12.804,-3.692,6.759,-15.603,,5.152,,18.308,-7.286,0.0,,-7.286,,,0.0,0.0,0.0,,,,,25.594,-229.918,-948.611,380.857,,335.217,335.217,0.0,2.619,,-225.151,-1.51,2.861,
02/28/2008,-8.532,-54.664,9.046,25.544,,-10.801,36.345,11.542,14.19,8.896,,-11.544,,132.002,-5.799,0.0,,-5.799,,,0.0,0.0,0.0,,,,,137.801,-4.445,-0.158,-1.295,,-2.992,,-2.992,0.0,,119.025,2.754,8.742,
05/31/2008,-13.508,-41.066,8.765,-15.365,,-28.658,13.293,34.158,43.026,-26.435,,17.567,,-77.035,-3.349,0.0,,-3.349,,,0.0,0.0,0.0,,,,,-73.686,4.765,-0.18,-1.272,,4.522,4.522,,1.695,,-85.778,1.221,6.438,
08/31/2008,-3.637,-39.477,9.464,18.5,7.0,-4.25,15.75,7.876,-25.033,32.289,-8.28,8.9,,-1.662,-2.41,0.0,0.0,-2.41,-2.41,0.0,0.45,0.45,0.0,0.0,0.0,0.0,0.0,0.298,-3.594,-0.09,-5.022,-5.022,1.518,1.518,0.0,0.0,-0.696,-9.589,1.05,5.975,
11/30/2008,-20.4,-506.17,7.627,436.811,6.332,415.44,15.039,41.332,40.174,6.107,-16.197,11.248,0.0,-2.481,-2.901,0.0,0.0,-2.901,-2.901,0.0,0.264,0.264,0.0,0.0,0.0,0.0,0.0,0.156,1.75,-0.034,-1.891,-1.891,3.675,3.675,0.0,0.0,-2.593,-23.724,0.47,2.107,
02/27/2009,-92.074,-95.023,7.558,-5.576,5.924,1.047,-12.547,0.967,46.0,13.273,-37.433,-20.873,0.0,-15.877,-4.288,0.0,0.0,-4.288,-4.288,0.0,0.148,0.148,0.0,0.0,0.0,0.0,0.0,-11.737,94.808,-0.135,-5.642,-5.642,100.585,100.585,0.0,0.0,0.305,-12.838,16.427,-5.411,
05/31/2009,-72.401,-91.518,7.162,21.398,4.455,-10.567,27.51,-9.443,-12.716,-4.098,7.027,0.344,0.0,-18.099,-3.853,0.0,0.0,-3.853,-3.853,0.0,0.747,0.747,0.0,0.0,0.0,0.0,0.0,-14.993,111.051,-0.18,-1.891,-1.891,113.122,113.122,0.0,0.0,1.082,21.633,-14.545,19.157,
08/28/2009,-45.109,-161.095,7.777,41.621,11.601,0.05,29.97,66.588,-9.945,-7.939,-7.252,91.724,0.0,-4.452,-5.142,0.0,0.0,-5.142,-5.142,0.0,0.392,0.392,0.0,0.0,0.0,0.0,0.0,0.298,6.671,-0.27,-1.891,-1.891,10.242,10.242,0.0,-1.41,0.483,-42.407,0.229,3.869,
11/27/2009,16.65,-81.929,7.888,-49.625,6.152,0.133,-55.91,140.316,4.709,-10.848,66.635,79.82,0.0,-232.808,-7.158,0.0,0.0,-7.158,-7.158,0.0,0.156,0.156,0.0,0.0,0.0,0.0,0.0,-225.806,369.192,0.0,-2.238,-2.238,370.846,370.846,0.0,0.584,0.45,153.484,0.3,1.358,
02/28/2010,-0.47,-18.529,8.679,56.706,5.587,0.02,51.099,-47.326,-31.906,8.125,24.304,-47.849,0.0,110.043,-6.864,0.0,0.0,-6.864,-6.864,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,116.757,3.727,0.0,-1.0,-1.0,4.727,4.727,0.0,0.0,-0.495,112.805,1.604,3.797,
