Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Interest,Source: Bloomberg
12/31/1992,4.907,2.281,1.365,-0.029,,,-0.029,1.29,,,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1993,1.378,2.437,0.0,0.168,,,0.168,-1.227,,,-1.227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,2.048,3.064,0.0,0.162,,,0.162,-1.178,,,-1.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,-0.584,3.515,0.0,0.573,,,0.573,-4.672,,,-4.672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,4.429,3.691,2.564,-0.906,,,-0.906,-0.92,,,-0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.429,,
03/31/1994,-0.604,2.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,5.826,2.837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,2.974,3.111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,1.577,3.365,4.185,1.438,,,1.438,-7.62,,,-7.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1995,-0.265,2.889,,0.775,,,0.775,-3.929,,,-3.929,,,-1.088,,,,-1.088,,,,,,,,,,1.088,,,,,,,,,,,,,
06/30/1995,7.223,4.276,,4.077,,,4.077,-1.13,,,-1.13,,,-1.368,,,,-1.368,,,,,,,,,,1.368,,,,,,,,,,,,,
09/30/1995,-1.663,4.707,,-0.48,,,-0.48,-5.89,,,-5.89,,,-1.842,,,,-1.842,,,,,,,,,,1.842,,,,,,,,,,,,,
12/31/1995,0.86,5.178,,3.718,,,3.718,-8.036,,,-8.036,,-1.258,-1.258,,,,-1.258,,,,,,,,,,0.0,,,,,,,,,,,-0.398,,
03/31/1996,7.355,5.507,,-0.311,,,-0.311,2.159,,,2.159,,,-1.124,,,,-1.124,,,,,,,,,,1.124,,,,,,,,,,,,,
06/30/1996,-1.843,6.851,,0.31,,,0.31,-9.004,,,-9.004,,,-1.495,,,,-1.495,,,,,,,,,,1.495,,,,,,,,,,,,,
09/30/1996,-3.075,7.235,,1.701,,,1.701,-12.011,,,-12.011,,,-3.223,,,,-3.223,,,,,,,,,,3.223,,,,,,,,,,,,,
12/31/1996,10.079,8.395,,-1.889,,,-1.889,-3.559,,,-3.559,,,-3.903,,,,-3.903,,,,,,,,,,3.903,,,,,,,,,,,,,
03/31/1997,1.039,15.494,,5.947,,,5.947,-20.402,,,-20.402,,-44.525002,-8.313,0.0,,,-8.313,,,0.0,0.0,0.0,,,,,-36.212002,22.83,0.0,19.466,,,3.364,3.364,0.0,0.0,,-20.656,,
06/30/1997,44.132,17.049999,,30.524,,,30.524,-3.442,,,-3.442,,-39.931,-10.902,0.0,,,-10.902,,,0.0,0.0,0.0,,,,,-29.028999,0.391,0.0,-9.595,,,9.986,9.986,0.0,0.0,,4.592,,
09/30/1997,-26.674999,18.246,,-2.372,,,-2.372,-42.549,,,-42.549,,-10.883,-8.483,0.0,,,-8.483,,,0.0,0.0,0.0,,,,,-2.400001,6.216,0.0,4.283,,,1.933,1.933,0.0,0.0,,-31.341999,,
12/31/1997,2.805,-16.264999,,-8.442,,,-8.442,27.511999,,,27.511999,,-0.725,-8.834,0.0,,,-8.834,,,0.0,0.0,0.0,,,,,8.109,22.593,0.0,14.835,,,7.758,7.758,0.0,0.0,,24.673,,
04/30/1998,-23.884001,29.669001,,0.94,,0.0,0.94,-54.493,-78.614998,7.321,16.800998,,11.242,-7.639,0.0,,,-7.639,,,21.106001,21.106001,0.0,,,,,-2.225001,3.614,0.0,0.452,,,3.162,3.162,0.0,0.0,,-9.028,,
07/31/1998,21.778999,32.173,,0.841,,0.0,0.841,-11.235,-20.457001,0.738,8.484001,,-328.476013,-3.604,0.0,,,-3.604,,,-280.272997,21.106001,-301.378998,,,,,-44.599016,281.417002,0.0,271.441002,,,9.976,9.976,0.0,0.0,,-25.280001,,
10/31/1998,49.924,36.898998,,0.253,,0.0,0.253,12.772,-15.443,-0.757,28.972,,-10.191,-5.869,0.0,,,-5.869,,,-44.470002,-42.212002,-2.258,,,,,40.148002,-39.527,0.0,-42.753,,,3.226,3.226,0.0,0.0,,41.764,,
01/31/1999,54.411999,74.627998,,20.179001,,0.0,20.179001,-40.395,1.891,9.033,-51.319,,1.148,-18.804001,0.0,,,-18.804001,,,44.470002,42.212002,2.258,,,,,-24.518001,347.337999,0.0,314.325998,,,33.012001,33.012001,0.0,0.0,,361.339996,14.094,
04/30/1999,23.362,35.637,,-9.909,,0.0,-9.909,-2.366,-18.259,4.75,11.143,,-10.064,-11.325,0.0,,,-11.325,,,4.459,4.459,0.0,,,,,-3.198,13.312,0.0,-0.436,,,12.068,12.068,0.0,1.68,,26.61,,
07/31/1999,42.262001,41.022999,,11.48,,0.0,11.48,-10.241,-13.377,-7.809,10.945,,-361.990997,-15.325,0.0,,,-15.325,,,0.0,0.0,0.0,,,,,-346.665998,13.954,0.0,-0.134,,,14.088,14.088,0.0,0.0,,-305.774994,,
10/31/1999,55.210999,44.035,,5.724,,,5.724,-17.637,-14.89,-19.818,17.071,,-67.057003,-46.138,0.0,,,-46.138,,,-14.452,,-14.452,,,,,-6.467003,10.016,0.0,-0.422,,,12.118,12.118,0.0,-1.68,,-1.830006,,
01/31/2000,21.546,51.896999,,-10.686,,0.0,-10.686,-19.665001,-21.497999,-30.208,32.040998,,-36.620998,-12.85,0.0,,,-12.85,,,0.0,0.0,0.0,,,,,-23.770998,16.345,0.0,4.056,,,12.289,12.289,0.0,0.0,,1.27,20.329,
04/30/2000,18.542999,56.206001,,21.131001,,0.0,21.131001,-58.793999,-22.122999,-23.000999,-13.67,,-22.903,-12.365,0.0,,,-12.365,,,0.0,0.0,0.0,,,,,-10.538,70.308002,0.0,2.215,,,68.093002,68.093002,0.0,0.0,,65.947998,,
07/31/2000,83.850998,51.702999,,32.675999,,0.0,32.675999,-0.528,-17.183001,5.197,11.458001,,-24.702999,-25.367001,0.0,,,-25.367001,,,0.0,0.0,0.0,,,,,0.664001,8.446001,0.0,-5.798,,,14.244,14.244,0.0,0.0,,67.594002,,
10/31/2000,62.188,64.362,,2.104,,0.0,2.104,-4.278,-21.473,-7.938,25.133,,42.868,-32.723999,0.0,,,-32.723999,,,0.0,0.0,0.0,,,,,75.591999,184.761992,0.0,-0.69,,,47.036999,47.036999,0.0,138.414993,,289.817993,,
01/31/2001,28.014,76.864998,,-76.005997,,0.0,-76.005997,27.155001,-31.26,8.827,49.588001,,-203.117004,-27.358999,0.0,,,-27.358999,,,0.0,0.0,0.0,,,,,-175.758005,632.399017,0.0,592.054016,,,40.345001,40.345001,0.0,0.0,,457.29599,14.665,
04/30/2001,30.041,78.956001,,-4.666,,0.0,-4.666,-44.249001,-31.229,12.725,-25.745001,,40.264,-15.535,0.0,,,-15.535,,,0.0,0.0,0.0,,,,,55.799,13.279,0.0,0.1,,,13.179,13.179,0.0,0.0,,83.584,,
07/31/2001,34.664001,27.983999,,-6.566,,0.0,-6.566,13.246,-51.028,22.396,41.878,,-23.313,-16.077999,0.0,,,-16.077999,,,0.0,0.0,0.0,,,,,-7.235001,4.077,0.0,-0.329,,,4.406,4.406,0.0,0.0,,15.428,,
10/31/2001,20.552999,1.695,,-17.447001,,0.0,-17.447001,36.305,21.028999,13.364,1.912001,,-24.950001,-13.452,0.0,,,-13.452,,,0.0,0.0,0.0,,,,,-11.498001,5.953,0.0,-2.678,,,8.631,8.631,0.0,0.0,,1.556,,
01/31/2002,56.926998,-54.015999,,40.209,,0.0,40.209,6.91,48.617001,7.29,-48.997001,,-114.424004,-9.569,0.0,,,-9.569,,,0.0,0.0,0.0,,,,,-104.855003,43.685999,0.0,41.117999,,,2.568,2.568,0.0,0.0,,-13.811,16.24,
04/30/2002,-9.219,-23.576,,16.940001,,0.0,16.940001,-2.583,26.448,-1.319,-27.712,,-64.557999,-6.545,0.0,,,-6.545,,,0.0,0.0,0.0,,,,,-58.012999,6.238,0.0,-0.533,,,6.771,6.771,0.0,0.0,,-67.539001,,
07/31/2002,47.036999,3.923,,16.17,,0.0,16.17,26.944,57.073002,7.659,-37.788002,,149.908997,-9.785,0.0,,,-9.785,,,0.0,0.0,0.0,,,,,159.693996,-99.563995,0.0,-166.076996,,,66.513,66.513,0.0,0.0,,97.382004,,
10/31/2002,-5.314,-79.682999,,35.361,,0.0,35.361,39.007999,12.377,-2.101,28.732,,-19.440001,-4.733,0.0,,,-4.733,,,0.0,0.0,0.0,,,,,-14.707001,-38.873996,0.0,-42.158997,,,3.285,3.285,0.0,0.0,,-63.627998,,
01/31/2003,64.342003,-30.142,,25.329,,0.0,25.329,69.154999,65.838997,9.207,-5.890998,,-30.052999,-13.029,0.0,,,-13.029,,,0.0,0.0,0.0,,,,,-17.023999,40.417,0.0,35.923,,,4.494,4.494,0.0,0.0,,74.706001,10.458,
04/30/2003,37.293999,-5.819,,20.375999,,0.0,20.375999,22.737,28.926001,-3.3,-2.889001,,59.187,-8.487,0.0,,,-8.487,,,0.0,0.0,0.0,,,,,67.674001,-81.026001,0.0,-86.345001,,,5.319,5.319,0.0,0.0,,15.455,,
07/31/2003,7.705,-1.058,,12.577,,0.0,12.577,-3.814,6.683,3.525,-14.022,,-416.342987,-10.916,0.0,,,-10.916,,,0.0,0.0,0.0,,,,,-405.426987,373.740005,0.0,231.667999,,,142.072006,142.072006,0.0,0.0,,-34.897999,,
10/31/2003,4.959,-3.437,,26.115,,0.0,26.115,-17.719,-11.307,-6.256,-0.156,,-90.139,-6.956,0.0,,,-6.956,,,0.0,0.0,0.0,,,,,-83.183,-4.365,0.0,-28.82,,,24.455,24.455,0.0,0.0,,-89.544998,,
01/31/2004,78.662003,4.928,71.771004,0.0,,0.0,0.0,1.963,32.092999,-8.04,-22.089998,,136.692001,-9.161,0.0,,,-9.161,,,0.0,0.0,0.0,,,,,145.853002,21.845999,0.0,1.009,,,18.455999,18.455999,0.0,2.381,,237.199997,,
04/30/2004,-5.706,7.001,,21.872999,,0.0,21.872999,-34.580002,-3.86,1.016,-31.736002,,244.996002,-7.247,0.0,,,-7.247,,,0.0,0.0,0.0,,,,,252.243002,1.524,0.0,-30.038,,,31.777,31.777,0.0,-0.215,,240.813995,,
07/31/2004,59.415001,13.327,,22.636,,0.0,22.636,23.452,-35.734001,-12.956,72.142001,,-22.722,-16.079,0.0,,,-16.079,,,0.0,0.0,0.0,,,,,-6.643,0.139,0.0,-6.835,,,7.036,7.036,0.0,-0.062,,36.832001,,
10/31/2004,12.588,15.959,,58.938999,,0.0,58.938999,-62.310001,-16.999001,-20.715,-24.596001,,-336.911011,-9.697,0.0,,,-9.697,,,0.0,0.0,0.0,,,,,-327.214011,22.463001,0.0,0.0,,,22.582001,22.582001,0.0,-0.119,,-301.859985,,
01/31/2005,50.730999,21.042999,,-17.091999,,0.0,-17.091999,46.779999,19.427999,-20.041,47.393,,56.7729,-13.128,0.0,,,-13.128,,,0.0,0.0,0.0,,,,,69.9009,14.997,0.0,0.0,,,16.299,16.299,0.0,-1.302,,122.5009,,
04/30/2005,47.470001,24.261,,46.102001,,0.0,46.102001,-22.893,-40.396999,-14.656,32.16,,-35.597,-13.01,0.0,,,-13.01,,,0.0,0.0,0.0,,,,,-22.587,18.840001,0.0,0.0,,,19.367001,38.734001,-19.367001,-0.527,,30.712999,,
07/31/2005,34.923,34.813999,,54.703999,,0.0,54.703999,-54.595001,-18.851999,-2.368,-33.375002,,-69.102997,-16.642,0.0,,,-16.642,,,0.0,0.0,0.0,,,,,-52.460997,11.331,0.0,0.0,,,11.279,11.279,0.0,0.052,,-22.849001,,
10/31/2005,33.757999,38.294998,,12.614,,0.0,12.614,-17.150999,-19.431999,-7.975,10.256,,-59.388,-10.803,0.0,,,-10.803,,,0.0,0.0,0.0,,,,,-48.585,11.596,0.0,0.0,,,11.923,11.923,0.0,-0.327,,-14.034,,
01/31/2006,75.333,-14.97,18.994,7.076,,35.83,-28.754,64.233,-33.885,79.244,18.874,,14.813,4.636,4.636,,,,,,0.0,0.0,0.0,,,,,10.177,-75.845,0.0,-88.083,,,13.324,13.324,,-1.086,,14.301,,
04/30/2010,-98.756,-81.875,,-13.779,,,-13.779,,,,,0.074,-8.796,-5.687,0.0,0.0,0.0,-5.687,-5.687,0.0,0.0,0.0,0.0,-15.292,0.0,-15.292,0.0,2.386,-5.052,0.0,-0.58,,-0.58,-3.649,0.0,-3.649,-0.897,-2.97,-115.574,,
07/31/2010,-9.035,-24.173,,13.779,,,13.779,,,,,0.082,89.921,-4.483,0.0,0.0,0.0,-4.483,-4.483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.435,8.544,0.0,0.58,,0.58,10.673,10.673,0.0,-2.791,0.005,89.435,,
10/31/2010,-110.026,-41.703,,-67.689,,,-67.689,,,,,0.102,-2.989,21.884,27.296,27.296,0.0,-5.412,-5.412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.78,-4.287,0.0,-22.96,,-22.96,18.922,18.922,0.0,-0.351,4.253,-113.049,,
01/31/2011,90.535,15.429,32.5,163.841,38.506,43.011,82.324,-186.381,,,-186.381,-21.725,77.242,-4.711,0.049,0.049,0.0,-4.76,-4.76,0.0,0.0,0.0,0.0,-8.193,0.0,-8.193,0.0,80.238,-23.515,0.0,-9.203,12.0,-21.203,9.604,9.604,0.0,-2.191,1.444,145.706,,
04/30/2011,-51.804,-59.195,,7.391,,,7.391,,,,,,-16.965,-4.606,0.0,0.0,0.0,-4.606,-4.606,0.0,0.0,0.0,0.0,-11.958,0.0,-11.958,0.0,-0.401,-4.923,0.0,7.638,597.0,-589.362,3.195,4.62,-1.425,-15.756,7.603,-66.089,,
07/31/2011,-23.561,-39.697,,-7.391,,,-7.391,,,,,,6.967,-4.685,0.0,0.0,0.0,-4.685,-4.685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.796,1.538,0.0,-0.449,0.0,-0.449,3.269,4.096,-0.827,-1.282,0.445,-14.611,,
10/31/2011,-6.108,35.69,,1.328,,,1.328,,,,,-6.028,-65.902,0.051,0.051,0.051,0.0,0.0,,0.0,0.0,0.0,0.0,-86.74,0.0,-86.74,0.0,34.248,-3.169,0.0,4.297,0.0,4.297,-1.192,1.702,-2.894,-0.246,-4.165,-79.344,,
01/31/2012,47.189,4.476,,6.042,30.057,36.945,-60.96,-51.411,,,-51.411,0.0,48.91,-4.471,1.421,1.421,0.0,-5.892,-5.892,0.0,0.0,0.0,0.0,-11.082,0.0,-11.082,0.0,64.463,0.187,0.0,-1.902,0.136,-2.038,3.98,4.188,-0.208,-1.891,-1.995,94.291,,
04/30/2012,-14.57,-53.21,,38.64,,,38.64,,,,,0.0,-7.451,-5.864,0.0,0.0,0.0,-5.864,-5.864,0.0,0.0,0.0,0.0,-0.66,0.0,-0.66,0.0,-0.927,-3.723,0.0,-1.767,,-1.767,-0.532,1.043,-1.575,-1.424,1.13,-24.614,,
07/31/2012,-33.454,-0.274,,-30.193,,,-30.193,,,,,,-2.861,-3.59,0.0,0.0,0.0,-3.59,-3.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.882,-5.919,0.0,-1.751,0.0,-1.751,-0.293,0.377,-0.67,-3.875,-4.287,-46.521,,
10/31/2012,31.454,3.684,,71.183,,,71.183,,,,,-0.035,-31.191,-2.023,0.0,0.0,0.0,-2.023,-2.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.477,-209.738,0.0,-3.807,0.0,-3.807,0.346,0.401,-0.055,-206.242,1.994,-207.481,,
