Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1992,87.352997,28.007,14.018,13.989,14.122,,,14.673,,,,,2.391,,,,,59.193001,27.377001,39.605999,-12.229,0.0,0.783,,,,,0.783,28.160001,,6.034,6.034,,,,1.084,,,,,,11.132,,,11.132,18.25,1.01,,,,,1.98,,,,,,1.98,2.99,21.24,0.0,36.667999,,,0.0,,29.445,66.112999,0.0,66.112999,87.352999,
06/30/1992,95.545998,33.686,23.483,10.203,14.599,,,15.169,,,,,4.444,,,,,67.898003,27.016001,41.320999,-14.305,0.0,0.632,,,,,0.632,27.648001,,6.6,6.6,,,,1.033,,,,,,12.585,,,12.585,20.218,0.683,,,,,2.368,,,,,,2.368,3.051,23.269,0.0,39.209,,,0.0,,33.068001,72.277001,0.0,72.277001,95.546001,
09/30/1992,102.594002,39.257001,31.006001,8.251,15.582,,,15.265,,,,,4.565,,,,,74.668999,27.309,,,0.0,0.616,,,,,0.616,27.925,,7.241,7.241,,,,0.804,,,,,,14.804001,,,14.804001,22.849001,0.48,,,,,2.368,,,,,,2.368,2.848,25.697001,0.0,40.007,,,0.0,,36.889999,76.896999,0.0,76.896999,102.594,
12/31/1992,107.458,40.743999,18.292,22.452,17.142,,,15.993,,,,,4.699,,,,,78.578003,28.396999,,,0.0,0.483,,,,,0.483,28.879999,,7.797,7.797,,,,0.751,,,,,,13.944001,,,13.944001,22.492001,0.337,,,,,2.368,,,,,,2.368,2.705,25.197001,0.0,41.535999,,,0.0,,40.724998,82.260998,0.0,82.260998,107.457998,
03/31/1993,115.101997,43.300001,19.863001,23.437,17.291,,,16.094,,,,,5.807,,,,,82.491997,31.455,,,0.0,1.155,,,,,1.155,32.61,,7.942,7.942,,,,0.646,,,,,,15.117,,,15.117,23.705,0.243,,,,,2.368,,,,,,2.368,2.611,26.316,0.0,43.594002,,,0.0,,45.192001,88.786003,0.0,88.786003,115.102003,
06/30/1993,126.902,49.079,28.566,20.513,19.177,,,15.485,,,,,7.516,,,,,91.257004,34.457001,50.355,-15.898,0.0,1.188,,,,,1.188,35.645001,,10.134,10.134,,,,0.508,,,,,,16.567999,,,16.567999,27.209999,0.174,,,,,2.182,,,,,,2.182,2.356,29.565999,0.0,47.563,,,0.0,,49.772999,97.335999,0.0,97.335999,126.901998,
09/30/1993,137.218994,55.702999,33.481998,22.221001,17.455,,,15.777,,,,,8.037,,,,,96.972,39.061001,,,0.0,1.186,,,,,1.186,40.247001,,8.099,8.099,,,,0.339,,,,,,22.229,,,22.229,30.667,0.142,,,,,2.182,,,,,,2.182,2.324,32.991,0.0,48.999001,,,0.0,,55.229,104.228001,0.0,104.228001,137.219,
12/31/1993,142.403,56.688,34.256001,22.431999,15.992,,,15.731,,,,,7.601,,,,,96.012001,45.27,,,0.0,1.121,,,,,1.121,46.391001,,10.629,10.629,,,,0.229,,,,,,20.948,,,20.948,31.806,0.108,,,,,2.182,,,,,,2.182,2.29,34.096,0.0,47.424,,,0.0,,60.882999,108.306999,0.0,108.306999,142.402999,
03/31/1994,153.531006,63.745998,45.634998,18.111,14.69,,,17.1,,,,,8.506,,,,,104.042,48.194,,,0.0,1.295,,,,,1.295,49.489,,9.605,9.605,,,,0.169,,,,,,20.077,,,20.077,29.851,0.074,,,,,2.182,,,,,,2.182,2.256,32.107,0.0,54.16,,,0.0,,67.264,121.424,0.0,121.424,153.531,
06/30/1994,178.522995,48.43,28.033001,20.396999,17.950001,,,18.33,,,,,14.77,,,,,99.480003,77.695999,97.352997,-19.657,0.0,1.347,,,,,1.347,79.042999,,10.695,10.695,,,,0.134,,,,,,32.606001,,,32.606001,43.435001,0.04,,,,,4.856,,,,,,4.856,4.896,48.331001,0.0,55.605999,,,0.0,,74.585999,130.191998,0.0,130.191998,178.522999,
09/30/1994,193.953003,61.169001,45.158001,16.011,21.445999,,,15.62,,,,,14.555,,,,,112.790001,78.084999,,,0.0,3.078,,,,,3.078,81.162999,,8.556,8.556,,,,0.131,,,,,,41.812001,,,41.812001,50.499001,0.011,,,,,4.856,,,,,,4.856,4.867,55.366,0.0,55.421001,,,0.0,,83.166,138.587002,0.0,138.587002,193.953002,
12/31/1994,199.229996,69.875999,37.279999,32.596001,18.969,,,15.987,,,,,15.018,,,,,119.849998,76.211998,,,0.0,3.168,,,,,3.168,79.379998,,10.805,10.805,,,,0.107,,,,,,35.705,,,35.705,46.617001,0.001,,,,,4.856,,,,,,4.856,4.857,51.474001,0.0,55.743999,,,0.0,,92.012001,147.756001,0.0,147.756001,199.230001,
03/31/1995,224.772003,78.263,33.692001,44.570999,24.344,,,17.544001,,,,,22.728001,,,,,142.878998,74.932999,,,0.0,6.96,,,,,6.96,81.892999,,14.765,14.765,,,,0.074,,,,,,47.587998,,,47.587998,62.426998,0.0,,,,,1.65,,,,,,1.65,1.65,64.076998,0.0,58.330002,,,0.0,,102.364998,160.695,0.0,160.695,224.771998,
06/30/1995,256.132996,92.294999,54.966,37.328999,27.714001,,,19.105,,,,,22.708,,,,,161.822006,87.925003,131.709,-43.784,0.0,6.386,,,,,6.386,94.311003,,24.785,24.785,,,,0.04,,,,,,41.019002,,,41.019002,65.844002,0.0,,,,,11.579,,,,,,11.579,11.579,77.423002,0.0,64.956001,,,0.0,,113.753998,178.709999,0.0,178.709999,256.133001,
09/30/1995,286.513,101.836998,47.897999,53.938999,53.685001,,,14.488,,,,,22.860001,,,,,192.869995,91.813004,,,0.0,1.83,,,,,1.83,93.643004,,22.976999,22.976999,,,,0.011,,,,,,46.876999,,,46.876999,69.864998,0.0,,,,,7.129,,,,,,7.129,7.129,76.993998,0.0,73.667,,,0.0,,135.852005,209.519005,0.0,209.519005,286.513003,
12/31/1995,331.783997,108.019001,61.511002,46.507999,65.373001,,,19.833,,,,,26.124001,,,,,219.348999,109.278,,,0.0,3.157,,,,,3.157,112.435,,43.515999,43.515999,,,,0.0,,,,,,53.827003,,,53.827003,97.343002,0.0,,,,,7.129,,,,,,7.129,7.129,104.472003,0.0,59.951,,,0.0,,167.360992,227.311993,0.0,227.311993,331.783995,
03/31/1996,378.763,112.487003,63.650002,48.837002,79.125,,,28.410999,,,,,25.382,,,,,245.404999,131.227005,,,0.0,2.131,,,,,2.131,133.358005,,49.991001,49.991001,,,,0.0,,,,,,43.466,,,43.466,93.457001,0.0,,,,,5.129,,,,,,5.129,5.129,98.586001,0.0,79.074997,,,0.0,,201.102005,280.177002,0.0,280.177002,378.763003,
06/30/1996,417.794006,129.253002,60.283001,68.970001,80.664001,,,30.471001,,,,,24.163,,,,,264.550995,147.067993,197.425003,-50.356998,0.0,6.175,,,,,6.175,153.242993,,29.738001,29.738001,,,,0.0,,,,,,58.631002,,,58.631002,88.369003,0.0,,,,,4.0,,,,,,4.0,4.0,92.369003,0.0,90.000999,,,0.0,,235.423996,325.424995,0.0,325.424995,417.793999,
09/30/1996,439.360992,138.190002,59.316002,78.874001,82.001999,,,34.597,,,,,23.322001,,,,,278.110992,154.895996,,,0.0,6.354,,,,,6.354,161.249996,,24.754999,24.754999,,,,0.0,,,,,,61.618002,,,61.618002,86.373001,0.0,,,,,4.0,,,,,,4.0,4.0,90.373001,0.0,81.586998,,,0.0,,267.401001,348.987999,0.0,348.987999,439.361,
12/31/1996,490.003998,178.771999,35.868999,142.903,81.556,,,37.470001,,,,,23.753,,,,,321.550995,162.014999,,,0.0,6.438,,,,,6.438,168.453,,19.068001,19.068001,,,,0.0,,,,,,49.621002,,,49.621002,68.689003,0.0,,,,,4.0,,,,,,4.0,4.0,72.689003,0.0,115.903,,,0.0,,301.411987,417.314987,0.0,417.314987,490.00399,
03/31/1997,524.30603,202.810002,11.536,191.274002,83.301003,,,36.463001,,,,,28.274,,,,,350.847992,166.964996,,,0.0,6.493,,,,,6.493,173.457996,,22.087,22.087,,,,0.0,,,,,,54.354002,,,54.354002,76.441002,0.0,,,,,4.0,,,,,,4.0,4.0,80.441002,0.0,108.299004,,,0.0,,335.56601,443.865013,0.0,443.865013,524.306015,
06/30/1997,556.386,223.953,18.562,205.391,91.642,91.642,,36.833,,,,,24.579,,,,,377.007,174.508,241.609,-67.101,0.0,4.871,,,,,4.871,179.379,,25.249,25.249,,,,0.0,,,,,,59.972,,,59.972,85.221,0.0,,,,,5.6,,,,,,5.6,5.6,90.821,0.0,92.901,,,0.0,373.77,-1.106,465.565,0.0,465.565,556.386,
09/27/1997,621.106995,275.307993,22.197001,253.110992,95.762001,,,37.013,,,,,25.551001,,,,,433.634003,182.766998,253.690002,-70.922997,0.0,4.706,,,,,4.706,187.472998,,28.228001,28.228001,,,,0.0,,,,,,55.938,,,55.938,84.166,0.0,,,,,5.6,,,,,,5.6,5.6,89.766,0.0,119.356003,,,0.0,,411.984985,531.340988,0.0,531.340988,621.106988,
12/27/1997,633.277,226.797,12.679,214.118,100.435,100.435,,38.534,3.124,22.685,12.725,,27.344,,,,,393.11,233.625,,,,6.542,,,,,6.542,240.167,,31.133,31.133,,,,,,,,,,63.557,,,63.557,94.69,,,,,,5.6,,,,,,5.6,5.6,100.29,,78.472,,,,456.563,-2.048,532.987,,532.987,633.277,
03/28/1998,708.643005,284.200008,35.033001,249.167007,107.127998,,,40.948002,,,,,29.951,,,,,462.22699,239.735001,318.628998,-78.893997,0.0,6.681,,,,,6.681,246.416001,,33.696999,33.696999,,,,0.0,,,,,,59.942001,,,59.942001,93.639,0.0,,,,,5.6,,,,,,5.6,5.6,99.239,0.0,108.904999,,,0.0,,500.498993,609.403992,0.0,609.403992,708.642992,
06/27/1998,769.492004,322.948015,16.739,306.209015,101.920998,,,44.707001,,,,,38.438999,,,,,508.015015,255.453003,339.201996,-83.749001,0.0,6.024,,,,,6.024,261.477003,,35.168999,35.168999,,,,0.0,,,,,,95.123008,,,95.123008,130.292007,0.0,,,,,8.2,,,,,,8.2,8.2,138.492007,0.0,81.249001,,,0.0,,549.750977,630.999978,0.0,630.999978,769.491985,
09/26/1998,792.367981,342.058998,52.275002,289.783997,99.478996,,,44.707001,4.469,29.746,10.492,0.0,37.518002,,,,,523.763,262.614014,349.157013,-86.542999,0.0,5.991,,,,,5.991,268.605014,,26.075001,26.075001,,,,0.0,,,,,,101.497997,,,101.497997,127.572998,0.0,,,,,8.2,,,,,,8.2,8.2,135.772998,0.0,56.743999,,,0.0,,599.851013,656.595013,0.0,656.595013,792.368011,
12/26/1998,844.85498,392.452988,53.666,338.786987,87.403,,,43.308998,3.688,24.809999,15.34,0.0,43.944,,,,,567.109009,269.980011,360.579987,-90.599998,0.0,7.766,,,,,7.766,277.746011,,28.188999,28.188999,,,,0.0,,,,,,74.947002,,,74.947002,103.136002,0.0,,,,,8.2,,,,,,8.2,8.2,111.336001,0.0,87.186996,,,0.0,,646.33197,733.518967,0.0,733.518967,844.854968,
03/27/1999,920.434,464.805,45.19,419.615,84.744,84.744,,43.057,3.528,22.047,17.482,,48.319,,,,,640.925,272.887,,,,6.622,,,,,6.622,279.509,,23.97,23.97,,,,,,,,,,85.374,,,85.374,109.344,,,,,,8.2,,,,,,8.2,8.2,117.544,,108.889,,,,695.47,-1.469,802.89,,802.89,920.434,
06/26/1999,1022.314026,514.705986,34.125999,480.579987,79.330002,,,45.283001,3.473,18.931999,22.878,0.0,89.555,,,,,728.874023,290.132996,390.376007,-100.242996,0.0,3.307,,,,,3.307,293.439996,,40.257,40.257,,,,0.0,,,,,,80.641003,,,80.641003,120.898003,0.0,,,,,22.200001,,,,,,22.200001,22.200001,143.098003,0.0,132.649994,,,0.0,,746.565979,879.215973,0.0,879.215973,1022.313976,
09/25/1999,1115.175,579.272,62.166,517.106,93.074,93.074,,44.855,4.277,21.226,19.352,0.0,76.883,,,,,794.084,317.009,424.35199,-107.343002,0.0,4.082,,,,,4.082,321.091,,43.177,43.177,,,,0.0,,,,,,104.136,,,104.136,147.313,0.0,,,,,22.2,,,,,,22.2,22.2,169.513,0.0,140.742,,,0.0,806.39,-1.47,945.662,0.0,945.662,1115.175,
12/25/1999,1150.447998,573.072987,28.160999,544.911987,103.405998,,,44.390999,3.664,19.945,20.782,0.0,78.341003,,,,,799.210999,343.119995,458.459015,-115.338997,0.0,8.117,,,,,8.117,351.236995,,46.069,46.069,,,,0.0,,,,,,92.119995,,,92.119995,138.188995,0.0,,,,,22.200001,,,,,,22.200001,22.200001,160.388996,0.0,120.508003,,,0.0,,869.551025,990.059029,0.0,990.059029,1150.448025,
03/25/2000,1309.482056,670.768982,74.026001,596.742981,125.074997,,,51.351002,4.971,25.872999,20.507,0.0,81.149002,,,,,928.343994,372.937988,500.893005,-127.955002,0.0,8.2,,,,,8.2,381.137988,,56.578999,56.578999,,,,0.0,,,,,,107.400997,,,107.400997,163.979996,0.0,,,,,22.200001,,,,,,22.200001,22.200001,186.179996,0.0,179.048004,,,0.0,,944.254028,1123.302032,0.0,1123.302032,1309.482029,
09/23/2000,1421.225,712.709,50.742,661.967,144.481,144.481,,64.04,6.531,27.947,29.562,,65.296,,,,,986.526,429.033,604.215027,-175.182007,0.0,5.666,,,,,5.666,434.699,,59.741,59.741,,,,0.0,,,,,,148.718,,,148.718,208.459,0.0,,,,,23.5,,,,,,23.5,23.5,231.959,0.0,68.808,,,0.0,1121.928,-1.47,1189.266,0.0,1189.266,1421.225,
12/30/2000,1504.014,757.271,59.702,697.569,127.42,127.42,,63.451,7.429,25.089,30.933,,63.124,,,,,1011.266,486.534,,,,6.214,,,,,6.214,492.748,,81.197,81.197,,,,,,,,,,149.373,,,149.373,230.57,,,,,,23.5,,,,,,23.5,23.5,254.07,,30.389,,,,1221.025,-1.47,1249.944,,1249.944,1504.014,
03/31/2001,1630.747,846.262,61.155,785.107,143.978,143.978,,63.152,5.635,34.884,22.633,,57.796,,,,,1111.188,512.119,,,0.0,7.44,,,,,7.44,519.559,,74.908,74.908,,,,0.0,,,,,,149.04,,,149.04,223.948,0.0,,,,,23.5,,,,,,23.5,23.5,247.448,0.0,57.006,,,0.0,1324.962,1.331,1383.299,0.0,1383.299,1630.747,
06/24/2001,2430.531006,1220.352028,93.795998,1126.55603,152.488007,,,162.656006,21.893,91.726997,49.035999,,163.595993,,,,,1699.092041,712.039001,1408.546021,-696.507019,0.0,19.4,,,,,19.4,731.439001,,100.920998,100.920998,,,,0.0,0.0,0.0,0.0,,,224.456017,,,224.456017,325.377014,0.0,0.0,0.0,0.0,,4.0,,,,,,4.0,4.0,329.377014,0.0,351.981995,,,0.0,,1749.171997,2101.153992,0.0,2101.153992,2430.531006,
09/29/2001,2238.92,1075.129,139.455,935.674,99.462,99.462,,159.308,19.929,100.464,38.915,,162.792,,,,,1496.691,723.443,1433.86499,-710.421997,0.0,18.786,,,,,18.786,742.229,,82.532,82.532,,,,0.0,0.0,0.0,0.0,,,212.788,,,212.788,295.32,0.0,0.0,0.0,0.0,,4.0,,,,,,4.0,4.0,299.32,0.0,129.404,,,0.0,1806.932,3.264,1939.6,0.0,1939.6,2238.92,
12/29/2001,2268.578,1097.207,158.728,938.479,94.754,94.754,,154.447,16.386,103.679,34.382,,174.792,,,,,1521.2,727.8,,,,19.578,,,,,19.578,747.378,,61.005,61.005,,,,,,,,,,204.949,,,204.949,265.954,,,,,,4.0,,,,,,4.0,4.0,269.954,,127.55,,,,1869.486,1.588,1998.624,,1998.624,2268.578,
03/30/2002,2216.664,1015.278,71.189,944.089,108.569,108.569,,147.724,15.349,102.754,29.621,,179.859,,,,,1451.43,737.689,1409.218994,-671.530029,0.0,27.545,,,,,27.545,765.234,,45.332,45.332,,,,0.0,0.0,0.0,0.0,,,178.732,,,178.732,224.064,0.0,0.0,0.0,0.0,,7.298,,,,,,7.298,7.298,231.362,0.0,49.984,,,0.0,1936.213,-0.895,1985.302,0.0,1985.302,2216.664,
06/29/2002,2010.812012,765.500977,173.807007,591.69397,129.811996,,,139.205994,12.742,95.459999,31.004,,201.145004,,,,,1235.66394,746.161011,1432.18396,-686.02301,0.0,28.987,,,,,28.987,775.148011,,45.284,45.284,,,,0.0,0.0,0.0,0.0,,,183.742993,,,183.742993,229.026993,0.0,0.0,0.0,0.0,,40.633999,,,,,,40.633999,40.633999,269.660992,0.0,55.255001,,,0.0,,1685.895996,1741.150997,0.0,1741.150997,2010.811989,
09/28/2002,2089.25,787.691,160.431,627.26,135.43,135.43,,136.304,12.432,81.496,42.376,,226.428,,,,,1285.853,769.113,1470.479004,-701.366028,0.0,34.284,,,,,34.284,803.397,,48.258,48.258,,,,0.0,0.0,0.0,0.0,,,183.94,,,183.94,232.198,0.0,0.0,0.0,0.0,,70.383,,,,,,70.383,70.383,302.581,0.0,40.629,,,0.0,1745.946,0.094,1786.669,0.0,1786.669,2089.25,
12/28/2002,2186.416,945.682,180.153,765.529,122.577,122.577,,127.929,11.79,83.955,32.184,,194.302,,,,,1390.49,762.36,1471.047974,-708.687988,0.0,33.566,,,,,33.566,795.926,,32.942,32.942,,,,0.0,0.0,0.0,0.0,,,179.366,,,179.366,212.308,0.0,0.0,0.0,0.0,,74.659,,,,,,74.659,74.659,286.967,0.0,82.166,,,0.0,1816.608,0.675,1899.449,0.0,1899.449,2186.416,
03/29/2003,2283.933105,1056.720017,235.033005,821.687012,123.863998,,,123.751999,11.516,87.292,24.944,0.0,189.953003,,,,,1494.28894,756.049011,1479.654053,-723.60498,0.0,33.595001,,,,,33.595001,789.644012,,37.768002,37.768002,,,,0.0,0.0,0.0,0.0,,,177.548999,,,177.548999,215.317001,0.0,0.0,0.0,0.0,,77.720001,,,,,,77.720001,77.720001,293.037002,0.0,103.364998,,,0.0,,1887.531006,1990.896004,0.0,1990.896004,2283.933006,
06/28/2003,2367.962,1164.007,210.841,953.166,126.76,126.76,,121.192,10.249,79.687,31.256,0.0,152.683,,,,,1564.642,769.885,1507.546,-737.661,0.0,33.435,0.0,0.0,0.0,,33.435,803.32,,42.041,42.041,,,,0.0,0.0,0.0,0.0,,,173.876,,,173.876,215.917,0.0,0.0,0.0,0.0,,81.633,,,,,,81.633,81.633,297.55,0.0,112.497,,,0.0,1956.491,1.424,2070.412,0.0,2070.412,2367.962,
09/27/2003,2504.457031,1294.64006,163.835007,1130.805054,130.981995,,,115.448997,10.995,72.950996,31.503,0.0,153.485001,,,,,1694.55603,777.844971,1529.734009,-751.888977,0.0,32.056,0.0,0.0,0.0,,32.056,809.90097,,49.623001,49.623001,,,,0.0,0.0,0.0,0.0,,,179.983994,,,179.983994,229.606995,0.0,0.0,0.0,0.0,,85.633003,,,,,,85.633003,85.633003,315.239998,0.0,171.024002,,,0.0,2017.72998,0.463013,2189.216995,0.0,2189.216995,2504.456993,
12/27/2003,2595.824951,1329.549011,159.789001,1169.76001,133.436996,,,108.275002,10.027,70.137001,28.111,0.0,156.832993,,,,,1728.093994,833.560974,1597.359985,-763.799011,0.0,34.169998,0.0,0.0,0.0,,34.169998,867.730972,,57.210999,57.210999,,,,0.0,0.0,0.0,0.0,,,182.798004,,,182.798004,240.009003,0.0,0.0,0.0,0.0,,92.133003,,,,,,92.133003,92.133003,332.142006,0.0,174.417007,,,0.0,2089.864014,-0.597901,2263.68312,0.0,2263.68312,2595.825126,
03/27/2004,2439.759033,1089.011024,109.032997,979.978027,162.423004,,,103.365997,10.757,68.153,24.455999,0.0,163.145004,,,,,1517.944946,889.062988,1666.869995,-777.807007,0.0,32.750999,0.0,0.0,0.0,,32.750999,921.813987,,85.429001,85.429001,,,,0.0,0.0,0.0,0.0,,,201.715988,,,201.715988,287.144989,0.0,0.0,0.0,0.0,,106.805,,,,,,106.805,106.805,393.949989,0.0,78.581001,,,0.0,1961.781006,5.447021,2045.809028,0.0,2045.809028,2439.759017,
06/26/2004,2549.462,1096.613,147.734,948.879,197.158,197.158,,117.785,14.713,73.833,29.239,0.0,166.558,,,,,1578.114,942.186,1735.74,-793.554,0.0,29.162,0.0,0.0,0.0,,29.162,971.348,,93.856,93.856,,,,0.0,0.0,0.0,0.0,,,224.889,,,224.889,318.745,0.0,0.0,0.0,0.0,,118.399,,,,,,118.399,118.399,437.144,0.0,80.462,,,0.0,2038.82,-6.964,2112.318,0.0,2112.318,2549.462,
09/25/2004,2706.030029,1185.560028,246.404999,939.155029,200.490997,200.490997,,135.817993,17.025,80.205002,38.588001,0.0,164.475006,,,,,1686.339966,990.765015,,,0.0,28.922001,0.0,0.0,0.0,,28.922001,1019.687016,,90.003998,90.003998,,,,0.0,0.0,0.0,0.0,,,267.187012,,,267.187012,357.19101,0.0,0.0,0.0,0.0,,122.649002,,,,,,122.649002,122.649002,479.840012,0.0,71.667,,,0.0,2157.419922,-2.899902,2226.187019,0.0,2226.187019,2706.027031,
12/25/2004,2808.854,1286.684,164.414,1122.27,179.682,179.682,,146.582,16.674,87.654,42.254,0.0,164.247,,,,,1777.195,1003.965,,,0.0,27.694,0.0,0.0,0.0,,27.694,1031.659,,61.74,61.74,,,,0.0,0.0,0.0,0.0,,,235.857,,,235.857,297.597,0.0,0.0,0.0,0.0,,126.569,,,,,,126.569,126.569,424.166,0.0,121.011,,,0.0,2269.462,-5.785,2384.688,0.0,2384.688,2808.854,
