Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2012,150194,32064,17378,14686,12485,15844,6745,0,9099,0,8823,91.0,,,8714,69216,24275,,,6162,6162.0,50541,38120,28433.0,9687.0,,6793,5537,80978,,51174,27576,,,23598,5350,5350,,,,,53,,4.0,,0,56577,8874,8874,,,,44603,,31849,12750,53477,110054,10391.0,26350,16,26334,0.0,8283,-5768,39256,884,40140,150194,
06/30/2012,151987,33565,22184,11381,11117,15433,7112,0,8321,0,10118,39.0,,,10006,70233,25026,,,6552,6552.0,50176,37597,28405.0,9192.0,,7058,5482,81754,,51514,26425,,,25089,5092,5092,,,,,45,,6.0,,0,56651,9701,9701,,,,44025,,31290,12729,53726,110377,10391.0,26415,16,26399,0.0,9889,-5995,40700,910,41610,151987,
09/30/2012,155456,33731,23320,10411,13015,15672,7241,0,8431,0,9689,28.0,,,9584,72107,26578,,,6855,6855.0,49916,37312,28408.0,8904.0,,7519,5057,83349,,51325,26313,,,25012,6278,6278,,,,,20,,1.0,,0,57623,10375,10375,,,,44829,,32072,12756,55204,112827,10391.0,26459,16,26443,0.0,11533,-6724,41659,970,42629,155456,
12/31/2012,149422,27410,18422,8988,10395,14714,6560,0,8154,0,17477,22.0,,27922.0,7904,69996,24196,29752.0,-5556.0,6954,6954.0,48276,8782,1973.0,6809.0,,6883,4667,79426,,48448,25166,0.0,0.0,23282,5518,5335,183.0,183.0,,,26,0.0,1.0,603.0,0,53992,10532,9677,855.0,855.0,,47898,0.0,34729,12565,58430,112422,10391.0,23848,14,23834,0.0,10057,-8052,36244,756,37000,149422,
03/31/2013,153775,27203,20643,6560,12559,15200,6923,0,8277,0,17608,7.0,,27669.0,8224,72570,24893,,,7169,7169.0,49143,8965,1968.0,6997.0,,7470,5032,81205,,49558,27117,,,22441,6972,6972,,,,,9,,2.0,,0,56539,11452,11452,,,,47449,,34021,13426,58901,115440,10391.0,23790,14,23776,0.0,11017,-7611,37587,748,38335,153775,
06/30/2013,163110,25955,19697,6258,11119,14777,6326,0,8451,0,25894,51.0,,26608.0,16053,77745,25351,,,11453,11453.0,48561,8591,1993.0,6598.0,,7463,5848,85365,,50050,26820,,,23230,9961,9961,,,,,10,,1.0,,0,60021,16787,16787,,,,47298,,33826,13471,64085,124106,10391.0,23832,14,23818,0.0,12191,-8040,38374,630,39004,163110,
09/30/2013,168539,28570,20355,8215,11067,15357,6718,0,8639,0,26170,89.0,,26020.0,16242,81164,26247,,,12222,12222.0,48906,8317,1953.0,6364.0,,7897,6583,87375,,51119,27242,,,23877,11439,11439,,,,,5,,2.0,,0,62563,20684,20684,,,,47931,,33885,14044,68615,131178,7964.0,23892,14,23878,0.0,12903,-7981,36778,583,37361,168539,
12/31/2013,166344,28993,20021,8972,22813,14039,5872,0,8167,0,15656,,,22736.0,5307,81501,25867,32654.0,-6787.0,14354,14354.0,44622,7228,1560.0,5668.0,,8094,6564,84843,,48254,23621,0.0,0.0,24633,14158,14004,154.0,154.0,,,0,0.0,,,0,62412,22025,21214,811.0,811.0,,38733,0.0,25380,13353,60758,123170,3109.0,28795,15,28780,0.0,13816,-3113,42607,567,43174,166344,
03/31/2014,173606,28142,19426,8716,26789,14837,6442,0,8395,0,17057,,,22840.0,6467,86825,26367,,,14866,14866.0,45548,7005,1563.0,5442.0,,8747,6956,86781,,54373,27715,,,26658,14849,14849,,,,,0,,,,0,69222,22918,22918,,,,38626,,24985,13641,61544,130766,3109.0,28794,16,28778,0.0,13457,-3138,42222,618,42840,173606,
06/30/2014,179098,29799,19864,9935,27277,15200,6165,0,9035,0,19367,,,22582.0,7868,91643,27023,,,15430,15430.0,45002,6793,1573.0,5220.0,,7485,8142,87455,,56544,26992,,,29552,15803,15803,,,,,0,,,,0,72347,24273,24273,,,,39893,,24894,14999,64166,136513,3109.0,28856,16,28840,0.0,13162,-3133,41994,591,42585,179098,
09/30/2014,176908,27630,18060,9570,26552,15210,6172,0,9038,0,17248,,,23574.0,7270,86640,27375,,,15604,15604.0,47289,6644,1559.0,5085.0,,7983,9088,90268,,53943,24773,,,29170,13386,13386,,,,,0,,,,0,67329,27719,27719,,,,38297,,23926,14371,66016,133345,3109.0,28848,16,28832,0.0,13975,-2930,43002,561,43563,176908,
12/31/2014,177501,28176,18954,9222,25606,13642,5380,0,8262,0,16202,0.0,,25414.0,6442,83626,27743,35810.0,-8067.0,16006,16006.0,50126,6410,1427.0,4983.0,,8350,9952,93875,,50713,22529,,,28184,14944,14764,180.0,180.0,,,0,0.0,0.0,,0,65657,31721,30933,788.0,788.0,,44099,0.0,30017,14082,75820,141477,,28953,16,28937,0.0,14577,-8073,35457,567,36024,177501,
03/31/2015,179918,24185,15776,8409,27696,14051,5879,0,8172,0,17299,,,24782.0,7595,83231,27755,,,16180,16180.0,52752,6297,,,,9756,11917,96687,,52991,25187,,,27804,14351,14351,,,,,0,,,,0,67342,33907,33907,,,,41846,,28295,13551,75753,143095,0.0,28835,16,28819,0.0,14825,-7331,36329,494,36823,179918,
06/30/2015,185812,24827,17627,7200,27536,14218,5563,0,8655,0,17973,,,24998.0,8684,84554,28431,,,17277,17277.0,55550,6181,,,,8403,15968,101258,,55125,24247,,,30878,14403,14403,,,,,0,,,,0,69528,39114,39114,,,,41500,,28252,13248,80614,150142,0.0,28177,16,28161,0.0,14512,-7543,35146,524,35670,185812,
09/30/2015,189000,23462,15433,8029,27703,14368,5807,0,8561,0,16808,,,24799.0,7600,82341,29381,,,17671,17671.0,59607,6083,,,,8872,19853,106659,,55737,25188,,,30549,17002,17002,,,,,0,,,,0,72739,40401,40401,,,,40725,,27577,13148,81126,153865,0.0,27760,16,27744,0.0,14912,-8034,34638,497,35135,189000,
12/31/2015,194338,23401,15238,8163,26388,13764,5147,0,8617,0,5855,0.0,,36860.0,5855,69408,31229,40745.0,-9516.0,18500,18500.0,75201,5947,1371.0,4576.0,,9201,23193,124930,,51655,24062,,,27593,19562,19328,234.0,234.0,,,0,0.0,0.0,,0,71217,43549,42857,692.0,692.0,,39249,0.0,26596,12653,82798,154015,0.0,27622,15,27607,0.0,20285,-8036,39871,452,40323,194338,
03/31/2016,203618,21431,14894,6537,28213,15817,6134,0,9683,0,5573,,,36374.0,5573,71034,32652,,,19145,19145.0,80787,5891,,,,9640,28882,132584,,53399,26766,,,26633,21588,21588,,,,,0,,,,0,74987,49561,49561,,,,37745,,24965,12780,87306,162293,0.0,27478,15,27463,0.0,21508,-8054,40932,393,41325,203618,
06/30/2016,210449,23170,18923,4247,30261,15026,6297,0,8729,0,6173,,,35627.0,6173,74630,33510,,,19309,19309.0,83000,6433,,,,8198,32742,135819,,54813,26959,,,27854,21230,21230,,,,,0,,,,0,76043,54090,54090,,,,36313,,23614,12699,90403,166446,0.0,27750,16,27734,0.0,23785,-7905,43630,373,44003,210449,
09/30/2016,217576,24104,15932,8172,31232,15427,6309,0,9118,0,5733,,,35025.0,5733,76496,34713,,,20299,20299.0,86068,6354,,,,8645,36044,141080,,57161,28628,,,28533,25374,25374,,,,,0,,,,0,82535,53726,53726,,,,36300,,23216,13084,90026,172561,0.0,27256,15,27241,0.0,25417,-7953,44720,295,45015,217576,
12/31/2016,221690,24415,12574,11841,24827,11040,5008,0,6032,0,15921,0.0,11178.0,33172.0,4743,76203,32603,53269.0,-20666.0,17001,17001.0,95883,6149,1856.0,4293.0,,8996,47566,145487,,46531,23333,,,23198,23797,23797,,,,,14853,2285.0,0.0,,12158,85181,51326,51326,,,,41108,0.0,21067,17756,92434,177615,0.0,26998,15,26983,0.0,26168,-9330,43836,239,44075,221690,
03/31/2017,230793,23124,12864,10260,34801,14686,6014,0,8672,0,6987,,,34263.0,6987,79598,37202,,,22540,22540.0,91453,6193,,,,9416,41581,151195,,57203,28725,,,28478,33701,33701,,,,,0,,,,0,90904,57200,57200,,,,36475,,23407,13068,93675,184579,0.0,27027,15,27012,0.0,28195,-9250,45972,242,46214,230793,
06/30/2017,240300,25731,16598,9133,29092,11289,5107,0,6182,0,18969,,12762.0,32425.0,6207,85081,34301,,,20137,20137.0,100781,5989,,,,8248,54119,155219,,50005,23404,,,26601,30008,30008,,,,,14293,,,,14293,94306,59081,59081,,,,41188,,20527,20661,100269,194575,0.0,26343,15,26328,0.0,28547,-9369,45521,204,45725,240300,
09/30/2017,229502,21246,12792,8454,29412,11789,4956,0,6833,0,14171,,7630.0,30723.0,6541,76618,35178,,,21021,21021.0,96685,5854,,,,8820,51288,152884,,49868,23265,,,26603,25607,25607,,,,,6374,,,,6374,81849,67066,67066,,,,37110,,19877,17233,104176,186025,0.0,25796,14,25782,0.0,24230,-7783,42243,1234,43477,229502,
12/31/2017,212482,23825,15512,8313,28685,10663,4203,0,6460,0,5571,0.0,0.0,23544.0,5571,68744,36253,60334.0,-24081.0,21208,21208.0,86277,5849,1857.0,3992.0,,9073,47811,143738,,46525,23929,,,22596,26965,26689,276.0,276.0,,,3400,2887.0,0.0,,0,76890,67254,66811,443.0,443.0,,32138,0.0,19744,9507,99392,176282,0.0,25385,14,25371,0.0,17627,-8011,35001,1199,36200,212482,
03/31/2018,218726,21366,14256,7110,31926,11461,4736,0,6725,0,6682,,,23538.0,6682,71435,37321,,,22146,22146.0,87824,5790,,,,9883,48613,147291,,53369,26039,,,27330,29347,29347,,,,,0,,,,0,82716,69471,69471,,,,31081,,19136,11945,100552,183268,0.0,25351,14,25337,0.0,17028,-8081,34298,1160,35458,218726,
06/30/2018,218641,22011,15087,6924,31668,10833,4267,0,6566,0,5939,,,23285.0,5939,70451,38003,,,22996,22996.0,87191,5720,,,,8788,49398,148190,,52028,24660,,,27368,28264,28264,,,,,0,,,,0,80292,69995,69995,,,,29718,,17842,11876,99713,180005,0.0,25479,14,25465,0.0,18873,-8171,36181,2455,38636,218641,
09/30/2018,225711,24351,18435,5916,33808,11334,4634,0,6700,0,5355,,,23242.0,5355,74848,38655,,,24086,24086.0,88122,5651,,,,9155,50074,150863,,53251,25147,,,28104,30865,30865,,,,,0,,,,0,84116,71475,71475,,,,29212,,16951,12261,100687,184803,0.0,25517,14,25503,0.0,20865,-8321,38061,2847,40908,225711,
12/31/2018,227339,26810,20844,5966,33399,9816,4274,0,5542,0,5268,0.0,,24082.0,5268,75293,38758,65483.0,-26725.0,25083,25083.0,88205,5579,1861.0,3718.0,,9215,49329,152046,,46842,22297,,,24545,31891,31754,137.0,137.0,,,3504,2959.0,0.0,,0,82237,73060,72669,391.0,391.0,,29265,0.0,16908,9398,102325,184562,,25577,14,25563,0.0,22322,-9039,38860,3917,42777,227339,
03/31/2019,233132,23197,17176,6021,39346,11108,4685,0,6423,0,6439,,,24303.0,6439,80090,38336,,,25448,25448.0,89258,5518,,,,8266,51171,153042,,51795,24560,,,27235,33508,33272,236.0,,236.0,,0,,,,0,85303,74650,73812,838.0,,838.0,28541,,16462,12079,103191,188494,0.0,25675,14,25661,0.0,23939,-8849,40765,3873,44638,233132,
06/30/2019,233737,24121,17072,7049,38287,11447,4818,0,6629,0,7451,,,23987.0,7451,81306,38188,,,26264,26264.0,87979,5457,,,,8340,50195,152431,,50914,22717,,,28197,33380,33149,231.0,,231.0,,0,,,,0,84294,74236,73412,824.0,,824.0,28118,,16148,11970,102354,186648,,25779,14,25765,0.0,25807,-8770,42816,4273,47089,233737,
09/30/2019,231529,26776,20051,6725,34941,11797,5313,0,6484,0,7051,,,23783.0,7051,80565,37969,,,25743,25743.0,87252,5408,,,,8496,49565,150964,,49235,21406,,,27829,35017,34774,243.0,,243.0,,0,,,,0,84252,70692,69692,1000.0,,1000.0,27814,,15524,12290,98506,182758,,25942,14,25928,0.0,27609,-8997,44554,4217,48771,231529,
12/31/2019,228037,23243,19069,4174,33398,10398,4713,0,5685,0,7953,0.0,,24640.0,7953,74992,38750,67449.0,-28699.0,26355,26355.0,87940,5337,1859.0,3478.0,,8562,49401,153045,,44032,21018,,,23014,37639,37291,348.0,109.0,239.0,,3234,2962.0,0.0,,0,84905,66924,65723,1201.0,201.0,1000.0,30251,0.0,18105,9184,97175,182080,,26088,14,26074,0.0,26860,-11156,41792,4165,45957,228037,
03/31/2020,246624,46126,38506,7620,33856,10799,4843,0,5956,0,6918,,,24441.0,6918,97699,37969,,,25948,25948.0,85008,5225,,,,7521,47821,148925,,46231,20031,,,26200,45061,44976,85.0,85.0,,,0,,,,0,91292,81439,81220,219.0,219.0,,29576,,17271,12305,111015,202307,0.0,26028,14,26014,0.0,25885,-11800,40113,4204,44317,246624,
06/30/2020,237535,37482,28228,9254,30797,10280,5149,0,5131,0,8938,,,24654.0,8938,87497,37066,,,28999,28999.0,83973,5282,,,,7724,46313,150038,,37756,15154,,,22602,40148,39958,190.0,65.0,125.0,,0,,,,0,77904,87985,86876,1109.0,274.0,835.0,28153,,17085,11068,116138,194042,,26101,14,26087,0.0,25104,-11901,39304,4189,43493,237535,
