Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Discontinued Operations,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2008,9573,136,136,0.0,460,460,,,414,,,,,904,,,,,,,1914,1038,1648.0,-610.0,2963.0,,3658,2431,1353,1078,,1227,7659,,316,316,,,,169,,,,,,1684,,,,1684,2169,1815,,,,,3247,,,3247,5062,7231,0.0,3692,,,-870.0,-578.0,98,2342,0.0,2342,9573,
03/31/2009,9444,135,135,0.0,554,554,0.0,,392,0.0,378.0,0.0,14.0,843,154.0,,,,,567.0,1924,1006,,,2864.0,2864.0,3650,2408,1341,1067,,1242,7520,,998,384,,,614.0,166,0.0,,,,166.0,1030,292.0,,937.0,390,2194,1747,1747.0,,,,3124,,,1895,4871,7065,0.0,3696,2.0,3694.0,-870.0,-540.0,93,2379,0.0,2379,9444,
06/30/2009,9379,174,174,0.0,400,400,0.0,,391,0.0,325.0,0.0,66.0,837,152.0,,,,,583.0,1802,1018,,,2833.0,2833.0,3726,2446,1382,1064,,1280,7577,,905,373,,,532.0,169,0.0,,,,169.0,944,292.0,,1005.0,365,2018,1759,1759.0,,,,3092,,,1795,4851,6869,,3717,2.0,3715.0,-870.0,-477.0,140,2510,0.0,2510,9379,
09/30/2009,9342,170,170,0.0,379,379,0.0,0.0,360,0.0,306.0,0.0,54.0,790,127.0,,,,,568.0,1699,1014,,,2828.0,2828.0,3801,2447,1386,1061,,1354,7643,,825,247,,,578.0,176,0.0,,,,176.0,821,285.0,,1025.0,333,1822,1813,1813.0,,,,3080,,,1770,4893,6715,0.0,3727,2.0,3725.0,-870.0,-380.0,150,2627,0.0,2627,9342,
12/31/2009,9352,155,155,0.0,404,404,0.0,,354,0.0,352.0,0.0,2.0,827,116.0,181.0,,279.0,,519.0,1740,953,1686.0,-733.0,2792.0,2792.0,3867,2437,1386,1051,,970,7612,,839,260,,,579.0,175,0.0,,,,175.0,871,267.0,221.0,1137.0,452,1885,1797,1664.0,133.0,133.0,,2982,0.0,10.0,1347,4779,6664,0.0,3735,2.0,3733.0,-870.0,-315.0,138,2688,0.0,2688,9352,
03/31/2010,9585,163,163,0.0,548,548,0.0,,330,0.0,346.0,0.0,-16.0,835,118.0,259.0,,,,525.0,1876,929,,,2741.0,2741.0,4039,2491,1402,1089,,1289,7709,,964,402,,,562.0,23,0.0,,,,23.0,922,256.0,296.0,1144.0,461,1909,1806,1806.0,,,,3169,,,1473,4975,6884,0.0,3747,2.0,3745.0,-888.0,-287.0,129,2701,0.0,2701,9585,
06/30/2010,9219,239,239,0.0,353,353,0.0,,343,0.0,330.0,0.0,13.0,793,117.0,169.0,,,,506.0,1728,887,,,2698.0,2698.0,3906,2501,1392,1109,,1236,7491,,907,332,,,575.0,29,0.0,,,,29.0,916,241.0,200.0,1127.0,484,1852,1600,1600.0,,,,3057,,,1489,4657,6509,0.0,3761,2.0,3759.0,-941.0,-215.0,105,2710,0.0,2710,9219,
09/30/2010,9213,170,170,0.0,349,349,0.0,,336,0.0,256.0,0.0,80.0,747,102.0,176.0,,,,494.0,1602,942,,,2727.0,2727.0,3942,2577,1432,1145,,1189,7611,,858,215,,,643.0,32,0.0,,,,32.0,631,215.0,208.0,964.0,243,1521,1801,1801.0,,,,2980,,,1593,4781,6302,0.0,3905,2.0,3903.0,-1061.0,-82.0,149,2911,,2911,9213,
12/31/2010,9416,156,156,0.0,425,425,,,348,0.0,229.0,0.0,119.0,823,104.0,169.0,,275.0,,536.0,1752,1041,1878.0,-837.0,2687.0,2687.0,3936,2652,1481,1171,,840,7664,,893,274,0.0,0.0,619.0,11,0.0,0.0,0.0,,11.0,671,206.0,189.0,1021.0,258,1575,2036,1921.0,115.0,115.0,,2888,0.0,11.0,1461,4924,6499,0.0,3894,2.0,3892.0,-1107.0,-25.0,155,2917,0.0,2917,9416,
03/31/2011,9457,174,174,0.0,619,619,,,345,0.0,193.0,0.0,152.0,855,116.0,40.0,,,,581.0,1993,1073,,,2603.0,2603.0,3788,2665,1496,1169,,1083,7464,,1039,493,,,546.0,12,0.0,,,,12.0,724,199.0,48.0,1028.0,237,1775,1934,1934.0,,,,3041,,,1766,4975,6750,0.0,3793,2.0,3791.0,-1280.0,21.0,173,2707,0.0,2707,9457,
06/30/2011,9329,296,296,0.0,390,390,,,344,132.0,194.0,0.0,18.0,873,118.0,12.0,,,,557.0,1903,1106,,,2601.0,2601.0,3719,2666,1500,1166,,1041,7426,,1004,385,,,619.0,43,0.0,,,,43.0,703,194.0,38.0,1083.0,209,1750,1980,1980.0,,,,2985,,,1670,4965,6715,0.0,3800,2.0,3798.0,-1480.0,109.0,185,2614,,2614,9329,
09/30/2011,9022,175,175,0.0,366,366,,,337,0.0,201.0,0.0,136.0,796,104.0,7.0,,,,504.0,1674,1088,,,2568.0,2568.0,3692,2648,1483,1165,,1037,7348,,911,221,,,690.0,37,0.0,,,,37.0,588,187.0,30.0,1076.0,187,1536,2046,2046.0,,,,3021,,,1728,5067,6603,0.0,3810,2.0,3808.0,-1784.0,260.0,133,2419,,2419,9022,
12/31/2011,9023,142,142,0.0,409,409,,,351,0.0,149.0,0.0,202.0,828,121.0,28.0,,289.0,,553.0,1730,1117,2039.0,-922.0,2551.0,2551.0,3625,2610,1479,1131,,698,7293,,909,278,,,631.0,46,0.0,,,,46.0,608,182.0,34.0,1065.0,203,1563,2185,2083.0,102.0,102.0,,3043,,13.0,1749,5228,6791,0.0,3820,2.0,3818.0,-2009.0,293.0,128,2232,,2232,9023,
03/31/2012,9372,239,239,0.0,584,584,0.0,,362,,,,,930,133.0,36.0,,,,631.0,2115,1128,,,2507.0,2507.0,3622,2622,1493,1129,,964,7257,,1020,460,,,560.0,54,0.0,,,,54.0,691,185.0,8.0,1078.0,219,1765,2226,2226.0,,,,3257,,,1986,5483,7248,0.0,3827,2.0,3825.0,-2160.0,290.0,168,2125,-1.0,2124,9372,
06/30/2012,9114,286,286,0.0,393,393,,,363,,,,,893,116.0,3.0,,,,598.0,1935,1121,,,2486.0,2486.0,3572,2594,1478,1116,,975,7179,,1033,416,,,617.0,11,0.0,,,,11.0,658,185.0,5.0,1112.0,203,1702,2255,2255.0,,,,3161,,,1859,5416,7118,0.0,3838,2.0,3836.0,-2349.0,384.0,124,1997,-1.0,1996,9114,
09/30/2012,9355,232,232,0.0,376,376,,,372,,,,,849,107.0,3.0,,,,581.0,1829,1166,,,2590.0,2590.0,3770,2725,1537,1188,,1042,7526,,935,272,,,663.0,64,0.0,,,,64.0,609,186.0,4.0,1122.0,218,1608,2465,2465.0,,,,3263,,,1951,5728,7336,,3816,2.0,3814.0,-2450.0,510.0,144,2020,-1.0,2019,9355,
12/31/2012,9463,195,195,0.0,442,442,,,379,,,,,850,122.0,2.0,,287.0,,570.0,1866,1292,2324.0,-1032.0,2571.0,2571.0,3734,2755,1566,1189,,690,7597,,981,307,,,674.0,326,0.0,,,,326.0,624,207.0,3.0,1141.0,240,1931,2276,2276.0,,,,3325,,18.0,1956,5601,7532,,3822,2.0,3820.0,-2601.0,558.0,151,1930,1.0,1931,9463,
03/31/2013,9892,217,217,0.0,614,614,0.0,,365,,,,,945,145.0,2.0,,,,645.0,2141,1470,,,2493.0,2493.0,3788,2732,1556,1176,,1054,7751,,1112,503,,,609.0,254,0.0,,,,254.0,723,204.0,2.0,1121.0,250,2089,2707,2707.0,,,,3352,,,2025,6059,8148,0.0,3820,2.0,3818.0,-2741.0,544.0,120,1743,1.0,1744,9892,
06/30/2013,9849,342,342,0.0,452,452,,,330,,,,,971,156.0,2.0,,,,695.0,2095,1491,,,2447.0,2447.0,3816,2722,1555,1167,,1092,7754,,1161,481,,,680.0,52,0.0,,,,52.0,765,201.0,1.0,1123.0,239,1978,2879,2879.0,,,,3350,,,2025,6229,8207,0.0,3834,2.0,3832.0,-2916.0,637.0,86,1641,1.0,1642,9849,
09/30/2013,9666,269,269,0.0,429,429,,,327,,,,,839,136.0,2.0,,,,601.0,1864,1513,,,2447.0,2447.0,3842,2745,1579,1166,,1095,7802,,971,309,,,662.0,55,0.0,,,,55.0,654,203.0,2.0,1130.0,208,1680,2888,2888.0,,,,3416,,,2081,6304,7984,0.0,3847,2.0,3845.0,-3076.0,785.0,124,1680,2.0,1682,9666,
12/31/2013,9741,194,194,0.0,505,505,,,346,,,,,895,153.0,1.0,,367.0,,628.0,1940,1555,2691.0,-1136.0,2448.0,2448.0,3798,2742,1590,1152,,688,7801,,1081,360,,,721.0,49,0.0,,,,49.0,660,192.0,13.0,1173.0,207,1790,2882,2882.0,,,,3444,,15.0,2051,6326,8116,0.0,3860,2.0,3858.0,-3191.0,832.0,122,1623,2.0,1625,9741,
03/31/2014,10022,203,203,0.0,742,742,0.0,,336,,,,,958,157.0,1.0,,,,697.0,2239,1554,,,2408.0,2408.0,3821,2742,1594,1148,,1078,7783,,1275,602,,,673.0,52,0.0,,,,52.0,808,195.0,4.0,1199.0,215,2135,2834,2834.0,,,,3529,,,2131,6363,8498,0.0,3852,2.0,3850.0,-3341.0,877.0,134,1522,2.0,1524,10022,
06/30/2014,9857,247,247,0.0,493,493,,,322,,,,,992,167.0,8.0,,,,730.0,2054,1553,,,2410.0,2410.0,3840,2742,1601,1141,,1090,7803,,1323,525,,,798.0,50,0.0,,,,50.0,794,197.0,,1198.0,212,2167,2772,2772.0,,,,3431,,,2036,6203,8370,0.0,3866,2.0,3864.0,-3511.0,984.0,145,1484,3.0,1487,9857,
09/30/2014,9557,252,252,0.0,461,461,,,306,0.0,118.0,0.0,188.0,823,143.0,7.0,,,,581.0,1842,1522,,,2411.0,2411.0,3782,2695,1571,1124,,1080,7715,,1077,310,,,767.0,49,0.0,,,,49.0,685,201.0,1.0,1185.0,218,1811,2873,2873.0,,,,3462,,,2075,6335,8146,0.0,3877,2.0,3875.0,-3672.0,1146.0,57,1408,3.0,1411,9557,
12/31/2014,9679,183,183,0.0,516,516,0.0,,302,0.0,,0.0,,866,147.0,18.0,,401.0,,604.0,1867,1500,2714.0,-1214.0,2406.0,2406.0,3906,2665,1551,1114,,822,7812,,1127,385,,,742.0,47,0.0,,,,47.0,685,199.0,0.0,1202.0,75,1859,2841,2841.0,,,,3722,0.0,19.0,2302,6563,8422,0.0,3891,2.0,3889.0,-3843.0,1183.0,24,1255,2.0,1257,9679,
03/31/2015,9898,180,180,0.0,718,718,,,292,,,,,917,175.0,28.0,,,,626.0,2107,1443,,,2362.0,2362.0,3986,2692,1553,1139,,1266,7791,,1254,576,,,678.0,53,0.0,,,,53.0,779,195.0,,1223.0,217,2086,2971,2971.0,,,,3757,,,2339,6728,8814,0.0,3883,2.0,3881.0,-3993.0,1252.0,-60,1082,2.0,1084,9898,
06/30/2015,10024,410,410,0.0,513,513,,,285,,,,,956,172.0,,,,,663.0,2164,1427,,,2387.0,2387.0,4046,2729,1585,1144,,1317,7860,,1342,552,,,790.0,52,0.0,,,,52.0,769,201.0,,1240.0,211,2163,3100,3100.0,,,,3692,,,2251,6792,8955,0.0,3895,2.0,3893.0,-4158.0,1361.0,-32,1066,3.0,1069,10024,
09/30/2015,9707,259,259,0.0,486,486,0.0,,273,,,,,825,141.0,,,,,561.0,1843,1402,,,2410.0,2410.0,4052,2713,1576,1137,,1339,7864,,1198,348,,,850.0,44,0.0,,,,44.0,659,202.0,,1249.0,210,1901,3029,3029.0,,,,3758,,,2307,6787,8688,0.0,3910,2.0,3908.0,-4328.0,1501.0,-67,1016,3.0,1019,9707,
12/31/2015,9591,183,171,12.0,586,586,0.0,,295,0.0,62.0,0.0,233.0,679,153.0,0.0,2.0,28.0,11.0,246.0,1743,1399,2695.0,-1296.0,2438.0,2438.0,4011,2686,1563,1123,,1297,7848,,1218,394,102.0,49.0,673.0,44,0.0,,,,44.0,695,198.0,0.0,1154.0,70,1957,3031,3031.0,,,,3650,0.0,15.0,2283,6681,8638,0.0,3925,2.0,3923.0,-4493.0,1592.0,-74,950,3.0,953,9591,
03/31/2016,10165,318,318,0.0,810,810,0.0,,293,,,,,928,177.0,,,,,607.0,2349,1403,,,2430.0,2430.0,3983,2679,1564,1115,,1304,7816,,1408,634,,,774.0,45,0.0,,,,45.0,803,198.0,,1306.0,207,2256,3261,3261.0,,,,3808,,,2304,7069,9325,0.0,3915,2.0,3913.0,-4668.0,1628.0,-38,837,3.0,840,10165,
06/30/2016,9942,478,478,0.0,573,573,,,286,,,,,790,183.0,,,,,607.0,2127,1361,,,2445.0,2445.0,4009,2643,1543,1100,,1366,7815,,1367,580,,,787.0,46,0.0,,,,46.0,775,204.0,,1195.0,198,2188,3328,3328.0,,,,3645,,,2246,6973,9161,0.0,3936,2.0,3934.0,-4818.0,1726.0,-66,778,3.0,781,9942,
09/30/2016,9743,332,332,0.0,542,542,0.0,,287,,,,,682,153.0,,,,,527.0,1843,1358,,,2496.0,2496.0,4046,2653,1549,1104,,1393,7900,,1232,392,,,840.0,33,0.0,,,,33.0,666,208.0,,1198.0,200,1931,3318,3318.0,,,,3697,,,2291,7015,8946,0.0,3951,2.0,3949.0,-4968.0,1866.0,-56,793,4.0,797,9743,
12/31/2016,9819,127,113,14.0,376,376,0.0,,310,0.0,59.0,0.0,251.0,999,131.0,0.0,360.0,29.0,3.0,505.0,1812,1028,2012.0,-984.0,2515.0,2515.0,4464,2239,1221,1018,,2196,8007,,930,213,85.0,34.0,598.0,22,0.0,,,,22.0,1080,194.0,11.0,1167.0,659,2032,3267,3267.0,,,,3802,0.0,13.0,2417,7069,9101,0.0,3968,2.0,3966.0,-5118.0,1977.0,-113,714,4.0,718,9819,
03/31/2017,10343,222,222,0.0,842,842,0.0,,324,0.0,35.0,0.0,289.0,914,188.0,,,,,726.0,2302,1360,,,2498.0,2498.0,4183,2738,1615,1123,,1445,8041,,1490,740,,,750.0,40,0.0,,,,40.0,819,199.0,,1298.0,191,2349,3535,3535.0,,,,3793,,,2296,7328,9677,0.0,3954,2.0,3952.0,-5268.0,2060.0,-84,662,4.0,666,10343,
06/30/2017,10348,415,415,,598,598,0.0,,315,,,,,930,187.0,,,,,743.0,2258,1368,,,2535.0,2535.0,4187,2761,1637,1124,,1426,8090,,1536,670,,,866.0,41,0.0,,,,41.0,807,196.0,,1255.0,185,2384,3667,3667.0,,,,3705,,,2254,7372,9756,0.0,3967,2.0,3965.0,-5418.0,2077.0,-39,587,5.0,592,10348,
09/30/2017,10261,289,289,0.0,586,586,0.0,,317,0.0,18.0,0.0,299.0,847,161.0,1.0,,,,682.0,2039,1358,,,2607.0,2607.0,4257,2823,1698,1125,,1433,8222,,1350,432,,,918.0,42,0.0,,,,42.0,729,187.0,,1285.0,192,2121,3858,3858.0,,,,3652,,,2180,7510,9631,0.0,3982,2.0,3980.0,-5568.0,2219.0,-9,624,6.0,630,10261,
12/31/2017,10450,48,48,0.0,195,195,0.0,,1249,0.0,25.0,0.0,1224.0,289,118.0,5.0,0.0,26.0,42.0,129.0,1781,822,1667.0,-845.0,2901.0,2901.0,4946,1054,911,143,1419.0,297,8669,,1079,232,75.0,40.0,732.0,0,0.0,,,,,559,0.0,0.0,613.0,0,1638,3908,3908.0,,,,4130,0.0,14.0,2084,8038,9676,0.0,3998,2.0,3996.0,-5719.0,2501.0,-11,769,5.0,774,10450,
03/31/2018,11099,291,291,0.0,450,450,0.0,,337,0.0,31.0,0.0,306.0,2604,186.0,12.0,1726.0,,,692.0,3682,1112,,,2608.0,2608.0,3697,2415,1330,1085,,1270,7417,,998,245,,,753.0,91,0.0,,,,91.0,2010,283.0,,802.0,1444,3099,4193,4193.0,,,,3157,,,2072,7350,10449,0.0,3988,2.0,3986.0,-5795.0,2449.0,3,645,5.0,650,11099,
06/30/2018,7075,155,155,0.0,206,206,0.0,,1243,0.0,31.0,0.0,1212.0,157,157.0,,,,,0.0,1761,764,,,2904.0,2904.0,1646,1086,940,146,,560,5314,,1228,197,,,1031.0,79,0.0,,,,79.0,592,,,701.0,0,1899,2901,2901.0,,,,2795,,,2094,5696,7595,0.0,4053,2.0,4051.0,-5837.0,1285.0,-26,-525,5.0,-520,7075,
09/30/2018,7132,164,164,0.0,197,197,0.0,,1197,0.0,38.0,0.0,1159.0,129,129.0,,,,,0.0,1687,775,,,2989.0,2989.0,1681,1082,936,146,,599,5445,,1209,147,,,1062.0,0,,,,,,564,,,709.0,0,1773,2969,2969.0,,,,2899,,,2190,5868,7641,0.0,4076,2.0,4074.0,-5943.0,1384.0,-31,-514,5.0,-509,7132,
12/31/2018,7158,218,218,0.0,121,121,0.0,,1224,0.0,33.0,0.0,1191.0,308,153.0,2.0,,29.0,6.0,149.0,1871,712,1565.0,-853.0,3037.0,3037.0,1538,1031,922,109,165.0,273,5287,,1070,66,117.0,39.0,848.0,0,0.0,,,,,518,0.0,0.0,736.0,0,1588,2881,2881.0,,,,3258,0.0,,2357,6139,7727,0.0,4079,2.0,4077.0,-6043.0,1442.0,-52,-574,5.0,-569,7158,
03/31/2019,7370,217,217,0.0,137,137,0.0,,1213,0.0,50.0,0.0,1163.0,631,175.0,,270.0,,,186.0,2198,851,,,3020.0,3020.0,1301,1031,923,108,241.0,270,5172,,951,79,,,872.0,171,0.0,171.0,,171.0,,551,,,749.0,0,1673,2837,2834.0,3.0,3.0,,3444,,,2454,6281,7954,0.0,4084,2.0,4082.0,-6103.0,1480.0,-50,-589,5.0,-584,7370,
06/30/2019,7466,257,257,0.0,140,140,0.0,,1216,0.0,25.0,0.0,1191.0,347,195.0,,,,,152.0,1960,852,,,3048.0,3048.0,1606,1027,922,105,249.0,307,5506,,1010,81,,,929.0,20,0.0,20.0,,20.0,,554,,,761.0,0,1584,3220,3055.0,165.0,3.0,162.0,3222,,,2212,6442,8026,0.0,4096,2.0,4094.0,-6168.0,1558.0,-51,-565,5.0,-560,7466,
09/30/2019,7563,250,250,0.0,137,137,0.0,,1209,0.0,33.0,0.0,1176.0,560,198.0,2.0,214.0,,,148.0,2156,874,1763.0,-889.0,3118.0,3118.0,1415,1108,971,137,163.0,305,5407,,906,86,,,820.0,198,0.0,198.0,,198.0,,553,,,772.0,0,1657,3047,3043.0,4.0,4.0,,3429,,,2494,6476,8133,0.0,4108,2.0,4106.0,-6258.0,1651.0,-77,-576,6.0,-570,7563,
12/31/2019,7453,355,355,0.0,144,144,0.0,,1199,0.0,24.0,0.0,1175.0,368,221.0,1.0,0.0,26.0,34.0,113.0,2066,816,1660.0,-844.0,3120.0,3120.0,1451,1113,970,143,,311,5387,,866,73,86.0,41.0,666.0,180,0.0,180.0,,180.0,,541,0.0,0.0,815.0,0,1587,3214,3034.0,180.0,,180.0,3176,0.0,,2361,6390,7977,0.0,4120,2.0,4118.0,-6383.0,1785.0,-52,-530,6.0,-524,7453,
03/31/2020,7776,1018,1018,0.0,137,137,0.0,,1218,0.0,21.0,0.0,1197.0,3166,221.0,,,,,2945.0,5539,819,1678.0,-859.0,,,1418,1097,962,135,,321,2237,,775,71,,,704.0,181,0.0,181.0,,181.0,,553,,,764.0,0,1509,4162,3976.0,186.0,5.0,181.0,2996,,,2232,7158,8667,0.0,4121,2.0,4119.0,-6508.0,1607.0,-117,-897,6.0,-891,7776,
06/30/2020,7597,1052,1052,0.0,130,130,0.0,,1278,0.0,31.0,0.0,1247.0,350,216.0,1.0,,,,134.0,2810,783,1667.0,-884.0,2615.0,2615.0,1389,1096,963,133,,292,4787,,951,61,,,890.0,20,0.0,20.0,,20.0,,531,,,734.0,0,1502,4052,3886.0,166.0,9.0,157.0,3093,,,2359,7145,8647,0.0,4130,2.0,4128.0,-6508.0,1399.0,-77,-1056,6.0,-1050,7597,
