Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/2014,64.826,64.264,0.562,,,0.0,-35.893,4.144,1.8,2.344,4.351,27.398,28.933,0.138,,,,-0.138,,0.0,29.071,-10.88,10.171,0.709,18.191,0.0,0.0,0.0,18.191,0.0,18.191,0.0,0.0,18.191,18.191,0.0,37.015,0.49,0.49,0.49,37.942,0.48,0.48,0.48,
09/30/2014,64.113,63.624,0.489,,,0.0,-35.977,3.906,1.331,2.575,4.482,27.589,28.136,0.132,,,,-0.132,,0.0,28.268,-10.764,11.09,-0.326,17.504,0.0,0.0,0.0,17.504,0.0,17.504,0.0,0.0,17.504,17.504,0.0,36.856,0.47,0.47,0.47,37.805,0.46,0.46,0.46,
12/31/2014,70.04,69.53,0.51,,,0.0,-36.678,3.966,1.429,2.537,4.425,28.287,33.362,0.127,,,,-0.127,,0.0,33.489,-11.853,12.488,-0.635,21.636,0.0,0.0,0.0,21.636,0.0,21.636,0.0,0.0,21.636,21.636,0.0,36.729,0.59,0.59,0.59,37.711,0.57,0.57,0.57,
03/31/2015,76.588,76.117,0.471,,,0.0,-38.269,3.871,1.192,2.679,4.612,29.786,38.319,0.183,,,,-0.183,,0.0,38.502,-13.909,9.314,4.595,24.593,0.0,0.0,0.0,24.593,0.0,24.593,0.0,0.0,24.593,24.593,0.0,36.706,0.67,0.67,0.67,37.626,0.65,0.65,0.65,
06/30/2015,75.301,74.806,0.495,,,0.0,-38.432,5.026,1.764,3.262,4.603,28.803,36.869,0.19,,,,-0.19,,0.0,37.059,-12.821,12.928,-0.107,24.238,0.0,0.0,0.0,24.238,0.0,24.238,0.0,0.0,24.238,24.238,0.0,36.699,0.66,0.66,0.66,37.642,0.64,0.64,0.64,
09/30/2015,73.944,73.532,0.412,,,0.0,-38.839,4.848,1.304,3.544,4.642,29.349,35.105,0.248,,,,-0.248,,0.0,35.353,-12.638,14.311,-1.673,22.715,0.0,0.0,0.0,22.715,0.0,22.715,0.0,0.0,22.715,22.715,0.0,36.681,0.62,0.62,0.62,37.643,0.6,0.6,0.6,
12/31/2015,76.36,75.999,0.361,,,0.0,-39.658,5.411,1.888,3.523,4.685,29.562,36.702,0.284,,,,-0.284,,-0.284,36.986,-12.495,13.33,-0.835,24.491,0.0,0.0,0.0,24.491,0.0,24.491,0.0,0.0,24.491,24.491,0.0,36.673,0.67,0.67,0.67,37.638,0.65,0.65,0.65,
03/31/2016,88.155,86.872,1.283,,,0.0,-44.203,5.668,1.778,3.89,4.681,33.854,43.952,0.418,,,,-0.418,,0.0,44.37,-15.407,9.502,5.905,28.963,0.0,0.0,0.0,28.963,0.0,28.963,0.0,0.0,28.963,28.963,0.0,36.775,0.79,0.79,0.79,37.671,0.77,0.77,0.77,
06/30/2016,96.122,94.825,1.297,,,0.0,-46.088,5.986,1.824,4.162,4.54,35.562,50.034,0.517,,,,-0.517,,0.0,50.551,-17.425,14.167,3.258,33.126,0.0,0.0,0.0,33.126,0.0,33.126,0.0,0.0,33.126,33.126,0.0,36.876,0.9,0.9,0.9,37.748,0.88,0.88,0.88,
09/30/2016,89.737,88.778,0.959,,,0.0,-43.917,5.871,2.14,3.731,4.325,33.721,45.82,0.534,,,,-0.534,,0.0,46.354,-15.436,16.882,-1.446,30.918,0.0,0.0,0.0,30.918,0.0,30.918,0.0,0.0,30.918,30.918,0.0,36.889,0.84,0.84,0.84,37.792,0.82,0.82,0.82,
12/31/2016,93.768,93.73,0.038,,,0.0,-44.109,5.732,3.192,2.54,4.292,34.085,49.659,0.668,,,,-0.668,,0.0,50.327,-17.162,18.156,-0.994,33.165,0.0,0.0,0.0,33.165,0.0,33.165,0.0,0.0,33.165,33.165,0.0,36.836,0.900342,0.900342,0.900342,37.741,0.878753,0.878753,0.878753,
03/31/2017,102.964,102.663,0.301,,,0.0,-47.806,4.234,1.886,2.348,4.693,38.879,55.158,0.449,,,,-0.747,,0.298,55.607,-13.144,11.319,1.825,42.463,0.0,0.0,0.0,42.463,0.0,42.463,0.0,0.0,42.463,42.463,0.0,36.85,1.15,1.15,1.15,38.112,1.11,1.11,1.11,
06/30/2017,96.314,96.001,0.313,,,0.0,-47.329,5.373,2.782,2.591,4.79,37.166,48.985,0.588,,,,-0.84,,0.252,49.573,-11.55,11.998,-0.448,38.023,0.0,0.0,0.0,38.023,0.0,38.023,0.0,0.0,38.023,38.023,0.0,36.853,1.03,1.03,1.03,38.077,1.0,1.0,1.0,
09/30/2017,95.584,95.279,0.305,,,0.0,-48.949,5.028,2.089,2.939,4.583,39.338,46.635,0.582,,,,-0.964,,0.382,47.217,-13.087,14.173,-1.086,34.13,0.0,0.0,0.0,34.13,0.0,34.13,0.0,0.0,34.13,34.13,0.0,36.865,0.93,0.93,0.93,38.019,0.9,0.9,0.9,
12/31/2017,98.56,98.235,0.325,,,0.0,-49.723,6.248,3.005,3.243,5.208,38.267,48.837,0.534,,,,-1.068,,0.534,49.371,-15.898,9.638,6.26,33.473,0.0,0.0,0.0,33.473,0.0,33.473,0.0,0.0,33.473,33.473,0.0,36.887,0.91,0.91,0.91,37.943,0.88,0.88,0.88,
03/31/2018,114.714,114.414,0.3,,,0.0,-54.541,4.54,2.065,2.475,5.269,44.732,60.173,0.84,,,,-1.168,,0.328,61.013,-13.073,11.003,2.07,47.94,0.0,0.0,0.0,47.94,0.0,47.94,0.0,0.0,47.94,47.94,0.0,36.954,1.3,1.3,1.3,37.886,1.27,1.27,1.27,
06/30/2018,106.964,106.663,0.301,,,0.0,-54.93,6.243,3.535,2.708,5.79,42.897,52.034,1.176,,,,-1.383,,0.207,53.21,-12.723,13.284,-0.561,40.487,0.0,0.0,0.0,40.487,0.0,40.487,0.0,0.0,40.487,40.487,0.0,36.95,1.1,1.1,1.1,37.862,1.07,1.07,1.07,
09/30/2018,101.443,101.162,0.281,,,0.0,-55.031,5.724,2.98,2.744,6.173,43.134,46.412,1.385,,,,-1.635,,0.25,47.797,-9.203,10.479,-1.276,38.594,0.0,0.0,0.0,38.594,0.0,38.594,0.0,0.0,38.594,38.594,0.0,36.951,1.04,1.04,1.04,37.828,1.02,1.02,1.02,
12/31/2018,112.444,112.168,0.276,,,0.0,-58.479,6.96,3.534,3.426,5.848,45.671,53.965,2.101,,,,-1.926,,-0.175,56.066,-10.235,11.636,-1.401,45.831,0.0,0.0,0.0,45.831,0.0,45.831,0.0,0.0,45.831,45.831,0.0,36.978,1.24,1.24,1.24,37.845,1.21,1.21,1.21,
03/31/2019,124.491,124.226,0.265,,,0.0,-61.302,5.423,2.299,3.124,6.082,49.797,63.189,2.031,,,,-1.989,,-0.042,65.22,-12.698,10.688,2.01,52.522,0.0,0.0,0.0,52.522,0.0,52.522,0.0,0.0,52.522,52.522,0.0,37.043,1.42,1.42,1.42,37.832,1.39,1.39,1.39,
06/30/2019,125.49,125.236,0.254,,,0.0,-64.613,7.467,3.667,3.8,6.345,50.801,60.877,2.032,,,,-2.096,,0.064,62.909,-14.804,15.178,-0.374,48.105,0.0,0.0,0.0,48.105,0.0,48.105,0.0,0.0,48.105,48.105,0.0,37.049,1.3,1.3,1.3,37.91,1.27,1.27,1.27,
09/30/2019,131.597,131.346,0.251,,,0.0,-65.632,6.268,2.506,3.762,6.7,52.664,65.965,1.373,,,,-2.211,,0.838,67.338,-13.336,14.878,-1.542,54.002,0.0,0.0,0.0,54.002,0.0,54.002,0.0,0.0,54.002,54.002,0.0,37.066,1.46,1.46,1.46,37.995,1.42,1.42,1.42,
12/31/2019,129.774,129.541,0.233,,,0.0,-68.923,8.097,3.087,5.01,7.73,53.096,60.851,1.106,,,,-1.767,,0.661,61.957,-11.684,9.104,2.58,50.273,0.0,0.0,0.0,50.273,0.0,50.273,0.0,0.0,50.273,50.273,0.0,37.176,1.35,1.35,1.35,38.091,1.32,1.32,1.32,
03/31/2020,168.978,168.749,0.229,,,0.0,-77.889,5.808,2.675,3.133,8.067,64.014,91.089,0.613,,,,-1.269,,0.656,91.702,-16.886,14.123,2.763,74.816,0.0,0.0,0.0,74.816,0.0,74.816,0.0,0.0,74.816,74.816,0.0,37.303,2.01,2.01,2.01,38.075,1.96,1.96,1.96,
06/30/2020,184.795,184.573,0.222,,,0.0,-80.66,5.063,1.81,3.253,8.305,67.292,104.135,0.268,,,,-0.714,,0.446,104.403,-20.549,18.545,2.004,83.854,0.0,0.0,0.0,83.854,0.0,83.854,0.0,0.0,83.854,83.854,0.0,37.34,2.25,2.25,2.25,38.153,2.2,2.2,2.2,
09/30/2020,159.091,,,,,,,,,,,,81.87,,,,,,,,81.945,,,,62.533,,,,,,62.533,,,62.533,64.536,,,1.64,1.64,1.692,,1.64,1.64,1.692,
12/31/2020,160.182,,,,,,,,,,,,79.63,,,,,,,,79.745,,,,62.0,,,,,,62.0,,,62.0,63.164,,,1.66,1.66,1.698,,1.66,1.66,1.698,
