Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2012,18885.0,18884.0,1.0,-17688.0,17458.0,230.0,1197.0,6.0,-249.0,251.0,-2.0,954.0,-20.0,45.0,45.0,0.0,,-2.0,-23.0,934.0,-338.0,,,596.0,0.0,0.0,0.0,596.0,0.0,596.0,0.0,0.0,596.0,629.15,33.15,696.0,0.855,0.855,0.903951,700.0,0.85,0.85,0.897357,
06/30/2012,18815.0,18812.0,3.0,-17157.0,16921.0,236.0,1658.0,4.0,-364.0,365.0,-1.0,1298.0,-8.0,46.0,46.0,0.0,,-9.0,-29.0,1290.0,-476.0,,,814.0,0.0,0.0,0.0,814.0,0.0,814.0,0.0,0.0,814.0,553.35,-260.65,680.0,1.195,1.195,0.81375,682.0,1.19,1.19,0.807815,
09/30/2012,19586.0,19584.0,2.0,-17598.0,17352.0,246.0,1988.0,18.0,-118.0,293.0,-175.0,1888.0,-18.0,47.0,47.0,0.0,1.0,-7.0,-23.0,1870.0,-646.0,,,1224.0,0.0,0.0,0.0,1224.0,0.0,1224.0,0.0,0.0,1224.0,1294.2,70.2,676.0,1.805,1.805,1.914497,680.0,1.795,1.795,1.898235,
12/31/2012,19248.0,19246.0,2.0,-17770.0,17487.0,283.0,1478.0,18.0,-315.0,314.0,1.0,1181.0,-37.0,48.0,53.0,-5.0,,-8.0,-3.0,1144.0,-385.0,,,759.0,0.0,0.0,0.0,759.0,-4.0,755.0,0.0,0.0,755.0,834.3,79.3,668.0,1.13,1.13,1.248952,672.0,1.12,1.12,1.238006,
03/31/2013,21872.0,21872.0,,-20482.0,20195.0,287.0,1390.0,14.0,-248.0,249.0,-1.0,1156.0,-48.0,46.0,48.0,-2.0,,0.0,2.0,1108.0,-378.0,,,730.0,0.0,0.0,0.0,730.0,-5.0,725.0,0.0,-1.0,724.0,761.7,37.7,662.0,1.095,1.095,1.150604,666.0,1.085,1.085,1.141606,
06/30/2013,24081.0,24081.0,,-22789.0,22487.0,302.0,1292.0,18.0,-357.0,358.0,-1.0,953.0,-38.0,46.0,49.0,-3.0,,-7.0,-1.0,915.0,-316.0,,,599.0,0.0,0.0,0.0,599.0,-6.0,593.0,0.0,-1.0,592.0,556.25,-35.75,644.0,0.92,0.92,0.863742,648.0,0.915,0.915,0.85983,
09/30/2013,24625.0,24622.0,3.0,-24037.0,23738.0,299.0,588.0,8.0,-304.0,305.0,-1.0,292.0,-38.0,48.0,48.0,0.0,1.0,-9.0,-2.0,254.0,-81.0,,,173.0,0.0,0.0,0.0,173.0,-5.0,168.0,0.0,0.0,168.0,281.75,113.75,618.0,0.27,0.27,0.455906,622.0,0.27,0.27,0.452878,
12/31/2013,23319.0,23318.0,1.0,-22010.0,21678.0,332.0,1309.0,12.0,-333.0,336.0,-3.0,988.0,-19.0,46.0,55.0,-9.0,,-20.0,-7.0,969.0,-338.0,,,631.0,0.0,0.0,0.0,631.0,-5.0,626.0,0.0,0.0,626.0,625.35,-0.65,598.0,1.045,1.045,1.045736,602.0,1.035,1.035,1.033921,
03/31/2014,21770.0,21770.0,,-21123.0,20803.0,320.0,647.0,24.0,-345.0,346.0,-1.0,326.0,-11.0,47.0,49.0,-2.0,,-35.0,-1.0,315.0,-108.0,,,207.0,0.0,0.0,0.0,207.0,-8.0,199.0,0.0,0.0,199.0,273.1,74.1,586.0,0.34,0.34,0.466041,590.0,0.335,0.335,0.460593,
06/30/2014,25245.0,25245.0,,-23649.0,23324.0,325.0,1596.0,21.0,-305.0,316.0,-11.0,1312.0,9.0,48.0,49.0,-1.0,,-57.0,0.0,1321.0,-457.0,,,864.0,0.0,0.0,0.0,864.0,-9.0,855.0,0.0,-1.0,854.0,925.5,71.5,574.0,1.485,1.485,1.61237,578.0,1.475,1.475,1.598702,
09/30/2014,23816.0,23816.0,,-22455.0,22133.0,322.0,1361.0,12.0,-340.0,342.0,-2.0,1033.0,-21.0,54.0,56.0,-2.0,,-29.0,-4.0,1012.0,-333.0,,,679.0,0.0,0.0,0.0,679.0,-7.0,672.0,0.0,-1.0,671.0,589.75,-81.25,564.0,1.19,1.19,1.045656,568.0,1.18,1.18,1.036954,
12/31/2014,20301.0,20301.0,,-18764.0,18405.0,359.0,1537.0,54.0,-364.0,371.0,-7.0,1227.0,-40.0,73.0,75.0,-2.0,,-32.0,-1.0,1187.0,-382.0,,,805.0,0.0,0.0,0.0,805.0,-7.0,798.0,0.0,0.0,798.0,488.6,-309.4,1108.0,0.72,0.72,0.440974,1116.0,0.715,0.715,0.43776,
03/31/2015,15359.0,15359.0,,-13580.0,13217.0,363.0,1779.0,29.0,-353.0,358.0,-5.0,1455.0,-66.0,79.0,80.0,-1.0,,-15.0,2.0,1389.0,-486.0,,,903.0,0.0,0.0,0.0,903.0,-12.0,891.0,0.0,0.0,891.0,850.05,-40.95,546.0,1.63,1.63,1.556868,550.0,1.62,1.62,1.545546,
06/30/2015,18598.0,18598.0,,-16914.0,16552.0,362.0,1684.0,25.0,-394.0,393.0,1.0,1315.0,-44.0,67.0,69.0,-2.0,,-20.0,-3.0,1271.0,-432.0,,,839.0,0.0,0.0,0.0,839.0,-13.0,826.0,0.0,0.0,826.0,874.75,48.75,541.0,1.52,1.52,1.616913,544.0,1.51,1.51,1.599614,
09/30/2015,16728.0,16728.0,,-14685.0,14321.0,364.0,2043.0,17.0,-534.0,392.0,142.0,1526.0,-47.0,75.0,77.0,-2.0,,-23.0,-5.0,1479.0,-521.0,,,958.0,0.0,0.0,0.0,958.0,-10.0,948.0,0.0,0.0,948.0,1024.43,76.43,535.0,1.77,1.77,1.914822,538.0,1.76,1.76,1.902063,
12/31/2015,13674.0,13674.0,,-12605.0,12192.0,413.0,1069.0,41.0,-802.0,433.0,369.0,308.0,-73.0,98.0,99.0,-1.0,,-30.0,5.0,235.0,-67.0,,,168.0,0.0,0.0,0.0,168.0,19.0,187.0,0.0,-1.0,186.0,87.2,-98.8,531.0,0.35,0.35,0.164218,535.0,0.35,0.35,0.164218,
03/31/2016,10929.0,10929.0,,-10407.0,9917.0,490.0,522.0,28.0,-497.0,378.0,119.0,53.0,-120.0,152.0,153.0,-1.0,,-22.0,-10.0,-67.0,-11.0,,,-78.0,0.0,0.0,0.0,-78.0,79.0,1.0,0.0,0.0,1.0,154.7,153.7,529.0,0.003,0.003,0.292439,531.0,0.003,0.003,0.292439,
06/30/2016,14918.0,14916.0,2.0,-13441.0,12941.0,500.0,1477.0,414.0,-526.0,401.0,125.0,1365.0,-187.0,148.0,149.0,-1.0,,50.0,-11.0,1178.0,-395.0,,,783.0,0.0,0.0,0.0,783.0,18.0,801.0,0.0,0.0,801.0,868.95,67.95,528.0,1.51,1.51,1.645739,531.0,1.51,1.51,1.637966,
09/30/2016,14704.0,14702.0,2.0,-13563.0,13056.0,507.0,1141.0,49.0,-547.0,420.0,127.0,643.0,-349.0,150.0,153.0,-3.0,,208.0,-9.0,294.0,-75.0,,,219.0,0.0,0.0,0.0,219.0,-74.0,145.0,0.0,0.0,145.0,335.45,190.45,527.0,0.28,0.28,0.636528,530.0,0.27,0.27,0.62934,
12/31/2016,22788.0,22730.0,58.0,-21701.0,21197.0,504.0,1087.0,57.0,-819.0,398.0,421.0,325.0,92.0,146.0,147.0,-1.0,,-51.0,-187.0,417.0,-128.0,,,289.0,0.0,0.0,0.0,289.0,-62.0,227.0,0.0,0.0,227.0,357.0,130.0,528.0,0.429924,0.429924,0.676136,528.0,0.429924,0.429924,0.676136,
03/31/2017,16288.0,16134.0,154.0,-15590.0,15054.0,536.0,698.0,100.0,-507.0,390.0,117.0,291.0,-149.0,158.0,163.0,-5.0,,-57.0,48.0,142.0,-41.0,,,101.0,0.0,0.0,0.0,101.0,-71.0,30.0,0.0,0.0,30.0,31.95,1.95,525.0,0.06,0.06,0.060857,530.0,0.06,0.06,0.060857,
06/30/2017,18180.0,18033.0,147.0,-16737.0,16216.0,521.0,1443.0,167.0,-628.0,485.0,143.0,982.0,-158.0,169.0,173.0,-4.0,,-83.0,72.0,824.0,-250.0,,,574.0,0.0,0.0,0.0,574.0,-91.0,483.0,0.0,0.0,483.0,525.25,42.25,513.0,0.94,0.94,1.023879,517.0,0.93,0.93,1.011721,
09/30/2017,19210.0,19053.0,157.0,-17250.0,16733.0,517.0,1960.0,176.0,-559.0,411.0,148.0,1577.0,-158.0,165.0,172.0,-7.0,,-84.0,77.0,1419.0,-415.0,,,1004.0,0.0,0.0,0.0,1004.0,-101.0,903.0,0.0,0.0,903.0,907.55,4.55,504.0,1.79,1.79,1.800694,508.0,1.77,1.77,1.778957,
12/31/2017,21055.0,20884.0,171.0,-19510.0,18970.0,540.0,1545.0,183.0,-560.0,408.0,152.0,1168.0,-209.0,169.0,180.0,-11.0,,-82.0,122.0,959.0,1166.0,,,2125.0,0.0,0.0,0.0,2125.0,-109.0,2016.0,0.0,0.0,2016.0,478.3,-1537.7,488.0,4.13,4.13,0.980123,493.0,4.09,4.09,0.970933,
03/31/2018,18866.0,18694.0,172.0,-18001.0,17473.0,528.0,865.0,116.0,-541.0,402.0,139.0,440.0,-183.0,193.0,213.0,-20.0,,-86.0,76.0,257.0,-22.0,,,235.0,0.0,0.0,0.0,235.0,-198.0,37.0,0.0,0.0,37.0,40.7,3.7,476.0,0.08,0.08,0.085504,480.0,0.08,0.08,0.085504,
06/30/2018,22317.0,22118.0,199.0,-20172.0,19639.0,533.0,2145.0,125.0,-559.0,424.0,135.0,1711.0,-195.0,204.0,229.0,-25.0,,-80.0,71.0,1516.0,-281.0,,,1235.0,0.0,0.0,0.0,1235.0,-180.0,1055.0,0.0,0.0,1055.0,1096.87,41.87,459.0,2.3,2.3,2.389695,464.0,2.27,2.27,2.360237,
09/30/2018,22988.0,22988.0,,-21284.0,20729.0,555.0,1704.0,143.0,-444.0,445.0,-1.0,1403.0,-240.0,207.0,233.0,-26.0,,-96.0,129.0,1163.0,-222.0,,,941.0,0.0,0.0,0.0,941.0,-204.0,737.0,0.0,0.0,737.0,791.51,54.51,451.0,1.63,1.63,1.755011,456.0,1.62,1.62,1.739539,
12/31/2018,32333.0,32333.0,,-29377.0,28503.0,874.0,2956.0,191.0,-1130.0,1147.0,-17.0,2017.0,-385.0,335.0,351.0,-16.0,,111.0,-61.0,1632.0,-437.0,,,1195.0,0.0,0.0,0.0,1195.0,-244.0,951.0,0.0,0.0,951.0,1034.066467,83.066467,687.0,1.38,1.38,1.505191,704.0,1.35,1.35,1.467992,
03/31/2019,28253.0,28253.0,,-27065.0,26146.0,919.0,1188.0,134.0,-653.0,867.0,-214.0,669.0,-306.0,331.0,340.0,-9.0,,-99.0,74.0,363.0,-104.0,,,259.0,0.0,0.0,0.0,259.0,-266.0,-7.0,0.0,0.0,-7.0,-105.59,-98.59,673.0,-0.01,-0.01,-0.156895,673.0,-0.01,-0.01,-0.156895,
06/30/2019,33529.0,33529.0,,-30742.0,29856.0,886.0,2787.0,137.0,-882.0,886.0,-4.0,2042.0,-322.0,341.0,350.0,-9.0,,-107.0,88.0,1720.0,-353.0,,,1367.0,0.0,0.0,0.0,1367.0,-261.0,1106.0,0.0,0.0,1106.0,1130.62,24.62,662.0,1.67,1.67,1.707885,666.0,1.66,1.66,1.696967,
09/30/2019,31043.0,31043.0,,-28345.0,27490.0,855.0,2698.0,155.0,-829.0,833.0,-4.0,2024.0,-317.0,340.0,352.0,-12.0,,-124.0,101.0,1707.0,-340.0,,,1367.0,0.0,0.0,0.0,1367.0,-272.0,1095.0,0.0,0.0,1095.0,1070.73,-24.27,656.0,1.67,1.67,1.63221,660.0,1.66,1.66,1.623227,
12/31/2019,31159.0,31159.0,,-28480.0,27502.0,978.0,2679.0,131.0,-1969.0,857.0,1112.0,841.0,-302.0,344.0,354.0,-10.0,,64.0,-106.0,539.0,-277.0,,,262.0,0.0,0.0,0.0,262.0,181.0,443.0,0.0,0.0,443.0,1524.4,1081.4,648.0,0.68,0.68,2.352469,653.0,0.68,0.68,2.336049,
03/31/2020,25215.0,25215.0,,-24034.0,23072.0,962.0,1181.0,71.0,-13069.0,821.0,12248.0,-11817.0,-338.0,351.0,357.0,-6.0,,1210.0,-1223.0,-12155.0,1937.0,,,-10218.0,0.0,0.0,0.0,-10218.0,984.0,-9234.0,0.0,0.0,-9234.0,-1370.438793,7863.561207,648.0,-14.25,-14.25,-2.114875,648.0,-14.25,-14.25,-2.114875,
06/30/2020,15024.0,15024.0,,-14926.0,13991.0,935.0,98.0,172.0,711.0,746.0,-1457.0,981.0,-345.0,371.0,373.0,-2.0,,-105.0,79.0,636.0,-360.0,,,276.0,0.0,0.0,0.0,276.0,-267.0,9.0,0.0,0.0,9.0,129.749123,120.749123,650.0,0.01,0.01,0.199614,653.0,0.01,0.01,0.194914,
09/30/2020,16530.0,,,,,,1594.6491,,,,,-62.75,,,,,,,,-392.833,,,,-659.0,,,,,,-659.0,,,-659.0,-677.5,,,-0.96,-0.96,-0.921,,-0.96,-0.96,-0.921,
12/31/2020,17997.5,,,,,,1874.97955,,,,,-29.333,,,,,,,,-40.933,,,,-228.714,,,,,,-228.714,,,-228.714,-298.25,,,-0.414,-0.414,-0.624,,-0.414,-0.414,-0.624,
